Loyola (MD),52,Florida State,2352
4:39,52,Mfiondu Kabengele Turnover.,20,39
4:39,2352,Chuck Champion Steal.,20,39
4:36,52,Foul on Mfiondu Kabengele.,20,39
4:36,2352,Chuck Champion made Free Throw.,21,39
4:36,2352,Chuck Champion missed Free Throw.,21,39
4:36,52,Phil Cofer Defensive Rebound.,21,39
4:28,52,Braian Angola made Dunk.,21,41
4:06,2352,Chuck Champion made Jumper.,23,41
3:57,52,Braian Angola missed Three Point Jumper.,23,41
3:53,52,Florida State Offensive Rebound.,23,41
3:53,52,Official TV Timeout,23,41
3:50,2352,Foul on River Reed.,23,41
3:50,52,Phil Cofer made Free Throw.,23,42
3:50,52,Phil Cofer made Free Throw.,23,43
3:38,2352,Foul on Ian Langendoerfer.,23,43
3:38,2352,Ian Langendoerfer Turnover.,23,43
3:29,52,M.J. Walker missed Layup.,23,43
3:29,2352,Loyola (MD) Defensive Rebound.,23,43
3:07,2352,Andre Walker missed Three Point Jumper.,23,43
3:07,2352,Ian Langendoerfer Offensive Rebound.,23,43
3:03,2352,Ian Langendoerfer missed Jumper.,23,43
3:03,52,Wyatt Wilkes Defensive Rebound.,23,43
2:55,52,CJ Walker missed Three Point Jumper.,23,43
2:55,2352,Loyola (MD) Deadball Team Rebound.,23,43
2:52,52,Foul on Mfiondu Kabengele.,23,43
2:33,2352,James Fives missed Layup.,23,43
2:33,52,Ike Obiagu Block.,23,43
2:33,2352,River Reed Offensive Rebound.,23,43
2:30,2352,River Reed made Two Point Tip Shot.,25,43
2:14,52,CJ Walker Turnover.,25,43
2:13,2352,River Reed Steal.,25,43
2:11,2352,Chuck Champion missed Layup.,25,43
2:11,52,Trent Forrest Block.,25,43
2:09,2352,Ian Langendoerfer Offensive Rebound.,25,43
2:07,2352,Andre Walker missed Jumper.,25,43
2:07,52,Trent Forrest Defensive Rebound.,25,43
1:55,52,Ike Obiagu Turnover.,25,43
1:54,2352,Andre Walker Steal.,25,43
1:50,2352,Andre Walker missed Layup.,25,43
1:50,2352,Chuck Champion Offensive Rebound.,25,43
1:47,2352,Chuck Champion made Layup.,27,43
1:27,52,Trent Forrest made Jumper.,27,45
1:06,52,Foul on M.J. Walker.,27,45
0:58,2352,Chuck Champion made Jumper.,29,45
0:40,2352,Foul on Ian Langendoerfer.,29,45
0:40,52,Ike Obiagu missed Free Throw.,29,45
0:40,52,Florida State Deadball Team Rebound.,29,45
0:40,52,Ike Obiagu made Free Throw.,29,46
0:30,2352,Ian Langendoerfer made Jumper. Assisted by Chuck Champion.,31,46
0:20,52,Wyatt Wilkes Turnover.,31,46
0:20,2352,James Fives Steal.,31,46
0:00,52,End of 1st half,31,46
19:47,52,Foul on Ike Obiagu.,31,46
19:47,52,Foul on Terance Mann.,31,46
19:33,2352,Brent Holcombe missed Three Point Jumper.,31,46
19:33,52,Ike Obiagu Defensive Rebound.,31,46
19:20,52,Terance Mann made Jumper.,31,48
19:12,52,Foul on Ike Obiagu.,31,48
19:12,2352,Cam Gregory missed Free Throw.,31,48
19:12,2352,Loyola (MD) Deadball Team Rebound.,31,48
19:12,2352,Cam Gregory made Free Throw.,32,48
19:09,52,Braian Angola made Three Point Jumper. Assisted by CJ Walker.,32,51
18:53,2352,Loyola (MD)  Timeout,32,51
18:42,2352,Isaiah Hart Turnover.,32,51
18:41,52,CJ Walker Steal.,32,51
18:39,52,Braian Angola made Dunk. Assisted by CJ Walker.,32,53
18:17,2352,Isaiah Hart made Layup.,34,53
17:50,52,Foul on Mfiondu Kabengele.,34,53
17:37,2352,Isaiah Hart Turnover.,34,53
17:37,52,Braian Angola Steal.,34,53
17:29,52,Braian Angola Turnover.,34,53
17:16,2352,Chuck Champion made Layup.,36,53
17:00,52,Terance Mann missed Jumper.,36,53
17:00,52,Florida State Deadball Team Rebound.,36,53
16:59,2352,Foul on Cam Gregory.,36,53
16:53,52,CJ Walker missed Three Point Jumper.,36,53
16:53,2352,River Reed Defensive Rebound.,36,53
16:45,2352,Ian Langendoerfer made Three Point Jumper. Assisted by Andre Walker.,39,53
16:37,52,CJ Walker missed Layup.,39,53
16:37,52,Florida State Offensive Rebound.,39,53
16:27,52,Trent Forrest Turnover.,39,53
16:27,2352,Chuck Champion Steal.,39,53
16:12,2352,Andre Walker missed Three Point Jumper.,39,53
16:12,2352,Ian Langendoerfer Offensive Rebound.,39,53
16:05,52,Foul on CJ Walker.,39,53
16:03,2352,Ian Langendoerfer made Jumper.,41,53
15:45,52,Terance Mann made Layup. Assisted by CJ Walker.,41,55
15:10,2352,Chuck Champion missed Jumper.,41,55
15:10,52,Terance Mann Defensive Rebound.,41,55
15:06,2352,Foul on Chuck Champion.,41,55
15:06,52,Official TV Timeout,41,55
14:56,2352,Foul on River Reed.,41,55
14:56,52,CJ Walker made Free Throw.,41,56
14:56,52,CJ Walker made Free Throw.,41,57
14:37,52,Foul on M.J. Walker.,41,57
14:37,2352,Andre Walker made Free Throw.,42,57
14:37,2352,Andre Walker missed Free Throw.,42,57
14:37,52,Phil Cofer Defensive Rebound.,42,57
14:26,2352,Foul on Cam Gregory.,42,57
14:26,52,Phil Cofer made Free Throw.,42,58
14:26,52,Phil Cofer missed Free Throw.,42,58
14:26,2352,Cam Gregory Defensive Rebound.,42,58
14:16,2352,Cam Gregory made Dunk. Assisted by River Reed.,44,58
13:51,2352,Foul on Cam Gregory.,44,58
13:51,52,Braian Angola made Free Throw.,44,59
13:51,52,Braian Angola made Free Throw.,44,60
13:37,2352,Brent Holcombe missed Three Point Jumper.,44,60
13:36,52,Braian Angola Block.,44,60
13:35,52,Phil Cofer Defensive Rebound.,44,60
13:28,52,Trent Forrest made Three Point Jumper. Assisted by M.J. Walker.,44,63
13:10,2352,Brent Holcombe missed Three Point Jumper.,44,63
13:10,2352,Chuck Champion Offensive Rebound.,44,63
13:05,2352,Andre Walker made Three Point Jumper.,47,63
12:37,52,M.J. Walker made Jumper.,47,65
12:35,2352,Chuck Champion missed Jumper.,47,65
12:35,52,Trent Forrest Defensive Rebound.,47,65
12:33,52,Trent Forrest Turnover.,47,65
12:32,2352,Andre Walker Steal.,47,65
12:28,2352,Chuck Champion missed Three Point Jumper.,47,65
12:28,52,Trent Forrest Defensive Rebound.,47,65
12:23,52,Terance Mann missed Layup.,47,65
12:23,2352,Andre Walker Defensive Rebound.,47,65
12:06,52,Foul on Braian Angola.,47,65
12:06,2352,River Reed made Free Throw.,48,65
12:06,2352,River Reed made Free Throw.,49,65
11:54,52,Mfiondu Kabengele missed Jumper.,49,65
11:54,52,M.J. Walker Offensive Rebound.,49,65
11:46,52,CJ Walker made Layup.,49,67
11:46,2352,Foul on Cam Gregory.,49,67
11:46,52,Official TV Timeout,49,67
11:45,52,CJ Walker missed Free Throw.,49,67
11:45,2352,Ian Langendoerfer Defensive Rebound.,49,67
11:34,2352,Andre Walker missed Jumper.,49,67
11:34,2352,River Reed Offensive Rebound.,49,67
11:28,2352,River Reed missed Layup.,49,67
11:28,52,Braian Angola Block.,49,67
11:25,2352,River Reed Offensive Rebound.,49,67
11:20,2352,River Reed missed Layup.,49,67
11:20,52,Mfiondu Kabengele Block.,49,67
11:20,2352,Loyola (MD) Offensive Rebound.,49,67
11:14,2352,Isaiah Hart missed Layup.,49,67
11:14,52,Mfiondu Kabengele Block.,49,67
11:14,2352,River Reed Offensive Rebound.,49,67
11:13,2352,River Reed missed Layup.,49,67
11:13,52,Florida State Deadball Team Rebound.,49,67
11:13,2352,Foul on River Reed.,49,67
11:13,52,Mfiondu Kabengele made Free Throw.,49,68
11:13,52,Mfiondu Kabengele made Free Throw.,49,69
11:01,2352,Ian Langendoerfer made Three Point Jumper. Assisted by Isaiah Hart.,52,69
10:37,52,Braian Angola made Layup. Assisted by CJ Walker.,52,71
10:18,2352,Ian Langendoerfer missed Jumper.,52,71
10:18,52,Trent Forrest Defensive Rebound.,52,71
10:11,52,CJ Walker made Three Point Jumper. Assisted by Trent Forrest.,52,74
9:50,2352,Isaiah Hart made Jumper.,54,74
9:42,52,M.J. Walker made Three Point Jumper. Assisted by Trent Forrest.,54,77
9:25,52,Foul on M.J. Walker.,54,77
9:25,2352,River Reed missed Free Throw.,54,77
9:25,52,Braian Angola Defensive Rebound.,54,77
9:20,52,CJ Walker missed Three Point Jumper.,54,77
9:20,2352,Ian Langendoerfer Defensive Rebound.,54,77
9:00,52,Foul on M.J. Walker.,54,77
9:00,2352,Isaiah Hart made Free Throw.,55,77
9:00,2352,Isaiah Hart made Free Throw.,56,77
8:43,52,Mfiondu Kabengele made Layup.,56,79
8:26,2352,Isaiah Hart missed Jumper.,56,79
8:26,52,CJ Walker Defensive Rebound.,56,79
7:59,52,M.J. Walker made Three Point Jumper. Assisted by CJ Walker.,56,82
7:30,2352,Chuck Champion missed Three Point Jumper.,56,82
7:30,52,Braian Angola Defensive Rebound.,56,82
7:20,52,CJ Walker missed Layup.,56,82
7:20,2352,Brent Holcombe Block.,56,82
7:18,2352,Luke Johnson Defensive Rebound.,56,82
6:53,2352,Chuck Champion made Jumper.,58,82
6:53,2352,Loyola (MD)  Timeout,58,82
6:53,52,Official TV Timeout,58,82
6:33,52,Phil Cofer made Jumper. Assisted by M.J. Walker.,58,84
6:04,2352,Andre Walker missed Three Point Jumper.,58,84
6:04,52,CJ Walker Defensive Rebound.,58,84
5:57,52,M.J. Walker missed Three Point Jumper.,58,84
5:57,2352,Cam Gregory Defensive Rebound.,58,84
5:49,2352,Isaiah Hart missed Layup.,58,84
5:49,52,CJ Walker Defensive Rebound.,58,84
5:45,52,CJ Walker Turnover.,58,84
5:42,52,Foul on M.J. Walker.,58,84
5:42,2352,Isaiah Hart made Free Throw.,59,84
5:42,2352,Isaiah Hart missed Free Throw.,59,84
5:42,52,Terance Mann Defensive Rebound.,59,84
5:33,52,Trent Forrest missed Three Point Jumper.,59,84
5:33,2352,Cam Gregory Defensive Rebound.,59,84
5:30,2352,Isaiah Hart missed Layup.,59,84
5:30,2352,Cam Gregory Offensive Rebound.,59,84
5:24,2352,Cam Gregory missed Layup.,59,84
5:24,2352,Cam Gregory Offensive Rebound.,59,84
5:22,2352,Cam Gregory made Layup.,61,84
5:10,52,Terance Mann missed Jumper.,61,84
5:10,52,Terance Mann Offensive Rebound.,61,84
5:07,52,Terance Mann made Dunk.,61,86
4:27,2352,Andre Walker missed Layup.,61,86
4:27,2352,Cam Gregory Offensive Rebound.,61,86
4:24,2352,Cam Gregory made Layup.,63,86
4:09,52,Phil Cofer missed Layup.,63,86
4:08,2352,Cam Gregory Block.,63,86
4:07,2352,James Fives Defensive Rebound.,63,86
3:59,2352,Luke Johnson made Layup. Assisted by Isaiah Hart.,65,86
3:38,52,Terance Mann Turnover.,65,86
3:33,2352,Andre Walker made Layup. Assisted by Isaiah Hart.,67,86
3:20,52,Florida State  Timeout,67,86
3:20,52,Official TV Timeout,67,86
3:04,52,Ike Obiagu made Dunk. Assisted by Wyatt Wilkes.,67,88
2:45,2352,Andre Walker missed Three Point Jumper.,67,88
2:45,52,Terance Mann Defensive Rebound.,67,88
2:39,52,Terance Mann made Layup.,67,90
2:39,2352,Foul on Nevell Provo.,67,90
2:39,52,Terance Mann made Free Throw.,67,91
2:22,2352,Luke Johnson made Layup. Assisted by Matt Staubi.,69,91
2:12,52,Ike Obiagu made Dunk. Assisted by Wyatt Wilkes.,69,93
1:48,2352,Matt Staubi Turnover.,69,93
1:46,52,Brandon Allen Steal.,69,93
1:39,52,Wyatt Wilkes missed Three Point Jumper.,69,93
1:39,2352,Brent Holcombe Defensive Rebound.,69,93
1:33,2352,Luke Johnson made Jumper.,71,93
1:01,52,Braian Angola made Three Point Jumper. Assisted by Trent Forrest.,71,96
0:45,2352,Nevell Provo missed Three Point Jumper.,71,96
0:45,52,Braian Angola Defensive Rebound.,71,96
0:29,52,Trent Forrest Turnover.,71,96
0:00,52,End of Game,71,96
