Loyola New Orleans,Error,Louisiana,309
6:28,-1,Terry Jr Smith Defensive Rebound.,13,30
6:15,309,Foul on Johnathan Stove.,13,30
6:03,-1,Tre'Von Jasmine made Jumper.,15,30
5:44,309,Johnathan Stove made Layup. Assisted by Marcus Stroman.,15,32
5:30,-1,Tre'Von Jasmine missed Layup.,15,32
5:30,309,Johnathan Stove Defensive Rebound.,15,32
5:23,309,JaKeenan Gant missed Layup.,15,32
5:23,309,JaKeenan Gant Offensive Rebound.,15,32
5:19,309,JaKeenan Gant missed Layup.,15,32
5:19,309,Bryce Washington Offensive Rebound.,15,32
5:18,-1,Foul on Ethan Turner.,15,32
5:18,309,Bryce Washington made Free Throw.,15,33
5:18,309,Bryce Washington made Free Throw.,15,34
5:07,-1,Foul on Terry Jr Smith.,15,34
4:37,309,JaKeenan Gant made Three Point Jumper. Assisted by Marcus Stroman.,15,37
4:22,-1,Terry Jr Smith Turnover.,15,37
4:20,309,Malik Marquetti Steal.,15,37
3:56,309,Marcus Stroman missed Three Point Jumper.,15,37
3:56,309,Bryce Washington Offensive Rebound.,15,37
3:53,309,Bryce Washington made Layup.,15,39
3:38,-1,Ethan Turner missed Three Point Jumper.,15,39
3:38,309,Bryce Washington Defensive Rebound.,15,39
3:27,309,Bryce Washington missed Layup.,15,39
3:27,-1,Robert White Block.,15,39
3:22,309,Bryce Washington Offensive Rebound.,15,39
3:18,309,Bryce Washington missed Layup.,15,39
3:18,-1,Robert White Defensive Rebound.,15,39
3:18,-1,Robert White Turnover.,15,39
3:13,309,P.J. Hardy made Three Point Jumper. Assisted by Johnathan Stove.,15,42
2:58,-1,Chase Eckholdt Turnover.,15,42
2:58,309,Bryce Washington Steal.,15,42
2:37,309,Bryce Washington missed Layup.,15,42
2:37,-1,Brooks Murrell Block.,15,42
2:34,309,Bryce Washington Offensive Rebound.,15,42
2:31,309,Bryce Washington missed Layup.,15,42
2:31,-1,Brooks Murrell Defensive Rebound.,15,42
2:19,-1,Tre'Von Jasmine missed Jumper.,15,42
2:19,309,Bryce Washington Defensive Rebound.,15,42
1:57,309,Johnathan Stove missed Three Point Jumper.,15,42
1:57,-1,Chase Eckholdt Defensive Rebound.,15,42
1:39,-1,Chase Eckholdt made Three Point Jumper. Assisted by Brooks Murrell.,18,42
1:27,309,Justin Miller Turnover.,18,42
1:02,-1,Tensley Aldridge missed Jumper.,18,42
1:02,309,JaKeenan Gant Defensive Rebound.,18,42
0:49,309,Bryce Washington missed Layup.,18,42
0:49,-1,Loyola (LA) Deadball Team Rebound.,18,42
0:48,309,Foul on JaKeenan Gant.,18,42
0:48,-1,Robert White made Free Throw.,19,42
0:48,-1,Robert White missed Free Throw.,19,42
0:48,309,JaKeenan Gant Defensive Rebound.,19,42
0:31,309,JaKeenan Gant missed Three Point Jumper.,19,42
0:31,309,Malik Marquetti Offensive Rebound.,19,42
0:02,309,Bryce Washington missed Layup.,19,42
0:02,309,Malik Marquetti Offensive Rebound.,19,42
0:00,309,Malik Marquetti made Layup.,19,44
0:00,309,End of 1st half,19,42
19:33,-1,Tre'Von Jasmine made Layup.,21,44
19:16,309,JaKeenan Gant made Dunk. Assisted by Johnathan Stove.,21,46
18:53,-1,Trey LaForge made Layup.,23,46
18:46,309,Malik Marquetti missed Jumper.,23,46
18:46,-1,Trey LaForge Defensive Rebound.,23,46
18:35,-1,Tensley Aldridge missed Layup.,23,46
18:35,309,Bryce Washington Defensive Rebound.,23,46
18:26,309,JaKeenan Gant made Dunk. Assisted by Johnathan Stove.,23,48
17:53,-1,Tensley Aldridge Turnover.,23,48
17:52,309,Malik Marquetti Steal.,23,48
17:45,309,Johnathan Stove missed Three Point Jumper.,23,48
17:45,309,Bryce Washington Offensive Rebound.,23,48
17:39,309,Bryce Washington Turnover.,23,48
17:25,309,Foul on Bryce Washington.,23,48
17:25,-1,Trey LaForge missed Free Throw.,23,48
17:25,-1,Loyola (LA) Deadball Team Rebound.,23,48
17:25,-1,Trey LaForge made Free Throw.,24,48
17:15,309,Marcus Stroman Turnover.,24,48
17:14,-1,Trey LaForge Steal.,24,48
17:09,309,Foul on Marcus Stroman.,24,48
16:51,309,Foul on Marcus Stroman.,24,48
16:29,-1,Chase Eckholdt missed Jumper.,24,48
16:29,309,Louisiana Deadball Team Rebound.,24,48
16:10,309,Johnathan Stove made Layup.,24,50
16:10,-1,Foul on Ethan Turner.,24,50
16:10,309,Johnathan Stove made Free Throw.,24,51
15:47,-1,Tensley Aldridge missed Jumper.,24,51
15:47,309,JaKeenan Gant Defensive Rebound.,24,51
15:26,309,Bryce Washington made Layup. Assisted by Johnathan Stove.,24,53
15:26,-1,Foul on Tre'Von Jasmine.,24,53
15:26,309,Official TV Timeout,24,53
15:26,309,Bryce Washington made Free Throw.,24,54
15:14,-1,Tre'Von Jasmine made Layup.,26,54
14:54,-1,Foul on Robert White.,26,54
14:54,309,JaKeenan Gant made Free Throw.,26,55
14:54,309,JaKeenan Gant missed Free Throw.,26,55
14:54,-1,Terry Jr Smith Defensive Rebound.,26,55
14:33,-1,Tre'Von Jasmine Turnover.,26,55
14:31,309,Marcus Stroman Steal.,26,55
14:27,309,JaKeenan Gant missed Jumper.,26,55
14:27,-1,Tensley Aldridge Defensive Rebound.,26,55
14:24,-1,Tensley Aldridge missed Layup.,26,55
14:24,309,JaKeenan Gant Defensive Rebound.,26,55
14:15,309,JaKeenan Gant Turnover.,26,55
14:12,-1,Chase Eckholdt Steal.,26,55
14:04,-1,Robert White missed Layup.,26,55
14:04,-1,Terry Jr Smith Offensive Rebound.,26,55
14:02,309,Foul on Malik Marquetti.,26,55
14:02,-1,Terry Jr Smith made Free Throw.,27,55
14:02,-1,Terry Jr Smith made Free Throw.,28,55
13:52,309,JaKeenan Gant made Dunk. Assisted by Marcus Stroman.,28,57
13:42,-1,Chase Eckholdt Turnover.,28,57
13:42,309,Marcus Stroman Steal.,28,57
13:42,-1,Foul on Chase Eckholdt.,28,57
13:39,-1,Foul on Chase Eckholdt.,28,57
13:34,309,JaKeenan Gant made Dunk. Assisted by Malik Marquetti.,28,59
13:01,-1,Tre'Von Jasmine made Three Point Jumper. Assisted by Terry Jr Smith.,31,59
12:54,309,Johnathan Stove missed Three Point Jumper.,31,59
12:54,309,Louisiana Deadball Team Rebound.,31,59
12:54,-1,Foul on Robert White.,31,59
12:52,309,Justin Miller Turnover.,31,59
12:51,-1,Eric Brown Steal.,31,59
12:42,-1,Tensley Aldridge made Layup.,33,59
12:24,309,JaKeenan Gant made Layup. Assisted by Justin Miller.,33,61
12:07,-1,Eric Brown made Three Point Jumper. Assisted by Tre'Von Jasmine.,36,61
11:44,309,JaKeenan Gant made Layup.,36,63
11:37,-1,Josh Leaney made Jumper. Assisted by Tensley Aldridge.,38,63
11:27,309,JaKeenan Gant made Dunk. Assisted by Marcus Stroman.,38,65
11:20,309,Louisiana  Timeout,38,65
11:09,-1,Terry Jr Smith made Layup. Assisted by Josh Leaney.,40,65
10:52,309,Justin Miller missed Layup.,40,65
10:52,-1,Tre'Von Jasmine Block.,40,65
10:50,-1,Eric Brown Defensive Rebound.,40,65
10:44,309,Foul on Justin Miller.,40,65
10:44,-1,Loyola (LA)  Timeout,40,65
10:28,-1,Tensley Aldridge missed Jumper.,40,65
10:28,309,Johnathan Stove Defensive Rebound.,40,65
10:09,309,Johnathan Stove made Dunk.,40,67
9:46,-1,Tensley Aldridge missed Jumper.,40,67
9:46,309,Malik Marquetti Defensive Rebound.,40,67
9:36,-1,Foul on Josh Leaney.,40,67
9:36,309,Justin Miller made Free Throw.,40,68
9:36,309,Justin Miller made Free Throw.,40,69
9:27,-1,Benjamin Fields Turnover.,40,69
9:27,-1,Foul on Benjamin Fields.,40,69
9:18,309,Jerekius Davis Turnover.,40,69
9:18,309,Foul on Jerekius Davis.,40,69
8:58,-1,Benjamin Fields Turnover.,40,69
8:47,309,Malik Marquetti made Three Point Jumper. Assisted by Justin Miller.,40,72
8:12,-1,Tensley Aldridge missed Layup.,40,72
8:12,309,Justin Miller Defensive Rebound.,40,72
8:08,309,Foul on Justin Miller.,40,72
7:59,-1,Tre'Von Jasmine made Layup.,42,72
7:42,309,Cedric Russell made Jumper.,42,74
7:25,-1,Chase Eckholdt missed Three Point Jumper.,42,74
7:25,-1,Terry Jr Smith Offensive Rebound.,42,74
7:22,-1,Terry Jr Smith made Layup.,44,74
7:22,309,Foul on Johnathan Stove.,44,74
7:22,309,Official TV Timeout,44,74
7:22,-1,Terry Jr Smith made Free Throw.,45,74
7:12,309,Malik Marquetti missed Three Point Jumper.,45,74
7:12,309,Cedric Russell Offensive Rebound.,45,74
6:56,309,P.J. Hardy missed Jumper.,45,74
6:56,-1,Terry Jr Smith Defensive Rebound.,45,74
6:36,-1,Benjamin Fields missed Layup.,45,74
6:36,309,Malik Marquetti Defensive Rebound.,45,74
6:29,309,Malik Marquetti made Layup.,45,76
6:16,-1,Terry Jr Smith missed Layup.,45,76
6:16,309,Cedric Russell Defensive Rebound.,45,76
6:10,309,P.J. Hardy made Three Point Jumper. Assisted by Cedric Russell.,45,79
5:50,-1,Benjamin Fields Turnover.,45,79
5:35,309,P.J. Hardy missed Jumper.,45,79
5:35,-1,Benjamin Fields Defensive Rebound.,45,79
5:27,-1,Noah Griffin missed Three Point Jumper.,45,79
5:27,309,Larenz Stalcup Defensive Rebound.,45,79
5:17,309,Larenz Stalcup missed Jumper.,45,79
5:17,-1,Benjamin Fields Defensive Rebound.,45,79
5:06,309,Foul on Larenz Stalcup.,45,79
5:06,-1,Tre'Von Jasmine made Free Throw.,46,79
5:06,-1,Tre'Von Jasmine made Free Throw.,47,79
4:56,309,Larenz Stalcup missed Layup.,47,79
4:56,309,Larenz Stalcup Offensive Rebound.,47,79
4:53,309,Larenz Stalcup made Layup.,47,81
4:39,-1,Brooks Murrell Turnover.,47,81
4:36,309,P.J. Hardy Steal.,47,81
4:32,309,Larenz Stalcup missed Jumper.,47,81
4:32,-1,Eric Brown Defensive Rebound.,47,81
4:18,-1,Joseph Ruzevich Turnover.,47,81
4:17,309,Jerekius Davis Steal.,47,81
4:15,309,Jerekius Davis made Layup.,47,83
4:15,-1,Foul on Brooks Murrell.,47,83
4:15,309,Jerekius Davis missed Free Throw.,47,83
4:15,-1,Brooks Murrell Defensive Rebound.,47,83
4:01,-1,Chase Eckholdt Turnover.,47,83
3:57,309,Jacob Broussard Turnover.,47,83
3:44,309,Foul on Cedric Russell.,47,83
3:44,309,Official TV Timeout,47,83
3:44,-1,Eric Brown made Free Throw.,48,83
3:44,-1,Eric Brown missed Free Throw.,48,83
3:44,309,Mason Aucoin Defensive Rebound.,48,83
3:43,-1,Foul on Trey LaForge.,48,83
3:43,309,Mason Aucoin made Free Throw.,48,84
3:43,309,Mason Aucoin made Free Throw.,48,85
3:24,-1,Trey LaForge Turnover.,48,85
3:23,309,Jacob Broussard Steal.,48,85
3:20,309,Jerekius Davis made Layup. Assisted by Jacob Broussard.,48,87
3:08,-1,Chase Eckholdt missed Jumper.,48,87
3:08,309,Jacob Broussard Defensive Rebound.,48,87
3:07,309,Jacob Broussard Turnover.,48,87
3:04,-1,Trey LaForge Turnover.,48,87
3:03,309,Jerekius Davis Steal.,48,87
3:01,309,Jerekius Davis made Dunk.,48,89
2:41,-1,Eric Brown made Three Point Jumper. Assisted by Chase Eckholdt.,51,89
2:25,-1,Chase Eckholdt Block.,51,89
2:15,309,P.J. Hardy made Three Point Jumper. Assisted by Jacob Broussard.,51,92
2:10,-1,Hunter Clark made Three Point Jumper.,54,92
1:25,309,Jacob Broussard made Three Point Jumper.,54,95
1:06,-1,Brooks Murrell made Layup.,56,95
0:46,309,Jerekius Davis made Three Point Jumper.,56,98
0:27,-1,Eric Brown missed Three Point Jumper.,56,98
0:27,309,P.J. Hardy Defensive Rebound.,56,98
0:00,309,End of Game,56,98
