Princeton,45,George Washington,163
11:57,163,Foul on Myles Stephens.,41,47
11:57,45,Official TV Timeout,41,47
11:57,45,Yuta Watanabe made Free Throw.,41,48
11:57,45,Yuta Watanabe made Free Throw.,41,49
11:47,163,Myles Stephens made Layup.,43,49
11:14,45,Jair Bolden missed Jumper.,43,49
11:14,45,Patrick Steeves Offensive Rebound.,43,49
10:53,45,Yuta Watanabe missed Three Point Jumper.,43,49
10:53,45,Bo Zeigler Offensive Rebound.,43,49
10:48,45,Bo Zeigler made Layup.,43,51
10:35,163,Myles Stephens made Dunk.,45,51
10:05,45,Patrick Steeves missed Three Point Jumper.,45,51
10:05,45,Yuta Watanabe Offensive Rebound.,45,51
9:51,45,Terry Nolan Jr. made Layup.,45,53
9:51,163,Foul on Vittorio Reynoso-Avila.,45,53
9:51,45,Terry Nolan Jr. made Free Throw.,45,54
9:37,163,Myles Stephens made Three Point Jumper. Assisted by Devin Cannady.,48,54
9:35,163,Princeton  Timeout,48,54
9:11,45,Arnaldo Toro missed Layup.,48,54
9:11,45,Arnaldo Toro Offensive Rebound.,48,54
9:07,45,Arnaldo Toro missed Jumper.,48,54
9:07,45,Bo Zeigler Offensive Rebound.,48,54
9:00,45,Bo Zeigler made Two Point Tip Shot.,48,56
8:47,163,Devin Cannady Turnover.,48,56
8:46,45,Terry Nolan Jr. Steal.,48,56
8:45,163,Foul on Amir Bell.,48,56
8:25,45,Foul on Jair Bolden.,48,56
8:25,45,Jair Bolden Turnover.,48,56
8:15,163,Sebastian Much made Layup.,50,56
7:47,45,Yuta Watanabe made Layup.,50,58
7:29,163,Devin Cannady made Layup.,52,58
7:04,45,Arnaldo Toro made Layup. Assisted by Patrick Steeves.,52,60
6:49,163,Foul on Amir Bell.,52,60
6:49,163,Amir Bell Turnover.,52,60
6:49,45,Official TV Timeout,52,60
6:23,45,Justin Mazzulla missed Three Point Jumper.,52,60
6:23,163,Myles Stephens Defensive Rebound.,52,60
6:07,163,Myles Stephens missed Jumper.,52,60
6:07,45,Justin Mazzulla Defensive Rebound.,52,60
5:37,45,Jair Bolden made Layup.,52,62
5:27,45,Foul on Patrick Steeves.,52,62
5:27,163,Vittorio Reynoso-Avila made Free Throw.,53,62
5:27,163,Vittorio Reynoso-Avila missed Free Throw.,53,62
5:27,45,Patrick Steeves Defensive Rebound.,53,62
5:02,45,Bo Zeigler missed Layup.,53,62
5:02,45,Bo Zeigler Offensive Rebound.,53,62
4:59,45,Bo Zeigler made Two Point Tip Shot.,53,64
4:45,163,Devin Cannady missed Three Point Jumper.,53,64
4:45,45,Terry Nolan Jr. Defensive Rebound.,53,64
4:21,45,Yuta Watanabe missed Jumper.,53,64
4:21,163,Amir Bell Block.,53,64
4:18,163,Princeton Defensive Rebound.,53,64
4:02,163,Amir Bell missed Layup.,53,64
4:02,163,Amir Bell Offensive Rebound.,53,64
4:00,163,Amir Bell missed Layup.,53,64
4:00,45,Bo Zeigler Block.,53,64
3:58,45,Yuta Watanabe Defensive Rebound.,53,64
3:39,163,Foul on Aaron Young.,53,64
3:39,45,Official TV Timeout,53,64
3:39,45,Terry Nolan Jr. missed Free Throw.,53,64
3:39,163,Amir Bell Defensive Rebound.,53,64
3:34,45,Foul on Bo Zeigler.,53,64
3:34,163,Ryan Schwieger missed Free Throw.,53,64
3:34,45,Terry Nolan Jr. Defensive Rebound.,53,64
3:05,45,Terry Nolan Jr. missed Jumper.,53,64
3:05,163,Ryan Schwieger Defensive Rebound.,53,64
2:51,163,Myles Stephens missed Layup.,53,64
2:51,45,Yuta Watanabe Block.,53,64
2:50,163,Princeton Offensive Rebound.,53,64
2:49,163,Aaron Young missed Three Point Jumper.,53,64
2:49,45,Bo Zeigler Defensive Rebound.,53,64
2:35,163,Foul on Aaron Young.,53,64
2:35,45,Jair Bolden made Free Throw.,53,65
2:35,45,Jair Bolden made Free Throw.,53,66
2:28,163,Amir Bell Turnover.,53,66
2:27,45,Jair Bolden Steal.,53,66
1:59,45,Jair Bolden missed Jumper.,53,66
1:59,163,Jerome Desrosiers Defensive Rebound.,53,66
1:48,163,Jerome Desrosiers made Three Point Jumper. Assisted by Amir Bell.,56,66
1:47,163,Princeton  Timeout,56,66
1:28,163,Foul on Vittorio Reynoso-Avila.,56,66
1:28,45,Jair Bolden missed Free Throw.,56,66
1:28,45,George Washington Deadball Team Rebound.,56,66
1:28,45,Jair Bolden missed Free Throw.,56,66
1:28,163,Amir Bell Defensive Rebound.,56,66
1:18,163,Devin Cannady made Layup.,58,66
1:09,163,Foul on Myles Stephens.,58,66
1:09,45,Terry Nolan Jr. made Free Throw.,58,67
1:09,45,Terry Nolan Jr. missed Free Throw.,58,67
1:08,163,Princeton Defensive Rebound.,58,67
1:03,163,Devin Cannady missed Layup.,58,67
1:03,45,Bo Zeigler Block.,58,67
1:02,45,Jair Bolden Defensive Rebound.,58,67
0:43,163,Foul on Myles Stephens.,58,67
0:43,45,Yuta Watanabe missed Free Throw.,58,67
0:43,45,George Washington Deadball Team Rebound.,58,67
0:43,45,Yuta Watanabe made Free Throw.,58,68
0:37,163,Devin Cannady made Layup.,60,68
0:37,45,George Washington  Timeout,60,68
0:29,163,Foul on Devin Cannady.,60,68
0:29,45,Jair Bolden made Free Throw.,60,69
0:29,45,Jair Bolden made Free Throw.,60,70
0:24,163,Amir Bell Turnover.,60,70
0:12,163,Foul on Vittorio Reynoso-Avila.,60,70
0:12,45,Jair Bolden missed Free Throw.,60,70
0:12,45,George Washington Deadball Team Rebound.,60,70
0:12,45,Jair Bolden made Free Throw.,60,71
0:00,45,End of Game,60,71
