Southern Illinois,139,Saint Louis,79
11:23,139,Hasahn French Defensive Rebound.,53,50
10:53,139,Aaron Hines missed Jumper.,53,50
10:53,79,Rudy Stradnieks Defensive Rebound.,53,50
10:32,79,Rudy Stradnieks missed Jumper.,53,50
10:32,139,Javon Bess Defensive Rebound.,53,50
10:07,139,Aaron Hines made Jumper.,53,52
9:44,79,Foul on Rudy Stradnieks.,53,52
9:44,79,Rudy Stradnieks Turnover.,53,52
9:27,139,Jalen Johnson missed Three Point Jumper.,53,52
9:27,79,Rudy Stradnieks Defensive Rebound.,53,52
9:19,139,Foul on Aaron Hines.,53,52
9:19,79,Marcus Bartley made Free Throw.,54,52
9:19,79,Marcus Bartley made Free Throw.,55,52
9:08,139,Hasahn French missed Jumper.,55,52
9:08,79,Sean Lloyd Jr. Block.,55,52
9:06,79,Eric McGill Defensive Rebound.,55,52
9:03,79,Eric McGill missed Layup.,55,52
9:03,139,Jalen Johnson Block.,55,52
9:03,139,Saint Louis Defensive Rebound.,55,52
8:39,139,Aaron Hines missed Three Point Jumper.,55,52
8:39,139,Saint Louis Offensive Rebound.,55,52
8:31,139,Jordan Goodwin missed Three Point Jumper.,55,52
8:31,79,Rudy Stradnieks Defensive Rebound.,55,52
8:21,139,Foul on Aaron Hines.,55,52
8:21,79,Marcus Bartley made Free Throw.,56,52
8:21,79,Marcus Bartley made Free Throw.,57,52
7:57,139,Official TV Timeout,57,52
7:53,139,Hasahn French made Layup. Assisted by Javon Bess.,57,54
7:36,79,Jonathan Wiley missed Jumper.,57,54
7:36,139,Jordan Goodwin Defensive Rebound.,57,54
7:25,139,Jalen Johnson Turnover.,57,54
7:23,79,Rudy Stradnieks Steal.,57,54
7:16,79,Marcus Bartley missed Three Point Jumper.,57,54
7:16,139,Aaron Hines Defensive Rebound.,57,54
7:07,139,Jordan Goodwin made Layup. Assisted by Aaron Hines.,57,56
6:47,139,Foul on Jalen Johnson.,57,56
6:47,79,Marcus Bartley made Free Throw.,58,56
6:47,79,Marcus Bartley made Free Throw.,59,56
6:20,79,Foul on Marcus Bartley.,59,56
6:20,139,Jordan Goodwin missed Free Throw.,59,56
6:20,79,Jonathan Wiley Defensive Rebound.,59,56
5:57,79,Jonathan Wiley missed Jumper.,59,56
5:57,139,Hasahn French Defensive Rebound.,59,56
5:51,139,Javon Bess missed Three Point Jumper.,59,56
5:51,139,Jalen Johnson Offensive Rebound.,59,56
5:47,79,Foul on Sean Lloyd Jr..,59,56
5:47,139,Jalen Johnson made Free Throw.,59,57
5:47,139,Jalen Johnson made Free Throw.,59,58
5:26,79,Jonathan Wiley made Jumper. Assisted by Aaron Cook.,61,58
4:59,139,Javon Bess made Three Point Jumper. Assisted by Jordan Goodwin.,61,61
4:30,79,Armon Fletcher Turnover.,61,61
4:29,139,Javon Bess Steal.,61,61
4:13,139,Aaron Hines missed Jumper.,61,61
4:13,139,Saint Louis Offensive Rebound.,61,61
4:08,79,Foul on Sean Lloyd Jr..,61,61
4:08,139,Hasahn French missed Free Throw.,61,61
4:08,139,Saint Louis Deadball Team Rebound.,61,61
4:08,139,Hasahn French made Free Throw.,61,62
3:43,139,Foul on Hasahn French.,61,62
3:43,139,Official TV Timeout,61,62
3:43,79,Jonathan Wiley made Free Throw.,62,62
3:43,79,Jonathan Wiley made Free Throw.,63,62
3:25,79,Foul on Kavion Pippen.,63,62
3:25,139,Hasahn French missed Free Throw.,63,62
3:25,139,Saint Louis Deadball Team Rebound.,63,62
3:25,139,Hasahn French made Free Throw.,63,63
3:04,79,Marcus Bartley Turnover.,63,63
3:03,139,Javon Bess Steal.,63,63
3:01,139,Hasahn French made Dunk.,63,65
2:39,79,Rudy Stradnieks missed Three Point Jumper.,63,65
2:39,139,Jordan Goodwin Defensive Rebound.,63,65
2:28,139,Saint Louis  Timeout,63,65
2:28,139,Official TV Timeout,63,65
2:12,139,Javon Bess made Three Point Jumper. Assisted by Hasahn French.,63,68
2:01,139,Foul on Javon Bess.,63,68
2:01,79,Jonathan Wiley missed Free Throw.,63,68
2:01,79,Southern Illinois Deadball Team Rebound.,63,68
2:01,79,Jonathan Wiley missed Free Throw.,63,68
2:01,139,Jalen Johnson Defensive Rebound.,63,68
1:28,139,Aaron Hines missed Jumper.,63,68
1:28,79,Rudy Stradnieks Defensive Rebound.,63,68
1:15,139,Foul on Jalen Johnson.,63,68
1:15,79,Jonathan Wiley made Free Throw.,64,68
1:15,79,Jonathan Wiley missed Free Throw.,64,68
1:15,139,Javon Bess Defensive Rebound.,64,68
0:52,139,Jalen Johnson missed Three Point Jumper.,64,68
0:52,79,Sean Lloyd Jr. Defensive Rebound.,64,68
0:39,79,Jonathan Wiley made Jumper. Assisted by Armon Fletcher.,66,68
0:39,79,Southern Illinois  Timeout,66,68
0:33,79,Foul on Jonathan Wiley.,66,68
0:33,139,Aaron Hines made Free Throw.,66,69
0:33,139,Aaron Hines made Free Throw.,66,70
0:20,79,Armon Fletcher missed Layup.,66,70
0:20,139,Hasahn French Block.,66,70
0:19,139,Jordan Goodwin Defensive Rebound.,66,70
0:19,79,Foul on Armon Fletcher.,66,70
0:19,79,Southern Illinois  Timeout,66,70
0:19,139,Jordan Goodwin made Free Throw.,66,71
0:19,139,Jordan Goodwin made Free Throw.,66,72
0:11,79,Marcus Bartley made Three Point Jumper.,69,72
0:11,79,Southern Illinois  Timeout,69,72
0:10,79,Foul on Sean Lloyd Jr..,69,72
0:10,139,Javon Bess missed Free Throw.,69,72
0:10,139,Saint Louis Deadball Team Rebound.,69,72
0:10,139,Javon Bess made Free Throw.,69,73
0:10,139,Saint Louis  Timeout,69,73
0:02,79,Rudy Stradnieks missed Three Point Jumper.,69,73
0:02,139,Jordan Goodwin Defensive Rebound.,69,73
0:01,79,Foul on Jonathan Wiley.,69,73
0:01,139,Jordan Goodwin missed Free Throw.,69,73
0:01,139,Saint Louis Deadball Team Rebound.,69,73
0:01,139,Jordan Goodwin made Free Throw.,69,74
0:00,139,End of Game,69,73
