Holy Cross,113,Massachusetts,107
9:48,107,Holy Cross Defensive Rebound.,17,13
9:29,107,Matt Faw missed Three Point Jumper.,17,13
9:29,113,Luwane Pipkins Defensive Rebound.,17,13
9:25,107,Foul on Matt Faw.,17,13
9:25,113,Luwane Pipkins made Free Throw.,17,14
9:25,113,Luwane Pipkins made Free Throw.,17,15
9:02,107,Jehyve Floyd Turnover.,17,15
8:50,113,Luwane Pipkins Turnover.,17,15
8:33,107,Jehyve Floyd made Layup. Assisted by Karl Charles.,19,15
8:18,107,Foul on Jehyve Floyd.,19,15
8:18,113,Luwane Pipkins made Free Throw.,19,16
8:18,113,Luwane Pipkins made Free Throw.,19,17
7:47,107,Matt Faw missed Layup.,19,17
7:47,113,C.J. Anderson Defensive Rebound.,19,17
7:41,113,Rayshawn Miller made Three Point Jumper. Assisted by C.J. Anderson.,19,20
7:16,107,Connor Niego missed Three Point Jumper.,19,20
7:16,107,Karl Charles Offensive Rebound.,19,20
6:53,107,Patrick Benzan missed Three Point Jumper.,19,20
6:53,113,Chris Baldwin Defensive Rebound.,19,20
6:29,113,Rayshawn Miller made Three Point Jumper. Assisted by C.J. Anderson.,19,23
6:06,107,Caleb Green missed Jumper.,19,23
6:06,107,Matt Faw Offensive Rebound.,19,23
6:01,107,Matt Faw made Layup.,21,23
5:39,107,Foul on Connor Niego.,21,23
5:39,113,Official TV Timeout,21,23
5:39,113,Malik Hines made Free Throw.,21,24
5:39,113,Malik Hines made Free Throw.,21,25
5:10,107,Caleb Green made Three Point Jumper. Assisted by Karl Charles.,24,25
4:48,113,Unique McLean missed Three Point Jumper.,24,25
4:48,107,Karl Charles Defensive Rebound.,24,25
4:17,107,Holy Cross  Turnover.,24,25
3:58,113,C.J. Anderson missed Three Point Jumper.,24,25
3:58,113,Rayshawn Miller Offensive Rebound.,24,25
3:51,113,Rashaan Holloway missed Layup.,24,25
3:51,107,Jehyve Floyd Defensive Rebound.,24,25
3:29,107,Caleb Green missed Three Point Jumper.,24,25
3:29,113,Rayshawn Miller Defensive Rebound.,24,25
3:22,113,Luwane Pipkins made Three Point Jumper. Assisted by Rayshawn Miller.,24,28
3:03,107,Connor Niego made Three Point Jumper. Assisted by Matt Zignorski.,27,28
2:58,113,Luwane Pipkins missed Three Point Jumper.,27,28
2:57,107,Holy Cross Deadball Team Rebound.,27,28
2:56,113,Foul on Malik Hines.,27,28
2:28,107,Jehyve Floyd made Layup. Assisted by Jacob Grandison.,29,28
1:58,107,Foul on Karl Charles.,29,28
1:38,113,Luwane Pipkins missed Three Point Jumper.,29,28
1:38,113,Luwane Pipkins Offensive Rebound.,29,28
1:32,113,Carl Pierre made Three Point Jumper. Assisted by Luwane Pipkins.,29,31
1:11,113,Foul on Carl Pierre.,29,31
1:11,107,Karl Charles made Free Throw.,30,31
1:11,107,Karl Charles made Free Throw.,31,31
0:54,107,Foul on Connor Niego.,31,31
0:54,113,Chris Baldwin made Free Throw.,31,32
0:54,113,Chris Baldwin missed Free Throw.,31,32
0:54,107,Caleb Green Defensive Rebound.,31,32
0:31,107,Matt Faw Turnover.,31,32
0:30,113,C.J. Anderson Steal.,31,32
0:30,107,Foul on Caleb Green.,31,32
0:30,113,C.J. Anderson made Free Throw.,31,33
0:30,113,C.J. Anderson made Free Throw.,31,34
0:05,107,Patrick Benzan missed Three Point Jumper.,31,34
0:05,113,C.J. Anderson Defensive Rebound.,31,34
0:00,113,End of 1st half,31,34
19:47,113,Rayshawn Miller Turnover.,31,34
19:45,107,Jehyve Floyd Steal.,31,34
19:16,107,Connor Niego missed Jumper.,31,34
19:16,113,Malik Hines Defensive Rebound.,31,34
19:01,113,Rayshawn Miller missed Three Point Jumper.,31,34
19:01,113,Malik Hines Offensive Rebound.,31,34
18:47,113,Malik Hines made Layup. Assisted by Luwane Pipkins.,31,36
18:24,107,Caleb Green missed Three Point Jumper.,31,36
18:24,113,C.J. Anderson Defensive Rebound.,31,36
18:03,113,Rayshawn Miller missed Three Point Jumper.,31,36
18:03,107,Patrick Benzan Defensive Rebound.,31,36
17:39,107,Caleb Green missed Three Point Jumper.,31,36
17:39,113,C.J. Anderson Defensive Rebound.,31,36
17:33,113,Rayshawn Miller Turnover.,31,36
17:19,107,Jehyve Floyd missed Jumper.,31,36
17:19,113,Carl Pierre Defensive Rebound.,31,36
17:01,113,Foul on Rayshawn Miller.,31,36
17:01,113,Rayshawn Miller Turnover.,31,36
16:39,107,Jacob Grandison missed Three Point Jumper.,31,36
16:39,113,C.J. Anderson Defensive Rebound.,31,36
16:26,113,Malik Hines made Layup. Assisted by C.J. Anderson.,31,38
16:14,107,Holy Cross  Timeout,31,38
15:58,107,Caleb Green missed Three Point Jumper.,31,38
15:58,113,Malik Hines Defensive Rebound.,31,38
15:47,113,Carl Pierre missed Layup.,31,38
15:47,113,Malik Hines Offensive Rebound.,31,38
15:44,113,Malik Hines missed Layup.,31,38
15:44,107,Jacob Grandison Block.,31,38
15:41,113,Malik Hines Offensive Rebound.,31,38
15:39,113,Malik Hines made Layup.,31,40
15:30,113,Foul on Malik Hines.,31,40
15:30,113,Official TV Timeout,31,40
15:30,107,Jehyve Floyd made Free Throw.,32,40
15:30,107,Jehyve Floyd made Free Throw.,33,40
14:59,113,UMass  Turnover.,33,40
14:48,107,Patrick Benzan missed Layup.,33,40
14:48,113,Unique McLean Block.,33,40
14:45,113,UMass Defensive Rebound.,33,40
14:30,113,Foul on Rashaan Holloway.,33,40
14:30,113,Rashaan Holloway Turnover.,33,40
14:05,107,Connor Niego Turnover.,33,40
14:02,113,Luwane Pipkins Steal.,33,40
13:59,113,Rayshawn Miller missed Three Point Jumper.,33,40
13:59,107,Jehyve Floyd Defensive Rebound.,33,40
13:39,113,Foul on Rashaan Holloway.,33,40
13:39,107,Jehyve Floyd missed Free Throw.,33,40
13:39,107,Holy Cross Deadball Team Rebound.,33,40
13:39,107,Jehyve Floyd made Free Throw.,34,40
13:20,107,Foul on Jehyve Floyd.,34,40
13:00,113,Unique McLean made Three Point Jumper. Assisted by Rayshawn Miller.,34,43
12:44,107,Caleb Green missed Three Point Jumper.,34,43
12:44,113,C.J. Anderson Defensive Rebound.,34,43
12:41,113,Foul on Unique McLean.,34,43
12:41,113,Unique McLean Turnover.,34,43
12:25,107,Caleb Green made Layup. Assisted by Karl Charles.,36,43
12:10,113,Chris Baldwin Turnover.,36,43
12:07,107,Karl Charles Steal.,36,43
11:44,113,Official TV Timeout,36,43
11:41,107,Jacob Grandison Turnover.,36,43
11:13,113,Luwane Pipkins missed Layup.,36,43
11:13,107,Jacob Grandison Defensive Rebound.,36,43
11:00,107,Jehyve Floyd made Layup. Assisted by Clayton Le Sann.,38,43
10:31,113,Carl Pierre made Three Point Jumper. Assisted by Rayshawn Miller.,38,46
10:13,107,Matt Zignorski missed Jumper.,38,46
10:13,113,Carl Pierre Defensive Rebound.,38,46
10:05,113,Carl Pierre made Layup. Assisted by Luwane Pipkins.,38,48
10:05,107,Foul on Jehyve Floyd.,38,48
10:05,113,Carl Pierre made Free Throw.,38,49
9:35,107,Clayton Le Sann missed Layup.,38,49
9:35,113,Carl Pierre Block.,38,49
9:35,107,Holy Cross Offensive Rebound.,38,49
9:34,107,Holy Cross  Turnover.,38,49
9:17,113,Rayshawn Miller missed Layup.,38,49
9:17,113,Malik Hines Offensive Rebound.,38,49
9:13,113,Malik Hines missed Layup.,38,49
9:13,107,Connor Niego Defensive Rebound.,38,49
8:57,107,Clayton Le Sann missed Jumper.,38,49
8:57,113,Carl Pierre Defensive Rebound.,38,49
8:50,113,Malik Hines made Dunk. Assisted by C.J. Anderson.,38,51
8:50,107,Holy Cross  Timeout,38,51
8:29,107,Patrick Benzan missed Jumper.,38,51
8:29,113,UMass Deadball Team Rebound.,38,51
7:56,113,Carl Pierre Turnover.,38,51
7:56,113,Official TV Timeout,38,51
7:51,113,Foul on Luwane Pipkins.,38,51
7:47,107,Caleb Green missed Layup.,38,51
7:47,113,Malik Hines Defensive Rebound.,38,51
7:21,113,C.J. Anderson missed Three Point Jumper.,38,51
7:21,113,UMass Offensive Rebound.,38,51
6:59,113,Luwane Pipkins missed Three Point Jumper.,38,51
6:59,107,Jehyve Floyd Defensive Rebound.,38,51
6:49,107,Karl Charles missed Three Point Jumper.,38,51
6:49,113,C.J. Anderson Defensive Rebound.,38,51
6:41,113,Unique McLean made Three Point Jumper. Assisted by Rayshawn Miller.,38,54
6:14,107,Jehyve Floyd Turnover.,38,54
5:49,107,Foul on Caleb Green.,38,54
5:49,113,C.J. Anderson made Free Throw.,38,55
5:49,113,C.J. Anderson missed Free Throw.,38,55
5:49,107,Jehyve Floyd Defensive Rebound.,38,55
5:35,107,Jacob Grandison missed Layup.,38,55
5:35,113,Unique McLean Defensive Rebound.,38,55
5:03,113,Carl Pierre missed Three Point Jumper.,38,55
5:03,107,Jacob Grandison Defensive Rebound.,38,55
4:51,113,Foul on Carl Pierre.,38,55
4:51,107,Karl Charles made Free Throw.,39,55
4:51,107,Karl Charles made Free Throw.,40,55
4:47,107,Foul on Kyle Copeland.,40,55
4:17,113,Carl Pierre missed Jumper.,40,55
4:17,113,Malik Hines Offensive Rebound.,40,55
3:56,113,Official TV Timeout,40,55
3:47,113,C.J. Anderson missed Jumper.,40,55
3:47,107,Jehyve Floyd Defensive Rebound.,40,55
3:23,107,Jehyve Floyd made Layup.,42,55
2:58,113,Malik Hines missed Layup.,42,55
2:58,107,Kyle Copeland Defensive Rebound.,42,55
2:40,107,Kyle Copeland made Three Point Jumper. Assisted by Clayton Le Sann.,45,55
2:20,107,Foul on Kyle Copeland.,45,55
2:12,107,Foul on Jehyve Floyd.,45,55
2:12,113,Unique McLean made Free Throw.,45,56
2:12,113,Unique McLean made Free Throw.,45,57
2:01,107,Jacob Grandison made Layup.,47,57
1:55,113,Unique McLean made Dunk. Assisted by C.J. Anderson.,47,59
1:54,107,Foul on Jacob Grandison.,47,59
1:53,113,Unique McLean made Free Throw.,47,60
1:39,107,Jacob Grandison made Three Point Jumper. Assisted by Matt Zignorski.,50,60
1:36,107,Holy Cross  Timeout,50,60
1:21,107,Foul on Clayton Le Sann.,50,60
1:21,113,C.J. Anderson made Free Throw.,50,61
1:21,113,C.J. Anderson made Free Throw.,50,62
1:02,107,Matt Zignorski missed Three Point Jumper.,50,62
1:02,107,Clayton Le Sann Offensive Rebound.,50,62
0:59,107,Clayton Le Sann missed Layup.,50,62
0:59,113,Malik Hines Defensive Rebound.,50,62
0:44,107,Foul on Clayton Le Sann.,50,62
0:44,113,C.J. Anderson made Free Throw.,50,63
0:44,113,C.J. Anderson made Free Throw.,50,64
0:29,107,Kyle Copeland missed Three Point Jumper.,50,64
0:29,113,Unique McLean Defensive Rebound.,50,64
0:00,113,End of Game,50,64
