Texas A&amp;M-CC,292,UT Rio Grande Valley,357
3:29,357,Joseph Kilgore made Jumper.,32,32
3:09,292,Greg Bowie missed Jumper.,32,32
3:09,292,UT Rio Grande Valley Offensive Rebound.,32,32
3:00,292,Lesley Varner Jr. made Layup. Assisted by Lew Stallworth.,32,34
2:39,357,York Benjamin made Jumper. Assisted by Tre Gray.,34,34
2:25,292,Lesley Varner Jr. made Layup.,34,36
2:14,292,Foul on Greg Bowie.,34,36
2:14,357,Kareem South missed Free Throw.,34,36
2:14,292,Lesley Varner Jr. Defensive Rebound.,34,36
2:05,292,Lesley Varner Jr. made Three Point Jumper. Assisted by Nick Dixon.,34,39
1:50,357,York Benjamin Turnover.,34,39
1:44,292,John Crnogorac made Dunk. Assisted by Lew Stallworth.,34,41
1:31,357,Texas A&M-CC  Timeout,34,41
1:15,357,Colin Hale missed Layup.,34,41
1:15,292,Dan Kimasa Defensive Rebound.,34,41
1:02,357,Foul on Tre Gray.,34,41
1:02,292,Nick Dixon made Free Throw.,34,42
1:02,292,Nick Dixon made Free Throw.,34,43
0:53,357,Joseph Kilgore made Jumper.,36,43
0:51,292,Foul on Moe McDonald.,36,43
0:51,357,Joseph Kilgore made Free Throw.,37,43
0:36,292,Dan Kimasa missed Layup.,37,43
0:36,357,Joseph Kilgore Defensive Rebound.,37,43
0:15,357,Joseph Kilgore missed Jumper.,37,43
0:15,292,Lesley Varner Jr. Defensive Rebound.,37,43
0:06,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,37,45
0:00,357,Tre Gray missed Three Point Jumper.,37,45
0:00,292,Dan Kimasa Defensive Rebound.,37,45
0:00,292,End of 1st half,37,45
19:36,292,Moe McDonald made Jumper. Assisted by Nick Dixon.,37,47
19:18,357,Joseph Kilgore made Jumper. Assisted by Kareem South.,39,47
19:02,357,Foul on Sean Rhea.,39,47
19:02,292,Dan Kimasa made Free Throw.,39,48
19:02,292,Dan Kimasa missed Free Throw.,39,48
19:02,357,Perry Francois Defensive Rebound.,39,48
18:43,357,Perry Francois made Jumper. Assisted by Joseph Kilgore.,41,48
18:28,357,Foul on Emmanuel Toney.,41,48
18:28,292,Dan Kimasa made Free Throw.,41,49
18:28,292,Dan Kimasa made Free Throw.,41,50
18:18,357,Kareem South missed Jumper.,41,50
18:18,357,Texas A&M-CC Offensive Rebound.,41,50
18:15,292,Foul on Javon Levi.,41,50
18:12,357,Joseph Kilgore made Jumper.,43,50
18:02,292,Dan Kimasa missed Layup.,43,50
18:02,357,York Benjamin Defensive Rebound.,43,50
17:50,357,Joseph Kilgore made Layup.,45,50
17:41,292,Mike Hoffman missed Three Point Jumper.,45,50
17:41,357,Colin Hale Defensive Rebound.,45,50
17:32,357,Kareem South missed Layup.,45,50
17:32,292,Mike Hoffman Defensive Rebound.,45,50
17:04,292,Mike Hoffman missed Three Point Jumper.,45,50
17:04,357,Joseph Kilgore Defensive Rebound.,45,50
16:58,357,Joseph Kilgore Turnover.,45,50
16:56,292,Nick Dixon Steal.,45,50
16:56,357,Foul on Colin Hale.,45,50
16:56,292,Nick Dixon made Free Throw.,45,51
16:56,292,Nick Dixon made Free Throw.,45,52
16:35,292,Foul on Mike Hoffman.,45,52
16:35,357,Kareem South made Free Throw.,46,52
16:35,357,Kareem South made Free Throw.,47,52
16:26,292,Lesley Varner Jr. Turnover.,47,52
16:04,357,Kareem South Turnover.,47,52
16:02,292,Lew Stallworth Steal.,47,52
15:59,292,Moe McDonald missed Layup.,47,52
15:59,357,Joseph Kilgore Block.,47,52
15:56,357,Jamell Bradley Defensive Rebound.,47,52
15:43,357,Colin Hale made Jumper. Assisted by York Benjamin.,49,52
15:26,292,Lesley Varner Jr. missed Three Point Jumper.,49,52
15:26,357,Kareem South Defensive Rebound.,49,52
15:18,357,Kareem South missed Layup.,49,52
15:18,357,Kareem South Offensive Rebound.,49,52
15:16,292,Official TV Timeout,49,52
15:05,357,Jamell Bradley missed Layup.,49,52
15:05,292,John Crnogorac Block.,49,52
15:03,292,Nick Dixon Defensive Rebound.,49,52
14:59,292,Nick Dixon made Layup.,49,54
14:30,357,Texas A&M-CC  Turnover.,49,54
14:02,292,Greg Bowie made Three Point Jumper. Assisted by Lew Stallworth.,49,57
13:38,357,Foul on York Benjamin.,49,57
13:38,357,York Benjamin Turnover.,49,57
13:26,292,John Crnogorac missed Layup.,49,57
13:26,292,Lesley Varner Jr. Offensive Rebound.,49,57
13:21,292,Lesley Varner Jr. missed Layup.,49,57
13:21,357,Kareem South Defensive Rebound.,49,57
13:02,357,Jamell Bradley made Jumper. Assisted by Kyle Brown.,51,57
12:50,357,Foul on Kyle Brown.,51,57
12:38,292,Lesley Varner Jr. made Layup. Assisted by Lew Stallworth.,51,59
12:21,357,Emmanuel Toney made Layup. Assisted by Joseph Kilgore.,53,59
12:06,292,Nick Dixon missed Three Point Jumper.,53,59
12:06,357,Emmanuel Toney Defensive Rebound.,53,59
11:43,357,Joseph Kilgore made Jumper.,55,59
11:29,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,55,61
11:11,357,Sean Rhea missed Jumper.,55,61
11:11,357,Kareem South Offensive Rebound.,55,61
11:08,292,Foul on Lew Stallworth.,55,61
11:08,292,Official TV Timeout,55,61
10:49,357,Sean Rhea made Layup. Assisted by Joseph Kilgore.,57,61
10:32,292,John Crnogorac made Dunk. Assisted by Lesley Varner Jr..,57,63
10:17,357,Joseph Kilgore made Jumper. Assisted by Kyle Brown.,59,63
9:52,292,Lesley Varner Jr. missed Layup.,59,63
9:52,357,Sean Rhea Block.,59,63
9:50,357,Sean Rhea Defensive Rebound.,59,63
9:22,357,Emmanuel Toney missed Jumper.,59,63
9:22,292,UT Rio Grande Valley Defensive Rebound.,59,63
9:22,357,Foul on Kareem South.,59,63
9:08,292,Javon Levi made Layup.,59,65
8:51,357,Sean Rhea Turnover.,59,65
8:39,292,Greg Bowie missed Jumper.,59,65
8:39,292,Mike Hoffman Offensive Rebound.,59,65
8:32,292,Mike Hoffman missed Layup.,59,65
8:32,357,Perry Francois Defensive Rebound.,59,65
8:26,357,Emmanuel Toney made Three Point Jumper. Assisted by Tre Gray.,62,65
8:08,292,Mike Hoffman missed Three Point Jumper.,62,65
8:08,357,Perry Francois Defensive Rebound.,62,65
7:43,357,Perry Francois made Layup.,64,65
7:33,292,Greg Bowie missed Three Point Jumper.,64,65
7:33,357,Tre Gray Defensive Rebound.,64,65
7:22,357,Tre Gray made Layup.,66,65
7:03,292,Dan Kimasa made Jumper. Assisted by Javon Levi.,66,67
6:44,357,Tre Gray made Three Point Jumper. Assisted by Kareem South.,69,67
6:27,292,Javon Levi missed Layup.,69,67
6:27,292,Dan Kimasa Offensive Rebound.,69,67
6:22,292,Dan Kimasa made Layup.,69,69
6:12,357,Perry Francois made Jumper.,71,69
5:45,292,Moe McDonald made Layup.,71,71
5:45,357,Foul on Perry Francois.,71,71
5:45,292,Official TV Timeout,71,71
5:45,292,Moe McDonald missed Free Throw.,71,71
5:45,357,York Benjamin Defensive Rebound.,71,71
5:17,357,Kareem South missed Layup.,71,71
5:17,292,Dan Kimasa Defensive Rebound.,71,71
5:09,292,Nick Dixon made Layup.,71,73
4:51,292,Foul on Dan Kimasa.,71,73
4:51,357,York Benjamin made Free Throw.,72,73
4:51,357,York Benjamin missed Free Throw.,72,73
4:51,292,Dan Kimasa Defensive Rebound.,72,73
4:36,292,Nick Dixon missed Jumper.,72,73
4:36,357,Texas A&M-CC Defensive Rebound.,72,73
4:32,357,Foul on Kareem South.,72,73
4:32,357,Kareem South Turnover.,72,73
4:18,292,Javon Levi Turnover.,72,73
4:03,357,Joseph Kilgore missed Jumper.,72,73
4:03,357,York Benjamin Offensive Rebound.,72,73
3:59,292,Foul on Dan Kimasa.,72,73
3:59,292,Official TV Timeout,72,73
3:59,357,York Benjamin made Free Throw.,73,73
3:59,357,York Benjamin made Free Throw.,74,73
3:36,292,Nick Dixon made Three Point Jumper.,74,76
3:10,357,Kareem South missed Three Point Jumper.,74,76
3:10,292,Lesley Varner Jr. Defensive Rebound.,74,76
3:02,292,Official TV Timeout,74,76
2:42,292,Moe McDonald made Layup. Assisted by Javon Levi.,74,78
2:18,357,Joseph Kilgore missed Jumper.,74,78
2:18,292,Javon Levi Defensive Rebound.,74,78
1:59,292,Mike Hoffman missed Jumper.,74,78
1:59,357,Sean Rhea Defensive Rebound.,74,78
1:50,357,Tre Gray missed Three Point Jumper.,74,78
1:50,357,Joseph Kilgore Offensive Rebound.,74,78
1:49,292,Foul on Nick Dixon.,74,78
1:49,357,Joseph Kilgore made Free Throw.,75,78
1:49,357,Joseph Kilgore made Free Throw.,76,78
1:25,292,Nick Dixon made Jumper.,76,80
0:53,357,Tre Gray made Layup.,78,80
0:53,357,Texas A&M-CC  Timeout,78,80
0:29,292,Moe McDonald Turnover.,78,80
0:23,357,Texas A&M-CC  Timeout,78,80
0:05,357,Joseph Kilgore missed Three Point Jumper.,78,80
0:05,292,Moe McDonald Defensive Rebound.,78,80
0:03,357,Foul on Emmanuel Toney.,78,80
0:03,357,Texas A&M-CC  Timeout,78,80
0:03,292,Moe McDonald made Free Throw.,78,81
0:03,292,Moe McDonald made Free Throw.,78,82
0:00,357,Emmanuel Toney missed Three Point Jumper.,78,82
0:00,357,Texas A&M-CC Offensive Rebound.,78,82
0:00,292,End of Game,78,82
