New Mexico,38,Colorado,167
5:22,167,Foul on Jachai Simmons.,21,27
5:22,38,Tyler Bey missed Free Throw.,21,27
5:22,38,Colorado Deadball Team Rebound.,21,27
5:22,38,Tyler Bey made Free Throw.,21,28
5:10,167,Antino Jackson missed Three Point Jumper.,21,28
5:10,38,McKinley Wright IV Defensive Rebound.,21,28
4:55,38,Lucas Siewert missed Three Point Jumper.,21,28
4:55,167,Chris McNeal Defensive Rebound.,21,28
4:37,167,Joe Furstinger missed Three Point Jumper.,21,28
4:37,38,D'Shawn Schwartz Defensive Rebound.,21,28
4:33,167,Foul on Makuach Maluach.,21,28
4:33,38,D'Shawn Schwartz missed Free Throw.,21,28
4:33,38,Colorado Deadball Team Rebound.,21,28
4:33,38,D'Shawn Schwartz made Free Throw.,21,29
4:25,38,Foul on Dominique Collier.,21,29
4:25,167,Chris McNeal missed Free Throw.,21,29
4:25,38,D'Shawn Schwartz Defensive Rebound.,21,29
4:08,38,D'Shawn Schwartz missed Layup.,21,29
4:08,167,Dane Kuiper Block.,21,29
4:06,167,Makuach Maluach Defensive Rebound.,21,29
3:49,167,Chris McNeal missed Three Point Jumper.,21,29
3:49,167,Jachai Simmons Offensive Rebound.,21,29
3:40,167,Jachai Simmons made Layup.,23,29
3:30,167,Dane Kuiper Steal.,23,29
3:30,38,Namon Wright Turnover.,23,29
3:30,167,New Mexico  Timeout,23,29
3:11,167,Joe Furstinger missed Jumper.,23,29
3:11,38,McKinley Wright IV Defensive Rebound.,23,29
2:40,38,McKinley Wright IV missed Jumper.,23,29
2:40,167,Joe Furstinger Defensive Rebound.,23,29
2:33,167,Anthony Mathis made Three Point Jumper. Assisted by Chris McNeal.,26,29
2:29,38,Colorado  Timeout,26,29
2:16,38,Namon Wright missed Jumper.,26,29
2:16,38,McKinley Wright IV Offensive Rebound.,26,29
2:08,38,Deleon Brown Turnover.,26,29
2:07,167,Troy Simons Steal.,26,29
1:58,167,Makuach Maluach made Dunk. Assisted by Troy Simons.,28,29
1:36,38,Namon Wright made Jumper.,28,31
1:23,167,Makuach Maluach made Layup.,30,31
1:23,38,Foul on Deleon Brown.,30,31
1:23,167,Makuach Maluach missed Free Throw.,30,31
1:23,38,Lucas Siewert Defensive Rebound.,30,31
0:54,38,McKinley Wright IV made Jumper.,30,33
0:43,167,Troy Simons made Three Point Jumper.,33,33
0:25,38,D'Shawn Schwartz made Layup.,33,35
0:02,167,Makuach Maluach missed Layup.,33,35
0:02,167,Makuach Maluach Offensive Rebound.,33,35
0:01,167,Makuach Maluach missed Layup.,33,35
0:01,167,Makuach Maluach Offensive Rebound.,33,35
0:00,167,Makuach Maluach missed Layup.,33,35
0:00,167,New Mexico Offensive Rebound.,33,35
0:00,38,End of 1st half,33,35
19:35,167,Joe Furstinger missed Layup.,33,35
19:35,38,George King Defensive Rebound.,33,35
19:32,38,Deleon Brown Turnover.,33,35
19:31,167,Troy Simons Steal.,33,35
19:29,167,Joe Furstinger made Dunk. Assisted by Chris McNeal.,35,35
19:17,38,Deleon Brown made Three Point Jumper. Assisted by George King.,35,38
18:45,167,Sam Logwood missed Layup.,35,38
18:45,38,Dallas Walton Defensive Rebound.,35,38
18:37,38,McKinley Wright IV missed Layup.,35,38
18:37,167,Sam Logwood Defensive Rebound.,35,38
18:31,167,Antino Jackson missed Three Point Jumper.,35,38
18:31,38,Dallas Walton Defensive Rebound.,35,38
18:14,38,George King made Layup. Assisted by McKinley Wright IV.,35,40
18:14,167,Foul on Troy Simons.,35,40
18:14,38,George King made Free Throw.,35,41
17:48,167,Sam Logwood made Jumper.,37,41
17:36,38,George King missed Layup.,37,41
17:36,38,Dallas Walton Offensive Rebound.,37,41
17:34,38,Dallas Walton made Layup.,37,43
17:19,167,Chris McNeal missed Jumper.,37,43
17:19,38,Deleon Brown Block.,37,43
17:18,38,George King Defensive Rebound.,37,43
17:15,38,Foul on Dallas Walton.,37,43
17:15,38,Dallas Walton Turnover.,37,43
17:07,167,Anthony Mathis missed Three Point Jumper.,37,43
17:07,167,Anthony Mathis Offensive Rebound.,37,43
16:51,38,Foul on Lucas Siewert.,37,43
16:45,167,Jachai Simmons made Three Point Jumper. Assisted by Makuach Maluach.,40,43
16:21,38,Deleon Brown missed Layup.,40,43
16:21,167,Dane Kuiper Defensive Rebound.,40,43
16:10,167,Makuach Maluach missed Layup.,40,43
16:10,38,McKinley Wright IV Defensive Rebound.,40,43
16:03,167,Foul on Antino Jackson.,40,43
16:02,38,McKinley Wright IV Turnover.,40,43
16:00,167,Makuach Maluach Steal.,40,43
15:32,38,Foul on Lucas Siewert.,40,43
15:32,167,New Mexico  Timeout,40,43
15:32,167,Joe Furstinger made Free Throw.,41,43
15:32,167,Joe Furstinger missed Free Throw.,41,43
15:32,38,Namon Wright Defensive Rebound.,41,43
15:14,38,Dominique Collier made Three Point Jumper. Assisted by McKinley Wright IV.,41,46
14:45,167,Dane Kuiper missed Dunk.,41,46
14:45,38,McKinley Wright IV Defensive Rebound.,41,46
14:30,38,George King Turnover.,41,46
14:28,167,Antino Jackson Steal.,41,46
14:24,167,Dane Kuiper made Three Point Jumper.,44,46
13:55,38,Namon Wright missed Jumper.,44,46
13:55,167,Dane Kuiper Defensive Rebound.,44,46
13:43,167,Antino Jackson missed Three Point Jumper.,44,46
13:43,38,Namon Wright Defensive Rebound.,44,46
13:32,167,Foul on Dane Kuiper.,44,46
13:32,38,Dominique Collier made Free Throw.,44,47
13:32,38,Dominique Collier missed Free Throw.,44,47
13:32,167,Makuach Maluach Defensive Rebound.,44,47
13:25,167,Troy Simons missed Layup.,44,47
13:25,38,George King Block.,44,47
13:24,38,George King Defensive Rebound.,44,47
13:10,38,George King made Layup.,44,49
12:38,167,Troy Simons missed Three Point Jumper.,44,49
12:38,38,Colorado Defensive Rebound.,44,49
12:23,38,Tyler Bey missed Dunk.,44,49
12:23,167,Makuach Maluach Block.,44,49
12:22,38,Tyler Bey Offensive Rebound.,44,49
12:20,38,Tyler Bey missed Layup.,44,49
12:20,167,New Mexico Defensive Rebound.,44,49
12:07,167,Joe Furstinger missed Layup.,44,49
12:07,38,Lazar Nikolic Defensive Rebound.,44,49
11:58,38,Lazar Nikolic Turnover.,44,49
11:56,167,Jachai Simmons Steal.,44,49
11:55,167,New Mexico  Timeout,44,49
11:35,38,Foul on Lazar Nikolic.,44,49
11:29,167,Chris McNeal made Layup.,46,49
11:06,38,Foul on Dallas Walton.,46,49
11:06,38,Dallas Walton Turnover.,46,49
10:57,167,Jachai Simmons made Dunk.,48,49
10:33,38,Lazar Nikolic made Three Point Jumper. Assisted by Dominique Collier.,48,52
10:22,167,Sam Logwood missed Jumper.,48,52
10:22,38,D'Shawn Schwartz Defensive Rebound.,48,52
10:14,38,Dominique Collier missed Layup.,48,52
10:14,167,Chris McNeal Defensive Rebound.,48,52
10:08,167,Troy Simons missed Three Point Jumper.,48,52
10:08,38,D'Shawn Schwartz Defensive Rebound.,48,52
10:01,38,Lazar Nikolic made Dunk. Assisted by Deleon Brown.,48,54
9:57,167,New Mexico  Timeout,48,54
9:36,167,Makuach Maluach missed Layup.,48,54
9:36,38,Lazar Nikolic Defensive Rebound.,48,54
9:29,38,McKinley Wright IV made Jumper.,48,56
9:12,167,Anthony Mathis made Three Point Jumper. Assisted by Antino Jackson.,51,56
8:42,167,Foul on Dane Kuiper.,51,56
8:32,38,D'Shawn Schwartz made Three Point Jumper. Assisted by Deleon Brown.,51,59
8:15,167,Antino Jackson missed Three Point Jumper.,51,59
8:15,38,D'Shawn Schwartz Defensive Rebound.,51,59
8:09,38,Deleon Brown Turnover.,51,59
7:55,167,Sam Logwood missed Layup.,51,59
7:55,38,D'Shawn Schwartz Defensive Rebound.,51,59
7:39,38,McKinley Wright IV made Layup.,51,61
7:24,167,Chris McNeal Turnover.,51,61
7:24,38,Colorado  Timeout,51,61
6:59,38,McKinley Wright IV missed Three Point Jumper.,51,61
6:59,167,Sam Logwood Defensive Rebound.,51,61
6:32,167,Jachai Simmons missed Three Point Jumper.,51,61
6:32,38,McKinley Wright IV Defensive Rebound.,51,61
6:23,38,D'Shawn Schwartz missed Jumper.,51,61
6:23,167,Joe Furstinger Defensive Rebound.,51,61
6:22,38,Foul on D'Shawn Schwartz.,51,61
6:12,167,Troy Simons missed Three Point Jumper.,51,61
6:12,38,George King Defensive Rebound.,51,61
6:03,38,Foul on Lucas Siewert.,51,61
6:03,38,Lucas Siewert Turnover.,51,61
5:44,167,Jachai Simmons missed Layup.,51,61
5:44,38,Dominique Collier Defensive Rebound.,51,61
5:30,38,McKinley Wright IV Turnover.,51,61
5:11,167,Anthony Mathis made Layup.,53,61
4:47,38,Dominique Collier missed Three Point Jumper.,53,61
4:47,38,Lazar Nikolic Offensive Rebound.,53,61
4:35,38,Dominique Collier made Layup.,53,63
4:11,167,Chris McNeal missed Three Point Jumper.,53,63
4:11,38,Colorado Defensive Rebound.,53,63
4:01,38,Namon Wright Turnover.,53,63
4:00,167,New Mexico  Timeout,53,63
3:44,38,Foul on George King.,53,63
3:44,167,Sam Logwood missed Free Throw.,53,63
3:44,167,New Mexico Deadball Team Rebound.,53,63
3:44,167,Sam Logwood missed Free Throw.,53,63
3:44,38,George King Defensive Rebound.,53,63
3:17,167,Foul on Joe Furstinger.,53,63
3:17,38,Dominique Collier missed Free Throw.,53,63
3:17,38,Colorado Deadball Team Rebound.,53,63
3:17,38,Dominique Collier made Free Throw.,53,64
2:56,167,Antino Jackson missed Jumper.,53,64
2:56,38,Dallas Walton Defensive Rebound.,53,64
2:45,38,Dallas Walton missed Layup.,53,64
2:45,38,George King Offensive Rebound.,53,64
2:43,167,Foul on Joe Furstinger.,53,64
2:43,38,George King made Free Throw.,53,65
2:43,38,George King made Free Throw.,53,66
2:39,38,Foul on Dallas Walton.,53,66
2:39,167,Anthony Mathis missed Free Throw.,53,66
2:39,38,Lucas Siewert Defensive Rebound.,53,66
2:34,167,Foul on Dane Kuiper.,53,66
2:34,38,Dominique Collier made Free Throw.,53,67
2:34,38,Dominique Collier made Free Throw.,53,68
2:14,167,Troy Simons missed Three Point Jumper.,53,68
2:14,38,George King Defensive Rebound.,53,68
2:09,38,George King Turnover.,53,68
2:09,167,Antino Jackson Steal.,53,68
2:09,38,Foul on Dominique Collier.,53,68
2:09,167,Troy Simons missed Free Throw.,53,68
2:09,167,New Mexico Deadball Team Rebound.,53,68
2:09,167,Troy Simons missed Free Throw.,53,68
2:09,167,Joe Furstinger Offensive Rebound.,53,68
2:08,167,Joe Furstinger made Layup.,55,68
2:08,38,Foul on George King.,55,68
2:08,167,Joe Furstinger missed Free Throw.,55,68
2:08,38,Namon Wright Defensive Rebound.,55,68
2:07,167,Foul on Antino Jackson.,55,68
2:07,38,Namon Wright missed Free Throw.,55,68
2:07,167,Troy Simons Defensive Rebound.,55,68
1:53,167,Troy Simons missed Layup.,55,68
1:53,38,Lazar Nikolic Defensive Rebound.,55,68
1:44,38,Colorado  Timeout,55,68
1:40,167,Foul on Joe Furstinger.,55,68
1:27,167,Anthony Mathis Turnover.,55,68
1:19,38,Dominique Collier made Layup. Assisted by Lazar Nikolic.,55,70
1:08,167,Anthony Mathis missed Three Point Jumper.,55,70
1:08,38,George King Defensive Rebound.,55,70
0:55,38,Lazar Nikolic missed Layup.,55,70
0:55,167,Jachai Simmons Defensive Rebound.,55,70
0:47,38,Foul on George King.,55,70
0:47,167,Anthony Mathis made Free Throw.,56,70
0:47,167,Anthony Mathis made Free Throw.,57,70
0:40,38,Namon Wright made Layup.,57,72
0:33,167,Jachai Simmons missed Three Point Jumper.,57,72
0:33,38,Lazar Nikolic Defensive Rebound.,57,72
0:01,38,Dominique Collier made Three Point Jumper. Assisted by McKinley Wright IV.,57,75
0:00,38,End of Game,57,75
