SIU-Edwardsville,85,IUPUI,2565
4:42,85,Ron Patterson made Layup. Assisted by D.J. McCall.,31,33
4:42,2565,SIU-Edwardsville  Timeout,31,33
4:27,2565,Jalen Henry made Jumper. Assisted by David McFarland.,33,33
4:05,85,Aaron Brennan made Layup. Assisted by Nick Rogers.,33,35
3:29,2565,David McFarland made Three Point Jumper. Assisted by Jalen Henry.,36,35
3:08,85,Ron Patterson made Three Point Jumper. Assisted by Aaron Brennan.,36,38
2:50,85,Foul on Nick Rogers.,36,38
2:50,85,Official TV Timeout,36,38
2:50,2565,David McFarland missed Free Throw.,36,38
2:50,2565,SIU-Edwardsville Deadball Team Rebound.,36,38
2:50,2565,David McFarland missed Free Throw.,36,38
2:50,85,Aaron Brennan Defensive Rebound.,36,38
2:27,85,Jaylen Minnett missed Three Point Jumper.,36,38
2:27,85,IUPUI Offensive Rebound.,36,38
2:23,85,Jaylen Minnett Turnover.,36,38
2:21,2565,David McFarland Steal.,36,38
2:20,2565,David McFarland made Layup.,38,38
1:56,85,T.J. Henderson missed Three Point Jumper.,38,38
1:56,2565,Keenan Simmons Defensive Rebound.,38,38
1:40,85,Foul on Jaylen Minnett.,38,38
1:40,2565,Daniel Kinchen made Free Throw.,39,38
1:40,2565,Daniel Kinchen made Free Throw.,40,38
1:23,85,Ron Patterson missed Three Point Jumper.,40,38
1:23,85,Aaron Brennan Offensive Rebound.,40,38
1:16,2565,Foul on Jalen Henry.,40,38
1:16,85,T.J. Henderson made Free Throw.,40,39
1:16,85,T.J. Henderson missed Free Throw.,40,39
1:16,2565,Brandon Jackson Defensive Rebound.,40,39
0:50,85,Foul on Aaron Brennan.,40,39
0:50,2565,David McFarland made Free Throw.,41,39
0:50,2565,David McFarland made Free Throw.,42,39
0:34,85,T.J. Henderson made Jumper.,42,41
0:06,2565,Daniel Kinchen missed Jumper.,42,41
0:06,2565,SIU-Edwardsville Offensive Rebound.,42,41
0:02,85,IUPUI  Timeout,42,41
0:00,85,End of 1st half,42,41
19:43,2565,David McFarland made Three Point Jumper.,45,41
19:23,85,Evan Hall missed Layup.,45,41
19:23,2565,Keenan Simmons Block.,45,41
19:21,2565,Jalen Henry Defensive Rebound.,45,41
19:18,2565,Jaylen McCoy made Jumper. Assisted by Christian Ellis.,47,41
18:53,2565,Foul on Jalen Henry.,47,41
18:53,85,Aaron Brennan missed Free Throw.,47,41
18:53,85,IUPUI Deadball Team Rebound.,47,41
18:53,85,Aaron Brennan made Free Throw.,47,42
18:47,2565,Christian Ellis Turnover.,47,42
18:46,85,D.J. McCall Steal.,47,42
18:44,85,D.J. McCall made Dunk.,47,44
18:06,2565,David McFarland made Three Point Jumper.,50,44
17:57,85,Ron Patterson made Three Point Jumper. Assisted by Nick Rogers.,50,47
17:26,2565,Christian Ellis made Three Point Jumper. Assisted by Jaylen McCoy.,53,47
17:14,2565,Foul on David McFarland.,53,47
17:03,85,Ron Patterson Turnover.,53,47
16:44,2565,Brandon Jackson Turnover.,53,47
16:43,85,Aaron Brennan Steal.,53,47
16:41,85,Ron Patterson missed Three Point Jumper.,53,47
16:41,85,D.J. McCall Offensive Rebound.,53,47
16:35,85,Aaron Brennan missed Three Point Jumper.,53,47
16:35,2565,Daniel Kinchen Defensive Rebound.,53,47
16:24,85,Foul on Ron Patterson.,53,47
16:13,2565,Daniel Kinchen made Three Point Jumper.,56,47
16:02,85,Aaron Brennan missed Jumper.,56,47
16:02,85,D.J. McCall Offensive Rebound.,56,47
16:01,2565,Foul on Daniel Kinchen.,56,47
16:00,85,Official TV Timeout,56,47
15:54,85,Aaron Brennan missed Jumper.,56,47
15:54,85,Evan Hall Offensive Rebound.,56,47
15:50,85,Evan Hall made Two Point Tip Shot.,56,49
15:41,2565,Daniel Kinchen made Three Point Jumper.,59,49
15:34,2565,Foul on Daniel Kinchen.,59,49
15:34,85,T.J. Henderson made Free Throw.,59,50
15:34,85,T.J. Henderson made Free Throw.,59,51
15:16,2565,Daniel Kinchen missed Three Point Jumper.,59,51
15:16,85,IUPUI Defensive Rebound.,59,51
14:57,85,Evan Hall Turnover.,59,51
14:35,2565,Daniel Kinchen Turnover.,59,51
14:22,85,T.J. Henderson missed Three Point Jumper.,59,51
14:22,85,D.J. McCall Offensive Rebound.,59,51
14:12,85,Evan Hall missed Layup.,59,51
14:12,2565,Christian Ellis Defensive Rebound.,59,51
13:54,2565,Christian Ellis missed Layup.,59,51
13:54,85,Evan Hall Block.,59,51
13:54,2565,SIU-Edwardsville Offensive Rebound.,59,51
13:53,2565,Daniel Kinchen made Jumper. Assisted by Christian Ellis.,61,51
13:36,85,T.J. Henderson made Layup. Assisted by Maurice Kirby.,61,53
13:01,2565,Christian Ellis made Layup.,63,53
12:49,85,Ron Patterson Turnover.,63,53
12:31,2565,Jaylen McCoy missed Three Point Jumper.,63,53
12:31,85,Maurice Kirby Defensive Rebound.,63,53
12:28,2565,Foul on Keenan Simmons.,63,53
12:13,2565,Foul on Jaylen McCoy.,63,53
11:56,85,Jaylen Minnett made Jumper. Assisted by T.J. Henderson.,63,55
11:56,2565,Foul on D.J. Jackson.,63,55
11:56,85,Official TV Timeout,63,55
11:55,85,Jaylen Minnett made Free Throw.,63,56
11:55,85,Official TV Timeout,63,55
11:45,85,Foul on Maurice Kirby.,63,56
11:45,2565,Keenan Simmons made Free Throw.,64,56
11:45,2565,Keenan Simmons made Free Throw.,65,56
11:31,85,Maurice Kirby made Layup.,65,58
11:10,2565,Christian Ellis Turnover.,65,58
11:09,85,D.J. McCall Steal.,65,58
11:07,85,D.J. McCall made Layup.,65,60
10:39,2565,Foul on Christian Ellis.,65,60
10:39,2565,Christian Ellis Turnover.,65,60
10:23,85,Ron Patterson missed Three Point Jumper.,65,60
10:23,85,D.J. McCall Offensive Rebound.,65,60
10:10,85,Maurice Kirby made Layup. Assisted by Jaylen Minnett.,65,62
10:10,2565,Foul on Keenan Simmons.,65,62
10:10,85,Maurice Kirby missed Free Throw.,65,62
10:10,2565,Jalen Henry Defensive Rebound.,65,62
9:42,2565,Daniel Kinchen missed Three Point Jumper.,65,62
9:42,85,D.J. McCall Defensive Rebound.,65,62
9:29,85,D.J. McCall made Layup. Assisted by Ron Patterson.,65,64
9:25,2565,SIU-Edwardsville  Timeout,65,64
9:00,2565,Keenan Simmons missed Layup.,65,64
9:00,85,D.J. McCall Block.,65,64
8:58,2565,Jalen Henry Offensive Rebound.,65,64
8:57,85,Foul on D.J. McCall.,65,64
8:57,2565,Jalen Henry missed Free Throw.,65,64
8:57,2565,SIU-Edwardsville Deadball Team Rebound.,65,64
8:57,2565,Jalen Henry made Free Throw.,66,64
8:40,85,Maurice Kirby made Jumper.,66,66
8:13,85,Foul on D.J. McCall.,66,66
8:13,2565,Daniel Kinchen made Free Throw.,67,66
8:13,2565,Daniel Kinchen made Free Throw.,68,66
8:04,85,D.J. McCall missed Jumper.,68,66
8:04,2565,David McFarland Defensive Rebound.,68,66
7:45,2565,David McFarland missed Layup.,68,66
7:45,2565,Keenan Simmons Offensive Rebound.,68,66
7:42,2565,Keenan Simmons missed Layup.,68,66
7:42,85,Evan Hall Block.,68,66
7:40,85,Jaylen Minnett Defensive Rebound.,68,66
7:36,2565,Foul on Jalen Henry.,68,66
7:36,85,Official TV Timeout,68,66
7:36,85,T.J. Henderson made Free Throw.,68,67
7:36,85,T.J. Henderson made Free Throw.,68,68
7:20,2565,Jaylen McCoy missed Jumper.,68,68
7:20,85,Evan Hall Defensive Rebound.,68,68
7:02,2565,Foul on Keenan Simmons.,68,68
7:02,85,T.J. Henderson made Free Throw.,68,69
7:02,85,T.J. Henderson missed Free Throw.,68,69
7:02,85,Aaron Brennan Offensive Rebound.,68,69
7:01,2565,Foul on Brandon Jackson.,68,69
7:01,85,Aaron Brennan missed Free Throw.,68,69
7:01,85,IUPUI Deadball Team Rebound.,68,69
7:01,85,Aaron Brennan made Free Throw.,68,70
6:51,2565,Christian Ellis made Layup.,70,70
6:33,85,Aaron Brennan made Jumper. Assisted by T.J. Henderson.,70,72
6:16,2565,Daniel Kinchen missed Layup.,70,72
6:16,85,Ron Patterson Defensive Rebound.,70,72
5:57,85,Evan Hall made Layup. Assisted by Aaron Brennan.,70,74
5:56,2565,Foul on Brandon Jackson.,70,74
5:56,85,Evan Hall missed Free Throw.,70,74
5:56,2565,Jalen Henry Defensive Rebound.,70,74
5:41,85,Foul on D.J. McCall.,70,74
5:38,2565,D.J. Jackson made Jumper.,72,74
5:38,85,Foul on Evan Hall.,72,74
5:38,2565,D.J. Jackson made Free Throw.,73,74
5:19,85,T.J. Henderson missed Three Point Jumper.,73,74
5:19,85,Aaron Brennan Offensive Rebound.,73,74
5:04,85,Evan Hall made Layup. Assisted by Aaron Brennan.,73,76
4:33,2565,Jalen Henry made Jumper.,75,76
4:19,85,T.J. Henderson missed Three Point Jumper.,75,76
4:19,2565,Daniel Kinchen Defensive Rebound.,75,76
4:11,2565,Daniel Kinchen Turnover.,75,76
4:11,85,IUPUI  Timeout,75,76
3:50,85,Aaron Brennan missed Layup.,75,76
3:50,85,Evan Hall Offensive Rebound.,75,76
3:41,2565,Foul on Jalen Henry.,75,76
3:41,85,Evan Hall missed Free Throw.,75,76
3:41,85,IUPUI Deadball Team Rebound.,75,76
3:41,85,Evan Hall missed Free Throw.,75,76
3:41,2565,D.J. Jackson Defensive Rebound.,75,76
3:28,2565,Christian Ellis missed Layup.,75,76
3:28,85,Evan Hall Defensive Rebound.,75,76
3:03,85,Foul on Aaron Brennan.,75,76
3:03,85,Aaron Brennan Turnover.,75,76
2:35,85,Foul on Evan Hall.,75,76
2:35,2565,Daniel Kinchen made Free Throw.,76,76
2:35,2565,Daniel Kinchen made Free Throw.,77,76
2:28,85,Evan Hall made Layup. Assisted by Nick Rogers.,77,78
2:12,2565,Jaylen McCoy made Three Point Jumper. Assisted by Christian Ellis.,80,78
1:53,85,Ron Patterson missed Three Point Jumper.,80,78
1:53,85,T.J. Henderson Offensive Rebound.,80,78
1:46,85,T.J. Henderson Turnover.,80,78
1:46,2565,Jaylen McCoy Steal.,80,78
1:37,2565,Keenan Simmons made Layup. Assisted by Jaylen McCoy.,82,78
1:12,85,Aaron Brennan made Three Point Jumper. Assisted by Ron Patterson.,82,81
0:53,2565,SIU-Edwardsville  Timeout,82,81
0:43,2565,Daniel Kinchen missed Jumper.,82,81
0:43,85,Ron Patterson Block.,82,81
0:41,2565,SIU-Edwardsville Offensive Rebound.,82,81
0:38,2565,Daniel Kinchen missed Three Point Jumper.,82,81
0:38,85,Ron Patterson Block.,82,81
0:35,85,Aaron Brennan Defensive Rebound.,82,81
0:24,85,IUPUI  Timeout,82,81
0:10,85,Jaylen Minnett missed Three Point Jumper.,82,81
0:10,2565,Bill Awet Defensive Rebound.,82,81
0:06,85,Foul on D.J. McCall.,82,81
0:06,2565,Bill Awet missed Free Throw.,82,81
0:06,2565,Christian Ellis Offensive Rebound.,82,81
0:04,85,Foul on Aaron Brennan.,82,81
0:04,2565,Christian Ellis missed Free Throw.,82,81
0:04,2565,SIU-Edwardsville Deadball Team Rebound.,82,81
0:04,2565,Christian Ellis missed Free Throw.,82,81
0:04,85,T.J. Henderson Defensive Rebound.,82,81
0:00,85,End of Game,82,81
