Central Arkansas,25,California,2110
14:26,25,Darius McNeill Defensive Rebound.,7,12
14:23,2110,Foul on Darraja Parnell.,7,12
14:10,25,Nick Hamilton Turnover.,7,12
13:52,25,Foul on Grant Anticevich.,7,12
13:52,2110,Mathieu Kamba made Free Throw.,8,12
13:52,2110,Mathieu Kamba made Free Throw.,9,12
13:39,25,Nick Hamilton missed Jumper.,9,12
13:39,2110,Hayden Koval Block.,9,12
13:37,2110,Central Arkansas Defensive Rebound.,9,12
13:25,25,Foul on Nick Hamilton.,9,12
13:20,2110,Mathieu Kamba made Three Point Jumper. Assisted by Jordan Howard.,12,12
13:02,25,Grant Anticevich missed Jumper.,12,12
13:02,2110,Darraja Parnell Defensive Rebound.,12,12
12:57,2110,Darraja Parnell Turnover.,12,12
12:56,25,Kingsley Okoroh Steal.,12,12
12:53,25,Don Coleman missed Layup.,12,12
12:53,2110,Mathieu Kamba Block.,12,12
12:47,2110,Central Arkansas Defensive Rebound.,12,12
12:41,2110,Mathieu Kamba missed Three Point Jumper.,12,12
12:41,25,Justice Sueing Defensive Rebound.,12,12
12:35,25,Deschon Winston missed Three Point Jumper.,12,12
12:35,2110,Jordan Howard Defensive Rebound.,12,12
12:17,2110,Foul on Jordan Howard.,12,12
12:17,2110,Jordan Howard Turnover.,12,12
12:08,25,Foul on Marcus Lee.,12,12
12:08,25,Marcus Lee Turnover.,12,12
12:02,2110,Hayden Koval made Three Point Jumper. Assisted by Deandre Jones.,15,12
11:42,25,Darius McNeill missed Jumper.,15,12
11:42,25,Marcus Lee Offensive Rebound.,15,12
11:39,25,Marcus Lee made Jumper.,15,14
11:33,2110,Mathieu Kamba missed Jumper.,15,14
11:33,2110,Thatch Unruh Offensive Rebound.,15,14
11:30,2110,Thatch Unruh made Jumper.,17,14
11:12,25,Marcus Lee missed Jumper.,17,14
11:12,25,Juhwan Harris-Dyson Offensive Rebound.,17,14
11:09,25,Juhwan Harris-Dyson made Jumper.,17,16
11:02,25,Foul on Darius McNeill.,17,16
11:02,25,Official TV Timeout,17,16
10:53,2110,Mathieu Kamba Turnover.,17,16
10:50,25,Justice Sueing Turnover.,17,16
10:49,2110,Darraja Parnell Steal.,17,16
10:28,2110,Deandre Jones missed Layup.,17,16
10:28,25,Darius McNeill Defensive Rebound.,17,16
10:22,25,Justice Sueing missed Three Point Jumper.,17,16
10:22,25,Marcus Lee Offensive Rebound.,17,16
10:17,25,Don Coleman missed Three Point Jumper.,17,16
10:17,2110,Hayden Koval Defensive Rebound.,17,16
10:04,2110,Hayden Koval missed Jumper.,17,16
10:04,25,Darius McNeill Defensive Rebound.,17,16
9:50,25,Marcus Lee missed Jumper.,17,16
9:50,2110,Darraja Parnell Defensive Rebound.,17,16
9:34,25,Foul on Juhwan Harris-Dyson.,17,16
9:34,2110,Darraja Parnell made Free Throw.,18,16
9:34,2110,Darraja Parnell made Free Throw.,19,16
9:18,25,Kingsley Okoroh missed Jumper.,19,16
9:04,2110,Deandre Jones Defensive Rebound.,19,16
8:54,2110,Jordan Howard made Three Point Jumper. Assisted by Deandre Jones.,22,16
8:51,25,California  Timeout,22,16
8:42,2110,Foul on Deandre Jones.,22,16
8:42,25,Darius McNeill made Free Throw.,22,17
8:42,25,Darius McNeill made Free Throw.,22,18
8:37,2110,Tanner Schmit made Jumper. Assisted by Jordan Howard.,24,18
8:18,25,Justice Sueing Turnover.,24,18
7:56,25,Official TV Timeout,24,18
7:50,2110,Darraja Parnell made Jumper.,26,18
7:32,25,Justice Sueing missed Jumper.,26,18
7:32,2110,Deandre Jones Defensive Rebound.,26,18
7:24,2110,Jordan Howard missed Jumper.,26,18
7:24,2110,Mathieu Kamba Offensive Rebound.,26,18
7:10,2110,Jordan Howard missed Jumper.,26,18
7:10,25,California Defensive Rebound.,26,18
7:08,25,Juhwan Harris-Dyson missed Three Point Jumper.,26,18
7:08,2110,Tanner Schmit Defensive Rebound.,26,18
6:49,2110,Foul on Jordan Howard.,26,18
6:49,2110,Jordan Howard Turnover.,26,18
6:32,25,Nick Hamilton missed Jumper.,26,18
6:32,2110,Central Arkansas Defensive Rebound.,26,18
6:08,2110,Tanner Schmit missed Jumper.,26,18
6:08,25,Juhwan Harris-Dyson Defensive Rebound.,26,18
6:01,25,Marcus Lee missed Jumper.,26,18
6:01,2110,Darraja Parnell Defensive Rebound.,26,18
5:36,2110,Thatch Unruh missed Three Point Jumper.,26,18
5:26,25,Nick Hamilton Defensive Rebound.,26,18
5:22,25,Foul on Marcus Lee.,26,18
5:02,2110,Deandre Jones made Three Point Jumper. Assisted by Jordan Howard.,29,18
4:42,25,Kingsley Okoroh made Jumper. Assisted by Don Coleman.,29,20
4:24,2110,Jordan Howard made Layup. Assisted by Hayden Koval.,31,20
4:23,25,Foul on Kingsley Okoroh.,31,20
4:23,2110,Jordan Howard made Free Throw.,32,20
3:59,25,Nick Hamilton Turnover.,32,20
3:55,2110,Matthew Mondesir Steal.,32,20
3:47,2110,Mathieu Kamba missed Jumper.,32,20
3:47,25,Kingsley Okoroh Block.,32,20
3:46,2110,Central Arkansas Offensive Rebound.,32,20
3:46,25,Official TV Timeout,32,20
3:45,25,Official TV Timeout,32,20
3:41,2110,Deandre Jones made Three Point Jumper. Assisted by Mathieu Kamba.,35,20
3:18,25,Don Coleman missed Layup.,35,20
3:18,2110,Hayden Koval Defensive Rebound.,35,20
3:14,25,Foul on Don Coleman.,35,20
3:14,2110,Mathieu Kamba made Free Throw.,36,20
3:14,2110,Mathieu Kamba made Free Throw.,37,20
3:09,25,Justice Sueing missed Jumper.,37,20
3:09,25,Nick Hamilton Offensive Rebound.,37,20
3:06,25,Nick Hamilton Turnover.,37,20
3:02,2110,Matthew Mondesir made Layup.,39,20
2:32,25,Kingsley Okoroh missed Jumper.,39,20
2:32,25,Don Coleman Offensive Rebound.,39,20
2:27,2110,Foul on Thatch Unruh.,39,20
2:27,25,Don Coleman made Free Throw.,39,21
2:27,25,Don Coleman made Free Throw.,39,22
2:04,25,Foul on Kingsley Okoroh.,39,22
2:04,2110,Mathieu Kamba made Free Throw.,40,22
2:04,2110,Mathieu Kamba made Free Throw.,41,22
1:53,25,Don Coleman made Jumper.,41,24
1:53,2110,Foul on Darraja Parnell.,41,24
1:53,25,Don Coleman made Free Throw.,41,25
1:43,2110,Central Arkansas  Turnover.,41,25
1:31,25,Darius McNeill Turnover.,41,25
1:20,2110,Hayden Koval made Dunk. Assisted by Deandre Jones.,43,25
1:06,25,Don Coleman missed Layup.,43,25
1:06,2110,Hayden Koval Block.,43,25
1:04,2110,Deandre Jones Defensive Rebound.,43,25
0:42,2110,Mathieu Kamba missed Jumper.,43,25
0:42,25,California Defensive Rebound.,43,25
0:29,25,Darius McNeill Turnover.,43,25
0:28,2110,Deandre Jones Steal.,43,25
0:26,2110,Deandre Jones made Layup.,45,25
0:04,25,Don Coleman missed Jumper.,45,25
0:04,2110,Mathieu Kamba Defensive Rebound.,45,25
0:00,25,End of 1st half,45,25
19:45,2110,Foul on Tanner Schmit.,45,25
19:41,2110,Foul on Tanner Schmit.,45,25
19:41,25,Don Coleman made Free Throw.,45,26
19:41,25,Don Coleman made Free Throw.,45,27
19:21,2110,Ethan Lee missed Jumper.,45,27
19:21,25,Marcus Lee Defensive Rebound.,45,27
19:13,25,Don Coleman Turnover.,45,27
19:09,2110,Thatch Unruh Turnover.,45,27
19:05,25,Don Coleman Steal.,45,27
19:05,25,Don Coleman made Layup.,45,29
19:04,2110,Central Arkansas  Timeout,45,29
18:41,2110,Tanner Schmit made Jumper. Assisted by Thatch Unruh.,47,29
18:25,25,Don Coleman missed Jumper.,47,29
18:25,2110,Thatch Unruh Defensive Rebound.,47,29
18:13,2110,Tanner Schmit made Jumper. Assisted by Mathieu Kamba.,49,29
17:42,25,Marcus Lee Turnover.,49,29
17:32,2110,Jordan Howard missed Three Point Jumper.,49,29
17:32,2110,Ethan Lee Offensive Rebound.,49,29
17:29,25,Foul on Nick Hamilton.,49,29
17:28,25,Foul on Nick Hamilton.,49,29
17:21,2110,Tanner Schmit made Jumper. Assisted by Jordan Howard.,51,29
17:02,25,Justice Sueing Turnover.,51,29
16:50,2110,Ethan Lee made Jumper. Assisted by Thatch Unruh.,53,29
16:35,25,Don Coleman missed Three Point Jumper.,53,29
16:35,25,Juhwan Harris-Dyson Offensive Rebound.,53,29
16:29,2110,Foul on Ethan Lee.,53,29
16:29,25,Juhwan Harris-Dyson made Free Throw.,53,30
16:29,25,Juhwan Harris-Dyson made Free Throw.,53,31
16:20,2110,Jordan Howard made Jumper. Assisted by Mathieu Kamba.,55,31
16:08,2110,Foul on Thatch Unruh.,55,31
16:05,25,Darius McNeill made Three Point Jumper.,55,34
15:58,25,Foul on Marcus Lee.,55,34
15:58,25,Official TV Timeout,55,34
15:58,2110,Mathieu Kamba made Free Throw.,56,34
15:58,2110,Mathieu Kamba made Free Throw.,57,34
15:48,25,Marcus Lee made Jumper. Assisted by Don Coleman.,57,36
15:47,2110,Foul on Tanner Schmit.,57,36
15:47,25,Marcus Lee made Free Throw.,57,37
15:41,2110,Darraja Parnell made Layup.,59,37
15:13,25,Juhwan Harris-Dyson Turnover.,59,37
15:13,2110,Hayden Koval Steal.,59,37
15:02,2110,Darraja Parnell missed Layup.,59,37
15:02,25,Marcus Lee Block.,59,37
15:02,2110,Central Arkansas Offensive Rebound.,59,37
15:01,2110,Jordan Howard made Jumper. Assisted by Darraja Parnell.,61,37
14:40,25,Darius McNeill missed Three Point Jumper.,61,37
14:40,2110,Hayden Koval Defensive Rebound.,61,37
14:30,2110,Deandre Jones missed Three Point Jumper.,61,37
14:30,2110,Hayden Koval Offensive Rebound.,61,37
14:25,2110,Jordan Howard made Three Point Jumper. Assisted by Hayden Koval.,64,37
14:22,25,California  Timeout,64,37
14:13,25,Deschon Winston missed Three Point Jumper.,64,37
14:13,25,Juhwan Harris-Dyson Offensive Rebound.,64,37
14:04,2110,Foul on Hayden Koval.,64,39
14:04,25,Juhwan Harris-Dyson made Layup.,64,39
14:04,25,Juhwan Harris-Dyson missed Free Throw.,64,39
14:04,2110,Otas Iyekekpolor Defensive Rebound.,64,39
13:50,25,Foul on Juhwan Harris-Dyson.,64,39
13:32,2110,Hayden Koval missed Jumper.,64,39
13:32,25,Marcus Lee Block.,64,39
13:30,25,Juhwan Harris-Dyson Defensive Rebound.,64,39
13:28,25,Juhwan Harris-Dyson Turnover.,64,39
13:20,2110,Jordan Howard missed Layup.,64,39
13:20,25,Marcus Lee Block.,64,39
13:17,25,Don Coleman Defensive Rebound.,64,39
13:15,25,Foul on Don Coleman.,64,39
13:15,25,Don Coleman Turnover.,64,39
13:11,2110,Darraja Parnell Turnover.,64,39
13:04,25,Deschon Winston missed Layup.,64,39
13:04,2110,Mathieu Kamba Defensive Rebound.,64,39
13:00,25,Foul on Deschon Winston.,64,39
12:46,2110,Jordan Howard Turnover.,64,39
12:33,25,Marcus Lee made Jumper.,64,41
12:33,2110,Foul on Hayden Koval.,64,41
12:33,25,Marcus Lee made Free Throw.,64,42
12:04,2110,Mathieu Kamba made Three Point Jumper. Assisted by Deandre Jones.,67,42
11:47,25,Official TV Timeout,67,42
11:47,25,Deschon Winston Turnover.,67,42
11:47,25,Official TV Timeout,67,42
11:38,2110,Darraja Parnell Turnover.,67,42
11:27,25,Marcus Lee Turnover.,67,42
10:59,2110,Mathieu Kamba made Three Point Jumper. Assisted by Jordan Howard.,70,42
10:42,25,Marcus Lee Turnover.,70,42
10:25,2110,Jordan Howard missed Layup.,70,42
10:25,2110,Mathieu Kamba Offensive Rebound.,70,42
10:21,2110,Mathieu Kamba made Layup.,72,42
10:03,25,Marcus Lee Turnover.,72,42
10:02,2110,Hayden Koval Steal.,72,42
9:56,2110,Jordan Howard made Three Point Jumper. Assisted by Deandre Jones.,75,42
9:41,25,California  Timeout,75,42
9:39,25,Marcus Lee Turnover.,75,42
9:35,2110,Jordan Howard Steal.,75,42
9:34,2110,Jordan Howard made Layup.,77,42
9:20,2110,Foul on Hayden Koval.,77,42
9:20,25,Marcus Lee missed Free Throw.,77,42
9:20,2110,Thatch Unruh Defensive Rebound.,77,42
9:11,2110,Jordan Howard missed Three Point Jumper.,77,42
9:11,25,Marcus Lee Defensive Rebound.,77,42
9:02,2110,Foul on Thatch Unruh.,77,42
9:02,25,Don Coleman made Free Throw.,77,43
9:02,25,Don Coleman made Free Throw.,77,44
8:55,25,Foul on Marcus Lee.,77,44
8:55,2110,Mathieu Kamba made Free Throw.,78,44
8:55,2110,Mathieu Kamba made Free Throw.,79,44
8:47,2110,Foul on Tanner Schmit.,79,44
8:47,25,Marcus Lee missed Free Throw.,79,44
8:47,25,California Deadball Team Rebound.,79,44
8:47,25,Marcus Lee made Free Throw.,79,45
8:21,2110,Jordan Howard missed Three Point Jumper.,79,45
8:21,2110,Otas Iyekekpolor Offensive Rebound.,79,45
8:16,2110,Central Arkansas  Turnover.,79,45
8:08,2110,Foul on Otas Iyekekpolor.,79,45
8:08,25,Don Coleman made Free Throw.,79,46
8:08,25,Don Coleman made Free Throw.,79,47
7:49,25,Foul on Justice Sueing.,79,47
7:49,25,Official TV Timeout,79,47
7:49,2110,Ethan Lee missed Free Throw.,79,47
7:49,25,Don Coleman Defensive Rebound.,79,47
7:40,2110,Foul on Darraja Parnell.,79,47
7:40,25,Don Coleman made Free Throw.,79,48
7:40,25,Don Coleman made Free Throw.,79,49
7:26,2110,Darraja Parnell missed Jumper.,79,49
7:26,25,Kingsley Okoroh Block.,79,49
7:25,25,Austin McCullough Defensive Rebound.,79,49
7:20,25,Don Coleman missed Layup.,79,49
7:20,2110,Hayden Koval Block.,79,49
7:18,25,Kingsley Okoroh Offensive Rebound.,79,49
7:08,25,Kingsley Okoroh made Jumper.,79,51
6:50,2110,Darraja Parnell missed Jumper.,79,51
6:50,25,Kingsley Okoroh Block.,79,51
6:49,25,Kingsley Okoroh Defensive Rebound.,79,51
6:45,25,Nick Hamilton made Three Point Jumper. Assisted by Austin McCullough.,79,54
6:12,2110,Mathieu Kamba Turnover.,79,54
6:06,25,Don Coleman missed Layup.,79,54
6:06,2110,Hayden Koval Defensive Rebound.,79,54
5:59,25,Foul on Don Coleman.,79,54
5:59,2110,Hayden Koval made Free Throw.,80,54
5:59,2110,Hayden Koval made Free Throw.,81,54
5:48,25,Justice Sueing missed Three Point Jumper.,81,54
5:48,2110,Mathieu Kamba Defensive Rebound.,81,54
5:30,25,Foul on Austin McCullough.,81,54
5:30,2110,Thatch Unruh made Free Throw.,82,54
5:30,2110,Thatch Unruh made Free Throw.,83,54
5:20,25,Don Coleman missed Layup.,83,54
5:20,25,Kingsley Okoroh Offensive Rebound.,83,54
5:18,25,Kingsley Okoroh made Two Point Tip Shot.,83,56
4:58,2110,Jordan Howard missed Three Point Jumper.,83,56
4:58,2110,Mathieu Kamba Offensive Rebound.,83,56
4:47,25,Foul on Justice Sueing.,83,56
4:47,2110,Deandre Jones made Free Throw.,84,56
4:47,2110,Deandre Jones made Free Throw.,85,56
4:31,25,Juhwan Harris-Dyson missed Jumper.,85,56
4:31,2110,Hayden Koval Defensive Rebound.,85,56
4:25,2110,Hayden Koval missed Three Point Jumper.,85,56
4:25,25,Justice Sueing Defensive Rebound.,85,56
4:19,25,Juhwan Harris-Dyson made Dunk. Assisted by Justice Sueing.,85,58
4:03,25,Foul on Juhwan Harris-Dyson.,85,58
4:03,2110,Jordan Howard made Free Throw.,86,58
4:03,2110,Jordan Howard made Free Throw.,87,58
3:54,2110,Foul on Hayden Koval.,87,58
3:54,25,Official TV Timeout,87,58
3:54,25,Kingsley Okoroh made Free Throw.,87,59
3:54,25,Kingsley Okoroh made Free Throw.,87,60
3:30,2110,Hayden Koval Turnover.,87,60
3:13,25,Foul on Kingsley Okoroh.,87,60
3:13,25,Kingsley Okoroh Turnover.,87,60
2:53,2110,Jordan Howard made Three Point Jumper.,90,60
2:44,25,Darius McNeill made Jumper.,90,62
2:28,2110,Jared Chatham missed Jumper.,90,62
2:28,25,Darius McNeill Defensive Rebound.,90,62
2:16,2110,Foul on Hayden Koval.,90,62
2:16,25,Kingsley Okoroh missed Free Throw.,90,62
2:16,25,California Deadball Team Rebound.,90,62
2:16,25,Kingsley Okoroh made Free Throw.,90,63
2:00,2110,Jordan Howard made Three Point Jumper. Assisted by Deandre Jones.,93,63
1:39,25,Darius McNeill missed Three Point Jumper.,93,63
1:39,2110,Jordan Howard Defensive Rebound.,93,63
1:31,2110,Deandre Jones made Three Point Jumper. Assisted by Jordan Howard.,96,63
1:15,25,Justice Sueing made Layup.,96,65
0:57,2110,Otas Iyekekpolor Turnover.,96,65
0:41,25,Grant Anticevich made Layup.,96,67
0:26,2110,Otas Iyekekpolor missed Dunk.,96,67
0:26,25,Juhwan Harris-Dyson Block.,96,67
0:24,2110,Central Arkansas Offensive Rebound.,96,67
0:21,2110,Tyler Simmons missed Three Point Jumper.,96,67
0:21,25,Juhwan Harris-Dyson Defensive Rebound.,96,67
0:17,25,Juhwan Harris-Dyson made Layup.,96,69
0:00,25,End of Game,96,69
