Stephen F. Austin,2348,Louisiana Tech,2617
12:29,2348,Louisiana Tech Defensive Rebound.,12,19
11:47,2617,Foul on Ty Charles.,12,19
11:47,2348,Official TV Timeout,12,19
11:40,2348,Foul on Joniah White.,12,19
11:39,2348,Joniah White Turnover.,12,19
11:16,2617,Aaron Augustin made Three Point Jumper. Assisted by Nathan Bain.,15,19
10:52,2348,Exavian Christon Turnover.,15,19
10:50,2617,Ivan Canete Steal.,15,19
10:47,2617,Ivan Canete Turnover.,15,19
10:32,2617,Foul on TJ Holyfield.,15,19
10:21,2348,DaQuan Bracey missed Layup.,15,19
10:21,2617,Ivan Canete Defensive Rebound.,15,19
10:08,2617,Ivan Canete made Jumper.,17,19
9:35,2617,Foul on Ty Charles.,17,19
9:35,2348,Jalen Harris made Free Throw.,17,20
9:35,2348,Jalen Harris made Free Throw.,17,21
9:28,2617,Nathan Bain made Layup. Assisted by Leon Gilmore III.,19,21
9:06,2348,DaQuan Bracey missed Layup.,19,21
9:06,2617,Shannon Bogues Defensive Rebound.,19,21
8:57,2617,Kevon Harris made Dunk. Assisted by Shannon Bogues.,21,21
8:43,2348,Foul on Jalen Harris.,21,21
8:43,2348,Jalen Harris Turnover.,21,21
8:24,2617,Leon Gilmore III made Jumper.,23,21
8:06,2617,Foul on Nathan Bain.,23,21
8:06,2348,Jacobi Boykins made Free Throw.,23,22
8:06,2348,Jacobi Boykins made Free Throw.,23,23
7:47,2617,Leon Gilmore III made Jumper. Assisted by John Comeaux.,25,23
7:18,2348,Jacobi Boykins missed Three Point Jumper.,25,23
7:18,2617,Nathan Bain Defensive Rebound.,25,23
7:11,2617,John Comeaux missed Layup.,25,23
7:11,2348,Jacobi Boykins Defensive Rebound.,25,23
7:00,2348,Jacobi Boykins Turnover.,25,23
6:59,2617,Nathan Bain Steal.,25,23
6:59,2617,Nathan Bain missed Layup.,25,23
6:59,2348,Joniah White Block.,25,23
6:59,2617,Stephen F. Austin Offensive Rebound.,25,23
6:59,2348,Official TV Timeout,25,23
6:57,2617,Aaron Augustin missed Jumper.,25,23
6:57,2348,Anthony Duruji Defensive Rebound.,25,23
6:39,2348,Jacobi Boykins missed Layup.,25,23
6:39,2617,Ty Charles Defensive Rebound.,25,23
6:36,2617,Kevon Harris made Three Point Jumper.,28,23
6:19,2348,Anthony Duruji made Three Point Jumper. Assisted by DaQuan Bracey.,28,26
5:57,2617,Nathan Bain Turnover.,28,26
5:55,2348,DaQuan Bracey Steal.,28,26
5:50,2348,Anthony Duruji missed Dunk.,28,26
5:50,2617,John Comeaux Defensive Rebound.,28,26
5:45,2617,Shannon Bogues missed Layup.,28,26
5:45,2617,John Comeaux Offensive Rebound.,28,26
5:41,2617,John Comeaux made Layup.,30,26
5:10,2617,Foul on Nathan Bain.,30,26
5:10,2348,Jalen Harris missed Free Throw.,30,26
5:10,2348,Louisiana Tech Deadball Team Rebound.,30,26
5:10,2348,Jalen Harris made Free Throw.,30,27
4:57,2617,Kevon Harris made Layup.,32,27
4:32,2348,Anthony Duruji missed Jumper.,32,27
4:32,2348,DaQuan Bracey Offensive Rebound.,32,27
4:19,2348,DaQuan Bracey made Layup.,32,29
4:06,2617,Shannon Bogues made Layup.,34,29
3:49,2348,DaQuan Bracey Turnover.,34,29
3:47,2617,Kevon Harris Steal.,34,29
3:46,2617,Kevon Harris made Layup.,36,29
3:43,2348,Louisiana Tech  Timeout,36,29
3:43,2348,Official TV Timeout,36,29
3:30,2617,Foul on Shannon Bogues.,36,29
3:29,2348,Jy'lan Washington missed Free Throw.,36,29
3:29,2617,Kevon Harris Defensive Rebound.,36,29
3:25,2617,Shannon Bogues missed Jumper.,36,29
3:25,2617,Shannon Bogues Offensive Rebound.,36,29
3:19,2617,Shannon Bogues made Jumper.,38,29
3:14,2348,Jy'lan Washington missed Layup.,38,29
3:14,2617,Stephen F. Austin Defensive Rebound.,38,29
2:31,2617,Ivan Canete Turnover.,38,29
2:06,2348,Joniah White made Layup.,38,31
1:57,2617,Aaron Augustin Turnover.,38,31
1:49,2348,JaColby Pemberton made Layup. Assisted by Jacobi Boykins.,38,33
1:13,2617,Nathan Bain Turnover.,38,33
0:58,2348,Derric Jean made Three Point Jumper. Assisted by DaQuan Bracey.,38,36
0:49,2617,Stephen F. Austin  Timeout,38,36
0:37,2617,Ivan Canete missed Layup.,38,36
0:37,2348,Joniah White Block.,38,36
0:35,2348,Derric Jean Defensive Rebound.,38,36
0:31,2348,Derric Jean made Layup.,38,38
0:31,2617,Foul on Nathan Bain.,38,38
0:31,2348,Derric Jean made Free Throw.,38,39
0:04,2617,Ivan Canete missed Layup.,38,39
0:04,2348,Derric Jean Block.,38,39
0:04,2348,JaColby Pemberton Defensive Rebound.,38,39
0:00,2348,End of 1st half,38,39
19:49,2617,Kevon Harris missed Layup.,38,39
19:49,2348,Joniah White Block.,38,39
19:46,2348,DaQuan Bracey Defensive Rebound.,38,39
19:40,2617,Foul on Leon Gilmore III.,38,39
19:40,2348,Joniah White missed Free Throw.,38,39
19:40,2348,Louisiana Tech Deadball Team Rebound.,38,39
19:40,2348,Joniah White made Free Throw.,38,40
19:29,2617,Ivan Canete missed Layup.,38,40
19:29,2348,Joniah White Defensive Rebound.,38,40
19:15,2348,Joniah White missed Layup.,38,40
19:15,2348,Joniah White Offensive Rebound.,38,40
19:11,2348,Joniah White Turnover.,38,40
19:10,2617,Aaron Augustin Steal.,38,40
18:59,2617,TJ Holyfield missed Jumper.,38,40
18:59,2348,Jalen Harris Defensive Rebound.,38,40
18:52,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,38,43
18:39,2617,Leon Gilmore III Turnover.,38,43
18:39,2617,Stephen F. Austin  Timeout,38,43
18:27,2348,Jacobi Boykins made Dunk. Assisted by DaQuan Bracey.,38,45
18:19,2617,Leon Gilmore III missed Layup.,38,45
18:19,2348,Joniah White Block.,38,45
18:16,2617,Stephen F. Austin Offensive Rebound.,38,45
18:06,2617,TJ Holyfield made Dunk.,40,45
17:49,2348,DaQuan Bracey missed Layup.,40,45
17:49,2617,Aaron Augustin Defensive Rebound.,40,45
17:37,2617,Ivan Canete missed Three Point Jumper.,40,45
17:37,2617,Stephen F. Austin Offensive Rebound.,40,45
17:37,2348,Foul on Joniah White.,40,45
17:34,2617,TJ Holyfield made Three Point Jumper. Assisted by Aaron Augustin.,43,45
17:10,2348,Jalen Harris made Jumper.,43,47
16:54,2617,Aaron Augustin made Layup.,45,47
16:33,2348,DaQuan Bracey missed Layup.,45,47
16:33,2617,Leon Gilmore III Defensive Rebound.,45,47
16:27,2617,Kevon Harris made Dunk. Assisted by Ivan Canete.,47,47
16:06,2348,DaQuan Bracey Turnover.,47,47
16:04,2617,Leon Gilmore III Steal.,47,47
16:01,2348,Foul on Oliver Powell.,47,47
16:01,2617,Ivan Canete made Free Throw.,48,47
16:01,2617,Ivan Canete made Free Throw.,49,47
15:42,2348,Oliver Powell made Dunk.,49,49
15:29,2348,Foul on JaColby Pemberton.,49,49
15:29,2617,Foul on Kevon Harris.,49,49
15:29,2617,Technical Foul on Kevon Harris.,49,49
15:29,2348,Official TV Timeout,49,49
15:29,2348,Technical Foul on JaColby Pemberton.,49,49
15:08,2617,TJ Holyfield Turnover.,49,49
14:52,2617,Foul on John Comeaux.,49,49
14:48,2348,Jalen Harris Turnover.,49,49
14:47,2617,Ty Charles Steal.,49,49
14:45,2617,TJ Holyfield made Dunk. Assisted by Ivan Canete.,51,49
14:25,2348,Derric Jean Turnover.,51,49
14:23,2617,TJ Holyfield Steal.,51,49
14:15,2617,TJ Holyfield missed Three Point Jumper.,51,49
14:15,2617,Ty Charles Offensive Rebound.,51,49
14:06,2617,John Comeaux made Jumper.,53,49
14:06,2348,Foul on Derric Jean.,53,49
14:06,2617,John Comeaux missed Free Throw.,53,49
14:06,2617,Shannon Bogues Offensive Rebound.,53,49
13:55,2617,Ty Charles missed Jumper.,53,49
13:55,2617,Stephen F. Austin Offensive Rebound.,53,49
13:48,2617,Shannon Bogues missed Three Point Jumper.,53,49
13:48,2348,DaQuan Bracey Defensive Rebound.,53,49
13:43,2617,Foul on Ivan Canete.,53,49
13:23,2348,Derric Jean Turnover.,53,49
13:22,2617,Ty Charles Steal.,53,49
13:19,2617,John Comeaux missed Layup.,53,49
13:19,2348,DaQuan Bracey Block.,53,49
13:19,2617,Stephen F. Austin Offensive Rebound.,53,49
13:11,2617,Shannon Bogues missed Jumper.,53,49
13:11,2348,Jacobi Boykins Defensive Rebound.,53,49
13:04,2617,Foul on John Comeaux.,53,49
13:04,2348,DaQuan Bracey made Free Throw.,53,50
13:04,2348,DaQuan Bracey made Free Throw.,53,51
12:44,2348,Foul on Anthony Duruji.,53,51
12:34,2617,Shannon Bogues missed Layup.,53,51
12:34,2348,JaColby Pemberton Defensive Rebound.,53,51
12:26,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,53,54
12:11,2617,Kevon Harris made Three Point Jumper. Assisted by Aaron Augustin.,56,54
11:51,2617,Foul on Nathan Bain.,56,54
11:51,2348,Official TV Timeout,56,54
11:51,2348,Anthony Duruji missed Free Throw.,56,54
11:51,2348,Louisiana Tech Deadball Team Rebound.,56,54
11:51,2348,Anthony Duruji made Free Throw.,56,55
11:19,2617,TJ Holyfield missed Jumper.,56,55
11:19,2348,Joniah White Defensive Rebound.,56,55
11:13,2348,JaColby Pemberton made Layup. Assisted by DaQuan Bracey.,56,57
10:54,2617,Ivan Canete made Three Point Jumper. Assisted by Aaron Augustin.,59,57
10:41,2348,DaQuan Bracey Turnover.,59,57
10:14,2617,Ivan Canete missed Layup.,59,57
10:14,2617,Leon Gilmore III Offensive Rebound.,59,57
10:12,2348,Foul on Jacobi Boykins.,59,57
10:12,2617,Leon Gilmore III missed Free Throw.,59,57
10:12,2617,Stephen F. Austin Deadball Team Rebound.,59,57
10:12,2617,Leon Gilmore III missed Free Throw.,59,57
10:12,2348,Joniah White Defensive Rebound.,59,57
9:53,2348,Jacobi Boykins missed Layup.,59,57
9:53,2617,Kevon Harris Defensive Rebound.,59,57
9:51,2348,Foul on Joniah White.,59,57
9:51,2617,Kevon Harris made Free Throw.,60,57
9:51,2617,Kevon Harris made Free Throw.,61,57
9:31,2348,DaQuan Bracey Turnover.,61,57
9:30,2617,TJ Holyfield Steal.,61,57
9:24,2617,Ivan Canete made Layup.,63,57
9:09,2348,Derric Jean made Three Point Jumper. Assisted by DaQuan Bracey.,63,60
8:38,2617,Ivan Canete made Three Point Jumper.,66,60
8:20,2348,DaQuan Bracey made Layup.,66,62
7:58,2617,Aaron Augustin missed Three Point Jumper.,66,62
7:58,2348,Louisiana Tech Defensive Rebound.,66,62
7:58,2348,Official TV Timeout,66,62
7:42,2348,Joniah White made Layup. Assisted by DaQuan Bracey.,66,64
7:27,2617,Ivan Canete missed Three Point Jumper.,66,64
7:27,2348,Joniah White Defensive Rebound.,66,64
7:17,2617,Foul on John Comeaux.,66,64
7:17,2348,Derric Jean made Free Throw.,66,65
7:17,2348,Derric Jean made Free Throw.,66,66
7:01,2617,TJ Holyfield missed Layup.,66,66
7:01,2348,Jacobi Boykins Defensive Rebound.,66,66
6:55,2348,DaQuan Bracey missed Layup.,66,66
6:55,2617,Shannon Bogues Defensive Rebound.,66,66
6:49,2617,Shannon Bogues made Layup.,68,66
6:27,2617,Foul on Ivan Canete.,68,66
6:27,2348,Derric Jean made Free Throw.,68,67
6:27,2348,Derric Jean made Free Throw.,68,68
6:14,2617,Shannon Bogues made Layup.,70,68
5:58,2348,Jalen Harris made Dunk.,70,70
5:35,2617,Ivan Canete missed Three Point Jumper.,70,70
5:35,2348,Jalen Harris Defensive Rebound.,70,70
5:28,2617,Foul on Aaron Augustin.,70,70
5:28,2348,Jalen Harris made Free Throw.,70,71
5:28,2348,Jalen Harris made Free Throw.,70,72
5:13,2348,Foul on Jalen Harris.,70,72
5:13,2617,Shannon Bogues missed Free Throw.,70,72
5:13,2348,JaColby Pemberton Defensive Rebound.,70,72
4:47,2348,DaQuan Bracey made Three Point Jumper.,70,75
4:15,2617,Foul on Leon Gilmore III.,70,75
4:15,2617,Leon Gilmore III Turnover.,70,75
4:03,2348,Jalen Harris missed Three Point Jumper.,70,75
4:03,2348,JaColby Pemberton Offensive Rebound.,70,75
4:00,2348,JaColby Pemberton missed Layup.,70,75
3:58,2617,TJ Holyfield Block.,70,75
3:57,2617,Aaron Augustin Defensive Rebound.,70,75
3:54,2617,Ty Charles made Layup. Assisted by Aaron Augustin.,72,75
3:36,2348,Jacobi Boykins missed Three Point Jumper.,72,75
3:36,2617,Kevon Harris Defensive Rebound.,72,75
3:24,2617,Ty Charles missed Three Point Jumper.,72,75
3:24,2348,Jalen Harris Defensive Rebound.,72,75
2:54,2348,Foul on Jacobi Boykins.,72,75
2:54,2348,Jacobi Boykins Turnover.,72,75
2:54,2348,Official TV Timeout,72,75
2:42,2348,Foul on DaQuan Bracey.,72,75
2:42,2617,Aaron Augustin made Free Throw.,73,75
2:42,2617,Aaron Augustin made Free Throw.,74,75
2:29,2348,Jalen Harris made Jumper. Assisted by Jacobi Boykins.,74,77
2:10,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,77,77
2:08,2617,Stephen F. Austin  Timeout,77,77
1:52,2348,Jacobi Boykins missed Three Point Jumper.,77,77
1:52,2617,TJ Holyfield Defensive Rebound.,77,77
1:35,2617,TJ Holyfield made Layup. Assisted by Aaron Augustin.,79,77
1:15,2348,Jalen Harris Turnover.,79,77
1:13,2617,Aaron Augustin Steal.,79,77
1:11,2617,Ty Charles made Layup.,81,77
1:09,2348,Louisiana Tech  Timeout,81,77
1:01,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,81,80
0:30,2617,Leon Gilmore III missed Three Point Jumper.,81,80
0:30,2617,Ty Charles Offensive Rebound.,81,80
0:29,2348,Foul on Derric Jean.,81,80
0:29,2617,Ty Charles made Free Throw.,82,80
0:29,2617,Ty Charles made Free Throw.,83,80
0:17,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,83,83
0:17,2348,Louisiana Tech  Timeout,83,83
0:05,2617,Kevon Harris made Layup.,85,83
0:00,2348,End of Game,85,83
