Radford,259,Virginia Tech,2515
10:14,2515,Foul on Ed Polite Jr..,13,20
10:03,259,Nickeil Alexander-Walker missed Layup.,13,20
10:03,2515,Ed Polite Jr. Defensive Rebound.,13,20
9:57,2515,Caleb Tanner made Three Point Jumper. Assisted by Ed Polite Jr..,16,20
9:32,259,made Jumper.,16,22
8:55,2515,Christian Bradford missed Three Point Jumper.,16,22
8:55,259,Nickeil Alexander-Walker Defensive Rebound.,16,22
8:45,259,Devin Wilson made Layup.,16,24
8:25,2515,Caleb Tanner missed Three Point Jumper.,16,24
8:25,259,Devin Wilson Defensive Rebound.,16,24
8:13,259,Justin Bibbs made Three Point Jumper. Assisted by Chris Clarke.,16,27
8:12,2515,Radford  Timeout,16,27
8:12,259,Official TV Timeout,16,27
8:00,2515,Caleb Tanner missed Three Point Jumper.,16,27
8:00,259,Ahmed Hill Defensive Rebound.,16,27
7:54,259,Ahmed Hill made Layup.,16,29
7:20,2515,Travis Fields Jr made Jumper.,18,29
6:57,259,Justin Robinson made Layup.,18,31
6:32,2515,Caleb Tanner Turnover.,18,31
6:16,2515,Foul on Devonnte Holland.,18,31
6:16,259,made Free Throw.,18,32
6:16,259,made Free Throw.,18,33
5:50,2515,Justin Cousin missed Three Point Jumper.,18,33
5:50,259,Ahmed Hill Defensive Rebound.,18,33
5:36,259,Tyrie Jackson missed Three Point Jumper.,18,33
5:36,2515,Randy Phillips Defensive Rebound.,18,33
5:09,2515,Devin Cooper missed Jumper.,18,33
5:09,259,Defensive Rebound.,18,33
4:57,259,Justin Robinson Turnover.,18,33
4:56,2515,Ed Polite Jr. Steal.,18,33
4:53,2515,Justin Cousin made Layup.,20,33
4:53,259,Foul on Ahmed Hill.,20,33
4:53,2515,Justin Cousin made Free Throw.,21,33
4:35,259,made Three Point Jumper. Assisted by Justin Robinson.,21,36
4:18,2515,Justin Cousin missed Three Point Jumper.,21,36
4:18,2515,Radford Deadball Team Rebound.,21,36
4:15,259,Foul on  .,21,36
3:57,259,Foul on  .,21,36
3:57,259,Official TV Timeout,21,36
3:57,2515,Randy Phillips made Free Throw.,22,36
3:57,2515,Randy Phillips made Free Throw.,23,36
3:42,259,Wabissa Bede missed Jumper.,23,36
3:42,259,Ahmed Hill Offensive Rebound.,23,36
3:30,259,Wabissa Bede made Jumper.,23,38
3:18,2515,Randy Phillips made Layup. Assisted by Caleb Tanner.,25,38
3:11,259,Ahmed Hill Turnover.,25,38
3:10,2515,Caleb Tanner Steal.,25,38
3:02,2515,Carlik Jones missed Three Point Jumper.,25,38
3:02,259,Chris Clarke Defensive Rebound.,25,38
2:50,259,Chris Clarke made Three Point Jumper.,25,41
2:39,2515,Christian Bradford made Layup.,27,41
2:39,259,Foul on Wabissa Bede.,27,41
2:39,2515,Christian Bradford made Free Throw.,28,41
2:15,259,Wabissa Bede missed Three Point Jumper.,28,41
2:15,2515,Carlik Jones Defensive Rebound.,28,41
2:01,2515,Randy Phillips Turnover.,28,41
2:00,259,Chris Clarke Steal.,28,41
1:57,259,Chris Clarke missed Layup.,28,41
1:57,2515,Randy Phillips Defensive Rebound.,28,41
1:51,259,Foul on Devin Wilson.,28,41
1:51,2515,Carlik Jones made Free Throw.,29,41
1:51,2515,Carlik Jones made Free Throw.,30,41
1:23,259,Devin Wilson made Three Point Jumper. Assisted by Ahmed Hill.,30,44
0:53,2515,Ed Polite Jr. Turnover.,30,44
0:53,2515,Foul on Ed Polite Jr..,30,44
0:36,259,Justin Bibbs made Three Point Jumper. Assisted by Justin Robinson.,30,47
0:02,2515,Carlik Jones Turnover.,30,47
0:02,259,Virginia Tech  Timeout,30,47
0:00,259,End of 1st half,30,47
19:48,259,Justin Bibbs missed Three Point Jumper.,30,47
19:48,2515,Justin Cousin Defensive Rebound.,30,47
19:31,2515,Christian Bradford missed Three Point Jumper.,30,47
19:31,259,Defensive Rebound.,30,47
19:11,259,Justin Bibbs made Jumper.,30,49
18:39,2515,Randy Phillips missed Dunk.,30,49
18:39,259,Justin Robinson Defensive Rebound.,30,49
18:26,259,Justin Robinson missed Layup.,30,49
18:26,2515,Ed Polite Jr. Block.,30,49
18:25,2515,Randy Phillips Defensive Rebound.,30,49
18:14,2515,Christian Bradford missed Three Point Jumper.,30,49
18:14,259,Defensive Rebound.,30,49
18:00,259,made Layup.,30,51
17:27,2515,Justin Cousin made Three Point Jumper. Assisted by Ed Polite Jr..,33,51
17:04,2515,Foul on Ed Polite Jr..,33,51
17:04,259,made Free Throw.,33,52
17:04,259,made Free Throw.,33,53
16:42,2515,Devonnte Holland made Layup. Assisted by Carlik Jones.,35,53
16:42,259,Foul on Justin Robinson.,35,53
16:42,2515,Devonnte Holland made Free Throw.,36,53
16:26,259,Turnover.,36,53
16:26,259,Foul on  .,36,53
16:03,2515,Devonnte Holland made Jumper.,38,53
15:36,2515,Foul on Devonnte Holland.,38,53
15:36,259,Official TV Timeout,38,53
15:36,259,made Free Throw.,38,54
15:36,259,made Free Throw.,38,55
15:25,2515,Carlik Jones missed Three Point Jumper.,38,55
15:25,259,Ahmed Hill Defensive Rebound.,38,55
15:20,2515,Foul on Travis Fields Jr.,38,55
15:20,259,Ahmed Hill made Free Throw.,38,56
15:20,259,Ahmed Hill made Free Throw.,38,57
15:05,2515,Caleb Tanner missed Three Point Jumper.,38,57
15:05,2515,Donald Hicks Offensive Rebound.,38,57
14:36,2515,Travis Fields Jr missed Three Point Jumper.,38,57
14:36,259,Chris Clarke Defensive Rebound.,38,57
14:29,259,Justin Bibbs missed Layup.,38,57
14:29,259,Offensive Rebound.,38,57
14:27,259,missed Two Point Tip Shot.,38,57
14:27,259,Justin Robinson Offensive Rebound.,38,57
14:25,2515,Foul on Donald Hicks.,38,57
14:25,259,Justin Robinson made Free Throw.,38,58
14:25,259,Justin Robinson missed Free Throw.,38,58
14:25,2515,Ed Polite Jr. Defensive Rebound.,38,58
14:16,2515,Devonnte Holland made Layup. Assisted by Christian Bradford.,40,58
13:55,259,Justin Robinson made Layup.,40,60
13:40,2515,Christian Bradford missed Layup.,40,60
13:40,259,Block.,40,60
13:39,2515,Radford Offensive Rebound.,40,60
13:22,2515,Devonnte Holland Turnover.,40,60
13:21,259,Devin Wilson Steal.,40,60
13:12,259,Devin Wilson missed Three Point Jumper.,40,60
13:12,2515,Christian Bradford Defensive Rebound.,40,60
13:05,2515,Christian Bradford missed Layup.,40,60
13:05,259,Chris Clarke Block.,40,60
13:04,259,Devin Wilson Defensive Rebound.,40,60
13:00,259,Justin Robinson made Layup.,40,62
12:37,2515,Caleb Tanner made Three Point Jumper. Assisted by Ed Polite Jr..,43,62
12:14,259,Justin Bibbs made Three Point Jumper. Assisted by Justin Robinson.,43,65
12:04,259,Foul on Justin Robinson.,43,65
12:04,2515,Ed Polite Jr. made Free Throw.,44,65
12:04,2515,Ed Polite Jr. made Free Throw.,45,65
11:36,2515,Foul on Justin Cousin.,45,65
11:36,259,Official TV Timeout,45,65
11:36,259,Nickeil Alexander-Walker missed Free Throw.,45,65
11:36,259,Virginia Tech Deadball Team Rebound.,45,65
11:36,259,Nickeil Alexander-Walker made Free Throw.,45,66
11:16,259,Foul on Nickeil Alexander-Walker.,45,66
11:16,2515,Carlik Jones made Free Throw.,46,66
11:16,2515,Carlik Jones missed Free Throw.,46,66
11:16,259,Devin Wilson Defensive Rebound.,46,66
10:53,259,Wabissa Bede made Jumper.,46,68
10:35,259,Foul on Nickeil Alexander-Walker.,46,68
10:18,259,Foul on Wabissa Bede.,46,68
10:18,2515,Ed Polite Jr. missed Free Throw.,46,68
10:18,2515,Radford Deadball Team Rebound.,46,68
10:18,2515,Ed Polite Jr. made Free Throw.,47,68
10:03,259,Justin Bibbs made Layup.,47,70
9:48,2515,Carlik Jones Turnover.,47,70
9:34,259,Ahmed Hill missed Three Point Jumper.,47,70
9:34,2515,Ed Polite Jr. Defensive Rebound.,47,70
9:13,2515,Ed Polite Jr. missed Three Point Jumper.,47,70
9:13,2515,Carlik Jones Offensive Rebound.,47,70
9:08,2515,Carlik Jones missed Two Point Tip Shot.,47,70
9:08,259,Devin Wilson Defensive Rebound.,47,70
8:58,2515,Foul on Donald Hicks.,47,70
8:58,259,Chris Clarke made Free Throw.,47,71
8:58,259,Chris Clarke made Free Throw.,47,72
8:48,2515,Travis Fields Jr Turnover.,47,72
8:44,259,Justin Bibbs made Layup.,47,74
8:16,2515,Devonnte Holland missed Jumper.,47,74
8:16,2515,Ed Polite Jr. Offensive Rebound.,47,74
8:15,2515,Ed Polite Jr. made Two Point Tip Shot.,49,74
8:15,259,Foul on Wabissa Bede.,49,74
8:15,2515,Ed Polite Jr. made Free Throw.,50,74
7:47,259,Tyrie Jackson missed Layup.,50,74
7:47,2515,Devonnte Holland Block.,50,74
7:41,259,Offensive Rebound.,50,74
7:39,259,Ahmed Hill missed Three Point Jumper.,50,74
7:39,259,Justin Robinson Offensive Rebound.,50,74
7:30,259,Justin Robinson Turnover.,50,74
7:28,2515,Ed Polite Jr. Steal.,50,74
7:26,2515,Carlik Jones made Layup. Assisted by Ed Polite Jr..,52,74
7:03,259,Justin Robinson made Layup.,52,76
6:50,2515,Ed Polite Jr. made Layup.,54,76
6:32,259,Ahmed Hill Turnover.,54,76
6:31,2515,Ed Polite Jr. Steal.,54,76
6:28,2515,Ed Polite Jr. made Layup.,56,76
6:15,2515,Foul on Devonnte Holland.,56,76
6:15,259,Official TV Timeout,56,76
6:15,259,made Free Throw.,56,77
6:15,259,made Free Throw.,56,78
5:49,2515,Devonnte Holland Turnover.,56,78
5:49,259,Justin Robinson Steal.,56,78
5:46,259,Tyrie Jackson made Layup. Assisted by Justin Robinson.,56,80
5:46,2515,Foul on Devonnte Holland.,56,80
5:46,259,Tyrie Jackson made Free Throw.,56,81
5:24,2515,Ed Polite Jr. Turnover.,56,81
5:24,259,Tyrie Jackson Steal.,56,81
5:14,259,made Layup. Assisted by Justin Robinson.,56,83
5:14,2515,Foul on Darius Bolstad.,56,83
5:14,259,made Free Throw.,56,84
4:46,2515,Ed Polite Jr. missed Three Point Jumper.,56,84
4:46,2515,Donald Hicks Offensive Rebound.,56,84
4:31,259,Foul on Tyrie Jackson.,56,84
4:31,2515,Caleb Tanner made Free Throw.,57,84
4:31,2515,Caleb Tanner made Free Throw.,58,84
4:26,259,Tyrie Jackson made Layup.,58,86
4:26,2515,Foul on Darius Bolstad.,58,86
4:26,259,Foul on Tyrie Jackson.,58,86
4:26,259,Technical Foul on Tyrie Jackson.,58,86
4:26,2515,Caleb Tanner made Free Throw.,59,86
4:26,2515,Caleb Tanner made Free Throw.,60,86
4:26,259,Tyrie Jackson made Free Throw.,60,87
4:00,2515,Donald Hicks missed Layup.,60,87
4:00,259,Nickeil Alexander-Walker Defensive Rebound.,60,87
3:56,259,Ahmed Hill made Dunk. Assisted by Justin Robinson.,60,89
3:34,2515,Donald Hicks missed Three Point Jumper.,60,89
3:34,2515,Darius Bolstad Offensive Rebound.,60,89
3:30,2515,Darius Bolstad made Jumper.,62,89
3:08,259,Official TV Timeout,62,89
3:04,259,Ahmed Hill missed Three Point Jumper.,62,89
3:04,259,Virginia Tech Deadball Team Rebound.,62,89
3:01,2515,Foul on Carlik Jones.,62,89
3:01,259,Nickeil Alexander-Walker made Free Throw.,62,90
3:01,259,Nickeil Alexander-Walker made Free Throw.,62,91
2:34,2515,Carlik Jones made Jumper.,64,91
2:07,259,Wabissa Bede made Layup.,64,93
1:34,2515,Tristan Owens made Layup.,66,93
1:13,259,Nickeil Alexander-Walker missed Layup.,66,93
1:13,259,P.J. Horne Offensive Rebound.,66,93
1:11,259,P.J. Horne made Layup.,66,95
1:11,2515,Foul on Caleb Tanner.,66,95
1:11,259,P.J. Horne missed Free Throw.,66,95
1:11,2515,Randy Phillips Defensive Rebound.,66,95
0:43,2515,Carlik Jones made Jumper.,68,95
0:34,2515,Foul on Randy Phillips.,68,95
0:34,259,Justin Ammerman missed Free Throw.,68,95
0:34,259,Virginia Tech Deadball Team Rebound.,68,95
0:34,259,Justin Ammerman missed Free Throw.,68,95
0:34,2515,Randy Phillips Defensive Rebound.,68,95
0:06,2515,Randy Phillips missed Jumper.,68,95
0:06,259,Wabissa Bede Defensive Rebound.,68,95
0:00,259,End of Game,68,95
