Northern Illinois,2363,Manhattan,2459
8:17,2459,Eugene German made Layup.,27,20
8:03,2363,Rich Williams missed Three Point Jumper.,27,20
8:03,2459,Dante Thorpe Defensive Rebound.,27,20
7:38,2459,Eugene German made Three Point Jumper. Assisted by Levi Bradley.,30,20
7:31,2363,Manhattan  Timeout,30,20
6:48,2363,Rich Williams missed Jumper.,30,20
6:48,2459,Northern Illinois Defensive Rebound.,30,20
6:18,2459,Anastasios Demogerontas missed Jumper.,30,20
6:18,2363,Pauly Paulicap Block.,30,20
6:16,2363,Pauly Paulicap Defensive Rebound.,30,20
6:11,2363,Zavier Turner missed Three Point Jumper.,30,20
6:11,2363,Pauly Paulicap Offensive Rebound.,30,20
6:09,2459,Foul on Dante Thorpe.,30,20
6:09,2363,Pauly Paulicap made Free Throw.,30,21
6:09,2363,Pauly Paulicap missed Free Throw.,30,21
6:09,2459,Rod Henry-Hayes Defensive Rebound.,30,21
5:48,2459,Eugene German missed Layup.,30,21
5:48,2363,Pauly Paulicap Defensive Rebound.,30,21
5:34,2363,Thomas Capuano made Three Point Jumper. Assisted by Zavier Turner.,30,24
5:19,2459,Rod Henry-Hayes missed Three Point Jumper.,30,24
5:19,2363,Rich Williams Defensive Rebound.,30,24
5:07,2363,Pauly Paulicap Turnover.,30,24
4:53,2459,Jon Siu made Three Point Jumper. Assisted by Justin Thomas.,33,24
4:29,2459,Foul on Andrew Zelis.,33,24
4:29,2363,Pauly Paulicap made Free Throw.,33,25
4:29,2363,Pauly Paulicap made Free Throw.,33,26
4:04,2459,Levi Bradley made Jumper. Assisted by Jon Siu.,35,26
3:49,2363,Rich Williams made Jumper. Assisted by Nehemiah Mack.,35,28
3:32,2459,Andrew Zelis Turnover.,35,28
3:29,2363,Steal.,35,28
3:26,2363,Rich Williams made Three Point Jumper. Assisted by Nehemiah Mack.,35,31
3:19,2459,Northern Illinois  Timeout,35,31
3:14,2459,Eugene German missed Layup.,35,31
3:14,2363,Defensive Rebound.,35,31
3:07,2363,Turnover.,35,31
3:06,2459,Noah McCarty Steal.,35,31
3:01,2363,Foul on Rich Williams.,35,31
3:01,2459,Justin Thomas made Free Throw.,36,31
3:01,2459,Justin Thomas made Free Throw.,37,31
2:42,2363,Calvin Crawford missed Jumper.,37,31
2:42,2459,Northern Illinois Defensive Rebound.,37,31
2:25,2459,Levi Bradley missed Layup.,37,31
2:25,2363,Pauly Paulicap Block.,37,31
2:23,2459,Northern Illinois Offensive Rebound.,37,31
2:21,2459,Foul on Gairges Daow.,37,31
2:21,2459,Gairges Daow Turnover.,37,31
2:06,2363,Zane Waterman Turnover.,37,31
2:04,2459,Noah McCarty Steal.,37,31
2:01,2459,Levi Bradley made Jumper. Assisted by Noah McCarty.,39,31
1:46,2363,Rich Williams made Three Point Jumper. Assisted by Thomas Capuano.,39,34
1:14,2459,Eugene German missed Three Point Jumper.,39,34
1:14,2363,Pauly Paulicap Defensive Rebound.,39,34
1:05,2363,Rich Williams made Layup. Assisted by Pauly Paulicap.,39,36
0:58,2459,Eugene German Turnover.,39,36
0:57,2363,Thomas Capuano Steal.,39,36
0:55,2363,Thomas Capuano missed Three Point Jumper.,39,36
0:55,2459,Eugene German Defensive Rebound.,39,36
0:51,2459,Anastasios Demogerontas made Layup. Assisted by Eugene German.,41,36
0:27,2363,Zavier Turner Turnover.,41,36
0:05,2459,Levi Bradley made Layup.,43,36
0:00,2363,End of 1st half,43,36
19:49,2459,Justin Thomas Turnover.,43,36
19:35,2363,Calvin Crawford missed Three Point Jumper.,43,36
19:35,2459,Justin Thomas Defensive Rebound.,43,36
19:26,2459,Eugene German made Layup. Assisted by Justin Thomas.,45,36
19:06,2363,Rich Williams missed Layup.,45,36
19:06,2363,Pauly Paulicap Offensive Rebound.,45,36
19:04,2363,Pauly Paulicap made Two Point Tip Shot.,45,38
18:33,2459,Levi Bradley missed Three Point Jumper.,45,38
18:33,2459,Northern Illinois Offensive Rebound.,45,38
18:28,2459,Northern Illinois  Turnover.,45,38
18:09,2459,Foul on Lacey James.,45,38
17:50,2363,Calvin Crawford missed Jumper.,45,38
17:50,2363,Pauly Paulicap Offensive Rebound.,45,38
17:47,2363,Pauly Paulicap made Layup.,45,40
17:27,2459,Levi Bradley made Jumper. Assisted by Dante Thorpe.,47,40
17:03,2363,Calvin Crawford missed Three Point Jumper.,47,40
17:03,2459,Levi Bradley Defensive Rebound.,47,40
16:40,2459,Dante Thorpe Turnover.,47,40
16:23,2363,Rich Williams made Jumper.,47,42
16:04,2459,Noah McCarty missed Jumper.,47,42
16:04,2363,Zavier Turner Defensive Rebound.,47,42
15:58,2363,Official TV Timeout,47,42
15:34,2363,Zane Waterman missed Three Point Jumper.,47,42
15:34,2363,Calvin Crawford Offensive Rebound.,47,42
15:24,2363,Calvin Crawford made Layup.,47,44
15:21,2459,Foul on Levi Bradley.,47,44
15:14,2363,Calvin Crawford made Free Throw.,47,45
15:03,2459,Gairges Daow made Layup.,49,45
15:03,2459,Foul on Gairges Daow.,49,45
14:55,2363,Thomas Capuano Turnover.,49,45
14:55,2363,Foul on Thomas Capuano.,49,45
14:38,2459,Noah McCarty missed Three Point Jumper.,49,45
14:38,2459,Dante Thorpe Offensive Rebound.,49,45
14:34,2459,Dante Thorpe made Jumper.,51,45
14:14,2363,Calvin Crawford made Three Point Jumper. Assisted by Zavier Turner.,51,48
13:58,2459,Dante Thorpe Turnover.,51,48
13:58,2459,Foul on Dante Thorpe.,51,48
13:46,2363,Calvin Crawford missed Three Point Jumper.,51,48
13:46,2363,Zane Waterman Offensive Rebound.,51,48
13:20,2363,Rich Williams missed Three Point Jumper.,51,48
13:20,2459,Eugene German Defensive Rebound.,51,48
13:00,2459,Eugene German Turnover.,51,48
13:00,2459,Foul on Eugene German.,51,48
12:47,2363,missed Three Point Jumper.,51,48
12:47,2459,Gairges Daow Defensive Rebound.,51,48
12:21,2459,Gairges Daow missed Jumper.,51,48
12:21,2363,Zane Waterman Block.,51,48
12:19,2459,Gairges Daow Offensive Rebound.,51,48
12:17,2459,Gairges Daow missed Layup.,51,48
12:17,2363,Calvin Crawford Defensive Rebound.,51,48
12:00,2363,Rich Williams made Layup. Assisted by Calvin Crawford.,51,50
11:47,2459,Eugene German missed Layup.,51,50
11:47,2459,Gairges Daow Offensive Rebound.,51,50
11:40,2459,Gairges Daow Turnover.,51,50
11:40,2459,Foul on Gairges Daow.,51,50
11:35,2363,Official TV Timeout,51,50
11:12,2363,Zane Waterman Turnover.,51,50
11:05,2459,Levi Bradley missed Three Point Jumper.,51,50
11:05,2459,Lacey James Offensive Rebound.,51,50
11:03,2363,Foul on Calvin Crawford.,51,50
10:51,2459,Levi Bradley made Jumper.,53,50
10:33,2459,Foul on Gairges Daow.,53,50
10:33,2363,Rich Williams made Free Throw.,53,51
10:33,2363,Rich Williams made Free Throw.,53,52
10:25,2459,Levi Bradley missed Jumper.,53,52
10:25,2363,Rich Williams Defensive Rebound.,53,52
10:08,2459,Foul on Lacey James.,53,52
10:08,2363,Pauly Paulicap missed Free Throw.,53,52
10:08,2363,Manhattan Deadball Team Rebound.,53,52
10:08,2363,Pauly Paulicap made Free Throw.,53,53
9:48,2459,Noah McCarty missed Three Point Jumper.,53,53
9:48,2363,Pauly Paulicap Defensive Rebound.,53,53
9:38,2363,Pauly Paulicap Turnover.,53,53
9:38,2363,Foul on Pauly Paulicap.,53,53
9:22,2363,Foul on  .,53,53
9:22,2459,Levi Bradley made Free Throw.,54,53
9:22,2459,Levi Bradley made Free Throw.,55,53
8:55,2363,Thomas Capuano missed Three Point Jumper.,55,53
8:55,2459,Levi Bradley Defensive Rebound.,55,53
8:37,2459,Eugene German missed Three Point Jumper.,55,53
8:37,2459,Levi Bradley Offensive Rebound.,55,53
8:33,2363,Foul on Pauly Paulicap.,55,53
8:33,2459,Levi Bradley made Free Throw.,56,53
8:33,2459,Levi Bradley made Free Throw.,57,53
8:17,2363,Zane Waterman made Layup. Assisted by Zavier Turner.,57,55
8:01,2459,Justin Thomas made Layup.,59,55
8:01,2363,Foul on Zane Waterman.,59,55
8:01,2363,Official TV Timeout,59,55
8:01,2459,Justin Thomas missed Free Throw.,59,55
8:01,2363,Calvin Crawford Defensive Rebound.,59,55
7:50,2459,Foul on Dante Thorpe.,59,55
7:50,2363,Thomas Capuano missed Free Throw.,59,55
7:50,2459,Noah McCarty Defensive Rebound.,59,55
7:33,2459,Levi Bradley missed Jumper.,59,55
7:33,2363,Thomas Capuano Defensive Rebound.,59,55
7:02,2363,Calvin Crawford missed Three Point Jumper.,59,55
7:02,2459,Eugene German Defensive Rebound.,59,55
6:42,2459,Foul on Justin Thomas.,59,55
6:42,2459,Justin Thomas Turnover.,59,55
6:24,2363,Zavier Turner missed Jumper.,59,55
6:24,2459,Levi Bradley Defensive Rebound.,59,55
6:09,2459,Noah McCarty Turnover.,59,55
6:07,2363,Zavier Turner Steal.,59,55
6:01,2363,Calvin Crawford made Layup. Assisted by Rich Williams.,59,57
5:55,2459,Northern Illinois  Timeout,59,57
5:35,2459,Eugene German made Layup.,61,57
5:11,2363,Rich Williams made Three Point Jumper. Assisted by Zavier Turner.,61,60
4:46,2459,Levi Bradley missed Layup.,61,60
4:46,2459,Northern Illinois Offensive Rebound.,61,60
4:28,2459,Eugene German missed Layup.,61,60
4:28,2363,Pauly Paulicap Block.,61,60
4:26,2363,Zavier Turner Defensive Rebound.,61,60
4:05,2363,Zavier Turner Turnover.,61,60
3:43,2459,Levi Bradley made Jumper.,63,60
3:25,2363,Rich Williams made Three Point Jumper. Assisted by Zavier Turner.,63,63
3:21,2363,Manhattan  Timeout,63,63
3:07,2459,Dante Thorpe missed Jumper.,63,63
3:07,2363,Calvin Crawford Defensive Rebound.,63,63
2:35,2363,Zavier Turner made Jumper.,63,65
2:19,2459,Eugene German made Layup.,65,65
1:54,2363,Rich Williams missed Jumper.,65,65
1:54,2459,Dante Thorpe Defensive Rebound.,65,65
1:49,2363,Foul on Calvin Crawford.,65,65
1:49,2459,Dante Thorpe made Free Throw.,66,65
1:49,2459,Dante Thorpe made Free Throw.,67,65
1:31,2363,Calvin Crawford made Three Point Jumper. Assisted by Zavier Turner.,67,68
1:11,2459,Eugene German missed Layup.,67,68
1:11,2459,Eugene German Offensive Rebound.,67,68
1:10,2363,Foul on Pauly Paulicap.,67,68
1:10,2459,Eugene German made Free Throw.,68,68
1:10,2459,Eugene German missed Free Throw.,68,68
1:10,2363,Rich Williams Defensive Rebound.,68,68
0:55,2363,Calvin Crawford Turnover.,68,68
0:53,2459,Dante Thorpe Steal.,68,68
0:43,2459,Northern Illinois  Timeout,68,68
0:22,2459,Justin Thomas missed Jumper.,68,68
0:22,2459,Noah McCarty Offensive Rebound.,68,68
0:15,2459,Levi Bradley made Jumper. Assisted by Justin Thomas.,70,68
0:01,2363,Thomas Capuano missed Three Point Jumper.,70,68
0:01,2459,Eugene German Block.,70,68
0:01,2363,Manhattan Offensive Rebound.,70,68
0:01,2363,Manhattan  Timeout,70,68
0:01,2459,Northern Illinois  Timeout,70,68
0:01,2363,Rich Williams missed Two Point Tip Shot.,70,68
0:01,2363,Manhattan Offensive Rebound.,70,68
0:00,2363,End of Game,70,68
