Washington Coll,Error,Navy,2426
13:44,2426,George Kiernan Defensive Rebound.,6,13
13:31,2426,Cam Davis Turnover.,6,13
13:14,-1,Mike Winterburn made Three Point Jumper.,9,13
12:51,2426,Bryce Dulin made Layup. Assisted by George Kiernan.,9,15
12:19,-1,Alec Lewis Turnover.,9,15
12:10,2426,Cam Davis missed Jumper.,9,15
12:10,2426,Mo Lewis Offensive Rebound.,9,15
12:05,2426,George Kiernan made Layup. Assisted by Hasan Abdullah.,9,17
11:50,-1,Kevin McCormick missed Three Point Jumper.,9,17
11:50,2426,Hasan Abdullah Defensive Rebound.,9,17
11:39,2426,Hasan Abdullah missed Three Point Jumper.,9,17
11:39,-1,Nick Schmelzer Defensive Rebound.,9,17
11:25,-1,Cole Storm made Jumper.,11,17
11:05,2426,George Kiernan made Three Point Jumper. Assisted by Mo Lewis.,11,20
10:29,-1,Washington College (MD)  Turnover.,11,20
10:29,2426,Official TV Timeout,11,20
10:11,2426,Hasan Abdullah made Three Point Jumper. Assisted by Shawn Anderson.,11,23
9:49,-1,Cole Storm Turnover.,11,23
9:36,2426,Shawn Anderson made Jumper. Assisted by Hasan Abdullah.,11,25
9:21,-1,Nick Schmelzer Turnover.,11,25
9:19,2426,Mo Lewis Steal.,11,25
9:15,2426,George Kiernan made Three Point Jumper. Assisted by Hasan Abdullah.,11,28
9:11,-1,Washington College (MD)  Timeout,11,28
8:47,-1,Derrick Carter made Layup.,13,28
8:40,2426,Cam Davis made Layup. Assisted by Hasan Abdullah.,13,30
8:30,-1,Derrick Carter Turnover.,13,30
8:17,-1,Foul on Logan Bunch.,13,30
8:17,2426,Shawn Anderson missed Free Throw.,13,30
8:17,2426,Navy Deadball Team Rebound.,13,30
8:17,2426,Shawn Anderson made Free Throw.,13,31
8:11,-1,Derrick Carter Turnover.,13,31
7:56,2426,George Kiernan made Three Point Jumper. Assisted by Nourse Fox.,13,34
7:40,-1,Daniel Brown Turnover.,13,34
7:39,2426,Tom Lacey Steal.,13,34
7:35,2426,Bryce Dulin missed Three Point Jumper.,13,34
7:35,-1,Daniel Brown Defensive Rebound.,13,34
7:25,-1,Jack Greer missed Three Point Jumper.,13,34
7:25,2426,Tom Lacey Defensive Rebound.,13,34
7:03,2426,Bryce Dulin missed Jumper.,13,34
7:03,-1,Logan Bunch Block.,13,34
7:01,-1,Logan Bunch Defensive Rebound.,13,34
6:49,-1,Jack Greer Turnover.,13,34
6:49,2426,Official TV Timeout,13,34
6:28,2426,Bryce Dulin missed Jumper.,13,34
6:28,-1,Tas Dixon Defensive Rebound.,13,34
6:20,-1,Tas Dixon made Jumper.,15,34
6:20,2426,Foul on Ryan Pearson.,15,34
6:20,-1,Tas Dixon missed Free Throw.,15,34
6:20,2426,Ryan Pearson Defensive Rebound.,15,34
6:09,2426,George Kiernan missed Three Point Jumper.,15,34
6:09,2426,Tom Lacey Offensive Rebound.,15,34
6:05,-1,Foul on Kaiden Williams.,15,34
6:05,2426,Tom Lacey made Free Throw.,15,35
6:05,2426,Tom Lacey missed Free Throw.,15,35
6:05,-1,Dallas Marshall Defensive Rebound.,15,35
5:43,-1,Dallas Marshall Turnover.,15,35
5:27,-1,Foul on Kaiden Williams.,15,35
5:09,2426,Evan Wieck made Jumper. Assisted by Nourse Fox.,15,37
4:47,-1,Dallas Marshall made Jumper. Assisted by Tas Dixon.,17,37
4:31,2426,Ryan Pearson missed Jumper.,17,37
4:31,2426,Evan Wieck Offensive Rebound.,17,37
4:17,-1,Foul on Kaiden Williams.,17,37
4:17,2426,Tyler Riemersma missed Free Throw.,17,37
4:17,-1,Dallas Marshall Defensive Rebound.,17,37
4:05,-1,Tas Dixon missed Layup.,17,37
4:05,2426,Evan Wieck Defensive Rebound.,17,37
4:01,2426,Evan Wieck Turnover.,17,37
3:59,-1,Mike Winterburn Steal.,17,37
3:57,-1,Kevin McCormick missed Three Point Jumper.,17,37
3:57,-1,Dallas Marshall Offensive Rebound.,17,37
3:53,-1,Dallas Marshall made Layup.,19,37
3:40,2426,Evan Wieck made Layup. Assisted by Tyler Riemersma.,19,39
3:32,-1,Tas Dixon Turnover.,19,39
3:30,2426,Shawn Anderson Steal.,19,39
3:27,2426,Shawn Anderson made Layup.,19,41
3:14,-1,Mike Winterburn Turnover.,19,41
3:12,2426,Tyler Riemersma Steal.,19,41
3:08,-1,Foul on Nick Schmelzer.,19,41
3:08,2426,Official TV Timeout,19,41
3:08,2426,Evan Wieck made Free Throw.,19,42
3:08,2426,Evan Wieck made Free Throw.,19,43
2:51,-1,Dallas Marshall Turnover.,19,43
2:51,-1,Foul on Dallas Marshall.,19,43
2:24,2426,Dominick Antonelli missed Layup.,19,43
2:24,-1,Kevin McCormick Defensive Rebound.,19,43
2:16,-1,Tas Dixon missed Jumper.,19,43
2:16,2426,Dominick Antonelli Defensive Rebound.,19,43
2:10,2426,Ryan Pearson made Three Point Jumper. Assisted by Nourse Fox.,19,46
2:01,-1,Tas Dixon Turnover.,19,46
1:48,2426,Ryan Pearson made Three Point Jumper. Assisted by Evan Wieck.,19,49
1:29,2426,Foul on Evan Wieck.,19,49
1:29,-1,Alec Lewis missed Free Throw.,19,49
1:29,-1,Washington College (MD) Deadball Team Rebound.,19,49
1:29,-1,Alec Lewis made Free Throw.,20,49
1:13,2426,JR Mathis missed Jumper.,20,49
1:13,-1,Washington College (MD) Defensive Rebound.,20,49
0:57,-1,Logan Bunch missed Jumper.,20,49
0:57,2426,Tyler Riemersma Defensive Rebound.,20,49
0:41,2426,Evan Wieck made Layup. Assisted by Tyler Riemersma.,20,51
0:12,-1,Logan Bunch missed Jumper.,20,51
0:12,-1,Washington College (MD) Offensive Rebound.,20,51
0:07,-1,Alec Lewis missed Three Point Jumper.,20,51
0:07,2426,Tyler Riemersma Defensive Rebound.,20,51
0:01,2426,Ryan Pearson missed Layup.,20,51
0:01,-1,Alec Lewis Block.,20,51
0:01,-1,Nick Schmelzer Defensive Rebound.,20,51
0:00,2426,End of 1st half,20,51
19:46,2426,Shawn Anderson made Three Point Jumper. Assisted by Hasan Abdullah.,20,54
19:31,-1,Tas Dixon Turnover.,20,54
19:29,2426,Evan Wieck Steal.,20,54
19:26,2426,Hasan Abdullah Turnover.,20,54
19:26,2426,Foul on Hasan Abdullah.,20,54
19:03,-1,Tas Dixon made Layup.,22,54
18:40,2426,Hasan Abdullah Turnover.,22,54
18:39,-1,Austin Allen Steal.,22,54
18:24,-1,Mike Winterburn Turnover.,22,54
18:22,2426,Tom Lacey Steal.,22,54
18:19,2426,Bryce Dulin made Layup. Assisted by Evan Wieck.,22,56
18:00,-1,Austin Allen missed Jumper.,22,56
18:00,2426,Tom Lacey Defensive Rebound.,22,56
17:54,2426,Bryce Dulin made Dunk. Assisted by Hasan Abdullah.,22,58
17:37,-1,Mike Winterburn missed Jumper.,22,58
17:37,2426,Hasan Abdullah Defensive Rebound.,22,58
17:28,2426,Tom Lacey made Layup. Assisted by Bryce Dulin.,22,60
17:23,-1,Washington College (MD)  Timeout,22,60
16:53,-1,Tas Dixon made Jumper.,24,60
16:44,-1,Foul on Logan Bunch.,24,60
16:44,2426,Tom Lacey made Free Throw.,24,61
16:44,2426,Tom Lacey made Free Throw.,24,62
16:21,-1,Dallas Marshall Turnover.,24,62
16:19,2426,Hasan Abdullah Steal.,24,62
16:17,2426,Hasan Abdullah made Layup.,24,64
16:05,-1,Logan Bunch made Jumper. Assisted by Tas Dixon.,26,64
15:59,2426,Evan Wieck made Dunk. Assisted by Hasan Abdullah.,26,66
15:34,2426,Foul on Hasan Abdullah.,26,66
15:34,2426,Official TV Timeout,26,66
15:34,-1,Tas Dixon missed Free Throw.,26,66
15:34,-1,Washington College (MD) Deadball Team Rebound.,26,66
15:34,-1,Tas Dixon made Free Throw.,27,66
15:19,2426,Evan Wieck made Jumper. Assisted by Bryce Dulin.,27,68
14:48,-1,Austin Allen missed Jumper.,27,68
14:48,2426,George Kiernan Defensive Rebound.,27,68
14:34,2426,George Kiernan missed Three Point Jumper.,27,68
14:34,2426,Evan Wieck Offensive Rebound.,27,68
14:31,2426,Evan Wieck missed Layup.,27,68
14:31,2426,Bryce Dulin Offensive Rebound.,27,68
14:31,-1,Foul on Barry Mccormick.,27,68
14:29,2426,Bryce Dulin made Free Throw.,27,69
14:29,2426,Bryce Dulin missed Free Throw.,27,69
14:29,-1,Daniel Brown Defensive Rebound.,27,69
14:19,-1,Nick Schmelzer missed Three Point Jumper.,27,69
14:19,-1,Barry Mccormick Offensive Rebound.,27,69
14:07,-1,Derrick Carter missed Layup.,27,69
14:07,2426,Bryce Dulin Block.,27,69
14:06,-1,Washington College (MD) Offensive Rebound.,27,69
14:05,-1,Nick Schmelzer missed Three Point Jumper.,27,69
14:05,2426,George Kiernan Defensive Rebound.,27,69
13:52,2426,George Kiernan missed Three Point Jumper.,27,69
13:52,-1,Logan Bunch Defensive Rebound.,27,69
13:32,-1,Daniel Brown Turnover.,27,69
13:17,2426,Bryce Dulin missed Three Point Jumper.,27,69
13:17,2426,Mo Lewis Offensive Rebound.,27,69
13:12,2426,Mo Lewis made Layup.,27,71
13:00,-1,Derrick Carter made Three Point Jumper.,30,71
12:52,2426,Cam Davis made Three Point Jumper. Assisted by Nourse Fox.,30,74
12:38,-1,Nick Schmelzer missed Three Point Jumper.,30,74
12:38,2426,George Kiernan Defensive Rebound.,30,74
12:25,2426,Cam Davis made Three Point Jumper. Assisted by Mo Lewis.,30,77
12:17,-1,Washington College (MD)  Timeout,30,77
12:01,-1,Derrick Carter missed Jumper.,30,77
12:01,2426,George Kiernan Defensive Rebound.,30,77
11:54,2426,Mo Lewis Turnover.,30,77
11:54,2426,Foul on Mo Lewis.,30,77
11:54,2426,Official TV Timeout,30,77
11:47,-1,Derrick Carter missed Jumper.,30,77
11:47,2426,Navy Defensive Rebound.,30,77
11:28,2426,Tyler Riemersma missed Jumper.,30,77
11:28,2426,Tyler Riemersma Offensive Rebound.,30,77
11:22,2426,Cam Davis made Layup. Assisted by Tyler Riemersma.,30,79
10:56,-1,Jack Greer Turnover.,30,79
10:46,2426,Nourse Fox Turnover.,30,79
10:33,-1,Barry Mccormick missed Jumper.,30,79
10:33,2426,Ryan Pearson Defensive Rebound.,30,79
10:19,-1,Foul on Barry Mccormick.,30,79
10:10,2426,Ryan Pearson missed Three Point Jumper.,30,79
10:10,2426,Tyler Riemersma Offensive Rebound.,30,79
10:03,2426,JR Mathis made Three Point Jumper. Assisted by Tyler Riemersma.,30,82
9:53,-1,Jack Greer missed Three Point Jumper.,30,82
9:53,2426,Dominick Antonelli Defensive Rebound.,30,82
9:47,2426,JR Mathis Turnover.,30,82
9:39,-1,Jack Greer missed Three Point Jumper.,30,82
9:39,2426,Dominick Antonelli Defensive Rebound.,30,82
9:28,2426,Ryan Pearson made Layup. Assisted by JR Mathis.,30,84
9:13,-1,Derrick Carter Turnover.,30,84
9:12,2426,Mo Lewis Steal.,30,84
9:09,2426,JR Mathis made Layup. Assisted by Mo Lewis.,30,86
8:48,-1,Derrick Carter made Three Point Jumper. Assisted by Daniel Brown.,33,86
8:25,2426,Tyler Riemersma Turnover.,33,86
8:08,-1,Logan Bunch missed Jumper.,33,86
8:08,2426,Tyler Riemersma Defensive Rebound.,33,86
7:59,2426,Ryan Reagan missed Layup.,33,86
7:59,-1,Barry Mccormick Block.,33,86
7:56,2426,Tyler Riemersma Offensive Rebound.,33,86
7:53,2426,Tyler Riemersma missed Jumper.,33,86
7:53,2426,Ryan Reagan Offensive Rebound.,33,86
7:36,2426,Ryan Reagan made Layup. Assisted by Tyler Riemersma.,33,88
7:36,-1,Foul on Logan Bunch.,33,88
7:36,2426,Official TV Timeout,33,88
7:36,2426,Ryan Reagan missed Free Throw.,33,88
7:36,-1,Kevin McCormick Defensive Rebound.,33,88
7:21,-1,Barry Mccormick made Three Point Jumper. Assisted by Kevin McCormick.,36,88
7:05,-1,Foul on Jack Greer.,36,88
7:05,2426,Ryan Reagan made Free Throw.,36,89
7:05,2426,Ryan Reagan made Free Throw.,36,90
6:47,2426,Foul on Matt Cullen.,36,90
6:47,-1,Barry Mccormick made Free Throw.,37,90
6:47,-1,Barry Mccormick made Free Throw.,38,90
6:41,-1,Foul on Cole Storm.,38,90
6:25,2426,Luke Loehr made Layup.,38,92
6:12,-1,Cole Storm missed Three Point Jumper.,38,92
6:12,2426,Ryan Reagan Defensive Rebound.,38,92
6:04,2426,Luke Loehr made Layup. Assisted by Matt Cullen.,38,94
5:47,-1,Jack Greer made Jumper.,40,94
5:20,2426,Luke Loehr Turnover.,40,94
5:20,2426,Foul on Luke Loehr.,40,94
5:14,-1,Barry Mccormick missed Three Point Jumper.,40,94
5:14,2426,Connor Mannion Defensive Rebound.,40,94
5:06,2426,Alec Loehr made Three Point Jumper. Assisted by Matt Cullen.,40,97
4:43,-1,Daniel Brown missed Layup.,40,97
4:43,-1,Daniel Brown Offensive Rebound.,40,97
4:39,-1,Daniel Brown made Layup.,42,97
4:33,-1,Foul on Logan Bunch.,42,97
4:33,2426,Alec Loehr made Free Throw.,42,98
4:33,2426,Alec Loehr missed Free Throw.,42,98
4:33,-1,Daniel Brown Defensive Rebound.,42,98
4:20,-1,Logan Bunch made Jumper.,44,98
4:20,2426,Foul on Luke Loehr.,44,98
4:20,-1,Logan Bunch made Free Throw.,45,98
4:05,2426,Luke Loehr missed Three Point Jumper.,45,98
4:05,2426,Alec Loehr Offensive Rebound.,45,98
3:59,2426,Connor Mannion missed Three Point Jumper.,45,98
3:59,2426,Connor Mannion Offensive Rebound.,45,98
3:55,-1,Foul on Derrick Carter.,45,98
3:55,2426,Official TV Timeout,45,98
3:55,2426,Connor Mannion made Free Throw.,45,99
3:55,2426,Connor Mannion made Free Throw.,45,100
3:39,-1,Daniel Brown missed Jumper.,45,100
3:39,2426,Danny Ogele Defensive Rebound.,45,100
3:31,2426,Matt Cullen made Three Point Jumper. Assisted by Danny Ogele.,45,103
3:13,-1,Derrick Carter missed Jumper.,45,103
3:13,-1,Tino Nyawata Offensive Rebound.,45,103
2:58,-1,Daniel Brown missed Layup.,45,103
2:58,2426,Luke Loehr Defensive Rebound.,45,103
2:33,2426,Jack Lawrence missed Jumper.,45,103
2:33,-1,Tino Nyawata Defensive Rebound.,45,103
2:26,-1,Tino Nyawata missed Jumper.,45,103
2:26,2426,Connor Mannion Defensive Rebound.,45,103
2:17,2426,Connor Mannion missed Three Point Jumper.,45,103
2:17,2426,Danny Ogele Offensive Rebound.,45,103
1:48,2426,Matt Cullen made Three Point Jumper. Assisted by Danny Ogele.,45,106
1:27,-1,Derrick Carter Turnover.,45,106
1:25,2426,Matt Cullen Steal.,45,106
1:23,2426,Matt Cullen made Layup.,45,108
0:49,-1,Derrick Carter missed Jumper.,45,108
0:49,2426,Jack Lawrence Block.,45,108
0:47,2426,Eli Lake Defensive Rebound.,45,108
0:44,2426,Eli Lake Turnover.,45,108
0:34,-1,Kevin McCormick missed Three Point Jumper.,45,108
0:34,2426,Danny Ogele Defensive Rebound.,45,108
0:13,2426,Jack Lawrence missed Layup.,45,108
0:13,2426,Connor Mannion Offensive Rebound.,45,108
0:10,2426,Connor Mannion made Jumper.,45,110
0:01,-1,Barry Mccormick missed Three Point Jumper.,45,110
0:01,2426,Navy Defensive Rebound.,45,110
0:00,2426,End of Game,45,110
