Florida A&amp;M,2449,North Dakota State,50
11:25,50,Desmond Williams Defensive Rebound.,10,19
10:59,50,Desmond Williams missed Jumper.,10,19
10:59,2449,Deng Geu Defensive Rebound.,10,19
10:32,2449,Cameron Hunter missed Three Point Jumper.,10,19
10:32,50,Justin Ravenel Defensive Rebound.,10,19
10:07,50,Desmond Williams Turnover.,10,19
10:05,2449,Jared Samuelson Steal.,10,19
9:50,2449,Tyson Ward made Three Point Jumper.,10,22
9:33,50,Nasir Cole missed Three Point Jumper.,10,22
9:33,2449,Tyson Ward Defensive Rebound.,10,22
9:26,50,Foul on Craig Bowman.,10,22
9:24,50,Foul on Javonni Harrell.,10,22
9:20,2449,Tyson Ward missed Jumper.,10,22
9:20,2449,Deng Geu Offensive Rebound.,10,22
9:15,50,Foul on Javonni Harrell.,10,22
9:06,2449,Dylan Miller Turnover.,10,22
8:51,50,Marcus Barham missed Layup.,10,22
8:51,2449,Paul Miller Defensive Rebound.,10,22
8:36,2449,Jared Samuelson Turnover.,10,22
8:35,50,Desmond Williams Steal.,10,22
8:30,50,Justin Ravenel made Three Point Jumper. Assisted by Desmond Williams.,13,22
8:18,50,Foul on Justin Ravenel.,13,22
8:10,2449,Dylan Miller made Dunk. Assisted by Paul Miller.,13,24
7:38,50,Craig Bowman missed Three Point Jumper.,13,24
7:38,2449,North Dakota State Defensive Rebound.,13,24
7:35,2449,Official TV Timeout,13,24
7:12,2449,Paul Miller missed Jumper.,13,24
7:12,50,Kamron Reaves Defensive Rebound.,13,24
6:53,50,Kamron Reaves missed Three Point Jumper.,13,24
6:53,2449,Paul Miller Defensive Rebound.,13,24
6:45,50,Foul on Kamron Reaves.,13,24
6:45,2449,Paul Miller made Free Throw.,13,25
6:45,2449,Paul Miller made Free Throw.,13,26
6:22,50,Marcus Barham made Three Point Jumper.,16,26
6:06,2449,A.J. Jacobson missed Three Point Jumper.,16,26
6:06,50,Isaiah Martin Defensive Rebound.,16,26
5:40,50,Justin Ravenel made Three Point Jumper. Assisted by Kamron Reaves.,19,26
5:17,2449,A.J. Jacobson made Three Point Jumper. Assisted by Chris Quayle.,19,29
4:42,50,Isaiah Martin missed Jumper.,19,29
4:42,2449,A.J. Jacobson Defensive Rebound.,19,29
4:16,2449,Paul Miller made Jumper.,19,31
3:53,50,Justin Ravenel made Three Point Jumper. Assisted by Marcus Barham.,22,31
3:35,2449,Tyson Ward made Jumper. Assisted by Cameron Hunter.,22,33
3:25,50,Desmond Williams Turnover.,22,33
3:25,2449,Official TV Timeout,22,33
3:11,2449,Rocky Kreuser missed Jumper.,22,33
3:11,2449,Rocky Kreuser Offensive Rebound.,22,33
3:09,50,Foul on Desmond Williams.,22,33
3:09,2449,Rocky Kreuser made Free Throw.,22,34
3:09,2449,Rocky Kreuser made Free Throw.,22,35
2:50,50,Desmond Williams missed Jumper.,22,35
2:50,50,Isaiah Martin Offensive Rebound.,22,35
2:46,50,Isaiah Martin made Jumper.,24,35
2:38,50,Foul on Justin Ravenel.,24,35
2:38,2449,Paul Miller made Free Throw.,24,36
2:38,2449,Paul Miller missed Free Throw.,24,36
2:38,2449,Paul Miller Offensive Rebound.,24,36
2:28,2449,Tyson Ward made Layup.,24,38
2:14,50,Isaiah Martin missed Jumper.,24,38
2:14,2449,Tyson Ward Defensive Rebound.,24,38
1:56,2449,Spencer Eliason missed Jumper.,24,38
1:56,50,Isaiah Martin Block.,24,38
1:53,50,Isaiah Martin Defensive Rebound.,24,38
1:51,50,Kamron Reaves made Jumper.,26,38
1:35,2449,Paul Miller missed Jumper.,26,38
1:35,50,Marcus Barham Defensive Rebound.,26,38
1:22,50,Kamron Reaves Turnover.,26,38
1:21,2449,Paul Miller Steal.,26,38
1:05,2449,Cameron Hunter made Layup.,26,40
0:47,2449,Foul on Cameron Hunter.,26,40
0:28,2449,Foul on Tyson Ward.,26,40
0:22,50,Desmond Williams made Jumper. Assisted by Kamron Reaves.,28,40
0:05,50,Foul on Kamron Reaves.,28,40
0:05,2449,Paul Miller made Free Throw.,28,41
0:05,2449,Paul Miller made Free Throw.,28,42
0:03,50,Marcus Barham missed Three Point Jumper.,28,42
0:03,2449,North Dakota State Deadball Team Rebound.,28,42
0:00,2449,End of 1st half,28,42
19:48,50,Marcus Barham made Jumper.,30,42
19:23,50,Foul on Marcus Barham.,30,42
19:23,2449,Tyson Ward made Free Throw.,30,43
19:23,2449,Tyson Ward missed Free Throw.,30,43
19:23,50,Isaiah Martin Defensive Rebound.,30,43
19:07,50,Marcus Barham Turnover.,30,43
19:00,2449,Tyson Ward Steal.,30,43
18:57,2449,Dylan Miller Turnover.,30,43
18:40,50,Marcus Barham missed Jumper.,30,43
18:40,2449,Dylan Miller Defensive Rebound.,30,43
18:30,2449,Tyson Ward made Layup. Assisted by Paul Miller.,30,45
18:04,50,Nasir Cole missed Layup.,30,45
18:04,2449,Paul Miller Defensive Rebound.,30,45
17:57,2449,Paul Miller missed Three Point Jumper.,30,45
17:57,50,Marcus Barham Defensive Rebound.,30,45
17:49,50,Nasir Cole missed Layup.,30,45
17:49,2449,Paul Miller Block.,30,45
17:48,50,Florida A&M Offensive Rebound.,30,45
17:41,50,Desmond Williams missed Jumper.,30,45
17:41,2449,Tyson Ward Defensive Rebound.,30,45
17:29,50,Foul on Marcus Barham.,30,45
17:24,2449,A.J. Jacobson made Layup.,30,47
16:59,50,Marcus Barham missed Three Point Jumper.,30,47
16:59,2449,Paul Miller Defensive Rebound.,30,47
16:52,2449,Jared Samuelson made Three Point Jumper. Assisted by Paul Miller.,30,50
16:31,50,Desmond Williams made Jumper.,32,50
16:16,2449,A.J. Jacobson missed Three Point Jumper.,32,50
16:16,50,Brendon Myles Defensive Rebound.,32,50
16:10,50,Kamron Reaves Turnover.,32,50
16:07,2449,Tyson Ward made Layup.,32,52
15:52,2449,Foul on Rocky Kreuser.,32,52
15:52,2449,Official TV Timeout,32,52
15:43,50,Desmond Williams missed Jumper.,32,52
15:43,2449,Rocky Kreuser Defensive Rebound.,32,52
15:33,2449,Rocky Kreuser made Three Point Jumper. Assisted by Tyson Ward.,32,55
15:13,50,Marcus Barham made Jumper. Assisted by Kamron Reaves.,34,55
14:56,2449,Paul Miller missed Three Point Jumper.,34,55
14:56,50,Florida A&M Deadball Team Rebound.,34,55
14:48,2449,Foul on Tyson Ward.,34,55
14:38,50,Marcus Barham made Jumper. Assisted by Desmond Williams.,36,55
14:38,2449,Foul on Chris Quayle.,36,55
14:38,50,Marcus Barham made Free Throw.,37,55
14:38,2449,Deng Geu made Layup.,37,57
14:38,50,Desmond Williams missed Jumper.,37,57
14:38,2449,Deng Geu Block.,37,57
14:38,2449,Deng Geu Defensive Rebound.,37,57
13:58,50,Foul on Marcus Barham.,37,57
13:58,2449,Cameron Hunter missed Free Throw.,37,57
13:58,2449,North Dakota State Deadball Team Rebound.,37,57
13:58,2449,Cameron Hunter made Free Throw.,37,58
13:39,50,Marcus Barham made Jumper.,39,58
13:14,50,Foul on Brendon Myles.,39,58
13:06,2449,Rocky Kreuser made Three Point Jumper. Assisted by Deng Geu.,39,61
12:43,2449,Foul on Deng Geu.,39,61
12:43,50,Desmond Williams made Free Throw.,40,61
12:43,50,Desmond Williams made Free Throw.,41,61
12:16,2449,Tyson Ward Turnover.,41,61
12:15,50,Justin Ravenel Steal.,41,61
12:11,50,Marcus Barham made Jumper.,43,61
11:56,2449,Deng Geu made Dunk. Assisted by Tyson Ward.,43,63
11:26,50,Marcus Barham missed Layup.,43,63
11:26,2449,Spencer Eliason Block.,43,63
11:26,50,Florida A&M Offensive Rebound.,43,63
11:26,2449,Official TV Timeout,43,63
11:23,50,Marcus Barham missed Jumper.,43,63
11:23,2449,North Dakota State Defensive Rebound.,43,63
11:10,2449,Cameron Hunter made Layup.,43,65
10:49,50,Craig Bowman missed Jumper.,43,65
10:49,50,Desmond Williams Offensive Rebound.,43,65
10:40,50,Justin Ravenel missed Three Point Jumper.,43,65
10:40,2449,Cameron Hunter Defensive Rebound.,43,65
10:29,2449,Tyson Ward missed Three Point Jumper.,43,65
10:29,50,Justin Ravenel Defensive Rebound.,43,65
10:16,2449,Foul on Tyson Ward.,43,65
10:13,2449,Foul on Spencer Eliason.,43,65
9:56,50,Craig Bowman missed Layup.,43,65
9:56,50,Isaiah Martin Offensive Rebound.,43,65
9:46,50,Craig Bowman missed Layup.,43,65
9:46,2449,Jared Samuelson Defensive Rebound.,43,65
9:23,2449,Jared Samuelson missed Three Point Jumper.,43,65
9:23,50,Marcus Barham Defensive Rebound.,43,65
9:15,50,Justin Ravenel missed Three Point Jumper.,43,65
9:15,50,Marcus Barham Offensive Rebound.,43,65
9:09,2449,Foul on Spencer Eliason.,43,65
9:09,50,Nick Severado made Free Throw.,44,65
9:09,50,Nick Severado made Free Throw.,45,65
8:54,2449,A.J. Jacobson made Three Point Jumper. Assisted by Paul Miller.,45,68
8:22,50,Nasir Cole missed Layup.,45,68
8:22,2449,North Dakota State Deadball Team Rebound.,45,68
8:04,50,Foul on Nasir Cole.,45,68
7:57,50,Foul on Craig Bowman.,45,68
7:57,2449,Official TV Timeout,45,68
7:54,50,Foul on Javonni Harrell.,45,68
7:54,2449,A.J. Jacobson made Free Throw.,45,69
7:54,2449,A.J. Jacobson made Free Throw.,45,70
7:36,50,Nasir Cole made Three Point Jumper. Assisted by Craig Bowman.,48,70
7:22,2449,North Dakota State  Timeout,48,70
7:22,2449,Official TV Timeout,48,70
7:01,2449,Tyson Ward missed Jumper.,48,70
7:01,50,Nick Severado Defensive Rebound.,48,70
6:46,50,Nasir Cole missed Layup.,48,70
6:46,2449,Chris Quayle Defensive Rebound.,48,70
6:31,2449,Tyson Ward missed Layup.,48,70
6:31,50,Craig Bowman Defensive Rebound.,48,70
6:00,50,Marcus Barham missed Three Point Jumper.,48,70
6:00,2449,Cameron Hunter Defensive Rebound.,48,70
5:45,50,Foul on Justin Ravenel.,48,70
5:45,2449,Cameron Hunter missed Free Throw.,48,70
5:45,50,Desmond Williams Defensive Rebound.,48,70
5:34,50,Isaiah Martin missed Jumper.,48,70
5:34,2449,Cameron Hunter Defensive Rebound.,48,70
5:24,50,Foul on Isaiah Martin.,48,70
5:24,2449,Cameron Hunter made Free Throw.,48,71
5:24,2449,Cameron Hunter made Free Throw.,48,72
5:03,50,Kamron Reaves missed Jumper.,48,72
5:03,50,Isaiah Martin Offensive Rebound.,48,72
5:00,2449,Foul on Rocky Kreuser.,48,72
5:00,50,Isaiah Martin missed Free Throw.,48,72
5:00,50,Florida A&M Deadball Team Rebound.,48,72
5:00,50,Isaiah Martin missed Free Throw.,48,72
5:00,2449,Deng Geu Defensive Rebound.,48,72
4:35,2449,Paul Miller missed Three Point Jumper.,48,72
4:35,50,Isaiah Martin Defensive Rebound.,48,72
4:28,2449,Foul on Deng Geu.,48,72
4:28,50,Marcus Barham made Free Throw.,49,72
4:28,50,Marcus Barham made Free Throw.,50,72
4:15,2449,Tyson Ward missed Three Point Jumper.,50,72
4:15,50,Marcus Barham Defensive Rebound.,50,72
3:55,50,Isaiah Martin made Jumper. Assisted by Marcus Barham.,52,72
3:38,50,Foul on Desmond Williams.,52,72
3:38,2449,Official TV Timeout,52,72
3:38,2449,Deng Geu made Free Throw.,52,73
3:38,2449,Deng Geu made Free Throw.,52,74
3:24,50,Marcus Barham made Jumper.,54,74
3:24,2449,Foul on Tyson Ward.,54,74
3:24,50,Marcus Barham made Free Throw.,55,74
3:03,2449,Chris Quayle missed Jumper.,55,74
3:03,2449,Deng Geu Offensive Rebound.,55,74
2:56,2449,Deng Geu made Two Point Tip Shot.,55,76
2:45,50,Desmond Williams made Dunk. Assisted by Kamron Reaves.,57,76
2:14,2449,Tyson Ward missed Jumper.,57,76
2:14,50,Marcus Barham Defensive Rebound.,57,76
2:12,50,Marcus Barham missed Layup.,57,76
2:12,50,Isaiah Martin Offensive Rebound.,57,76
2:12,50,Isaiah Martin missed Jumper.,57,76
2:12,50,Florida A&M Offensive Rebound.,57,76
2:05,50,Marcus Barham made Jumper.,59,76
1:40,50,Foul on Kamron Reaves.,59,76
1:40,2449,Cameron Hunter made Free Throw.,59,77
1:40,2449,Cameron Hunter made Free Throw.,59,78
1:22,50,Isaiah Martin made Dunk. Assisted by Brendon Myles.,61,78
1:22,2449,Foul on Tyson Ward.,61,78
1:22,50,Isaiah Martin made Free Throw.,62,78
1:12,2449,Deng Geu made Layup.,62,80
0:50,50,Kamron Reaves made Jumper.,64,80
0:17,2449,Paul Miller missed Three Point Jumper.,64,80
0:17,50,Desmond Williams Defensive Rebound.,64,80
0:07,50,Isaiah Martin made Layup. Assisted by Marcus Barham.,66,80
0:00,2449,End of Game,66,80
