Towson,290,Georgia Southern,119
0:25,290,Foul on Mike Hughes.,28,22
0:25,119,Alex Thomas missed Free Throw.,28,22
0:25,119,Towson Deadball Team Rebound.,28,22
0:25,119,Alex Thomas made Free Throw.,29,22
0:04,290,Jake Allsmiller missed Three Point Jumper.,29,22
0:04,290,Jared Hamilton Offensive Rebound.,29,22
0:01,290,Jared Hamilton missed Layup.,29,22
0:01,119,Towson Defensive Rebound.,29,22
0:00,290,End of 1st half,29,22
19:41,119,Zane Martin missed Three Point Jumper.,29,22
19:41,119,Eddie Keith II Offensive Rebound.,29,22
19:35,119,Eddie Keith II made Layup.,31,22
19:13,290,Ike Smith missed Layup.,31,22
19:13,119,Alex Thomas Defensive Rebound.,31,22
19:05,290,Foul on Tookie Brown.,31,22
19:05,119,Brian Starr made Free Throw.,32,22
19:05,119,Brian Starr made Free Throw.,33,22
18:58,290,Mike Hughes missed Three Point Jumper.,33,22
18:58,119,Eddie Keith II Defensive Rebound.,33,22
18:48,119,Mike Morsell made Three Point Jumper. Assisted by Eddie Keith II.,36,22
18:45,290,Georgia Southern  Timeout,36,22
18:35,119,Foul on Alex Thomas.,36,22
18:35,290,B.J. Gladden missed Free Throw.,36,22
18:35,290,Georgia Southern Deadball Team Rebound.,36,22
18:35,290,B.J. Gladden missed Free Throw.,36,22
18:33,119,Towson Offensive Rebound.,36,22
18:33,119,Foul on Mike Morsell.,36,22
18:32,290,Quan Jackson missed Three Point Jumper.,36,22
18:32,119,Towson Defensive Rebound.,36,22
18:29,290,Foul on B.J. Gladden.,36,22
18:13,119,Alex Thomas missed Layup.,36,22
18:13,290,Jared Hamilton Block.,36,22
18:12,290,Tookie Brown Defensive Rebound.,36,22
18:07,290,B.J. Gladden made Dunk. Assisted by Tookie Brown.,36,24
17:48,290,Foul on Coye Simmons.,36,24
17:48,119,Brian Starr made Free Throw.,37,24
17:48,119,Brian Starr made Free Throw.,38,24
17:37,290,Jared Hamilton made Jumper. Assisted by B.J. Gladden.,38,26
17:12,119,Eddie Keith II missed Jumper.,38,26
17:12,290,Coye Simmons Defensive Rebound.,38,26
17:02,290,Jared Hamilton missed Layup.,38,26
17:02,290,B.J. Gladden Offensive Rebound.,38,26
17:00,119,Foul on Eddie Keith II.,38,26
16:45,119,Foul on Brian Starr.,38,26
16:45,290,Tookie Brown made Free Throw.,38,27
16:45,290,Tookie Brown made Free Throw.,38,28
16:23,119,Justin Gorham Turnover.,38,28
15:58,290,B.J. Gladden made Layup.,38,30
15:45,119,Brian Starr Turnover.,38,30
15:43,290,Coye Simmons Steal.,38,30
15:39,290,B.J. Gladden made Layup. Assisted by Tookie Brown.,38,32
15:25,119,Deshaun Morman Turnover.,38,32
15:24,290,B.J. Gladden Steal.,38,32
15:07,290,Tookie Brown Turnover.,38,32
15:05,119,Deshaun Morman Steal.,38,32
15:00,290,Foul on B.J. Gladden.,38,32
15:00,290,Official TV Timeout,38,32
15:00,119,Zane Martin made Free Throw.,39,32
15:00,119,Zane Martin made Free Throw.,40,32
14:35,290,Tookie Brown missed Layup.,40,32
14:35,290,Georgia Southern Offensive Rebound.,40,32
14:17,290,Jared Hamilton missed Layup.,40,32
14:17,290,Georgia Southern Offensive Rebound.,40,32
14:06,290,Quan Jackson missed Three Point Jumper.,40,32
14:06,290,Quan Jackson Offensive Rebound.,40,32
14:02,119,Foul on Dennis Tunstall.,40,32
14:02,290,Quan Jackson made Free Throw.,40,33
14:02,290,Quan Jackson missed Free Throw.,40,33
14:02,119,Justin Gorham Defensive Rebound.,40,33
13:53,290,Foul on Quan Jackson.,40,33
13:53,119,Justin Gorham made Free Throw.,41,33
13:53,119,Justin Gorham made Free Throw.,42,33
13:42,290,Jared Hamilton missed Jumper.,42,33
13:42,290,B.J. Gladden Offensive Rebound.,42,33
13:39,290,B.J. Gladden missed Layup.,42,33
13:39,290,Montae Glenn Offensive Rebound.,42,33
13:35,290,Montae Glenn made Layup.,42,35
13:18,119,Deshaun Morman Turnover.,42,35
13:15,290,Montae Glenn Steal.,42,35
13:13,119,Foul on Deshaun Morman.,42,35
13:13,290,Tookie Brown made Free Throw.,42,36
13:13,290,Tookie Brown made Free Throw.,42,37
12:52,119,Jordan McNeil missed Layup.,42,37
12:52,290,Montae Glenn Defensive Rebound.,42,37
12:31,290,B.J. Gladden made Layup.,42,39
12:31,119,Foul on Justin Gorham.,42,39
12:31,290,B.J. Gladden missed Free Throw.,42,39
12:31,119,Jordan McNeil Defensive Rebound.,42,39
12:21,119,Eddie Keith II made Layup.,44,39
11:55,290,Mike Hughes missed Three Point Jumper.,44,39
11:55,119,Mike Morsell Defensive Rebound.,44,39
11:44,119,Mike Morsell made Three Point Jumper.,47,39
11:42,290,Official TV Timeout,47,39
11:20,290,Mike Hughes made Three Point Jumper. Assisted by Tookie Brown.,47,42
10:49,119,Mike Morsell made Jumper.,49,42
10:31,290,Tookie Brown missed Jumper.,49,42
10:31,119,Jordan McNeil Defensive Rebound.,49,42
10:19,119,Brian Starr made Jumper.,51,42
10:19,290,Foul on Tookie Brown.,51,42
10:19,119,Brian Starr made Free Throw.,52,42
9:58,119,Foul on Alex Thomas.,52,42
9:58,290,Georgia Southern Deadball Team Rebound.,52,42
9:58,290,Montae Glenn made Free Throw.,52,43
9:48,119,Jordan McNeil Turnover.,52,43
9:46,290,Tookie Brown Steal.,52,43
9:45,290,Ike Smith made Layup. Assisted by Tookie Brown.,52,45
9:13,119,Mike Morsell missed Three Point Jumper.,52,45
9:13,290,Mike Hughes Defensive Rebound.,52,45
8:58,119,Foul on Brian Starr.,52,45
8:58,290,Mike Hughes missed Free Throw.,52,45
8:58,290,Georgia Southern Deadball Team Rebound.,52,45
8:58,290,Mike Hughes missed Free Throw.,52,45
8:58,119,Eddie Keith II Defensive Rebound.,52,45
8:50,119,Eddie Keith II Turnover.,52,45
8:36,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,52,48
8:14,290,Foul on Mike Hughes.,52,48
8:14,119,Eddie Keith II missed Free Throw.,52,48
8:14,290,Coye Simmons Defensive Rebound.,52,48
8:09,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,52,51
7:56,119,Towson  Timeout,52,51
7:39,119,Deshaun Morman missed Layup.,52,51
7:39,290,Mike Hughes Defensive Rebound.,52,51
7:30,290,Ike Smith missed Three Point Jumper.,52,51
7:30,290,Mike Hughes Offensive Rebound.,52,51
7:24,290,Mike Hughes made Layup.,52,53
7:19,119,Foul on Mike Morsell.,52,53
7:19,290,Mike Hughes missed Free Throw.,52,53
7:19,119,Justin Gorham Defensive Rebound.,52,53
6:57,119,Brian Starr Turnover.,52,53
6:56,290,Montae Glenn Steal.,52,53
6:54,290,Ike Smith made Dunk. Assisted by Tookie Brown.,52,55
6:28,119,Deshaun Morman missed Jumper.,52,55
6:28,119,Alex Thomas Offensive Rebound.,52,55
6:11,119,Mike Morsell missed Layup.,52,55
6:11,290,Montae Glenn Block.,52,55
6:11,119,Towson Offensive Rebound.,52,55
5:55,119,Brian Starr missed Jumper.,52,55
5:55,119,Towson Offensive Rebound.,52,55
5:53,290,Foul on Jake Allsmiller.,52,55
5:53,119,Alex Thomas made Free Throw.,53,55
5:53,119,Alex Thomas missed Free Throw.,53,55
5:53,290,Mike Hughes Defensive Rebound.,53,55
5:37,290,Montae Glenn made Dunk. Assisted by Tookie Brown.,53,57
5:11,119,Zane Martin made Jumper.,55,57
4:43,119,Foul on Justin Gorham.,55,57
4:43,290,Mike Hughes made Free Throw.,55,58
4:43,290,Mike Hughes made Free Throw.,55,59
4:24,290,Foul on Tookie Brown.,55,59
4:24,119,Zane Martin missed Free Throw.,55,59
4:24,290,Montae Glenn Defensive Rebound.,55,59
4:00,290,Jared Hamilton Turnover.,55,59
4:00,290,Foul on Jared Hamilton.,55,59
4:00,290,Official TV Timeout,55,59
3:38,119,Mike Morsell missed Three Point Jumper.,55,59
3:38,119,Eddie Keith II Offensive Rebound.,55,59
3:34,290,Foul on B.J. Gladden.,55,59
3:34,119,Eddie Keith II made Free Throw.,56,59
3:34,119,Eddie Keith II made Free Throw.,57,59
3:16,290,Jake Allsmiller missed Three Point Jumper.,57,59
3:16,290,Montae Glenn Offensive Rebound.,57,59
2:59,290,Mike Hughes Turnover.,57,59
2:41,119,Brian Starr made Three Point Jumper. Assisted by Zane Martin.,60,59
2:11,119,Foul on Zane Martin.,60,59
2:11,290,Tookie Brown missed Free Throw.,60,59
2:11,290,Georgia Southern Deadball Team Rebound.,60,59
2:11,290,Tookie Brown made Free Throw.,60,60
1:44,119,Mike Morsell missed Jumper.,60,60
1:44,290,Mike Hughes Defensive Rebound.,60,60
1:42,119,Foul on Mike Morsell.,60,60
1:42,290,Mike Hughes made Free Throw.,60,61
1:42,290,Mike Hughes made Free Throw.,60,62
1:25,119,Eddie Keith II made Layup.,62,62
1:25,290,Foul on Jake Allsmiller.,62,62
1:25,119,Eddie Keith II made Free Throw.,63,62
1:17,290,Jake Allsmiller missed Three Point Jumper.,63,62
1:17,119,Mike Morsell Defensive Rebound.,63,62
0:56,119,Eddie Keith II missed Layup.,63,62
0:56,290,Montae Glenn Block.,63,62
0:54,290,Ike Smith Defensive Rebound.,63,62
0:48,290,Tookie Brown Turnover.,63,62
0:47,119,Brian Starr Steal.,63,62
0:45,119,Mike Morsell made Layup. Assisted by Brian Starr.,65,62
0:43,119,Towson  Timeout,65,62
0:30,290,Jake Allsmiller missed Three Point Jumper.,65,62
0:30,119,Brian Starr Defensive Rebound.,65,62
0:25,290,Foul on Jake Allsmiller.,65,62
0:25,119,Brian Starr made Free Throw.,66,62
0:25,119,Brian Starr made Free Throw.,67,62
0:17,290,Tookie Brown made Layup.,67,64
0:17,290,Georgia Southern  Timeout,67,64
0:17,290,Foul on Tookie Brown.,67,64
0:17,119,Zane Martin missed Free Throw.,67,64
0:17,119,Towson Deadball Team Rebound.,67,64
0:17,119,Brian Starr made Free Throw.,68,64
0:12,290,Tookie Brown missed Jumper.,68,64
0:12,119,Deshaun Morman Defensive Rebound.,68,64
0:10,290,Foul on Montae Glenn.,68,64
0:10,119,Deshaun Morman missed Free Throw.,68,64
0:10,119,Towson Deadball Team Rebound.,68,64
0:10,119,Deshaun Morman made Free Throw.,69,64
0:04,119,Foul on Zane Martin.,69,64
0:04,290,Mike Hughes made Free Throw.,69,65
0:04,290,Ike Smith made Free Throw.,69,66
0:04,290,Mike Hughes made Free Throw.,69,67
0:03,290,Foul on Jared Hamilton.,69,67
0:03,119,Mike Morsell made Free Throw.,70,67
0:03,119,Mike Morsell missed Free Throw.,70,67
0:03,290,Tookie Brown Defensive Rebound.,70,67
0:02,290,Georgia Southern  Timeout,70,67
0:01,290,Jake Allsmiller missed Three Point Jumper.,70,67
0:01,119,Towson Defensive Rebound.,70,67
0:00,290,End of Game,70,67
