Western Kentucky,222,Villanova,98
9:36,222,Mikal Bridges made Three Point Jumper. Assisted by Phil Booth.,15,14
9:04,98,Dwight Coleby missed Jumper.,15,14
9:04,222,Collin Gillespie Defensive Rebound.,15,14
8:57,222,Donte DiVincenzo missed Layup.,15,14
8:57,98,Taveion Hollingsworth Defensive Rebound.,15,14
8:48,98,Taveion Hollingsworth made Jumper.,17,14
8:38,222,Mikal Bridges missed Jumper.,17,14
8:38,98,Dwight Coleby Defensive Rebound.,17,14
8:10,98,Darius Thompson missed Jumper.,17,14
8:10,222,Villanova Defensive Rebound.,17,14
7:56,222,Omari Spellman Turnover.,17,14
7:51,222,Official TV Timeout,17,14
7:24,98,Darius Thompson made Three Point Jumper.,20,14
6:55,222,Mikal Bridges made Three Point Jumper. Assisted by Eric Paschall.,20,17
6:28,98,Dwight Coleby missed Layup.,20,17
6:28,222,Omari Spellman Block.,20,17
6:28,222,Jalen Brunson Defensive Rebound.,20,17
6:19,222,Mikal Bridges missed Three Point Jumper.,20,17
6:19,98,Jake Ohmer Defensive Rebound.,20,17
6:09,222,Foul on Donte DiVincenzo.,20,17
5:59,222,Foul on Eric Paschall.,20,17
5:56,98,Dwight Coleby made Jumper. Assisted by Justin Johnson.,22,17
5:37,98,Foul on Jake Ohmer.,22,17
5:23,222,Omari Spellman missed Jumper.,22,17
5:23,98,Justin Johnson Defensive Rebound.,22,17
4:54,98,Justin Johnson missed Jumper.,22,17
4:54,222,Mikal Bridges Block.,22,17
4:54,222,Phil Booth Defensive Rebound.,22,17
4:50,98,Foul on Jake Ohmer.,22,17
4:42,222,Mikal Bridges Turnover.,22,17
4:42,98,Lamonte Bearden Steal.,22,17
4:37,98,Lamonte Bearden missed Layup.,22,17
4:37,98,Western Kentucky Offensive Rebound.,22,17
4:37,98,Justin Johnson Turnover.,22,17
4:28,222,Phil Booth missed Three Point Jumper.,22,17
4:28,222,Mikal Bridges Offensive Rebound.,22,17
4:28,222,Mikal Bridges made Dunk.,22,19
4:05,222,Foul on Collin Gillespie.,22,19
4:04,98,Darius Thompson missed Jumper.,22,19
4:04,222,Mikal Bridges Defensive Rebound.,22,19
3:51,222,Collin Gillespie made Three Point Jumper. Assisted by Jalen Brunson.,22,22
3:19,222,Foul on Phil Booth.,22,22
3:19,222,Official TV Timeout,22,22
3:06,98,Lamonte Bearden missed Layup.,22,22
3:06,222,Dhamir Cosby-Roundtree Defensive Rebound.,22,22
2:38,222,Phil Booth missed Jumper.,22,22
2:38,98,Taveion Hollingsworth Defensive Rebound.,22,22
2:16,98,Taveion Hollingsworth Turnover.,22,22
2:16,222,Phil Booth Steal.,22,22
1:56,222,Jalen Brunson made Three Point Jumper.,22,25
1:41,98,Justin Johnson made Layup. Assisted by Darius Thompson.,24,25
1:23,222,Jalen Brunson missed Three Point Jumper.,24,25
1:23,222,Mikal Bridges Offensive Rebound.,24,25
1:15,222,Mikal Bridges missed Jumper.,24,25
1:15,98,Darius Thompson Defensive Rebound.,24,25
1:11,98,Western Kentucky  Timeout,24,25
0:58,98,Taveion Hollingsworth Turnover.,24,25
0:49,222,Jalen Brunson Turnover.,24,25
0:49,98,Dwight Coleby Steal.,24,25
0:41,98,Lamonte Bearden missed Jumper.,24,25
0:41,222,Mikal Bridges Block.,24,25
0:41,222,Collin Gillespie Defensive Rebound.,24,25
0:26,222,Mikal Bridges missed Jumper.,24,25
0:26,222,Donte DiVincenzo Offensive Rebound.,24,25
0:23,222,Donte DiVincenzo made Layup.,24,27
0:03,98,Lamonte Bearden missed Three Point Jumper.,24,27
0:03,222,Villanova Deadball Team Rebound.,24,27
0:00,222,End of 1st half,24,27
20:00,222,Jump Ball won by Villanova,24,27
19:50,98,Foul on Taveion Hollingsworth.,24,27
19:46,222,Villanova  Turnover.,24,27
19:28,222,Foul on Eric Paschall.,24,27
19:11,98,Lamonte Bearden Turnover.,24,27
19:11,222,Mikal Bridges Steal.,24,27
19:06,222,Phil Booth made Layup. Assisted by Donte DiVincenzo.,24,29
18:40,98,Lamonte Bearden missed Jumper.,24,29
18:40,98,Justin Johnson Offensive Rebound.,24,29
18:33,98,Justin Johnson made Jumper.,26,29
18:18,222,Donte DiVincenzo missed Three Point Jumper.,26,29
18:18,98,Justin Johnson Defensive Rebound.,26,29
18:06,98,Lamonte Bearden missed Jumper.,26,29
18:06,222,Omari Spellman Block.,26,29
18:06,98,Western Kentucky Offensive Rebound.,26,29
17:54,98,Darius Thompson made Three Point Jumper. Assisted by Dwight Coleby.,29,29
17:29,222,Omari Spellman made Jumper. Assisted by Phil Booth.,29,31
17:27,98,Technical Foul on Western Kentucky.,29,31
17:27,222,Jalen Brunson made Free Throw.,29,32
17:16,222,Foul on Donte DiVincenzo.,29,32
17:08,98,Darius Thompson made Layup.,31,32
16:39,222,Mikal Bridges Turnover.,31,32
16:20,98,Darius Thompson missed Three Point Jumper.,31,32
16:20,222,Villanova Defensive Rebound.,31,32
15:56,222,Omari Spellman missed Jumper.,31,32
15:56,98,Lamonte Bearden Defensive Rebound.,31,32
15:50,98,Taveion Hollingsworth missed Three Point Jumper.,31,32
15:50,222,Mikal Bridges Defensive Rebound.,31,32
15:42,222,Jalen Brunson made Layup. Assisted by Mikal Bridges.,31,34
15:18,222,Foul on Mikal Bridges.,31,34
15:17,222,Official TV Timeout,31,34
15:07,222,Foul on Jalen Brunson.,31,34
15:07,98,Taveion Hollingsworth made Free Throw.,32,34
15:07,98,Taveion Hollingsworth made Free Throw.,33,34
14:47,222,Mikal Bridges made Dunk. Assisted by Donte DiVincenzo.,33,36
14:26,98,Taveion Hollingsworth missed Jumper.,33,36
14:26,222,Villanova Defensive Rebound.,33,36
14:05,222,Mikal Bridges made Jumper.,33,38
13:35,98,Justin Johnson made Layup. Assisted by Darius Thompson.,35,38
13:11,222,Jalen Brunson made Three Point Jumper.,35,41
12:55,98,Western Kentucky  Timeout,35,41
12:55,222,Official TV Timeout,35,41
12:37,98,Taveion Hollingsworth missed Jumper.,35,41
12:37,222,Dhamir Cosby-Roundtree Block.,35,41
12:37,222,Eric Paschall Defensive Rebound.,35,41
12:20,222,Donte DiVincenzo Turnover.,35,41
12:20,98,Jake Ohmer Steal.,35,41
12:20,222,Foul on Jalen Brunson.,35,41
12:03,98,Dwight Coleby Turnover.,35,41
12:03,222,Mikal Bridges Steal.,35,41
11:48,98,Foul on Jake Ohmer.,35,41
11:48,222,Official TV Timeout,35,41
11:48,222,Eric Paschall made Free Throw.,35,42
11:48,222,Eric Paschall made Free Throw.,35,43
11:25,98,Marek Nelson Turnover.,35,43
11:25,222,Collin Gillespie Steal.,35,43
11:04,222,Eric Paschall missed Layup.,35,43
11:04,98,Dwight Coleby Defensive Rebound.,35,43
10:34,98,Darius Thompson missed Jumper.,35,43
10:34,222,Eric Paschall Defensive Rebound.,35,43
10:20,222,Donte DiVincenzo made Three Point Jumper. Assisted by Mikal Bridges.,35,46
10:08,98,Western Kentucky  Timeout,35,46
9:48,98,Justin Johnson missed Jumper.,35,46
9:48,222,Omari Spellman Defensive Rebound.,35,46
9:41,222,Donte DiVincenzo made Layup.,35,48
9:12,98,Justin Johnson missed Jumper.,35,48
9:12,98,Dwight Coleby Offensive Rebound.,35,48
9:09,98,Dwight Coleby missed Jumper.,35,48
9:09,98,Justin Johnson Offensive Rebound.,35,48
9:03,98,Justin Johnson made Jumper.,37,48
8:37,222,Donte DiVincenzo missed Three Point Jumper.,37,48
8:37,98,Dwight Coleby Defensive Rebound.,37,48
8:17,98,Taveion Hollingsworth Turnover.,37,48
8:17,222,Donte DiVincenzo Steal.,37,48
8:11,222,Donte DiVincenzo Turnover.,37,48
7:46,98,Jake Ohmer Turnover.,37,48
7:46,222,Phil Booth Steal.,37,48
7:25,222,Phil Booth made Three Point Jumper. Assisted by Jalen Brunson.,37,51
7:07,98,Jake Ohmer made Three Point Jumper. Assisted by Darius Thompson.,40,51
6:44,222,Mikal Bridges made Layup.,40,53
6:22,98,Justin Johnson missed Jumper.,40,53
6:22,222,Omari Spellman Block.,40,53
6:22,222,Mikal Bridges Defensive Rebound.,40,53
6:13,222,Mikal Bridges missed Three Point Jumper.,40,53
6:13,98,Justin Johnson Defensive Rebound.,40,53
5:55,98,Jake Ohmer made Three Point Jumper. Assisted by Justin Johnson.,43,53
5:33,98,Foul on Taveion Hollingsworth.,43,53
5:33,222,Official TV Timeout,43,53
5:33,222,Mikal Bridges missed Free Throw.,43,53
5:33,222,Villanova Deadball Team Rebound.,43,53
5:33,222,Mikal Bridges made Free Throw.,43,54
5:16,98,Jake Ohmer Turnover.,43,54
5:16,222,Mikal Bridges Steal.,43,54
5:12,222,Donte DiVincenzo made Layup.,43,56
5:12,98,Foul on Darius Thompson.,43,56
5:12,222,Donte DiVincenzo made Free Throw.,43,57
5:07,98,Lamonte Bearden Turnover.,43,57
5:07,222,Mikal Bridges Steal.,43,57
5:04,222,Jalen Brunson made Layup. Assisted by Mikal Bridges.,43,59
4:41,98,Justin Johnson missed Jumper.,43,59
4:41,222,Dhamir Cosby-Roundtree Defensive Rebound.,43,59
4:27,222,Eric Paschall missed Three Point Jumper.,43,59
4:27,222,Eric Paschall Offensive Rebound.,43,59
4:02,222,Eric Paschall Turnover.,43,59
4:02,98,Lamonte Bearden Steal.,43,59
3:58,222,Foul on Eric Paschall.,43,59
3:58,222,Official TV Timeout,43,59
3:42,98,Justin Johnson missed Layup.,43,59
3:42,222,Dhamir Cosby-Roundtree Defensive Rebound.,43,59
3:28,222,Phil Booth Turnover.,43,59
3:28,98,Lamonte Bearden Steal.,43,59
3:19,98,Darius Thompson Turnover.,43,59
3:19,222,Phil Booth Steal.,43,59
3:15,222,Donte DiVincenzo made Jumper.,43,61
3:00,98,Taveion Hollingsworth missed Jumper.,43,61
3:00,98,Dwight Coleby Offensive Rebound.,43,61
2:56,98,Dwight Coleby made Layup.,45,61
2:38,222,Mikal Bridges missed Three Point Jumper.,45,61
2:38,98,Taveion Hollingsworth Defensive Rebound.,45,61
2:28,98,Taveion Hollingsworth Turnover.,45,61
2:28,222,Phil Booth Steal.,45,61
2:23,222,Donte DiVincenzo made Layup. Assisted by Phil Booth.,45,63
2:02,98,Lamonte Bearden missed Jumper.,45,63
2:02,222,Mikal Bridges Block.,45,63
2:02,98,Dwight Coleby Offensive Rebound.,45,63
2:02,98,Dwight Coleby made Layup.,47,63
1:59,222,Foul on Dhamir Cosby-Roundtree.,47,63
1:59,98,Dwight Coleby missed Free Throw.,47,63
1:59,222,Eric Paschall Defensive Rebound.,47,63
1:45,222,Phil Booth made Jumper.,47,65
1:25,98,Jake Ohmer made Layup.,49,65
1:25,222,Foul on Phil Booth.,49,65
1:25,98,Jake Ohmer made Free Throw.,50,65
1:25,222,Mikal Bridges Turnover.,50,65
1:25,98,Dwight Coleby Steal.,50,65
1:00,98,Darius Thompson made Three Point Jumper.,53,65
0:55,98,Western Kentucky  Timeout,53,65
0:48,222,Donte DiVincenzo Turnover.,53,65
0:40,98,Dwight Coleby made Layup. Assisted by Darius Thompson.,55,65
0:29,222,Phil Booth missed Three Point Jumper.,55,65
0:29,222,Omari Spellman Offensive Rebound.,55,65
0:29,222,Omari Spellman missed Two Point Tip Shot.,55,65
0:29,222,Omari Spellman Offensive Rebound.,55,65
0:16,98,Foul on Jake Ohmer.,55,65
0:14,98,Foul on Justin Johnson.,55,65
0:14,222,Jermaine Samuels made Free Throw.,55,66
0:14,222,Jermaine Samuels missed Free Throw.,55,66
0:14,98,Dwight Coleby Defensive Rebound.,55,66
0:11,98,Darius Thompson made Three Point Jumper.,58,66
0:00,222,End of Game,58,66
