CSU Bakersfield,Error,Alaska Anchorage,2934
7:12,1,Brian Pearson missed Layup.,14,11
7:12,2934,Shon Briggs Block.,14,11
7:11,1,Alaska Anchorage Offensive Rebound.,14,11
7:11,1,Official TV Timeout,14,11
6:46,1,Dj Ursery Turnover.,14,11
6:46,2934,Shon Briggs Steal.,14,11
6:28,2934,Brent Wrapp missed Layup.,14,11
6:28,1,Dj Ursery Defensive Rebound.,14,11
6:04,1,Malik Clements missed Three Point Jumper.,14,11
6:04,2934,Damiyne Durham Defensive Rebound.,14,11
5:58,2934,Foul on Damiyne Durham.,14,11
5:58,2934,Damiyne Durham Turnover.,14,11
5:39,1,Dj Ursery made Layup. Assisted by Maleke Haynes.,14,13
5:16,2934,Foul on Shon Briggs.,14,13
5:16,2934,Shon Briggs Turnover.,14,13
5:16,1,Dj Ursery missed Jumper.,14,13
5:16,2934,Rickey Holden Defensive Rebound.,14,13
4:50,1,Foul on Dj Ursery.,14,13
4:29,2934,Rickey Holden made Layup. Assisted by Shon Briggs.,16,13
4:00,1,Official TV Timeout,16,13
3:57,1,Maleke Haynes Turnover.,16,13
3:56,2934,Greg Lee Steal.,16,13
3:53,2934,Rickey Holden made Layup. Assisted by Greg Lee.,18,13
3:37,2934,Foul on Shon Briggs.,18,13
3:20,2934,Foul on Greg Lee.,18,13
3:20,1,Dj Ursery made Free Throw.,18,14
3:20,1,Dj Ursery missed Free Throw.,18,14
3:20,2934,Greg Lee Defensive Rebound.,18,14
2:59,2934,Rickey Holden made Jumper.,20,14
2:30,1,Josiah Wood missed Three Point Jumper.,20,14
2:30,2934,Justin Davis Defensive Rebound.,20,14
2:16,2934,Rickey Holden missed Three Point Jumper.,20,14
2:16,1,Brian Pearson Defensive Rebound.,20,14
2:10,1,Alaska Anchorage  Timeout,20,14
1:50,1,Jack Macdonald missed Jumper.,20,14
1:50,2934,Justin Davis Defensive Rebound.,20,14
1:36,2934,Justin Davis made Three Point Jumper. Assisted by Brent Wrapp.,23,14
1:15,1,Dj Ursery missed Jumper.,23,14
1:15,2934,Greg Lee Defensive Rebound.,23,14
1:08,2934,Brent Wrapp missed Jumper.,23,14
1:08,1,Josiah Wood Defensive Rebound.,23,14
0:49,1,Dj Ursery missed Jumper.,23,14
0:49,2934,Rickey Holden Defensive Rebound.,23,14
0:39,2934,CSU Bakersfield  Timeout,23,14
0:23,2934,Moataz Aly made Dunk. Assisted by Brent Wrapp.,25,14
0:03,1,Dj Ursery missed Three Point Jumper.,25,14
0:03,2934,Moataz Aly Block.,25,14
0:01,1,Alaska Anchorage Deadball Team Rebound.,25,14
0:00,1,End of 1st half,25,14
19:47,2934,Moataz Aly missed Layup.,25,14
19:47,1,Alaska Anchorage Deadball Team Rebound.,25,14
19:46,2934,Foul on Moataz Aly.,25,14
19:23,1,Josiah Wood made Jumper. Assisted by Dj Ursery.,25,16
19:05,2934,Moataz Aly made Layup. Assisted by Brent Wrapp.,27,16
19:05,1,Foul on Jacob Lampkin.,27,16
19:05,2934,Moataz Aly made Free Throw.,28,16
18:55,1,Dj Ursery Turnover.,28,16
18:40,2934,Rickey Holden missed Jumper.,28,16
18:40,2934,Brent Wrapp Offensive Rebound.,28,16
18:22,2934,Foul on Brent Wrapp.,28,16
18:22,2934,Brent Wrapp Turnover.,28,16
18:22,1,Drew Peterson missed Three Point Jumper.,28,16
18:22,1,Alaska Anchorage Offensive Rebound.,28,16
17:59,1,Josiah Wood missed Three Point Jumper.,28,16
17:59,2934,Rickey Holden Defensive Rebound.,28,16
17:55,2934,Rickey Holden Turnover.,28,16
17:39,1,Jacob Lampkin missed Jumper.,28,16
17:39,2934,Justin Davis Defensive Rebound.,28,16
17:20,2934,Moataz Aly missed Layup.,28,16
17:20,1,Dj Ursery Defensive Rebound.,28,16
17:11,1,Jacob Lampkin missed Jumper.,28,16
17:11,2934,Brent Wrapp Defensive Rebound.,28,16
17:05,1,Foul on Drew Peterson.,28,16
16:35,2934,Shon Briggs missed Layup.,28,16
16:35,1,Dj Ursery Defensive Rebound.,28,16
16:28,1,Malik Clements missed Layup.,28,16
16:28,2934,Rickey Holden Defensive Rebound.,28,16
16:22,2934,Jarkel Joiner missed Layup.,28,16
16:22,1,Maleke Haynes Block.,28,16
16:22,2934,Shon Briggs Offensive Rebound.,28,16
16:22,2934,Shon Briggs made Layup.,30,16
16:16,1,Jacob Lampkin made Layup. Assisted by Malik Clements.,30,18
15:45,2934,Moataz Aly made Layup. Assisted by Rickey Holden.,32,18
15:11,1,Dj Ursery missed Three Point Jumper.,32,18
15:11,2934,CSU Bakersfield Defensive Rebound.,32,18
15:09,1,Official TV Timeout,32,18
14:56,2934,Damiyne Durham made Three Point Jumper. Assisted by Brent Wrapp.,35,18
14:29,1,Jacob Lampkin Turnover.,35,18
14:25,2934,Damiyne Durham made Three Point Jumper. Assisted by Brent Wrapp.,38,18
14:04,2934,Foul on Justin Davis.,38,18
14:04,1,Dj Ursery made Free Throw.,38,19
14:04,1,Dj Ursery made Free Throw.,38,20
14:04,2934,Damiyne Durham missed Three Point Jumper.,38,20
14:04,1,Dj Ursery Defensive Rebound.,38,20
13:37,1,Malik Clements made Layup. Assisted by Dj Ursery.,38,22
13:11,2934,Moataz Aly missed Layup.,38,22
13:11,2934,Justin Davis Offensive Rebound.,38,22
12:44,2934,Rickey Holden missed Jumper.,38,22
12:44,1,Jacob Lampkin Defensive Rebound.,38,22
12:38,2934,Foul on Justin Davis.,38,22
12:24,1,Dj Ursery missed Jumper.,38,22
12:24,2934,Shon Briggs Block.,38,22
12:20,2934,Brent Wrapp Defensive Rebound.,38,22
12:14,2934,Damiyne Durham missed Three Point Jumper.,38,22
12:14,2934,Fallou Ndoye Offensive Rebound.,38,22
11:50,2934,Shon Briggs made Layup. Assisted by Brent Wrapp.,40,22
11:27,1,Malik Clements missed Three Point Jumper.,40,22
11:27,2934,Fallou Ndoye Defensive Rebound.,40,22
11:00,1,Foul on Kylan Osborne.,40,22
11:00,1,Official TV Timeout,40,22
11:00,2934,Damiyne Durham made Free Throw.,41,22
11:00,2934,Damiyne Durham made Free Throw.,42,22
11:00,2934,Damiyne Durham made Free Throw.,43,22
10:41,1,Jack Macdonald made Three Point Jumper. Assisted by Malik Clements.,43,25
10:10,2934,Damiyne Durham missed Jumper.,43,25
10:10,2934,Fallou Ndoye Offensive Rebound.,43,25
10:09,1,Foul on Malik Clements.,43,25
10:09,2934,Fallou Ndoye made Free Throw.,44,25
10:09,2934,Fallou Ndoye made Free Throw.,45,25
9:43,1,Drew Peterson missed Three Point Jumper.,45,25
9:43,1,Alaska Anchorage Deadball Team Rebound.,45,25
9:42,2934,Foul on Fallou Ndoye.,45,25
9:18,1,Dj Ursery missed Three Point Jumper.,45,25
9:18,2934,Jarkel Joiner Defensive Rebound.,45,25
8:53,2934,Shon Briggs missed Jumper.,45,25
8:53,1,Jacob Lampkin Defensive Rebound.,45,25
8:52,2934,Foul on Shon Briggs.,45,25
8:35,1,Jacob Lampkin made Jumper.,45,27
8:13,2934,Justin Davis made Layup. Assisted by Brent Wrapp.,47,27
8:13,1,Foul on Jacob Lampkin.,47,27
8:13,2934,Justin Davis made Free Throw.,48,27
8:00,1,Official TV Timeout,48,27
8:00,1,Drew Peterson Turnover.,48,27
8:00,2934,Damiyne Durham Steal.,48,27
8:00,2934,Damiyne Durham Turnover.,48,27
7:36,1,Brian Pearson made Layup. Assisted by Drew Peterson.,48,29
7:28,2934,Greg Lee Turnover.,48,29
7:26,1,Josiah Wood Steal.,48,29
7:20,1,Jack Macdonald missed Three Point Jumper.,48,29
7:20,2934,Jarkel Joiner Defensive Rebound.,48,29
6:52,1,Foul on Brian Pearson.,48,29
6:52,2934,Moataz Aly missed Free Throw.,48,29
6:52,2934,CSU Bakersfield Deadball Team Rebound.,48,29
6:52,2934,Moataz Aly made Free Throw.,49,29
6:52,1,Josiah Wood made Jumper.,49,31
6:06,1,Foul on Kylan Osborne.,49,31
6:06,2934,Rickey Holden missed Free Throw.,49,31
6:06,2934,Jarkel Joiner Offensive Rebound.,49,31
5:45,2934,Brent Wrapp Turnover.,49,31
5:44,1,Maleke Haynes Steal.,49,31
5:42,1,Maleke Haynes Turnover.,49,31
5:42,1,Foul on Maleke Haynes.,49,31
5:42,2934,Jarkel Joiner made Free Throw.,50,31
5:42,2934,Jarkel Joiner made Free Throw.,51,31
5:18,1,Drew Peterson missed Jumper.,51,31
5:18,1,Drew Peterson Offensive Rebound.,51,31
5:17,2934,Foul on Shon Briggs.,51,31
5:17,1,Drew Peterson made Free Throw.,51,32
5:17,1,Drew Peterson made Free Throw.,51,33
4:55,2934,Moataz Aly missed Layup.,51,33
4:55,1,Josiah Wood Defensive Rebound.,51,33
4:44,1,Josiah Wood missed Layup.,51,33
4:44,2934,Moataz Aly Defensive Rebound.,51,33
4:39,2934,Rickey Holden missed Three Point Jumper.,51,33
4:39,2934,Jarkel Joiner Offensive Rebound.,51,33
4:08,2934,Rickey Holden made Layup.,53,33
3:54,2934,Foul on Rickey Holden.,53,33
3:54,1,Official TV Timeout,53,33
3:54,1,Maleke Haynes made Free Throw.,53,34
3:54,1,Maleke Haynes made Free Throw.,53,35
3:26,2934,Moataz Aly made Layup. Assisted by Brent Wrapp.,55,35
3:06,1,Jack Macdonald Turnover.,55,35
3:06,2934,Rickey Holden Steal.,55,35
3:06,2934,Rickey Holden Turnover.,55,35
2:52,1,Drew Peterson missed Three Point Jumper.,55,35
2:52,1,Alaska Anchorage Offensive Rebound.,55,35
2:30,1,Drew Peterson missed Jumper.,55,35
2:30,2934,Justin Mccall Block.,55,35
2:27,2934,Rickey Holden Defensive Rebound.,55,35
2:18,2934,Fallou Ndoye Turnover.,55,35
2:10,1,Jack Macdonald Turnover.,55,35
2:09,2934,Rickey Holden Steal.,55,35
2:06,2934,Rickey Holden made Layup.,57,35
1:42,1,Josiah Wood missed Three Point Jumper.,57,35
1:42,1,Drew Peterson Offensive Rebound.,57,35
1:36,1,Kylan Osborne missed Three Point Jumper.,57,35
1:36,2934,CSU Bakersfield Defensive Rebound.,57,35
1:14,2934,Justin Mccall made Layup. Assisted by Damiyne Durham.,59,35
1:14,1,Foul on Malik Clements.,59,35
1:14,2934,Justin Mccall missed Free Throw.,59,35
1:14,1,Josiah Wood Defensive Rebound.,59,35
0:59,1,Josiah Wood made Three Point Jumper. Assisted by Malik Clements.,59,38
0:42,2934,Damiyne Durham missed Three Point Jumper.,59,38
0:42,1,Brennan Rymer Defensive Rebound.,59,38
0:31,2934,Foul on Justin Mccall.,59,38
0:31,1,Malik Clements missed Free Throw.,59,38
0:31,1,Alaska Anchorage Deadball Team Rebound.,59,38
0:31,1,Malik Clements made Free Throw.,59,39
0:03,2934,CSU Bakersfield  Turnover.,59,39
0:00,1,End of Game,59,39
