Pennsylvania,140,UMKC,219
12:34,140,Broderick Robinson Steal.,12,8
12:31,219,Foul on Caleb Wood.,12,8
12:31,140,Broderick Robinson made Free Throw.,12,9
12:31,140,Broderick Robinson made Free Throw.,12,10
12:06,219,Antonio Woods Turnover.,12,10
12:06,219,Foul on Antonio Woods.,12,10
11:47,140,Tony Jackson missed Three Point Jumper.,12,10
11:47,219,Darnell Foreman Defensive Rebound.,12,10
11:42,219,Ryan Betley made Jumper. Assisted by Darnell Foreman.,14,10
11:42,140,Foul on Xavier Bishop.,14,10
11:42,219,Ryan Betley made Free Throw.,15,10
11:28,140,Broderick Robinson made Layup.,15,12
11:28,219,Foul on AJ Brodeur.,15,12
11:28,140,Broderick Robinson made Free Throw.,15,13
10:58,219,AJ Brodeur Turnover.,15,13
10:49,140,Isaiah Ross missed Jumper.,15,13
10:49,219,Darnell Foreman Defensive Rebound.,15,13
10:32,219,Max Rothschild made Jumper.,18,13
10:32,140,Foul on Jordan Giles.,18,13
10:32,219,Max Rothschild made Free Throw.,16,13
10:20,140,Broderick Robinson missed Three Point Jumper.,18,13
10:20,219,AJ Brodeur Defensive Rebound.,18,13
10:13,140,Foul on Broderick Robinson.,18,13
10:10,219,Caleb Wood missed Three Point Jumper.,18,13
10:10,140,Broderick Robinson Defensive Rebound.,18,13
9:59,140,Jordan Giles Turnover.,18,13
9:59,219,Caleb Wood Steal.,18,13
9:46,219,Devon Goodman made Layup.,20,13
9:31,140,Jordan Giles Turnover.,20,13
9:28,219,Caleb Wood missed Three Point Jumper.,20,13
9:28,219,AJ Brodeur Offensive Rebound.,20,13
9:21,219,Devon Goodman Turnover.,20,13
9:20,140,Broderick Robinson Steal.,20,13
9:13,140,Jordan Giles missed Three Point Jumper.,20,13
9:13,219,AJ Brodeur Defensive Rebound.,20,13
8:57,219,Darnell Foreman missed Three Point Jumper.,20,13
8:57,140,Defensive Rebound.,20,13
8:44,140,Isaiah Ross Turnover.,20,13
7:59,140,Official TV Timeout,20,13
7:47,140,Isaiah Ross made Layup.,20,15
7:24,219,Caleb Wood made Layup.,22,15
7:24,140,Foul on Isaiah Ross.,22,15
7:24,219,Caleb Wood missed Free Throw.,22,15
7:24,140,Isaiah Ross Defensive Rebound.,22,15
7:14,140,Aleer Leek Turnover.,22,15
7:11,219,Antonio Woods Steal.,22,15
6:56,219,AJ Brodeur made Layup.,24,15
6:38,140,Aleer Leek made Layup. Assisted by Isaiah Ross.,24,17
6:27,219,Antonio Woods Turnover.,24,17
6:12,140,Brandon McKissic missed Layup.,24,17
6:12,219,Devon Goodman Defensive Rebound.,24,17
5:57,140,Foul on Jordan Giles.,24,17
5:57,219,AJ Brodeur made Free Throw.,25,17
5:57,219,AJ Brodeur made Free Throw.,26,17
5:29,140,Robert Knar missed Three Point Jumper.,26,17
5:29,140,Xavier Bishop Offensive Rebound.,26,17
5:25,140,Xavier Bishop missed Three Point Jumper.,26,17
5:25,219,AJ Brodeur Defensive Rebound.,26,17
5:02,140,Foul on Jordan Giles.,26,17
5:02,219,AJ Brodeur made Free Throw.,27,17
5:02,219,AJ Brodeur missed Free Throw.,27,17
5:02,140,Tony Jackson Defensive Rebound.,27,17
4:56,219,Foul on Antonio Woods.,27,17
4:42,140,Broderick Robinson made Three Point Jumper. Assisted by Xavier Bishop.,27,20
4:16,219,Darnell Foreman made Layup.,29,20
4:08,140,Xavier Bishop Turnover.,29,20
3:50,219,AJ Brodeur missed Layup.,29,20
3:50,140,Defensive Rebound.,29,20
3:34,140,Broderick Robinson Turnover.,29,20
3:34,140,Official TV Timeout,29,20
3:18,219,Caleb Wood missed Three Point Jumper.,29,20
3:18,140,Defensive Rebound.,29,20
3:00,140,missed Jumper.,29,20
3:00,219,Darnell Foreman Defensive Rebound.,29,20
2:51,219,AJ Brodeur made Layup. Assisted by Darnell Foreman.,31,20
2:20,140,Broderick Robinson Turnover.,31,20
2:18,219,Darnell Foreman Steal.,31,20
2:13,219,Devon Goodman missed Jumper.,31,20
2:13,140,Defensive Rebound.,31,20
2:00,140,missed Jumper.,31,20
2:00,219,AJ Brodeur Block.,31,20
1:58,219,AJ Brodeur Defensive Rebound.,31,20
1:54,219,Darnell Foreman missed Three Point Jumper.,31,20
1:54,219,Darnell Foreman Offensive Rebound.,31,20
1:44,219,Caleb Wood Turnover.,31,20
1:44,219,Pennsylvania  Timeout,31,20
1:34,140,Marco Smith missed Three Point Jumper.,31,20
1:34,219,Ryan Betley Defensive Rebound.,31,20
1:12,219,Devon Goodman missed Three Point Jumper.,31,20
1:12,140,Tony Jackson Defensive Rebound.,31,20
0:59,140,Tony Jackson missed Free Throw.,31,20
0:59,140,Foul on Tony Jackson.,31,20
0:59,219,Foul on AJ Brodeur.,31,20
0:59,219,Pennsylvania Deadball Team Rebound.,31,20
0:59,140,Tony Jackson made Free Throw.,31,21
0:36,219,Max Rothschild Turnover.,31,21
0:35,140,Aleer Leek Steal.,31,21
0:22,140,Aleer Leek missed Three Point Jumper.,31,21
0:22,219,Caleb Wood Defensive Rebound.,31,21
0:08,219,Max Rothschild Turnover.,31,21
0:00,140,End of 1st half,31,21
19:41,219,Foul on Darnell Foreman.,31,21
19:35,140,Tony Jackson missed Three Point Jumper.,31,21
19:35,219,Max Rothschild Defensive Rebound.,31,21
19:03,140,Foul on Tony Jackson.,31,21
19:03,219,Ryan Betley made Free Throw.,32,21
19:03,219,Ryan Betley missed Free Throw.,32,21
19:03,140,Isaiah Ross Defensive Rebound.,32,21
18:47,140,Tony Jackson made Jumper.,32,23
18:31,219,Max Rothschild Turnover.,32,23
18:19,140,Jordan Giles made Layup.,32,25
18:19,219,Foul on Max Rothschild.,32,25
18:19,140,Jordan Giles made Free Throw.,32,26
17:58,219,Ryan Betley missed Three Point Jumper.,32,26
17:58,140,Broderick Robinson Defensive Rebound.,32,26
17:46,140,Xavier Bishop made Jumper.,32,28
17:43,219,Pennsylvania  Timeout,32,28
17:31,219,Ryan Betley made Layup. Assisted by Caleb Wood.,34,28
17:31,140,Foul on Jordan Giles.,34,28
17:31,219,Ryan Betley made Free Throw.,35,28
17:20,219,Foul on Darnell Foreman.,35,28
17:20,140,Xavier Bishop made Free Throw.,35,29
17:20,140,Xavier Bishop made Free Throw.,35,30
17:13,219,AJ Brodeur made Layup. Assisted by Ryan Betley.,37,30
16:55,140,Xavier Bishop missed Three Point Jumper.,37,30
16:55,219,Antonio Woods Defensive Rebound.,37,30
16:52,140,Foul on Broderick Robinson.,37,30
16:37,219,Darnell Foreman missed Jumper.,37,30
16:37,140,Xavier Bishop Defensive Rebound.,37,30
16:35,219,Foul on AJ Brodeur.,37,30
16:16,140,made Layup.,37,32
16:01,219,Antonio Woods Turnover.,37,32
16:01,140,Official TV Timeout,37,32
15:48,140,Brandon McKissic Turnover.,37,32
15:48,140,Foul on Brandon McKissic.,37,32
15:32,219,Ryan Betley missed Three Point Jumper.,37,32
15:32,219,Max Rothschild Offensive Rebound.,37,32
15:22,219,Caleb Wood missed Layup.,37,32
15:22,140,Defensive Rebound.,37,32
15:13,140,Broderick Robinson made Three Point Jumper. Assisted by Xavier Bishop.,37,35
15:00,140,Foul on Brandon McKissic.,37,35
14:56,140,Foul on  .,37,35
14:56,140,UMKC  Timeout,37,35
14:46,219,Antonio Woods Turnover.,37,35
14:29,140,missed Three Point Jumper.,37,35
14:29,219,Darnell Foreman Defensive Rebound.,37,35
14:14,219,Max Rothschild made Jumper. Assisted by Antonio Woods.,39,35
14:02,219,Foul on Max Rothschild.,39,35
14:02,140,Brandon McKissic missed Free Throw.,39,35
14:02,140,UMKC Deadball Team Rebound.,39,35
14:02,140,Brandon McKissic missed Free Throw.,39,35
14:02,219,AJ Brodeur Defensive Rebound.,39,35
13:42,219,Antonio Woods missed Three Point Jumper.,39,35
13:42,140,Xavier Bishop Defensive Rebound.,39,35
13:34,219,Foul on Antonio Woods.,39,35
13:23,140,Xavier Bishop Turnover.,39,35
13:06,219,Devon Goodman missed Jumper.,39,35
13:06,140,Xavier Bishop Defensive Rebound.,39,35
12:59,140,Xavier Bishop missed Layup.,39,35
12:59,219,Darnell Foreman Block.,39,35
12:57,219,Devon Goodman Defensive Rebound.,39,35
12:51,219,Jackson Donahue made Three Point Jumper. Assisted by Devon Goodman.,42,35
12:35,140,Isaiah Ross made Layup.,42,37
12:25,219,Jackson Donahue made Three Point Jumper. Assisted by Darnell Foreman.,45,37
12:03,219,Foul on Ryan Betley.,45,37
12:03,140,Isaiah Ross made Free Throw.,45,38
12:03,140,Isaiah Ross made Free Throw.,45,39
11:45,140,Foul on  .,45,39
11:45,140,Official TV Timeout,45,39
11:45,219,Darnell Foreman made Free Throw.,46,39
11:45,219,Darnell Foreman made Free Throw.,47,39
11:32,140,Tony Jackson missed Three Point Jumper.,47,39
11:32,219,Jackson Donahue Defensive Rebound.,47,39
11:10,219,Jackson Donahue Turnover.,47,39
11:08,140,Marco Smith Steal.,47,39
11:05,140,missed Layup.,47,39
11:05,219,Ryan Betley Defensive Rebound.,47,39
10:52,219,Ryan Betley made Layup. Assisted by AJ Brodeur.,49,39
10:32,219,Foul on Devon Goodman.,49,39
10:32,140,Broderick Robinson made Free Throw.,49,40
10:32,140,Broderick Robinson made Free Throw.,49,41
10:11,219,Ryan Betley missed Jumper.,49,41
10:11,140,Broderick Robinson Defensive Rebound.,49,41
10:03,140,Broderick Robinson missed Layup.,49,41
10:03,219,Darnell Foreman Defensive Rebound.,49,41
10:02,140,Foul on  .,49,41
10:02,219,Max Rothschild made Free Throw.,50,41
10:02,219,Max Rothschild missed Free Throw.,50,41
10:02,140,Broderick Robinson Defensive Rebound.,50,41
9:55,140,Robert Knar missed Jumper.,50,41
9:55,219,Darnell Foreman Defensive Rebound.,50,41
9:45,219,Darnell Foreman made Layup.,52,41
9:33,140,Xavier Bishop missed Three Point Jumper.,52,41
9:33,219,Ryan Betley Defensive Rebound.,52,41
9:24,219,Max Rothschild made Layup. Assisted by Ryan Betley.,54,41
9:24,140,Foul on  .,54,41
9:24,219,Max Rothschild missed Free Throw.,54,41
9:24,140,Jordan Giles Defensive Rebound.,54,41
9:11,219,Foul on Ryan Betley.,54,41
9:11,140,Isaiah Ross missed Free Throw.,54,41
9:11,140,UMKC Deadball Team Rebound.,54,41
9:11,140,Isaiah Ross missed Free Throw.,54,41
9:11,140,UMKC Offensive Rebound.,54,41
9:02,140,Isaiah Ross missed Three Point Jumper.,54,41
9:02,219,Antonio Woods Defensive Rebound.,54,41
8:55,219,Max Rothschild made Layup. Assisted by Antonio Woods.,56,41
8:40,140,Broderick Robinson made Three Point Jumper. Assisted by Brandon McKissic.,56,44
8:39,140,UMKC  Timeout,56,44
8:10,219,Darnell Foreman Turnover.,56,44
8:09,140,Xavier Bishop Steal.,56,44
8:06,140,Robert Knar made Layup. Assisted by Xavier Bishop.,56,46
7:52,219,Antonio Woods Turnover.,56,46
7:52,140,Official TV Timeout,56,46
7:41,140,Xavier Bishop made Three Point Jumper. Assisted by Robert Knar.,56,49
7:15,219,Max Rothschild missed Layup.,56,49
7:15,219,Pennsylvania Offensive Rebound.,56,49
7:10,219,Foul on Ryan Betley.,56,49
7:07,219,Ryan Betley Turnover.,56,49
7:02,140,Robert Knar Turnover.,56,49
7:02,140,Foul on Robert Knar.,56,49
6:44,219,AJ Brodeur Turnover.,56,49
6:42,140,Broderick Robinson Steal.,56,49
6:40,140,Broderick Robinson made Layup.,56,51
6:17,219,Jackson Donahue made Three Point Jumper. Assisted by AJ Brodeur.,59,51
5:54,140,Isaiah Ross missed Three Point Jumper.,59,51
5:54,219,Darnell Foreman Defensive Rebound.,59,51
5:45,140,Foul on Xavier Bishop.,59,51
5:45,219,Darnell Foreman made Free Throw.,60,51
5:45,219,Darnell Foreman missed Free Throw.,60,51
5:45,140,UMKC Defensive Rebound.,60,51
5:45,219,Foul on AJ Brodeur.,60,51
5:45,140,Jordan Giles made Free Throw.,60,52
5:45,140,Jordan Giles made Free Throw.,60,53
5:38,219,Antonio Woods Turnover.,60,53
5:27,140,Jordan Giles missed Jumper.,60,53
5:27,219,Ryan Betley Defensive Rebound.,60,53
5:17,219,Darnell Foreman made Jumper.,62,53
5:03,140,Isaiah Ross missed Layup.,62,53
5:03,219,Pennsylvania Defensive Rebound.,62,53
4:36,219,Jackson Donahue made Layup.,64,53
4:18,140,Brandon McKissic missed Layup.,64,53
4:18,219,Max Rothschild Defensive Rebound.,64,53
3:55,140,Foul on Broderick Robinson.,64,53
3:55,140,Official TV Timeout,64,53
3:55,219,Max Rothschild missed Free Throw.,64,53
3:55,219,Pennsylvania Deadball Team Rebound.,64,53
3:55,219,Max Rothschild made Free Throw.,65,53
3:32,140,Robert Knar made Jumper.,65,55
3:19,140,Foul on Broderick Robinson.,65,55
3:19,219,Max Rothschild missed Free Throw.,65,55
3:19,219,Pennsylvania Deadball Team Rebound.,65,55
3:19,219,Max Rothschild made Free Throw.,66,55
3:02,140,Xavier Bishop made Three Point Jumper. Assisted by Isaiah Ross.,66,58
2:42,219,Darnell Foreman missed Jumper.,66,58
2:42,140,Jordan Giles Defensive Rebound.,66,58
2:42,219,Foul on Max Rothschild.,66,58
2:42,140,Jordan Giles made Free Throw.,66,59
2:42,140,Jordan Giles made Free Throw.,66,60
2:13,219,Antonio Woods missed Jumper.,66,60
2:13,140,Isaiah Ross Defensive Rebound.,66,60
2:04,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,66,63
1:39,219,Darnell Foreman made Layup.,68,63
1:25,140,Xavier Bishop made Layup.,68,65
1:25,140,UMKC  Timeout,68,65
0:54,219,Ryan Betley missed Jumper.,68,65
0:54,140,Broderick Robinson Defensive Rebound.,68,65
0:37,140,Isaiah Ross Turnover.,68,65
0:36,219,Jackson Donahue Steal.,68,65
0:33,219,Jackson Donahue missed Layup.,68,65
0:33,140,Isaiah Ross Defensive Rebound.,68,65
0:15,140,Xavier Bishop missed Three Point Jumper.,68,65
0:15,219,Pennsylvania Defensive Rebound.,68,65
0:12,140,Foul on Isaiah Ross.,68,65
0:12,219,Darnell Foreman missed Free Throw.,68,65
0:12,219,Pennsylvania Deadball Team Rebound.,68,65
0:11,219,Darnell Foreman missed Free Throw.,68,65
0:11,140,Jordan Giles Defensive Rebound.,68,65
0:05,140,Isaiah Ross missed Three Point Jumper.,68,65
0:05,219,Max Rothschild Defensive Rebound.,68,65
0:00,140,End of Game,68,65
