St. Andrews,Error,Coastal Carolina,324
12:27,2592,Darius Huff Turnover.,8,19
12:26,324,Jaylen Shaw Steal.,8,19
12:14,324,Demario Beck missed Three Point Jumper.,8,19
12:14,324,Artur Labinowicz Offensive Rebound.,8,19
12:09,324,Jaylen Shaw missed Three Point Jumper.,8,19
12:09,2592,Andrew Rodriguez Defensive Rebound.,8,19
11:55,324,Official TV Timeout,8,19
11:39,2592,Andrew Rodriguez missed Jumper.,8,19
11:39,324,Demario Beck Block.,8,19
11:38,324,Demario Beck Defensive Rebound.,8,19
11:34,324,Artur Labinowicz made Three Point Jumper.,8,22
11:33,2592,Foul on Darius Huff.,8,22
11:33,324,Artur Labinowicz made Free Throw.,8,23
11:06,2592,Christian Lathan missed Three Point Jumper.,8,23
11:06,2592,St. Andrews Offensive Rebound.,8,23
10:50,2592,Jordan Hines missed Jumper.,8,23
10:50,324,Trevion Brown Defensive Rebound.,8,23
10:32,324,Artur Labinowicz missed Three Point Jumper.,8,23
10:32,2592,Andrew Rodriguez Defensive Rebound.,8,23
10:24,324,Foul on Trevion Brown.,8,23
10:18,2592,Jean Ahoume missed Jumper.,8,23
10:18,324,Josh Coleman Defensive Rebound.,8,23
10:05,324,Demario Beck Turnover.,8,23
9:50,2592,Devonte Pettaway made Jumper.,10,23
9:32,324,Artur Labinowicz missed Layup.,10,23
9:32,2592,Jean Ahoume Block.,10,23
9:31,2592,Jourdan Sanders Defensive Rebound.,10,23
9:08,2592,Devonte Pettaway missed Jumper.,10,23
9:08,324,Demario Beck Defensive Rebound.,10,23
8:55,324,Jaylen Shaw made Jumper.,10,25
8:35,2592,Jordan Hines missed Jumper.,10,25
8:35,324,Jaylen Shaw Defensive Rebound.,10,25
8:21,324,Artur Labinowicz Turnover.,10,25
8:09,2592,Devonte Pettaway missed Layup.,10,25
8:09,324,Artur Labinowicz Block.,10,25
8:07,324,Ajay Sanders Defensive Rebound.,10,25
8:02,2592,Foul on Jordan Hines.,10,25
8:02,324,Jaylen Shaw made Free Throw.,10,26
8:02,324,Jaylen Shaw made Free Throw.,10,27
7:48,2592,Jordan Hines missed Layup.,10,27
7:48,324,Josh Coleman Defensive Rebound.,10,27
7:41,324,Jaylen Shaw made Layup.,10,29
7:23,2592,Devonte Pettaway missed Three Point Jumper.,10,29
7:23,2592,Jordan Hines Offensive Rebound.,10,29
7:20,324,Foul on Christian Adams.,10,29
7:20,324,Official TV Timeout,10,29
7:20,2592,Jordan Hines missed Free Throw.,10,29
7:20,2592,St. Andrews Deadball Team Rebound.,10,29
7:20,2592,Jordan Hines missed Free Throw.,10,29
7:20,2592,Jean Ahoume Offensive Rebound.,10,29
7:18,324,Foul on Christian Adams.,10,29
7:03,2592,Jordan Hines missed Jumper.,10,29
7:03,324,Josh Coleman Defensive Rebound.,10,29
6:56,324,Trevion Brown missed Three Point Jumper.,10,29
6:56,2592,Devonte Pettaway Defensive Rebound.,10,29
6:47,2592,Jean Ahoume missed Jumper.,10,29
6:47,324,Christian Adams Defensive Rebound.,10,29
6:34,324,Matt Lindsey Turnover.,10,29
6:33,2592,Jordan Hines Steal.,10,29
6:12,2592,Jordan Hines missed Jumper.,10,29
6:12,324,Matt Lindsey Defensive Rebound.,10,29
5:58,324,Matt Lindsey missed Jumper.,10,29
5:58,2592,Jourdan Sanders Defensive Rebound.,10,29
5:30,2592,Jordan Hines made Three Point Jumper. Assisted by Devonte Pettaway.,13,29
5:15,324,Matt Lindsey missed Three Point Jumper.,13,29
5:15,324,Josh Coleman Offensive Rebound.,13,29
5:10,324,Josh Coleman missed Layup.,13,29
5:10,324,Ajay Sanders Offensive Rebound.,13,29
5:08,324,Ajay Sanders made Layup.,13,31
4:48,2592,Jean Ahoume missed Free Throw.,13,31
4:48,324,Foul on Josh Coleman.,13,31
4:48,324,Amidou Bamba Defensive Rebound.,13,31
4:48,2592,Jean Ahoume missed Free Throw.,13,31
4:48,2592,St. Andrews Deadball Team Rebound.,13,31
4:42,324,Ajay Sanders Turnover.,13,31
4:19,2592,Jordan Hines missed Jumper.,13,31
4:19,324,Demario Beck Defensive Rebound.,13,31
4:05,324,Ajay Sanders missed Three Point Jumper.,13,31
4:05,2592,Jourdan Sanders Defensive Rebound.,13,31
3:48,2592,Andrew Rodriguez Turnover.,13,31
3:46,324,Jaylen Shaw Steal.,13,31
3:43,324,Jaylen Shaw missed Jumper.,13,31
3:43,324,Demario Beck Offensive Rebound.,13,31
3:40,2592,Foul on Jordan Hines.,13,31
3:40,324,Official TV Timeout,13,31
3:40,324,Demario Beck missed Free Throw.,13,31
3:40,324,Coastal Carolina Deadball Team Rebound.,13,31
3:40,324,Demario Beck made Free Throw.,13,32
3:20,2592,Andrew Rodriguez missed Three Point Jumper.,13,32
3:20,324,Demario Beck Defensive Rebound.,13,32
3:09,324,Demario Beck missed Layup.,13,32
3:09,2592,Jordan Hines Defensive Rebound.,13,32
3:05,2592,Jean Ahoume missed Jumper.,13,32
3:05,324,Jaylen Shaw Defensive Rebound.,13,32
2:52,324,Demario Beck Turnover.,13,32
2:50,2592,Jordan Hines Steal.,13,32
2:45,2592,Andrew Rodriguez made Layup. Assisted by Christian Lathan.,15,32
2:28,324,Demario Beck made Jumper.,15,34
2:12,2592,Jourdan Sanders missed Three Point Jumper.,15,34
2:12,324,Ajay Sanders Defensive Rebound.,15,34
2:01,324,Jaylen Shaw missed Layup.,15,34
2:01,2592,Christian Lathan Defensive Rebound.,15,34
1:43,2592,Jean Ahoume made Jumper.,17,34
1:15,2592,Foul on Christian Lathan.,17,34
1:07,324,Amidou Bamba missed Jumper.,17,34
1:07,2592,Jordan Hines Defensive Rebound.,17,34
1:06,324,Foul on Josh Coleman.,17,34
0:47,2592,Christian Lathan missed Jumper.,17,34
0:47,324,Amidou Bamba Defensive Rebound.,17,34
0:38,324,Jaylen Shaw missed Layup.,17,34
0:38,324,Josh Coleman Offensive Rebound.,17,34
0:35,2592,Foul on Jean Ahoume.,17,34
0:35,324,Josh Coleman made Free Throw.,17,35
0:35,324,Josh Coleman made Free Throw.,17,36
0:19,2592,Jordan Hines missed Jumper.,17,36
0:19,324,Amidou Bamba Defensive Rebound.,17,36
0:02,324,Jaylen Shaw missed Jumper.,17,36
0:02,2592,Jean Ahoume Defensive Rebound.,17,36
0:00,324,End of 1st half,17,36
19:39,2592,Christian Lathan missed Three Point Jumper.,17,36
19:39,324,Demario Beck Defensive Rebound.,17,36
19:22,324,Ajay Sanders made Layup.,17,38
18:59,2592,Jourdan Sanders missed Jumper.,17,38
18:59,324,Demario Beck Defensive Rebound.,17,38
18:49,324,Josh Coleman Turnover.,17,38
18:17,2592,St. Andrews  Turnover.,17,38
18:06,324,Matt Lindsey missed Jumper.,17,38
18:06,2592,Jourdan Sanders Defensive Rebound.,17,38
17:56,2592,Jourdan Sanders Turnover.,17,38
17:40,2592,Foul on Darius Huff.,17,38
17:40,324,Demario Beck missed Free Throw.,17,38
17:40,324,Coastal Carolina Deadball Team Rebound.,17,38
17:40,324,Demario Beck missed Free Throw.,17,38
17:40,2592,Darius Huff Defensive Rebound.,17,38
17:28,2592,Darius Huff Turnover.,17,38
17:27,324,Ajay Sanders Steal.,17,38
17:23,324,Ajay Sanders made Layup.,17,40
17:23,2592,Foul on Jourdan Sanders.,17,40
17:23,324,Ajay Sanders made Free Throw.,17,41
16:58,2592,Christian Lathan missed Jumper.,17,41
16:58,324,Jaylen Shaw Defensive Rebound.,17,41
16:55,324,Jaylen Shaw missed Layup.,17,41
16:55,324,Josh Coleman Offensive Rebound.,17,41
16:48,324,Josh Coleman missed Jumper.,17,41
16:48,2592,St. Andrews Defensive Rebound.,17,41
16:27,2592,Christian Lathan missed Three Point Jumper.,17,41
16:27,324,Coastal Carolina Defensive Rebound.,17,41
16:09,324,Ajay Sanders missed Jumper.,17,41
16:09,2592,Jourdan Sanders Defensive Rebound.,17,41
15:47,2592,Jourdan Sanders missed Three Point Jumper.,17,41
15:47,324,Demario Beck Defensive Rebound.,17,41
15:34,324,Ajay Sanders missed Three Point Jumper.,17,41
15:34,2592,Darius Huff Defensive Rebound.,17,41
15:33,324,Foul on Demario Beck.,17,41
15:33,324,Official TV Timeout,17,41
15:19,2592,Jordan Hines made Three Point Jumper. Assisted by Christian Lathan.,20,41
15:02,324,Matt Lindsey Turnover.,20,41
14:39,2592,Jordan Hines missed Jumper.,20,41
14:39,324,Coastal Carolina Defensive Rebound.,20,41
14:17,324,Demario Beck missed Layup.,20,41
14:17,2592,Jean Ahoume Block.,20,41
14:15,324,Matt Lindsey Offensive Rebound.,20,41
14:03,2592,Foul on Devonte Pettaway.,20,41
13:56,2592,Foul on Darius Huff.,20,41
13:56,324,Demario Beck made Free Throw.,20,42
13:56,324,Demario Beck made Free Throw.,20,43
13:33,324,Foul on Demario Beck.,20,43
13:33,2592,Daniel Weber made Free Throw.,21,43
13:33,2592,Daniel Weber missed Free Throw.,21,43
13:33,324,Amidou Bamba Defensive Rebound.,21,43
13:19,324,Artur Labinowicz missed Three Point Jumper.,21,43
13:19,2592,Andrew Rodriguez Defensive Rebound.,21,43
13:06,2592,Devonte Pettaway missed Three Point Jumper.,21,43
13:06,324,Artur Labinowicz Defensive Rebound.,21,43
12:44,324,Artur Labinowicz made Three Point Jumper. Assisted by Trevion Brown.,21,46
12:19,2592,Devonte Pettaway made Layup.,23,46
12:02,324,Demario Beck missed Three Point Jumper.,23,46
12:02,2592,Devonte Pettaway Defensive Rebound.,23,46
11:49,2592,Christian Lathan missed Jumper.,23,46
11:49,2592,Christian Lathan Offensive Rebound.,23,46
11:45,2592,Christian Lathan missed Jumper.,23,46
11:45,2592,Christian Lathan Offensive Rebound.,23,46
11:36,2592,Andrew Rodriguez missed Jumper.,23,46
11:36,324,Demario Beck Block.,23,46
11:35,324,Demario Beck Defensive Rebound.,23,46
11:27,2592,Foul on Jordan Hines.,23,46
11:27,324,Official TV Timeout,23,46
11:27,324,Amidou Bamba missed Free Throw.,23,46
11:27,324,Coastal Carolina Deadball Team Rebound.,23,46
11:27,324,Amidou Bamba missed Free Throw.,23,46
11:27,2592,Christian Lathan Defensive Rebound.,23,46
11:25,324,Foul on Ajay Sanders.,23,46
11:04,2592,Devonte Pettaway made Jumper.,25,46
10:41,324,Artur Labinowicz missed Three Point Jumper.,25,46
10:41,324,Amidou Bamba Offensive Rebound.,25,46
10:35,324,Artur Labinowicz made Dunk. Assisted by Amidou Bamba.,25,48
10:10,2592,Jordan Hines missed Layup.,25,48
10:10,324,Josh Coleman Block.,25,48
10:08,324,Josh Coleman Defensive Rebound.,25,48
10:06,324,Josh Coleman Turnover.,25,48
10:05,2592,Andrew Rodriguez Steal.,25,48
10:03,2592,Andrew Rodriguez Turnover.,25,48
10:02,324,Artur Labinowicz Steal.,25,48
10:01,324,Amidou Bamba made Dunk. Assisted by Artur Labinowicz.,25,50
9:41,2592,Devonte Pettaway missed Jumper.,25,50
9:41,324,Artur Labinowicz Defensive Rebound.,25,50
9:29,324,Ajay Sanders missed Three Point Jumper.,25,50
9:29,324,Josh Coleman Offensive Rebound.,25,50
9:24,324,Josh Coleman made Layup.,25,52
9:12,2592,St. Andrews  Timeout,25,52
9:12,324,Official TV Timeout,25,52
8:57,2592,Christian Lathan missed Three Point Jumper.,25,52
8:57,324,Artur Labinowicz Defensive Rebound.,25,52
8:45,324,Demario Beck made Three Point Jumper. Assisted by Jaylen Shaw.,25,55
8:30,2592,Jean Ahoume missed Jumper.,25,55
8:30,2592,Jean Ahoume Offensive Rebound.,25,55
8:14,324,Foul on Jaylen Shaw.,25,55
7:59,2592,Jordan Hines missed Three Point Jumper.,25,55
7:59,324,Demario Beck Defensive Rebound.,25,55
7:54,324,Jaylen Shaw made Layup. Assisted by Demario Beck.,25,57
7:38,2592,Jean Ahoume missed Jumper.,25,57
7:38,324,Artur Labinowicz Defensive Rebound.,25,57
7:23,324,Jaylen Shaw made Jumper.,25,59
7:04,324,Foul on Josh Coleman.,25,59
7:04,324,Official TV Timeout,25,59
6:45,2592,Jean Ahoume missed Jumper.,25,59
6:45,324,Demario Beck Defensive Rebound.,25,59
6:36,324,Jaylen Shaw missed Three Point Jumper.,25,59
6:36,2592,Jordan Hines Defensive Rebound.,25,59
6:26,2592,Jean Ahoume missed Jumper.,25,59
6:26,324,Matt Lindsey Defensive Rebound.,25,59
6:10,324,Jaylen Shaw missed Jumper.,25,59
6:10,324,Josh Coleman Offensive Rebound.,25,59
6:07,2592,Foul on Jordan Hines.,25,59
6:07,324,Josh Coleman missed Free Throw.,25,59
6:07,324,Coastal Carolina Deadball Team Rebound.,25,59
6:07,324,Josh Coleman made Free Throw.,25,60
5:50,2592,Darius Huff Turnover.,25,60
5:48,324,Matt Lindsey Steal.,25,60
5:48,2592,Foul on Darius Huff.,25,60
5:48,324,Matt Lindsey made Free Throw.,25,61
5:48,324,Matt Lindsey made Free Throw.,25,62
5:24,2592,Darius Huff missed Layup.,25,62
5:24,324,Josh Coleman Block.,25,62
5:22,2592,Jean Ahoume Offensive Rebound.,25,62
5:18,2592,Jean Ahoume missed Jumper.,25,62
5:18,324,Demario Beck Defensive Rebound.,25,62
5:11,324,Josh Coleman missed Dunk.,25,62
5:11,2592,Jean Ahoume Defensive Rebound.,25,62
4:58,2592,Jean Ahoume made Jumper. Assisted by Darius Huff.,27,62
4:42,324,Jaylen Shaw made Layup.,27,64
4:34,2592,Jean Ahoume Turnover.,27,64
4:15,324,Artur Labinowicz missed Jumper.,27,64
4:15,324,Josh Coleman Offensive Rebound.,27,64
4:12,324,Josh Coleman made Layup.,27,66
3:50,2592,Jourdan Sanders missed Jumper.,27,66
3:50,324,Demario Beck Block.,27,66
3:48,2592,Darius Huff Offensive Rebound.,27,66
3:46,2592,Jourdan Sanders made Jumper. Assisted by Darius Huff.,29,66
3:31,324,Trevion Brown made Jumper.,29,68
3:11,324,Foul on Demario Beck.,29,68
3:11,324,Official TV Timeout,29,68
3:11,2592,Darius Huff made Free Throw.,30,68
3:11,2592,Darius Huff made Free Throw.,31,68
2:59,324,Trevion Brown missed Layup.,31,68
2:59,2592,Daniel Weber Defensive Rebound.,31,68
2:29,2592,St. Andrews  Turnover.,31,68
2:20,324,Tyrell Gumbs-Frater missed Three Point Jumper.,31,68
2:20,2592,St. Andrews Defensive Rebound.,31,68
2:00,2592,Ben Twigger missed Three Point Jumper.,31,68
2:00,324,Amidou Bamba Defensive Rebound.,31,68
1:49,324,Bill Muse missed Three Point Jumper.,31,68
1:49,2592,Ignacio Menendez Defensive Rebound.,31,68
1:28,2592,Ben Twigger made Three Point Jumper.,34,68
1:13,324,Josh Peterson Turnover.,34,68
1:12,2592,Julian Mobley Steal.,34,68
1:02,2592,Darius Huff missed Layup.,34,68
1:02,324,Amidou Bamba Defensive Rebound.,34,68
0:48,324,Tyrell Gumbs-Frater Turnover.,34,68
0:29,2592,Julian Mobley missed Three Point Jumper.,34,68
0:29,324,Josh Peterson Block.,34,68
0:26,324,Tyrell Gumbs-Frater Defensive Rebound.,34,68
0:24,324,Josh Peterson made Layup. Assisted by Tyrell Gumbs-Frater.,34,70
0:04,2592,Ignacio Menendez missed Three Point Jumper.,34,70
0:04,324,Bill Muse Defensive Rebound.,34,70
0:00,324,End of Game,34,70
