South Dakota State,2084,Buffalo,2571
15:52,2084,Buffalo  Timeout,50,34
15:52,2084,Official TV Timeout,50,34
15:47,2571,Mike Daum made Layup.,52,34
15:32,2084,Davonta Jordan Turnover.,52,34
15:30,2571,Steal.,52,34
15:19,2571,Foul on Mike Daum.,52,34
15:19,2571,Mike Daum Turnover.,52,34
14:56,2084,Nick Perkins missed Three Point Jumper.,52,34
14:56,2571,Mike Daum Defensive Rebound.,52,34
14:44,2571,Mike Daum made Jumper. Assisted by Lane Severyn.,54,34
14:24,2084,Davonta Jordan missed Three Point Jumper.,54,34
14:24,2571,Ian Theisen Defensive Rebound.,54,34
14:21,2084,Buffalo  Timeout,54,34
14:08,2084,Foul on Nick Perkins.,54,34
14:08,2571,Mike Daum made Free Throw.,55,34
14:08,2571,Mike Daum missed Free Throw.,55,34
14:08,2084,CJ Massinburg Defensive Rebound.,55,34
14:02,2084,Dontay Caruthers made Layup.,55,36
13:38,2571,Brandon Key Turnover.,55,36
13:14,2084,Dontay Caruthers missed Jumper.,55,36
13:14,2084,Montell McRae Offensive Rebound.,55,36
13:11,2084,Montell McRae made Layup.,55,38
12:58,2571,Brandon Key made Layup.,57,38
12:49,2571,Foul on Lane Severyn.,57,38
12:38,2084,Dontay Caruthers made Three Point Jumper. Assisted by Montell McRae.,57,41
12:24,2571,Chris Howell Turnover.,57,41
12:11,2084,Dontay Caruthers made Layup.,57,43
12:02,2571,Tevin King Turnover.,57,43
11:56,2084,James Reese missed Three Point Jumper.,57,43
11:56,2084,Buffalo Offensive Rebound.,57,43
11:54,2571,Foul on Tevin King.,57,43
11:54,2084,Official TV Timeout,57,43
11:45,2084,Davonta Jordan made Layup.,57,45
11:29,2084,Foul on CJ Massinburg.,57,45
11:29,2571,Mike Daum made Free Throw.,58,45
11:29,2571,Mike Daum made Free Throw.,59,45
11:13,2084,Jeremy Harris made Layup.,59,47
10:56,2571,Mike Daum made Jumper.,61,47
10:43,2084,Jeremy Harris missed Three Point Jumper.,61,47
10:43,2084,James Reese Offensive Rebound.,61,47
10:39,2084,James Reese made Layup.,61,49
10:21,2084,Foul on James Reese.,61,49
10:12,2571,Brandon Key Turnover.,61,49
10:11,2084,Dontay Caruthers Steal.,61,49
10:08,2084,James Reese made Layup. Assisted by Dontay Caruthers.,61,51
10:08,2571,Foul on Reed Tellinghuisen.,61,51
10:08,2084,James Reese made Free Throw.,61,52
9:51,2571,Skyler Flatten missed Three Point Jumper.,61,52
9:51,2084,Buffalo Defensive Rebound.,61,52
9:33,2084,Jeremy Harris missed Layup.,61,52
9:33,2571,Mike Daum Defensive Rebound.,61,52
9:23,2571,Tevin King Turnover.,61,52
9:05,2084,CJ Massinburg Turnover.,61,52
9:03,2571,Tevin King Steal.,61,52
8:49,2084,Foul on Montell McRae.,61,52
8:49,2571,Mike Daum made Free Throw.,62,52
8:49,2571,Mike Daum missed Free Throw.,62,52
8:49,2084,Jeremy Harris Defensive Rebound.,62,52
8:27,2084,Davonta Jordan missed Jumper.,62,52
8:27,2571,Brandon Key Defensive Rebound.,62,52
8:24,2084,Foul on Davonta Jordan.,62,52
8:24,2571,Brandon Key made Free Throw.,63,52
8:24,2571,Brandon Key made Free Throw.,64,52
8:06,2084,Nick Perkins made Layup.,64,54
7:56,2571,Mike Daum missed Three Point Jumper.,64,54
7:56,2084,Buffalo Defensive Rebound.,64,54
7:53,2084,Official TV Timeout,64,54
7:41,2084,Jeremy Harris made Three Point Jumper. Assisted by Dontay Caruthers.,64,57
7:29,2571,Foul on  .,64,57
7:29,2571,Turnover.,64,57
7:19,2571,Foul on Mike Daum.,64,57
7:19,2084,Nick Perkins made Free Throw.,64,58
7:19,2084,Nick Perkins made Free Throw.,64,59
7:07,2084,Foul on Dontay Caruthers.,64,59
7:07,2571,Mike Daum made Free Throw.,65,59
7:07,2571,Mike Daum missed Free Throw.,65,59
7:07,2084,CJ Massinburg Defensive Rebound.,65,59
6:47,2084,Nick Perkins missed Jumper.,65,59
6:47,2571,Mike Daum Defensive Rebound.,65,59
6:43,2571,Mike Daum Turnover.,65,59
6:41,2084,Jeremy Harris Steal.,65,59
6:37,2084,Dontay Caruthers missed Three Point Jumper.,65,59
6:37,2571,Tevin King Defensive Rebound.,65,59
6:18,2084,Foul on Davonta Jordan.,65,59
6:18,2571,made Free Throw.,66,59
6:18,2571,made Free Throw.,67,59
6:01,2084,Foul on CJ Massinburg.,67,59
6:01,2084,CJ Massinburg Turnover.,67,59
6:01,2084,Foul on Davonta Jordan.,67,59
6:01,2571,Tevin King made Free Throw.,68,59
6:01,2571,Tevin King made Free Throw.,69,59
5:49,2084,Nick Perkins made Three Point Jumper. Assisted by Jeremy Harris.,69,62
5:23,2571,Tevin King made Three Point Jumper. Assisted by Brandon Key.,72,62
5:09,2084,Nick Perkins made Layup. Assisted by Dontay Caruthers.,72,64
5:09,2571,Foul on Ian Theisen.,72,64
5:09,2084,Nick Perkins made Free Throw.,72,65
4:54,2084,Foul on Montell McRae.,72,65
4:54,2571,Mike Daum made Free Throw.,73,65
4:54,2571,Mike Daum missed Free Throw.,73,65
4:54,2084,Davonta Jordan Defensive Rebound.,73,65
4:39,2571,Foul on Mike Daum.,73,65
4:39,2084,Nick Perkins missed Free Throw.,73,65
4:39,2084,Buffalo Deadball Team Rebound.,73,65
4:39,2084,Nick Perkins made Free Throw.,73,66
4:21,2571,Mike Daum made Jumper.,75,66
4:09,2084,Davonta Jordan missed Layup.,75,66
4:09,2571,Mike Daum Block.,75,66
4:07,2571,Defensive Rebound.,75,66
3:47,2571,Tevin King missed Layup.,75,66
3:47,2571,Tevin King Offensive Rebound.,75,66
3:44,2571,Tevin King made Two Point Tip Shot.,77,66
3:38,2084,CJ Massinburg missed Three Point Jumper.,77,66
3:38,2571,Tevin King Defensive Rebound.,77,66
3:21,2571,made Three Point Jumper. Assisted by Brandon Key.,80,66
3:17,2084,Buffalo  Timeout,80,66
3:17,2084,Official TV Timeout,80,66
3:08,2084,CJ Massinburg missed Three Point Jumper.,80,66
3:08,2571,Defensive Rebound.,80,66
2:39,2571,made Three Point Jumper. Assisted by Brandon Key.,83,66
2:29,2084,Davonta Jordan made Three Point Jumper.,83,69
2:03,2571,missed Three Point Jumper.,83,69
2:03,2084,Dontay Caruthers Defensive Rebound.,83,69
1:54,2084,CJ Massinburg missed Three Point Jumper.,83,69
1:54,2571,Tevin King Defensive Rebound.,83,69
1:39,2084,Foul on Jeremy Harris.,83,69
1:39,2571,Brandon Key made Free Throw.,84,69
1:39,2571,Brandon Key made Free Throw.,85,69
1:30,2084,Dontay Caruthers made Layup. Assisted by CJ Massinburg.,85,71
1:30,2571,Foul on  .,85,71
1:30,2084,Dontay Caruthers made Free Throw.,85,72
1:28,2084,Foul on Dontay Caruthers.,85,72
1:28,2571,Mike Daum made Free Throw.,86,72
1:28,2571,Mike Daum made Free Throw.,87,72
1:17,2571,Foul on  .,87,72
1:17,2084,Dontay Caruthers missed Free Throw.,87,72
1:17,2084,Buffalo Deadball Team Rebound.,87,72
1:17,2084,Dontay Caruthers made Free Throw.,87,73
1:16,2084,Foul on Jayvon Graves.,87,73
1:16,2571,Brandon Key missed Free Throw.,87,73
1:16,2571,South Dakota State Deadball Team Rebound.,87,73
1:16,2571,Brandon Key made Free Throw.,88,73
1:09,2084,Jeremy Harris missed Three Point Jumper.,88,73
1:09,2571,Defensive Rebound.,88,73
1:04,2084,Foul on James Reese.,88,73
1:04,2571,missed Free Throw.,88,73
1:04,2571,South Dakota State Deadball Team Rebound.,88,73
1:04,2571,made Free Throw.,89,73
0:55,2084,Jeremy Harris missed Three Point Jumper.,89,73
0:55,2571,Mike Daum Defensive Rebound.,89,73
0:49,2084,Foul on James Reese.,89,73
0:49,2571,Tevin King missed Free Throw.,89,73
0:49,2571,South Dakota State Deadball Team Rebound.,89,73
0:49,2571,Tevin King made Free Throw.,90,73
0:37,2084,Jayvon Graves made Layup.,90,75
0:35,2084,Foul on Dontay Caruthers.,90,75
0:35,2571,made Free Throw.,91,75
0:35,2571,made Free Throw.,92,75
0:28,2084,CJ Massinburg made Three Point Jumper.,92,78
0:20,2084,Foul on Jayvon Graves.,92,78
0:20,2571,Mike Daum made Free Throw.,93,78
0:20,2571,Mike Daum made Free Throw.,94,78
0:16,2084,CJ Massinburg made Layup.,94,80
0:00,2084,End of Game,94,80
