Iowa,5,UAB,2294
3:24,5,Chris Cokley Steal.,86,80
3:20,5,Nate Darling missed Layup.,86,80
3:20,2294,Luka Garza Defensive Rebound.,86,80
2:57,2294,Tyler Cook made Dunk. Assisted by Luka Garza.,88,80
2:42,5,Chris Cokley made Jumper.,88,82
2:42,2294,Foul on Tyler Cook.,88,82
2:42,5,Official TV Timeout,88,82
2:42,5,Chris Cokley made Free Throw.,88,83
2:16,2294,Jordan Bohannon missed Three Point Jumper.,88,83
2:16,5,Jalen Perry Defensive Rebound.,88,83
2:00,2294,Foul on Luka Garza.,88,83
2:00,5,Chris Cokley made Free Throw.,88,84
2:00,5,Chris Cokley made Free Throw.,88,85
1:45,2294,Jordan Bohannon missed Jumper.,88,85
1:45,5,Nate Darling Defensive Rebound.,88,85
1:17,5,Jalen Perry missed Three Point Jumper.,88,85
1:17,2294,Isaiah Moss Defensive Rebound.,88,85
0:52,2294,Luka Garza made Layup.,90,85
0:52,5,Foul on William Lee.,90,85
0:52,2294,Luka Garza made Free Throw.,91,85
0:49,5,Zack Bryant Turnover.,91,85
0:42,2294,Isaiah Moss made Layup. Assisted by Maishe Dailey.,93,85
0:36,5,Jalen Perry missed Three Point Jumper.,93,85
0:36,2294,Tyler Cook Defensive Rebound.,93,85
0:32,5,Foul on Nate Darling.,93,85
0:32,2294,Tyler Cook made Free Throw.,94,85
0:32,2294,Tyler Cook made Free Throw.,95,85
0:25,5,Nate Darling missed Three Point Jumper.,95,85
0:25,2294,Maishe Dailey Defensive Rebound.,95,85
0:00,5,End of Game,95,85
