Cal Poly,232,Charleston,13
14:28,13,Donovan Fields Turnover.,5,5
14:27,232,Marquise Pointer Steal.,5,5
14:14,232,Cameron Johnson missed Three Point Jumper.,5,5
14:14,13,Karlis Garoza Defensive Rebound.,5,5
13:51,13,Donovan Fields missed Jumper.,5,5
13:51,232,Joe Chealey Defensive Rebound.,5,5
13:37,232,Joe Chealey made Jumper.,5,7
13:12,13,Victor Joseph missed Three Point Jumper.,5,7
13:12,232,Cameron Johnson Defensive Rebound.,5,7
13:05,232,Joe Chealey missed Three Point Jumper.,5,7
13:05,13,Jakub Niziol Defensive Rebound.,5,7
12:46,13,Marcellus Garrick made Three Point Jumper. Assisted by Donovan Fields.,8,7
12:23,232,Cameron Johnson Turnover.,8,7
11:59,13,Donovan Fields made Three Point Jumper.,11,7
11:39,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,11,10
11:24,13,Jakub Niziol made Three Point Jumper. Assisted by Donovan Fields.,14,10
11:07,13,Foul on Iziah James.,14,10
11:07,232,Official TV Timeout,14,10
11:07,232,Marquise Pointer missed Free Throw.,14,10
11:07,232,Charleston Deadball Team Rebound.,14,10
11:07,232,Marquise Pointer made Free Throw.,14,11
10:43,13,Marcellus Garrick made Jumper. Assisted by Jakub Niziol.,16,11
10:30,232,Joe Chealey made Jumper.,16,13
10:02,13,Karlis Garoza Turnover.,16,13
9:44,232,Joe Chealey missed Three Point Jumper.,16,13
9:44,13,Jakub Niziol Defensive Rebound.,16,13
9:14,13,Donovan Fields missed Layup.,16,13
9:14,232,Nick Harris Block.,16,13
9:14,13,Cal Poly Offensive Rebound.,16,13
9:10,13,Luke Meikle missed Jumper.,16,13
9:10,232,Nick Harris Defensive Rebound.,16,13
8:49,232,Marquise Pointer missed Three Point Jumper.,16,13
8:49,13,Luke Meikle Defensive Rebound.,16,13
8:35,13,Karlis Garoza missed Layup.,16,13
8:35,232,Nick Harris Block.,16,13
8:31,232,Joe Chealey Defensive Rebound.,16,13
8:10,232,Nick Harris Turnover.,16,13
7:56,13,Luke Meikle made Jumper. Assisted by Iziah James.,18,13
7:33,232,Cameron Johnson missed Three Point Jumper.,18,13
7:33,13,Jakub Niziol Defensive Rebound.,18,13
7:18,13,Iziah James Turnover.,18,13
7:18,232,Joe Chealey Steal.,18,13
7:15,232,Joe Chealey made Layup.,18,15
7:15,13,Foul on Iziah James.,18,15
7:15,232,Joe Chealey made Free Throw.,18,16
7:12,13,Marcellus Garrick missed Jumper.,18,16
7:12,232,Joe Chealey Defensive Rebound.,18,16
7:03,232,Marquise Pointer missed Three Point Jumper.,18,16
7:03,13,Marcellus Garrick Defensive Rebound.,18,16
6:27,232,Foul on Osinachi Smart.,18,16
6:17,13,Donovan Fields missed Layup.,18,16
6:17,232,Osinachi Smart Defensive Rebound.,18,16
6:03,232,Marquise Pointer made Layup. Assisted by Joe Chealey.,18,18
5:39,13,Victor Joseph Turnover.,18,18
5:39,13,Cal Poly  Timeout,18,18
5:10,232,Marquise Pointer missed Three Point Jumper.,18,18
5:10,13,Donovan Fields Block.,18,18
5:08,232,Osinachi Smart Offensive Rebound.,18,18
5:06,232,Charleston  Turnover.,18,18
4:51,13,Victor Joseph missed Jumper.,18,18
4:51,232,Osinachi Smart Defensive Rebound.,18,18
4:45,232,Grant Riller missed Three Point Jumper.,18,18
4:45,13,Cal Poly Defensive Rebound.,18,18
4:25,13,Donovan Fields missed Jumper.,18,18
4:25,232,Charleston Deadball Team Rebound.,18,18
4:23,13,Foul on Luke Meikle.,18,18
3:59,232,Jaylen McManus made Three Point Jumper. Assisted by Grant Riller.,18,21
3:34,13,Luke Meikle made Jumper. Assisted by Victor Joseph.,20,21
3:34,232,Foul on Jaylen McManus.,20,21
3:34,232,Official TV Timeout,20,21
3:34,13,Luke Meikle made Free Throw.,21,21
3:23,232,Grant Riller missed Layup.,21,21
3:23,232,Charleston Offensive Rebound.,21,21
3:03,232,Cameron Johnson Turnover.,21,21
2:45,13,Donovan Fields made Three Point Jumper.,24,21
2:23,232,Joe Chealey missed Three Point Jumper.,24,21
2:23,13,Hank Hollingsworth Defensive Rebound.,24,21
2:06,13,Donovan Fields made Layup.,26,21
1:48,232,Grant Riller missed Layup.,26,21
1:48,13,Hank Hollingsworth Block.,26,21
1:47,13,Victor Joseph Defensive Rebound.,26,21
1:40,13,Donovan Fields missed Three Point Jumper.,26,21
1:40,13,Luke Meikle Offensive Rebound.,26,21
1:36,13,Luke Meikle missed Layup.,26,21
1:36,232,Evan Bailey Defensive Rebound.,26,21
1:27,232,Evan Bailey made Three Point Jumper. Assisted by Joe Chealey.,26,24
0:57,13,Donovan Fields made Layup.,28,24
0:36,232,Cameron Johnson made Layup. Assisted by Grant Riller.,28,26
0:36,13,Foul on Hank Hollingsworth.,28,26
0:36,232,Cameron Johnson made Free Throw.,28,27
0:06,13,Cal Poly  Turnover.,28,27
0:02,232,Joe Chealey missed Layup.,28,27
0:02,13,Mark Crowe Defensive Rebound.,28,27
0:00,232,End of 1st half,28,27
19:50,13,Luke Meikle missed Three Point Jumper.,28,27
19:50,232,Nick Harris Defensive Rebound.,28,27
19:39,13,Foul on Victor Joseph.,28,27
19:39,232,Joe Chealey made Free Throw.,28,28
19:39,232,Joe Chealey made Free Throw.,28,29
19:28,13,Victor Joseph Turnover.,28,29
19:15,232,Jaylen McManus missed Layup.,28,29
19:15,13,Mark Crowe Block.,28,29
19:13,13,Hank Hollingsworth Defensive Rebound.,28,29
18:46,13,Mark Crowe made Jumper. Assisted by Victor Joseph.,30,29
18:29,232,Joe Chealey missed Jumper.,30,29
18:29,232,Charleston Deadball Team Rebound.,30,29
18:28,13,Foul on Donovan Fields.,30,29
18:22,232,Foul on Nick Harris.,30,29
18:22,232,Nick Harris Turnover.,30,29
17:53,13,Mark Crowe missed Three Point Jumper.,30,29
17:53,232,Nick Harris Defensive Rebound.,30,29
17:44,232,Jaylen McManus missed Three Point Jumper.,30,29
17:44,13,Donovan Fields Defensive Rebound.,30,29
17:34,13,Hank Hollingsworth made Layup. Assisted by Donovan Fields.,32,29
17:10,232,Grant Riller missed Jumper.,32,29
17:10,13,Mark Crowe Defensive Rebound.,32,29
17:01,232,Foul on Cameron Johnson.,32,29
16:56,13,Victor Joseph missed Layup.,32,29
16:56,13,Victor Joseph Offensive Rebound.,32,29
16:54,13,Victor Joseph made Layup.,34,29
16:37,232,Joe Chealey made Three Point Jumper. Assisted by Nick Harris.,34,32
16:12,13,Donovan Fields made Three Point Jumper. Assisted by Victor Joseph.,37,32
15:52,232,Cameron Johnson made Layup. Assisted by Joe Chealey.,37,34
15:37,13,Luke Meikle missed Jumper.,37,34
15:37,232,Joe Chealey Defensive Rebound.,37,34
15:26,232,Joe Chealey Turnover.,37,34
15:25,13,Victor Joseph Steal.,37,34
15:22,232,Foul on Jaylen McManus.,37,34
15:22,13,Victor Joseph made Free Throw.,38,34
15:22,13,Victor Joseph made Free Throw.,39,34
15:11,232,Joe Chealey made Three Point Jumper. Assisted by Grant Riller.,39,37
14:55,13,Victor Joseph missed Three Point Jumper.,39,37
14:55,232,Charleston Defensive Rebound.,39,37
14:30,232,Joe Chealey Turnover.,39,37
14:29,13,Donovan Fields Steal.,39,37
14:20,13,Victor Joseph made Three Point Jumper. Assisted by Jakub Niziol.,42,37
13:53,13,Foul on Victor Joseph.,42,37
13:48,232,Joe Chealey made Jumper. Assisted by Nick Harris.,42,39
13:18,13,Donovan Fields missed Layup.,42,39
13:18,232,Evan Bailey Defensive Rebound.,42,39
13:08,232,Joe Chealey missed Jumper.,42,39
13:08,232,Joe Chealey Offensive Rebound.,42,39
13:04,232,Joe Chealey made Layup.,42,41
12:38,13,Jakub Niziol made Three Point Jumper. Assisted by Marcellus Garrick.,45,41
12:15,232,Joe Chealey missed Jumper.,45,41
12:15,232,Nick Harris Offensive Rebound.,45,41
12:02,232,Cameron Johnson missed Jumper.,45,41
12:02,13,Mark Crowe Defensive Rebound.,45,41
11:55,13,Marcellus Garrick missed Three Point Jumper.,45,41
11:55,13,Karlis Garoza Offensive Rebound.,45,41
11:49,13,Karlis Garoza missed Layup.,45,41
11:49,232,Nick Harris Block.,45,41
11:47,13,Mark Crowe Offensive Rebound.,45,41
11:38,13,Jakub Niziol made Three Point Jumper. Assisted by Mark Crowe.,48,41
11:33,232,Charleston  Timeout,48,41
11:18,232,Evan Bailey made Three Point Jumper. Assisted by Joe Chealey.,48,44
11:01,13,Marcellus Garrick missed Three Point Jumper.,48,44
11:01,232,Marquise Pointer Defensive Rebound.,48,44
10:51,13,Foul on Jakub Niziol.,48,44
10:51,232,Official TV Timeout,48,44
10:41,232,Cameron Johnson made Layup. Assisted by Joe Chealey.,48,46
10:19,13,Jakub Niziol made Three Point Jumper. Assisted by Donovan Fields.,51,46
9:48,232,Marquise Pointer missed Layup.,51,46
9:48,232,Osinachi Smart Offensive Rebound.,51,46
9:45,232,Osinachi Smart missed Layup.,51,46
9:45,232,Marquise Pointer Offensive Rebound.,51,46
9:40,232,Marquise Pointer made Two Point Tip Shot.,51,48
9:19,13,Luke Meikle Turnover.,51,48
8:54,232,Joe Chealey missed Jumper.,51,48
8:54,13,Luke Meikle Defensive Rebound.,51,48
8:38,13,Jakub Niziol made Three Point Jumper. Assisted by Donovan Fields.,54,48
8:11,232,Evan Bailey made Layup. Assisted by Joe Chealey.,54,50
7:56,232,Foul on Osinachi Smart.,54,50
7:56,232,Official TV Timeout,54,50
7:46,13,Hank Hollingsworth Turnover.,54,50
7:35,13,Foul on Marcellus Garrick.,54,50
7:35,232,Joe Chealey made Free Throw.,54,51
7:35,232,Joe Chealey made Free Throw.,54,52
7:23,13,Marcellus Garrick made Jumper.,56,52
7:05,232,Cameron Johnson Turnover.,56,52
7:05,13,Hank Hollingsworth Steal.,56,52
7:01,13,Luke Meikle made Three Point Jumper. Assisted by Donovan Fields.,59,52
6:41,232,Joe Chealey missed Three Point Jumper.,59,52
6:41,13,Donovan Fields Defensive Rebound.,59,52
6:24,13,Luke Meikle missed Jumper.,59,52
6:24,13,Jakub Niziol Offensive Rebound.,59,52
6:19,13,Jakub Niziol missed Two Point Tip Shot.,59,52
6:19,13,Cal Poly Offensive Rebound.,59,52
6:08,13,Donovan Fields Turnover.,59,52
6:07,232,Marquise Pointer Steal.,59,52
6:02,232,Cameron Johnson Turnover.,59,52
6:00,13,Marcellus Garrick Steal.,59,52
5:33,13,Marcellus Garrick missed Three Point Jumper.,59,52
5:33,232,Marquise Pointer Defensive Rebound.,59,52
5:23,232,Marquise Pointer Turnover.,59,52
4:53,13,Victor Joseph missed Layup.,59,52
4:53,232,Evan Bailey Defensive Rebound.,59,52
4:36,232,Evan Bailey made Layup. Assisted by Joe Chealey.,59,54
4:08,13,Luke Meikle made Jumper. Assisted by Jakub Niziol.,61,54
3:53,232,Marquise Pointer made Three Point Jumper. Assisted by Joe Chealey.,61,57
3:33,232,Foul on Osinachi Smart.,61,57
3:33,232,Official TV Timeout,61,57
3:15,13,Donovan Fields missed Three Point Jumper.,61,57
3:15,232,Joe Chealey Defensive Rebound.,61,57
3:13,232,Joe Chealey Turnover.,61,57
3:04,13,Hank Hollingsworth Turnover.,61,57
3:03,232,Cameron Johnson Steal.,61,57
2:51,232,Marquise Pointer made Layup.,61,59
2:22,13,Victor Joseph missed Jumper.,61,59
2:22,232,Osinachi Smart Defensive Rebound.,61,59
2:13,232,Joe Chealey missed Layup.,61,59
2:13,13,Luke Meikle Block.,61,59
2:11,232,Osinachi Smart Offensive Rebound.,61,59
1:59,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,61,62
1:32,13,Victor Joseph made Three Point Jumper. Assisted by Luke Meikle.,64,62
1:29,13,Cal Poly  Timeout,64,62
1:18,232,Joe Chealey missed Jumper.,64,62
1:18,13,Hank Hollingsworth Defensive Rebound.,64,62
1:10,13,Cal Poly  Timeout,64,62
1:10,13,Cal Poly  Timeout,64,62
0:50,232,Foul on Joe Chealey.,64,62
0:35,13,Victor Joseph made Three Point Jumper.,67,62
0:28,232,Joe Chealey missed Three Point Jumper.,67,62
0:28,13,Donovan Fields Defensive Rebound.,67,62
0:25,232,Foul on Evan Bailey.,67,62
0:25,13,Donovan Fields made Free Throw.,68,62
0:25,13,Donovan Fields made Free Throw.,69,62
0:17,232,Evan Bailey missed Three Point Jumper.,69,62
0:17,13,Hank Hollingsworth Defensive Rebound.,69,62
0:12,232,Foul on Joe Chealey.,69,62
0:12,13,Donovan Fields made Free Throw.,70,62
0:12,13,Donovan Fields made Free Throw.,71,62
0:08,232,Joe Chealey made Three Point Jumper.,71,65
0:08,232,Charleston  Timeout,71,65
0:08,13,Donovan Fields Turnover.,71,65
0:08,232,Cameron Johnson Steal.,71,65
0:04,232,Evan Bailey made Three Point Jumper. Assisted by Cameron Johnson.,71,68
0:04,232,Charleston  Timeout,71,68
0:03,232,Foul on Cameron Johnson.,71,68
