Brown,2619,Stony Brook,225
8:49,225,Brandon Anderson missed Jumper.,51,56
8:49,2619,Jaron Cornish Block.,51,56
8:46,2619,Jaron Cornish Defensive Rebound.,51,56
8:43,2619,Elijah Olaniyi missed Layup.,51,56
8:43,225,Desmond Cambridge Block.,51,56
8:43,2619,Stony Brook Offensive Rebound.,51,56
8:37,2619,Jaron Cornish made Layup.,51,58
8:37,225,Foul on Brandon Anderson.,51,58
8:37,2619,Jaron Cornish missed Free Throw.,51,58
8:37,225,Tamenang Choh Defensive Rebound.,51,58
8:24,225,Desmond Cambridge missed Jumper.,51,58
8:24,2619,Elijah Olaniyi Defensive Rebound.,51,58
8:15,225,Foul on Brandon Anderson.,51,58
8:15,2619,Jaron Cornish made Free Throw.,51,59
8:15,2619,Jaron Cornish made Free Throw.,51,60
7:52,225,Zach Hunsaker made Layup.,53,60
7:35,2619,Bryan Sekunda made Jumper. Assisted by Jaron Cornish.,53,62
7:13,225,Zach Hunsaker missed Layup.,53,62
7:13,225,Brown Offensive Rebound.,53,62
7:13,2619,Official TV Timeout,53,62
7:02,225,Zach Hunsaker made Three Point Jumper. Assisted by Travis Fuller.,56,62
6:42,2619,Jaron Cornish missed Three Point Jumper.,56,62
6:42,225,Tamenang Choh Defensive Rebound.,56,62
6:33,225,Zach Hunsaker missed Three Point Jumper.,56,62
6:33,225,Travis Fuller Offensive Rebound.,56,62
6:19,2619,Foul on Jaron Cornish.,56,62
6:19,225,Obi Okolie missed Free Throw.,56,62
6:19,2619,Stony Brook Defensive Rebound.,56,62
5:57,2619,Michael Almonacy missed Three Point Jumper.,56,62
5:57,225,Obi Okolie Defensive Rebound.,56,62
5:52,225,Desmond Cambridge missed Three Point Jumper.,56,62
5:52,2619,Jakub Petras Defensive Rebound.,56,62
5:50,225,Foul on Matt DeWolf.,56,62
5:50,2619,Jakub Petras missed Free Throw.,56,62
5:50,225,Zach Hunsaker Defensive Rebound.,56,62
5:38,225,Zach Hunsaker missed Jumper.,56,62
5:38,2619,Elijah Olaniyi Defensive Rebound.,56,62
5:14,2619,Elijah Olaniyi missed Three Point Jumper.,56,62
5:14,225,Travis Fuller Defensive Rebound.,56,62
4:51,225,Travis Fuller Turnover.,56,62
4:50,2619,Michael Almonacy Steal.,56,62
4:46,225,Foul on Zach Hunsaker.,56,62
4:46,2619,Michael Almonacy made Free Throw.,56,63
4:46,2619,Michael Almonacy made Free Throw.,56,64
4:26,225,Travis Fuller missed Layup.,56,64
4:26,2619,Jakub Petras Block.,56,64
4:24,2619,Elijah Olaniyi Defensive Rebound.,56,64
4:10,2619,Jakub Petras Turnover.,56,64
4:00,225,Brandon Anderson made Layup.,58,64
4:00,2619,Foul on UC Iroegbu.,58,64
4:00,2619,Official TV Timeout,58,64
4:00,225,Brandon Anderson made Free Throw.,59,64
3:38,2619,Tyrell Sturdivant made Layup.,59,66
3:19,225,Brandon Anderson missed Three Point Jumper.,59,66
3:19,2619,Bryan Sekunda Defensive Rebound.,59,66
2:52,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Michael Almonacy.,59,69
2:42,225,Brown  Timeout,59,69
2:36,2619,Foul on UC Iroegbu.,59,69
2:36,225,Brandon Anderson missed Free Throw.,59,69
2:36,2619,UC Iroegbu Defensive Rebound.,59,69
2:15,2619,Bryan Sekunda missed Three Point Jumper.,59,69
2:15,225,Desmond Cambridge Block.,59,69
2:15,2619,Stony Brook Offensive Rebound.,59,69
2:07,2619,UC Iroegbu made Layup.,59,71
1:54,225,Desmond Cambridge made Three Point Jumper.,62,71
1:52,225,Brown  Timeout,62,71
1:48,2619,Tyrell Sturdivant Turnover.,62,71
1:46,225,Desmond Cambridge Steal.,62,71
1:45,225,Desmond Cambridge missed Three Point Jumper.,62,71
1:45,2619,Michael Almonacy Defensive Rebound.,62,71
1:45,225,Foul on Brandon Anderson.,62,71
1:45,2619,Michael Almonacy made Free Throw.,62,72
1:45,2619,Michael Almonacy made Free Throw.,62,73
1:35,225,Desmond Cambridge missed Three Point Jumper.,62,73
1:35,2619,Michael Almonacy Defensive Rebound.,62,73
1:08,2619,Elijah Olaniyi missed Layup.,62,73
1:08,225,Travis Fuller Block.,62,73
1:08,2619,Stony Brook Offensive Rebound.,62,73
1:08,2619,Stony Brook  Timeout,62,73
1:04,2619,UC Iroegbu missed Three Point Jumper.,62,73
1:04,225,Tamenang Choh Defensive Rebound.,62,73
0:54,225,Joshua Howard missed Three Point Jumper.,62,73
0:54,2619,Michael Almonacy Defensive Rebound.,62,73
0:50,225,Foul on Tamenang Choh.,62,73
0:50,2619,Michael Almonacy made Free Throw.,62,74
0:50,2619,Michael Almonacy made Free Throw.,62,75
0:42,225,Zach Hunsaker made Jumper.,64,75
0:23,225,Foul on Desmond Cambridge.,64,75
0:23,2619,Michael Almonacy made Free Throw.,64,76
0:23,2619,Michael Almonacy made Free Throw.,64,77
0:17,225,Brandon Anderson missed Three Point Jumper.,64,77
0:17,2619,Michael Almonacy Defensive Rebound.,64,77
0:00,2619,End of Game,64,77
