North Carolina Central,276,Marshall,2428
9:11,276,Darius George Defensive Rebound.,21,27
9:01,276,C.J. Burks missed Jumper.,21,27
9:01,2428,Zacarry Douglas Defensive Rebound.,21,27
8:46,276,Foul on Jannson Williams.,21,27
8:46,2428,Zacarry Douglas made Free Throw.,22,27
8:46,2428,Zacarry Douglas made Free Throw.,23,27
8:27,276,Jannson Williams made Three Point Jumper. Assisted by Jon Elmore.,23,30
8:04,2428,Raekwon Harney made Layup.,25,30
7:54,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,25,33
7:39,276,Foul on Jannson Williams.,25,33
7:39,276,Official TV Timeout,25,33
7:39,2428,Ron Trapps missed Free Throw.,25,33
7:39,2428,North Carolina Central Deadball Team Rebound.,25,33
7:39,2428,Ron Trapps made Free Throw.,26,33
7:18,276,Jon Elmore missed Layup.,26,33
7:18,276,Marshall Offensive Rebound.,26,33
7:16,276,Dani Koljanin missed Three Point Jumper.,26,33
7:16,276,Darius George Offensive Rebound.,26,33
7:12,276,Darius George made Layup.,26,35
6:56,2428,Raekwon Harney made Three Point Jumper. Assisted by Patrick Cole.,29,35
6:37,276,Dani Koljanin missed Layup.,29,35
6:37,2428,Raasean Davis Defensive Rebound.,29,35
6:36,276,Foul on Dani Koljanin.,29,35
6:22,276,Foul on Dani Koljanin.,29,35
6:22,2428,Raekwon Harney made Free Throw.,30,35
6:22,2428,Raekwon Harney made Free Throw.,31,35
6:09,276,Jon Elmore made Three Point Jumper. Assisted by Darius George.,31,38
5:33,2428,North Carolina Central  Turnover.,31,38
5:27,276,Phil Bledsoe missed Jumper.,31,38
5:27,276,Darius George Offensive Rebound.,31,38
5:04,276,Phil Bledsoe missed Layup.,31,38
5:04,2428,Raasean Davis Defensive Rebound.,31,38
4:54,2428,Patrick Cole missed Layup.,31,38
4:54,2428,Ron Trapps Offensive Rebound.,31,38
4:50,2428,Ron Trapps missed Layup.,31,38
4:50,276,C.J. Burks Defensive Rebound.,31,38
4:46,276,C.J. Burks Turnover.,31,38
4:33,2428,Del'vin Dickerson missed Three Point Jumper.,31,38
4:33,276,Darius George Defensive Rebound.,31,38
4:00,276,Darius George missed Three Point Jumper.,31,38
4:00,2428,Zacarry Douglas Defensive Rebound.,31,38
3:48,2428,Del'vin Dickerson made Three Point Jumper. Assisted by Zacarry Douglas.,34,38
3:29,276,Phil Bledsoe missed Three Point Jumper.,34,38
3:29,2428,Patrick Cole Defensive Rebound.,34,38
3:17,2428,Del'vin Dickerson missed Three Point Jumper.,34,38
3:17,276,Phil Bledsoe Defensive Rebound.,34,38
3:07,276,Jarrod West made Layup.,34,40
3:00,2428,North Carolina Central  Timeout,34,40
3:00,276,Official TV Timeout,34,40
2:46,2428,Michael Wolfe Turnover.,34,40
2:45,276,Darius George Steal.,34,40
2:43,276,C.J. Burks made Three Point Jumper.,34,43
2:07,2428,Raasean Davis made Layup. Assisted by C.J. Wiggins.,36,43
2:07,276,Foul on Darius George.,36,43
2:07,2428,Raasean Davis missed Free Throw.,36,43
2:07,276,Darius George Defensive Rebound.,36,43
1:55,276,Darius George missed Layup.,36,43
1:55,2428,Raasean Davis Defensive Rebound.,36,43
1:43,2428,Zacarry Douglas missed Jumper.,36,43
1:43,2428,Michael Wolfe Offensive Rebound.,36,43
1:24,2428,Raasean Davis made Layup.,38,43
1:16,2428,Foul on Del'vin Dickerson.,38,43
1:16,276,Jon Elmore made Free Throw.,38,44
1:16,276,Jon Elmore made Free Throw.,38,45
0:49,2428,Raasean Davis Turnover.,38,45
0:38,276,Dani Koljanin made Layup. Assisted by Jon Elmore.,38,47
0:05,2428,Del'vin Dickerson missed Three Point Jumper.,38,47
0:05,276,Dani Koljanin Defensive Rebound.,38,47
0:00,276,End of 1st half,38,47
19:41,2428,Zacarry Douglas made Three Point Jumper. Assisted by C.J. Wiggins.,41,47
19:27,276,C.J. Burks made Layup.,41,49
19:15,2428,Raasean Davis made Dunk. Assisted by C.J. Wiggins.,43,49
19:04,276,Jon Elmore missed Layup.,43,49
19:04,2428,Zacarry Douglas Defensive Rebound.,43,49
18:52,2428,C.J. Wiggins missed Jumper.,43,49
18:52,276,Jarrod West Defensive Rebound.,43,49
18:46,276,Jarrod West made Three Point Jumper. Assisted by Dani Koljanin.,43,52
18:18,2428,Raasean Davis made Jumper.,45,52
18:06,276,C.J. Burks Turnover.,45,52
17:44,2428,Raasean Davis missed Layup.,45,52
17:44,276,C.J. Burks Defensive Rebound.,45,52
17:38,276,Ajdin Penava missed Three Point Jumper.,45,52
17:38,2428,Del'vin Dickerson Defensive Rebound.,45,52
17:27,2428,C.J. Wiggins missed Layup.,45,52
17:27,276,C.J. Burks Defensive Rebound.,45,52
17:21,276,C.J. Burks missed Three Point Jumper.,45,52
17:21,2428,Rashaun Madison Defensive Rebound.,45,52
17:06,2428,Zacarry Douglas made Three Point Jumper. Assisted by C.J. Wiggins.,48,52
16:56,2428,Foul on Rashaun Madison.,48,52
16:56,276,Dani Koljanin made Free Throw.,48,53
16:56,276,Dani Koljanin made Free Throw.,48,54
16:38,2428,Raasean Davis missed Layup.,48,54
16:38,276,Ajdin Penava Block.,48,54
16:35,276,Dani Koljanin Defensive Rebound.,48,54
16:33,276,Jon Elmore Turnover.,48,54
16:04,2428,Raasean Davis missed Layup.,48,54
16:04,276,Ajdin Penava Block.,48,54
16:02,276,Dani Koljanin Defensive Rebound.,48,54
15:56,276,Jon Elmore made Three Point Jumper. Assisted by Jarrod West.,48,57
15:27,2428,Raasean Davis made Dunk. Assisted by Zacarry Douglas.,50,57
15:18,2428,Foul on Zacarry Douglas.,50,57
15:18,276,Official TV Timeout,50,57
15:18,276,C.J. Burks made Free Throw.,50,58
15:18,276,C.J. Burks made Free Throw.,50,59
15:05,2428,Del'vin Dickerson missed Three Point Jumper.,50,59
15:05,276,Dani Koljanin Defensive Rebound.,50,59
14:43,276,Jon Elmore missed Three Point Jumper.,50,59
14:43,2428,North Carolina Central Defensive Rebound.,50,59
14:14,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,50,61
14:04,2428,Raasean Davis missed Jumper.,50,61
14:04,276,Jarrod West Defensive Rebound.,50,61
13:53,276,C.J. Burks made Free Throw.,50,62
13:53,276,C.J. Burks made Free Throw.,50,63
13:53,2428,Foul on Del'vin Dickerson.,50,63
13:29,2428,Raasean Davis Turnover.,50,63
13:26,276,Darius George missed Jumper.,50,63
13:26,276,Ajdin Penava Offensive Rebound.,50,63
12:58,276,Jon Elmore Turnover.,50,63
12:57,2428,Michael Wolfe Steal.,50,63
12:51,2428,Michael Wolfe missed Layup.,50,63
12:51,2428,Patrick Cole Block.,50,63
12:51,276,Darius George Defensive Rebound.,50,63
12:45,276,C.J. Burks made Dunk. Assisted by Jon Elmore.,50,65
12:33,2428,North Carolina Central  Timeout,50,65
12:33,276,Official TV Timeout,50,65
12:22,276,Foul on Darius George.,50,65
12:22,2428,Patrick Cole missed Free Throw.,50,65
12:22,2428,North Carolina Central Deadball Team Rebound.,50,65
12:22,2428,Patrick Cole missed Free Throw.,50,65
12:22,276,Darius George Defensive Rebound.,50,65
12:03,276,C.J. Burks made Layup.,50,67
11:46,2428,Patrick Cole made Layup.,52,67
11:33,276,Official TV Timeout,52,67
11:33,276,Jon Elmore Turnover.,52,67
11:19,2428,Del'vin Dickerson missed Three Point Jumper.,52,67
11:19,2428,Raekwon Harney Offensive Rebound.,52,67
11:15,2428,Raekwon Harney made Layup.,54,67
11:00,276,Jon Elmore made Layup.,54,69
11:00,2428,Foul on Raasean Davis.,54,69
11:00,276,Jon Elmore made Free Throw.,54,70
10:33,2428,Foul on Raekwon Harney.,54,70
10:33,2428,Raekwon Harney Turnover.,54,70
10:33,276,Darius George Steal.,54,70
10:26,276,Jon Elmore Turnover.,54,70
10:03,2428,Del'vin Dickerson made Jumper.,56,70
9:46,276,C.J. Burks missed Three Point Jumper.,56,70
9:46,2428,Raekwon Harney Defensive Rebound.,56,70
9:36,2428,Raekwon Harney made Three Point Jumper. Assisted by Del'vin Dickerson.,59,70
9:18,2428,Foul on Michael Wolfe.,59,70
9:12,276,Ajdin Penava made Layup. Assisted by Jon Elmore.,59,72
8:54,276,Foul on Ajdin Penava.,59,72
8:48,2428,Michael Wolfe made Jumper.,61,72
8:34,276,Darius George made Three Point Jumper. Assisted by Jon Elmore.,61,75
8:22,2428,Patrick Cole made Layup.,63,75
8:13,276,Jon Elmore missed Three Point Jumper.,63,75
8:13,2428,Patrick Cole Defensive Rebound.,63,75
7:52,2428,Michael Wolfe missed Three Point Jumper.,63,75
7:52,276,Darius George Defensive Rebound.,63,75
7:36,276,Jon Elmore made Layup.,63,77
7:04,2428,Raasean Davis made Dunk. Assisted by Raekwon Harney.,65,77
6:49,276,Jon Elmore made Jumper.,65,79
6:19,2428,Raasean Davis made Layup. Assisted by Michael Wolfe.,67,79
6:06,276,Dani Koljanin missed Layup.,67,79
6:06,2428,Michael Wolfe Defensive Rebound.,67,79
6:01,2428,Raekwon Harney made Layup.,69,79
5:46,276,Jannson Williams made Three Point Jumper. Assisted by Jarrod West.,69,82
5:23,2428,Zacarry Douglas missed Jumper.,69,82
5:23,2428,Raasean Davis Offensive Rebound.,69,82
5:20,2428,Raasean Davis made Layup.,71,82
5:10,2428,Foul on Patrick Cole.,71,82
5:10,276,Official TV Timeout,71,82
5:10,276,Jon Elmore missed Free Throw.,71,82
5:10,276,Marshall Deadball Team Rebound.,71,82
5:10,276,Jon Elmore made Free Throw.,71,83
4:55,2428,Del'vin Dickerson missed Three Point Jumper.,71,83
4:55,2428,Patrick Cole Offensive Rebound.,71,83
4:51,2428,Patrick Cole Turnover.,71,83
4:36,276,C.J. Burks made Layup.,71,85
4:27,2428,Michael Wolfe made Layup.,73,85
4:14,276,C.J. Burks made Layup. Assisted by Jarrod West.,73,87
3:54,2428,Ron Trapps made Three Point Jumper. Assisted by Patrick Cole.,76,87
3:42,2428,Foul on Ron Trapps.,76,87
3:42,276,Official TV Timeout,76,87
3:42,276,Ajdin Penava made Free Throw.,76,88
3:42,276,Ajdin Penava missed Free Throw.,76,88
3:42,2428,Ron Trapps Defensive Rebound.,76,88
3:37,2428,Del'vin Dickerson made Three Point Jumper. Assisted by Michael Wolfe.,79,88
3:15,276,Ajdin Penava missed Three Point Jumper.,79,88
3:15,276,Marshall Offensive Rebound.,79,88
3:13,2428,Foul on Raasean Davis.,79,88
3:13,276,Dani Koljanin missed Free Throw.,79,88
3:13,2428,Michael Wolfe Defensive Rebound.,79,88
2:58,2428,Del'vin Dickerson missed Three Point Jumper.,79,88
2:58,276,Ajdin Penava Defensive Rebound.,79,88
2:45,2428,Foul on Patrick Cole.,79,88
2:45,276,Jon Elmore missed Free Throw.,79,88
2:45,276,Marshall Deadball Team Rebound.,79,88
2:45,276,Jon Elmore missed Free Throw.,79,88
2:45,2428,Pablo Rivas Defensive Rebound.,79,88
2:33,276,Phil Bledsoe Turnover.,79,88
2:24,276,Dani Koljanin missed Three Point Jumper.,79,88
2:24,2428,North Carolina Central Defensive Rebound.,79,88
2:16,276,Foul on C.J. Burks.,79,88
2:16,276,C.J. Burks Turnover.,79,88
2:02,2428,Patrick Cole missed Layup.,79,88
2:02,276,Ajdin Penava Block.,79,88
2:02,2428,North Carolina Central Offensive Rebound.,79,88
1:53,2428,Raasean Davis Turnover.,79,88
1:52,276,Jon Elmore Steal.,79,88
1:50,276,Jon Elmore made Layup.,79,90
1:37,2428,Michael Wolfe missed Layup.,79,90
1:37,276,C.J. Burks Defensive Rebound.,79,90
1:27,276,Foul on C.J. Burks.,79,90
1:27,276,C.J. Burks Turnover.,79,90
1:21,276,Foul on Dani Koljanin.,79,90
1:13,2428,Pablo Rivas Turnover.,79,90
0:52,276,Ajdin Penava made Dunk. Assisted by Jon Elmore.,79,92
0:38,2428,Pablo Rivas missed Three Point Jumper.,79,92
0:38,2428,Michael Wolfe Offensive Rebound.,79,92
0:36,2428,Raekwon Harney made Three Point Jumper. Assisted by Michael Wolfe.,82,92
0:35,2428,North Carolina Central  Timeout,82,92
0:10,276,Jarrod West missed Three Point Jumper.,82,92
0:10,2428,Michael Wolfe Block.,82,92
0:08,2428,Raekwon Harney Defensive Rebound.,82,92
0:06,2428,Raekwon Harney made Layup.,84,92
0:00,276,End of Game,84,92
