Western Illinois,2565,SIU-Edwardsville,2710
10:18,2565,Foul on Jalen Henry.,14,18
10:18,2565,Jalen Henry Turnover.,14,18
9:45,2710,Jalen Morgan missed Jumper.,14,18
9:45,2565,Bill Awet Block.,14,18
9:45,2565,Justin Benton Defensive Rebound.,14,18
9:40,2710,Brandon Gilbeck Defensive Rebound.,14,18
9:40,2565,Jalen Henry missed Jumper.,14,18
9:13,2710,Jeremiah Usiosefe missed Three Point Jumper.,14,18
9:13,2565,David McFarland Defensive Rebound.,14,18
8:48,2565,Bill Awet missed Three Point Jumper.,14,18
8:48,2710,Western Illinois Defensive Rebound.,14,18
8:26,2710,Dalan Ancrum made Three Point Jumper. Assisted by C.J. Duff.,17,18
8:15,2565,Justin Benton Turnover.,17,18
8:15,2710,Jordan Hughes Steal.,17,18
8:12,2710,Dalan Ancrum missed Jumper.,17,18
8:12,2710,Western Illinois Offensive Rebound.,17,18
8:00,2710,Dalan Ancrum made Jumper.,19,18
7:57,2710,Foul on Delo Bruster.,19,18
7:40,2565,David McFarland missed Jumper.,19,18
7:40,2565,Brandon Jackson Offensive Rebound.,19,18
7:40,2565,Brandon Jackson missed Jumper.,19,18
7:40,2710,Jeremiah Usiosefe Defensive Rebound.,19,18
7:30,2710,C.J. Duff made Jumper.,21,18
7:08,2565,Justin Benton made Jumper.,21,20
6:55,2565,Foul on Bill Awet.,21,20
6:55,2710,Dalan Ancrum made Free Throw.,22,20
6:55,2710,Dalan Ancrum missed Free Throw.,22,20
6:55,2565,Justin Benton Defensive Rebound.,22,20
6:36,2565,David McFarland made Three Point Jumper. Assisted by Bill Awet.,22,23
6:25,2710,Delo Bruster Turnover.,22,23
6:25,2565,Jalen Henry Steal.,22,23
6:20,2565,Jalen Henry Turnover.,22,23
5:42,2710,Western Illinois  Turnover.,22,23
5:20,2565,Justin Benton missed Three Point Jumper.,22,23
5:20,2710,Jeremiah Usiosefe Defensive Rebound.,22,23
5:09,2710,C.J. Duff missed Jumper.,22,23
5:09,2710,Western Illinois Offensive Rebound.,22,23
5:09,2710,C.J. Duff Turnover.,22,23
4:49,2710,Foul on Kobe Webster.,22,23
4:43,2565,Jalen Henry made Jumper. Assisted by Daniel Kinchen.,22,25
4:15,2710,Kobe Webster Turnover.,22,25
4:15,2565,David McFarland Steal.,22,25
4:12,2565,David McFarland made Layup.,22,27
3:56,2710,Dalan Ancrum Turnover.,22,27
3:40,2565,Jalen Henry made Jumper. Assisted by Daniel Kinchen.,22,29
3:20,2710,Dalan Ancrum made Three Point Jumper. Assisted by Kobe Webster.,25,29
3:06,2565,Bill Awet missed Jumper.,25,29
3:06,2710,Western Illinois Defensive Rebound.,25,29
3:03,2565,Foul on Bill Awet.,25,29
3:03,2710,C.J. Duff made Free Throw.,26,29
3:03,2710,C.J. Duff made Free Throw.,27,29
2:50,2565,Daniel Kinchen made Layup.,27,31
2:30,2710,C.J. Duff missed Jumper.,27,31
2:30,2565,Jalen Henry Defensive Rebound.,27,31
2:22,2565,David McFarland missed Three Point Jumper.,27,31
2:22,2710,Kobe Webster Defensive Rebound.,27,31
2:15,2710,Jeremiah Usiosefe missed Three Point Jumper.,27,31
2:15,2710,Brandon Gilbeck Offensive Rebound.,27,31
1:59,2710,Kobe Webster made Three Point Jumper. Assisted by Dalan Ancrum.,30,31
1:41,2565,Daniel Kinchen missed Three Point Jumper.,30,31
1:41,2710,C.J. Duff Defensive Rebound.,30,31
1:35,2710,Kobe Webster Turnover.,30,31
1:20,2710,Foul on Jeremiah Usiosefe.,30,31
1:20,2565,Jalen Henry missed Free Throw.,30,31
1:20,2565,SIU-Edwardsville Deadball Team Rebound.,30,31
1:20,2565,Jalen Henry made Free Throw.,30,32
1:02,2710,Brandon Gilbeck Turnover.,30,32
1:02,2565,Brandon Jackson Steal.,30,32
0:45,2565,Kevion Stewart missed Three Point Jumper.,30,32
0:45,2565,Jalen Henry Offensive Rebound.,30,32
0:39,2565,Daniel Kinchen made Three Point Jumper. Assisted by Jalen Henry.,30,35
0:30,2710,Dalan Ancrum Turnover.,30,35
0:30,2565,Kevion Stewart Steal.,30,35
0:13,2565,Daniel Kinchen missed Jumper.,30,35
0:13,2710,Kobe Webster Defensive Rebound.,30,35
0:05,2710,Kobe Webster missed Jumper.,30,35
0:05,2565,SIU-Edwardsville Defensive Rebound.,30,35
0:00,2565,End of 1st half,30,35
19:39,2710,Brandon Gilbeck missed Jumper.,30,35
19:39,2565,Keenan Simmons Defensive Rebound.,30,35
19:27,2565,David McFarland missed Three Point Jumper.,30,35
19:27,2710,Jeremiah Usiosefe Defensive Rebound.,30,35
18:58,2710,Dalan Ancrum missed Three Point Jumper.,30,35
18:58,2565,Keenan Simmons Defensive Rebound.,30,35
18:47,2565,Jalen Henry made Jumper. Assisted by Christian Ellis.,30,37
18:30,2710,Kobe Webster missed Jumper.,30,37
18:30,2565,Keenan Simmons Defensive Rebound.,30,37
18:25,2710,Foul on Jeremiah Usiosefe.,30,37
18:23,2565,Daniel Kinchen missed Three Point Jumper.,30,37
18:23,2710,Jeremiah Usiosefe Defensive Rebound.,30,37
17:58,2565,Foul on David McFarland.,30,37
17:50,2710,Foul on Brandon Gilbeck.,30,37
17:50,2710,Brandon Gilbeck Turnover.,30,37
17:38,2710,Foul on C.J. Duff.,30,37
17:36,2565,Daniel Kinchen missed Jumper.,30,37
17:36,2565,SIU-Edwardsville Offensive Rebound.,30,37
17:17,2565,Christian Ellis Turnover.,30,37
17:16,2710,Jeremiah Usiosefe Steal.,30,37
17:02,2710,Kobe Webster made Jumper. Assisted by Brandon Gilbeck.,32,37
16:37,2565,David McFarland missed Three Point Jumper.,32,37
16:37,2710,C.J. Duff Defensive Rebound.,32,37
16:31,2710,C.J. Duff missed Three Point Jumper.,32,37
16:31,2710,Brandon Gilbeck Offensive Rebound.,32,37
16:26,2710,Kobe Webster missed Three Point Jumper.,32,37
16:26,2565,Keenan Simmons Defensive Rebound.,32,37
15:54,2565,Daniel Kinchen missed Three Point Jumper.,32,37
15:54,2565,SIU-Edwardsville Offensive Rebound.,32,37
15:54,2565,SIU-Edwardsville  Turnover.,32,37
15:54,2565,Official TV Timeout,32,37
15:36,2565,Foul on Brandon Jackson.,32,37
15:31,2565,Foul on Keenan Simmons.,32,37
15:24,2710,Dalan Ancrum made Dunk.,34,37
15:01,2565,Brandon Jackson made Jumper. Assisted by Justin Benton.,34,39
14:45,2565,Foul on Bill Awet.,34,39
14:45,2710,Brandon Gilbeck missed Free Throw.,34,39
14:45,2710,Western Illinois Deadball Team Rebound.,34,39
14:45,2710,Brandon Gilbeck missed Free Throw.,34,39
14:45,2565,Justin Benton Defensive Rebound.,34,39
14:40,2565,Kevion Stewart Turnover.,34,39
14:26,2565,Foul on Jalen Henry.,34,39
14:26,2710,Dalan Ancrum missed Free Throw.,34,39
14:26,2710,Western Illinois Deadball Team Rebound.,34,39
14:26,2710,Dalan Ancrum made Free Throw.,35,39
14:11,2565,Jalen Henry missed Jumper.,35,39
14:11,2710,Brandon Gilbeck Defensive Rebound.,35,39
13:53,2710,Dalan Ancrum made Three Point Jumper. Assisted by Brandon Gilbeck.,38,39
13:38,2565,Daniel Kinchen made Three Point Jumper.,38,42
13:38,2710,Foul on C.J. Duff.,38,42
13:38,2565,Daniel Kinchen made Free Throw.,38,43
13:17,2710,Jeremiah Usiosefe made Three Point Jumper. Assisted by Kobe Webster.,41,43
12:55,2565,Brandon Jackson missed Jumper.,41,43
12:55,2710,Dalan Ancrum Defensive Rebound.,41,43
12:35,2710,Jeremiah Usiosefe made Three Point Jumper. Assisted by Kobe Webster.,44,43
12:32,2565,SIU-Edwardsville  Timeout,44,43
12:14,2565,Jalen Henry missed Jumper.,44,43
12:14,2710,Brandon Gilbeck Block.,44,43
12:13,2565,SIU-Edwardsville Offensive Rebound.,44,43
12:03,2710,Foul on Brandon Gilbeck.,44,43
12:03,2565,Justin Benton made Free Throw.,44,44
12:03,2565,Justin Benton made Free Throw.,44,45
11:37,2710,C.J. Duff Turnover.,44,45
11:37,2565,Official TV Timeout,44,45
11:21,2565,Jalen Henry missed Jumper.,44,45
11:21,2710,Brandon Gilbeck Block.,44,45
11:21,2565,SIU-Edwardsville Offensive Rebound.,44,45
11:11,2565,David McFarland Turnover.,44,45
11:09,2710,Jeremiah Usiosefe Steal.,44,45
11:01,2710,C.J. Duff missed Three Point Jumper.,44,45
11:01,2565,Jalen Henry Defensive Rebound.,44,45
10:51,2565,Jalen Henry made Three Point Jumper. Assisted by Justin Benton.,44,48
10:46,2710,Western Illinois  Timeout,44,48
10:32,2710,Brandon Gilbeck made Dunk. Assisted by Kobe Webster.,46,48
10:07,2565,David McFarland missed Jumper.,46,48
10:07,2710,Brandon Gilbeck Defensive Rebound.,46,48
9:54,2565,Foul on Bill Awet.,46,48
9:43,2710,C.J. Duff missed Jumper.,46,48
9:43,2710,Dalan Ancrum Offensive Rebound.,46,48
9:24,2710,Kobe Webster Turnover.,46,48
9:08,2565,Jalen Henry missed Jumper.,46,48
9:08,2710,Dalan Ancrum Defensive Rebound.,46,48
9:01,2710,Dalan Ancrum made Jumper.,48,48
8:40,2565,Justin Benton missed Jumper.,48,48
8:40,2710,Kobe Webster Block.,48,48
8:40,2710,Brandon Gilbeck Defensive Rebound.,48,48
8:40,2565,Foul on Keenan Simmons.,48,48
8:40,2710,Brandon Gilbeck made Free Throw.,49,48
8:40,2710,Brandon Gilbeck missed Free Throw.,49,48
8:40,2565,Jalen Henry Defensive Rebound.,49,48
8:24,2710,Foul on C.J. Duff.,49,48
8:24,2565,Daniel Kinchen missed Free Throw.,49,48
8:24,2565,SIU-Edwardsville Deadball Team Rebound.,49,48
8:24,2565,Daniel Kinchen made Free Throw.,49,49
8:06,2710,Kobe Webster missed Jumper.,49,49
8:06,2565,Jalen Henry Defensive Rebound.,49,49
8:02,2565,Christian Ellis Turnover.,49,49
8:01,2710,Brandon Gilbeck Steal.,49,49
7:49,2565,Foul on Christian Ellis.,49,49
7:49,2565,Official TV Timeout,49,49
7:49,2710,Jeremiah Usiosefe made Free Throw.,50,49
7:49,2710,Jeremiah Usiosefe made Free Throw.,51,49
7:38,2565,Daniel Kinchen made Three Point Jumper. Assisted by Jalen Henry.,51,52
7:12,2710,C.J. Duff missed Jumper.,51,52
7:12,2565,Jalen Henry Defensive Rebound.,51,52
6:54,2565,Justin Benton made Jumper.,51,54
6:38,2710,C.J. Duff missed Jumper.,51,54
6:38,2565,Justin Benton Defensive Rebound.,51,54
6:31,2565,Daniel Kinchen missed Three Point Jumper.,51,54
6:31,2710,Jeremiah Usiosefe Defensive Rebound.,51,54
6:13,2710,Jeremiah Usiosefe missed Three Point Jumper.,51,54
6:13,2565,Christian Ellis Defensive Rebound.,51,54
5:48,2565,Jalen Henry Turnover.,51,54
5:47,2565,Foul on Christian Ellis.,51,54
5:47,2710,Dalan Ancrum made Free Throw.,52,54
5:47,2710,Dalan Ancrum missed Free Throw.,52,54
5:47,2565,Bill Awet Defensive Rebound.,52,54
5:33,2710,Foul on Brandon Gilbeck.,52,54
5:33,2565,Bill Awet missed Free Throw.,52,54
5:33,2565,SIU-Edwardsville Deadball Team Rebound.,52,54
5:33,2565,Bill Awet made Free Throw.,52,55
5:25,2565,Foul on Justin Benton.,52,55
5:25,2710,Kobe Webster made Free Throw.,53,55
5:25,2710,Kobe Webster made Free Throw.,54,55
5:04,2710,Foul on C.J. Duff.,54,55
5:04,2565,Jalen Henry made Free Throw.,54,56
5:04,2565,Jalen Henry made Free Throw.,54,57
4:42,2710,Dalan Ancrum missed Jumper.,54,57
4:42,2565,David McFarland Defensive Rebound.,54,57
4:12,2565,Jalen Henry made Three Point Jumper. Assisted by Daniel Kinchen.,54,60
3:58,2565,Official TV Timeout,54,60
3:58,2565,Foul on Daniel Kinchen.,54,60
3:58,2565,Official TV Timeout,54,60
3:58,2710,Dalan Ancrum made Free Throw.,55,60
3:58,2710,Dalan Ancrum made Free Throw.,56,60
3:43,2565,Keenan Simmons made Layup. Assisted by Jalen Henry.,56,62
3:43,2710,Foul on Kobe Webster.,56,62
3:43,2565,Keenan Simmons missed Free Throw.,56,62
3:43,2710,Brandon Gilbeck Defensive Rebound.,56,62
3:30,2710,Dalan Ancrum made Layup.,58,62
3:04,2565,Daniel Kinchen made Jumper.,58,64
2:47,2710,Dalan Ancrum made Jumper.,60,64
2:25,2565,David McFarland missed Three Point Jumper.,60,64
2:25,2710,Jeremiah Usiosefe Defensive Rebound.,60,64
2:04,2565,Foul on Jalen Henry.,60,64
2:04,2565,SIU-Edwardsville  Timeout,60,64
2:04,2710,Dalan Ancrum made Free Throw.,61,64
2:04,2710,Dalan Ancrum made Free Throw.,62,64
1:48,2565,Bill Awet missed Jumper.,62,64
1:48,2710,Brandon Gilbeck Defensive Rebound.,62,64
1:36,2710,Dalan Ancrum made Three Point Jumper.,65,64
1:18,2565,Daniel Kinchen missed Jumper.,65,64
1:18,2710,Brandon Gilbeck Block.,65,64
1:16,2710,Kobe Webster Defensive Rebound.,65,64
0:51,2565,Foul on Keenan Simmons.,65,64
0:51,2710,Brandon Gilbeck missed Free Throw.,65,64
0:51,2710,Western Illinois Deadball Team Rebound.,65,64
0:51,2710,Brandon Gilbeck made Free Throw.,66,64
0:40,2710,Foul on C.J. Duff.,66,64
0:40,2565,David McFarland missed Free Throw.,66,64
0:40,2565,SIU-Edwardsville Deadball Team Rebound.,66,64
0:40,2565,David McFarland made Free Throw.,66,65
0:25,2710,Jeremiah Usiosefe Turnover.,66,65
0:24,2565,Daniel Kinchen Steal.,66,65
0:20,2565,Daniel Kinchen missed Jumper.,66,65
0:20,2565,Bill Awet Offensive Rebound.,66,65
0:18,2565,Bill Awet made Two Point Tip Shot.,66,67
0:11,2710,Western Illinois  Timeout,66,67
0:01,2710,Dalan Ancrum made Three Point Jumper.,69,67
0:01,2565,Daniel Kinchen missed Three Point Jumper.,69,67
0:01,2710,Western Illinois Deadball Team Rebound.,69,67
0:00,2565,End of Game,69,67
