California,Error,Chaminade,25
14:50,-1,Dantley Walker missed Three Point Jumper.,13,17
14:50,25,Justice Sueing Defensive Rebound.,13,17
14:39,25,Darius McNeill made Three Point Jumper.,16,17
14:30,25,Foul on Darius McNeill.,16,17
14:30,-1,Official TV Timeout,16,17
14:20,-1,Austin Pope missed Jumper.,16,17
14:20,-1,Chaminade Offensive Rebound.,16,17
14:20,25,Foul on Marcus Lee.,16,17
14:16,-1,Braden Koelliker made Three Point Jumper. Assisted by Grant Dressler.,16,20
13:51,25,Kingsley Okoroh missed Jumper.,16,20
13:51,-1,Erik Scheive Defensive Rebound.,16,20
13:36,-1,Braden Koelliker missed Three Point Jumper.,16,20
13:36,25,Juhwan Harris-Dyson Defensive Rebound.,16,20
13:28,25,Don Coleman Turnover.,16,20
13:28,-1,Dantley Walker Steal.,16,20
13:18,-1,Grant Dressler missed Jumper.,16,20
13:18,25,Kingsley Okoroh Block.,16,20
13:18,-1,Chaminade Offensive Rebound.,16,20
13:01,-1,Chaminade  Turnover.,16,20
12:40,25,Darius McNeill missed Three Point Jumper.,16,20
12:40,-1,Chaminade Defensive Rebound.,16,20
12:16,-1,Erik Scheive made Jumper. Assisted by Dantley Walker.,16,22
11:53,25,Grant Anticevich Turnover.,16,22
11:53,-1,Brett Reed Steal.,16,22
11:45,-1,Dantley Walker made Jumper.,16,24
11:28,25,Kingsley Okoroh Turnover.,16,24
11:28,-1,Brett Reed Steal.,16,24
11:18,25,Foul on Darius McNeill.,16,24
11:18,-1,Official TV Timeout,16,24
11:18,-1,Brett Reed made Free Throw.,16,25
11:18,-1,Brett Reed missed Free Throw.,16,25
11:18,25,Don Coleman Defensive Rebound.,16,25
11:18,-1,Foul on Erik Scheive.,16,25
10:50,-1,Foul on Brett Reed.,16,25
10:50,25,Don Coleman made Free Throw.,17,25
10:50,25,Don Coleman made Free Throw.,18,25
10:50,25,Don Coleman made Free Throw.,19,25
10:36,-1,Nicholas Anderson missed Layup.,19,25
10:36,25,Grant Anticevich Block.,19,25
10:36,-1,Chaminade Offensive Rebound.,19,25
10:25,-1,Justin Bridges made Jumper.,19,27
10:10,25,Don Coleman missed Jumper.,19,27
10:10,25,Roman Davis Offensive Rebound.,19,27
9:58,25,Grant Anticevich made Three Point Jumper. Assisted by Roman Davis.,22,27
9:41,-1,Erik Scheive missed Jumper.,22,27
9:41,25,Juhwan Harris-Dyson Defensive Rebound.,22,27
9:28,25,Roman Davis Turnover.,22,27
9:28,-1,Nicholas Anderson Steal.,22,27
9:23,-1,Nicholas Anderson made Layup.,22,29
9:09,25,Don Coleman missed Jumper.,22,29
9:09,25,California Offensive Rebound.,22,29
9:01,25,Don Coleman missed Jumper.,22,29
9:01,-1,Braden Koelliker Defensive Rebound.,22,29
8:52,-1,Justin Bridges missed Layup.,22,29
8:52,25,Deschon Winston Defensive Rebound.,22,29
8:26,25,Justice Sueing missed Three Point Jumper.,22,29
8:26,-1,Austin Pope Defensive Rebound.,22,29
8:15,-1,Nicholas Anderson missed Jumper.,22,29
8:15,25,Grant Anticevich Defensive Rebound.,22,29
8:04,25,Don Coleman Turnover.,22,29
8:04,-1,Nicholas Anderson Steal.,22,29
8:00,25,Foul on Don Coleman.,22,29
8:00,-1,Official TV Timeout,22,29
7:45,-1,Grant Dressler missed Jumper.,22,29
7:45,25,Marcus Lee Defensive Rebound.,22,29
7:30,25,Justice Sueing made Jumper.,24,29
6:53,-1,Austin Pope missed Layup.,24,29
6:53,25,California Defensive Rebound.,24,29
6:26,25,Grant Anticevich made Jumper. Assisted by Justice Sueing.,26,29
6:03,-1,Grant Dressler missed Layup.,26,29
6:03,25,Kingsley Okoroh Defensive Rebound.,26,29
5:54,25,Darius McNeill made Jumper.,28,29
5:51,-1,Chaminade  Timeout,28,29
5:20,-1,Chaminade  Turnover.,28,29
5:08,-1,Foul on Erik Scheive.,28,29
5:08,25,Kingsley Okoroh missed Free Throw.,28,29
5:08,25,California Deadball Team Rebound.,28,29
5:08,25,Kingsley Okoroh missed Free Throw.,28,29
5:08,-1,Austin Pope Defensive Rebound.,28,29
4:48,-1,Brett Reed Turnover.,28,29
4:34,25,Foul on Kingsley Okoroh.,28,29
4:34,25,Kingsley Okoroh Turnover.,28,29
4:11,25,Foul on Grant Anticevich.,28,29
4:11,-1,Austin Pope missed Free Throw.,28,29
4:11,-1,Chaminade Deadball Team Rebound.,28,29
4:11,-1,Austin Pope made Free Throw.,28,30
4:02,25,Grant Anticevich missed Three Point Jumper.,28,30
4:02,-1,Austin Pope Defensive Rebound.,28,30
3:46,-1,Braden Koelliker missed Three Point Jumper.,28,30
3:46,-1,Brett Reed Offensive Rebound.,28,30
3:38,-1,Brett Reed made Layup.,28,32
3:20,25,Justice Sueing missed Layup.,28,32
3:20,-1,Braden Koelliker Defensive Rebound.,28,32
3:10,-1,Braden Koelliker missed Layup.,28,32
3:10,25,Kingsley Okoroh Block.,28,32
3:10,-1,Chaminade Offensive Rebound.,28,32
3:10,-1,Official TV Timeout,28,32
3:05,-1,Justin Bridges made Three Point Jumper. Assisted by Austin Pope.,28,35
2:37,25,Austin McCullough Turnover.,28,35
2:37,-1,Dantley Walker Steal.,28,35
2:28,-1,Braden Koelliker missed Three Point Jumper.,28,35
2:28,-1,Austin Pope Offensive Rebound.,28,35
2:22,25,Foul on Austin McCullough.,28,35
2:22,-1,Austin Pope missed Free Throw.,28,35
2:22,25,Grant Anticevich Defensive Rebound.,28,35
2:02,-1,Brett Reed Defensive Rebound.,28,35
2:02,25,Darius McNeill missed Layup.,28,35
2:01,25,Foul on Marcus Lee.,28,35
2:01,-1,Brett Reed missed Free Throw.,28,35
2:01,25,Grant Anticevich Defensive Rebound.,28,35
1:55,25,Don Coleman missed Layup.,28,35
1:55,-1,Brett Reed Block.,28,35
1:55,-1,Braden Koelliker Defensive Rebound.,28,35
1:44,-1,Brett Reed missed Three Point Jumper.,28,35
1:44,25,Darius McNeill Defensive Rebound.,28,35
1:33,-1,Foul on Braden Koelliker.,28,35
1:09,25,Justice Sueing missed Jumper.,28,35
1:09,25,Nick Hamilton Offensive Rebound.,28,35
1:03,25,Nick Hamilton missed Layup.,28,35
1:03,25,Justice Sueing Offensive Rebound.,28,35
1:03,-1,Foul on Brett Reed.,28,35
1:03,25,Justice Sueing made Free Throw.,29,35
1:03,25,Justice Sueing made Free Throw.,30,35
0:52,-1,Dantley Walker made Three Point Jumper. Assisted by Justin Bridges.,30,38
0:33,25,Kingsley Okoroh missed Jumper.,30,38
0:33,-1,Dantley Walker Defensive Rebound.,30,38
0:05,-1,Austin Pope made Layup.,30,40
0:00,-1,End of 1st half,30,40
20:00,25,Jump Ball won by California,30,40
19:36,25,Darius McNeill made Three Point Jumper. Assisted by Don Coleman.,33,40
19:12,-1,Grant Dressler missed Three Point Jumper.,33,40
19:12,-1,Brett Reed Offensive Rebound.,33,40
19:07,-1,Brett Reed missed Layup.,33,40
19:07,25,Justice Sueing Block.,33,40
19:07,25,Nick Hamilton Defensive Rebound.,33,40
19:01,-1,Foul on Austin Pope.,33,40
19:01,25,Don Coleman missed Free Throw.,33,40
19:01,25,California Deadball Team Rebound.,33,40
19:01,25,Don Coleman made Free Throw.,34,40
18:55,-1,Braden Koelliker Turnover.,34,40
18:55,25,Don Coleman Steal.,34,40
18:46,25,Marcus Lee missed Jumper.,34,40
18:46,25,Marcus Lee Offensive Rebound.,34,40
18:46,25,Marcus Lee missed Two Point Tip Shot.,34,40
18:46,25,Nick Hamilton Offensive Rebound.,34,40
18:38,25,Marcus Lee missed Layup.,34,40
18:38,-1,Chaminade Defensive Rebound.,34,40
18:31,-1,Austin Pope Turnover.,34,40
18:31,25,Marcus Lee Steal.,34,40
18:31,-1,Foul on Braden Koelliker.,34,40
18:31,25,Darius McNeill missed Free Throw.,34,40
18:31,25,California Deadball Team Rebound.,34,40
18:31,25,Darius McNeill missed Free Throw.,34,40
18:31,-1,Braden Koelliker Defensive Rebound.,34,40
18:20,-1,Grant Dressler made Layup.,34,42
18:08,25,Nick Hamilton missed Three Point Jumper.,34,42
18:08,-1,Austin Pope Defensive Rebound.,34,42
17:52,25,Foul on Marcus Lee.,34,42
17:52,-1,Braden Koelliker missed Free Throw.,34,42
17:52,-1,Chaminade Deadball Team Rebound.,34,42
17:52,-1,Braden Koelliker missed Free Throw.,34,42
17:52,25,Justice Sueing Defensive Rebound.,34,42
17:47,25,Justice Sueing made Layup.,36,42
17:47,-1,Foul on Braden Koelliker.,36,42
17:47,25,Justice Sueing missed Free Throw.,36,42
17:47,-1,Braden Koelliker Defensive Rebound.,36,42
17:35,-1,Austin Pope missed Jumper.,36,42
17:35,25,Kingsley Okoroh Defensive Rebound.,36,42
17:30,-1,Foul on Brett Reed.,36,42
17:16,25,Justice Sueing made Layup.,38,42
17:16,-1,Foul on Grant Dressler.,38,42
17:16,25,Justice Sueing made Free Throw.,39,42
17:11,-1,Grant Dressler made Three Point Jumper. Assisted by Austin Pope.,39,45
16:53,25,Don Coleman missed Three Point Jumper.,39,45
16:53,25,Darius McNeill Offensive Rebound.,39,45
16:44,25,Darius McNeill missed Three Point Jumper.,39,45
16:44,-1,Grant Dressler Defensive Rebound.,39,45
16:34,-1,Dantley Walker made Three Point Jumper.,39,48
16:26,25,Darius McNeill Turnover.,39,48
16:20,25,Foul on Justice Sueing.,39,48
16:03,-1,Erik Scheive made Jumper. Assisted by Braden Koelliker.,39,50
16:00,25,Don Coleman missed Layup.,39,50
16:00,-1,Braden Koelliker Defensive Rebound.,39,50
15:39,-1,Grant Dressler missed Layup.,39,50
15:39,-1,Erik Scheive Offensive Rebound.,39,50
15:39,-1,Erik Scheive made Two Point Tip Shot.,39,52
15:32,-1,Official TV Timeout,39,52
15:32,25,California  Timeout,39,52
15:23,25,Darius McNeill missed Jumper.,39,52
15:23,-1,Braden Koelliker Defensive Rebound.,39,52
15:16,-1,Erik Scheive made Three Point Jumper. Assisted by Austin Pope.,39,55
15:01,25,Don Coleman missed Jumper.,39,55
15:01,25,Kingsley Okoroh Offensive Rebound.,39,55
14:34,25,Justice Sueing made Layup.,41,55
14:34,-1,Foul on Erik Scheive.,41,55
14:34,-1,Official TV Timeout,41,55
14:34,25,Justice Sueing missed Free Throw.,41,55
14:34,-1,Brett Reed Defensive Rebound.,41,55
14:18,-1,Nicholas Anderson Turnover.,41,55
14:18,25,Justice Sueing Steal.,41,55
14:01,25,Darius McNeill made Jumper.,43,55
13:42,-1,Brett Reed made Layup. Assisted by Austin Pope.,43,57
13:20,25,Grant Anticevich made Jumper.,45,57
13:01,-1,Grant Dressler missed Three Point Jumper.,45,57
13:01,-1,Justin Bridges Offensive Rebound.,45,57
12:53,-1,Justin Bridges missed Three Point Jumper.,45,57
12:53,25,Justice Sueing Defensive Rebound.,45,57
12:45,25,Justice Sueing made Layup.,47,57
12:45,-1,Foul on Nicholas Anderson.,47,57
12:45,25,Justice Sueing missed Free Throw.,47,57
12:45,25,Don Coleman Offensive Rebound.,47,57
12:31,25,Don Coleman missed Three Point Jumper.,47,57
12:31,25,Juhwan Harris-Dyson Offensive Rebound.,47,57
12:23,25,Don Coleman missed Layup.,47,57
12:23,-1,Chaminade Defensive Rebound.,47,57
12:17,25,Foul on Nick Hamilton.,47,57
12:12,-1,Justin Bridges made Three Point Jumper. Assisted by Austin Pope.,47,60
11:47,25,Juhwan Harris-Dyson made Layup.,49,60
11:36,-1,Braden Koelliker made Layup.,49,62
11:12,-1,Foul on Brett Reed.,49,62
11:12,-1,Official TV Timeout,49,62
11:12,25,Justice Sueing missed Free Throw.,49,62
11:12,-1,Erik Scheive Defensive Rebound.,49,62
10:48,-1,Austin Pope missed Three Point Jumper.,49,62
10:48,-1,Braden Koelliker Offensive Rebound.,49,62
10:19,-1,Erik Scheive Turnover.,49,62
10:19,25,Juhwan Harris-Dyson Steal.,49,62
10:13,25,Don Coleman made Layup. Assisted by Juhwan Harris-Dyson.,51,62
10:06,-1,Braden Koelliker Turnover.,51,62
10:06,25,Juhwan Harris-Dyson Steal.,51,62
9:43,25,Justice Sueing missed Layup.,51,62
9:43,-1,Austin Pope Defensive Rebound.,51,62
9:34,-1,Austin Pope missed Layup.,51,62
9:34,-1,Erik Scheive Offensive Rebound.,51,62
9:31,-1,Erik Scheive made Layup.,51,64
9:31,25,Foul on Juhwan Harris-Dyson.,51,64
9:31,-1,Erik Scheive made Free Throw.,51,65
9:13,25,Juhwan Harris-Dyson Turnover.,51,65
9:13,-1,Justin Bridges Steal.,51,65
8:47,-1,Erik Scheive made Jumper. Assisted by Austin Pope.,51,67
8:25,25,Don Coleman missed Three Point Jumper.,51,67
8:25,-1,Dantley Walker Defensive Rebound.,51,67
8:20,-1,Justin Bridges made Dunk. Assisted by Dantley Walker.,51,69
8:00,25,California  Timeout,51,69
8:00,-1,Official TV Timeout,51,69
7:58,25,Darius McNeill missed Three Point Jumper.,51,69
7:58,25,Marcus Lee Offensive Rebound.,51,69
7:46,-1,Foul on Dantley Walker.,51,69
7:46,25,Marcus Lee missed Free Throw.,51,69
7:46,25,California Deadball Team Rebound.,51,69
7:46,25,Marcus Lee made Free Throw.,52,69
7:22,-1,Dantley Walker made Three Point Jumper. Assisted by Nicholas Anderson.,52,72
7:08,25,Justice Sueing missed Three Point Jumper.,52,72
7:08,-1,Justin Bridges Defensive Rebound.,52,72
6:56,-1,Dantley Walker missed Three Point Jumper.,52,72
6:56,25,Don Coleman Defensive Rebound.,52,72
6:43,-1,Foul on Grant Dressler.,52,72
6:43,25,Marcus Lee made Free Throw.,53,72
6:43,25,Marcus Lee missed Free Throw.,53,72
6:43,-1,Grant Dressler Defensive Rebound.,53,72
6:27,25,Foul on Marcus Lee.,53,72
6:24,-1,Austin Pope made Layup.,53,74
6:08,25,Darius McNeill made Jumper.,55,74
5:48,25,Foul on Don Coleman.,55,74
5:48,-1,Nicholas Anderson made Free Throw.,55,75
5:48,-1,Nicholas Anderson made Free Throw.,55,76
5:48,-1,Nicholas Anderson made Free Throw.,55,77
5:36,-1,Foul on Grant Dressler.,55,77
5:36,25,Justice Sueing made Free Throw.,56,77
5:36,25,Justice Sueing missed Free Throw.,56,77
5:36,-1,Braden Koelliker Defensive Rebound.,56,77
5:22,-1,Austin Pope made Layup.,56,79
5:03,25,Justice Sueing made Layup.,58,79
4:41,25,Foul on Justice Sueing.,58,79
4:41,-1,Nicholas Anderson made Free Throw.,58,80
4:41,-1,Nicholas Anderson made Free Throw.,58,81
4:34,25,Foul on Deschon Winston.,58,81
4:34,25,Deschon Winston Turnover.,58,81
4:11,-1,Austin Pope made Layup.,58,83
4:11,25,Foul on Grant Anticevich.,58,83
4:11,-1,Austin Pope made Free Throw.,58,84
4:06,25,Grant Anticevich missed Layup.,58,84
4:06,25,Justice Sueing Offensive Rebound.,58,84
4:03,25,Justice Sueing made Layup.,60,84
3:58,-1,Brett Reed Turnover.,60,84
3:58,25,Justice Sueing Steal.,60,84
3:53,25,Justice Sueing missed Layup.,60,84
3:53,25,Justice Sueing Offensive Rebound.,60,84
3:52,25,Justice Sueing made Layup.,62,84
3:50,-1,Chaminade  Timeout,62,84
3:50,-1,Official TV Timeout,62,84
3:46,-1,Brett Reed made Layup. Assisted by Justin Bridges.,62,86
3:33,25,Deschon Winston missed Layup.,62,86
3:33,-1,Braden Koelliker Defensive Rebound.,62,86
3:12,-1,Brett Reed made Layup. Assisted by Braden Koelliker.,62,88
3:12,25,Foul on Darius McNeill.,62,88
3:12,-1,Brett Reed made Free Throw.,62,89
2:53,25,Justice Sueing made Jumper.,64,89
2:53,-1,Foul on Justin Bridges.,64,89
2:53,25,Justice Sueing made Free Throw.,65,89
2:46,-1,Dantley Walker made Three Point Jumper. Assisted by Justin Bridges.,65,92
2:26,25,Justice Sueing missed Layup.,65,92
2:26,-1,Braden Koelliker Defensive Rebound.,65,92
2:04,-1,Braden Koelliker made Three Point Jumper. Assisted by Austin Pope.,65,95
1:46,25,Darius McNeill made Jumper.,67,95
1:15,-1,Austin Pope missed Jumper.,67,95
1:15,25,Deschon Winston Defensive Rebound.,67,95
1:07,25,Nick Hamilton missed Three Point Jumper.,67,95
1:07,-1,Brett Reed Defensive Rebound.,67,95
0:57,25,Foul on Deschon Winston.,67,95
0:57,-1,Austin Pope missed Free Throw.,67,95
0:57,-1,Chaminade Deadball Team Rebound.,67,95
0:57,-1,Austin Pope made Free Throw.,67,96
0:55,25,Deschon Winston made Jumper.,69,96
0:41,-1,Matt Southard Turnover.,69,96
0:41,25,Juhwan Harris-Dyson Steal.,69,96
0:33,25,Grant Anticevich missed Three Point Jumper.,69,96
0:33,-1,Nicholas Anderson Defensive Rebound.,69,96
0:02,-1,Chaminade  Turnover.,69,96
0:01,25,Deschon Winston made Three Point Jumper.,72,96
0:00,-1,End of Game,72,96
