Delaware,2344,Longwood,48
0:30,48,Ryan Allen Defensive Rebound.,38,31
0:07,48,Anthony Mosley missed Layup.,38,31
0:07,2344,Jordan Cintron Block.,38,31
0:07,2344,Longwood Defensive Rebound.,38,31
0:00,2344,B.K. Ashe missed Layup.,38,31
0:00,48,Delaware Defensive Rebound.,38,31
0:00,2344,End of 1st half,38,31
19:51,48,Derrick Woods missed Jumper.,38,31
19:51,2344,Charles Glover Defensive Rebound.,38,31
19:26,2344,Charles Glover made Jumper.,38,33
18:57,48,Ryan Allen made Three Point Jumper. Assisted by Darian Bryant.,41,33
18:38,2344,Damarion Geter missed Jumper.,41,33
18:38,48,Ryan Daly Defensive Rebound.,41,33
18:31,48,Derrick Woods missed Layup.,41,33
18:31,2344,Charles Glover Defensive Rebound.,41,33
18:23,2344,B.K. Ashe missed Layup.,41,33
18:23,2344,Damarion Geter Offensive Rebound.,41,33
18:19,2344,Chris Shields missed Three Point Jumper.,41,33
18:19,48,Ryan Daly Defensive Rebound.,41,33
17:49,48,Ryan Allen Turnover.,41,33
17:48,2344,Charles Glover Steal.,41,33
17:44,48,Foul on Anthony Mosley.,41,33
17:44,2344,B.K. Ashe missed Free Throw.,41,33
17:44,2344,Longwood Deadball Team Rebound.,41,33
17:44,2344,B.K. Ashe made Free Throw.,41,34
17:44,2344,Technical Foul on Chris Shields.,41,34
17:44,48,Ryan Daly made Free Throw.,42,34
17:21,48,Derrick Woods missed Three Point Jumper.,42,34
17:21,2344,Charles Glover Defensive Rebound.,42,34
16:52,2344,B.K. Ashe missed Jumper.,42,34
16:52,2344,Damarion Geter Offensive Rebound.,42,34
16:48,2344,JaShaun Smith made Dunk. Assisted by Damarion Geter.,42,36
16:13,48,Ryan Daly missed Three Point Jumper.,42,36
16:13,2344,B.K. Ashe Defensive Rebound.,42,36
15:50,2344,Charles Glover missed Jumper.,42,36
15:50,48,Darian Bryant Defensive Rebound.,42,36
15:44,48,Ryan Daly missed Three Point Jumper.,42,36
15:44,48,Skye Johnson Offensive Rebound.,42,36
15:39,48,Skye Johnson Turnover.,42,36
15:38,2344,B.K. Ashe Steal.,42,36
15:38,2344,Official TV Timeout,42,36
15:14,2344,Chris Shields Turnover.,42,36
15:13,48,Ryan Daly Steal.,42,36
15:11,48,Ryan Daly made Layup.,44,36
15:11,2344,Foul on Chris Shields.,44,36
15:11,48,Ryan Daly made Free Throw.,45,36
14:51,2344,Isaiah Walton missed Jumper.,45,36
14:51,48,Ryan Allen Defensive Rebound.,45,36
14:43,48,Ryan Allen made Jumper.,47,36
14:40,2344,Longwood  Timeout,47,36
14:22,48,Foul on Darian Bryant.,47,36
14:03,2344,Damarion Geter missed Jumper.,47,36
14:03,48,Delaware Defensive Rebound.,47,36
13:47,48,Darian Bryant missed Three Point Jumper.,47,36
13:47,2344,Damarion Geter Defensive Rebound.,47,36
13:31,2344,Chris Shields Turnover.,47,36
13:31,2344,Foul on Chris Shields.,47,36
13:07,48,Anthony Mosley made Layup. Assisted by Skye Johnson.,49,36
12:54,2344,Isaiah Walton Turnover.,49,36
12:37,48,Ryan Allen missed Jumper.,49,36
12:37,2344,Charles Glover Defensive Rebound.,49,36
12:26,2344,JaShaun Smith made Three Point Jumper. Assisted by Kamil Chapman.,49,39
11:58,48,Ryan Allen missed Three Point Jumper.,49,39
11:58,2344,Charles Glover Defensive Rebound.,49,39
11:51,2344,JaShaun Smith made Layup. Assisted by Kamil Chapman.,49,41
11:29,48,Skye Johnson missed Jumper.,49,41
11:29,2344,Longwood Defensive Rebound.,49,41
11:26,2344,Official TV Timeout,49,41
11:14,48,Foul on Darian Bryant.,49,41
11:14,2344,Charles Glover made Free Throw.,49,42
11:14,2344,Charles Glover missed Free Throw.,49,42
11:14,48,Derrick Woods Defensive Rebound.,49,42
11:00,48,Derrick Woods Turnover.,49,42
11:00,48,Foul on Derrick Woods.,49,42
10:46,2344,Charles Glover missed Layup.,49,42
10:46,48,Derrick Woods Defensive Rebound.,49,42
10:39,48,Ryan Daly missed Jumper.,49,42
10:39,2344,Longwood Defensive Rebound.,49,42
10:23,2344,Kamil Chapman made Three Point Jumper. Assisted by Damarion Geter.,49,45
9:54,2344,Foul on Jordan Cintron.,49,45
9:54,48,Derrick Woods made Free Throw.,50,45
9:54,48,Derrick Woods made Free Throw.,51,45
9:38,2344,B.K. Ashe missed Three Point Jumper.,51,45
9:38,48,Ryan Allen Defensive Rebound.,51,45
9:13,48,Anthony Mosley missed Jumper.,51,45
9:13,2344,Kamil Chapman Defensive Rebound.,51,45
9:00,2344,B.K. Ashe made Jumper.,51,47
8:49,48,Delaware  Timeout,51,47
8:40,48,Ryan Daly made Jumper.,53,47
8:15,2344,B.K. Ashe made Layup.,53,49
8:15,48,Foul on Ryan Daly.,53,49
8:15,2344,B.K. Ashe made Free Throw.,53,50
8:00,2344,Foul on Charles Glover.,53,50
8:00,2344,Official TV Timeout,53,50
8:00,48,Ryan Daly made Free Throw.,54,50
8:00,48,Ryan Daly made Free Throw.,55,50
7:38,2344,Jordan Cintron missed Jumper.,55,50
7:38,48,Derrick Woods Defensive Rebound.,55,50
7:23,48,Ryan Allen missed Jumper.,55,50
7:23,2344,Charles Glover Defensive Rebound.,55,50
7:08,2344,Kamil Chapman made Three Point Jumper. Assisted by B.K. Ashe.,55,53
6:47,48,Anthony Mosley made Layup. Assisted by Ryan Daly.,57,53
6:22,2344,B.K. Ashe made Jumper.,57,55
5:55,48,Darian Bryant missed Three Point Jumper.,57,55
5:55,2344,Damarion Geter Defensive Rebound.,57,55
5:43,2344,B.K. Ashe Turnover.,57,55
5:22,48,Ryan Daly missed Three Point Jumper.,57,55
5:22,2344,Charles Glover Defensive Rebound.,57,55
5:16,2344,Charles Glover made Layup.,57,57
5:06,48,Delaware  Timeout,57,57
4:47,48,Derrick Woods missed Jumper.,57,57
4:47,2344,Damarion Geter Defensive Rebound.,57,57
4:21,2344,Kamil Chapman missed Three Point Jumper.,57,57
4:21,48,Derrick Woods Defensive Rebound.,57,57
4:00,48,Anthony Mosley missed Layup.,57,57
4:00,2344,Damarion Geter Block.,57,57
3:57,2344,Jordan Cintron Defensive Rebound.,57,57
3:36,2344,Damarion Geter missed Layup.,57,57
3:36,48,Ryan Allen Block.,57,57
3:33,48,Ryan Allen Defensive Rebound.,57,57
3:14,48,Darian Bryant missed Three Point Jumper.,57,57
3:14,48,Derrick Woods Offensive Rebound.,57,57
3:09,48,Derrick Woods made Layup.,59,57
2:52,2344,Kamil Chapman missed Three Point Jumper.,59,57
2:52,2344,Damarion Geter Offensive Rebound.,59,57
2:48,2344,B.K. Ashe Turnover.,59,57
2:46,48,Darian Bryant Steal.,59,57
2:42,2344,Foul on Jordan Cintron.,59,57
2:42,2344,Official TV Timeout,59,57
2:42,48,Ryan Daly made Free Throw.,60,57
2:42,48,Ryan Daly made Free Throw.,61,57
2:14,2344,Damarion Geter missed Jumper.,61,57
2:14,48,Derrick Woods Defensive Rebound.,61,57
1:48,48,Ryan Daly missed Layup.,61,57
1:48,2344,Longwood Defensive Rebound.,61,57
1:47,48,Foul on Derrick Woods.,61,57
1:32,2344,Charles Glover missed Three Point Jumper.,61,57
1:32,48,Delaware Defensive Rebound.,61,57
1:02,48,Derrick Woods Turnover.,61,57
1:01,48,Foul on Derrick Woods.,61,57
0:42,2344,B.K. Ashe missed Three Point Jumper.,61,57
0:42,48,Darian Bryant Defensive Rebound.,61,57
0:32,2344,Foul on Kamil Chapman.,61,57
0:29,2344,Foul on Jordan Cintron.,61,57
0:26,48,Ryan Daly made Free Throw.,62,57
0:26,48,Ryan Daly made Free Throw.,63,57
0:26,2344,B.K. Ashe missed Three Point Jumper.,63,57
0:26,48,Delaware Defensive Rebound.,63,57
0:11,2344,Foul on Jordan Cintron.,63,57
0:11,48,Anthony Mosley made Free Throw.,64,57
0:11,48,Anthony Mosley made Free Throw.,65,57
0:03,2344,B.K. Ashe missed Jumper.,65,57
0:03,48,Ryan Daly Defensive Rebound.,65,57
0:00,2344,End of Game,63,57
