Howard,58,South Florida,47
9:51,47,Dalique Mingo Steal.,14,14
9:45,47,Charles Williams missed Three Point Jumper.,14,14
9:45,58,South Florida Defensive Rebound.,14,14
9:43,47,Foul on Marcus Hall.,14,14
9:28,58,Nikola Scekic made Layup. Assisted by Tulio Da Silva.,14,16
9:11,47,Charles Williams made Jumper. Assisted by Ibrahim Dosunmu.,16,16
8:50,58,Tulio Da Silva Turnover.,16,16
8:31,47,Ibrahim Dosunmu missed Jumper.,16,16
8:31,58,Stephan Jiggetts Defensive Rebound.,16,16
8:20,58,Tulio Da Silva made Jumper.,16,18
7:57,47,RJ Cole missed Three Point Jumper.,16,18
7:47,47,Ibrahim Dosunmu Offensive Rebound.,16,18
7:46,47,Kyle Foster missed Three Point Jumper.,16,18
7:46,58,Tulio Da Silva Defensive Rebound.,16,18
7:46,47,Foul on Marcus Hall.,16,18
7:46,58,Official TV Timeout,16,18
7:24,58,Nikola Scekic missed Jumper.,16,18
7:24,47,Kyle Foster Defensive Rebound.,16,18
7:06,47,Kyle Foster Turnover.,16,18
6:53,58,Payton Banks made Three Point Jumper. Assisted by Stephan Jiggetts.,16,21
6:43,47,Charles Williams missed Jumper.,16,21
6:43,58,Payton Banks Defensive Rebound.,16,21
6:27,58,Nikola Scekic Turnover.,16,21
6:25,47,Charles Williams Steal.,16,21
6:23,47,RJ Cole missed Three Point Jumper.,16,21
6:23,58,Tulio Da Silva Defensive Rebound.,16,21
5:50,58,Stephan Jiggetts made Three Point Jumper.,16,24
5:42,47,Howard  Timeout,16,24
5:30,47,Nate Garvey missed Three Point Jumper.,16,24
5:30,58,Justin Brown Defensive Rebound.,16,24
5:21,58,Stephan Jiggetts missed Three Point Jumper.,16,24
5:21,47,Howard Defensive Rebound.,16,24
4:59,47,Charles Williams Turnover.,16,24
4:43,47,Foul on Charles Williams.,16,24
4:43,58,Tulio Da Silva made Free Throw.,16,25
4:43,58,Tulio Da Silva missed Free Throw.,16,25
4:43,47,Zion Cousins Defensive Rebound.,16,25
4:28,47,Nate Garvey Turnover.,16,25
4:27,58,David Collins Steal.,16,25
4:24,47,Foul on Zion Cousins.,16,25
4:24,58,Payton Banks made Free Throw.,16,26
4:24,58,Payton Banks made Free Throw.,16,27
4:14,47,Foul on Jalen Jones.,16,27
4:14,47,Jalen Jones Turnover.,16,27
4:04,58,David Collins made Layup.,16,29
3:53,58,Foul on David Collins.,16,29
3:53,58,Official TV Timeout,16,29
3:53,47,Kyle Foster missed Free Throw.,16,29
3:53,47,Howard Deadball Team Rebound.,16,29
3:53,47,Kyle Foster missed Free Throw.,16,29
3:53,47,Howard Deadball Team Rebound.,16,29
3:53,47,Kyle Foster made Free Throw.,17,29
3:32,58,Stephan Jiggetts made Three Point Jumper. Assisted by Malik Martin.,17,32
3:17,47,Charles Williams Turnover.,17,32
3:17,58,David Collins Steal.,17,32
3:17,47,Foul on Charles Williams.,17,32
3:17,58,David Collins made Free Throw.,17,33
3:17,58,David Collins missed Free Throw.,17,33
3:17,47,Dalique Mingo Defensive Rebound.,17,33
2:54,58,Foul on Stephan Jiggetts.,17,33
2:54,47,RJ Cole made Free Throw.,18,33
2:54,47,RJ Cole made Free Throw.,19,33
2:38,58,Justin Brown missed Three Point Jumper.,19,33
2:38,58,South Florida Offensive Rebound.,19,33
2:22,58,Justin Brown missed Layup.,19,33
2:22,47,Dalique Mingo Defensive Rebound.,19,33
2:14,47,RJ Cole missed Jumper.,19,33
2:14,58,Justin Brown Defensive Rebound.,19,33
2:03,58,Terrence Samuel Turnover.,19,33
2:01,47,RJ Cole Steal.,19,33
1:53,58,Foul on David Collins.,19,33
1:45,47,RJ Cole missed Three Point Jumper.,19,33
1:45,47,Cameron Lewis Offensive Rebound.,19,33
1:41,47,Charles Williams made Jumper. Assisted by Cameron Lewis.,21,33
1:29,58,South Florida  Timeout,21,33
1:08,58,Foul on Terrence Samuel.,21,33
1:08,58,Terrence Samuel Turnover.,21,33
0:50,47,Foul on Cameron Lewis.,21,33
0:50,47,Cameron Lewis Turnover.,21,33
0:27,58,Terrence Samuel Turnover.,21,33
0:26,47,Cameron Lewis Steal.,21,33
0:22,47,Charles Williams made Three Point Jumper. Assisted by RJ Cole.,24,33
0:00,58,Payton Banks made Three Point Jumper. Assisted by Terrence Samuel.,24,36
0:00,58,End of 1st half,24,36
19:41,58,Stephan Jiggetts missed Jumper.,24,36
19:41,58,South Florida Offensive Rebound.,24,36
19:16,58,Foul on Payton Banks.,24,36
19:15,58,Nikola Scekic missed Layup.,24,36
19:15,47,Zion Cousins Defensive Rebound.,24,36
18:57,47,Dalique Mingo missed Three Point Jumper.,24,36
18:57,47,Jalen Jones Offensive Rebound.,24,36
18:51,47,Jalen Jones made Layup.,26,36
18:41,58,Nikola Scekic missed Layup.,26,36
18:41,47,Zion Cousins Block.,26,36
18:41,58,South Florida Offensive Rebound.,26,36
18:33,58,Nikola Scekic missed Layup.,26,36
18:33,58,Malik Martin Offensive Rebound.,26,36
18:30,58,Malik Martin missed Layup.,26,36
18:30,47,Zion Cousins Block.,26,36
18:29,47,Jalen Jones Defensive Rebound.,26,36
18:21,47,Jalen Jones Turnover.,26,36
18:13,58,Payton Banks made Three Point Jumper. Assisted by Terrence Samuel.,26,39
17:59,47,RJ Cole made Layup.,28,39
17:36,58,Nikola Scekic missed Layup.,28,39
17:36,47,Zion Cousins Block.,28,39
17:35,47,Howard Defensive Rebound.,28,39
17:25,47,Zion Cousins Turnover.,28,39
17:24,58,Tulio Da Silva Steal.,28,39
17:19,58,Tulio Da Silva made Layup. Assisted by Terrence Samuel.,28,41
17:04,47,Charles Williams missed Jumper.,28,41
17:04,58,Malik Martin Defensive Rebound.,28,41
16:51,58,Tulio Da Silva Turnover.,28,41
16:38,47,Charles Williams Turnover.,28,41
16:37,58,Terrence Samuel Steal.,28,41
16:37,47,Foul on Charles Williams.,28,41
16:28,58,Malik Martin made Dunk. Assisted by Payton Banks.,28,43
15:54,47,Kyle Foster missed Three Point Jumper.,28,43
15:54,47,Jalen Jones Offensive Rebound.,28,43
15:52,58,Foul on Terrence Samuel.,28,43
15:52,58,Official TV Timeout,28,43
15:40,47,Dalique Mingo missed Layup.,28,43
15:40,58,David Collins Defensive Rebound.,28,43
15:33,58,Stephan Jiggetts made Layup. Assisted by David Collins.,28,45
15:19,47,Zion Cousins missed Jumper.,28,45
15:19,58,Justin Brown Defensive Rebound.,28,45
15:12,58,Stephan Jiggetts made Three Point Jumper.,28,48
14:49,47,Kyle Foster missed Three Point Jumper.,28,48
14:49,58,Tulio Da Silva Defensive Rebound.,28,48
14:31,47,Foul on Zion Cousins.,28,48
14:24,47,Foul on Dalique Mingo.,28,48
14:13,58,Stephan Jiggetts made Three Point Jumper. Assisted by Justin Brown.,28,51
13:59,47,Foul on RJ Cole.,28,51
13:59,47,RJ Cole Turnover.,28,51
13:46,58,Foul on Malik Martin.,28,51
13:46,58,Malik Martin Turnover.,28,51
13:33,47,Charles Williams missed Jumper.,28,51
13:33,58,South Florida Defensive Rebound.,28,51
13:16,58,Tulio Da Silva missed Jumper.,28,51
13:16,58,Malik Martin Offensive Rebound.,28,51
12:59,58,Justin Brown missed Layup.,28,51
12:59,47,Charles Williams Block.,28,51
12:59,47,Howard Defensive Rebound.,28,51
12:39,47,RJ Cole made Jumper. Assisted by Charles Williams.,30,51
12:24,58,David Collins missed Three Point Jumper.,30,51
12:24,58,David Collins Offensive Rebound.,30,51
12:18,58,Malik Martin made Dunk. Assisted by David Collins.,30,53
12:10,47,Charles Williams missed Jumper.,30,53
12:10,58,David Collins Defensive Rebound.,30,53
11:58,58,Justin Brown made Three Point Jumper. Assisted by Stephan Jiggetts.,30,56
11:56,47,Howard  Timeout,30,56
11:56,58,Official TV Timeout,30,56
11:39,58,Foul on Nikola Scekic.,30,56
11:39,58,Official TV Timeout,30,56
11:39,47,RJ Cole made Free Throw.,31,56
11:39,47,RJ Cole made Free Throw.,32,56
11:33,47,Foul on Zion Cousins.,32,56
11:33,58,Terrence Samuel made Free Throw.,32,57
11:33,58,Terrence Samuel made Free Throw.,32,58
11:17,47,RJ Cole missed Layup.,32,58
11:17,58,South Florida Defensive Rebound.,32,58
11:15,47,Foul on Ibrahim Dosunmu.,32,58
11:00,47,Foul on Ibrahim Dosunmu.,32,58
11:00,58,Malik Martin missed Free Throw.,32,58
11:00,58,Justin Brown Offensive Rebound.,32,58
10:46,58,Terrence Samuel made Jumper. Assisted by Justin Brown.,32,60
10:38,47,Kyle Foster missed Three Point Jumper.,32,60
10:38,47,Ibrahim Dosunmu Offensive Rebound.,32,60
10:35,47,Ibrahim Dosunmu made Layup.,34,60
10:18,58,David Collins missed Three Point Jumper.,34,60
10:18,58,Nikola Scekic Offensive Rebound.,34,60
10:16,47,Foul on Marcus Hall.,34,60
10:16,58,Nikola Scekic missed Free Throw.,34,60
10:16,47,Ibrahim Dosunmu Defensive Rebound.,34,60
10:08,47,Marcus Hall made Dunk. Assisted by RJ Cole.,36,60
9:50,58,Malik Martin made Layup. Assisted by Nikola Scekic.,36,62
9:50,47,Foul on Ibrahim Dosunmu.,36,62
9:50,58,Malik Martin missed Free Throw.,36,62
9:50,47,Marcus Hall Defensive Rebound.,36,62
9:44,47,Foul on RJ Cole.,36,62
9:44,47,RJ Cole Turnover.,36,62
9:32,58,Foul on Tulio Da Silva.,36,62
9:32,58,Tulio Da Silva Turnover.,36,62
9:19,47,RJ Cole made Three Point Jumper. Assisted by Ibrahim Dosunmu.,39,62
9:01,58,Justin Brown missed Jumper.,39,62
9:01,47,Dalique Mingo Defensive Rebound.,39,62
8:52,47,Ibrahim Dosunmu made Layup. Assisted by RJ Cole.,41,62
8:40,47,Foul on Dalique Mingo.,41,62
8:40,58,Tulio Da Silva missed Free Throw.,41,62
8:40,58,South Florida Deadball Team Rebound.,41,62
8:40,58,Tulio Da Silva made Free Throw.,41,63
8:17,47,Marcus Hall missed Layup.,41,63
8:17,47,Jalen Jones Offensive Rebound.,41,63
8:07,47,Charles Williams missed Three Point Jumper.,41,63
8:07,58,Tulio Da Silva Defensive Rebound.,41,63
8:00,58,Tulio Da Silva Turnover.,41,63
7:58,47,Dalique Mingo Steal.,41,63
7:55,47,RJ Cole made Layup.,43,63
7:49,58,South Florida  Timeout,43,63
7:49,58,Official TV Timeout,43,63
7:42,58,Payton Banks Turnover.,43,63
7:39,47,Jalen Jones Steal.,43,63
7:28,47,Foul on Marcus Hall.,43,63
7:28,47,Marcus Hall Turnover.,43,63
7:09,58,Tulio Da Silva made Layup.,43,65
6:56,58,Foul on Payton Banks.,43,65
6:46,47,Cameron Lewis made Layup. Assisted by RJ Cole.,45,65
6:17,58,Payton Banks missed Three Point Jumper.,45,65
6:17,47,Cameron Lewis Defensive Rebound.,45,65
6:08,47,Charles Williams missed Three Point Jumper.,45,65
6:08,47,Cameron Lewis Offensive Rebound.,45,65
6:00,58,Foul on Nikola Scekic.,45,65
6:00,47,RJ Cole made Free Throw.,46,65
6:00,47,RJ Cole made Free Throw.,47,65
5:43,58,Nikola Scekic made Jumper. Assisted by Payton Banks.,47,67
5:26,47,Dalique Mingo missed Three Point Jumper.,47,67
5:26,58,Nikola Scekic Defensive Rebound.,47,67
5:10,58,Payton Banks missed Three Point Jumper.,47,67
5:10,47,Charles Williams Defensive Rebound.,47,67
4:58,47,Charles Williams missed Jumper.,47,67
4:58,58,Nikola Scekic Block.,47,67
4:56,47,Dalique Mingo Offensive Rebound.,47,67
4:53,47,Dalique Mingo missed Layup.,47,67
4:53,58,Nikola Scekic Block.,47,67
4:53,47,Howard Offensive Rebound.,47,67
4:46,47,RJ Cole Turnover.,47,67
4:46,58,Stephan Jiggetts Steal.,47,67
4:46,47,Foul on RJ Cole.,47,67
4:46,58,Stephan Jiggetts made Free Throw.,47,68
4:46,58,Stephan Jiggetts made Free Throw.,47,69
4:31,47,Kyle Foster missed Three Point Jumper.,47,69
4:31,58,Stephan Jiggetts Defensive Rebound.,47,69
4:20,58,Justin Brown missed Three Point Jumper.,47,69
4:20,47,Justin Cotten Defensive Rebound.,47,69
4:11,47,Cameron Lewis missed Jumper.,47,69
4:11,58,Stephan Jiggetts Defensive Rebound.,47,69
3:53,47,Foul on Kyle Foster.,47,69
3:53,58,Official TV Timeout,47,69
3:53,58,Tulio Da Silva made Free Throw.,47,70
3:53,58,Tulio Da Silva made Free Throw.,47,71
3:34,47,Nate Garvey missed Jumper.,47,71
3:34,58,Henry Beard Defensive Rebound.,47,71
3:27,47,Foul on Henry Odunze.,47,71
3:27,58,Justin Brown made Free Throw.,47,72
3:27,58,Justin Brown missed Free Throw.,47,72
3:27,47,Kyle Foster Defensive Rebound.,47,72
2:56,47,Howard  Turnover.,47,72
2:30,58,Foul on David Collins.,47,72
2:30,58,David Collins Turnover.,47,72
2:16,47,Nate Garvey missed Three Point Jumper.,47,72
2:16,47,Howard Offensive Rebound.,47,72
2:14,58,Foul on Justin Brown.,47,72
2:14,47,Ibrahim Dosunmu missed Free Throw.,47,72
2:14,47,Howard Deadball Team Rebound.,47,72
2:10,47,Kyle Foster missed Three Point Jumper.,47,72
2:10,58,David Collins Defensive Rebound.,47,72
2:01,58,Yito Alvarado Turnover.,47,72
1:54,47,Foul on Ibrahim Dosunmu.,47,72
1:54,47,Ibrahim Dosunmu Turnover.,47,72
1:27,58,Yito Alvarado missed Three Point Jumper.,47,72
1:27,58,Joey Coffaro Offensive Rebound.,47,72
1:23,58,South Florida  Turnover.,47,72
1:14,47,Justin Cotten made Jumper. Assisted by Nate Garvey.,49,72
1:03,58,Joey Coffaro missed Layup.,49,72
1:03,47,Henry Odunze Block.,49,72
1:00,58,Yito Alvarado Offensive Rebound.,49,72
0:57,58,Justin Brown made Three Point Jumper. Assisted by Yito Alvarado.,49,75
0:41,58,Foul on Henry Beard.,49,75
0:41,47,Kyle Foster missed Free Throw.,49,75
0:41,47,Howard Deadball Team Rebound.,49,75
0:41,47,Kyle Foster made Free Throw.,50,75
0:35,58,Justin Brown Turnover.,50,75
0:33,47,Kyle Foster Steal.,50,75
0:31,47,Kyle Foster made Dunk.,52,75
0:00,58,End of Game,52,75
