Maine-Fort Kent,Error,Vermont,261
9:52,-1,Anthony Knight made Layup.,11,22
9:24,-1,Foul on Travis Harlin.,11,22
9:24,261,Samuel Dingba missed Free Throw.,11,22
9:24,261,Vermont Deadball Team Rebound.,11,22
9:24,261,Samuel Dingba made Free Throw.,11,23
9:05,-1,Anthony Knight missed Layup.,11,23
9:05,261,Stef Smith Defensive Rebound.,11,23
9:02,-1,Foul on Bobby Syvanthong.,11,23
9:02,261,Cam Ward missed Free Throw.,11,23
9:02,261,Vermont Deadball Team Rebound.,11,23
9:02,261,Cam Ward made Free Throw.,11,24
8:53,-1,Thomas Enerva made Layup. Assisted by Anthony Knight.,13,24
8:39,261,Drew Urquhart made Three Point Jumper. Assisted by Stef Smith.,13,27
8:18,-1,Thomas Enerva missed Jumper.,13,27
8:18,261,Cam Ward Defensive Rebound.,13,27
8:07,-1,Foul on Bobby Syvanthong.,13,27
7:59,-1,Foul on Troy Williams.,13,27
7:59,261,Official TV Timeout,13,27
7:53,261,Samuel Dingba missed Jumper.,13,27
7:53,-1,Travis Harlin Defensive Rebound.,13,27
7:30,-1,Anthony Knight missed Layup.,13,27
7:30,261,Drew Urquhart Block.,13,27
7:29,261,Cam Ward Defensive Rebound.,13,27
7:01,261,Ben Shungu Turnover.,13,27
6:51,-1,Troy Williams Turnover.,13,27
6:41,261,Cam Ward Turnover.,13,27
6:38,-1,Anthony Knight Steal.,13,27
6:34,-1,Anthony Knight made Layup.,15,27
6:15,261,Drew Urquhart made Dunk. Assisted by Ben Shungu.,15,29
5:57,-1,Larry Wickett missed Jumper.,15,29
5:57,261,Ben Shungu Defensive Rebound.,15,29
5:56,-1,Foul on Johnathon Caldwell.,15,29
5:56,261,Ben Shungu missed Free Throw.,15,29
5:56,-1,Larry Wickett Defensive Rebound.,15,29
5:38,-1,Travis Harlin missed Jumper.,15,29
5:38,261,Ben Shungu Defensive Rebound.,15,29
5:27,261,Payton Henson missed Jumper.,15,29
5:27,261,Ben Shungu Offensive Rebound.,15,29
5:22,-1,Foul on Johnathon Caldwell.,15,29
5:22,261,Nate Rohrer made Free Throw.,15,30
5:22,261,Nate Rohrer made Free Throw.,15,31
5:06,-1,Troy Williams missed Three Point Jumper.,15,31
5:06,-1,Travis Harlin Offensive Rebound.,15,31
5:06,-1,Foul on Travis Harlin.,15,31
5:06,-1,Travis Harlin Turnover.,15,31
4:54,261,Trae Bell-Haynes missed Layup.,15,31
4:54,-1,Travis Harlin Defensive Rebound.,15,31
4:44,-1,Benson Arogbo missed Layup.,15,31
4:44,-1,Anthony Knight Offensive Rebound.,15,31
4:41,-1,Anthony Knight made Dunk.,17,31
4:18,261,Ben Shungu made Three Point Jumper. Assisted by Trae Bell-Haynes.,17,34
4:03,-1,Anthony Knight made Layup.,19,34
3:34,261,Trae Bell-Haynes Turnover.,19,34
3:34,261,Official TV Timeout,19,34
3:23,-1,Thomas Enerva missed Layup.,19,34
3:23,-1,Thomas Enerva Offensive Rebound.,19,34
3:21,-1,Thomas Enerva missed Layup.,19,34
3:21,261,Ernie Duncan Defensive Rebound.,19,34
3:10,261,Ben Shungu missed Layup.,19,34
3:10,261,Payton Henson Offensive Rebound.,19,34
3:05,261,Ernie Duncan missed Three Point Jumper.,19,34
3:05,-1,Larry Wickett Defensive Rebound.,19,34
2:47,-1,Larry Wickett missed Three Point Jumper.,19,34
2:47,261,Everett Duncan Defensive Rebound.,19,34
2:38,261,Ben Shungu made Layup.,19,36
2:16,-1,Benson Arogbo missed Three Point Jumper.,19,36
2:16,261,Anthony Lamb Defensive Rebound.,19,36
2:00,261,Anthony Lamb made Three Point Jumper. Assisted by Payton Henson.,19,39
1:56,-1,Maine-Ft Kent  Timeout,19,39
1:29,-1,Travis Harlin made Jumper.,21,39
1:17,-1,Foul on Travis Harlin.,21,39
1:17,261,Anthony Lamb made Free Throw.,21,40
1:17,261,Anthony Lamb made Free Throw.,21,41
0:58,-1,Jarid Walton made Layup. Assisted by Troy Williams.,23,41
0:33,261,Skyler Nash made Three Point Jumper. Assisted by Stef Smith.,23,44
0:32,-1,Technical Foul on Maine-Ft Kent.,23,44
0:32,261,Ernie Duncan made Free Throw.,23,45
0:32,261,Ernie Duncan made Free Throw.,23,46
0:32,261,Vermont  Timeout,23,46
0:09,261,Foul on Stef Smith.,23,46
0:03,-1,Anthony Knight missed Layup.,23,46
0:03,261,Drew Urquhart Defensive Rebound.,23,46
0:02,-1,Foul on Larry Wickett.,23,46
0:02,261,Drew Urquhart made Free Throw.,23,47
0:02,261,Drew Urquhart made Free Throw.,23,48
0:01,261,Foul on Drew Urquhart.,23,48
0:01,-1,Benson Arogbo made Free Throw.,24,48
0:01,-1,Benson Arogbo made Free Throw.,25,48
0:00,261,End of 1st half,25,48
19:40,261,Ernie Duncan made Three Point Jumper.,25,51
19:20,-1,Troy Williams missed Three Point Jumper.,25,51
19:20,-1,Bobby Syvanthong Offensive Rebound.,25,51
19:11,-1,Larry Wickett Turnover.,25,51
18:58,-1,Foul on Larry Wickett.,25,51
18:58,261,Payton Henson made Free Throw.,25,52
18:58,261,Payton Henson made Free Throw.,25,53
18:50,-1,Bobby Syvanthong made Layup.,27,53
18:35,261,Trae Bell-Haynes missed Jumper.,27,53
18:35,-1,Anthony Knight Defensive Rebound.,27,53
18:27,-1,Thomas Enerva missed Layup.,27,53
18:27,261,Payton Henson Defensive Rebound.,27,53
18:20,261,Payton Henson made Three Point Jumper. Assisted by Trae Bell-Haynes.,27,56
18:17,-1,Maine-Ft Kent  Timeout,27,56
18:17,261,Official TV Timeout,27,56
18:03,-1,Travis Harlin missed Jumper.,27,56
18:03,261,Trae Bell-Haynes Defensive Rebound.,27,56
17:45,261,Payton Henson missed Jumper.,27,56
17:45,-1,Jarid Walton Defensive Rebound.,27,56
17:38,261,Foul on Trae Bell-Haynes.,27,56
17:31,-1,Bobby Syvanthong Turnover.,27,56
17:31,261,Trae Bell-Haynes Steal.,27,56
17:27,-1,Foul on Troy Williams.,27,56
17:27,261,Trae Bell-Haynes made Free Throw.,27,57
17:27,261,Trae Bell-Haynes missed Free Throw.,27,57
17:27,261,Payton Henson Offensive Rebound.,27,57
17:27,261,Payton Henson missed Layup.,27,57
17:27,-1,Anthony Knight Defensive Rebound.,27,57
17:15,-1,Anthony Knight Turnover.,27,57
17:14,261,Trae Bell-Haynes Steal.,27,57
17:12,261,Ernie Duncan missed Three Point Jumper.,27,57
17:12,-1,Anthony Knight Defensive Rebound.,27,57
17:05,-1,Anthony Knight missed Layup.,27,57
17:05,261,Vermont Defensive Rebound.,27,57
16:38,261,Payton Henson missed Three Point Jumper.,27,57
16:38,261,Anthony Lamb Offensive Rebound.,27,57
16:36,261,Anthony Lamb made Layup.,27,59
16:22,-1,Jarid Walton missed Jumper.,27,59
16:22,261,Anthony Lamb Block.,27,59
16:20,261,Everett Duncan Defensive Rebound.,27,59
16:15,261,Everett Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,27,62
15:59,261,Foul on Ernie Duncan.,27,62
15:59,261,Official TV Timeout,27,62
15:49,-1,Bobby Syvanthong missed Jumper.,27,62
15:49,261,Anthony Lamb Defensive Rebound.,27,62
15:32,261,Skyler Nash missed Jumper.,27,62
15:32,-1,Anthony Knight Defensive Rebound.,27,62
15:25,-1,Bobby Syvanthong made Layup.,29,62
14:57,261,Skyler Nash missed Jumper.,29,62
14:57,-1,Troy Williams Defensive Rebound.,29,62
14:50,-1,Bobby Syvanthong Turnover.,29,62
14:50,261,Samuel Dingba Steal.,29,62
14:24,261,Drew Urquhart missed Layup.,29,62
14:24,-1,Travis Harlin Defensive Rebound.,29,62
14:08,-1,Troy Williams missed Three Point Jumper.,29,62
14:08,261,Skyler Nash Defensive Rebound.,29,62
13:59,261,Ben Shungu made Layup.,29,64
13:40,-1,Bobby Syvanthong missed Three Point Jumper.,29,64
13:40,261,Drew Urquhart Defensive Rebound.,29,64
13:31,261,Skyler Nash Turnover.,29,64
13:30,-1,Jarid Walton Steal.,29,64
13:28,-1,Jarid Walton made Dunk.,31,64
13:06,261,Drew Urquhart made Layup. Assisted by Cam Ward.,31,66
12:59,-1,Anthony Knight made Layup.,33,66
12:57,261,Vermont  Timeout,33,66
12:46,261,Ben Shungu Turnover.,33,66
12:46,-1,Larry Wickett Steal.,33,66
12:43,-1,Larry Wickett made Dunk. Assisted by Anthony Knight.,35,66
12:14,261,Cam Ward missed Three Point Jumper.,35,66
12:14,-1,Anthony Knight Defensive Rebound.,35,66
12:12,261,Foul on Cam Ward.,35,66
12:00,-1,Anthony Knight missed Jumper.,35,66
12:00,261,Drew Urquhart Defensive Rebound.,35,66
11:47,-1,Foul on Anthony Knight.,35,66
11:47,261,Official TV Timeout,35,66
11:41,261,Foul on Samuel Dingba.,35,66
11:41,261,Samuel Dingba Turnover.,35,66
11:28,-1,Larry Wickett Turnover.,35,66
11:01,261,Stef Smith missed Three Point Jumper.,35,66
11:01,261,Samuel Dingba Offensive Rebound.,35,66
10:58,261,Samuel Dingba missed Layup.,35,66
10:58,-1,Troy Williams Defensive Rebound.,35,66
10:53,-1,Larry Wickett Turnover.,35,66
10:52,261,Stef Smith Steal.,35,66
10:50,261,Stef Smith made Layup.,35,68
10:50,-1,Foul on Larry Wickett.,35,68
10:50,261,Stef Smith missed Free Throw.,35,68
10:50,-1,Anthony Knight Defensive Rebound.,35,68
10:26,261,Foul on Cam Ward.,35,68
10:26,-1,James Mersereau made Free Throw.,36,68
10:26,-1,James Mersereau missed Free Throw.,36,68
10:26,261,Nate Rohrer Defensive Rebound.,36,68
10:04,261,Cam Ward missed Three Point Jumper.,36,68
10:04,261,Stef Smith Offensive Rebound.,36,68
10:00,261,Skyler Nash missed Three Point Jumper.,36,68
10:00,261,Vermont Offensive Rebound.,36,68
9:57,-1,Foul on Bobby Syvanthong.,36,68
9:43,261,Stef Smith missed Jumper.,36,68
9:43,-1,Anthony Knight Defensive Rebound.,36,68
9:34,-1,Anthony Knight made Jumper.,38,68
9:09,261,Skyler Nash made Three Point Jumper. Assisted by Stef Smith.,38,71
8:50,-1,Johnathon Caldwell made Jumper.,40,71
8:39,261,Foul on Nate Rohrer.,40,71
8:39,261,Nate Rohrer Turnover.,40,71
8:29,-1,Benson Arogbo made Layup. Assisted by Bobby Syvanthong.,42,71
8:19,261,Cam Ward Turnover.,42,71
8:19,-1,Bobby Syvanthong Steal.,42,71
8:17,-1,Bobby Syvanthong made Layup.,44,71
7:54,-1,Foul on Johnathon Caldwell.,44,71
7:54,261,Official TV Timeout,44,71
7:37,261,Stef Smith missed Three Point Jumper.,44,71
7:37,261,Samuel Dingba Offensive Rebound.,44,71
7:30,261,Samuel Dingba made Layup.,44,73
7:04,-1,Anthony Knight missed Layup.,44,73
7:04,261,Samuel Dingba Block.,44,73
7:03,261,Nate Rohrer Defensive Rebound.,44,73
7:00,-1,Foul on Bobby Syvanthong.,44,73
7:00,261,Stef Smith made Free Throw.,44,74
7:00,261,Stef Smith made Free Throw.,44,75
6:38,-1,Bobby Syvanthong Turnover.,44,75
6:23,261,Skyler Nash missed Three Point Jumper.,44,75
6:23,-1,Benson Arogbo Defensive Rebound.,44,75
6:22,261,Foul on Samuel Dingba.,44,75
6:22,-1,Benson Arogbo made Free Throw.,45,75
6:22,-1,Benson Arogbo missed Free Throw.,45,75
6:22,261,Samuel Dingba Defensive Rebound.,45,75
6:02,261,Stef Smith missed Three Point Jumper.,45,75
6:02,-1,Johnathon Caldwell Defensive Rebound.,45,75
5:56,-1,Travis Harlin missed Three Point Jumper.,45,75
5:56,261,Samuel Dingba Defensive Rebound.,45,75
5:52,261,Ben Shungu made Layup.,45,77
5:46,-1,Travis Harlin missed Jumper.,45,77
5:46,261,Skyler Nash Defensive Rebound.,45,77
5:19,-1,Foul on Johnathon Caldwell.,45,77
5:19,261,Samuel Dingba made Free Throw.,45,78
5:19,261,Samuel Dingba made Free Throw.,45,79
5:13,-1,Maine-Ft Kent  Timeout,45,79
5:01,-1,Johnathon Caldwell missed Three Point Jumper.,45,79
5:01,261,Ben Shungu Defensive Rebound.,45,79
4:44,261,Nate Rohrer made Layup. Assisted by Ben Shungu.,45,81
4:21,-1,Johnathon Caldwell made Three Point Jumper.,48,81
4:08,261,Skyler Nash Turnover.,48,81
4:07,-1,Bobby Syvanthong Steal.,48,81
3:58,261,Foul on Stef Smith.,48,81
3:58,261,Official TV Timeout,48,81
3:58,-1,Travis Harlin made Free Throw.,49,81
3:58,-1,Travis Harlin made Free Throw.,50,81
3:38,261,Stef Smith missed Jumper.,50,81
3:38,261,Samuel Dingba Offensive Rebound.,50,81
3:37,261,Samuel Dingba made Layup.,50,83
3:15,-1,Thomas Enerva Turnover.,50,83
3:01,261,David Urso missed Layup.,50,83
3:01,-1,Benson Arogbo Defensive Rebound.,50,83
2:52,-1,Larry Wickett made Jumper. Assisted by Benson Arogbo.,52,83
2:39,261,Samuel Dingba made Dunk. Assisted by David Urso.,52,85
2:27,-1,Larry Wickett missed Jumper.,52,85
2:27,261,David Urso Defensive Rebound.,52,85
2:17,-1,Foul on Benson Arogbo.,52,85
2:17,261,Stef Smith made Free Throw.,52,86
2:17,261,Stef Smith missed Free Throw.,52,86
2:17,-1,Travis Harlin Defensive Rebound.,52,86
2:06,-1,Larry Wickett missed Three Point Jumper.,52,86
2:06,261,Vermont Deadball Team Rebound.,52,86
1:47,261,Stef Smith missed Three Point Jumper.,52,86
1:47,-1,Maine-Ft Kent Defensive Rebound.,52,86
1:29,-1,Benson Arogbo missed Layup.,52,86
1:29,261,Samuel Dingba Block.,52,86
1:29,-1,Maine-Ft Kent Offensive Rebound.,52,86
1:21,-1,Travis Harlin made Jumper.,54,86
0:47,261,Samuel Dingba made Layup. Assisted by David Urso.,54,88
0:35,-1,Johnathon Caldwell missed Three Point Jumper.,54,88
0:35,261,Ben Shungu Defensive Rebound.,54,88
0:33,261,Ben Shungu made Layup.,54,90
0:11,-1,Travis Harlin missed Jumper.,54,90
0:11,261,Stef Smith Defensive Rebound.,54,90
0:00,261,End of Game,54,90
