Lafayette,163,Princeton,322
12:02,163,Ryan Schwieger missed Three Point Jumper.,11,13
12:02,322,Paulius Zalys Defensive Rebound.,11,13
11:51,322,Paulius Zalys missed Layup.,11,13
11:51,163,Amir Bell Defensive Rebound.,11,13
11:39,163,Devin Cannady missed Jumper.,11,13
11:39,322,Lukas Jarrett Defensive Rebound.,11,13
11:37,163,Foul on Devin Cannady.,11,13
11:37,163,Official TV Timeout,11,13
11:24,163,Foul on Ryan Schwieger.,11,13
11:18,322,Matt Klinewski made Layup.,13,13
11:18,163,Foul on Alec Brennan.,13,13
11:18,322,Matt Klinewski missed Free Throw.,13,13
11:18,163,Devin Cannady Defensive Rebound.,13,13
10:53,322,Foul on Kyle Stout.,13,13
10:46,163,Devin Cannady made Three Point Jumper. Assisted by Aaron Young.,13,16
10:30,322,Dylan Hastings Turnover.,13,16
10:19,163,Amir Bell missed Layup.,13,16
10:19,322,Myles Cherry Defensive Rebound.,13,16
10:04,322,Lukas Jarrett missed Layup.,13,16
10:04,163,Devin Cannady Defensive Rebound.,13,16
9:50,163,Aaron Young missed Three Point Jumper.,13,16
9:50,322,Lukas Jarrett Defensive Rebound.,13,16
9:23,322,Justin Jaworski made Three Point Jumper. Assisted by Myles Cherry.,16,16
9:12,322,Foul on Justin Jaworski.,16,16
9:00,163,Jerome Desrosiers missed Three Point Jumper.,16,16
9:00,163,Mike LeBlanc Offensive Rebound.,16,16
8:34,163,Mike LeBlanc made Three Point Jumper. Assisted by Amir Bell.,16,19
8:13,163,Foul on Aaron Young.,16,19
8:13,322,Justin Jaworski made Free Throw.,17,19
8:13,322,Justin Jaworski made Free Throw.,18,19
7:56,163,Richmond Aririguzoh missed Layup.,18,19
7:56,163,Jerome Desrosiers Offensive Rebound.,18,19
7:54,322,Foul on Eric Stafford.,18,19
7:54,163,Official TV Timeout,18,19
7:44,163,Mike LeBlanc missed Three Point Jumper.,18,19
7:44,163,Myles Stephens Offensive Rebound.,18,19
7:40,322,Foul on Paulius Zalys.,18,19
7:20,163,Amir Bell missed Jumper.,18,19
7:20,322,Justin Jaworski Defensive Rebound.,18,19
7:01,322,E.J. Stephens Turnover.,18,19
6:37,163,Mike LeBlanc Turnover.,18,19
6:36,322,Lukas Jarrett Steal.,18,19
6:12,322,Matt Klinewski made Layup.,20,19
6:02,163,Amir Bell Turnover.,20,19
6:02,163,Foul on Amir Bell.,20,19
5:49,322,Justin Jaworski missed Three Point Jumper.,20,19
5:49,163,Devin Cannady Defensive Rebound.,20,19
5:40,163,Devin Cannady missed Three Point Jumper.,20,19
5:40,322,Justin Jaworski Defensive Rebound.,20,19
5:29,322,Lukas Jarrett missed Three Point Jumper.,20,19
5:29,322,Matt Klinewski Offensive Rebound.,20,19
5:06,322,Justin Jaworski missed Three Point Jumper.,20,19
5:06,163,Noah Bramlage Defensive Rebound.,20,19
4:42,163,Myles Stephens missed Layup.,20,19
4:42,322,Matt Klinewski Defensive Rebound.,20,19
4:17,322,Alex Petrie made Three Point Jumper.,23,19
3:41,163,Jerome Desrosiers Turnover.,23,19
3:41,322,Kyle Stout Steal.,23,19
3:27,163,Foul on Jerome Desrosiers.,23,19
3:27,163,Official TV Timeout,23,19
3:27,322,Myles Cherry made Free Throw.,24,19
3:27,322,Myles Cherry made Free Throw.,25,19
3:19,322,Foul on Auston Evans.,25,19
3:19,163,Myles Stephens made Free Throw.,25,20
3:19,163,Myles Stephens made Free Throw.,25,21
2:33,322,Kyle Stout Turnover.,25,21
2:32,163,Amir Bell Steal.,25,21
2:20,163,Jose Morales made Jumper.,25,23
2:10,163,Richmond Aririguzoh made Dunk. Assisted by Amir Bell.,25,25
2:00,322,Lafayette  Timeout,25,25
1:47,322,Kyle Stout made Layup. Assisted by Lukas Jarrett.,27,25
1:25,163,Amir Bell missed Jumper.,27,25
1:25,322,E.J. Stephens Defensive Rebound.,27,25
1:17,163,Foul on Richmond Aririguzoh.,27,25
1:17,322,Matt Klinewski made Free Throw.,28,25
1:17,322,Matt Klinewski made Free Throw.,29,25
1:03,163,Jose Morales Turnover.,29,25
0:43,322,Matt Klinewski missed Layup.,29,25
0:43,163,Ryan Schwieger Block.,29,25
0:42,163,Aaron Young Defensive Rebound.,29,25
0:28,322,Foul on Lukas Jarrett.,29,25
0:28,163,Amir Bell made Free Throw.,29,26
0:28,163,Amir Bell made Free Throw.,29,27
0:06,322,Alex Petrie Turnover.,29,27
0:06,163,Princeton  Timeout,29,27
0:03,163,Amir Bell Turnover.,29,27
0:00,163,End of 1st half,29,27
19:28,322,Lafayette  Turnover.,29,27
19:20,163,Myles Stephens made Layup. Assisted by Amir Bell.,29,29
19:07,322,Kyle Stout missed Three Point Jumper.,29,29
19:07,163,Mike LeBlanc Defensive Rebound.,29,29
18:47,163,Amir Bell missed Jumper.,29,29
18:47,322,Eric Stafford Defensive Rebound.,29,29
18:40,322,Justin Jaworski Turnover.,29,29
18:25,163,Myles Stephens made Jumper.,29,31
18:15,322,Kyle Stout missed Three Point Jumper.,29,31
18:15,163,Devin Cannady Defensive Rebound.,29,31
18:03,163,Myles Stephens Turnover.,29,31
17:35,322,Lukas Jarrett missed Layup.,29,31
17:35,163,Princeton Defensive Rebound.,29,31
17:16,163,Devin Cannady missed Layup.,29,31
17:16,322,Matt Klinewski Defensive Rebound.,29,31
16:52,163,Foul on Richmond Aririguzoh.,29,31
16:51,322,E.J. Stephens made Jumper. Assisted by Lukas Jarrett.,31,31
16:30,322,Foul on Justin Jaworski.,31,31
16:26,163,Ryan Schwieger Turnover.,31,31
16:18,163,Foul on Jerome Desrosiers.,31,31
16:15,322,Justin Jaworski made Layup. Assisted by E.J. Stephens.,33,31
15:51,163,Myles Stephens Turnover.,33,31
15:51,163,Official TV Timeout,33,31
15:31,322,Matt Klinewski Turnover.,33,31
15:10,163,Sebastian Much made Layup.,33,33
14:54,322,Lukas Jarrett Turnover.,33,33
14:52,163,Amir Bell Steal.,33,33
14:50,163,Amir Bell missed Jumper.,33,33
14:50,322,Lukas Jarrett Defensive Rebound.,33,33
14:21,322,Justin Jaworski made Layup.,35,33
13:54,163,Sebastian Much made Three Point Jumper. Assisted by Devin Cannady.,35,36
13:35,322,E.J. Stephens missed Three Point Jumper.,35,36
13:35,163,Myles Stephens Defensive Rebound.,35,36
13:33,322,Foul on Myles Cherry.,35,36
13:23,163,Devin Cannady missed Three Point Jumper.,35,36
13:23,163,Mike LeBlanc Offensive Rebound.,35,36
13:14,322,Foul on Myles Cherry.,35,36
13:05,163,Sebastian Much made Three Point Jumper. Assisted by Amir Bell.,35,39
12:52,322,E.J. Stephens missed Layup.,35,39
12:52,163,Mike LeBlanc Defensive Rebound.,35,39
12:50,322,Foul on Paulius Zalys.,35,39
12:29,163,Aaron Young made Jumper.,35,41
12:17,163,Foul on Aaron Young.,35,41
12:05,322,Matt Klinewski missed Three Point Jumper.,35,41
12:05,163,Myles Stephens Defensive Rebound.,35,41
11:47,163,Aaron Young made Three Point Jumper. Assisted by Devin Cannady.,35,44
11:25,322,Alex Petrie missed Three Point Jumper.,35,44
11:25,163,Mike LeBlanc Defensive Rebound.,35,44
11:17,163,Mike LeBlanc missed Three Point Jumper.,35,44
11:17,163,Richmond Aririguzoh Offensive Rebound.,35,44
11:13,322,Foul on Myles Cherry.,35,44
11:13,163,Official TV Timeout,35,44
11:13,163,Richmond Aririguzoh missed Free Throw.,35,44
11:13,163,Princeton Deadball Team Rebound.,35,44
11:13,163,Richmond Aririguzoh made Free Throw.,35,45
10:54,322,Justin Jaworski missed Three Point Jumper.,35,45
10:54,163,Myles Stephens Defensive Rebound.,35,45
10:34,322,Foul on Matt Klinewski.,35,45
10:22,163,Mike LeBlanc made Three Point Jumper. Assisted by Aaron Young.,35,48
10:00,322,Alex Petrie made Three Point Jumper. Assisted by Paulius Zalys.,38,48
9:42,163,Myles Stephens Turnover.,38,48
9:41,322,Justin Jaworski Steal.,38,48
9:33,322,Paulius Zalys missed Three Point Jumper.,38,48
9:33,163,Devin Cannady Defensive Rebound.,38,48
9:05,163,Mike LeBlanc missed Three Point Jumper.,38,48
9:05,322,Justin Jaworski Defensive Rebound.,38,48
8:44,322,Kyle Stout missed Three Point Jumper.,38,48
8:44,163,Myles Stephens Defensive Rebound.,38,48
8:25,163,Sebastian Much made Layup.,38,50
8:09,322,Myles Cherry missed Layup.,38,50
8:09,163,Amir Bell Defensive Rebound.,38,50
7:56,163,Devin Cannady missed Layup.,38,50
7:56,322,Myles Cherry Defensive Rebound.,38,50
7:45,322,Justin Jaworski made Layup.,40,50
7:27,163,Sebastian Much missed Three Point Jumper.,40,50
7:27,322,Matt Klinewski Defensive Rebound.,40,50
7:23,322,Justin Jaworski missed Three Point Jumper.,40,50
7:23,163,Sebastian Much Defensive Rebound.,40,50
6:54,163,Myles Stephens missed Three Point Jumper.,40,50
6:54,163,Sebastian Much Offensive Rebound.,40,50
6:31,163,Devin Cannady made Three Point Jumper.,40,53
6:23,322,Lafayette  Timeout,40,53
6:23,163,Official TV Timeout,40,53
6:10,322,Matt Klinewski made Layup.,42,53
6:10,163,Foul on Richmond Aririguzoh.,42,53
6:10,163,Official TV Timeout,42,53
6:10,322,Matt Klinewski made Free Throw.,43,53
5:55,163,Myles Stephens missed Layup.,43,53
5:55,322,Lukas Jarrett Defensive Rebound.,43,53
5:38,322,Dylan Hastings Turnover.,43,53
5:38,322,Foul on Dylan Hastings.,43,53
5:28,163,Mike LeBlanc missed Layup.,43,53
5:28,322,Kyle Stout Block.,43,53
5:27,322,Eric Stafford Defensive Rebound.,43,53
5:21,322,Eric Stafford missed Three Point Jumper.,43,53
5:21,163,Mike LeBlanc Defensive Rebound.,43,53
4:55,163,Jerome Desrosiers made Three Point Jumper. Assisted by Amir Bell.,43,56
4:37,322,Matt Klinewski missed Layup.,43,56
4:37,163,Amir Bell Defensive Rebound.,43,56
4:09,163,Amir Bell made Jumper.,43,58
3:56,322,Lafayette  Timeout,43,58
3:56,163,Official TV Timeout,43,58
3:44,163,Foul on Sebastian Much.,43,58
3:29,322,Justin Jaworski missed Layup.,43,58
3:29,163,Richmond Aririguzoh Defensive Rebound.,43,58
3:11,163,Sebastian Much Turnover.,43,58
2:57,322,Alex Petrie missed Jumper.,43,58
2:57,163,Devin Cannady Defensive Rebound.,43,58
2:34,163,Myles Stephens missed Three Point Jumper.,43,58
2:34,163,Devin Cannady Offensive Rebound.,43,58
2:08,322,Foul on Lukas Jarrett.,43,58
2:08,163,Myles Stephens made Free Throw.,43,59
2:08,163,Myles Stephens missed Free Throw.,43,59
2:08,163,Ryan Schwieger Offensive Rebound.,43,59
1:54,163,Devin Cannady missed Three Point Jumper.,43,59
1:54,163,Richmond Aririguzoh Offensive Rebound.,43,59
1:51,322,Foul on Matt Klinewski.,43,59
1:51,163,Richmond Aririguzoh made Free Throw.,43,60
1:51,163,Richmond Aririguzoh missed Free Throw.,43,60
1:51,322,Myles Cherry Defensive Rebound.,43,60
1:41,322,Alex Petrie missed Three Point Jumper.,43,60
1:41,163,Princeton Defensive Rebound.,43,60
1:10,163,Jerome Desrosiers missed Three Point Jumper.,43,60
1:10,322,Myles Cherry Defensive Rebound.,43,60
0:54,322,Dylan Hastings missed Layup.,43,60
0:54,163,Ryan Schwieger Defensive Rebound.,43,60
0:46,163,Princeton  Timeout,43,60
0:23,163,Charlie Bagin missed Three Point Jumper.,43,60
0:23,322,Dylan Hastings Defensive Rebound.,43,60
0:05,322,Myles Cherry made Layup. Assisted by Cal Reichwein.,45,60
0:05,163,Foul on Jose Morales.,45,60
0:05,322,Myles Cherry made Free Throw.,46,60
0:00,163,End of Game,46,60
