Eastern Washington,2198,Eastern Kentucky,331
9:03,2198,Dedric Boyd Turnover.,18,11
8:43,331,Benas Griciunas missed Three Point Jumper.,18,11
8:43,2198,Jackson Davis Defensive Rebound.,18,11
8:22,2198,DeAndre Dishman missed Jumper.,18,11
8:22,2198,Jackson Davis Offensive Rebound.,18,11
8:17,2198,A.J. Youngman Turnover.,18,11
7:58,331,Bogdan Bliznyuk missed Three Point Jumper.,18,11
7:58,2198,A.J. Youngman Defensive Rebound.,18,11
7:39,2198,Dedric Boyd missed Layup.,18,11
7:39,331,Bogdan Bliznyuk Defensive Rebound.,18,11
7:32,331,Ty Gibson missed Three Point Jumper.,18,11
7:32,2198,Jackson Davis Defensive Rebound.,18,11
7:22,2198,Official TV Timeout,18,11
7:01,2198,Cameron Carmical missed Three Point Jumper.,18,11
7:01,331,Benas Griciunas Defensive Rebound.,18,11
6:45,331,Benas Griciunas Turnover.,18,11
6:30,2198,Nick Mayo Turnover.,18,11
6:28,331,Sir Washington Steal.,18,11
6:24,331,Bogdan Bliznyuk missed Three Point Jumper.,18,11
6:24,2198,Jackson Davis Defensive Rebound.,18,11
6:09,2198,Nick Mayo Turnover.,18,11
6:08,331,Bogdan Bliznyuk Steal.,18,11
6:05,331,Bogdan Bliznyuk missed Layup.,18,11
6:04,2198,Jackson Davis Block.,18,11
6:03,331,Benas Griciunas Offensive Rebound.,18,11
5:58,331,Benas Griciunas made Two Point Tip Shot.,20,11
5:58,2198,Eastern Kentucky  Timeout,20,11
5:37,2198,Jackson Davis missed Jumper.,20,11
5:37,331,Benas Griciunas Defensive Rebound.,20,11
5:06,331,Cody Benzel made Three Point Jumper. Assisted by Ty Gibson.,23,11
4:48,2198,Nick Mayo missed Three Point Jumper.,23,11
4:48,331,Benas Griciunas Defensive Rebound.,23,11
4:35,331,Bogdan Bliznyuk missed Three Point Jumper.,23,11
4:35,2198,Cameron Carmical Defensive Rebound.,23,11
4:20,2198,Zach Charles Turnover.,23,11
4:04,331,Benas Griciunas made Layup. Assisted by Sir Washington.,25,11
4:04,2198,Foul on Nick Mayo.,25,11
4:04,331,Benas Griciunas missed Free Throw.,25,11
4:04,2198,DeAndre Dishman Defensive Rebound.,25,11
3:43,331,Foul on Benas Griciunas.,25,11
3:43,2198,Official TV Timeout,25,11
3:32,2198,Dillon Avare missed Three Point Jumper.,25,11
3:32,331,Bogdan Bliznyuk Defensive Rebound.,25,11
3:10,331,Benas Griciunas missed Layup.,25,11
3:10,2198,Jackson Davis Defensive Rebound.,25,11
2:58,2198,Jackson Davis missed Layup.,25,11
2:58,331,Ty Gibson Defensive Rebound.,25,11
2:41,331,Sir Washington made Three Point Jumper. Assisted by Bogdan Bliznyuk.,28,11
2:22,2198,Peyton Broughton missed Jumper.,28,11
2:22,331,Eastern Washington Defensive Rebound.,28,11
2:20,2198,Foul on DeAndre Dishman.,28,11
2:20,331,Bogdan Bliznyuk made Free Throw.,29,11
2:20,331,Bogdan Bliznyuk made Free Throw.,30,11
2:04,2198,DeAndre Dishman made Layup.,30,13
2:04,331,Foul on Jesse Hunt.,30,13
2:04,2198,DeAndre Dishman missed Free Throw.,30,13
2:04,331,Jesse Hunt Defensive Rebound.,30,13
1:43,2198,Foul on A.J. Youngman.,30,13
1:43,331,Luka Vulikic missed Free Throw.,30,13
1:43,331,Eastern Washington Deadball Team Rebound.,30,13
1:43,331,Luka Vulikic made Free Throw.,31,13
1:33,331,Foul on Jesse Hunt.,31,13
1:33,2198,DeAndre Dishman missed Free Throw.,31,13
1:33,331,Eastern Washington Defensive Rebound.,31,13
1:25,2198,Foul on Peyton Broughton.,31,13
1:24,331,Bogdan Bliznyuk made Free Throw.,32,13
1:23,331,Bogdan Bliznyuk made Free Throw.,33,13
1:20,2198,Lachlan Anderson missed Layup.,33,13
1:20,331,Ty Gibson Defensive Rebound.,33,13
1:02,2198,Foul on Dillon Avare.,33,13
1:02,331,Bogdan Bliznyuk made Free Throw.,34,13
1:02,331,Bogdan Bliznyuk made Free Throw.,35,13
0:59,2198,Eastern Kentucky  Timeout,35,13
0:40,2198,Lachlan Anderson made Layup.,35,15
0:40,331,Foul on Mason Peatling.,35,15
0:40,2198,Lachlan Anderson made Free Throw.,35,16
0:29,2198,Foul on Cameron Carmical.,35,16
0:29,331,Jacob Davison made Free Throw.,36,16
0:29,331,Jacob Davison made Free Throw.,37,16
0:10,2198,Cameron Carmical Turnover.,37,16
0:10,331,Eastern Washington  Timeout,37,16
0:03,331,Sir Washington made Layup.,39,16
0:00,2198,End of 1st half,39,16
19:41,331,Benas Griciunas made Jumper. Assisted by Bogdan Bliznyuk.,41,16
19:17,331,Foul on Benas Griciunas.,41,16
19:17,2198,DeAndre Dishman missed Free Throw.,41,16
19:17,2198,Eastern Kentucky Deadball Team Rebound.,41,16
19:17,2198,DeAndre Dishman made Free Throw.,41,17
19:01,331,Benas Griciunas missed Three Point Jumper.,41,17
19:01,2198,Dedric Boyd Defensive Rebound.,41,17
18:51,2198,Nick Mayo missed Jumper.,41,17
18:51,331,Luka Vulikic Defensive Rebound.,41,17
18:41,331,Luka Vulikic missed Layup.,41,17
18:41,2198,Dedric Boyd Defensive Rebound.,41,17
18:36,331,Foul on Bogdan Bliznyuk.,41,17
18:36,2198,Peyton Broughton missed Free Throw.,41,17
18:36,2198,Eastern Kentucky Deadball Team Rebound.,41,17
18:36,2198,Peyton Broughton made Free Throw.,41,18
18:12,331,Sir Washington Turnover.,41,18
18:10,2198,Dedric Boyd Steal.,41,18
18:08,2198,Dedric Boyd missed Jumper.,41,18
18:08,2198,DeAndre Dishman Offensive Rebound.,41,18
18:04,331,Foul on Sir Washington.,41,18
18:04,2198,DeAndre Dishman missed Free Throw.,41,18
18:04,2198,Eastern Kentucky Deadball Team Rebound.,41,18
18:04,2198,DeAndre Dishman made Free Throw.,41,19
17:50,331,Ty Gibson missed Three Point Jumper.,41,19
17:50,2198,Nick Mayo Defensive Rebound.,41,19
17:32,2198,Dedric Boyd missed Jumper.,41,19
17:32,2198,Dedric Boyd Offensive Rebound.,41,19
17:25,331,Foul on Benas Griciunas.,41,19
17:25,2198,DeAndre Dishman made Free Throw.,41,20
17:25,2198,DeAndre Dishman made Free Throw.,41,21
17:05,331,Benas Griciunas made Jumper.,43,21
16:54,331,Foul on Bogdan Bliznyuk.,43,21
16:53,331,Foul on Bogdan Bliznyuk.,43,21
16:44,2198,DeAndre Dishman missed Free Throw.,43,21
16:44,2198,Eastern Kentucky Deadball Team Rebound.,43,21
16:43,2198,DeAndre Dishman made Free Throw.,43,22
16:20,331,Sir Washington made Three Point Jumper.,46,22
16:00,2198,DeAndre Dishman Turnover.,46,22
16:00,2198,Official TV Timeout,46,22
15:42,2198,Foul on DeAndre Dishman.,46,22
15:26,2198,Foul on DeAndre Dishman.,46,22
15:20,331,Luka Vulikic Turnover.,46,22
15:19,2198,Jackson Davis Steal.,46,22
15:06,2198,Dedric Boyd made Layup.,46,24
14:37,331,Luka Vulikic made Jumper.,48,24
14:36,2198,Foul on Jackson Davis.,48,24
14:36,331,Luka Vulikic made Free Throw.,49,24
14:31,2198,Dedric Boyd Turnover.,49,24
14:29,331,Mason Peatling Steal.,49,24
14:29,331,Foul on Mason Peatling.,49,24
14:29,331,Mason Peatling Turnover.,49,24
14:23,2198,Dedric Boyd missed Jumper.,49,24
14:23,331,Eastern Washington Defensive Rebound.,49,24
14:20,2198,Foul on Zach Charles.,49,24
14:20,331,Technical Foul on Eastern Washington.,49,24
14:20,2198,Dedric Boyd made Free Throw.,49,25
14:20,2198,Dedric Boyd made Free Throw.,49,26
13:58,2198,Foul on A.J. Youngman.,49,26
13:58,331,Richard Polanco made Free Throw.,50,26
13:58,331,Richard Polanco made Free Throw.,51,26
13:39,2198,Zach Charles missed Layup.,51,26
13:39,2198,Zach Charles Offensive Rebound.,51,26
13:37,2198,Zach Charles made Layup.,51,28
13:17,331,Cody Benzel missed Three Point Jumper.,51,28
13:17,2198,Jackson Davis Defensive Rebound.,51,28
13:00,2198,Jackson Davis missed Three Point Jumper.,51,28
13:00,2198,Zach Charles Offensive Rebound.,51,28
12:57,331,Foul on Richard Polanco.,51,28
12:57,2198,Zach Charles missed Free Throw.,51,28
12:57,2198,Eastern Kentucky Deadball Team Rebound.,51,28
12:57,2198,Zach Charles made Free Throw.,51,29
12:40,331,Richard Polanco made Layup. Assisted by Jesse Hunt.,53,29
12:40,2198,Foul on Jackson Davis.,53,29
12:40,331,Richard Polanco missed Free Throw.,53,29
12:40,2198,Nick Mayo Defensive Rebound.,53,29
12:33,331,Foul on Richard Polanco.,53,29
12:33,2198,Dedric Boyd made Free Throw.,53,30
12:33,2198,Dedric Boyd missed Free Throw.,53,30
12:33,331,Jesse Hunt Defensive Rebound.,53,30
12:25,331,Richard Polanco missed Layup.,53,30
12:25,2198,Nick Mayo Block.,53,30
12:23,331,Jacob Davison Offensive Rebound.,53,30
12:19,331,Jesse Hunt missed Three Point Jumper.,53,30
12:19,331,Richard Polanco Offensive Rebound.,53,30
12:15,331,Richard Polanco made Layup.,55,30
12:15,331,Foul on Richard Polanco.,55,30
12:15,2198,Technical Foul on A.J. Youngman.,55,30
12:15,2198,Dedric Boyd made Free Throw.,55,31
12:15,2198,Dedric Boyd made Free Throw.,55,32
12:03,2198,Foul on Nick Mayo.,55,32
12:03,2198,Nick Mayo Turnover.,55,32
11:47,331,Richard Polanco missed Layup.,55,32
11:47,331,Jesse Hunt Offensive Rebound.,55,32
11:42,331,Jesse Hunt made Two Point Tip Shot.,57,32
11:28,2198,Nick Mayo made Jumper.,57,34
11:07,331,Jesse Hunt missed Layup.,57,34
11:07,2198,Nick Mayo Defensive Rebound.,57,34
11:00,2198,Dedric Boyd made Jumper.,57,36
10:42,331,Jesse Hunt made Layup. Assisted by Jack Perry.,59,36
10:27,2198,Nick Mayo made Jumper.,59,38
10:09,331,Cody Benzel made Three Point Jumper. Assisted by Jack Perry.,62,38
9:48,2198,Dedric Boyd missed Jumper.,62,38
9:48,331,Eastern Washington Defensive Rebound.,62,38
9:46,2198,Foul on Zach Charles.,62,38
9:44,2198,Official TV Timeout,62,38
9:44,331,Cody Benzel made Free Throw.,63,38
9:44,331,Cody Benzel made Free Throw.,64,38
9:28,2198,Nick Mayo made Layup.,64,40
9:07,331,Cody Benzel missed Jumper.,64,40
9:07,2198,Zach Charles Defensive Rebound.,64,40
9:05,331,Foul on Jesse Hunt.,64,40
9:05,2198,Zach Charles made Free Throw.,64,41
9:05,2198,Zach Charles made Free Throw.,64,42
8:40,331,Jacob Davison made Dunk. Assisted by Jack Perry.,66,42
8:27,2198,Dedric Boyd missed Three Point Jumper.,66,42
8:27,2198,Nick Mayo Offensive Rebound.,66,42
8:23,2198,Nick Mayo made Dunk.,66,44
8:09,331,Jack Perry made Three Point Jumper. Assisted by Bogdan Bliznyuk.,69,44
7:48,2198,Dedric Boyd made Three Point Jumper.,69,47
7:29,331,Benas Griciunas made Three Point Jumper. Assisted by Bogdan Bliznyuk.,72,47
7:10,2198,Dedric Boyd missed Three Point Jumper.,72,47
7:10,331,Jacob Davison Defensive Rebound.,72,47
7:02,331,Foul on Jacob Davison.,72,47
7:02,331,Jacob Davison Turnover.,72,47
6:59,2198,Official TV Timeout,72,47
6:42,2198,Dedric Boyd missed Layup.,72,47
6:42,2198,Zach Charles Offensive Rebound.,72,47
6:37,331,Richard Polanco made Three Point Jumper. Assisted by Grant Gibb.,75,47
6:16,2198,A.J. Youngman made Three Point Jumper.,75,50
5:56,2198,Peyton Broughton missed Layup.,75,50
5:56,331,Bogdan Bliznyuk Defensive Rebound.,75,50
5:46,331,Jacob Davison missed Layup.,75,50
5:46,2198,Zach Charles Defensive Rebound.,75,50
5:41,2198,Dedric Boyd missed Jumper.,75,50
5:41,331,Benas Griciunas Defensive Rebound.,75,50
5:20,331,Ty Gibson missed Three Point Jumper.,75,50
5:20,2198,Nick Mayo Defensive Rebound.,75,50
4:53,2198,Dedric Boyd made Jumper.,75,52
4:40,331,Luka Vulikic Turnover.,75,52
4:38,2198,Zach Charles Steal.,75,52
4:36,2198,Zach Charles made Dunk.,75,54
4:27,331,Benas Griciunas made Dunk. Assisted by Luka Vulikic.,77,54
4:02,2198,Dedric Boyd missed Jumper.,77,54
4:01,331,Eastern Washington Defensive Rebound.,77,54
3:59,2198,Official TV Timeout,77,54
3:45,2198,Foul on Dillon Avare.,77,54
3:45,331,Luka Vulikic missed Free Throw.,77,54
3:45,331,Eastern Washington Deadball Team Rebound.,77,54
3:45,331,Luka Vulikic made Free Throw.,78,54
3:35,2198,Nick Mayo missed Jumper.,78,54
3:35,2198,DeAndre Dishman Offensive Rebound.,78,54
3:33,2198,DeAndre Dishman made Two Point Tip Shot.,78,56
3:33,331,Foul on Cody Benzel.,78,56
3:33,2198,DeAndre Dishman missed Free Throw.,78,56
3:33,331,Richard Polanco Defensive Rebound.,78,56
3:20,331,Cody Benzel made Three Point Jumper.,81,56
3:04,2198,Nick Mayo Turnover.,81,56
3:03,331,Richard Polanco Steal.,81,56
2:58,331,Grant Gibb missed Three Point Jumper.,81,56
2:58,331,Jacob Davison Offensive Rebound.,81,56
2:39,331,Jacob Davison missed Layup.,81,56
2:39,2198,Dillon Avare Defensive Rebound.,81,56
2:24,2198,Nick Mayo missed Jumper.,81,56
2:24,331,Jacob Davison Defensive Rebound.,81,56
2:02,2198,Foul on Nick Mayo.,81,56
2:02,331,Richard Polanco missed Free Throw.,81,56
2:02,2198,Lachlan Anderson Defensive Rebound.,81,56
1:51,331,Foul on Grant Gibb.,81,56
1:50,2198,DeAndre Dishman made Free Throw.,81,57
1:50,2198,DeAndre Dishman made Free Throw.,81,58
1:39,331,Grant Gibb missed Layup.,81,58
1:39,2198,DeAndre Dishman Defensive Rebound.,81,58
1:30,2198,Dedric Boyd missed Three Point Jumper.,81,58
1:30,331,Cody Benzel Defensive Rebound.,81,58
1:18,331,Jack Perry missed Three Point Jumper.,81,58
1:18,2198,Peyton Broughton Defensive Rebound.,81,58
1:05,2198,Peyton Broughton made Jumper.,81,60
1:04,2198,Eastern Kentucky  Timeout,81,60
0:41,331,Cody Benzel missed Three Point Jumper.,81,60
0:41,2198,DeAndre Dishman Defensive Rebound.,81,60
0:31,331,Foul on Jack Perry.,81,60
0:31,2198,Peyton Broughton made Free Throw.,81,61
0:31,2198,Peyton Broughton made Free Throw.,81,62
0:23,2198,Foul on Kirkland Humphrey.,81,62
0:23,331,Jacob Davison made Free Throw.,82,62
0:23,331,Jacob Davison made Free Throw.,83,62
0:16,2198,Peyton Broughton missed Three Point Jumper.,83,62
0:16,331,Jacob Davison Defensive Rebound.,83,62
0:00,2198,Official TV Timeout,83,62
0:00,2198,End of Game,83,62
