Mitchell College,Error,Sacred Heart,2529
4:29,2529,Foul on Chris Robinson.,31,39
4:29,-1,Steffen Brunson missed Free Throw.,31,39
4:29,-1,Mitchell College Deadball Team Rebound.,31,39
4:29,-1,Steffen Brunson made Free Throw.,32,39
4:12,2529,Sean Hoehn missed Three Point Jumper.,32,39
4:12,2529,Sean Hoehn Offensive Rebound.,32,39
4:06,2529,Sean Hoehn missed Layup.,32,39
4:06,-1,Alan Morgan Defensive Rebound.,32,39
3:59,-1,Alan Morgan Turnover.,32,39
3:58,2529,Sean Hoehn Steal.,32,39
3:54,2529,Chris Robinson missed Layup.,32,39
3:54,2529,Kinnon LaRose Offensive Rebound.,32,39
3:52,-1,Foul on Brayvon Young.,32,39
3:52,2529,Sacred Heart  Timeout,32,39
3:44,2529,Joseph Lopez Turnover.,32,39
3:44,2529,Foul on Joseph Lopez.,32,39
3:36,-1,Alan Morgan Turnover.,32,39
3:35,2529,Sean Hoehn Steal.,32,39
3:34,-1,Foul on Steffen Brunson.,32,39
3:32,2529,Sean Hoehn missed Three Point Jumper.,32,39
3:32,-1,Mitchell College Defensive Rebound.,32,39
3:11,-1,Alan Morgan made Jumper.,34,39
3:01,2529,Chris Robinson missed Three Point Jumper.,34,39
3:01,-1,Mitchell College Defensive Rebound.,34,39
2:54,-1,Tre Holmes Turnover.,34,39
2:50,2529,Sean Hoehn Turnover.,34,39
2:49,-1,Tre Holmes Steal.,34,39
2:31,-1,Domenico Santiago Turnover.,34,39
2:30,2529,Charles Tucker Jr. Steal.,34,39
2:27,2529,Sean Hoehn made Layup. Assisted by Charles Tucker Jr..,34,41
2:02,-1,Alan Morgan missed Jumper.,34,41
2:02,2529,Sacred Heart Defensive Rebound.,34,41
1:42,2529,Alex Watson missed Three Point Jumper.,34,41
1:42,-1,Domenico Santiago Defensive Rebound.,34,41
1:27,-1,Tre Holmes Turnover.,34,41
1:12,2529,E.J. Anosike missed Jumper.,34,41
1:12,-1,Hasani Williams Defensive Rebound.,34,41
0:57,-1,Colizel Lewis made Layup.,36,41
0:41,2529,Sacred Heart  Timeout,36,41
0:41,-1,Foul on Colizel Lewis.,36,41
0:36,2529,Joseph Lopez missed Jumper.,36,41
0:36,2529,Sacred Heart Offensive Rebound.,36,41
0:31,2529,Mario Matasovic missed Jumper.,36,41
0:31,2529,E.J. Anosike Offensive Rebound.,36,41
0:28,2529,E.J. Anosike missed Layup.,36,41
0:28,2529,Zach Radz Offensive Rebound.,36,41
0:05,2529,Zach Radz missed Jumper.,36,41
0:05,2529,E.J. Anosike Offensive Rebound.,36,41
0:01,2529,E.J. Anosike made Two Point Tip Shot.,36,43
0:00,2529,End of 1st half,36,43
19:53,2529,Kinnon LaRose missed Three Point Jumper.,36,43
19:53,2529,Joseph Lopez Offensive Rebound.,36,43
19:49,2529,Joseph Lopez made Layup.,36,45
19:35,-1,Hasani Williams missed Jumper.,36,45
19:35,2529,Kinnon LaRose Defensive Rebound.,36,45
19:28,2529,Mario Matasovic missed Layup.,36,45
19:28,-1,Brayvon Young Defensive Rebound.,36,45
19:21,-1,Brayvon Young Turnover.,36,45
19:06,2529,Mario Matasovic made Jumper.,36,47
18:52,2529,Foul on Joseph Lopez.,36,47
18:36,-1,Domenico Santiago made Jumper.,38,47
18:09,2529,Kinnon LaRose missed Jumper.,38,47
18:09,-1,Domenico Santiago Defensive Rebound.,38,47
17:54,-1,Brayvon Young Turnover.,38,47
17:52,2529,Mario Matasovic Steal.,38,47
17:50,2529,Kinnon LaRose made Layup. Assisted by Mario Matasovic.,38,49
17:33,-1,Brayvon Young missed Three Point Jumper.,38,49
17:33,2529,Kinnon LaRose Defensive Rebound.,38,49
17:25,2529,Kinnon LaRose missed Three Point Jumper.,38,49
17:25,2529,Mario Matasovic Offensive Rebound.,38,49
17:20,2529,Mario Matasovic made Layup.,38,51
17:05,-1,Domenico Santiago Turnover.,38,51
17:03,2529,Mario Matasovic Steal.,38,51
17:03,-1,Foul on Steffen Brunson.,38,51
16:52,-1,Foul on Domenico Santiago.,38,51
16:52,2529,Joseph Lopez missed Free Throw.,38,51
16:52,2529,Sacred Heart Deadball Team Rebound.,38,51
16:52,2529,Joseph Lopez missed Free Throw.,38,51
16:52,-1,Brayvon Young Defensive Rebound.,38,51
16:45,2529,Foul on Sean Hoehn.,38,51
16:45,-1,Steffen Brunson made Free Throw.,39,51
16:45,-1,Steffen Brunson made Free Throw.,40,51
16:31,-1,Foul on Hasani Williams.,40,51
16:23,2529,Sean Hoehn missed Layup.,40,51
16:23,2529,Joseph Lopez Offensive Rebound.,40,51
16:21,2529,Joseph Lopez made Layup.,40,53
15:57,-1,Steffen Brunson missed Jumper.,40,53
15:57,2529,Mario Matasovic Defensive Rebound.,40,53
15:43,2529,Sacred Heart  Timeout,40,53
15:31,2529,Kinnon LaRose Turnover.,40,53
15:18,-1,Domenico Santiago made Layup. Assisted by Steffen Brunson.,42,53
14:49,2529,Sean Hoehn made Three Point Jumper. Assisted by Zach Radz.,42,56
14:28,-1,Mack Bertram missed Jumper.,42,56
14:28,-1,Hasani Williams Offensive Rebound.,42,56
14:03,-1,Hasani Williams missed Jumper.,42,56
14:03,-1,Nick Rogers Offensive Rebound.,42,56
13:52,-1,Gemel McLeod missed Jumper.,42,56
13:52,2529,E.J. Anosike Defensive Rebound.,42,56
13:42,2529,Alex Watson missed Jumper.,42,56
13:42,-1,Domenico Santiago Defensive Rebound.,42,56
13:34,2529,Foul on Alex Watson.,42,56
13:31,-1,Mack Bertram Turnover.,42,56
13:16,2529,E.J. Anosike missed Jumper.,42,56
13:16,2529,Zach Radz Offensive Rebound.,42,56
13:09,2529,Zach Radz missed Three Point Jumper.,42,56
13:09,2529,Mario Matasovic Offensive Rebound.,42,56
13:05,2529,Mario Matasovic missed Layup.,42,56
13:05,2529,E.J. Anosike Offensive Rebound.,42,56
13:02,2529,E.J. Anosike made Two Point Tip Shot.,42,58
12:50,-1,Colizel Lewis missed Jumper.,42,58
12:50,2529,Mario Matasovic Defensive Rebound.,42,58
12:41,2529,Alex Watson missed Three Point Jumper.,42,58
12:41,-1,Colizel Lewis Defensive Rebound.,42,58
12:22,-1,Steffen Brunson missed Three Point Jumper.,42,58
12:22,-1,Domenico Santiago Offensive Rebound.,42,58
12:17,-1,Domenico Santiago missed Layup.,42,58
12:17,2529,E.J. Anosike Defensive Rebound.,42,58
12:11,-1,Foul on Steffen Brunson.,42,58
11:49,2529,Zach Radz missed Three Point Jumper.,42,58
11:49,2529,Mario Matasovic Offensive Rebound.,42,58
11:46,-1,Foul on Hasani Williams.,42,58
11:41,2529,Alex Watson made Layup.,42,60
11:16,-1,Hasani Williams missed Three Point Jumper.,42,60
11:16,2529,Alex Watson Defensive Rebound.,42,60
11:13,-1,Foul on Matt Finke.,42,60
11:00,-1,Foul on Domenico Santiago.,42,60
11:00,2529,Zach Radz missed Free Throw.,42,60
11:00,2529,Sacred Heart Deadball Team Rebound.,42,60
11:00,2529,Zach Radz made Free Throw.,42,61
10:35,2529,Foul on E.J. Anosike.,42,61
10:26,2529,E.J. Anosike Defensive Rebound.,42,61
10:26,-1,Domenico Santiago missed Jumper.,42,61
10:26,2529,Joseph Lopez Block.,42,61
10:20,2529,E.J. Anosike Turnover.,42,61
10:20,2529,Foul on E.J. Anosike.,42,61
10:01,-1,Mack Bertram missed Three Point Jumper.,42,61
10:01,-1,Hasani Williams Offensive Rebound.,42,61
9:57,-1,Hasani Williams missed Layup.,42,61
9:57,2529,E.J. Anosike Defensive Rebound.,42,61
9:41,-1,Foul on Hasani Williams.,42,61
9:41,2529,Charles Tucker Jr. missed Free Throw.,42,61
9:41,2529,Sacred Heart Deadball Team Rebound.,42,61
9:41,2529,Charles Tucker Jr. missed Free Throw.,42,61
9:41,-1,Domenico Santiago Defensive Rebound.,42,61
9:40,2529,Foul on Joseph Lopez.,42,61
9:28,-1,Domenico Santiago made Jumper.,44,61
8:57,2529,Joseph Lopez missed Jumper.,44,61
8:57,-1,Domenico Santiago Block.,44,61
8:55,-1,Brayvon Young Defensive Rebound.,44,61
8:50,-1,Hasani Williams made Jumper. Assisted by Matt Finke.,46,61
8:50,2529,Foul on Charles Tucker Jr..,46,61
8:50,-1,Brayvon Young made Free Throw.,47,61
8:33,2529,E.J. Anosike made Layup.,47,63
8:25,-1,Brayvon Young missed Layup.,47,63
8:25,2529,Alex Watson Defensive Rebound.,47,63
8:18,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,47,65
8:01,-1,Colizel Lewis missed Jumper.,47,65
8:01,-1,Domenico Santiago Offensive Rebound.,47,65
7:47,-1,Hasani Williams Turnover.,47,65
7:47,2529,Official TV Timeout,47,65
7:37,2529,Foul on E.J. Anosike.,47,65
7:37,2529,E.J. Anosike Turnover.,47,65
7:21,-1,Marvin Baker Turnover.,47,65
7:19,2529,Alex Watson Steal.,47,65
7:15,2529,Alex Watson missed Layup.,47,65
7:15,2529,E.J. Anosike Offensive Rebound.,47,65
7:12,2529,E.J. Anosike made Two Point Tip Shot.,47,67
7:07,2529,Foul on Alex Watson.,47,67
7:07,-1,Colizel Lewis made Free Throw.,48,67
7:07,-1,Colizel Lewis missed Free Throw.,48,67
7:07,2529,E.J. Anosike Defensive Rebound.,48,67
6:49,2529,E.J. Anosike made Layup.,48,69
6:37,-1,Colizel Lewis missed Three Point Jumper.,48,69
6:37,2529,E.J. Anosike Defensive Rebound.,48,69
6:24,2529,E.J. Anosike Turnover.,48,69
6:21,-1,Marvin Baker Steal.,48,69
6:10,-1,Domenico Santiago missed Jumper.,48,69
6:10,2529,E.J. Anosike Defensive Rebound.,48,69
6:01,2529,Joseph Lopez missed Layup.,48,69
6:01,-1,Matt Finke Defensive Rebound.,48,69
5:45,-1,Domenico Santiago made Jumper.,50,69
5:32,-1,Foul on Steffen Brunson.,50,69
5:32,2529,Kinnon LaRose made Free Throw.,50,70
5:32,2529,Kinnon LaRose made Free Throw.,50,71
5:19,2529,Foul on Kinnon LaRose.,50,71
5:19,-1,Hasani Williams missed Free Throw.,50,71
5:19,-1,Mitchell College Deadball Team Rebound.,50,71
5:19,-1,Hasani Williams missed Free Throw.,50,71
5:19,2529,Mario Matasovic Defensive Rebound.,50,71
4:59,2529,Mario Matasovic made Layup.,50,73
4:51,-1,Hasani Williams made Jumper.,52,73
4:30,2529,Sean Hoehn made Three Point Jumper.,52,76
4:17,-1,Hasani Williams missed Jumper.,52,76
4:17,2529,Alex Watson Defensive Rebound.,52,76
4:11,2529,Alex Watson Turnover.,52,76
4:09,-1,Colizel Lewis Steal.,52,76
4:05,-1,Hasani Williams missed Jumper.,52,76
4:05,-1,Matt Finke Offensive Rebound.,52,76
4:01,2529,Foul on Jaecee Martin.,52,76
4:01,-1,Matt Finke made Free Throw.,53,76
4:01,-1,Matt Finke missed Free Throw.,53,76
4:01,2529,Mario Matasovic Defensive Rebound.,53,76
3:54,2529,Sean Hoehn made Jumper.,53,78
3:38,-1,Matt Finke Turnover.,53,78
3:38,2529,Official TV Timeout,53,78
3:30,2529,Jaecee Martin Turnover.,53,78
3:27,-1,Mack Bertram Steal.,53,78
3:25,-1,Hasani Williams made Layup. Assisted by Matt Finke.,55,78
3:12,-1,Foul on Hasani Williams.,55,78
3:12,2529,Jaecee Martin missed Free Throw.,55,78
3:12,2529,Sacred Heart Deadball Team Rebound.,55,78
3:12,2529,Jaecee Martin missed Free Throw.,55,78
3:12,-1,Brayvon Young Defensive Rebound.,55,78
2:57,-1,Matt Finke missed Jumper.,55,78
2:57,2529,Mario Matasovic Defensive Rebound.,55,78
2:40,2529,Mario Matasovic made Three Point Jumper. Assisted by Jaecee Martin.,55,81
2:28,-1,Tre Holmes missed Jumper.,55,81
2:28,-1,Hasani Williams Offensive Rebound.,55,81
2:21,-1,Mitchell College  Timeout,55,81
2:03,-1,Tre Holmes Turnover.,55,81
2:01,2529,Sean Hoehn Steal.,55,81
2:00,-1,Foul on Tre Holmes.,55,81
2:00,2529,Sean Hoehn missed Free Throw.,55,81
2:00,2529,Sacred Heart Deadball Team Rebound.,55,81
2:00,2529,Sean Hoehn made Free Throw.,55,82
1:49,2529,Foul on Sean Hoehn.,55,82
1:49,-1,Matt Finke made Free Throw.,56,82
1:49,-1,Matt Finke made Free Throw.,57,82
1:43,2529,Joseph Lopez missed Jumper.,57,82
1:43,2529,E.J. Anosike Offensive Rebound.,57,82
1:41,2529,E.J. Anosike Turnover.,57,82
1:33,-1,Marvin Baker made Jumper. Assisted by Gemel McLeod.,59,82
1:06,2529,Alex Watson missed Three Point Jumper.,59,82
1:06,2529,E.J. Anosike Offensive Rebound.,59,82
1:01,2529,E.J. Anosike missed Jumper.,59,82
1:01,2529,Alex Watson Offensive Rebound.,59,82
0:58,2529,Alex Watson made Layup.,59,84
0:41,2529,Foul on Cavan LaRose.,59,84
0:41,-1,Luis Rivera missed Free Throw.,59,84
0:41,-1,Mitchell College Deadball Team Rebound.,59,84
0:41,-1,Luis Rivera made Free Throw.,60,84
0:21,2529,Jaecee Martin missed Jumper.,60,84
0:21,-1,Luis Rivera Defensive Rebound.,60,84
0:05,-1,Gemel McLeod missed Layup.,60,84
0:05,2529,Alex Watson Block.,60,84
0:03,2529,Jaecee Martin Defensive Rebound.,60,84
0:00,2529,End of Game,60,84
