Texas State,2029,Arkansas-Pine Bluff,326
2:55,326,Nedeljko Prijovic missed Three Point Jumper.,65,51
2:55,326,Nijal Pearson Offensive Rebound.,65,51
2:23,326,Nedeljko Prijovic missed Three Point Jumper.,65,51
2:23,326,Immanuel King Offensive Rebound.,65,51
2:03,2029,Foul on Travon Harper.,65,51
2:03,326,Immanuel King missed Free Throw.,65,51
2:03,326,Texas State Deadball Team Rebound.,65,51
2:03,326,Immanuel King made Free Throw.,66,51
1:51,2029,Cameron Posey missed Jumper.,66,51
1:51,2029,Joe'Randle Toliver Offensive Rebound.,66,51
1:39,2029,Charles Jackson made Jumper.,66,53
1:08,326,Nijal Pearson missed Three Point Jumper.,66,53
1:08,2029,Charles Jackson Defensive Rebound.,66,53
1:01,2029,Arkansas-Pine Bluff  Timeout,66,53
0:50,326,Foul on Eric Terry.,66,53
0:50,2029,Trent Steen missed Free Throw.,66,53
0:50,2029,Arkansas-Pine Bluff Deadball Team Rebound.,66,53
0:50,2029,Trent Steen made Free Throw.,66,54
0:27,326,Eric Terry made Layup.,68,54
0:27,2029,Foul on Travon Harper.,68,54
0:27,326,Eric Terry missed Free Throw.,68,54
0:27,2029,Travon Harper Defensive Rebound.,68,54
0:18,2029,Travon Harper missed Three Point Jumper.,68,54
0:18,326,Reggie Miller Defensive Rebound.,68,54
0:07,2029,Foul on Trent Steen.,68,54
0:07,2029,Technical Foul on Trent Steen.,68,54
0:07,326,Shelby Adams made Free Throw.,69,54
0:07,326,Shelby Adams missed Free Throw.,69,54
0:07,326,Texas State Deadball Team Rebound.,69,54
0:07,326,Shelby Adams made Free Throw.,70,54
0:07,326,Shelby Adams made Free Throw.,71,54
0:00,2029,End of 2nd half,71,54
0:00,2029,End of Game,71,54
