North Carolina Central,2253,Grand Canyon,2428
10:23,2428,Reginald Gardner Jr made Free Throw.,15,16
10:03,2253,Roberts Blumbergs made Three Point Jumper. Assisted by Shaq Carr.,15,19
9:47,2428,Alston Jones missed Layup.,15,19
9:47,2253,Matt Jackson Defensive Rebound.,15,19
9:37,2253,Gerard Martin missed Three Point Jumper.,15,19
9:37,2253,Matt Jackson Offensive Rebound.,15,19
9:26,2253,Matt Jackson made Jumper.,15,21
8:52,2428,Raasean Davis made Jumper. Assisted by Jordan Perkins.,17,21
8:23,2253,Roberts Blumbergs missed Three Point Jumper.,17,21
8:23,2428,North Carolina Central Defensive Rebound.,17,21
8:07,2253,Foul on Oscar Frayer.,17,21
8:03,2428,Pablo Rivas missed Layup.,17,21
8:03,2428,Raasean Davis Offensive Rebound.,17,21
8:00,2428,Raasean Davis made Dunk.,19,21
7:35,2253,Shaq Carr made Layup.,19,23
7:35,2428,Foul on Jordan Perkins.,19,23
7:35,2253,Official TV Timeout,19,23
7:35,2253,Shaq Carr made Free Throw.,19,24
7:17,2428,Reginald Gardner Jr made Three Point Jumper.,22,24
6:47,2253,Keonta Vernon made Dunk. Assisted by Shaq Carr.,22,26
6:19,2253,Foul on Keonta Vernon.,22,26
6:19,2428,Raasean Davis made Free Throw.,23,26
6:19,2428,Raasean Davis missed Free Throw.,23,26
6:19,2253,Roberts Blumbergs Defensive Rebound.,23,26
5:58,2253,Shaq Carr missed Layup.,23,26
5:58,2428,Raasean Davis Defensive Rebound.,23,26
5:51,2428,Pablo Rivas made Layup. Assisted by Jordan Perkins.,25,26
5:25,2428,Foul on Pablo Rivas.,25,26
5:09,2253,Joshua Braun made Layup. Assisted by Alessandro Lever.,25,28
4:42,2428,Jordan Perkins Turnover.,25,28
4:19,2253,Joshua Braun made Layup.,25,30
4:03,2253,Foul on Fiifi Aidoo.,25,30
3:52,2253,Foul on Shaq Carr.,25,30
3:52,2253,Official TV Timeout,25,30
3:52,2428,Raasean Davis made Free Throw.,26,30
3:52,2428,Raasean Davis made Free Throw.,27,30
3:22,2253,Fiifi Aidoo made Three Point Jumper. Assisted by Casey Benson.,27,33
2:50,2428,Pablo Rivas missed Three Point Jumper.,27,33
2:50,2253,Casey Benson Defensive Rebound.,27,33
2:32,2253,Matt Jackson missed Three Point Jumper.,27,33
2:32,2253,Joshua Braun Offensive Rebound.,27,33
2:26,2253,Joshua Braun missed Layup.,27,33
2:26,2253,Joshua Braun Offensive Rebound.,27,33
2:11,2253,Fiifi Aidoo missed Three Point Jumper.,27,33
2:11,2428,Reginald Gardner Jr Defensive Rebound.,27,33
1:55,2428,Pablo Rivas missed Three Point Jumper.,27,33
1:55,2253,Matt Jackson Defensive Rebound.,27,33
1:48,2428,Foul on Jordan Perkins.,27,33
1:45,2253,Casey Benson made Layup.,27,35
1:23,2428,Brandon Goldsmith missed Layup.,27,35
1:23,2253,Joshua Braun Defensive Rebound.,27,35
0:55,2253,Joshua Braun made Three Point Jumper. Assisted by Fiifi Aidoo.,27,38
0:45,2428,North Carolina Central  Timeout,27,38
0:31,2428,Reginald Gardner Jr made Layup. Assisted by Raasean Davis.,29,38
0:31,2253,Foul on Fiifi Aidoo.,29,38
0:31,2428,Reginald Gardner Jr made Free Throw.,30,38
0:05,2253,Gerard Martin missed Three Point Jumper.,30,38
0:05,2428,Brandon Goldsmith Defensive Rebound.,30,38
0:00,2253,End of 1st half,30,38
19:50,2428,Reginald Gardner Jr missed Jumper.,30,38
19:50,2428,Raasean Davis Offensive Rebound.,30,38
19:48,2253,Foul on Keonta Vernon.,30,38
19:33,2428,Raasean Davis missed Dunk.,30,38
19:33,2253,Keonta Vernon Defensive Rebound.,30,38
19:26,2253,Joshua Braun missed Three Point Jumper.,30,38
19:26,2428,Reginald Gardner Jr Defensive Rebound.,30,38
19:16,2428,Pablo Rivas made Layup. Assisted by Jordan Perkins.,32,38
19:02,2253,Alessandro Lever missed Jumper.,32,38
19:02,2428,Pablo Rivas Defensive Rebound.,32,38
18:48,2428,Jordan Perkins Turnover.,32,38
18:28,2253,Casey Benson missed Layup.,32,38
18:28,2253,Keonta Vernon Offensive Rebound.,32,38
18:25,2253,Keonta Vernon missed Dunk.,32,38
18:25,2253,Joshua Braun Offensive Rebound.,32,38
18:18,2253,Joshua Braun made Layup. Assisted by Casey Benson.,32,40
18:18,2428,Foul on Pablo Rivas.,32,40
18:18,2253,Joshua Braun made Free Throw.,32,41
18:08,2428,Jordan Perkins Turnover.,32,41
17:50,2253,Alessandro Lever Turnover.,32,41
17:48,2428,Pablo Rivas Steal.,32,41
17:44,2428,Brandon Goldsmith missed Layup.,32,41
17:44,2253,Alessandro Lever Defensive Rebound.,32,41
17:35,2253,Joshua Braun made Dunk. Assisted by Casey Benson.,32,43
17:10,2428,Raasean Davis Turnover.,32,43
16:48,2253,Casey Benson missed Three Point Jumper.,32,43
16:48,2428,Raasean Davis Defensive Rebound.,32,43
16:20,2428,Alston Jones made Layup.,34,43
15:59,2428,Foul on Brandon Goldsmith.,34,43
15:59,2253,Official TV Timeout,34,43
15:59,2253,Keonta Vernon missed Free Throw.,34,43
15:59,2253,Grand Canyon Deadball Team Rebound.,34,43
15:59,2253,Keonta Vernon made Free Throw.,34,44
15:37,2428,Jordan Perkins Turnover.,34,44
15:36,2253,Fiifi Aidoo Steal.,34,44
15:07,2253,Casey Benson missed Jumper.,34,44
15:07,2428,North Carolina Central Defensive Rebound.,34,44
14:50,2428,Alston Jones made Layup.,36,44
14:26,2253,Keonta Vernon missed Jumper.,36,44
14:26,2428,Brandon Goldsmith Defensive Rebound.,36,44
14:17,2428,Alston Jones missed Layup.,36,44
14:17,2253,Casey Benson Defensive Rebound.,36,44
13:57,2253,Roberts Blumbergs made Layup. Assisted by Fiifi Aidoo.,36,46
13:39,2428,Pablo Rivas made Three Point Jumper. Assisted by Jordan Perkins.,39,46
13:16,2253,Joshua Braun made Three Point Jumper. Assisted by Casey Benson.,39,49
12:59,2428,Pablo Rivas made Layup. Assisted by Alston Jones.,41,49
12:49,2253,Keonta Vernon Turnover.,41,49
12:37,2428,Raasean Davis Turnover.,41,49
12:21,2253,Fiifi Aidoo missed Three Point Jumper.,41,49
12:21,2253,Roberts Blumbergs Offensive Rebound.,41,49
12:17,2428,Foul on Pablo Rivas.,41,49
12:17,2253,Roberts Blumbergs made Free Throw.,41,50
12:17,2253,Roberts Blumbergs made Free Throw.,41,51
12:10,2428,Brandon Goldsmith missed Layup.,41,51
12:10,2428,Dominique Reid Offensive Rebound.,41,51
12:07,2253,Foul on Matt Jackson.,41,51
12:07,2428,Dominique Reid made Free Throw.,42,51
12:07,2428,Dominique Reid missed Free Throw.,42,51
12:07,2253,Matt Jackson Defensive Rebound.,42,51
11:47,2253,Matt Jackson missed Jumper.,42,51
11:47,2428,Pablo Rivas Defensive Rebound.,42,51
11:37,2428,Dominique Reid missed Layup.,42,51
11:37,2428,Pablo Rivas Offensive Rebound.,42,51
11:31,2428,Pablo Rivas made Layup.,44,51
11:11,2428,Foul on Brandon Goldsmith.,44,51
11:11,2253,Official TV Timeout,44,51
10:53,2253,Shaq Carr missed Three Point Jumper.,44,51
10:53,2428,Dominique Reid Defensive Rebound.,44,51
10:49,2253,Foul on Oscar Frayer.,44,51
10:31,2428,Dominique Reid Turnover.,44,51
10:11,2253,Oscar Frayer missed Three Point Jumper.,44,51
10:11,2253,Shaq Carr Offensive Rebound.,44,51
9:50,2253,Roberts Blumbergs missed Three Point Jumper.,44,51
9:50,2428,Brandon Goldsmith Defensive Rebound.,44,51
9:26,2253,Foul on Shaq Carr.,44,51
9:26,2428,Brandon Goldsmith made Free Throw.,45,51
9:26,2428,Brandon Goldsmith made Free Throw.,46,51
9:23,2428,Foul on Alston Jones.,46,51
8:58,2253,Joshua Braun missed Three Point Jumper.,46,51
8:58,2428,Jordan Perkins Defensive Rebound.,46,51
8:45,2428,Foul on Alston Jones.,46,51
8:45,2428,Alston Jones Turnover.,46,51
8:15,2253,Oscar Frayer Turnover.,46,51
7:58,2428,Brandon Goldsmith missed Three Point Jumper.,46,51
7:58,2253,Joshua Braun Defensive Rebound.,46,51
7:34,2253,Shaq Carr missed Three Point Jumper.,46,51
7:34,2428,Jordan Perkins Defensive Rebound.,46,51
7:27,2428,Jordan Perkins missed Layup.,46,51
7:27,2428,North Carolina Central Offensive Rebound.,46,51
7:26,2253,Official TV Timeout,46,51
7:18,2428,Brandon Goldsmith made Layup. Assisted by Reginald Gardner Jr.,48,51
7:18,2253,Foul on Keonta Vernon.,48,51
7:18,2428,Brandon Goldsmith missed Free Throw.,48,51
7:18,2253,Keonta Vernon Defensive Rebound.,48,51
6:51,2253,Gerard Martin made Three Point Jumper. Assisted by Shaq Carr.,48,54
6:22,2428,Dominique Reid missed Jumper.,48,54
6:22,2253,Gerard Martin Defensive Rebound.,48,54
5:56,2253,Joshua Braun missed Three Point Jumper.,48,54
5:56,2428,Brandon Goldsmith Defensive Rebound.,48,54
5:25,2428,Alston Jones made Layup.,50,54
4:57,2253,Joshua Braun missed Layup.,50,54
4:57,2253,Keonta Vernon Offensive Rebound.,50,54
4:55,2428,Foul on Dominique Reid.,50,54
4:55,2253,Keonta Vernon missed Free Throw.,50,54
4:55,2253,Grand Canyon Deadball Team Rebound.,50,54
4:55,2253,Keonta Vernon made Free Throw.,50,55
4:51,2253,Foul on Gerard Martin.,50,55
4:48,2428,North Carolina Central  Timeout,50,55
4:35,2253,Foul on Shaq Carr.,50,55
4:35,2428,Alston Jones made Free Throw.,51,55
4:35,2428,Alston Jones made Free Throw.,52,55
4:14,2253,Casey Benson missed Three Point Jumper.,52,55
4:14,2253,Keonta Vernon Offensive Rebound.,52,55
4:11,2428,Foul on Raasean Davis.,52,55
4:11,2253,Keonta Vernon made Free Throw.,52,56
4:11,2253,Keonta Vernon missed Free Throw.,52,56
4:11,2428,Pablo Rivas Defensive Rebound.,52,56
3:51,2428,Alston Jones missed Jumper.,52,56
3:51,2253,Joshua Braun Defensive Rebound.,52,56
3:29,2253,Shaq Carr made Layup.,52,58
3:03,2428,Alston Jones missed Layup.,52,58
3:03,2428,Raasean Davis Offensive Rebound.,52,58
3:00,2428,Raasean Davis made Layup.,54,58
2:58,2253,Official TV Timeout,54,58
2:38,2253,Gerard Martin missed Three Point Jumper.,54,58
2:38,2428,Pablo Rivas Defensive Rebound.,54,58
2:11,2428,Raasean Davis made Layup. Assisted by Alston Jones.,56,58
2:10,2253,Foul on Keonta Vernon.,56,58
2:10,2428,Raasean Davis made Free Throw.,57,58
2:00,2253,Keonta Vernon missed Layup.,57,58
2:00,2428,Pablo Rivas Defensive Rebound.,57,58
1:37,2428,Raasean Davis Turnover.,57,58
1:16,2253,Joshua Braun missed Layup.,57,58
1:16,2253,Joshua Braun Offensive Rebound.,57,58
1:12,2428,Foul on Jordan Perkins.,57,58
1:12,2253,Joshua Braun made Free Throw.,57,59
1:12,2253,Joshua Braun made Free Throw.,57,60
1:01,2428,North Carolina Central  Timeout,57,60
0:44,2428,Pablo Rivas made Layup. Assisted by Raasean Davis.,59,60
0:16,2253,Casey Benson missed Layup.,59,60
0:16,2428,Raasean Davis Defensive Rebound.,59,60
0:14,2253,Foul on Keonta Vernon.,59,60
0:14,2428,Raasean Davis missed Free Throw.,59,60
0:14,2253,Roberts Blumbergs Defensive Rebound.,59,60
0:10,2428,Foul on Alston Jones.,59,60
0:10,2253,Casey Benson made Free Throw.,59,61
0:10,2253,Casey Benson made Free Throw.,59,62
0:04,2428,Reginald Gardner Jr missed Three Point Jumper.,59,62
0:04,2253,Casey Benson Defensive Rebound.,59,62
0:01,2428,Foul on Raasean Davis.,59,62
0:01,2253,Casey Benson made Free Throw.,59,63
0:01,2253,Casey Benson made Free Throw.,59,64
0:00,2253,End of 2nd half,59,62
0:00,2253,End of Game,59,64
