Siena,261,Vermont,2561
15:36,2561,Nico Clareth made Three Point Jumper. Assisted by Roman Penn.,34,49
15:32,261,Anthony Lamb missed Layup.,34,49
15:32,2561,Nico Clareth Defensive Rebound.,34,49
15:32,261,Official TV Timeout,34,49
15:10,2561,Ahsante Shivers made Jumper.,36,49
14:38,261,Cam Ward missed Three Point Jumper.,36,49
14:38,2561,Roman Penn Defensive Rebound.,36,49
14:33,2561,Nico Clareth missed Three Point Jumper.,36,49
14:33,261,Stef Smith Defensive Rebound.,36,49
14:15,261,Cam Ward Turnover.,36,49
14:14,2561,Roman Penn Steal.,36,49
14:00,2561,Roman Penn Turnover.,36,49
13:33,261,Drew Urquhart made Three Point Jumper. Assisted by Stef Smith.,36,52
13:18,261,Foul on Everett Duncan.,36,52
13:15,2561,Ahsante Shivers Turnover.,36,52
13:14,261,Nate Rohrer Steal.,36,52
13:11,261,Drew Urquhart missed Layup.,36,52
13:11,261,Trae Bell-Haynes Offensive Rebound.,36,52
13:10,261,Trae Bell-Haynes made Layup.,36,54
12:58,2561,Manny Camper missed Three Point Jumper.,36,54
12:58,261,Drew Urquhart Defensive Rebound.,36,54
12:36,261,Stef Smith made Three Point Jumper. Assisted by Ernie Duncan.,36,57
12:05,2561,Khalil Richard made Jumper. Assisted by Prince Oduro.,38,57
11:50,261,Nate Rohrer made Layup. Assisted by Ernie Duncan.,38,59
11:50,2561,Foul on Evan Fisher.,38,59
11:50,261,Official TV Timeout,38,59
11:50,261,Nate Rohrer made Free Throw.,38,60
11:18,2561,Khalil Richard missed Three Point Jumper.,38,60
11:18,261,Drew Urquhart Defensive Rebound.,38,60
11:14,261,Stef Smith made Layup.,38,62
11:14,2561,Foul on Khalil Richard.,38,62
11:14,261,Stef Smith missed Free Throw.,38,62
11:14,2561,Evan Fisher Defensive Rebound.,38,62
11:05,2561,Sammy Friday missed Layup.,38,62
11:05,261,Drew Urquhart Block.,38,62
11:05,261,Nate Rohrer Defensive Rebound.,38,62
11:00,261,Stef Smith made Dunk. Assisted by Nate Rohrer.,38,64
10:44,261,Foul on Stef Smith.,38,64
10:31,261,Foul on Ernie Duncan.,38,64
10:25,2561,Nico Clareth missed Three Point Jumper.,38,64
10:25,2561,Prince Oduro Offensive Rebound.,38,64
10:13,2561,Prince Oduro Turnover.,38,64
10:13,261,Trae Bell-Haynes Steal.,38,64
10:13,261,Trae Bell-Haynes Turnover.,38,64
9:56,2561,Ahsante Shivers made Layup.,40,64
9:56,261,Foul on Drew Urquhart.,40,64
9:56,2561,Ahsante Shivers missed Free Throw.,40,64
9:56,2561,Ahsante Shivers Offensive Rebound.,40,64
9:55,261,Foul on Ben Shungu.,40,64
9:55,2561,Ahsante Shivers made Free Throw.,41,64
9:55,2561,Ahsante Shivers made Free Throw.,42,64
9:47,261,Ernie Duncan made Layup. Assisted by Stef Smith.,42,66
9:39,2561,Nico Clareth missed Layup.,42,66
9:39,261,Trae Bell-Haynes Defensive Rebound.,42,66
9:34,2561,Foul on Ahsante Shivers.,42,66
9:31,2561,Foul on Kevin Degnan.,42,66
9:31,261,Trae Bell-Haynes made Free Throw.,42,67
9:31,261,Trae Bell-Haynes missed Free Throw.,42,67
9:31,2561,Siena Defensive Rebound.,42,67
9:07,2561,Kadeem Smithen missed Layup.,42,67
9:07,2561,Ahsante Shivers Offensive Rebound.,42,67
9:05,2561,Ahsante Shivers made Layup.,44,67
8:25,261,Foul on Anthony Lamb.,44,67
8:25,261,Anthony Lamb Turnover.,44,67
8:13,2561,Roman Penn missed Three Point Jumper.,44,67
8:13,2561,Kadeem Smithen Offensive Rebound.,44,67
7:54,261,Official TV Timeout,44,67
7:47,2561,Kevin Degnan missed Jumper.,44,67
7:47,261,Stef Smith Defensive Rebound.,44,67
7:34,2561,Foul on Roman Penn.,44,67
7:34,261,Trae Bell-Haynes missed Free Throw.,44,67
7:34,261,Vermont Deadball Team Rebound.,44,67
7:34,261,Trae Bell-Haynes made Free Throw.,44,68
7:05,2561,Roman Penn Turnover.,44,68
7:05,261,Stef Smith Steal.,44,68
6:43,261,Payton Henson made Layup.,44,70
6:10,2561,Prince Oduro missed Jumper.,44,70
6:10,261,Drew Urquhart Block.,44,70
6:10,2561,Siena Offensive Rebound.,44,70
6:10,2561,Siena  Turnover.,44,70
5:49,261,Anthony Lamb missed Layup.,44,70
5:49,2561,Prince Oduro Defensive Rebound.,44,70
5:43,2561,Nico Clareth made Jumper.,46,70
5:43,261,Foul on Cam Ward.,46,70
5:43,2561,Nico Clareth made Free Throw.,47,70
5:15,261,Stef Smith missed Three Point Jumper.,47,70
5:15,261,Cam Ward Offensive Rebound.,47,70
4:59,261,Cam Ward missed Three Point Jumper.,47,70
4:59,2561,Evan Fisher Defensive Rebound.,47,70
4:54,2561,Ahsante Shivers missed Layup.,47,70
4:54,2561,Nico Clareth Offensive Rebound.,47,70
4:51,2561,Nico Clareth missed Layup.,47,70
4:51,2561,Evan Fisher Offensive Rebound.,47,70
4:48,2561,Roman Penn made Three Point Jumper. Assisted by Evan Fisher.,50,70
4:22,2561,Foul on Nico Clareth.,50,70
4:22,261,Anthony Lamb made Free Throw.,50,71
4:22,261,Anthony Lamb made Free Throw.,50,72
4:09,2561,Prince Oduro made Layup.,52,72
4:09,261,Foul on Samuel Dingba.,52,72
4:09,2561,Prince Oduro made Free Throw.,53,72
3:50,261,Everett Duncan made Three Point Jumper. Assisted by Stef Smith.,53,75
3:33,2561,Nico Clareth Turnover.,53,75
3:32,261,Samuel Dingba Steal.,53,75
3:17,261,Samuel Dingba made Jumper. Assisted by Stef Smith.,53,77
2:47,261,Foul on Ben Shungu.,53,77
2:47,261,Official TV Timeout,53,77
2:47,2561,Nico Clareth made Free Throw.,54,77
2:47,2561,Nico Clareth made Free Throw.,55,77
2:45,261,Stef Smith Turnover.,55,77
2:43,2561,Nico Clareth missed Jumper.,55,77
2:43,261,Samuel Dingba Defensive Rebound.,55,77
2:43,2561,Foul on Sammy Friday.,55,77
2:43,261,Samuel Dingba missed Free Throw.,55,77
2:43,261,Everett Duncan Offensive Rebound.,55,77
2:39,261,Samuel Dingba missed Layup.,55,77
2:39,2561,Sammy Friday Block.,55,77
2:37,2561,Sammy Friday Defensive Rebound.,55,77
2:08,2561,Khalil Richard missed Three Point Jumper.,55,77
2:08,261,Samuel Dingba Defensive Rebound.,55,77
1:49,2561,Foul on Sammy Friday.,55,77
1:49,261,Samuel Dingba made Free Throw.,55,78
1:49,261,Samuel Dingba made Free Throw.,55,79
1:35,2561,Jordan Horn missed Three Point Jumper.,55,79
1:35,2561,Siena Offensive Rebound.,55,79
1:09,2561,Khalil Richard made Jumper. Assisted by Jordan Horn.,57,79
0:44,261,Stef Smith made Layup.,57,81
0:25,2561,Jordan Horn missed Three Point Jumper.,57,81
0:25,2561,Manny Camper Offensive Rebound.,57,81
0:21,2561,Manny Camper missed Layup.,57,81
0:21,261,Samuel Dingba Block.,57,81
0:20,2561,Siena Offensive Rebound.,57,81
0:02,2561,Khalil Richard missed Jumper.,57,81
0:02,261,Nate Rohrer Defensive Rebound.,57,81
0:00,261,End of Game,57,81
