Sacred Heart,42,Hartford,2529
19:48,2529,Joseph Lopez Offensive Rebound.,33,34
19:46,2529,Joseph Lopez missed Layup.,33,34
19:46,42,Hassan Attia Block.,33,34
19:46,42,Hassan Attia Defensive Rebound.,33,34
19:34,42,Hassan Attia missed Layup.,33,34
19:32,42,Hartford Offensive Rebound.,33,34
19:27,42,J.R. Lynch Turnover.,33,34
19:26,2529,Joseph Lopez Steal.,33,34
19:00,2529,Foul on Joseph Lopez.,33,34
19:00,2529,Joseph Lopez Turnover.,33,34
18:31,42,Jason Dunne made Layup.,33,36
18:15,2529,Sean Hoehn missed Three Point Jumper.,33,36
18:15,42,Hassan Attia Defensive Rebound.,33,36
18:11,42,Hassan Attia Turnover.,33,36
18:02,2529,Joseph Lopez missed Layup.,33,36
18:02,42,Hassan Attia Block.,33,36
18:02,2529,Joseph Lopez Offensive Rebound.,33,36
18:00,42,Foul on John Carroll.,33,36
17:45,2529,Sean Hoehn Turnover.,33,36
17:44,42,J.R. Lynch Steal.,33,36
17:33,42,Travis Weatherington made Three Point Jumper. Assisted by J.R. Lynch.,33,39
17:16,2529,Kinnon LaRose made Layup. Assisted by Sean Hoehn.,35,39
16:49,42,Hassan Attia made Layup.,35,41
16:40,2529,Sean Hoehn missed Three Point Jumper.,35,41
16:40,42,Jack Hobbs Defensive Rebound.,35,41
16:10,42,Travis Weatherington made Layup.,35,43
15:59,2529,Sean Hoehn made Layup. Assisted by Mario Matasovic.,37,43
15:37,42,J.R. Lynch made Layup.,37,45
15:23,42,Official TV Timeout,37,45
15:17,42,Foul on Hassan Attia.,37,45
15:17,2529,Alex Watson missed Free Throw.,37,45
15:17,2529,Sacred Heart Deadball Team Rebound.,37,45
15:17,2529,Alex Watson made Free Throw.,38,45
14:54,42,John Carroll missed Layup.,38,45
14:54,2529,De'von Barnett Defensive Rebound.,38,45
14:42,2529,Joseph Lopez made Layup. Assisted by Alex Watson.,40,45
14:26,42,George Blagojevic made Layup. Assisted by John Carroll.,40,47
14:12,2529,Joseph Lopez made Layup. Assisted by Zach Radz.,42,47
13:52,42,Jack Hobbs made Three Point Jumper. Assisted by John Carroll.,42,50
13:31,2529,Foul on De'von Barnett.,42,50
13:31,2529,De'von Barnett Turnover.,42,50
13:05,42,Jack Hobbs made Three Point Jumper. Assisted by J.R. Lynch.,42,53
12:41,2529,De'von Barnett missed Layup.,42,53
12:41,42,J.R. Lynch Defensive Rebound.,42,53
12:31,42,J.R. Lynch missed Layup.,42,53
12:31,2529,De'von Barnett Defensive Rebound.,42,53
12:23,2529,Zach Radz made Three Point Jumper. Assisted by Sean Hoehn.,45,53
11:51,42,Jason Dunne made Layup.,45,55
11:51,2529,Foul on Zach Radz.,45,55
11:51,42,Official TV Timeout,45,55
11:51,42,Jason Dunne missed Free Throw.,45,55
11:51,42,Jack Hobbs Offensive Rebound.,45,55
11:51,42,Foul on Jack Hobbs.,45,55
11:51,42,Jack Hobbs Turnover.,45,55
11:11,42,Foul on Jason Dunne.,45,55
10:59,42,Foul on Jason Dunne.,45,55
10:43,2529,Sean Hoehn made Jumper.,47,55
10:43,42,Foul on Max Twyman.,47,55
10:43,2529,Sean Hoehn made Free Throw.,48,55
10:27,42,J.R. Lynch made Layup.,48,57
10:13,2529,Sean Hoehn made Layup.,50,57
9:56,42,J.R. Lynch made Jumper.,50,59
9:40,2529,Mario Matasovic missed Three Point Jumper.,50,59
9:40,42,J.R. Lynch Defensive Rebound.,50,59
9:30,42,Max Twyman missed Three Point Jumper.,50,59
9:30,2529,Sacred Heart Deadball Team Rebound.,50,59
9:30,42,Foul on John Carroll.,50,59
9:30,2529,Mario Matasovic made Free Throw.,51,59
9:30,2529,Mario Matasovic made Free Throw.,52,59
9:11,42,J.R. Lynch missed Layup.,52,59
9:10,42,Hartford Offensive Rebound.,52,59
8:58,42,Jason Dunne missed Three Point Jumper.,52,59
8:58,2529,Mario Matasovic Defensive Rebound.,52,59
8:52,2529,Charles Tucker Jr. made Layup.,54,59
8:32,42,George Blagojevic made Jumper.,54,61
8:32,2529,Foul on Mario Matasovic.,54,61
8:32,42,George Blagojevic missed Free Throw.,54,61
8:32,2529,Mario Matasovic Defensive Rebound.,54,61
8:17,2529,Zach Radz missed Three Point Jumper.,54,61
8:17,42,Jason Dunne Defensive Rebound.,54,61
8:08,42,Max Twyman Turnover.,54,61
7:55,42,Foul on George Blagojevic.,54,61
7:55,42,Official TV Timeout,54,61
7:55,2529,Joseph Lopez made Free Throw.,55,61
7:55,2529,Joseph Lopez missed Free Throw.,55,61
7:55,42,Jack Hobbs Defensive Rebound.,55,61
7:32,42,George Blagojevic made Layup. Assisted by Jason Dunne.,55,63
7:19,42,Foul on Travis Weatherington.,55,63
7:19,2529,Sean Hoehn made Free Throw.,56,63
7:19,2529,Sean Hoehn missed Free Throw.,56,63
7:19,42,George Blagojevic Defensive Rebound.,56,63
6:55,42,Jason Dunne made Layup.,56,65
6:41,2529,Joseph Lopez missed Layup.,56,65
6:40,42,George Blagojevic Block.,56,65
6:39,42,J.R. Lynch Defensive Rebound.,56,65
6:35,42,Jack Hobbs Turnover.,56,65
6:14,2529,Charles Tucker Jr. made Jumper.,58,65
5:53,42,Hassan Attia made Layup.,58,67
5:45,2529,Charles Tucker Jr. missed Layup.,58,67
5:45,42,Hassan Attia Block.,58,67
5:44,42,Travis Weatherington Defensive Rebound.,58,67
5:38,42,Jason Dunne missed Three Point Jumper.,58,67
5:38,2529,Charles Tucker Jr. Defensive Rebound.,58,67
5:15,2529,Joseph Lopez missed Layup.,58,67
5:15,42,Hassan Attia Block.,58,67
5:14,2529,Joseph Lopez Offensive Rebound.,58,67
5:13,2529,Joseph Lopez made Layup.,60,67
5:13,42,Foul on Hassan Attia.,60,67
5:13,2529,Joseph Lopez made Free Throw.,61,67
4:52,42,J.R. Lynch missed Jumper.,61,67
4:52,42,John Carroll Offensive Rebound.,61,67
4:50,42,John Carroll made Two Point Tip Shot.,61,69
4:39,2529,Zach Radz missed Layup.,61,69
4:39,42,Jack Hobbs Defensive Rebound.,61,69
4:31,42,Travis Weatherington missed Three Point Jumper.,61,69
4:30,2529,Sacred Heart Defensive Rebound.,61,69
4:21,2529,Charles Tucker Jr. made Layup.,63,69
3:58,42,Travis Weatherington made Layup.,63,71
3:40,2529,Joseph Lopez Turnover.,63,71
3:40,42,J.R. Lynch Steal.,63,71
3:40,2529,Foul on Joseph Lopez.,63,71
3:40,42,Official TV Timeout,63,71
3:22,42,J.R. Lynch made Three Point Jumper.,63,74
3:04,2529,Charles Tucker Jr. made Three Point Jumper.,66,74
3:03,2529,Sacred Heart  Timeout,66,74
2:57,42,Hartford  Timeout,66,74
2:34,2529,Foul on Sean Hoehn.,66,74
2:34,42,J.R. Lynch missed Free Throw.,66,74
2:34,42,Hartford Deadball Team Rebound.,66,74
2:34,42,J.R. Lynch made Free Throw.,66,75
2:34,42,J.R. Lynch made Free Throw.,66,76
2:17,2529,Foul on Mario Matasovic.,66,76
2:17,2529,Mario Matasovic Turnover.,66,76
1:53,2529,Foul on Alex Watson.,66,76
1:53,42,J.R. Lynch made Free Throw.,66,77
1:53,42,J.R. Lynch made Free Throw.,66,78
1:46,42,Foul on J.R. Lynch.,66,78
1:46,2529,Sean Hoehn made Free Throw.,67,78
1:46,2529,Sean Hoehn made Free Throw.,68,78
1:25,42,Travis Weatherington made Three Point Jumper. Assisted by J.R. Lynch.,68,81
1:15,2529,Sean Hoehn missed Three Point Jumper.,68,81
1:15,42,John Carroll Defensive Rebound.,68,81
0:52,42,Travis Weatherington made Three Point Jumper. Assisted by Jason Dunne.,68,84
0:52,42,Hartford  Timeout,68,84
0:44,2529,Sean Hoehn made Layup.,70,84
0:44,2529,Sacred Heart  Timeout,70,84
0:36,2529,Foul on Zach Radz.,70,84
0:36,42,J.R. Lynch made Free Throw.,70,85
0:36,42,J.R. Lynch made Free Throw.,70,86
0:22,2529,Mario Matasovic missed Layup.,70,86
0:22,2529,Joseph Lopez Offensive Rebound.,70,86
0:20,2529,Joseph Lopez missed Layup.,70,86
0:20,2529,Mario Matasovic Offensive Rebound.,70,86
0:19,2529,Mario Matasovic made Two Point Tip Shot.,72,86
0:00,42,End of Game,72,86
