Wisconsin,258,Virginia,275
5:04,275,Ethan Happ Offensive Rebound.,31,42
5:02,258,Foul on Jack Salt.,31,42
4:50,258,Foul on Devon Hall.,31,42
4:50,275,Ethan Happ made Free Throw.,32,42
4:50,275,Ethan Happ made Free Throw.,33,42
4:30,258,Mamadi Diakite Turnover.,33,42
4:15,275,D'Mitrik Trice missed Three Point Jumper.,33,42
4:15,275,Ethan Happ Offensive Rebound.,33,42
4:09,275,Ethan Happ Turnover.,33,42
4:09,258,Isaiah Wilkins Steal.,33,42
4:05,258,Ty Jerome Turnover.,33,42
4:05,275,Ethan Happ Steal.,33,42
3:56,275,Ethan Happ missed Layup.,33,42
3:56,258,Ty Jerome Defensive Rebound.,33,42
3:38,258,Devon Hall made Three Point Jumper. Assisted by Kyle Guy.,33,45
3:23,258,Foul on Jack Salt.,33,45
3:23,258,Official TV Timeout,33,45
3:18,275,Aleem Ford Turnover.,33,45
3:18,258,Virginia  Timeout,33,45
3:01,258,Ty Jerome Turnover.,33,45
3:01,275,Brad Davison Steal.,33,45
3:01,258,Foul on Ty Jerome.,33,45
3:01,275,Brad Davison missed Free Throw.,33,45
3:01,258,Isaiah Wilkins Defensive Rebound.,33,45
2:38,258,Devon Hall Turnover.,33,45
2:29,275,Aleem Ford Turnover.,33,45
2:06,258,Ty Jerome missed Jumper.,33,45
2:06,275,Ethan Happ Defensive Rebound.,33,45
1:52,258,Foul on Ty Jerome.,33,45
1:52,275,D'Mitrik Trice made Free Throw.,34,45
1:52,275,D'Mitrik Trice made Free Throw.,35,45
1:24,258,Kyle Guy made Layup.,35,47
1:13,275,Brevin Pritzl missed Three Point Jumper.,35,47
1:13,258,Kyle Guy Defensive Rebound.,35,47
0:43,258,Mamadi Diakite made Dunk. Assisted by Isaiah Wilkins.,35,49
0:37,275,D'Mitrik Trice Turnover.,35,49
0:37,258,Virginia  Timeout,35,49
0:34,258,Ty Jerome Turnover.,35,49
0:34,275,Kobe King Steal.,35,49
0:30,275,D'Mitrik Trice missed Three Point Jumper.,35,49
0:30,258,Mamadi Diakite Block.,35,49
0:27,275,Ethan Happ Offensive Rebound.,35,49
0:27,275,Ethan Happ made Layup.,37,49
0:27,275,Wisconsin  Timeout,37,49
0:00,258,End of Game,37,49
