Shenandoah,Error,UMBC,2378
0:38,2828,Chris Oates made Three Point Jumper. Assisted by Jalyn Jarrett.,37,38
0:05,2378,K.J. Maura missed Layup.,37,38
0:05,2378,Joe Sherburne Offensive Rebound.,37,38
0:00,2378,Joe Sherburne made Layup.,37,40
0:00,2378,End of 1st half,37,40
19:46,2378,Max Curran Turnover.,37,40
19:45,2828,Jonah Meredith Steal.,37,40
19:35,2828,Derrick Perry missed Jumper.,37,40
19:35,2378,UMBC Defensive Rebound.,37,40
19:09,2378,Max Curran made Three Point Jumper. Assisted by K.J. Maura.,37,43
18:54,2828,Alan Dabney missed Three Point Jumper.,37,43
18:54,2378,Arkel Lamar Defensive Rebound.,37,43
18:34,2378,Nolan Gerrity missed Layup.,37,43
18:34,2828,Derrick Perry Block.,37,43
18:32,2378,Nolan Gerrity Offensive Rebound.,37,43
18:30,2378,Nolan Gerrity Turnover.,37,43
18:28,2828,Kwa McDonald Steal.,37,43
18:20,2828,Kwa McDonald made Three Point Jumper. Assisted by Jonah Meredith.,40,43
18:11,2378,K.J. Maura missed Three Point Jumper.,40,43
18:11,2378,Max Curran Offensive Rebound.,40,43
18:06,2378,Max Curran made Layup.,40,45
17:44,2828,Jalyn Jarrett missed Three Point Jumper.,40,45
17:44,2378,UMBC Defensive Rebound.,40,45
17:25,2378,Arkel Lamar made Layup.,40,47
17:16,2828,Derrick Perry Turnover.,40,47
16:47,2378,K.J. Maura missed Three Point Jumper.,40,47
16:47,2828,Kwa McDonald Defensive Rebound.,40,47
16:38,2828,Kwa McDonald made Jumper.,42,47
16:25,2378,Ishmail Jabbie Turnover.,42,47
16:02,2378,Foul on Arkel Lamar.,42,47
15:57,2378,Foul on Arkel Lamar.,42,47
15:57,2378,Official TV Timeout,42,47
15:53,2828,Foul on Kwa McDonald.,42,47
15:53,2828,Kwa McDonald Turnover.,42,47
15:44,2378,Max Portmann made Layup. Assisted by Joe Sherburne.,42,49
15:28,2828,Jonah Meredith missed Jumper.,42,49
15:28,2378,Arkel Lamar Defensive Rebound.,42,49
15:21,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,42,52
14:55,2828,Derrick Perry missed Jumper.,42,52
14:55,2378,Ishmail Jabbie Defensive Rebound.,42,52
14:51,2828,Foul on Derrick Perry.,42,52
14:43,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,42,55
14:23,2828,Foul on Christopher Chaney.,42,55
14:23,2828,Christopher Chaney Turnover.,42,55
14:17,2378,Ishmail Jabbie missed Three Point Jumper.,42,55
14:17,2828,Jonah Meredith Defensive Rebound.,42,55
14:05,2828,Aaron Patterson missed Three Point Jumper.,42,55
14:05,2828,Christopher Chaney Offensive Rebound.,42,55
14:01,2828,Christopher Chaney missed Layup.,42,55
14:01,2378,Joe Sherburne Defensive Rebound.,42,55
13:41,2378,Joe Sherburne made Three Point Jumper. Assisted by Ishmail Jabbie.,42,58
13:18,2828,Seth Myers Turnover.,42,58
13:16,2378,Ishmail Jabbie Steal.,42,58
13:15,2828,Foul on AJ Cabbagestalk.,42,58
13:15,2378,Ishmail Jabbie made Free Throw.,42,59
13:15,2378,Ishmail Jabbie made Free Throw.,42,60
13:01,2828,Aaron Patterson missed Three Point Jumper.,42,60
13:01,2828,Jordan Hunter Offensive Rebound.,42,60
12:46,2828,Jonah Meredith Turnover.,42,60
12:46,2828,Foul on Jonah Meredith.,42,60
12:30,2378,Max Portmann missed Jumper.,42,60
12:30,2828,Jordan Hunter Defensive Rebound.,42,60
12:27,2378,Foul on Joe Sherburne.,42,60
12:21,2828,Aaron Patterson missed Three Point Jumper.,42,60
12:21,2378,Max Portmann Defensive Rebound.,42,60
12:07,2378,Joe Sherburne missed Three Point Jumper.,42,60
12:07,2378,Max Portmann Offensive Rebound.,42,60
11:43,2828,Foul on AJ Cabbagestalk.,42,60
11:43,2378,Official TV Timeout,42,60
11:43,2378,Joe Sherburne missed Three Point Jumper.,42,60
11:43,2828,Jonah Meredith Defensive Rebound.,42,60
11:35,2378,Foul on K.J. Maura.,42,60
11:18,2828,AJ Cabbagestalk missed Jumper.,42,60
11:18,2378,Max Portmann Defensive Rebound.,42,60
11:10,2378,Max Portmann missed Three Point Jumper.,42,60
11:10,2828,Jonah Meredith Defensive Rebound.,42,60
11:06,2828,Jonah Meredith Turnover.,42,60
11:05,2378,K.J. Maura Steal.,42,60
11:03,2378,Brandon Horvath made Three Point Jumper. Assisted by K.J. Maura.,42,63
10:44,2828,Jonah Meredith made Jumper.,44,63
10:31,2378,Brandon Horvath made Three Point Jumper. Assisted by Ishmail Jabbie.,44,66
10:13,2828,Jonah Meredith Turnover.,44,66
10:12,2378,Brandon Horvath Steal.,44,66
10:05,2378,Joe Sherburne made Layup. Assisted by K.J. Maura.,44,68
9:48,2828,Jonah Meredith made Jumper.,46,68
9:29,2378,K.J. Maura made Jumper.,46,70
9:05,2378,Foul on Ishmail Jabbie.,46,70
8:56,2828,Gustavo Gonzalez missed Layup.,46,70
8:56,2378,Max Portmann Block.,46,70
8:55,2828,Alan Dabney Offensive Rebound.,46,70
8:52,2828,Alan Dabney made Layup.,48,70
8:37,2378,Jourdan Grant made Three Point Jumper. Assisted by Arkel Lamar.,48,73
8:14,2828,Foul on Gustavo Gonzalez.,48,73
8:14,2828,Gustavo Gonzalez Turnover.,48,73
8:04,2378,Arkel Lamar made Jumper.,48,75
7:48,2828,Kwa McDonald Turnover.,48,75
7:46,2378,Arkel Lamar Steal.,48,75
7:45,2828,Foul on Kwa McDonald.,48,75
7:45,2378,Official TV Timeout,48,75
7:43,2378,Arkel Lamar made Free Throw.,48,76
7:43,2378,Arkel Lamar missed Free Throw.,48,76
7:43,2378,UMBC Deadball Team Rebound.,48,76
7:32,2378,Max Portmann missed Jumper.,48,76
7:32,2828,Derrick Perry Defensive Rebound.,48,76
7:11,2828,Dominic Steward missed Three Point Jumper.,48,76
7:11,2378,Brandon Horvath Defensive Rebound.,48,76
7:06,2378,Brandon Horvath Turnover.,48,76
6:52,2828,Jalyn Jarrett made Layup.,50,76
6:33,2378,Max Portmann made Layup. Assisted by Brandon Horvath.,50,78
6:22,2828,Foul on Derrick Perry.,50,78
6:22,2828,Derrick Perry Turnover.,50,78
6:10,2378,Foul on Max Portmann.,50,78
6:10,2378,Max Portmann Turnover.,50,78
6:01,2828,Alan Dabney made Jumper. Assisted by Jalyn Jarrett.,52,78
5:40,2378,Max Portmann Turnover.,52,78
5:22,2828,Jalyn Jarrett made Jumper.,54,78
5:08,2378,Brandon Horvath missed Three Point Jumper.,54,78
5:08,2378,UMBC Offensive Rebound.,54,78
5:05,2828,Foul on Alan Dabney.,54,78
5:05,2378,Max Portmann missed Free Throw.,54,78
5:05,2378,UMBC Deadball Team Rebound.,54,78
5:05,2378,Max Portmann made Free Throw.,54,79
4:54,2828,Shenandoah  Timeout,54,79
4:50,2828,Gustavo Gonzalez missed Three Point Jumper.,54,79
4:50,2378,Arkel Lamar Defensive Rebound.,54,79
4:42,2378,Arkel Lamar missed Three Point Jumper.,54,79
4:42,2828,Jabari Young Defensive Rebound.,54,79
4:26,2828,Jabari Young Turnover.,54,79
4:25,2378,Arkel Lamar Steal.,54,79
4:24,2378,Arkel Lamar missed Dunk.,54,79
4:24,2828,Shenandoah Defensive Rebound.,54,79
4:15,2828,Avery White missed Three Point Jumper.,54,79
4:15,2378,Arkel Lamar Defensive Rebound.,54,79
4:09,2378,Brandon Horvath missed Three Point Jumper.,54,79
4:09,2378,Arkel Lamar Offensive Rebound.,54,79
3:57,2828,Foul on Gary Burley.,54,79
3:57,2378,Official TV Timeout,54,79
3:57,2378,K.J. Maura made Free Throw.,54,80
3:57,2378,K.J. Maura made Free Throw.,54,81
3:51,2828,Gary Burley made Free Throw.,55,81
3:51,2828,Gary Burley missed Free Throw.,55,81
3:51,2378,Max Curran Defensive Rebound.,55,81
3:49,2378,Foul on Brandon Horvath.,55,81
3:33,2378,K.J. Maura made Jumper. Assisted by Josh Rosario.,55,83
3:24,2828,AJ Cabbagestalk made Free Throw.,56,83
3:24,2828,AJ Cabbagestalk made Free Throw.,57,83
3:19,2378,Foul on Max Curran.,57,83
3:15,2378,Foul on Daniel Akin.,57,83
3:15,2378,Daniel Akin Turnover.,57,83
3:02,2828,Gustavo Gonzalez made Jumper. Assisted by AJ Cabbagestalk.,59,83
2:57,2378,UMBC  Timeout,59,83
2:42,2828,Foul on Gary Burley.,59,83
2:42,2378,Brandon Horvath missed Free Throw.,59,83
2:42,2378,UMBC Deadball Team Rebound.,59,83
2:42,2378,Brandon Horvath made Free Throw.,59,84
2:24,2828,Jabari Young missed Jumper.,59,84
2:24,2378,Max Curran Defensive Rebound.,59,84
1:59,2378,Ishmail Jabbie made Three Point Jumper. Assisted by Josh Rosario.,59,87
1:42,2828,Gary Burley missed Jumper.,59,87
1:42,2828,Jabari Young Offensive Rebound.,59,87
1:36,2828,Gustavo Gonzalez missed Three Point Jumper.,59,87
1:36,2828,Jabari Young Offensive Rebound.,59,87
1:30,2828,Foul on Jabari Young.,59,87
1:26,2828,Jabari Young Turnover.,59,87
1:15,2378,Josh Rosario missed Jumper.,59,87
1:15,2828,AJ Cabbagestalk Defensive Rebound.,59,87
1:09,2828,Avery White missed Three Point Jumper.,59,87
1:09,2378,Josh Rosario Defensive Rebound.,59,87
0:52,2828,Foul on Gary Burley.,59,87
0:52,2378,Ishmail Jabbie missed Free Throw.,59,87
0:52,2378,UMBC Deadball Team Rebound.,59,87
0:52,2378,Ishmail Jabbie made Free Throw.,59,88
0:40,2828,Jabari Young missed Three Point Jumper.,59,88
0:40,2378,Max Curran Defensive Rebound.,59,88
0:28,2378,Josh Rosario Turnover.,59,88
0:27,2828,Jabari Young Steal.,59,88
0:24,2828,Avery White missed Three Point Jumper.,59,88
0:24,2828,Gary Burley Offensive Rebound.,59,88
0:16,2828,Gary Burley missed Jumper.,59,88
0:16,2378,Ishmail Jabbie Defensive Rebound.,59,88
0:00,2378,End of Game,59,88
