St. Mary's (MD),119,Towson,117
10:34,119,Dennis Tunstall made Two Point Tip Shot.,11,27
10:04,117,Darick Kerns made Jumper. Assisted by Spencer Schultz.,13,27
9:44,117,Foul on Chris Craft Jr.,13,27
9:44,119,Deshaun Morman made Free Throw.,13,28
9:44,119,Deshaun Morman missed Free Throw.,13,28
9:44,117,Spencer Schultz Defensive Rebound.,13,28
9:31,117,Matt Ayoub missed Three Point Jumper.,13,28
9:31,119,Towson Defensive Rebound.,13,28
9:15,119,Justin Gorham missed Layup.,13,28
9:15,119,Justin Gorham Offensive Rebound.,13,28
9:11,119,Zane Martin missed Two Point Tip Shot.,13,28
9:11,117,Kevin Makle Block.,13,28
9:02,119,Deshaun Morman Offensive Rebound.,13,28
8:58,119,Zane Martin missed Three Point Jumper.,13,28
8:58,117,St. Mary's (MD) Defensive Rebound.,13,28
8:37,117,Matt Ayoub Turnover.,13,28
8:34,119,Alex Thomas Steal.,13,28
8:32,119,Deshaun Morman made Dunk. Assisted by Alex Thomas.,13,30
8:17,117,Spencer Schultz Turnover.,13,30
8:01,119,Zane Martin Turnover.,13,30
8:00,117,Matt Ayoub Steal.,13,30
7:59,119,Foul on Brian Starr.,13,30
7:59,119,Official TV Timeout,13,30
7:37,117,Kevin Makle made Jumper. Assisted by Matt Ayoub.,15,30
7:20,119,Alex Thomas missed Jumper.,15,30
7:20,117,St. Mary's (MD) Defensive Rebound.,15,30
6:47,117,Kevin Makle made Jumper.,17,30
6:45,119,Towson  Timeout,17,30
6:29,119,Brian Starr missed Three Point Jumper.,17,30
6:29,117,LaVonte Sanders Defensive Rebound.,17,30
6:21,117,Reggie Rouse made Three Point Jumper. Assisted by LaVonte Sanders.,20,30
6:00,119,Justin Gorham missed Jumper.,20,30
6:00,119,Justin Gorham Offensive Rebound.,20,30
5:44,119,Zane Martin made Layup.,20,32
5:28,117,LaVonte Sanders Turnover.,20,32
5:27,119,Zane Martin Steal.,20,32
5:25,119,Justin Gorham made Layup. Assisted by Zane Martin.,20,34
5:12,117,Donovan Robinson Turnover.,20,34
5:02,119,Brian Starr made Layup.,20,36
5:02,117,Foul on Reggie Rouse.,20,36
5:02,119,Brian Starr made Free Throw.,20,37
4:33,117,LaVonte Sanders Turnover.,20,37
4:32,119,Brian Starr Steal.,20,37
4:28,119,Justin Gorham made Dunk. Assisted by Zane Martin.,20,39
4:21,117,St. Mary's (MD)  Timeout,20,39
4:21,119,Official TV Timeout,20,39
3:53,119,Foul on Zane Martin.,20,39
3:43,117,Kevin Makle made Dunk. Assisted by Spencer Schultz.,22,39
3:27,119,Mike Morsell made Jumper.,22,41
3:10,117,Matt Ayoub missed Three Point Jumper.,22,41
3:10,119,Deshaun Morman Defensive Rebound.,22,41
3:05,119,Deshaun Morman Turnover.,22,41
2:47,117,Spencer Schultz made Layup. Assisted by Kevin Makle.,24,41
2:28,119,Jordan McNeil made Jumper.,24,43
2:11,117,Matt Ayoub Turnover.,24,43
1:58,119,Mike Morsell missed Three Point Jumper.,24,43
1:58,119,Towson Offensive Rebound.,24,43
1:40,119,Mike Morsell made Three Point Jumper. Assisted by Deshaun Morman.,24,46
1:19,119,Foul on Deshaun Morman.,24,46
1:15,117,Chris Craft Jr made Jumper.,26,46
0:56,119,Mike Morsell made Three Point Jumper. Assisted by Eddie Keith II.,26,49
0:28,117,Chris Craft Jr Turnover.,26,49
0:27,119,Eddie Keith II Steal.,26,49
0:24,119,Jordan McNeil missed Layup.,26,49
0:24,117,Matt Ayoub Defensive Rebound.,26,49
0:17,117,Matt Ayoub made Layup.,28,49
0:07,119,Mike Morsell missed Three Point Jumper.,28,49
0:07,117,Matt Ayoub Defensive Rebound.,28,49
0:00,117,Ochae Bynum missed Three Point Jumper.,28,49
0:00,119,Mike Morsell Block.,28,49
0:00,119,Towson Deadball Team Rebound.,28,49
0:00,119,End of 1st half,28,49
19:48,117,Spencer Schultz missed Jumper.,28,49
19:48,119,Alex Thomas Block.,28,49
19:46,119,Alex Thomas Defensive Rebound.,28,49
19:36,119,Eddie Keith II missed Jumper.,28,49
19:36,117,Kevin Makle Defensive Rebound.,28,49
19:04,117,Ochae Bynum missed Jumper.,28,49
19:04,119,Alex Thomas Defensive Rebound.,28,49
18:54,119,Zane Martin made Jumper.,28,51
18:29,117,Spencer Schultz missed Jumper.,28,51
18:29,119,Zane Martin Defensive Rebound.,28,51
18:14,117,Foul on Kevin Makle.,28,51
18:14,119,Brian Starr made Free Throw.,28,52
18:14,119,Brian Starr made Free Throw.,28,53
18:08,117,Spencer Schultz Turnover.,28,53
17:53,119,Alex Thomas Turnover.,28,53
17:28,119,Foul on Mike Morsell.,28,53
17:18,117,Darick Kerns Turnover.,28,53
17:17,119,Zane Martin Steal.,28,53
17:14,119,Zane Martin made Dunk.,28,55
16:45,117,Ochae Bynum Turnover.,28,55
16:32,119,Brian Starr missed Jumper.,28,55
16:32,117,Ochae Bynum Defensive Rebound.,28,55
16:23,117,Ochae Bynum made Jumper. Assisted by Matt Ayoub.,30,55
16:07,119,Justin Gorham missed Jumper.,30,55
16:07,117,LaVonte Sanders Defensive Rebound.,30,55
16:00,117,LaVonte Sanders made Layup.,32,55
15:39,119,Jordan McNeil made Three Point Jumper. Assisted by Brian Starr.,32,58
15:22,117,Matt Ayoub missed Three Point Jumper.,32,58
15:22,119,Brian Starr Block.,32,58
15:20,117,Darick Kerns Offensive Rebound.,32,58
15:11,117,Darick Kerns made Layup.,34,58
15:06,119,Official TV Timeout,34,58
14:50,119,Jordan McNeil missed Three Point Jumper.,34,58
14:50,117,Ochae Bynum Defensive Rebound.,34,58
14:41,117,Ochae Bynum missed Jumper.,34,58
14:41,119,Justin Gorham Defensive Rebound.,34,58
14:39,117,Foul on Marquis Bullett.,34,58
14:29,119,Justin Gorham made Layup. Assisted by Deshaun Morman.,34,60
13:59,117,LaVonte Sanders made Layup.,36,60
13:32,119,Zane Martin made Three Point Jumper. Assisted by Jordan McNeil.,36,63
12:58,117,Matt Ayoub missed Layup.,36,63
12:58,119,Deshaun Morman Defensive Rebound.,36,63
12:38,119,Zane Martin made Three Point Jumper.,36,66
12:20,117,Matt Ayoub missed Jumper.,36,66
12:20,117,Matt Ayoub Offensive Rebound.,36,66
12:14,117,Ochae Bynum missed Three Point Jumper.,36,66
12:14,119,Eddie Keith II Defensive Rebound.,36,66
12:04,119,Dennis Tunstall made Layup. Assisted by Eddie Keith II.,36,68
12:04,117,Foul on Jake Mahnke.,36,68
12:04,119,Dennis Tunstall missed Free Throw.,36,68
12:04,117,Kevin Makle Defensive Rebound.,36,68
11:36,117,Chris Craft Jr missed Jumper.,36,68
11:36,117,Spencer Schultz Offensive Rebound.,36,68
11:33,117,Spencer Schultz made Two Point Tip Shot.,38,68
11:15,119,Deshaun Morman missed Jumper.,38,68
11:15,117,Kevin Makle Defensive Rebound.,38,68
11:06,117,Donovan Robinson made Layup.,40,68
10:44,119,Zane Martin made Three Point Jumper. Assisted by Deshaun Morman.,40,71
10:06,117,Donovan Robinson missed Layup.,40,71
10:06,119,Eddie Keith II Defensive Rebound.,40,71
10:01,119,Eddie Keith II Turnover.,40,71
10:01,119,Official TV Timeout,40,71
9:39,117,Reggie Rouse Turnover.,40,71
9:21,119,Mike Morsell missed Three Point Jumper.,40,71
9:21,119,Travis Ingram Offensive Rebound.,40,71
9:09,119,Travis Ingram missed Dunk.,40,71
9:09,119,Towson Offensive Rebound.,40,71
8:59,119,Jordan McNeil made Jumper.,40,73
8:35,119,Foul on Alex Thomas.,40,73
8:22,117,Chris Craft Jr Turnover.,40,73
8:21,119,Travis Ingram Steal.,40,73
8:17,119,Jordan McNeil missed Three Point Jumper.,40,73
8:17,119,Travis Ingram Offensive Rebound.,40,73
7:49,117,Foul on Spencer Schultz.,40,73
7:49,119,Official TV Timeout,40,73
7:49,119,Jeffrey Prophete made Free Throw.,40,74
7:49,119,Jeffrey Prophete missed Free Throw.,40,74
7:49,117,Matt Ayoub Defensive Rebound.,40,74
7:30,117,Kevin Makle made Layup. Assisted by Marquis Bullett.,42,74
7:09,119,Travis Ingram made Jumper.,42,76
6:43,117,Spencer Schultz missed Dunk.,42,76
6:43,119,Alex Thomas Block.,42,76
6:42,119,Alex Thomas Defensive Rebound.,42,76
6:38,119,Deshaun Morman made Dunk. Assisted by Travis Ingram.,42,78
6:36,119,Foul on Deshaun Morman.,42,78
6:36,119,Technical Foul on Deshaun Morman.,42,78
6:36,117,Matt Ayoub made Free Throw.,43,78
6:15,119,Foul on Justin Gorham.,43,78
6:15,117,Spencer Schultz missed Free Throw.,43,78
6:15,117,St. Mary's (MD) Deadball Team Rebound.,43,78
6:15,117,Spencer Schultz made Free Throw.,44,78
5:52,119,Justin Gorham made Layup. Assisted by Jeffrey Prophete.,44,80
5:52,117,Foul on Kevin Makle.,44,80
5:52,119,Justin Gorham made Free Throw.,44,81
5:35,117,Marquis Bullett made Layup. Assisted by Ochae Bynum.,46,81
5:17,119,Justin Gorham made Layup. Assisted by Travis Ingram.,46,83
5:01,117,Ochae Bynum missed Jumper.,46,83
5:01,117,Marquis Bullett Offensive Rebound.,46,83
4:58,117,Marquis Bullett made Layup.,48,83
4:46,119,Jordan McNeil made Three Point Jumper. Assisted by Travis Ingram.,48,86
4:11,117,Matt Ayoub missed Three Point Jumper.,48,86
4:11,117,LaVonte Sanders Offensive Rebound.,48,86
4:08,119,Foul on Jordan McNeil.,48,86
4:08,117,LaVonte Sanders missed Free Throw.,48,86
4:08,117,St. Mary's (MD) Deadball Team Rebound.,48,86
4:08,117,LaVonte Sanders made Free Throw.,49,86
3:52,119,Jeffrey Prophete made Jumper.,49,88
3:33,119,Foul on Justin Gorham.,49,88
3:33,119,Official TV Timeout,49,88
3:33,117,Ochae Bynum missed Free Throw.,49,88
3:33,117,St. Mary's (MD) Deadball Team Rebound.,49,88
3:33,117,Ochae Bynum made Free Throw.,50,88
3:02,119,Van Rolle missed Three Point Jumper.,50,88
3:02,119,Travis Ingram Offensive Rebound.,50,88
2:54,119,Jeffrey Prophete Turnover.,50,88
2:53,117,Matt Ayoub Steal.,50,88
2:51,119,Foul on Jeffrey Prophete.,50,88
2:37,119,Foul on Justin Gorham.,50,88
2:37,117,Marquis Bullett made Free Throw.,51,88
2:37,117,Marquis Bullett made Free Throw.,52,88
2:10,119,Van Rolle missed Layup.,52,88
2:10,117,Jerrel Elder II Defensive Rebound.,52,88
2:00,117,Marquis Bullett made Layup. Assisted by LaVonte Sanders.,54,88
1:29,119,Jeffrey Prophete missed Jumper.,54,88
1:29,117,Jake Mahnke Defensive Rebound.,54,88
1:24,117,Reggie Rouse Turnover.,54,88
1:23,119,Van Rolle Steal.,54,88
1:20,119,Travis Ingram made Dunk. Assisted by Van Rolle.,54,90
1:12,117,St. Mary's (MD)  Timeout,54,90
1:12,119,Official TV Timeout,54,90
0:47,119,Foul on Jordan McNeil.,54,90
0:47,117,Jake Mahnke made Free Throw.,55,90
0:47,117,Jake Mahnke missed Free Throw.,55,90
0:47,119,Jordan McNeil Defensive Rebound.,55,90
0:32,119,Alex Thomas Turnover.,55,90
0:31,117,Judge Payne Steal.,55,90
0:27,117,Jake Mahnke made Layup. Assisted by Judge Payne.,57,90
0:00,119,End of Game,57,90
