Army,315,Niagara,349
7:33,349,Tucker Blackwell Turnover.,28,21
7:33,315,Official TV Timeout,28,21
7:19,315,Kahlil Dukes missed Jumper.,28,21
7:19,315,Kahlil Dukes Offensive Rebound.,28,21
7:14,315,Matt Scott missed Layup.,28,21
7:14,315,Matt Scott Offensive Rebound.,28,21
7:12,315,Matt Scott missed Layup.,28,21
7:12,315,Matt Scott Offensive Rebound.,28,21
7:00,315,Matt Scott made Layup.,28,23
6:42,349,Jordan Fox made Jumper.,30,23
6:16,315,Matt Scott missed Three Point Jumper.,30,23
6:16,349,Babacar Thiombane Defensive Rebound.,30,23
6:07,349,Jordan Fox missed Three Point Jumper.,30,23
6:07,315,Kahlil Dukes Defensive Rebound.,30,23
5:59,315,Kahlil Dukes missed Three Point Jumper.,30,23
5:59,349,Babacar Thiombane Defensive Rebound.,30,23
5:52,315,Foul on Marvin Prochet.,30,23
5:46,349,Alex King made Three Point Jumper. Assisted by Babacar Thiombane.,33,23
5:35,349,Foul on Alex King.,33,23
5:22,315,Matt Scott missed Layup.,33,23
5:22,349,Babacar Thiombane Block.,33,23
5:22,315,Niagara Offensive Rebound.,33,23
5:16,315,Greg Kuakumensah Turnover.,33,23
5:14,349,Jordan Fox Steal.,33,23
5:10,349,Jordan Fox missed Layup.,33,23
5:10,315,Greg Kuakumensah Block.,33,23
5:10,349,Army Offensive Rebound.,33,23
4:50,349,Tucker Blackwell Turnover.,33,23
4:50,349,Foul on Tucker Blackwell.,33,23
4:20,315,Matt Scott made Three Point Jumper.,33,26
4:10,349,John Emezie missed Three Point Jumper.,33,26
4:10,315,Keleaf Tate Defensive Rebound.,33,26
4:04,315,Keleaf Tate made Three Point Jumper. Assisted by Kahlil Dukes.,33,29
3:32,349,Thomas Funk Turnover.,33,29
3:31,315,Keleaf Tate Steal.,33,29
3:27,315,Keleaf Tate missed Jumper.,33,29
3:27,315,Matt Scott Offensive Rebound.,33,29
3:22,349,Foul on Luke Morrison.,33,29
3:22,315,Official TV Timeout,33,29
2:58,349,Foul on Luke Morrison.,33,29
2:58,315,Marvin Prochet made Free Throw.,33,30
2:58,315,Marvin Prochet made Free Throw.,33,31
2:35,349,Luke Morrison missed Jumper.,33,31
2:35,315,Marvin Prochet Defensive Rebound.,33,31
2:29,315,Greg Kuakumensah made Layup. Assisted by Matt Scott.,33,33
2:20,349,Thomas Funk missed Layup.,33,33
2:20,315,Marvin Prochet Defensive Rebound.,33,33
2:11,315,Matt Scott missed Jumper.,33,33
2:11,349,Luke Morrison Defensive Rebound.,33,33
2:02,349,Matthew Wilson made Layup. Assisted by Thomas Funk.,35,33
1:39,315,Marvin Prochet missed Jumper.,35,33
1:39,349,Thomas Funk Defensive Rebound.,35,33
1:29,349,Matthew Wilson missed Jumper.,35,33
1:29,315,Greg Kuakumensah Defensive Rebound.,35,33
1:23,315,Keleaf Tate missed Three Point Jumper.,35,33
1:23,349,Jordan Fox Defensive Rebound.,35,33
1:14,349,Jacob Kessler made Three Point Jumper. Assisted by Thomas Funk.,38,33
0:38,315,Marvin Prochet missed Layup.,38,33
0:38,349,Jordan Fox Defensive Rebound.,38,33
0:26,349,Army  Timeout,38,33
0:11,349,Thomas Funk missed Layup.,38,33
0:11,349,Matthew Wilson Offensive Rebound.,38,33
0:07,349,Matthew Wilson made Two Point Tip Shot.,40,33
0:01,315,Niagara  Timeout,40,33
0:00,315,End of 1st half,40,33
19:48,349,Luke Morrison missed Three Point Jumper.,40,33
19:48,349,Matthew Wilson Offensive Rebound.,40,33
19:42,349,Matthew Wilson missed Layup.,40,33
19:42,315,Marvin Prochet Defensive Rebound.,40,33
19:21,315,Dominic Robb missed Jumper.,40,33
19:21,349,Thomas Funk Defensive Rebound.,40,33
19:13,349,Thomas Funk missed Layup.,40,33
19:13,315,Dominic Robb Defensive Rebound.,40,33
19:07,315,Matt Scott missed Jumper.,40,33
19:07,315,Keleaf Tate Offensive Rebound.,40,33
19:01,315,Keleaf Tate missed Layup.,40,33
19:01,349,Matthew Wilson Defensive Rebound.,40,33
18:53,349,Thomas Funk made Three Point Jumper. Assisted by Jordan Fox.,43,33
18:35,315,Kahlil Dukes missed Three Point Jumper.,43,33
18:35,349,Jacob Kessler Defensive Rebound.,43,33
18:26,315,Foul on Marvin Prochet.,43,33
18:20,349,Luke Morrison missed Layup.,43,33
18:20,315,Dominic Robb Defensive Rebound.,43,33
18:11,315,Keleaf Tate Turnover.,43,33
17:56,349,Thomas Funk missed Layup.,43,33
17:56,349,Matthew Wilson Offensive Rebound.,43,33
17:56,349,Matthew Wilson made Layup.,45,33
17:54,315,Foul on Keleaf Tate.,45,33
17:54,349,Matthew Wilson missed Free Throw.,45,33
17:54,315,Marvin Prochet Defensive Rebound.,45,33
17:48,315,Keleaf Tate made Three Point Jumper. Assisted by Kahlil Dukes.,45,36
17:31,349,Luke Morrison missed Jumper.,45,36
17:31,349,Army Offensive Rebound.,45,36
17:18,349,Jordan Fox missed Three Point Jumper.,45,36
17:18,315,Niagara Defensive Rebound.,45,36
16:54,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,45,39
16:37,349,Jordan Fox made Three Point Jumper. Assisted by Babacar Thiombane.,48,39
16:03,315,Marvin Prochet missed Three Point Jumper.,48,39
16:03,349,Babacar Thiombane Block.,48,39
16:00,315,Marvin Prochet Offensive Rebound.,48,39
15:58,315,Kahlil Dukes missed Jumper.,48,39
15:58,315,Marvin Prochet Offensive Rebound.,48,39
15:49,315,Matt Scott missed Layup.,48,39
15:49,315,Matt Scott Offensive Rebound.,48,39
15:46,315,Matt Scott made Layup.,48,41
15:34,315,Foul on Keleaf Tate.,48,41
15:34,315,Official TV Timeout,48,41
15:34,349,Jacob Kessler missed Free Throw.,48,41
15:34,349,Army Deadball Team Rebound.,48,41
15:34,349,Jacob Kessler made Free Throw.,49,41
15:13,315,Keleaf Tate missed Layup.,49,41
15:13,315,Matt Scott Offensive Rebound.,49,41
15:10,315,Matt Scott made Layup.,49,43
14:58,349,John Emezie made Layup.,51,43
14:36,315,Matt Scott missed Layup.,51,43
14:36,349,Babacar Thiombane Defensive Rebound.,51,43
14:18,349,Alex King made Layup. Assisted by Tucker Blackwell.,53,43
14:11,315,Dominic Robb made Layup. Assisted by James Towns.,53,45
14:01,349,Jordan Fox missed Jumper.,53,45
14:01,315,Matt Scott Defensive Rebound.,53,45
13:52,315,Keleaf Tate missed Jumper.,53,45
13:52,349,Babacar Thiombane Defensive Rebound.,53,45
13:26,349,Babacar Thiombane missed Jumper.,53,45
13:26,315,Marvin Prochet Defensive Rebound.,53,45
13:14,315,Matt Scott Turnover.,53,45
13:14,315,Foul on Matt Scott.,53,45
13:04,349,Tucker Blackwell Turnover.,53,45
13:04,315,Greg King Steal.,53,45
12:59,349,Foul on Tucker Blackwell.,53,45
12:54,315,Kevin Larkin missed Three Point Jumper.,53,45
12:54,349,Matthew Wilson Defensive Rebound.,53,45
12:41,349,Matthew Wilson missed Layup.,53,45
12:41,315,Matt Scott Defensive Rebound.,53,45
12:38,349,Foul on Luke Morrison.,53,45
12:24,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,53,48
11:53,349,Tucker Blackwell missed Three Point Jumper.,53,48
11:53,315,Marvin Prochet Defensive Rebound.,53,48
11:45,315,Greg King Turnover.,53,48
11:45,315,Foul on Greg King.,53,48
11:45,315,Official TV Timeout,53,48
11:28,349,Thomas Funk Turnover.,53,48
11:27,315,Marvin Prochet Steal.,53,48
11:06,349,Foul on Matthew Wilson.,53,48
11:06,315,Matt Scott missed Free Throw.,53,48
11:06,315,Niagara Deadball Team Rebound.,53,48
11:06,315,Matt Scott missed Free Throw.,53,48
11:06,315,Greg King Offensive Rebound.,53,48
11:02,349,Foul on Matthew Wilson.,53,48
11:02,315,Greg King made Free Throw.,53,49
11:02,315,Greg King missed Free Throw.,53,49
11:02,349,Luke Morrison Defensive Rebound.,53,49
10:46,349,Luke Morrison missed Three Point Jumper.,53,49
10:46,315,Kevin Larkin Defensive Rebound.,53,49
10:38,315,Matt Scott made Layup.,53,51
10:33,315,Foul on Kevin Larkin.,53,51
10:19,349,Thomas Funk Turnover.,53,51
10:17,315,Greg King Steal.,53,51
9:56,315,Greg King made Dunk. Assisted by James Towns.,53,53
9:36,349,Luke Morrison Turnover.,53,53
9:35,315,Marvin Prochet Steal.,53,53
9:17,315,Kevin Larkin Turnover.,53,53
9:17,315,Foul on Kevin Larkin.,53,53
9:03,349,Tucker Blackwell missed Jumper.,53,53
9:03,315,Keleaf Tate Defensive Rebound.,53,53
8:41,349,Foul on Jordan Fox.,53,53
8:33,349,Foul on Babacar Thiombane.,53,53
8:33,315,Matt Scott made Free Throw.,53,54
8:33,315,Matt Scott missed Free Throw.,53,54
8:33,349,Tucker Blackwell Defensive Rebound.,53,54
8:28,349,Jordan Fox made Layup.,55,54
7:55,315,Matt Scott missed Jumper.,55,54
7:55,349,Alex King Defensive Rebound.,55,54
7:44,349,Alex King missed Layup.,55,54
7:44,315,Matt Scott Block.,55,54
7:43,315,Keleaf Tate Defensive Rebound.,55,54
7:36,349,Foul on Babacar Thiombane.,55,54
7:36,315,Official TV Timeout,55,54
7:36,315,Keleaf Tate missed Free Throw.,55,54
7:36,315,Niagara Deadball Team Rebound.,55,54
7:36,315,Keleaf Tate made Free Throw.,55,55
7:20,349,Thomas Funk Turnover.,55,55
7:20,315,Matt Scott Steal.,55,55
7:20,315,Niagara  Timeout,55,55
6:58,349,Foul on Jordan Fox.,55,55
6:58,315,James Towns missed Free Throw.,55,55
6:58,349,Jacob Kessler Defensive Rebound.,55,55
6:34,349,Jordan Fox made Layup.,57,55
6:02,315,James Towns made Three Point Jumper. Assisted by Matt Scott.,57,58
5:43,349,Jordan Fox missed Jumper.,57,58
5:43,315,Dominic Robb Defensive Rebound.,57,58
5:31,349,Foul on Jacob Kessler.,57,58
5:31,315,Matt Scott made Free Throw.,57,59
5:31,315,Matt Scott made Free Throw.,57,60
5:18,349,Thomas Funk missed Layup.,57,60
5:18,315,Dominic Robb Block.,57,60
5:18,349,Army Offensive Rebound.,57,60
5:11,349,Matthew Wilson made Layup. Assisted by Tucker Blackwell.,59,60
4:43,315,James Towns made Three Point Jumper.,59,63
4:36,315,Foul on Kahlil Dukes.,59,63
4:36,349,Jordan Fox missed Free Throw.,59,63
4:36,315,Matt Scott Defensive Rebound.,59,63
4:12,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,59,66
3:56,349,Jacob Kessler missed Three Point Jumper.,59,66
3:56,315,Marvin Prochet Defensive Rebound.,59,66
3:36,315,Kahlil Dukes missed Three Point Jumper.,59,66
3:36,349,Matthew Wilson Defensive Rebound.,59,66
3:27,349,Jordan Fox Turnover.,59,66
3:27,349,Foul on Jordan Fox.,59,66
3:27,315,Official TV Timeout,59,66
3:00,315,Marvin Prochet missed Jumper.,59,66
3:00,349,Thomas Funk Defensive Rebound.,59,66
2:52,349,John Emezie made Three Point Jumper. Assisted by Alex King.,62,66
2:19,315,Dominic Robb missed Jumper.,62,66
2:19,349,Matthew Wilson Defensive Rebound.,62,66
2:18,315,Foul on Dominic Robb.,62,66
2:18,349,Matthew Wilson missed Free Throw.,62,66
2:18,315,Matt Scott Defensive Rebound.,62,66
2:00,315,Dominic Robb made Layup. Assisted by Matt Scott.,62,68
1:59,349,Foul on Thomas Funk.,62,68
1:59,315,Dominic Robb made Free Throw.,62,69
1:50,349,Jordan Fox made Layup.,64,69
1:44,315,Niagara  Timeout,64,69
1:38,315,Dominic Robb missed Layup.,64,69
1:38,349,John Emezie Block.,64,69
1:38,315,Niagara Offensive Rebound.,64,69
1:35,349,Foul on Babacar Thiombane.,64,69
1:35,315,Dominic Robb missed Free Throw.,64,69
1:35,315,Niagara Deadball Team Rebound.,64,69
1:35,315,Dominic Robb made Free Throw.,64,70
1:27,349,Alex King missed Three Point Jumper.,64,70
1:27,349,Jordan Fox Offensive Rebound.,64,70
1:21,349,Jordan Fox made Two Point Tip Shot.,66,70
1:10,349,Foul on Thomas Funk.,66,70
1:10,315,James Towns made Free Throw.,66,71
1:10,315,James Towns made Free Throw.,66,72
1:05,349,Jordan Fox made Three Point Jumper. Assisted by Thomas Funk.,69,72
1:01,349,Army  Timeout,69,72
0:45,349,Foul on John Emezie.,69,72
0:45,315,Matt Scott made Free Throw.,69,73
0:45,315,Matt Scott made Free Throw.,69,74
0:41,349,Luke Morrison missed Three Point Jumper.,69,74
0:41,349,Army Offensive Rebound.,69,74
0:29,349,Jordan Fox missed Layup.,69,74
0:29,315,Marvin Prochet Defensive Rebound.,69,74
0:27,349,Foul on Thomas Funk.,69,74
0:27,315,Kahlil Dukes made Free Throw.,69,75
0:27,315,Kahlil Dukes missed Free Throw.,69,75
0:27,349,Matthew Wilson Defensive Rebound.,69,75
0:23,349,Thomas Funk missed Layup.,69,75
0:23,349,Matthew Wilson Offensive Rebound.,69,75
0:23,349,Matthew Wilson made Two Point Tip Shot.,71,75
0:20,349,Army  Timeout,71,75
0:17,349,Foul on Tucker Blackwell.,71,75
0:17,315,James Towns missed Free Throw.,71,75
0:17,315,Niagara Deadball Team Rebound.,71,75
0:17,315,James Towns made Free Throw.,71,76
0:10,349,Thomas Funk missed Three Point Jumper.,71,76
0:10,315,Marvin Prochet Defensive Rebound.,71,76
0:08,349,Foul on Alex King.,71,76
0:08,315,Marvin Prochet missed Free Throw.,71,76
0:08,315,Niagara Deadball Team Rebound.,71,76
0:08,315,Marvin Prochet made Free Throw.,71,77
0:05,349,Jordan Fox missed Three Point Jumper.,71,77
0:05,315,Marvin Prochet Defensive Rebound.,71,77
0:00,315,End of Game,71,77
