Howard,2335,Liberty,47
13:24,47,Kyle Foster Turnover.,30,49
13:22,2335,Caleb Homesley Steal.,30,49
13:19,2335,Elijah Cuffee made Layup. Assisted by Caleb Homesley.,30,51
12:50,47,Nate Garvey missed Three Point Jumper.,30,51
12:50,2335,Caleb Homesley Defensive Rebound.,30,51
12:27,2335,Caleb Homesley missed Jumper.,30,51
12:27,47,Nate Garvey Defensive Rebound.,30,51
12:17,2335,Foul on Scottie James.,30,51
12:17,47,Marcus Hall missed Free Throw.,30,51
12:17,47,Howard Deadball Team Rebound.,30,51
12:17,47,Marcus Hall missed Free Throw.,30,51
12:17,2335,Ryan Kemrite Defensive Rebound.,30,51
11:55,2335,Elijah Cuffee made Jumper. Assisted by Lovell Cabbil.,30,53
11:55,47,Foul on RJ Cole.,30,53
11:55,2335,Official TV Timeout,30,53
11:55,2335,Elijah Cuffee made Free Throw.,30,54
11:37,2335,Foul on Ezra Talbert.,30,54
11:37,47,Kai Tease missed Free Throw.,30,54
11:37,47,Howard Deadball Team Rebound.,30,54
11:37,47,Kai Tease made Free Throw.,31,54
11:14,2335,Lovell Cabbil missed Three Point Jumper.,31,54
11:14,47,Jalen Jones Defensive Rebound.,31,54
11:03,47,RJ Cole missed Jumper.,31,54
11:03,2335,Georgie Pacheco-Ortiz Defensive Rebound.,31,54
10:40,2335,Lovell Cabbil Turnover.,31,54
10:38,47,Zion Cousins Steal.,31,54
10:34,47,RJ Cole made Layup.,33,54
10:16,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by Elijah Cuffee.,33,57
9:56,47,Charles Williams made Layup.,35,57
9:52,2335,Keegan McDowell missed Layup.,35,57
9:52,47,RJ Cole Defensive Rebound.,35,57
9:47,47,Kai Tease made Three Point Jumper. Assisted by RJ Cole.,38,57
9:10,47,Foul on Zion Cousins.,38,57
9:10,2335,Scottie James made Free Throw.,38,58
9:10,2335,Scottie James made Free Throw.,38,59
8:57,47,Kai Tease missed Three Point Jumper.,38,59
8:57,47,Marcus Hall Offensive Rebound.,38,59
8:53,47,Kai Tease made Layup. Assisted by Marcus Hall.,40,59
8:31,2335,Keegan McDowell missed Jumper.,40,59
8:31,47,Zion Cousins Defensive Rebound.,40,59
8:21,2335,Foul on Keegan McDowell.,40,59
8:21,47,RJ Cole made Free Throw.,41,59
8:21,47,RJ Cole missed Free Throw.,41,59
8:21,2335,Ryan Kemrite Defensive Rebound.,41,59
8:01,47,Foul on Marcus Hall.,41,59
8:01,2335,Isaiah Williams missed Free Throw.,41,59
8:01,2335,Liberty Deadball Team Rebound.,41,59
8:01,2335,Isaiah Williams made Free Throw.,41,60
7:50,47,RJ Cole made Layup.,43,60
7:50,2335,Foul on Isaiah Williams.,43,60
7:50,2335,Official TV Timeout,43,60
7:50,47,RJ Cole made Free Throw.,44,60
7:50,2335,Liberty  Timeout,44,60
7:49,2335,Official TV Timeout,43,60
7:45,47,Foul on RJ Cole.,44,60
7:35,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by Elijah Cuffee.,44,63
7:16,47,Jalen Jones made Layup. Assisted by Nate Garvey.,46,63
6:39,2335,Ryan Kemrite made Three Point Jumper. Assisted by Georgie Pacheco-Ortiz.,46,66
6:20,47,Kyle Foster missed Three Point Jumper.,46,66
6:20,2335,Elijah Cuffee Defensive Rebound.,46,66
5:59,2335,Ryan Kemrite made Layup.,46,68
5:28,47,Dalique Mingo Turnover.,46,68
5:05,2335,Elijah Cuffee missed Three Point Jumper.,46,68
5:05,47,RJ Cole Defensive Rebound.,46,68
4:57,47,Kai Tease missed Three Point Jumper.,46,68
4:57,47,RJ Cole Offensive Rebound.,46,68
4:50,47,Charles Williams made Three Point Jumper. Assisted by RJ Cole.,49,68
4:50,47,Howard  Timeout,49,68
4:33,2335,Caleb Homesley made Layup. Assisted by Lovell Cabbil.,49,70
4:11,47,Kai Tease Turnover.,49,70
4:02,2335,Georgie Pacheco-Ortiz Turnover.,49,70
3:57,47,RJ Cole missed Layup.,49,70
3:57,2335,Caleb Homesley Defensive Rebound.,49,70
3:34,2335,Official TV Timeout,49,70
3:29,2335,Caleb Homesley made Three Point Jumper. Assisted by Lovell Cabbil.,49,73
3:11,47,RJ Cole missed Three Point Jumper.,49,73
3:11,2335,Scottie James Defensive Rebound.,49,73
2:44,2335,Georgie Pacheco-Ortiz Turnover.,49,73
2:44,47,Charles Williams Steal.,49,73
2:39,47,Charles Williams missed Three Point Jumper.,49,73
2:39,47,Kyle Foster Offensive Rebound.,49,73
2:27,47,Kyle Foster made Three Point Jumper. Assisted by RJ Cole.,52,73
1:59,2335,Elijah Cuffee Turnover.,52,73
1:58,47,Zion Cousins Steal.,52,73
1:49,2335,Foul on Elijah Cuffee.,52,73
1:49,47,RJ Cole made Free Throw.,53,73
1:49,47,RJ Cole made Free Throw.,54,73
1:21,2335,Keegan McDowell missed Layup.,54,73
1:21,47,Jalen Jones Block.,54,73
1:19,2335,Lovell Cabbil Offensive Rebound.,54,73
1:17,2335,Liberty  Turnover.,54,73
1:03,2335,Foul on Caleb Homesley.,54,73
1:03,47,Kyle Foster missed Free Throw.,54,73
1:03,2335,Scottie James Defensive Rebound.,54,73
0:44,2335,Liberty  Timeout,54,73
0:33,2335,Ezra Talbert made Jumper. Assisted by Brody Hicks.,54,75
0:25,2335,Foul on Brody Hicks.,54,75
0:25,47,Jalen Jones missed Free Throw.,54,75
0:25,47,Howard Deadball Team Rebound.,54,75
0:25,47,Jalen Jones missed Free Throw.,54,75
0:25,47,Howard Deadball Team Rebound.,54,75
0:25,47,Jalen Jones made Free Throw.,55,75
0:00,2335,End of Game,55,75
