Albany,2405,Monmouth,399
17:19,2405,Zac Tillman made Jumper.,42,34
16:59,399,Joe Cremo made Jumper.,44,34
16:45,2405,Zac Tillman made Layup.,44,36
16:45,399,Foul on Alex Foster.,44,36
16:45,2405,Zac Tillman made Free Throw.,44,37
16:29,2405,Foul on Zac Tillman.,44,37
16:29,399,Travis Charles made Free Throw.,45,37
16:29,399,Travis Charles made Free Throw.,46,37
16:14,399,Foul on Matt Conway.,46,37
16:06,399,Foul on Travis Charles.,46,37
16:06,2405,Diago Quinn missed Free Throw.,46,37
16:06,2405,Monmouth Deadball Team Rebound.,46,37
16:06,2405,Diago Quinn made Free Throw.,46,38
15:58,399,David Nichols Turnover.,46,38
15:56,2405,Ray Salnave Steal.,46,38
15:53,2405,Deion Hammond made Dunk.,46,40
15:39,399,Matt Conway missed Three Point Jumper.,46,40
15:39,2405,Mustapha Traore Defensive Rebound.,46,40
15:31,2405,Austin Tilghman missed Layup.,46,40
15:31,2405,Mustapha Traore Offensive Rebound.,46,40
15:26,2405,Mustapha Traore made Jumper.,46,42
15:12,399,David Nichols missed Three Point Jumper.,46,42
15:12,2405,Monmouth Offensive Rebound.,46,42
14:48,2405,Diago Quinn missed Layup.,46,42
14:48,399,Joe Cremo Defensive Rebound.,46,42
14:31,2405,Foul on Deion Hammond.,46,42
14:31,399,Devonte Campbell made Free Throw.,47,42
14:31,399,Devonte Campbell missed Free Throw.,47,42
14:31,2405,Mustapha Traore Defensive Rebound.,47,42
14:28,2405,Deion Hammond missed Three Point Jumper.,47,42
14:28,399,Devonte Campbell Defensive Rebound.,47,42
14:07,399,Joe Cremo Turnover.,47,42
14:06,2405,Mustapha Traore Steal.,47,42
14:03,2405,Mustapha Traore Turnover.,47,42
14:02,399,Joe Cremo Steal.,47,42
13:57,2405,Foul on Diago Quinn.,47,42
13:57,399,Joe Cremo made Free Throw.,48,42
13:57,399,Joe Cremo made Free Throw.,49,42
13:44,2405,Diago Quinn made Layup.,49,44
13:44,399,Foul on Greig Stire.,49,44
13:44,2405,Diago Quinn missed Free Throw.,49,44
13:44,399,Devonte Campbell Defensive Rebound.,49,44
13:22,399,David Nichols Turnover.,49,44
13:22,2405,Ray Salnave Steal.,49,44
13:22,399,Foul on David Nichols.,49,44
13:09,2405,Deion Hammond made Three Point Jumper. Assisted by Austin Tilghman.,49,47
13:08,399,Foul on Joe Cremo.,49,47
13:08,2405,Deion Hammond missed Free Throw.,49,47
13:08,399,Matt Conway Defensive Rebound.,49,47
12:51,2405,Foul on Deion Hammond.,49,47
12:39,399,Travis Charles made Jumper.,51,47
12:25,2405,Diago Quinn made Jumper.,51,49
12:03,399,Travis Charles missed Jumper.,51,49
12:03,2405,Diago Quinn Defensive Rebound.,51,49
11:50,2405,Micah Seaborn missed Jumper.,51,49
11:50,399,David Nichols Defensive Rebound.,51,49
11:43,399,David Nichols missed Layup.,51,49
11:43,399,Joe Cremo Offensive Rebound.,51,49
11:41,399,Joe Cremo missed Layup.,51,49
11:40,2405,Diago Quinn Block.,51,49
11:40,399,Albany Offensive Rebound.,51,49
11:35,399,David Nichols Turnover.,51,49
11:22,2405,Deion Hammond missed Three Point Jumper.,51,49
11:22,399,Travis Charles Defensive Rebound.,51,49
11:05,2405,Foul on Ray Salnave.,51,49
11:05,399,David Nichols missed Free Throw.,51,49
11:05,2405,Mustapha Traore Defensive Rebound.,51,49
10:51,2405,Ray Salnave missed Three Point Jumper.,51,49
10:51,399,Joe Cremo Defensive Rebound.,51,49
10:29,399,Travis Charles made Layup.,53,49
10:11,2405,Micah Seaborn made Three Point Jumper. Assisted by Ray Salnave.,53,52
9:48,399,Devonte Campbell missed Three Point Jumper.,53,52
9:48,399,Travis Charles Offensive Rebound.,53,52
9:43,2405,Foul on Deion Hammond.,53,52
9:43,399,Travis Charles missed Free Throw.,53,52
9:43,2405,Austin Tilghman Defensive Rebound.,53,52
9:35,2405,Micah Seaborn missed Jumper.,53,52
9:35,399,David Nichols Defensive Rebound.,53,52
9:12,399,Joe Cremo made Jumper.,55,52
8:59,2405,Mustapha Traore made Layup. Assisted by Zac Tillman.,55,54
8:35,399,Matt Conway made Layup.,57,54
8:06,2405,Zac Tillman made Jumper.,57,56
7:47,399,Devonte Campbell made Layup.,59,56
7:24,2405,Mustapha Traore missed Jumper.,59,56
7:24,399,Travis Charles Defensive Rebound.,59,56
7:21,2405,Foul on Zac Tillman.,59,56
7:21,2405,Official TV Timeout,59,56
7:21,399,Travis Charles made Free Throw.,60,56
7:21,399,Travis Charles made Free Throw.,61,56
6:59,399,Foul on Devonte Campbell.,61,56
6:59,2405,Micah Seaborn made Free Throw.,61,57
6:59,2405,Micah Seaborn made Free Throw.,61,58
6:51,399,David Nichols missed Jumper.,61,58
6:51,399,Albany Offensive Rebound.,61,58
6:27,2405,Micah Seaborn missed Layup.,61,58
6:27,399,Alex Foster Block.,61,58
6:27,2405,Monmouth Offensive Rebound.,61,58
6:23,2405,Micah Seaborn made Three Point Jumper.,61,61
5:59,399,Joe Cremo made Jumper.,63,61
5:59,2405,Foul on Micah Seaborn.,63,61
5:59,399,Joe Cremo made Free Throw.,64,61
5:37,2405,Austin Tilghman missed Three Point Jumper.,64,61
5:37,399,Alex Foster Defensive Rebound.,64,61
5:15,399,David Nichols missed Layup.,64,61
5:15,399,Albany Offensive Rebound.,64,61
5:13,399,Devonte Campbell Turnover.,64,61
4:46,2405,Ray Salnave made Layup.,64,63
4:45,399,Foul on Travis Charles.,64,63
4:45,2405,Ray Salnave made Free Throw.,64,64
4:30,2405,Foul on Melik Martin.,64,64
4:30,399,David Nichols made Free Throw.,65,64
4:30,399,David Nichols missed Free Throw.,65,64
4:30,2405,Melik Martin Defensive Rebound.,65,64
4:08,2405,Ray Salnave made Three Point Jumper. Assisted by Micah Seaborn.,65,67
3:42,399,Devonte Campbell made Layup.,67,67
3:42,2405,Foul on Diago Quinn.,67,67
3:42,399,Devonte Campbell missed Free Throw.,67,67
3:42,2405,Zac Tillman Defensive Rebound.,67,67
3:16,2405,Zac Tillman made Jumper.,67,69
2:50,399,Greig Stire Turnover.,67,69
2:48,2405,Ray Salnave Steal.,67,69
2:45,399,Foul on Greig Stire.,67,69
2:45,2405,Ray Salnave made Free Throw.,67,70
2:45,2405,Ray Salnave made Free Throw.,67,71
2:28,399,Devonte Campbell made Layup. Assisted by David Nichols.,69,71
2:16,399,Foul on Travis Charles.,69,71
2:16,2405,Zac Tillman made Free Throw.,69,72
2:16,2405,Zac Tillman missed Free Throw.,69,72
2:16,399,Travis Charles Defensive Rebound.,69,72
2:09,399,Albany  Timeout,69,72
2:02,399,David Nichols missed Jumper.,69,72
2:02,2405,Ray Salnave Defensive Rebound.,69,72
2:00,399,Foul on David Nichols.,69,72
2:00,2405,Ray Salnave made Free Throw.,69,73
2:00,2405,Ray Salnave missed Free Throw.,69,73
2:00,399,Joe Cremo Defensive Rebound.,69,73
1:47,2405,Foul on Micah Seaborn.,69,73
1:47,399,Joe Cremo made Free Throw.,70,73
1:47,399,Joe Cremo made Free Throw.,71,73
1:21,2405,Austin Tilghman made Layup.,71,75
1:02,399,Joe Cremo Turnover.,71,75
1:02,399,Foul on Joe Cremo.,71,75
0:36,399,Foul on Travis Charles.,71,75
0:36,2405,Ray Salnave made Free Throw.,71,76
0:36,2405,Ray Salnave made Free Throw.,71,77
0:23,399,David Nichols missed Three Point Jumper.,71,77
0:23,2405,Micah Seaborn Defensive Rebound.,71,77
0:20,399,Foul on David Nichols.,71,77
0:20,2405,Micah Seaborn made Free Throw.,71,78
0:20,2405,Micah Seaborn made Free Throw.,71,79
0:12,399,Joe Cremo made Layup.,73,79
0:11,399,Albany  Timeout,73,79
0:09,399,Foul on Alex Foster.,73,79
0:09,2405,Austin Tilghman made Free Throw.,73,80
0:09,2405,Austin Tilghman made Free Throw.,73,81
0:04,399,Joe Cremo missed Three Point Jumper.,73,81
0:04,2405,Zac Tillman Defensive Rebound.,73,81
0:00,2405,End of Game,73,81
