Lamar,2638,UTEP,2320
7:26,2320,Josh Nzeakor Defensive Rebound.,26,15
7:07,2320,Zjori Bosha made Three Point Jumper. Assisted by Joey Frenchwood.,29,15
6:48,2638,Paul Thomas missed Jumper.,29,15
6:48,2320,Colton Weisbrod Defensive Rebound.,29,15
6:41,2320,Zjori Bosha made Three Point Jumper. Assisted by Joey Frenchwood.,32,15
6:25,2638,Evan Gilyard made Three Point Jumper.,32,18
6:07,2320,Joey Frenchwood made Three Point Jumper.,35,18
5:52,2638,Kobe Magee missed Three Point Jumper.,35,18
5:52,2320,Josh Nzeakor Defensive Rebound.,35,18
5:31,2320,Josh Nzeakor missed Jumper.,35,18
5:31,2638,Evan Gilyard Defensive Rebound.,35,18
5:22,2638,Paul Thomas missed Jumper.,35,18
5:22,2320,Josh Nzeakor Defensive Rebound.,35,18
5:04,2320,Joey Frenchwood made Three Point Jumper. Assisted by Colton Weisbrod.,38,18
4:47,2638,Evan Gilyard missed Jumper.,38,18
4:47,2320,Josh Nzeakor Defensive Rebound.,38,18
4:44,2638,Foul on Paul Thomas.,38,18
4:44,2638,Official TV Timeout,38,18
4:23,2320,Josh Nzeakor Turnover.,38,18
4:06,2638,Isiah Osborne made Three Point Jumper.,38,21
4:06,2320,Foul on Joey Frenchwood.,38,21
4:06,2638,Isiah Osborne missed Free Throw.,38,21
4:06,2320,Colton Weisbrod Defensive Rebound.,38,21
3:45,2320,Nick Garth made Three Point Jumper. Assisted by Joey Frenchwood.,41,21
3:29,2320,Foul on Zjori Bosha.,41,21
3:29,2638,Official TV Timeout,41,21
3:23,2638,Keith Frazier Turnover.,41,21
3:05,2320,Nick Garth missed Three Point Jumper.,41,21
3:05,2638,Omega Harris Defensive Rebound.,41,21
2:40,2638,Tirus Smith missed Layup.,41,21
2:40,2638,Tirus Smith Offensive Rebound.,41,21
2:35,2638,Tirus Smith Turnover.,41,21
2:35,2320,Joey Frenchwood Steal.,41,21
2:13,2320,Foul on Josh Nzeakor.,41,21
2:13,2320,Josh Nzeakor Turnover.,41,21
1:55,2638,Omega Harris missed Three Point Jumper.,41,21
1:55,2320,Colton Weisbrod Defensive Rebound.,41,21
1:32,2320,Colton Weisbrod made Jumper.,43,21
1:13,2638,Tirus Smith made Layup.,43,23
1:13,2320,Foul on Avery Sullivan.,43,23
1:13,2638,Tirus Smith missed Free Throw.,43,23
1:13,2320,Zjori Bosha Defensive Rebound.,43,23
0:45,2320,Colton Weisbrod made Jumper.,45,23
0:32,2320,Foul on Avery Sullivan.,45,23
0:31,2638,Omega Harris made Two Point Tip Shot. Assisted by Kobe Magee.,45,25
0:01,2320,Zjori Bosha missed Three Point Jumper.,45,25
0:01,2638,UTEP Defensive Rebound.,45,25
0:00,2638,End of 1st half,45,25
19:49,2320,Foul on Josh Nzeakor.,45,25
19:42,2638,Kobe Magee missed Three Point Jumper.,45,25
19:42,2638,Kobe Magee Offensive Rebound.,45,25
19:38,2638,Kobe Magee Turnover.,45,25
19:28,2638,Foul on Paul Thomas.,45,25
19:14,2320,Josh Nzeakor missed Layup.,45,25
19:14,2638,Paul Thomas Block.,45,25
19:13,2320,Josh Nzeakor Offensive Rebound.,45,25
19:10,2320,Josh Nzeakor made Two Point Tip Shot.,47,25
18:51,2638,Isiah Osborne missed Three Point Jumper.,47,25
18:51,2320,Zjori Bosha Defensive Rebound.,47,25
18:37,2320,Nick Garth made Layup.,49,25
18:12,2638,Isiah Osborne missed Jumper.,49,25
18:12,2320,Zjori Bosha Defensive Rebound.,49,25
17:42,2320,Joey Frenchwood missed Three Point Jumper.,49,25
17:42,2638,Omega Harris Defensive Rebound.,49,25
17:31,2638,Omega Harris missed Jumper.,49,25
17:31,2320,Josh Nzeakor Defensive Rebound.,49,25
17:22,2320,Josh Nzeakor missed Layup.,49,25
17:22,2638,Isiah Osborne Defensive Rebound.,49,25
17:09,2638,Paul Thomas missed Jumper.,49,25
17:09,2320,Colton Weisbrod Defensive Rebound.,49,25
16:45,2320,Colton Weisbrod missed Jumper.,49,25
16:45,2638,Isiah Osborne Defensive Rebound.,49,25
16:38,2320,Foul on Colton Weisbrod.,49,25
16:38,2638,Isiah Osborne made Free Throw.,49,26
16:38,2638,Isiah Osborne made Free Throw.,49,27
16:16,2320,Colton Weisbrod missed Jumper.,49,27
16:16,2638,Kobe Magee Defensive Rebound.,49,27
15:51,2638,Trey Wade made Layup. Assisted by Omega Harris.,49,29
15:32,2320,Colton Weisbrod made Layup.,51,29
15:12,2320,Foul on Josh Nzeakor.,51,29
15:12,2638,Official TV Timeout,51,29
15:12,2638,Paul Thomas made Free Throw.,51,30
15:12,2638,Paul Thomas missed Free Throw.,51,30
15:12,2320,T.J. Atwood Defensive Rebound.,51,30
14:56,2320,Colton Weisbrod missed Jumper.,51,30
14:56,2638,Keith Frazier Block.,51,30
14:53,2320,Colton Weisbrod Offensive Rebound.,51,30
14:51,2320,Colton Weisbrod missed Jumper.,51,30
14:51,2638,Paul Thomas Defensive Rebound.,51,30
14:42,2638,Omega Harris missed Three Point Jumper.,51,30
14:42,2320,T.J. Atwood Defensive Rebound.,51,30
14:18,2320,T.J. Atwood missed Layup.,51,30
14:18,2638,Keith Frazier Defensive Rebound.,51,30
14:10,2638,Keith Frazier missed Three Point Jumper.,51,30
14:10,2320,Zjori Bosha Defensive Rebound.,51,30
13:57,2320,Zjori Bosha missed Three Point Jumper.,51,30
13:57,2638,Keith Frazier Defensive Rebound.,51,30
13:48,2638,Keith Frazier missed Layup.,51,30
13:48,2320,T.J. Atwood Defensive Rebound.,51,30
13:39,2638,Foul on Omega Harris.,51,30
13:20,2320,Joey Frenchwood missed Layup.,51,30
13:20,2320,T.J. Atwood Offensive Rebound.,51,30
13:19,2638,Foul on Jake Flaggert.,51,30
12:59,2320,Zjori Bosha made Jumper. Assisted by T.J. Atwood.,53,30
12:43,2638,Trey Wade Turnover.,53,30
12:16,2320,Joey Frenchwood missed Jumper.,53,30
12:16,2638,Trey Wade Defensive Rebound.,53,30
12:08,2638,Kobe Magee made Three Point Jumper. Assisted by Jake Flaggert.,53,33
11:53,2320,T.J. Atwood missed Layup.,53,33
11:53,2638,Trey Touchet Defensive Rebound.,53,33
11:48,2638,Trey Wade made Dunk. Assisted by Trey Touchet.,53,35
11:24,2320,Zjori Bosha made Layup.,55,35
10:58,2638,Trey Wade missed Three Point Jumper.,55,35
10:58,2320,Nick Garth Defensive Rebound.,55,35
10:39,2320,Joey Frenchwood missed Three Point Jumper.,55,35
10:39,2320,Zjori Bosha Offensive Rebound.,55,35
10:16,2320,Colton Weisbrod Turnover.,55,35
10:14,2638,Keith Frazier Steal.,55,35
10:14,2320,Foul on Colton Weisbrod.,55,35
10:12,2638,Foul on Omega Harris.,55,35
10:12,2638,Omega Harris Turnover.,55,35
9:48,2320,Colton Weisbrod missed Layup.,55,35
9:48,2638,Keith Frazier Block.,55,35
9:46,2638,Jake Flaggert Defensive Rebound.,55,35
9:23,2638,Omega Harris missed Layup.,55,35
9:23,2638,Omega Harris Offensive Rebound.,55,35
9:18,2638,Trey Touchet missed Three Point Jumper.,55,35
9:18,2638,Tirus Smith Offensive Rebound.,55,35
9:10,2638,Trey Touchet missed Three Point Jumper.,55,35
9:10,2638,Keith Frazier Offensive Rebound.,55,35
9:07,2638,Keith Frazier Turnover.,55,35
8:56,2638,Foul on Jake Flaggert.,55,35
8:56,2320,Zjori Bosha made Free Throw.,56,35
8:56,2320,Zjori Bosha made Free Throw.,57,35
8:44,2638,Trey Touchet Turnover.,57,35
8:21,2320,Torey Noel missed Layup.,57,35
8:21,2638,UTEP Defensive Rebound.,57,35
8:16,2638,Isiah Osborne made Dunk.,57,37
7:39,2320,T.J. Atwood missed Jumper.,57,37
7:39,2638,Jake Flaggert Defensive Rebound.,57,37
7:38,2638,Official TV Timeout,57,37
7:16,2638,Isiah Osborne Turnover.,57,37
7:15,2320,Josh Nzeakor Steal.,57,37
7:01,2320,Zjori Bosha Turnover.,57,37
6:39,2638,Trey Wade made Jumper. Assisted by Omega Harris.,57,39
6:20,2320,Josh Nzeakor missed Jumper.,57,39
6:20,2638,Tirus Smith Defensive Rebound.,57,39
6:19,2320,Foul on Colton Weisbrod.,57,39
6:00,2638,Omega Harris missed Layup.,57,39
6:00,2320,Torey Noel Defensive Rebound.,57,39
5:54,2320,Torey Noel missed Layup.,57,39
5:54,2638,UTEP Defensive Rebound.,57,39
5:37,2320,Foul on Torey Noel.,57,39
5:27,2638,Keith Frazier missed Jumper.,57,39
5:27,2320,Josh Nzeakor Defensive Rebound.,57,39
5:08,2320,Colton Weisbrod Turnover.,57,39
4:53,2638,Keith Frazier missed Three Point Jumper.,57,39
4:53,2320,Josh Nzeakor Defensive Rebound.,57,39
4:46,2320,Colton Weisbrod missed Layup.,57,39
4:46,2638,Paul Thomas Defensive Rebound.,57,39
4:35,2638,Trey Wade missed Layup.,57,39
4:35,2638,Trey Wade Offensive Rebound.,57,39
4:28,2638,Omega Harris made Layup.,57,41
4:25,2638,Foul on Paul Thomas.,57,41
4:06,2638,Foul on Paul Thomas.,57,41
4:06,2320,Torey Noel made Free Throw.,58,41
4:06,2320,Torey Noel made Free Throw.,59,41
3:51,2638,Trey Wade made Three Point Jumper. Assisted by Kobe Magee.,59,44
3:19,2320,Zjori Bosha missed Jumper.,59,44
3:19,2638,Omega Harris Block.,59,44
3:17,2638,Kobe Magee Defensive Rebound.,59,44
3:14,2638,Trey Wade made Layup. Assisted by Omega Harris.,59,46
2:45,2320,Joey Frenchwood missed Three Point Jumper.,59,46
2:45,2638,Tirus Smith Defensive Rebound.,59,46
2:35,2638,Kobe Magee Turnover.,59,46
2:29,2638,Foul on Keith Frazier.,59,46
2:29,2638,Official TV Timeout,59,46
2:29,2320,Zjori Bosha missed Free Throw.,59,46
2:29,2320,Lamar Deadball Team Rebound.,59,46
2:29,2320,Zjori Bosha made Free Throw.,60,46
2:17,2638,Kobe Magee Turnover.,60,46
1:49,2638,Foul on Tirus Smith.,60,46
1:49,2320,Josh Nzeakor missed Free Throw.,60,46
1:49,2320,Lamar Deadball Team Rebound.,60,46
1:49,2320,Josh Nzeakor made Free Throw.,61,46
1:38,2638,Keith Frazier missed Three Point Jumper.,61,46
1:38,2638,Kobe Magee Offensive Rebound.,61,46
1:32,2638,Omega Harris made Layup.,61,48
1:14,2320,Colton Weisbrod Turnover.,61,48
1:13,2638,Trey Wade Steal.,61,48
1:10,2638,Omega Harris made Layup.,61,50
1:10,2320,Lamar  Timeout,61,50
1:02,2320,Lamar  Timeout,61,50
0:58,2320,Zjori Bosha Turnover.,61,50
0:53,2638,Keith Frazier missed Layup.,61,50
0:53,2320,Josh Nzeakor Defensive Rebound.,61,50
0:50,2638,Foul on Trey Wade.,61,50
0:50,2320,Josh Nzeakor missed Free Throw.,61,50
0:50,2320,Lamar Deadball Team Rebound.,61,50
0:50,2320,Josh Nzeakor missed Free Throw.,61,50
0:50,2638,Jake Flaggert Defensive Rebound.,61,50
0:42,2638,Omega Harris missed Three Point Jumper.,61,50
0:42,2638,Keith Frazier Offensive Rebound.,61,50
0:39,2638,Keith Frazier made Layup.,61,52
0:39,2638,UTEP  Timeout,61,52
0:38,2320,Josh Nzeakor made Layup.,63,52
0:38,2638,Foul on Jake Flaggert.,63,52
0:38,2320,Josh Nzeakor missed Free Throw.,63,52
0:38,2638,Keith Frazier Defensive Rebound.,63,52
0:29,2638,Omega Harris missed Three Point Jumper.,63,52
0:29,2638,Kobe Magee Offensive Rebound.,63,52
0:24,2638,Kobe Magee Turnover.,63,52
0:24,2638,Foul on Trey Wade.,63,52
0:24,2320,Nick Garth missed Free Throw.,63,52
0:24,2320,Lamar Deadball Team Rebound.,63,52
0:24,2320,Nick Garth made Free Throw.,64,52
0:22,2638,Trey Wade Turnover.,64,52
0:22,2320,Nick Garth Steal.,64,52
0:22,2320,Nick Garth made Layup.,66,52
0:10,2638,Trey Wade missed Three Point Jumper.,66,52
0:10,2320,Zjori Bosha Defensive Rebound.,66,52
0:00,2638,End of Game,66,52
