Lipscomb,2057,Belmont,288
10:01,288,Michael Buckland Defensive Rebound.,11,11
9:51,288,Matt Rose missed Three Point Jumper.,11,11
9:51,288,Rob Marberry Offensive Rebound.,11,11
9:45,288,Rob Marberry made Two Point Tip Shot.,13,11
9:30,2057,Michael Benkert Turnover.,13,11
9:29,288,Michael Buckland Steal.,13,11
9:26,288,Kenny Cooper Turnover.,13,11
9:24,2057,Dylan Windler Steal.,13,11
9:21,288,Foul on Eli Pepper.,13,11
9:21,2057,Dylan Windler made Free Throw.,13,12
9:21,2057,Dylan Windler missed Free Throw.,13,12
9:21,288,Garrison Mathews Defensive Rebound.,13,12
9:10,288,Aaron Korn missed Three Point Jumper.,13,12
9:10,2057,Dylan Windler Defensive Rebound.,13,12
8:49,2057,Austin Luke made Three Point Jumper. Assisted by Mack Mercer.,13,15
8:23,288,George Brammeier Turnover.,13,15
8:21,2057,Mack Mercer Steal.,13,15
8:15,2057,Kevin McClain missed Three Point Jumper.,13,15
8:15,2057,Dylan Windler Offensive Rebound.,13,15
7:53,288,Foul on George Brammeier.,13,15
7:53,2057,Official TV Timeout,13,15
7:53,2057,Mack Mercer made Free Throw.,13,16
7:53,2057,Mack Mercer made Free Throw.,13,17
7:40,288,Michael Buckland made Three Point Jumper. Assisted by Kenny Cooper.,16,17
7:15,2057,Mack Mercer missed Jumper.,16,17
7:15,288,Rob Marberry Defensive Rebound.,16,17
6:56,288,Rob Marberry made Layup. Assisted by Kenny Cooper.,18,17
6:42,2057,Austin Luke missed Three Point Jumper.,18,17
6:42,288,Aaron Korn Defensive Rebound.,18,17
6:33,288,Michael Buckland missed Three Point Jumper.,18,17
6:33,2057,Dylan Windler Defensive Rebound.,18,17
6:19,2057,Mack Mercer missed Three Point Jumper.,18,17
6:19,288,Michael Buckland Defensive Rebound.,18,17
6:03,288,Kenny Cooper missed Layup.,18,17
6:03,2057,Kevin McClain Defensive Rebound.,18,17
6:03,288,Foul on Garrison Mathews.,18,17
5:45,288,Foul on Kenny Cooper.,18,17
5:45,2057,Kevin McClain missed Free Throw.,18,17
5:45,2057,Belmont Deadball Team Rebound.,18,17
5:40,2057,Kevin McClain missed Free Throw.,18,17
5:40,288,Michael Buckland Defensive Rebound.,18,17
5:23,2057,Amanze Egekeze Defensive Rebound.,18,17
5:23,288,Garrison Mathews missed Jumper.,18,17
5:02,2057,Dylan Windler missed Three Point Jumper.,18,17
5:02,288,Eli Pepper Defensive Rebound.,18,17
4:53,288,Garrison Mathews missed Three Point Jumper.,18,17
4:53,2057,Dylan Windler Defensive Rebound.,18,17
4:38,2057,Amanze Egekeze missed Jumper.,18,17
4:38,288,Michael Buckland Defensive Rebound.,18,17
4:31,288,Kenny Cooper missed Jumper.,18,17
4:31,2057,Nick Hopkins Defensive Rebound.,18,17
4:16,2057,Dylan Windler missed Jumper.,18,17
4:16,2057,Nick Hopkins Offensive Rebound.,18,17
4:12,2057,Amanze Egekeze made Three Point Jumper. Assisted by Nick Hopkins.,18,20
3:53,288,Greg Jones made Three Point Jumper. Assisted by Kenny Cooper.,21,20
3:34,288,Foul on Greg Jones.,21,20
3:34,2057,Official TV Timeout,21,20
3:34,2057,Kevin McClain made Free Throw.,21,21
3:34,2057,Kevin McClain made Free Throw.,21,22
3:20,288,Garrison Mathews made Three Point Jumper. Assisted by Matt Rose.,24,22
2:58,288,Foul on Rob Marberry.,24,22
2:58,2057,Amanze Egekeze made Free Throw.,24,23
2:58,2057,Amanze Egekeze made Free Throw.,24,24
2:46,288,Michael Buckland missed Layup.,24,24
2:46,2057,Austin Luke Defensive Rebound.,24,24
2:39,2057,Dylan Windler Turnover.,24,24
2:32,288,Matt Rose missed Three Point Jumper.,24,24
2:32,2057,Amanze Egekeze Defensive Rebound.,24,24
2:20,2057,Nick Hopkins missed Three Point Jumper.,24,24
2:20,288,Eli Pepper Defensive Rebound.,24,24
2:03,288,Eli Pepper missed Jumper.,24,24
2:03,288,Lipscomb Offensive Rebound.,24,24
1:48,288,Kenny Cooper missed Layup.,24,24
1:48,2057,Mack Mercer Defensive Rebound.,24,24
1:25,2057,Dylan Windler missed Three Point Jumper.,24,24
1:25,288,Eli Pepper Defensive Rebound.,24,24
1:23,2057,Foul on Mack Mercer.,24,24
1:07,288,Garrison Mathews made Layup.,26,24
0:53,2057,Mack Mercer missed Layup.,26,24
0:53,2057,Mack Mercer Offensive Rebound.,26,24
0:53,288,Foul on Matt Rose.,26,24
0:53,2057,Mack Mercer missed Free Throw.,26,24
0:53,2057,Belmont Deadball Team Rebound.,26,24
0:53,2057,Mack Mercer missed Free Throw.,26,24
0:53,288,Matt Rose Defensive Rebound.,26,24
0:35,2057,Foul on Nick Hopkins.,26,24
0:35,288,Lipscomb  Timeout,26,24
0:34,288,Garrison Mathews missed Jumper.,26,24
0:34,2057,Austin Luke Defensive Rebound.,26,24
0:04,2057,Nick Hopkins missed Three Point Jumper.,26,24
0:04,2057,Dylan Windler Offensive Rebound.,26,24
0:00,2057,Dylan Windler made Layup.,26,26
0:00,2057,End of 1st half,26,26
19:35,2057,Amanze Egekeze missed Jumper.,26,26
19:35,288,Rob Marberry Defensive Rebound.,26,26
19:13,288,Rob Marberry made Jumper. Assisted by Garrison Mathews.,28,26
19:02,2057,Amanze Egekeze Turnover.,28,26
18:52,288,Garrison Mathews made Three Point Jumper. Assisted by Eli Pepper.,31,26
18:34,2057,Austin Luke Turnover.,31,26
18:16,288,Michael Buckland made Three Point Jumper. Assisted by Kenny Cooper.,34,26
18:07,2057,Belmont  Timeout,34,26
17:55,2057,Austin Luke Turnover.,34,26
17:53,288,Kenny Cooper Steal.,34,26
17:51,288,Eli Pepper made Three Point Jumper. Assisted by Kenny Cooper.,37,26
17:39,2057,Burton Sampson missed Three Point Jumper.,37,26
17:39,2057,Dylan Windler Offensive Rebound.,37,26
17:33,2057,Dylan Windler Turnover.,37,26
17:21,288,Kenny Cooper made Layup.,39,26
17:21,2057,Foul on Amanze Egekeze.,39,26
17:21,288,Kenny Cooper made Free Throw.,40,26
17:08,2057,Austin Luke made Layup.,40,28
16:57,288,Eli Pepper made Jumper.,42,28
16:40,2057,Nick Hopkins made Three Point Jumper. Assisted by Austin Luke.,42,31
16:27,2057,Foul on Dylan Windler.,42,31
16:25,288,Kenny Cooper Turnover.,42,31
16:16,2057,Seth Adelsperger made Layup. Assisted by Austin Luke.,42,33
15:58,288,Andrew Fleming made Three Point Jumper.,45,33
15:45,2057,Nick Hopkins missed Three Point Jumper.,45,33
15:45,2057,Seth Adelsperger Offensive Rebound.,45,33
15:38,2057,Seth Adelsperger missed Layup.,45,33
15:38,288,Matt Rose Block.,45,33
15:37,2057,Dylan Windler Offensive Rebound.,45,33
15:34,2057,Austin Luke made Three Point Jumper. Assisted by Dylan Windler.,45,36
15:11,288,Andrew Fleming missed Three Point Jumper.,45,36
15:11,2057,Dylan Windler Defensive Rebound.,45,36
15:01,2057,Nick Hopkins missed Three Point Jumper.,45,36
15:01,288,Aaron Korn Defensive Rebound.,45,36
14:51,288,Foul on Andrew Fleming.,45,36
14:51,288,Andrew Fleming Turnover.,45,36
14:51,2057,Official TV Timeout,45,36
14:29,2057,Michael Benkert missed Three Point Jumper.,45,36
14:29,288,George Brammeier Defensive Rebound.,45,36
14:21,2057,Foul on Nick Hopkins.,45,36
14:21,288,Kenny Cooper missed Free Throw.,45,36
14:21,288,Lipscomb Deadball Team Rebound.,45,36
14:21,288,Kenny Cooper missed Free Throw.,45,36
14:21,2057,Dylan Windler Defensive Rebound.,45,36
14:00,2057,Michael Benkert missed Three Point Jumper.,45,36
14:00,288,Garrison Mathews Defensive Rebound.,45,36
13:46,2057,Foul on Dylan Windler.,45,36
13:45,288,Garrison Mathews made Free Throw.,46,36
13:45,288,Garrison Mathews made Free Throw.,47,36
13:34,2057,Kevin McClain missed Layup.,47,36
13:34,288,Michael Buckland Block.,47,36
13:34,288,Garrison Mathews Defensive Rebound.,47,36
13:32,288,Eli Pepper made Three Point Jumper. Assisted by Kenny Cooper.,50,36
13:00,2057,Austin Luke Turnover.,50,36
12:59,288,Kenny Cooper Steal.,50,36
12:59,2057,Foul on Austin Luke.,50,36
12:46,288,Kenny Cooper Turnover.,50,36
12:44,2057,Amanze Egekeze Steal.,50,36
12:39,2057,Amanze Egekeze missed Three Point Jumper.,50,36
12:39,288,Kenny Cooper Defensive Rebound.,50,36
12:34,2057,Foul on Austin Luke.,50,36
12:19,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,53,36
12:08,2057,Kevin McClain missed Three Point Jumper.,53,36
12:08,288,Eli Pepper Defensive Rebound.,53,36
11:53,288,Garrison Mathews missed Jumper.,53,36
11:53,288,Rob Marberry Offensive Rebound.,53,36
11:50,288,Rob Marberry missed Two Point Tip Shot.,53,36
11:50,2057,Amanze Egekeze Defensive Rebound.,53,36
11:34,2057,Amanze Egekeze missed Three Point Jumper.,53,36
11:34,288,Michael Buckland Defensive Rebound.,53,36
11:22,288,Rob Marberry missed Jumper.,53,36
11:22,2057,Amanze Egekeze Defensive Rebound.,53,36
11:05,2057,Seth Adelsperger made Layup. Assisted by Austin Luke.,53,38
10:37,288,Rob Marberry Turnover.,53,38
10:37,2057,Official TV Timeout,53,38
10:12,2057,Austin Luke missed Three Point Jumper.,53,38
10:12,288,Aaron Korn Defensive Rebound.,53,38
9:55,288,Michael Buckland missed Jumper.,53,38
9:55,2057,Kevin McClain Block.,53,38
9:52,2057,Nick Hopkins Defensive Rebound.,53,38
9:43,288,Foul on George Brammeier.,53,38
9:40,2057,Dylan Windler made Layup. Assisted by Austin Luke.,53,40
9:40,288,Foul on Matt Rose.,53,40
9:40,2057,Dylan Windler made Free Throw.,53,41
9:28,288,Matt Rose Turnover.,53,41
9:07,2057,Amanze Egekeze missed Layup.,53,41
9:07,2057,Belmont Offensive Rebound.,53,41
8:54,2057,Dylan Windler missed Layup.,53,41
8:54,288,Rob Marberry Defensive Rebound.,53,41
8:41,288,Rob Marberry made Layup. Assisted by Michael Buckland.,55,41
8:28,2057,Nick Hopkins made Three Point Jumper. Assisted by Austin Luke.,55,44
8:05,288,Rob Marberry made Jumper. Assisted by Aaron Korn.,57,44
7:53,2057,Austin Luke made Three Point Jumper.,57,47
7:33,288,Rob Marberry made Jumper.,59,47
7:18,288,Foul on Michael Buckland.,59,47
7:18,2057,Official TV Timeout,59,47
7:18,2057,Amanze Egekeze made Free Throw.,59,48
7:18,2057,Amanze Egekeze made Free Throw.,59,49
6:59,288,Michael Buckland missed Layup.,59,49
6:59,2057,Seth Adelsperger Defensive Rebound.,59,49
6:42,2057,Seth Adelsperger missed Layup.,59,49
6:42,2057,Nick Hopkins Offensive Rebound.,59,49
6:38,2057,Nick Hopkins made Jumper.,59,51
6:19,288,Rob Marberry made Jumper.,61,51
6:06,2057,Seth Adelsperger missed Layup.,61,51
6:06,288,Rob Marberry Defensive Rebound.,61,51
5:44,288,Aaron Korn made Layup. Assisted by Rob Marberry.,63,51
5:28,2057,Seth Adelsperger made Layup. Assisted by Kevin McClain.,63,53
5:05,288,Garrison Mathews missed Three Point Jumper.,63,53
5:05,2057,Belmont Defensive Rebound.,63,53
4:45,2057,Kevin McClain made Three Point Jumper. Assisted by Amanze Egekeze.,63,56
4:34,288,Eli Pepper Turnover.,63,56
4:34,288,Lipscomb  Timeout,63,56
4:21,2057,Dylan Windler made Jumper.,63,58
4:04,2057,Foul on Kevin McClain.,63,58
4:04,288,Kenny Cooper made Free Throw.,64,58
4:04,288,Kenny Cooper missed Free Throw.,64,58
4:04,2057,Dylan Windler Defensive Rebound.,64,58
3:43,2057,Dylan Windler made Three Point Jumper. Assisted by Kevin McClain.,64,61
3:28,288,Garrison Mathews missed Layup.,64,61
3:28,2057,Seth Adelsperger Defensive Rebound.,64,61
3:14,2057,Amanze Egekeze made Layup.,64,63
2:54,288,Kenny Cooper missed Layup.,64,63
2:54,2057,Amanze Egekeze Defensive Rebound.,64,63
2:53,288,Foul on Eli Pepper.,64,63
2:53,2057,Official TV Timeout,64,63
2:38,2057,Kevin McClain Turnover.,64,63
2:38,288,Kenny Cooper Steal.,64,63
2:35,288,Kenny Cooper made Layup.,66,63
2:07,2057,Dylan Windler missed Three Point Jumper.,66,63
2:07,288,Kenny Cooper Defensive Rebound.,66,63
1:39,2057,Foul on Seth Adelsperger.,66,63
1:39,288,Garrison Mathews made Free Throw.,67,63
1:39,288,Garrison Mathews made Free Throw.,68,63
1:30,2057,Nick Hopkins made Three Point Jumper. Assisted by Kevin McClain.,68,66
1:27,2057,Belmont  Timeout,68,66
1:02,288,Garrison Mathews missed Three Point Jumper.,68,66
1:02,2057,Kevin McClain Defensive Rebound.,68,66
0:48,2057,Dylan Windler Turnover.,68,66
0:47,288,Michael Buckland Steal.,68,66
0:44,288,Lipscomb  Timeout,68,66
0:41,2057,Foul on Nick Hopkins.,68,66
0:41,288,Kenny Cooper made Free Throw.,69,66
0:41,288,Kenny Cooper made Free Throw.,70,66
0:32,2057,Kevin McClain missed Three Point Jumper.,70,66
0:32,288,Rob Marberry Defensive Rebound.,70,66
0:27,2057,Foul on Amanze Egekeze.,70,66
0:27,288,Rob Marberry missed Free Throw.,70,66
0:27,288,Lipscomb Deadball Team Rebound.,70,66
0:27,288,Rob Marberry missed Free Throw.,70,66
0:27,288,Eli Pepper Offensive Rebound.,70,66
0:24,288,Eli Pepper made Layup.,72,66
0:19,288,Foul on Garrison Mathews.,72,66
0:17,2057,Austin Luke missed Three Point Jumper.,72,66
0:17,288,Garrison Mathews Defensive Rebound.,72,66
0:14,2057,Foul on Nick Hopkins.,72,66
0:14,288,Garrison Mathews made Free Throw.,73,66
0:14,288,Garrison Mathews made Free Throw.,74,66
0:10,288,Foul on Aaron Korn.,74,66
0:10,2057,Dylan Windler missed Free Throw.,74,66
0:10,288,Garrison Mathews Defensive Rebound.,74,66
0:00,2057,End of Game,74,66
