Alabama State,2132,Cincinnati,2011
11:12,2132,Cane Broome missed Jumper.,6,21
11:12,2011,Fausto Pichardo Defensive Rebound.,6,21
10:57,2011,Fausto Pichardo made Jumper. Assisted by Terrance LeFlore.,8,21
10:40,2132,Foul on Jarron Cumberland.,8,21
10:40,2132,Jarron Cumberland Turnover.,8,21
10:28,2011,Tobi Ewuosho missed Layup.,8,21
10:28,2011,Fausto Pichardo Offensive Rebound.,8,21
10:21,2011,Fausto Pichardo made Dunk.,10,21
10:13,2132,Keith Williams made Jumper.,10,23
9:47,2011,Jacoby Ross made Three Point Jumper.,13,23
9:28,2011,Foul on Fausto Pichardo.,13,23
9:28,2132,Trevor Moore missed Free Throw.,13,23
9:28,2132,Cincinnati Deadball Team Rebound.,13,23
9:28,2132,Trevor Moore made Free Throw.,13,24
9:20,2011,Terrance LeFlore made Jumper. Assisted by Jacoby Ross.,15,24
9:03,2132,Cane Broome missed Three Point Jumper.,15,24
9:03,2011,Terrance LeFlore Defensive Rebound.,15,24
8:54,2011,Marice Wright missed Three Point Jumper.,15,24
8:54,2132,Trevor Moore Defensive Rebound.,15,24
8:47,2011,Foul on Fausto Pichardo.,15,24
8:47,2132,Trevor Moore made Free Throw.,15,25
8:47,2132,Trevor Moore made Free Throw.,15,26
8:39,2011,Fredens Deneus Turnover.,15,26
8:24,2132,Gary Clark made Layup.,15,28
8:10,2132,Foul on Gary Clark.,15,28
8:01,2011,Fredens Deneus missed Layup.,15,28
8:01,2132,Gary Clark Defensive Rebound.,15,28
7:51,2132,Nysier Brooks made Layup. Assisted by Gary Clark.,15,30
7:39,2011,Terrance LeFlore made Three Point Jumper. Assisted by Tobi Ewuosho.,18,30
7:11,2011,Foul on Marice Wright.,18,30
7:11,2132,Official TV Timeout,18,30
7:11,2132,Nysier Brooks made Free Throw.,18,31
7:11,2132,Nysier Brooks missed Free Throw.,18,31
7:11,2011,Fredens Deneus Defensive Rebound.,18,31
6:55,2011,Fredens Deneus Turnover.,18,31
6:40,2011,Foul on Fredens Deneus.,18,31
6:40,2132,Gary Clark made Free Throw.,18,32
6:40,2132,Gary Clark made Free Throw.,18,33
6:39,2011,Tobi Ewuosho Turnover.,18,33
6:33,2132,Justin Jenifer missed Jumper.,18,33
6:33,2011,Tobi Ewuosho Defensive Rebound.,18,33
6:15,2011,Marice Wright made Jumper. Assisted by Tobi Ewuosho.,20,33
5:49,2132,Gary Clark missed Three Point Jumper.,20,33
5:49,2011,Jacoby Ross Defensive Rebound.,20,33
5:18,2011,Jacoby Ross Turnover.,20,33
5:01,2132,Jarron Cumberland missed Three Point Jumper.,20,33
5:01,2011,Tobi Ewuosho Defensive Rebound.,20,33
4:28,2011,Terrance LeFlore missed Jumper.,20,33
4:28,2011,Branden Johnson Offensive Rebound.,20,33
4:21,2011,Branden Johnson made Layup.,22,33
4:15,2132,Nysier Brooks made Jumper. Assisted by Jacob Evans.,22,35
4:11,2011,Foul on Jacoby Ross.,22,35
4:10,2011,Jacoby Ross Turnover.,22,35
3:46,2132,Jacob Evans made Three Point Jumper. Assisted by Jarron Cumberland.,22,38
3:36,2011,Terrance LeFlore made Jumper.,24,38
3:20,2132,Official TV Timeout,24,38
3:11,2011,Foul on Marice Wright.,24,38
3:11,2132,Gary Clark made Free Throw.,24,39
3:11,2132,Gary Clark made Free Throw.,24,40
2:50,2011,Branden Johnson made Jumper. Assisted by Jacoby Ross.,26,40
2:28,2132,Trevor Moore made Three Point Jumper. Assisted by Cane Broome.,26,43
2:00,2011,Jacoby Ross missed Jumper.,26,43
2:00,2132,Kyle Washington Defensive Rebound.,26,43
1:51,2132,Trevor Moore missed Three Point Jumper.,26,43
1:51,2011,Tobi Ewuosho Defensive Rebound.,26,43
1:40,2011,Tobi Ewuosho Turnover.,26,43
1:40,2132,Trevor Moore Steal.,26,43
1:35,2132,Jacob Evans made Three Point Jumper. Assisted by Cane Broome.,26,46
1:16,2132,Foul on Trevor Moore.,26,46
0:49,2011,Terrance LeFlore missed Jumper.,26,46
0:49,2132,Tre Scott Defensive Rebound.,26,46
0:35,2132,Trevor Moore missed Three Point Jumper.,26,46
0:35,2132,Keith Williams Offensive Rebound.,26,46
0:03,2132,Tre Scott Turnover.,26,46
0:00,2132,End of 1st half,26,46
20:00,2011,Jump Ball won by Alabama State,26,46
19:54,2011,Gene Davis missed Three Point Jumper.,26,46
19:54,2011,Gene Davis Offensive Rebound.,26,46
19:49,2011,Reginald Gee missed Jumper.,26,46
19:49,2011,Ed Jones Offensive Rebound.,26,46
19:34,2011,Ed Jones made Jumper.,28,46
19:11,2132,Justin Jenifer missed Jumper.,28,46
19:11,2011,Ed Jones Block.,28,46
19:11,2011,Branden Johnson Defensive Rebound.,28,46
19:01,2011,Austin Rogers missed Layup.,28,46
19:01,2132,Gary Clark Defensive Rebound.,28,46
18:47,2132,Kyle Washington made Jumper. Assisted by Gary Clark.,28,48
18:19,2011,Ed Jones missed Dunk.,28,48
18:19,2132,Gary Clark Block.,28,48
18:19,2132,Kyle Washington Defensive Rebound.,28,48
17:58,2011,Foul on Branden Johnson.,28,48
17:56,2132,Gary Clark missed Jumper.,28,48
17:56,2011,Terrance LeFlore Defensive Rebound.,28,48
17:49,2011,Terrance LeFlore missed Jumper.,28,48
17:49,2132,Jacob Evans Block.,28,48
17:49,2132,Jacob Evans Defensive Rebound.,28,48
17:44,2011,Foul on Terrance LeFlore.,28,48
17:44,2132,Justin Jenifer made Free Throw.,28,49
17:44,2132,Justin Jenifer made Free Throw.,28,50
17:34,2011,Ed Jones missed Jumper.,28,50
17:34,2011,Branden Johnson Offensive Rebound.,28,50
17:25,2011,Gene Davis missed Jumper.,28,50
17:25,2132,Kyle Washington Defensive Rebound.,28,50
17:15,2132,Justin Jenifer missed Three Point Jumper.,28,50
17:15,2132,Gary Clark Offensive Rebound.,28,50
17:04,2132,Jacob Evans missed Three Point Jumper.,28,50
17:04,2132,Gary Clark Offensive Rebound.,28,50
16:59,2132,Gary Clark made Jumper.,28,52
16:42,2011,Terrance LeFlore Turnover.,28,52
16:42,2132,Jacob Evans Steal.,28,52
16:35,2132,Jarron Cumberland made Layup. Assisted by Jacob Evans.,28,54
16:30,2132,Foul on Jacob Evans.,28,54
16:26,2011,Gene Davis missed Three Point Jumper.,28,54
16:26,2132,Gary Clark Block.,28,54
16:26,2011,Alabama State Offensive Rebound.,28,54
16:10,2011,Terrance LeFlore Turnover.,28,54
16:02,2132,Jacob Evans Turnover.,28,54
16:02,2011,Terrance LeFlore Steal.,28,54
15:57,2011,Terrance LeFlore missed Layup.,28,54
15:57,2132,Jacob Evans Block.,28,54
15:57,2011,Branden Johnson Offensive Rebound.,28,54
15:50,2011,Branden Johnson made Jumper.,30,54
15:46,2132,Jacob Evans Turnover.,30,54
15:46,2132,Official TV Timeout,30,54
15:28,2011,Jacoby Ross made Three Point Jumper.,33,54
15:14,2132,Gary Clark missed Layup.,33,54
15:14,2132,Nysier Brooks Offensive Rebound.,33,54
15:11,2011,Foul on Reginald Gee.,33,54
15:11,2132,Nysier Brooks made Free Throw.,33,55
15:11,2132,Nysier Brooks missed Free Throw.,33,55
15:11,2011,Tobi Ewuosho Defensive Rebound.,33,55
14:45,2011,Reginald Gee made Jumper.,35,55
14:28,2132,Keith Williams missed Layup.,35,55
14:28,2132,Keith Williams Offensive Rebound.,35,55
14:21,2132,Keith Williams made Layup.,35,57
13:56,2011,Tobi Ewuosho missed Layup.,35,57
13:56,2132,Cincinnati Defensive Rebound.,35,57
13:29,2011,Foul on Tobi Ewuosho.,35,57
13:26,2011,Foul on Ed Jones.,35,57
13:26,2132,Gary Clark made Free Throw.,35,58
13:26,2132,Gary Clark made Free Throw.,35,59
13:25,2132,Foul on Cane Broome.,35,59
13:10,2132,Foul on Nysier Brooks.,35,59
12:57,2011,Jacoby Ross missed Jumper.,35,59
12:57,2132,Trevor Moore Defensive Rebound.,35,59
12:50,2132,Keith Williams made Layup. Assisted by Cane Broome.,35,61
12:50,2011,Foul on Branden Johnson.,35,61
12:50,2132,Keith Williams made Free Throw.,35,62
12:30,2011,Reginald Gee made Three Point Jumper. Assisted by Fausto Pichardo.,38,62
12:02,2132,Nysier Brooks made Layup. Assisted by Keith Williams.,38,64
11:51,2011,Tobi Ewuosho Turnover.,38,64
11:51,2132,Trevor Moore Steal.,38,64
11:48,2011,Foul on Jacoby Ross.,38,64
11:48,2132,Official TV Timeout,38,64
11:48,2132,Keith Williams made Free Throw.,38,65
11:48,2132,Keith Williams missed Free Throw.,38,65
11:48,2011,Fausto Pichardo Defensive Rebound.,38,65
11:19,2011,Terrance LeFlore missed Layup.,38,65
11:19,2132,Eliel Nsoseme Defensive Rebound.,38,65
11:04,2132,Cane Broome made Jumper.,38,67
10:28,2011,Reginald Gee missed Jumper.,38,67
10:28,2132,Eliel Nsoseme Defensive Rebound.,38,67
10:18,2132,Jarron Cumberland missed Three Point Jumper.,38,67
10:18,2132,Tre Scott Offensive Rebound.,38,67
10:13,2132,Tre Scott made Layup.,38,69
9:42,2011,Terrance LeFlore missed Jumper.,38,69
9:42,2132,Tre Scott Defensive Rebound.,38,69
9:34,2011,Foul on Fausto Pichardo.,38,69
9:34,2132,Eliel Nsoseme missed Free Throw.,38,69
9:34,2011,Branden Johnson Defensive Rebound.,38,69
9:27,2011,Fausto Pichardo Turnover.,38,69
9:12,2132,Tre Scott made Jumper. Assisted by Jarron Cumberland.,38,71
8:43,2011,Fausto Pichardo made Layup.,40,71
8:37,2011,Alabama State  Timeout,40,71
8:17,2132,Eliel Nsoseme Turnover.,40,71
8:12,2011,Terrance LeFlore Turnover.,40,71
8:08,2132,Jump Ball won by Cincinnati,40,71
8:02,2132,Jarron Cumberland missed Three Point Jumper.,40,71
8:02,2011,Alabama State Deadball Team Rebound.,40,71
8:00,2132,Foul on Eliel Nsoseme.,40,71
8:00,2132,Official TV Timeout,40,71
7:33,2011,Jacoby Ross missed Layup.,40,71
7:33,2011,Branden Johnson Offensive Rebound.,40,71
7:28,2011,Branden Johnson made Jumper.,42,71
7:11,2132,Trevor Moore missed Three Point Jumper.,42,71
7:11,2132,Tre Scott Offensive Rebound.,42,71
6:54,2132,Justin Jenifer missed Three Point Jumper.,42,71
6:54,2132,Eliel Nsoseme Offensive Rebound.,42,71
6:45,2132,Keith Williams missed Three Point Jumper.,42,71
6:45,2011,Reginald Gee Defensive Rebound.,42,71
6:15,2132,Foul on Trevor Moore.,42,71
5:59,2011,Tobi Ewuosho missed Jumper.,42,71
5:59,2132,Tre Scott Defensive Rebound.,42,71
5:53,2132,Trevor Moore made Layup. Assisted by Justin Jenifer.,42,73
5:34,2011,Fausto Pichardo made Layup.,44,73
5:03,2132,Justin Jenifer made Three Point Jumper. Assisted by Keith Williams.,44,76
4:39,2011,Jacoby Ross Turnover.,44,76
4:28,2132,Trevor Moore made Three Point Jumper. Assisted by Tre Scott.,44,79
3:58,2011,Ed Jones made Three Point Jumper. Assisted by Jacoby Ross.,47,79
3:46,2132,Trevor Moore Turnover.,47,79
3:46,2132,Official TV Timeout,47,79
3:32,2011,Ed Jones missed Three Point Jumper.,47,79
3:32,2132,Mamoudou Diarra Defensive Rebound.,47,79
3:16,2132,Mamoudou Diarra missed Jumper.,47,79
3:16,2011,Fausto Pichardo Defensive Rebound.,47,79
2:55,2132,Foul on Justin Jenifer.,47,79
2:55,2011,Tobi Ewuosho Turnover.,47,79
2:55,2132,Mamoudou Diarra Steal.,47,79
2:41,2132,Tre Scott missed Layup.,47,79
2:40,2011,Terrance LeFlore Defensive Rebound.,47,79
2:37,2011,Tobi Ewuosho missed Layup.,47,79
2:36,2132,Mamoudou Diarra Block.,47,79
2:35,2132,Trevor Moore Defensive Rebound.,47,79
2:33,2132,Cane Broome missed Layup.,47,79
2:32,2132,Mamoudou Diarra Offensive Rebound.,47,79
2:31,2132,Mamoudou Diarra missed Layup.,47,79
2:30,2011,Terrance LeFlore Defensive Rebound.,47,79
2:11,2011,Ed Jones made Jumper. Assisted by Terrance LeFlore.,49,79
1:56,2132,Cane Broome missed Three Point Jumper.,49,79
1:55,2011,Ed Jones Defensive Rebound.,49,79
1:42,2011,Jacoby Ross missed Three Point Jumper.,49,79
1:41,2132,Tre Scott Defensive Rebound.,49,79
1:24,2132,Trevor Moore missed Three Point Jumper.,49,79
1:23,2132,Tre Scott Offensive Rebound.,49,79
1:20,2011,Foul on Tobi Ewuosho.,49,79
1:20,2132,Tre Scott made Free Throw.,49,80
1:20,2132,Tre Scott missed Free Throw.,49,80
1:20,2011,Ed Jones Defensive Rebound.,49,80
0:56,2132,Foul on Trevor Moore.,49,80
0:56,2011,Jacoby Ross made Free Throw.,50,80
0:56,2011,Jacoby Ross made Free Throw.,51,80
0:38,2132,Jackson Bart made Three Point Jumper. Assisted by John Koz.,51,83
0:11,2011,Jacoby Ross missed Jumper.,51,83
0:11,2011,Tobi Ewuosho Offensive Rebound.,51,83
0:07,2011,Tobi Ewuosho missed Jumper.,51,83
0:07,2132,Mamoudou Diarra Block.,51,83
0:07,2011,Terrance LeFlore Offensive Rebound.,51,83
0:02,2011,Terrance LeFlore missed Three Point Jumper.,51,83
0:02,2132,Cincinnati Defensive Rebound.,51,83
0:00,2132,End of Game,51,83
