Grambling,249,North Texas,2755
5:28,249,Jorden Duffy Defensive Rebound.,25,26
5:16,2755,Foul on Diontae Jones.,25,26
5:16,249,Michael Miller Turnover.,25,26
5:13,2755,Shirmane Thomas Steal.,25,26
5:08,2755,Diontae Jones made Three Point Jumper. Assisted by Nigel Ribeiro.,28,26
4:52,249,Khalil Fuller made Layup. Assisted by A.J. Lawson.,28,28
4:35,2755,Anthony Gaston missed Jumper.,28,28
4:35,249,Roosevelt Smart Defensive Rebound.,28,28
4:28,249,A.J. Lawson made Layup.,28,30
4:25,2755,Grambling  Timeout,28,30
4:10,2755,Diontae Jones made Jumper.,30,30
3:55,249,Khalil Fuller Turnover.,30,30
3:44,2755,Ivy Smith Jr. missed Three Point Jumper.,30,30
3:44,249,North Texas Defensive Rebound.,30,30
3:31,249,Khalil Fuller Turnover.,30,30
3:20,2755,Foul on Axel Mpoyo.,30,30
3:20,2755,Axel Mpoyo Turnover.,30,30
3:06,249,A.J. Lawson made Layup. Assisted by Jorden Duffy.,30,32
2:51,2755,Ivy Smith Jr. made Jumper.,32,32
2:30,249,A.J. Lawson missed Three Point Jumper.,32,32
2:30,2755,Nigel Ribeiro Defensive Rebound.,32,32
1:57,2755,Drake Wilks made Jumper.,34,32
1:40,249,Roosevelt Smart made Jumper.,34,34
1:14,2755,Ivy Smith Jr. missed Jumper.,34,34
1:14,2755,Jason Perry-Murray Offensive Rebound.,34,34
1:14,2755,Jason Perry-Murray made Two Point Tip Shot.,36,34
1:14,249,Foul on Roosevelt Smart.,36,34
1:14,2755,Jason Perry-Murray made Free Throw.,37,34
1:14,2755,Jason Perry-Murray made Free Throw.,38,34
0:54,249,DJ Draper missed Three Point Jumper.,38,34
0:54,2755,Jason Perry-Murray Defensive Rebound.,38,34
0:36,2755,Ivy Smith Jr. missed Jumper.,38,34
0:36,249,Allante Holston Defensive Rebound.,38,34
0:02,249,Jorden Duffy made Jumper.,38,36
0:00,249,End of 1st half,38,36
19:54,249,Zachary Simmons made Dunk. Assisted by Shane Temara.,38,38
19:50,2755,Diontae Jones missed Jumper.,38,38
19:50,249,Zachary Simmons Block.,38,38
19:50,249,Ryan Woolridge Defensive Rebound.,38,38
19:20,249,Roosevelt Smart made Three Point Jumper.,38,41
19:00,2755,Axel Mpoyo Turnover.,38,41
19:00,249,Ryan Woolridge Steal.,38,41
18:59,249,Ryan Woolridge missed Jumper.,38,41
18:55,249,Shane Temara Offensive Rebound.,38,41
18:55,249,Shane Temara missed Jumper.,38,41
18:55,249,Shane Temara Offensive Rebound.,38,41
18:55,249,Shane Temara made Two Point Tip Shot.,38,43
18:40,2755,Grambling  Timeout,38,43
18:24,2755,Nigel Ribeiro missed Three Point Jumper.,38,43
18:22,2755,Grambling Offensive Rebound.,38,43
17:50,2755,Diontae Jones missed Three Point Jumper.,38,43
17:50,249,Roosevelt Smart Defensive Rebound.,38,43
17:38,249,Zachary Simmons made Layup. Assisted by Shane Temara.,38,45
17:20,2755,Ivy Smith Jr. missed Jumper.,38,45
17:20,249,Zachary Simmons Block.,38,45
17:17,249,Zachary Simmons Defensive Rebound.,38,45
17:12,249,Shane Temara missed Three Point Jumper.,38,45
17:12,2755,Ivy Smith Jr. Defensive Rebound.,38,45
17:06,2755,Ivy Smith Jr. Turnover.,38,45
16:47,249,Ryan Woolridge made Jumper.,38,47
16:47,2755,Foul on Ivy Smith Jr..,38,47
16:47,249,Ryan Woolridge made Free Throw.,38,48
16:26,2755,Axel Mpoyo missed Jumper.,38,48
16:26,249,Roosevelt Smart Defensive Rebound.,38,48
16:21,249,Roosevelt Smart Turnover.,38,48
16:21,249,Foul on Roosevelt Smart.,38,48
15:59,2755,Axel Mpoyo made Jumper. Assisted by Anthony Gaston.,40,48
15:48,249,Ryan Woolridge made Layup.,40,50
15:25,2755,Foul on Axel Mpoyo.,40,50
15:25,2755,Axel Mpoyo Turnover.,40,50
15:25,249,Official TV Timeout,40,50
15:10,2755,Foul on Axel Mpoyo.,40,50
14:57,249,Jorden Duffy missed Three Point Jumper.,40,50
14:57,2755,Diontae Jones Defensive Rebound.,40,50
14:32,2755,Drake Wilks missed Jumper.,40,50
14:32,2755,Axel Mpoyo Offensive Rebound.,40,50
14:29,2755,Axel Mpoyo missed Jumper.,40,50
14:29,2755,Drake Wilks Offensive Rebound.,40,50
14:26,2755,Drake Wilks missed Three Point Jumper.,40,50
14:26,249,Ryan Woolridge Defensive Rebound.,40,50
14:20,249,Zachary Simmons made Dunk. Assisted by Michael Miller.,40,52
14:05,2755,Ivy Smith Jr. missed Jumper.,40,52
14:05,249,Zachary Simmons Block.,40,52
14:05,2755,Grambling Offensive Rebound.,40,52
14:01,249,Foul on A.J. Lawson.,40,52
13:55,2755,Anthony Gaston Turnover.,40,52
13:49,249,Zachary Simmons made Jumper.,40,54
13:49,2755,Foul on Diontae Jones.,40,54
13:49,249,Zachary Simmons missed Free Throw.,40,54
13:49,249,A.J. Lawson Offensive Rebound.,40,54
13:21,249,Ryan Woolridge made Layup.,40,56
13:08,2755,Drake Wilks missed Jumper.,40,56
13:08,249,Jorden Duffy Defensive Rebound.,40,56
13:00,249,Jorden Duffy made Three Point Jumper. Assisted by Ryan Woolridge.,40,59
12:54,2755,Grambling  Timeout,40,59
12:46,2755,Shirmane Thomas missed Jumper.,40,59
12:46,2755,Jason Perry-Murray Offensive Rebound.,40,59
12:42,2755,Jason Perry-Murray missed Jumper.,40,59
12:42,2755,Jason Perry-Murray Offensive Rebound.,40,59
12:37,2755,Jason Perry-Murray missed Jumper.,40,59
12:37,2755,Grambling Offensive Rebound.,40,59
12:19,2755,Shirmane Thomas made Jumper.,42,59
11:58,249,Foul on Ryan Woolridge.,42,59
11:58,249,Ryan Woolridge Turnover.,42,59
11:58,249,Official TV Timeout,42,59
11:38,2755,Shirmane Thomas made Jumper.,44,59
11:24,2755,Foul on Jason Perry-Murray.,44,59
11:24,249,Michael Miller made Free Throw.,44,60
11:24,249,Michael Miller missed Free Throw.,44,60
11:24,2755,Axel Mpoyo Defensive Rebound.,44,60
11:03,2755,Jason Perry-Murray made Layup. Assisted by Ivy Smith Jr..,46,60
10:34,249,Michael Miller missed Three Point Jumper.,46,60
10:34,2755,Axel Mpoyo Defensive Rebound.,46,60
10:10,2755,Foul on Axel Mpoyo.,46,60
10:10,2755,Axel Mpoyo Turnover.,46,60
9:56,249,Ryan Woolridge missed Jumper.,46,60
9:56,2755,Diontae Jones Block.,46,60
9:56,249,North Texas Offensive Rebound.,46,60
9:55,249,Ryan Woolridge Turnover.,46,60
9:53,2755,Shirmane Thomas Steal.,46,60
9:51,2755,Ivy Smith Jr. missed Layup.,46,60
9:51,249,A.J. Lawson Defensive Rebound.,46,60
9:44,249,A.J. Lawson Turnover.,46,60
9:41,2755,Nigel Ribeiro Steal.,46,60
9:39,2755,Ivy Smith Jr. made Layup. Assisted by Nigel Ribeiro.,48,60
9:39,249,Foul on A.J. Lawson.,48,60
9:39,249,North Texas  Timeout,48,60
9:39,2755,Technical Foul on Bobby Jackson.,48,60
9:39,249,Roosevelt Smart made Free Throw.,48,61
9:39,2755,Ivy Smith Jr. made Free Throw.,49,61
9:27,249,Roosevelt Smart made Jumper.,49,63
9:27,2755,Foul on Bobby Jackson.,49,63
9:27,249,Roosevelt Smart made Free Throw.,49,64
9:07,2755,Diontae Jones made Three Point Jumper.,52,64
8:58,2755,Foul on Diontae Jones.,52,64
8:58,249,Roosevelt Smart made Free Throw.,52,65
8:58,249,Roosevelt Smart made Free Throw.,52,66
8:34,2755,Ivy Smith Jr. Turnover.,52,66
8:26,249,Ryan Woolridge made Layup.,52,68
8:19,249,Foul on Zachary Simmons.,52,68
8:19,2755,Ivy Smith Jr. made Free Throw.,53,68
8:19,2755,Ivy Smith Jr. made Free Throw.,54,68
7:58,249,Jorden Duffy missed Jumper.,54,68
7:58,2755,Diontae Jones Defensive Rebound.,54,68
7:56,249,Foul on Jorden Duffy.,54,68
7:56,2755,Grambling  Timeout,54,68
7:40,249,Foul on Zachary Simmons.,54,68
7:40,2755,Axel Mpoyo made Free Throw.,55,68
7:40,2755,Axel Mpoyo made Free Throw.,56,68
7:23,249,Roosevelt Smart missed Three Point Jumper.,56,68
7:23,2755,Diontae Jones Defensive Rebound.,56,68
7:14,2755,Diontae Jones made Three Point Jumper. Assisted by Nigel Ribeiro.,59,68
6:57,249,A.J. Lawson made Layup.,59,70
6:47,249,Foul on Shane Temara.,59,70
6:47,2755,Ivy Smith Jr. made Free Throw.,60,70
6:47,2755,Ivy Smith Jr. made Free Throw.,61,70
6:44,249,A.J. Lawson Turnover.,61,70
6:43,2755,Axel Mpoyo Steal.,61,70
6:30,2755,Axel Mpoyo missed Jumper.,61,70
6:30,2755,Axel Mpoyo Offensive Rebound.,61,70
6:27,2755,Axel Mpoyo missed Jumper.,61,70
6:27,2755,Shirmane Thomas Offensive Rebound.,61,70
6:11,2755,Shirmane Thomas made Three Point Jumper. Assisted by Nigel Ribeiro.,64,70
5:38,249,A.J. Lawson Turnover.,64,70
5:38,2755,Nigel Ribeiro Steal.,64,70
5:27,2755,Nigel Ribeiro made Jumper.,66,70
5:04,2755,Foul on Shirmane Thomas.,66,70
5:04,249,Roosevelt Smart made Free Throw.,66,71
5:04,249,Roosevelt Smart made Free Throw.,66,72
4:51,2755,Shirmane Thomas made Jumper.,68,72
4:23,249,Michael Miller Turnover.,68,72
4:21,2755,Diontae Jones Steal.,68,72
4:18,2755,Nigel Ribeiro missed Jumper.,68,72
4:18,249,Michael Miller Block.,68,72
4:18,2755,Grambling Offensive Rebound.,68,72
4:11,2755,Ivy Smith Jr. made Jumper.,70,72
3:56,249,Jorden Duffy missed Three Point Jumper.,70,72
3:50,249,North Texas Offensive Rebound.,70,72
3:50,249,Official TV Timeout,70,72
3:23,249,A.J. Lawson missed Jumper.,70,72
3:23,2755,Shirmane Thomas Defensive Rebound.,70,72
3:02,2755,Nigel Ribeiro missed Jumper.,70,72
3:02,2755,Axel Mpoyo Offensive Rebound.,70,72
2:58,2755,Axel Mpoyo made Layup.,72,72
2:41,249,Roosevelt Smart made Jumper.,72,74
2:15,2755,Nigel Ribeiro Turnover.,72,74
2:13,249,Ryan Woolridge Steal.,72,74
2:12,2755,Foul on Ivy Smith Jr..,72,74
2:12,249,Ryan Woolridge made Free Throw.,72,75
2:12,249,Ryan Woolridge made Free Throw.,72,76
1:51,2755,Ivy Smith Jr. Turnover.,72,76
1:51,249,Ryan Woolridge Steal.,72,76
1:31,2755,Foul on Diontae Jones.,72,76
1:31,249,Zachary Simmons made Free Throw.,72,77
1:31,249,Zachary Simmons missed Free Throw.,72,77
1:31,2755,Axel Mpoyo Defensive Rebound.,72,77
1:13,2755,Shirmane Thomas made Three Point Jumper.,75,77
1:13,2755,Grambling  Timeout,75,77
0:43,2755,Foul on Nigel Ribeiro.,75,77
0:43,249,A.J. Lawson missed Free Throw.,75,77
0:43,249,North Texas Deadball Team Rebound.,75,77
0:43,249,A.J. Lawson made Free Throw.,75,78
0:27,249,Foul on Allante Holston.,75,78
0:27,2755,Ivy Smith Jr. made Free Throw.,76,78
0:27,2755,Ivy Smith Jr. made Free Throw.,77,78
0:25,2755,Foul on Ivy Smith Jr..,77,78
0:25,249,Jorden Duffy made Free Throw.,77,79
0:25,249,Jorden Duffy made Free Throw.,77,80
0:05,2755,Anthony Gaston missed Three Point Jumper.,77,80
0:05,249,North Texas Defensive Rebound.,77,80
0:05,249,North Texas  Timeout,77,80
0:04,2755,Foul on Nigel Ribeiro.,77,80
0:04,249,Roosevelt Smart made Free Throw.,77,81
0:04,249,Roosevelt Smart made Free Throw.,77,82
0:04,249,North Texas  Timeout,77,82
0:00,249,End of Game,77,82
