Harvard,45,George Washington,108
13:20,45,Patrick Steeves Defensive Rebound.,4,11
13:00,45,Patrick Steeves made Jumper.,4,13
12:36,108,Corey Johnson missed Three Point Jumper.,4,13
12:36,108,Chris Lewis Offensive Rebound.,4,13
12:32,45,Foul on Bo Zeigler.,4,13
12:32,108,Chris Lewis made Free Throw.,5,13
12:32,108,Chris Lewis made Free Throw.,6,13
12:16,45,Yuta Watanabe missed Jumper.,6,13
12:16,45,Patrick Steeves Offensive Rebound.,6,13
12:13,45,Patrick Steeves made Two Point Tip Shot.,6,15
11:55,108,Corey Johnson made Three Point Jumper. Assisted by Chris Lewis.,9,15
11:31,45,Terry Nolan Jr. Turnover.,9,15
11:31,45,Official TV Timeout,9,15
11:23,108,Chris Lewis made Layup.,11,15
11:05,45,Patrick Steeves made Jumper.,11,17
10:51,108,Danilo Djuricic made Jumper. Assisted by Corey Johnson.,13,17
10:27,108,Foul on Chris Lewis.,13,17
10:27,45,Patrick Steeves made Free Throw.,13,18
10:27,45,Patrick Steeves missed Free Throw.,13,18
10:27,108,Danilo Djuricic Defensive Rebound.,13,18
10:13,108,Christian Juzang Turnover.,13,18
10:12,45,Terry Nolan Jr. Steal.,13,18
10:05,45,Jair Bolden missed Jumper.,13,18
10:05,108,Danilo Djuricic Defensive Rebound.,13,18
9:52,108,Chris Lewis missed Jumper.,13,18
9:52,45,Arnaldo Toro Block.,13,18
9:50,45,Jair Bolden Defensive Rebound.,13,18
9:50,108,Foul on Chris Lewis.,13,18
9:36,45,Arnaldo Toro made Jumper. Assisted by Jair Bolden.,13,20
9:20,108,Seth Towns missed Jumper.,13,20
9:20,45,Terry Nolan Jr. Defensive Rebound.,13,20
9:02,45,Yuta Watanabe missed Layup.,13,20
9:02,108,Danilo Djuricic Block.,13,20
9:01,108,Christian Juzang Defensive Rebound.,13,20
8:58,108,Rio Haskett missed Three Point Jumper.,13,20
8:58,45,Arnaldo Toro Defensive Rebound.,13,20
8:39,108,Foul on Corey Johnson.,13,20
8:35,45,Maceo Jack missed Three Point Jumper.,13,20
8:35,45,Justin Mazzulla Offensive Rebound.,13,20
8:30,45,Justin Mazzulla missed Two Point Tip Shot.,13,20
8:30,108,Rio Haskett Defensive Rebound.,13,20
8:26,108,Rio Haskett Turnover.,13,20
8:13,45,Jair Bolden made Layup. Assisted by Patrick Steeves.,13,22
8:10,108,Harvard  Timeout,13,22
8:10,45,Official TV Timeout,13,22
7:52,108,Seth Towns made Jumper.,15,22
7:30,45,Patrick Steeves missed Three Point Jumper.,15,22
7:30,45,Maceo Jack Offensive Rebound.,15,22
7:22,45,Jair Bolden made Three Point Jumper. Assisted by Maceo Jack.,15,25
7:08,108,Seth Towns missed Jumper.,15,25
7:08,45,Yuta Watanabe Defensive Rebound.,15,25
6:46,45,Maceo Jack missed Three Point Jumper.,15,25
6:46,108,Rio Haskett Defensive Rebound.,15,25
6:38,108,Danilo Djuricic missed Three Point Jumper.,15,25
6:38,45,Jair Bolden Defensive Rebound.,15,25
6:16,45,Jair Bolden missed Three Point Jumper.,15,25
6:16,108,Corey Johnson Defensive Rebound.,15,25
5:58,108,Rio Haskett missed Jumper.,15,25
5:58,45,Maceo Jack Defensive Rebound.,15,25
5:48,45,Terry Nolan Jr. Turnover.,15,25
5:36,45,Foul on Patrick Steeves.,15,25
5:19,108,Christian Juzang Turnover.,15,25
5:18,45,Jair Bolden Steal.,15,25
5:15,45,Jair Bolden made Layup.,15,27
4:58,108,Weisner Perez missed Layup.,15,27
4:58,108,Weisner Perez Offensive Rebound.,15,27
4:55,108,Weisner Perez missed Layup.,15,27
4:55,45,Justin Williams Defensive Rebound.,15,27
4:34,45,Jair Bolden Turnover.,15,27
4:33,108,Christian Juzang Steal.,15,27
4:26,108,Christian Juzang made Three Point Jumper. Assisted by Chris Lewis.,18,27
3:56,45,Jair Bolden missed Three Point Jumper.,18,27
3:56,108,Justin Bassey Defensive Rebound.,18,27
3:35,108,Rio Haskett Turnover.,18,27
3:35,45,Official TV Timeout,18,27
3:12,45,Adam Mitola missed Three Point Jumper.,18,27
3:12,108,Chris Lewis Defensive Rebound.,18,27
2:49,108,Harvard  Timeout,18,27
2:45,108,Christian Juzang missed Jumper.,18,27
2:45,45,Justin Williams Defensive Rebound.,18,27
2:44,108,Foul on Weisner Perez.,18,27
2:30,45,Foul on Arnaldo Toro.,18,27
2:30,45,Arnaldo Toro Turnover.,18,27
2:14,108,Christian Juzang made Three Point Jumper. Assisted by Seth Towns.,21,27
1:53,45,Yuta Watanabe missed Layup.,21,27
1:53,108,Christian Juzang Defensive Rebound.,21,27
1:45,108,Foul on Seth Towns.,21,27
1:45,108,Seth Towns Turnover.,21,27
1:32,45,Jair Bolden missed Jumper.,21,27
1:32,108,Danilo Djuricic Defensive Rebound.,21,27
1:16,108,Corey Johnson missed Three Point Jumper.,21,27
1:16,108,Christian Juzang Offensive Rebound.,21,27
1:08,108,Christian Juzang missed Jumper.,21,27
1:08,45,Arnaldo Toro Defensive Rebound.,21,27
1:01,45,George Washington  Timeout,21,27
0:42,108,Foul on Henry Welsh.,21,27
0:42,45,Patrick Steeves made Free Throw.,21,28
0:42,45,Patrick Steeves made Free Throw.,21,29
0:18,108,Corey Johnson made Three Point Jumper. Assisted by Henry Welsh.,24,29
0:01,108,Foul on Henry Welsh.,24,29
0:01,45,Arnaldo Toro missed Free Throw.,24,29
0:01,45,George Washington Deadball Team Rebound.,24,29
0:01,45,Arnaldo Toro made Free Throw.,24,30
0:00,45,End of 1st half,24,30
19:45,45,Patrick Steeves made Jumper.,24,32
19:28,108,Chris Lewis missed Jumper.,24,32
19:28,45,Patrick Steeves Defensive Rebound.,24,32
19:09,45,Patrick Steeves missed Jumper.,24,32
19:09,108,Seth Towns Defensive Rebound.,24,32
19:03,108,Justin Bassey missed Three Point Jumper.,24,32
19:03,45,Yuta Watanabe Defensive Rebound.,24,32
18:48,45,Arnaldo Toro missed Jumper.,24,32
18:48,108,Seth Towns Defensive Rebound.,24,32
18:29,108,Corey Johnson missed Three Point Jumper.,24,32
18:29,45,Patrick Steeves Defensive Rebound.,24,32
18:24,45,Patrick Steeves Turnover.,24,32
18:22,108,Seth Towns Steal.,24,32
18:16,108,Seth Towns missed Three Point Jumper.,24,32
18:16,108,Justin Bassey Offensive Rebound.,24,32
18:10,108,Justin Bassey missed Jumper.,24,32
18:10,45,Arnaldo Toro Block.,24,32
18:10,108,Harvard Offensive Rebound.,24,32
17:50,108,Seth Towns made Jumper.,26,32
17:28,108,Foul on Seth Towns.,26,32
17:28,45,Arnaldo Toro made Free Throw.,26,33
17:28,45,Arnaldo Toro made Free Throw.,26,34
17:15,108,Danilo Djuricic made Layup. Assisted by Christian Juzang.,28,34
16:58,45,Jair Bolden made Three Point Jumper. Assisted by Patrick Steeves.,28,37
16:39,108,Seth Towns missed Layup.,28,37
16:39,108,Seth Towns Offensive Rebound.,28,37
16:36,45,Foul on Yuta Watanabe.,28,37
16:36,108,Seth Towns missed Free Throw.,28,37
16:36,108,Harvard Deadball Team Rebound.,28,37
16:36,108,Seth Towns made Free Throw.,29,37
16:17,45,Jair Bolden Turnover.,29,37
16:01,108,Seth Towns made Three Point Jumper.,32,37
15:38,45,Terry Nolan Jr. made Jumper.,32,39
15:26,108,Justin Bassey Turnover.,32,39
15:24,45,Patrick Steeves Steal.,32,39
15:22,45,Yuta Watanabe made Dunk. Assisted by Terry Nolan Jr..,32,41
14:55,108,Seth Towns missed Layup.,32,41
14:55,45,Patrick Steeves Defensive Rebound.,32,41
14:48,45,Terry Nolan Jr. made Three Point Jumper. Assisted by Bo Zeigler.,32,44
14:45,108,Harvard  Timeout,32,44
14:45,45,Official TV Timeout,32,44
14:28,45,Foul on Patrick Steeves.,32,44
14:28,45,Official TV Timeout,32,44
14:28,108,Chris Lewis missed Free Throw.,32,44
14:28,108,Harvard Deadball Team Rebound.,32,44
14:28,108,Chris Lewis missed Free Throw.,32,44
14:28,45,Arnaldo Toro Defensive Rebound.,32,44
14:06,45,Yuta Watanabe made Three Point Jumper. Assisted by Bo Zeigler.,32,47
13:48,108,Christian Juzang made Layup.,34,47
13:32,108,Foul on Chris Lewis.,34,47
13:32,45,Arnaldo Toro made Free Throw.,34,48
13:32,45,Arnaldo Toro missed Free Throw.,34,48
13:32,108,Chris Lewis Defensive Rebound.,34,48
13:16,108,Danilo Djuricic missed Three Point Jumper.,34,48
13:16,108,Christian Juzang Offensive Rebound.,34,48
13:10,108,Chris Lewis made Jumper. Assisted by Corey Johnson.,36,48
12:38,45,Jair Bolden missed Three Point Jumper.,36,48
12:38,45,Justin Mazzulla Offensive Rebound.,36,48
12:35,45,Justin Mazzulla made Two Point Tip Shot.,36,50
12:18,45,Foul on Justin Mazzulla.,36,50
12:11,108,Chris Lewis made Dunk. Assisted by Christian Juzang.,38,50
11:50,45,Yuta Watanabe missed Three Point Jumper.,38,50
11:50,108,Corey Johnson Defensive Rebound.,38,50
11:32,108,Christian Juzang missed Three Point Jumper.,38,50
11:32,108,Corey Johnson Offensive Rebound.,38,50
11:22,108,Seth Towns missed Layup.,38,50
11:22,45,Arnaldo Toro Defensive Rebound.,38,50
10:58,108,Foul on Seth Towns.,38,50
10:58,45,Official TV Timeout,38,50
10:37,45,Yuta Watanabe missed Jumper.,38,50
10:37,108,Chris Lewis Block.,38,50
10:36,45,George Washington Deadball Team Rebound.,38,50
10:36,45,George Washington  Turnover.,38,50
10:08,108,Christian Juzang missed Jumper.,38,50
10:08,45,Terry Nolan Jr. Defensive Rebound.,38,50
9:49,45,Patrick Steeves missed Jumper.,38,50
9:49,108,Danilo Djuricic Defensive Rebound.,38,50
9:34,108,Danilo Djuricic missed Layup.,38,50
9:34,45,Arnaldo Toro Defensive Rebound.,38,50
9:15,45,Patrick Steeves missed Jumper.,38,50
9:15,108,Corey Johnson Defensive Rebound.,38,50
8:56,45,Foul on Arnaldo Toro.,38,50
8:56,108,Chris Lewis made Free Throw.,39,50
8:56,108,Chris Lewis made Free Throw.,40,50
8:41,45,Jair Bolden Turnover.,40,50
8:39,108,Weisner Perez Steal.,40,50
8:17,108,Corey Johnson made Layup.,42,50
7:53,45,Bo Zeigler missed Layup.,42,50
7:53,108,Danilo Djuricic Block.,42,50
7:52,45,Official TV Timeout,42,50
7:52,45,George Washington Offensive Rebound.,42,50
7:52,45,Official TV Timeout,42,50
7:47,45,Jair Bolden made Three Point Jumper.,42,53
7:26,108,Christian Juzang missed Three Point Jumper.,42,53
7:26,45,Patrick Steeves Defensive Rebound.,42,53
7:17,45,Jair Bolden missed Layup.,42,53
7:15,45,George Washington Offensive Rebound.,42,53
7:13,45,Yuta Watanabe missed Jumper.,42,53
7:13,108,Danilo Djuricic Defensive Rebound.,42,53
6:54,108,Foul on Chris Lewis.,42,53
6:54,108,Chris Lewis Turnover.,42,53
6:30,45,Terry Nolan Jr. missed Three Point Jumper.,42,53
6:30,45,Arnaldo Toro Offensive Rebound.,42,53
6:08,45,Arnaldo Toro missed Layup.,42,53
6:08,108,Danilo Djuricic Block.,42,53
6:07,108,Corey Johnson Defensive Rebound.,42,53
6:03,108,Foul on Rio Haskett.,42,53
6:03,108,Rio Haskett Turnover.,42,53
5:41,45,Arnaldo Toro missed Three Point Jumper.,42,53
5:41,108,Danilo Djuricic Defensive Rebound.,42,53
5:12,108,Rio Haskett missed Three Point Jumper.,42,53
5:12,45,Arnaldo Toro Defensive Rebound.,42,53
5:00,45,Justin Mazzulla Turnover.,42,53
4:59,108,Justin Bassey Steal.,42,53
4:56,108,Corey Johnson missed Layup.,42,53
4:56,45,Terry Nolan Jr. Block.,42,53
4:53,108,Harvard Offensive Rebound.,42,53
4:43,108,Justin Bassey missed Three Point Jumper.,42,53
4:42,45,Jair Bolden Defensive Rebound.,42,53
4:34,45,Patrick Steeves made Dunk. Assisted by Jair Bolden.,42,55
4:05,108,Seth Towns missed Three Point Jumper.,42,55
4:04,45,Jair Bolden Defensive Rebound.,42,55
3:54,45,Bo Zeigler made Dunk. Assisted by Patrick Steeves.,42,57
3:51,108,Harvard  Timeout,42,57
3:51,45,Official TV Timeout,42,57
3:38,108,Corey Johnson missed Jumper.,42,57
3:38,108,Christian Juzang Offensive Rebound.,42,57
3:19,108,Weisner Perez made Layup. Assisted by Corey Johnson.,44,57
2:53,45,Yuta Watanabe missed Three Point Jumper.,44,57
2:53,108,Justin Bassey Defensive Rebound.,44,57
2:46,108,Weisner Perez missed Layup.,44,57
2:46,45,Bo Zeigler Block.,44,57
2:41,108,Weisner Perez Offensive Rebound.,44,57
2:39,108,Corey Johnson missed Three Point Jumper.,44,57
2:39,108,Christian Juzang Offensive Rebound.,44,57
2:35,45,Foul on Terry Nolan Jr..,44,57
2:28,45,Foul on Patrick Steeves.,44,57
2:28,108,Danilo Djuricic made Free Throw.,45,57
2:28,108,Danilo Djuricic made Free Throw.,46,57
2:10,45,Patrick Steeves missed Jumper.,46,57
2:10,108,Weisner Perez Defensive Rebound.,46,57
1:58,108,Corey Johnson missed Layup.,46,57
1:56,108,Danilo Djuricic Offensive Rebound.,46,57
1:55,45,Foul on Bo Zeigler.,46,57
1:55,108,Danilo Djuricic made Free Throw.,47,57
1:55,108,Danilo Djuricic made Free Throw.,48,57
1:50,45,Yuta Watanabe Turnover.,48,57
1:50,108,Corey Johnson Steal.,48,57
1:28,108,Seth Towns missed Layup.,48,57
1:28,45,Patrick Steeves Block.,48,57
1:25,108,Chris Lewis Offensive Rebound.,48,57
1:20,108,Christian Juzang Turnover.,48,57
1:19,45,Jair Bolden Steal.,48,57
0:55,108,Foul on Rio Haskett.,48,57
0:46,108,Foul on Rio Haskett.,48,57
0:46,45,Jair Bolden made Free Throw.,48,58
0:46,45,Jair Bolden missed Free Throw.,48,58
0:46,108,Corey Johnson Defensive Rebound.,48,58
0:31,108,Rio Haskett missed Layup.,48,58
0:30,45,Yuta Watanabe Defensive Rebound.,48,58
0:00,45,End of Game,48,58
