Green Bay,275,Wisconsin,2739
13:32,275,Ethan Happ Block.,32,58
13:32,2739,Green Bay Offensive Rebound.,32,58
13:29,2739,Kameron Hankerson missed Three Point Jumper.,32,58
13:29,275,Walt McGrory Defensive Rebound.,32,58
13:05,275,Nate Reuvers missed Three Point Jumper.,32,58
13:05,2739,Khalil Small Defensive Rebound.,32,58
12:49,2739,Hunter Crist Turnover.,32,58
12:43,275,Nate Reuvers Turnover.,32,58
12:43,2739,Khalil Small Steal.,32,58
12:37,2739,Hunter Crist missed Three Point Jumper.,32,58
12:37,275,Nate Reuvers Block.,32,58
12:37,2739,Green Bay Offensive Rebound.,32,58
12:28,275,Foul on Alex Illikainen.,32,58
12:28,2739,Khalil Small made Free Throw.,33,58
12:28,2739,Khalil Small made Free Throw.,34,58
12:11,275,Brevin Pritzl missed Layup.,34,58
12:11,275,Brevin Pritzl Offensive Rebound.,34,58
12:11,275,Brevin Pritzl made Two Point Tip Shot.,34,60
11:59,2739,Foul on Hunter Crist.,34,60
11:59,2739,Hunter Crist Turnover.,34,60
11:59,275,Official TV Timeout,34,60
11:57,275,Walt McGrory Turnover.,34,60
11:57,2739,Kameron Hankerson Steal.,34,60
11:48,275,Foul on Walt McGrory.,34,60
11:41,2739,Kameron Hankerson Turnover.,34,60
11:41,275,Brevin Pritzl Steal.,34,60
11:20,2739,Foul on Kameron Hankerson.,34,60
11:20,275,Nate Reuvers made Free Throw.,34,61
11:20,275,Nate Reuvers made Free Throw.,34,62
11:10,2739,Kameron Hankerson missed Jumper.,34,62
11:10,275,Brevin Pritzl Block.,34,62
11:10,275,Walt McGrory Defensive Rebound.,34,62
10:58,2739,Foul on Trevian Bell.,34,62
10:58,275,Walt McGrory made Free Throw.,34,63
10:58,275,Walt McGrory made Free Throw.,34,64
10:39,275,Foul on Khalil Iverson.,34,64
10:39,2739,Sukhjot Bains missed Free Throw.,34,64
10:39,2739,Green Bay Deadball Team Rebound.,34,64
10:39,2739,Sukhjot Bains missed Free Throw.,34,64
10:39,275,Alex Illikainen Defensive Rebound.,34,64
10:19,275,Brevin Pritzl missed Jumper.,34,64
10:19,2739,Khalil Small Defensive Rebound.,34,64
10:15,2739,Hunter Crist missed Jumper.,34,64
10:15,275,Alex Illikainen Defensive Rebound.,34,64
10:04,275,Aleem Ford missed Layup.,34,64
10:04,275,Alex Illikainen Offensive Rebound.,34,64
9:44,275,Khalil Iverson made Layup. Assisted by Walt McGrory.,34,66
9:24,275,Foul on Khalil Iverson.,34,66
9:24,2739,Sukhjot Bains made Free Throw.,35,66
9:24,2739,Sukhjot Bains made Free Throw.,36,66
9:04,2739,Foul on PJ Pipes.,36,66
9:04,275,Brad Davison made Free Throw.,36,67
9:04,275,Brad Davison made Free Throw.,36,68
8:57,2739,Trevian Bell missed Layup.,36,68
8:57,275,Aleem Ford Defensive Rebound.,36,68
8:34,275,T.J. Schlundt missed Three Point Jumper.,36,68
8:34,2739,Sandy Cohen III Defensive Rebound.,36,68
8:24,2739,PJ Pipes made Jumper.,38,68
7:51,275,Brad Davison missed Three Point Jumper.,38,68
7:51,2739,Trevian Bell Defensive Rebound.,38,68
7:41,275,Foul on Alex Illikainen.,38,68
7:41,275,Official TV Timeout,38,68
7:41,2739,PJ Pipes made Free Throw.,39,68
7:41,2739,PJ Pipes made Free Throw.,40,68
7:27,275,Brad Davison Turnover.,40,68
7:27,2739,Sukhjot Bains Steal.,40,68
7:21,2739,PJ Pipes made Layup. Assisted by Sukhjot Bains.,42,68
6:52,275,Brad Davison missed Three Point Jumper.,42,68
6:52,275,Brad Davison Offensive Rebound.,42,68
6:29,275,Nate Reuvers made Jumper.,42,70
6:17,2739,Sukhjot Bains made Layup.,44,70
5:54,275,Aleem Ford Turnover.,44,70
5:47,2739,Sandy Cohen III missed Jumper.,44,70
5:47,275,Nate Reuvers Defensive Rebound.,44,70
5:20,275,Walt McGrory Turnover.,44,70
5:20,2739,Hunter Crist Steal.,44,70
5:11,2739,Sandy Cohen III made Layup.,46,70
4:59,275,Wisconsin  Timeout,46,70
4:53,275,T.J. Schlundt missed Three Point Jumper.,46,70
4:53,2739,Hunter Crist Defensive Rebound.,46,70
4:36,2739,Will Chevalier missed Three Point Jumper.,46,70
4:36,275,Walt McGrory Defensive Rebound.,46,70
4:06,2739,Foul on Hunter Crist.,46,70
4:06,275,Walt McGrory made Free Throw.,46,71
4:06,275,Walt McGrory made Free Throw.,46,72
3:55,2739,Sandy Cohen III made Jumper.,48,72
3:44,275,Charles Thomas IV Turnover.,48,72
3:44,275,Official TV Timeout,48,72
3:30,2739,T.J. Parham made Three Point Jumper. Assisted by Kameron Hankerson.,51,72
3:00,275,Brevin Pritzl missed Three Point Jumper.,51,72
3:00,275,Wisconsin Offensive Rebound.,51,72
2:38,275,Aaron Moesch made Layup. Assisted by Brevin Pritzl.,51,74
2:28,2739,Hunter Crist missed Jumper.,51,74
2:28,275,Walt McGrory Defensive Rebound.,51,74
1:58,275,Walt McGrory missed Jumper.,51,74
1:58,275,Andy Van Vliet Offensive Rebound.,51,74
1:45,2739,Foul on Trevian Bell.,51,74
1:45,275,Aaron Moesch made Free Throw.,51,75
1:45,275,Aaron Moesch made Free Throw.,51,76
1:40,2739,T.J. Parham made Three Point Jumper. Assisted by Hunter Crist.,54,76
1:14,275,Andy Van Vliet made Jumper.,54,78
1:03,2739,Trevian Bell made Three Point Jumper. Assisted by Hunter Crist.,57,78
0:43,275,Andy Van Vliet made Three Point Jumper. Assisted by Aaron Moesch.,57,81
0:33,2739,Trevian Bell missed Layup.,57,81
0:33,275,T.J. Schlundt Defensive Rebound.,57,81
0:23,275,Matt Ferris Turnover.,57,81
0:23,2739,Hunter Crist Steal.,57,81
0:16,2739,T.J. Parham made Three Point Jumper. Assisted by Hunter Crist.,60,81
0:00,275,End of Game,60,81
