Florida Atlantic,135,Minnesota,2226
14:57,2226,Jailyn Ingram Defensive Rebound.,7,17
14:49,2226,Jailyn Ingram Turnover.,7,17
14:30,135,Nate Mason missed Three Point Jumper.,7,17
14:30,2226,Jailyn Ingram Defensive Rebound.,7,17
14:07,2226,Ronald Delph missed Dunk.,7,17
14:07,135,Jamir Harris Defensive Rebound.,7,17
13:53,2226,Foul on Ronald Delph.,7,17
13:41,2226,Foul on Jailyn Ingram.,7,17
13:41,135,Jordan Murphy made Free Throw.,7,18
13:41,135,Jordan Murphy missed Free Throw.,7,18
13:41,2226,Amir Smith Defensive Rebound.,7,18
13:29,2226,Justin Massey missed Three Point Jumper.,7,18
13:29,2226,Devorious Brown Offensive Rebound.,7,18
13:23,2226,Amir Smith missed Jumper.,7,18
13:23,135,Jordan Murphy Defensive Rebound.,7,18
13:14,135,Jordan Murphy made Three Point Jumper. Assisted by Jamir Harris.,7,21
13:11,2226,Florida Atlantic  Timeout,7,21
12:58,2226,Jailyn Ingram missed Jumper.,7,21
12:58,135,Davonte Fitzgerald Defensive Rebound.,7,21
12:50,135,Nate Mason missed Layup.,7,21
12:50,2226,Amir Smith Block.,7,21
12:50,2226,Devorious Brown Defensive Rebound.,7,21
12:38,2226,Justin Massey Turnover.,7,21
12:24,135,Reggie Lynch made Jumper. Assisted by Jamir Harris.,7,23
12:13,2226,Devorious Brown missed Jumper.,7,23
12:13,135,Reggie Lynch Defensive Rebound.,7,23
12:03,2226,Foul on Devorious Brown.,7,23
12:03,135,Nate Mason made Free Throw.,7,24
12:03,135,Nate Mason made Free Throw.,7,25
11:57,135,Official TV Timeout,7,25
11:50,2226,William Pfister missed Jumper.,7,25
11:50,135,Davonte Fitzgerald Block.,7,25
11:50,135,Isaiah Washington Defensive Rebound.,7,25
11:41,135,Jamir Harris made Three Point Jumper. Assisted by Michael Hurt.,7,28
11:15,2226,Devorious Brown made Jumper.,9,28
10:50,135,Reggie Lynch made Jumper. Assisted by Isaiah Washington.,9,30
10:30,2226,Gerdarius Troutman missed Jumper.,9,30
10:30,135,Michael Hurt Block.,9,30
10:30,2226,Florida Atlantic Offensive Rebound.,9,30
10:08,2226,Justin Massey made Jumper.,11,30
9:50,135,Isaiah Washington missed Three Point Jumper.,11,30
9:50,2226,Ronald Delph Defensive Rebound.,11,30
9:36,2226,William Pfister missed Layup.,11,30
9:36,135,Reggie Lynch Defensive Rebound.,11,30
9:27,135,Jamir Harris made Three Point Jumper.,11,33
9:22,2226,Justin Massey made Three Point Jumper. Assisted by Gerdarius Troutman.,14,33
9:22,135,Minnesota  Timeout,14,33
9:10,135,Michael Hurt Turnover.,14,33
8:56,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Jailyn Ingram.,17,33
8:36,135,Michael Hurt missed Three Point Jumper.,17,33
8:36,135,Jordan Murphy Offensive Rebound.,17,33
8:35,2226,Foul on Ronald Delph.,17,33
8:35,135,Jordan Murphy made Free Throw.,17,34
8:35,135,Jordan Murphy made Free Throw.,17,35
8:21,2226,William Pfister made Layup. Assisted by Gerdarius Troutman.,19,35
7:48,135,Isaiah Washington missed Three Point Jumper.,19,35
7:48,2226,Anthony Adger Defensive Rebound.,19,35
7:34,2226,Jailyn Ingram made Three Point Jumper. Assisted by Gerdarius Troutman.,22,35
7:12,135,Jordan Murphy made Layup. Assisted by Reggie Lynch.,22,37
6:58,2226,Justin Massey missed Three Point Jumper.,22,37
6:58,135,Reggie Lynch Defensive Rebound.,22,37
6:50,135,Isaiah Washington missed Layup.,22,37
6:50,2226,William Pfister Defensive Rebound.,22,37
6:34,135,Foul on Reggie Lynch.,22,37
6:34,135,Official TV Timeout,22,37
6:34,2226,Jailyn Ingram missed Free Throw.,22,37
6:34,2226,Florida Atlantic Deadball Team Rebound.,22,37
6:34,2226,Jailyn Ingram made Free Throw.,23,37
6:29,135,Amir Coffey missed Three Point Jumper.,23,37
6:29,135,Bakary Konate Offensive Rebound.,23,37
6:27,2226,Foul on William Pfister.,23,37
6:27,135,Bakary Konate made Free Throw.,23,38
6:27,135,Bakary Konate made Free Throw.,23,39
6:07,2226,Jailyn Ingram made Jumper.,25,39
5:36,135,Jordan Murphy made Jumper. Assisted by Amir Coffey.,25,41
5:12,2226,Jailyn Ingram missed Three Point Jumper.,25,41
5:12,135,Amir Coffey Defensive Rebound.,25,41
5:04,135,Nate Mason made Three Point Jumper. Assisted by Amir Coffey.,25,44
4:47,2226,Je'Quan Perry missed Three Point Jumper.,25,44
4:47,135,Jordan Murphy Defensive Rebound.,25,44
4:40,135,Nate Mason missed Jumper.,25,44
4:40,2226,Jailyn Ingram Defensive Rebound.,25,44
4:32,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Jailyn Ingram.,28,44
4:32,135,Foul on Amir Coffey.,28,44
4:32,2226,Gerdarius Troutman made Free Throw.,29,44
4:20,2226,Foul on Jailyn Ingram.,29,44
4:20,135,Amir Coffey missed Free Throw.,29,44
4:20,2226,Jailyn Ingram Defensive Rebound.,29,44
4:02,2226,Anthony Adger missed Jumper.,29,44
4:02,135,Bakary Konate Defensive Rebound.,29,44
3:50,135,Nate Mason missed Three Point Jumper.,29,44
3:50,2226,Anthony Adger Defensive Rebound.,29,44
3:31,2226,Ronald Delph missed Jumper.,29,44
3:31,2226,William Pfister Offensive Rebound.,29,44
3:22,135,Foul on Michael Hurt.,29,44
3:22,135,Official TV Timeout,29,44
3:09,2226,Ronald Delph missed Jumper.,29,44
3:09,135,Michael Hurt Defensive Rebound.,29,44
2:50,135,Bakary Konate made Layup. Assisted by Jordan Murphy.,29,46
2:40,2226,Gerdarius Troutman missed Three Point Jumper.,29,46
2:40,135,Nate Mason Defensive Rebound.,29,46
2:33,135,Nate Mason Turnover.,29,46
2:33,2226,Jailyn Ingram Steal.,29,46
2:24,2226,Ronald Delph missed Jumper.,29,46
2:24,135,Michael Hurt Defensive Rebound.,29,46
2:16,135,Nate Mason made Three Point Jumper. Assisted by Michael Hurt.,29,49
1:55,2226,Jailyn Ingram missed Jumper.,29,49
1:55,135,Bakary Konate Defensive Rebound.,29,49
1:26,135,Michael Hurt made Jumper. Assisted by Amir Coffey.,29,51
1:06,2226,Ronald Delph made Jumper.,31,51
0:52,135,Minnesota Offensive Rebound.,31,51
0:42,135,Michael Hurt made Layup. Assisted by Jordan Murphy.,31,53
0:20,2226,Amir Smith missed Jumper.,31,53
0:20,135,Jordan Murphy Block.,31,53
0:20,135,Bakary Konate Defensive Rebound.,31,53
0:06,135,Nate Mason missed Three Point Jumper.,31,53
0:06,135,Minnesota Offensive Rebound.,31,53
0:02,135,Amir Coffey missed Three Point Jumper.,31,53
0:02,135,Minnesota Offensive Rebound.,31,53
0:00,135,End of 1st half,31,53
20:00,135,Jump Ball won by Minnesota,31,53
19:30,135,Amir Coffey missed Layup.,31,53
19:30,2226,William Pfister Defensive Rebound.,31,53
19:25,135,Foul on Nate Mason.,31,53
19:25,2226,Anthony Adger made Free Throw.,32,53
19:25,2226,Anthony Adger made Free Throw.,33,53
19:10,135,Reggie Lynch made Layup. Assisted by Amir Coffey.,33,55
18:58,2226,Jailyn Ingram missed Jumper.,33,55
18:58,135,Nate Mason Defensive Rebound.,33,55
18:36,2226,Foul on William Pfister.,33,55
18:36,135,Reggie Lynch made Free Throw.,33,56
18:36,135,Reggie Lynch missed Free Throw.,33,56
18:36,2226,Ronald Delph Defensive Rebound.,33,56
18:36,2226,William Pfister Turnover.,33,56
18:36,135,Jordan Murphy Steal.,33,56
18:25,2226,Foul on William Pfister.,33,56
18:21,135,Nate Mason missed Three Point Jumper.,33,56
18:21,135,Jordan Murphy Offensive Rebound.,33,56
18:15,135,Jordan Murphy made Dunk.,33,58
17:55,2226,Ronald Delph missed Jumper.,33,58
17:55,135,Reggie Lynch Block.,33,58
17:55,135,Reggie Lynch Defensive Rebound.,33,58
17:39,135,Amir Coffey missed Jumper.,33,58
17:39,2226,Ronald Delph Block.,33,58
17:39,2226,Jailyn Ingram Defensive Rebound.,33,58
17:31,2226,Gerdarius Troutman missed Three Point Jumper.,33,58
17:31,135,Jordan Murphy Defensive Rebound.,33,58
17:18,135,Amir Coffey made Three Point Jumper.,33,61
17:07,2226,Florida Atlantic  Timeout,33,61
16:53,2226,Jailyn Ingram missed Jumper.,33,61
16:53,135,Jordan Murphy Defensive Rebound.,33,61
16:40,135,Amir Coffey made Jumper. Assisted by Michael Hurt.,33,63
16:20,2226,Anthony Adger missed Three Point Jumper.,33,63
16:20,135,Jordan Murphy Defensive Rebound.,33,63
15:53,135,Isaiah Washington made Jumper.,33,65
15:31,2226,Ronald Delph missed Jumper.,33,65
15:31,135,Jordan Murphy Defensive Rebound.,33,65
15:23,2226,Foul on Ronald Delph.,33,65
15:23,135,Official TV Timeout,33,65
15:23,135,Reggie Lynch made Free Throw.,33,66
15:23,135,Reggie Lynch made Free Throw.,33,67
15:09,2226,Justin Massey made Jumper. Assisted by Jailyn Ingram.,35,67
14:50,135,Amir Coffey Turnover.,35,67
14:50,2226,Gerdarius Troutman Steal.,35,67
14:45,2226,Gerdarius Troutman missed Layup.,35,67
14:45,2226,Anthony Adger Offensive Rebound.,35,67
14:32,2226,Anthony Adger missed Layup.,35,67
14:32,135,Michael Hurt Block.,35,67
14:32,135,Isaiah Washington Defensive Rebound.,35,67
14:32,135,Amir Coffey missed Dunk.,35,67
14:32,135,Reggie Lynch Offensive Rebound.,35,67
14:19,135,Reggie Lynch made Dunk.,35,69
14:14,2226,Anthony Adger Turnover.,35,69
14:14,135,Amir Coffey Steal.,35,69
14:11,135,Amir Coffey made Dunk.,35,71
14:11,2226,Florida Atlantic  Timeout,35,71
14:01,2226,Ronald Delph made Jumper. Assisted by Justin Massey.,37,71
13:40,135,Jordan Murphy Turnover.,37,71
13:22,135,Foul on Bakary Konate.,37,71
13:18,135,Foul on Davonte Fitzgerald.,37,71
13:13,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Justin Massey.,40,71
13:00,135,Isaiah Washington missed Jumper.,40,71
13:00,2226,Ronald Delph Defensive Rebound.,40,71
12:42,135,Foul on Bakary Konate.,40,71
12:34,2226,Ronald Delph missed Jumper.,40,71
12:34,135,Isaiah Washington Defensive Rebound.,40,71
12:25,135,Jamir Harris missed Three Point Jumper.,40,71
12:25,2226,Ronald Delph Defensive Rebound.,40,71
12:03,2226,Jailyn Ingram missed Jumper.,40,71
12:03,135,Isaiah Washington Defensive Rebound.,40,71
11:48,2226,Foul on Devorious Brown.,40,71
11:48,135,Official TV Timeout,40,71
11:48,135,Davonte Fitzgerald missed Jumper.,40,71
11:48,2226,Jailyn Ingram Block.,40,71
11:48,135,Bakary Konate Offensive Rebound.,40,71
11:47,135,Official TV Timeout,40,71
11:47,135,Official TV Timeout,40,71
11:34,135,Davonte Fitzgerald made Jumper. Assisted by Amir Coffey.,40,73
11:15,2226,Jailyn Ingram missed Three Point Jumper.,40,73
11:15,135,Isaiah Washington Defensive Rebound.,40,73
11:05,135,Isaiah Washington Turnover.,40,73
11:05,2226,Jailyn Ingram Steal.,40,73
11:01,2226,Jailyn Ingram missed Jumper.,40,73
11:01,135,Amir Coffey Defensive Rebound.,40,73
10:53,135,Amir Coffey made Jumper. Assisted by Isaiah Washington.,40,75
10:34,2226,Ronald Delph made Jumper. Assisted by Justin Massey.,42,75
10:24,135,Jamir Harris made Three Point Jumper. Assisted by Amir Coffey.,42,78
10:06,2226,Ronald Delph missed Jumper.,42,78
10:06,135,Jamir Harris Defensive Rebound.,42,78
10:00,135,Bakary Konate missed Jumper.,42,78
10:00,2226,Ronald Delph Block.,42,78
10:00,2226,Ronald Delph Defensive Rebound.,42,78
9:39,2226,Justin Massey missed Three Point Jumper.,42,78
9:39,135,Davonte Fitzgerald Defensive Rebound.,42,78
9:11,135,Isaiah Washington missed Layup.,42,78
9:11,2226,Anthony Adger Defensive Rebound.,42,78
9:05,2226,Justin Massey missed Three Point Jumper.,42,78
9:05,135,Isaiah Washington Defensive Rebound.,42,78
8:58,2226,Foul on Devorious Brown.,42,78
8:44,135,Isaiah Washington made Layup.,42,80
8:28,2226,Justin Massey missed Three Point Jumper.,42,80
8:28,135,Isaiah Washington Defensive Rebound.,42,80
8:20,135,Jamir Harris missed Three Point Jumper.,42,80
8:20,2226,William Pfister Defensive Rebound.,42,80
8:09,2226,Devorious Brown Turnover.,42,80
8:09,135,Gaston Diedhiou Steal.,42,80
8:05,2226,Foul on Jailyn Ingram.,42,80
8:05,135,Gaston Diedhiou made Free Throw.,42,81
8:05,135,Gaston Diedhiou missed Free Throw.,42,81
8:05,2226,William Pfister Defensive Rebound.,42,81
7:50,2226,Jailyn Ingram made Jumper.,44,81
7:15,135,Isaiah Washington made Layup.,44,83
7:15,2226,Foul on William Pfister.,44,83
7:15,135,Official TV Timeout,44,83
7:15,135,Isaiah Washington made Free Throw.,44,84
7:03,2226,Ronald Delph made Dunk. Assisted by Anthony Adger.,46,84
6:45,135,Isaiah Washington missed Layup.,46,84
6:45,2226,Gerdarius Troutman Defensive Rebound.,46,84
6:27,2226,Anthony Adger missed Jumper.,46,84
6:27,135,Isaiah Washington Defensive Rebound.,46,84
6:15,135,Davonte Fitzgerald made Jumper. Assisted by Isaiah Washington.,46,86
5:52,135,Foul on Davonte Fitzgerald.,46,86
5:52,2226,Jailyn Ingram made Free Throw.,47,86
5:52,2226,Jailyn Ingram made Free Throw.,48,86
5:24,135,Gaston Diedhiou made Jumper. Assisted by Brady Rudrud.,48,88
5:11,2226,Foul on Je'Quan Perry.,48,88
5:11,2226,Je'Quan Perry Turnover.,48,88
4:43,135,Gaston Diedhiou missed Jumper.,48,88
4:43,2226,Gerdarius Troutman Block.,48,88
4:43,2226,Gerdarius Troutman Defensive Rebound.,48,88
4:29,2226,Ronald Delph missed Jumper.,48,88
4:29,135,Davonte Fitzgerald Defensive Rebound.,48,88
4:14,135,Brady Rudrud Turnover.,48,88
4:14,2226,Anthony Adger Steal.,48,88
4:08,2226,Ronald Delph missed Jumper.,48,88
4:08,135,Davonte Fitzgerald Defensive Rebound.,48,88
3:55,135,Davonte Fitzgerald made Jumper. Assisted by Jamir Harris.,48,90
3:37,2226,Ronald Delph made Jumper. Assisted by Gerdarius Troutman.,50,90
3:14,135,Brady Rudrud missed Three Point Jumper.,50,90
3:14,2226,Anthony Adger Defensive Rebound.,50,90
3:03,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Justin Massey.,53,90
2:58,135,Minnesota  Timeout,53,90
2:58,135,Official TV Timeout,53,90
2:41,135,Bakary Konate missed Layup.,53,90
2:41,135,Bakary Konate Offensive Rebound.,53,90
2:32,135,Davonte Fitzgerald made Three Point Jumper. Assisted by Bakary Konate.,53,93
2:19,2226,Ronald Delph made Jumper.,55,93
1:55,135,Brady Rudrud missed Three Point Jumper.,55,93
1:55,2226,Devorious Brown Defensive Rebound.,55,93
1:43,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Devorious Brown.,58,93
1:25,135,Hunt Conroy missed Three Point Jumper.,58,93
1:25,2226,Devorious Brown Defensive Rebound.,58,93
1:15,2226,Devorious Brown missed Jumper.,58,93
1:15,135,Hunt Conroy Defensive Rebound.,58,93
0:44,135,Hunt Conroy made Layup. Assisted by Jamir Harris.,58,95
0:30,2226,Gerdarius Troutman made Layup.,60,95
0:00,135,End of Game,60,95
