UC Santa Barbara,16,Sacramento State,2540
5:23,16,Jordan Tolbert missed Three Point Jumper.,28,26
5:23,2540,UC Santa Barbara Defensive Rebound.,28,26
5:22,16,Foul on Justin Strings.,28,26
5:04,2540,Max Heidegger made Three Point Jumper. Assisted by Gabe Vincent.,31,26
4:42,16,Bryce Fowler made Layup. Assisted by Justin Strings.,31,28
4:18,2540,Jalen Canty missed Jumper.,31,28
4:18,16,Justin Strings Defensive Rebound.,31,28
3:57,16,Joshua Patton made Layup. Assisted by Bryce Fowler.,31,30
3:37,16,Official TV Timeout,31,30
3:36,2540,Jalen Canty missed Jumper.,31,30
3:35,16,Official TV Timeout,31,30
3:35,2540,UC Santa Barbara Offensive Rebound.,31,30
3:35,16,Official TV Timeout,31,30
3:23,2540,Gabe Vincent made Jumper.,33,30
3:02,16,Justin Strings missed Three Point Jumper.,33,30
3:02,2540,Max Heidegger Defensive Rebound.,33,30
2:54,2540,Marcus Jackson made Three Point Jumper. Assisted by Gabe Vincent.,36,30
2:24,16,Jeff Wu missed Jumper.,36,30
2:24,2540,Jalen Canty Defensive Rebound.,36,30
2:19,2540,Max Heidegger missed Three Point Jumper.,36,30
2:19,2540,Jalen Canty Offensive Rebound.,36,30
2:10,2540,Marcus Jackson made Three Point Jumper. Assisted by Gabe Vincent.,39,30
2:06,16,Sacramento State  Timeout,39,30
1:54,16,Bryce Fowler Turnover.,39,30
1:53,2540,Gabe Vincent Steal.,39,30
1:50,2540,Max Heidegger made Layup. Assisted by Marcus Jackson.,41,30
1:25,16,Joshua Patton missed Jumper.,41,30
1:25,2540,Leland King II Defensive Rebound.,41,30
1:20,2540,Gabe Vincent missed Three Point Jumper.,41,30
1:20,2540,Max Heidegger Offensive Rebound.,41,30
1:15,16,Foul on Joshua Patton.,41,30
1:15,2540,Max Heidegger missed Free Throw.,41,30
1:15,2540,UC Santa Barbara Deadball Team Rebound.,41,30
1:15,2540,Max Heidegger made Free Throw.,42,30
0:45,16,Justin Strings made Jumper.,42,32
0:34,2540,UC Santa Barbara  Timeout,42,32
0:14,2540,Gabe Vincent made Jumper.,44,32
0:04,16,Kevin Hicks missed Three Point Jumper.,44,32
0:04,2540,Leland King II Defensive Rebound.,44,32
0:00,16,End of 1st half,44,32
19:48,16,Justin Strings missed Jumper.,44,32
19:48,2540,Jalen Canty Block.,44,32
19:45,16,Izayah Mauriohoohoo-Le'Afa Offensive Rebound.,44,32
19:33,16,Joshua Patton missed Layup.,44,32
19:33,2540,Leland King II Defensive Rebound.,44,32
19:19,2540,Leland King II missed Layup.,44,32
19:19,16,Joshua Patton Block.,44,32
19:17,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,44,32
19:09,16,Joshua Patton made Layup. Assisted by Bryce Fowler.,44,34
19:09,2540,Foul on Jalen Canty.,44,34
19:09,16,Joshua Patton missed Free Throw.,44,34
19:09,2540,Gabe Vincent Defensive Rebound.,44,34
18:44,2540,Jalen Canty made Layup.,46,34
18:32,16,Justin Strings missed Jumper.,46,34
18:32,2540,UC Santa Barbara Defensive Rebound.,46,34
18:18,2540,Gabe Vincent missed Three Point Jumper.,46,34
18:18,2540,Leland King II Offensive Rebound.,46,34
18:14,2540,Leland King II made Layup.,48,34
17:56,16,Bryce Fowler Turnover.,48,34
17:55,16,Sacramento State  Timeout,48,34
17:27,2540,Jalen Canty missed Layup.,48,34
17:27,2540,Leland King II Offensive Rebound.,48,34
17:24,2540,Leland King II missed Layup.,48,34
17:24,16,Sacramento State Defensive Rebound.,48,34
17:09,2540,Foul on Marcus Jackson.,48,34
17:09,16,Joshua Patton made Free Throw.,48,35
17:09,16,Joshua Patton made Free Throw.,48,36
16:49,2540,Gabe Vincent made Three Point Jumper. Assisted by Max Heidegger.,51,36
16:32,16,Kevin Hicks missed Three Point Jumper.,51,36
16:32,2540,Jalen Canty Defensive Rebound.,51,36
16:14,2540,Jalen Canty Turnover.,51,36
16:12,16,Joshua Patton Steal.,51,36
16:06,2540,Foul on Max Heidegger.,51,36
16:06,16,Kevin Hicks made Free Throw.,51,37
16:06,16,Kevin Hicks made Free Throw.,51,38
15:52,2540,Leland King II missed Jumper.,51,38
15:52,2540,Ami Lakoju Offensive Rebound.,51,38
15:50,16,Foul on James Herrick.,51,38
15:50,16,Official TV Timeout,51,38
15:44,2540,Marcus Jackson made Layup.,53,38
15:17,16,Justin Strings missed Three Point Jumper.,53,38
15:17,2540,Leland King II Defensive Rebound.,53,38
15:07,2540,Foul on Marcus Jackson.,53,38
15:07,2540,Marcus Jackson Turnover.,53,38
14:58,16,Kevin Hicks made Jumper. Assisted by Jiday Ugbaja.,53,40
14:40,2540,Christian Terrell missed Three Point Jumper.,53,40
14:40,16,Jiday Ugbaja Defensive Rebound.,53,40
14:25,16,Jordan Tolbert made Three Point Jumper. Assisted by Jiday Ugbaja.,53,43
14:03,2540,Gabe Vincent made Three Point Jumper. Assisted by Christian Terrell.,56,43
14:02,2540,UC Santa Barbara  Timeout,56,43
13:43,16,Kevin Hicks missed Three Point Jumper.,56,43
13:43,2540,Marcus Jackson Defensive Rebound.,56,43
13:36,2540,Jalen Canty made Layup. Assisted by Marcus Jackson.,58,43
13:29,16,Sacramento State  Timeout,58,43
13:19,16,Jordan Tolbert made Three Point Jumper. Assisted by Jeff Wu.,58,46
13:00,2540,Max Heidegger made Jumper.,60,46
12:46,16,Foul on Joshua Patton.,60,46
12:46,16,Joshua Patton Turnover.,60,46
12:28,2540,Max Heidegger made Jumper.,62,46
12:04,2540,Foul on Christian Terrell.,62,46
11:55,16,Jiday Ugbaja Turnover.,62,46
11:55,16,Official TV Timeout,62,46
11:42,2540,Jalen Canty made Dunk. Assisted by Leland King II.,64,46
11:31,16,Jordan Tolbert missed Layup.,64,46
11:31,16,Jordan Tolbert Offensive Rebound.,64,46
11:24,16,Jordan Tolbert missed Layup.,64,46
11:24,2540,Leland King II Defensive Rebound.,64,46
11:18,2540,Gabe Vincent missed Jumper.,64,46
11:18,16,Bryce Fowler Defensive Rebound.,64,46
10:52,16,Jiday Ugbaja missed Layup.,64,46
10:52,2540,Leland King II Defensive Rebound.,64,46
10:32,2540,Gabe Vincent missed Jumper.,64,46
10:32,16,Jeff Wu Defensive Rebound.,64,46
10:25,16,Jordan Tolbert made Three Point Jumper. Assisted by Jeff Wu.,64,49
9:57,2540,Jalen Canty made Jumper.,66,49
9:42,16,Justin Strings made Jumper.,66,51
9:23,2540,Leland King II made Three Point Jumper. Assisted by Marcus Jackson.,69,51
8:57,16,Justin Strings made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,69,53
8:33,2540,Max Heidegger missed Layup.,69,53
8:33,2540,Jalen Canty Offensive Rebound.,69,53
8:33,16,Foul on Justin Strings.,69,53
8:33,2540,Jalen Canty made Free Throw.,70,53
8:33,2540,Jalen Canty missed Free Throw.,70,53
8:33,16,Jiday Ugbaja Defensive Rebound.,70,53
8:26,16,Jiday Ugbaja missed Layup.,70,53
8:26,2540,Jalen Canty Block.,70,53
8:24,2540,Jalen Canty Defensive Rebound.,70,53
8:17,16,Foul on Jiday Ugbaja.,70,53
8:07,2540,Ami Lakoju missed Layup.,70,53
8:07,16,Joshua Patton Block.,70,53
8:07,2540,Ami Lakoju Offensive Rebound.,70,53
8:07,16,Foul on Chibueze Jacobs.,70,53
8:07,2540,Ami Lakoju missed Free Throw.,70,53
8:07,2540,UC Santa Barbara Deadball Team Rebound.,70,53
8:07,2540,Ami Lakoju made Free Throw.,71,53
7:51,2540,Foul on Max Heidegger.,71,53
7:51,16,Official TV Timeout,71,53
7:35,16,Jiday Ugbaja made Three Point Jumper.,71,56
7:14,2540,Leland King II missed Three Point Jumper.,71,56
7:14,16,Chibueze Jacobs Defensive Rebound.,71,56
7:07,16,Jordan Tolbert made Jumper.,71,58
6:43,2540,Ami Lakoju missed Jumper.,71,58
6:43,2540,Christian Terrell Offensive Rebound.,71,58
6:40,2540,Christian Terrell missed Two Point Tip Shot.,71,58
6:40,16,Chibueze Jacobs Defensive Rebound.,71,58
6:22,2540,Foul on Ami Lakoju.,71,58
6:22,16,Jordan Tolbert made Free Throw.,71,59
6:22,16,Jordan Tolbert made Free Throw.,71,60
5:55,2540,Max Heidegger made Layup.,73,60
5:53,2540,UC Santa Barbara  Timeout,73,60
5:29,16,Joshua Patton missed Jumper.,73,60
5:29,2540,UC Santa Barbara Defensive Rebound.,73,60
5:05,2540,Jalen Canty missed Jumper.,73,60
5:05,16,Joshua Patton Block.,73,60
5:03,16,Justin Strings Defensive Rebound.,73,60
4:36,16,Justin Strings missed Jumper.,73,60
4:36,2540,Leland King II Defensive Rebound.,73,60
4:23,2540,Jalen Canty made Layup. Assisted by Leland King II.,75,60
4:08,16,Justin Strings Turnover.,75,60
4:07,2540,Max Heidegger Steal.,75,60
4:06,16,Foul on Jiday Ugbaja.,75,60
3:54,2540,Marcus Jackson missed Jumper.,75,60
3:54,2540,Jalen Canty Offensive Rebound.,75,60
3:50,16,Foul on Joshua Patton.,75,60
3:50,16,Official TV Timeout,75,60
3:50,2540,Jalen Canty made Free Throw.,76,60
3:50,2540,Jalen Canty made Free Throw.,77,60
3:37,16,Joshua Patton made Dunk. Assisted by Bryce Fowler.,77,62
3:19,2540,Max Heidegger missed Three Point Jumper.,77,62
3:19,16,Jordan Tolbert Defensive Rebound.,77,62
3:00,16,Justin Strings made Three Point Jumper. Assisted by Jeff Wu.,77,65
2:47,2540,Max Heidegger missed Three Point Jumper.,77,65
2:47,16,Jordan Tolbert Defensive Rebound.,77,65
2:41,16,Jordan Tolbert Turnover.,77,65
2:40,2540,Jalen Canty Steal.,77,65
2:17,2540,Jalen Canty missed Layup.,77,65
2:17,16,Joshua Patton Defensive Rebound.,77,65
2:05,16,Joshua Patton missed Layup.,77,65
2:05,16,Justin Strings Offensive Rebound.,77,65
2:02,16,Justin Strings made Dunk.,77,67
1:46,2540,Jalen Canty made Layup. Assisted by Leland King II.,79,67
1:34,16,Justin Strings made Three Point Jumper. Assisted by Bryce Fowler.,79,70
1:09,2540,Max Heidegger made Three Point Jumper. Assisted by Marcus Jackson.,82,70
1:06,2540,UC Santa Barbara  Timeout,82,70
0:53,16,Justin Strings missed Three Point Jumper.,82,70
0:53,2540,UC Santa Barbara Defensive Rebound.,82,70
0:23,2540,Jalen Canty Turnover.,82,70
0:13,16,Justin Strings made Layup.,82,72
0:00,16,End of Game,82,72
