Fordham,277,West Virginia,2230
9:26,2230,Cavit Havsa made Three Point Jumper. Assisted by Tre Evans.,19,21
9:00,277,Sagaba Konate made Layup. Assisted by Daxter Miles Jr..,19,23
8:48,2230,Perris Hicks missed Three Point Jumper.,19,23
8:48,277,Sagaba Konate Defensive Rebound.,19,23
8:19,277,Lamont West missed Jumper.,19,23
8:19,2230,David Pekarek Defensive Rebound.,19,23
8:01,2230,David Pekarek Turnover.,19,23
8:01,277,Daxter Miles Jr. Steal.,19,23
7:56,277,James Bolden made Layup. Assisted by Daxter Miles Jr..,19,25
7:39,277,Foul on Lamont West.,19,25
7:39,277,Official TV Timeout,19,25
7:39,2230,Joseph Chartouny made Free Throw.,20,25
7:39,2230,Joseph Chartouny made Free Throw.,21,25
7:14,277,James Bolden made Layup. Assisted by Daxter Miles Jr..,21,27
6:57,2230,Will Tavares Turnover.,21,27
6:39,277,Wesley Harris missed Jumper.,21,27
6:39,277,Maciej Bender Offensive Rebound.,21,27
6:31,277,Wesley Harris made Three Point Jumper.,21,30
6:09,2230,Foul on Prokop Slanina.,21,30
6:09,2230,Prokop Slanina Turnover.,21,30
5:57,277,Wesley Harris Turnover.,21,30
5:57,2230,David Pekarek Steal.,21,30
5:36,277,Foul on Teddy Allen.,21,30
5:36,2230,Cavit Havsa made Free Throw.,22,30
5:36,2230,Cavit Havsa made Free Throw.,23,30
5:22,2230,Foul on Cavit Havsa.,23,30
5:22,277,Sagaba Konate missed Free Throw.,23,30
5:22,277,West Virginia Deadball Team Rebound.,23,30
5:22,277,Sagaba Konate missed Free Throw.,23,30
5:22,277,Daxter Miles Jr. Offensive Rebound.,23,30
5:17,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,23,33
5:06,2230,Cavit Havsa Turnover.,23,33
5:06,277,Jevon Carter Steal.,23,33
5:04,277,Jevon Carter made Dunk.,23,35
4:49,2230,Will Tavares missed Layup.,23,35
4:49,277,Sagaba Konate Block.,23,35
4:49,277,James Bolden Defensive Rebound.,23,35
4:43,277,James Bolden Turnover.,23,35
4:43,2230,Will Tavares Steal.,23,35
4:42,277,Foul on James Bolden.,23,35
4:42,2230,David Pekarek made Free Throw.,24,35
4:42,2230,David Pekarek missed Free Throw.,24,35
4:42,277,Sagaba Konate Defensive Rebound.,24,35
4:26,277,Teddy Allen missed Layup.,24,35
4:26,277,James Bolden Offensive Rebound.,24,35
4:22,277,James Bolden missed Layup.,24,35
4:22,277,Sagaba Konate Offensive Rebound.,24,35
4:22,277,Sagaba Konate made Layup.,24,37
4:22,2230,Foul on David Pekarek.,24,37
4:22,277,Sagaba Konate made Free Throw.,24,38
4:15,2230,Foul on Tre Evans.,24,38
4:15,2230,Tre Evans Turnover.,24,38
4:11,277,Teddy Allen missed Three Point Jumper.,24,38
4:11,277,Sagaba Konate Offensive Rebound.,24,38
4:01,2230,Foul on Prokop Slanina.,24,38
4:01,277,Sagaba Konate made Free Throw.,24,39
4:01,277,Sagaba Konate made Free Throw.,24,40
3:56,2230,Will Tavares missed Three Point Jumper.,24,40
3:56,277,Jevon Carter Defensive Rebound.,24,40
3:49,277,Daxter Miles Jr. missed Three Point Jumper.,24,40
3:49,2230,Ivan Raut Defensive Rebound.,24,40
3:44,277,Foul on Sagaba Konate.,24,40
3:44,277,Official TV Timeout,24,40
3:44,2230,Ivan Raut made Free Throw.,25,40
3:44,2230,Ivan Raut made Free Throw.,26,40
3:36,277,Teddy Allen missed Three Point Jumper.,26,40
3:36,2230,Cavit Havsa Defensive Rebound.,26,40
3:12,277,Foul on Daxter Miles Jr..,26,40
3:12,2230,Ivan Raut made Free Throw.,27,40
3:12,2230,Ivan Raut made Free Throw.,28,40
2:55,277,Sagaba Konate missed Layup.,28,40
2:55,2230,David Pekarek Block.,28,40
2:55,2230,David Pekarek Defensive Rebound.,28,40
2:31,2230,Joseph Chartouny made Jumper. Assisted by Cavit Havsa.,30,40
2:03,277,Sagaba Konate missed Jumper.,30,40
2:03,2230,David Pekarek Defensive Rebound.,30,40
1:53,2230,Joseph Chartouny missed Three Point Jumper.,30,40
1:53,277,Lamont West Defensive Rebound.,30,40
1:45,2230,Foul on Perris Hicks.,30,40
1:45,277,Jevon Carter made Free Throw.,30,41
1:45,277,Jevon Carter made Free Throw.,30,42
1:40,2230,Ivan Raut Turnover.,30,42
1:35,2230,Foul on Will Tavares.,30,42
1:35,277,Jevon Carter made Free Throw.,30,43
1:35,277,Jevon Carter made Free Throw.,30,44
1:29,2230,Joseph Chartouny made Three Point Jumper. Assisted by Ivan Raut.,33,44
1:14,277,James Bolden missed Three Point Jumper.,33,44
1:14,2230,Will Tavares Defensive Rebound.,33,44
1:00,2230,David Pekarek made Three Point Jumper. Assisted by Cavit Havsa.,36,44
0:43,277,James Bolden missed Three Point Jumper.,36,44
0:43,2230,Cavit Havsa Defensive Rebound.,36,44
0:20,2230,Ivan Raut made Three Point Jumper. Assisted by Will Tavares.,39,44
0:03,277,Jevon Carter made Layup.,39,46
0:00,277,End of 1st half,39,46
20:00,2230,Jump Ball won by Fordham,39,46
19:40,2230,Prokop Slanina missed Three Point Jumper.,39,46
19:40,277,Lamont West Defensive Rebound.,39,46
19:23,277,Sagaba Konate Turnover.,39,46
19:23,2230,Will Tavares Steal.,39,46
19:20,2230,Will Tavares made Layup.,41,46
18:50,277,Wesley Harris missed Jumper.,41,46
18:50,277,Sagaba Konate Offensive Rebound.,41,46
18:46,277,Sagaba Konate missed Jumper.,41,46
18:46,277,Jevon Carter Offensive Rebound.,41,46
18:26,277,Jevon Carter Turnover.,41,46
18:14,2230,Joseph Chartouny missed Layup.,41,46
18:14,277,Wesley Harris Block.,41,46
18:14,277,Wesley Harris Defensive Rebound.,41,46
18:11,277,Jump Ball won by West Virginia,41,46
18:02,277,Wesley Harris made Three Point Jumper. Assisted by Jevon Carter.,41,49
17:51,2230,Fordham  Timeout,41,49
17:44,2230,Joseph Chartouny Turnover.,41,49
17:44,277,Sagaba Konate Steal.,41,49
17:19,277,Wesley Harris missed Three Point Jumper.,41,49
17:19,2230,Prokop Slanina Defensive Rebound.,41,49
17:07,2230,Joseph Chartouny missed Layup.,41,49
17:07,277,Sagaba Konate Block.,41,49
17:07,277,Daxter Miles Jr. Defensive Rebound.,41,49
17:00,2230,Foul on Will Tavares.,41,49
17:00,277,Daxter Miles Jr. missed Free Throw.,41,49
17:00,277,West Virginia Deadball Team Rebound.,41,49
17:00,277,Daxter Miles Jr. made Free Throw.,41,50
16:37,277,Foul on Daxter Miles Jr..,41,50
16:32,2230,Perris Hicks missed Three Point Jumper.,41,50
16:32,277,Wesley Harris Defensive Rebound.,41,50
16:21,277,Wesley Harris made Three Point Jumper. Assisted by Jevon Carter.,41,53
16:07,2230,Ivan Raut missed Three Point Jumper.,41,53
16:07,277,Wesley Harris Defensive Rebound.,41,53
15:57,277,Wesley Harris missed Three Point Jumper.,41,53
15:57,277,Sagaba Konate Offensive Rebound.,41,53
15:51,2230,Foul on Ivan Raut.,41,53
15:51,277,Official TV Timeout,41,53
15:37,277,Foul on Jevon Carter.,41,53
15:37,277,Jevon Carter Turnover.,41,53
15:24,2230,Perris Hicks made Three Point Jumper. Assisted by Cavit Havsa.,44,53
15:05,277,Wesley Harris missed Three Point Jumper.,44,53
15:05,2230,Prokop Slanina Defensive Rebound.,44,53
14:37,2230,Joseph Chartouny missed Three Point Jumper.,44,53
14:37,277,West Virginia Defensive Rebound.,44,53
14:06,2230,Foul on Prokop Slanina.,44,53
14:06,277,Wesley Harris missed Free Throw.,44,53
14:06,277,West Virginia Deadball Team Rebound.,44,53
14:06,277,Wesley Harris made Free Throw.,44,54
13:54,2230,Joseph Chartouny missed Three Point Jumper.,44,54
13:54,277,Jevon Carter Defensive Rebound.,44,54
13:45,2230,Foul on Cavit Havsa.,44,54
13:45,277,Jevon Carter made Free Throw.,44,55
13:45,277,Jevon Carter made Free Throw.,44,56
13:24,2230,Ivan Raut missed Jumper.,44,56
13:24,277,Sagaba Konate Defensive Rebound.,44,56
13:03,277,Lamont West missed Jumper.,44,56
13:03,277,Daxter Miles Jr. Offensive Rebound.,44,56
12:56,2230,Foul on Joseph Chartouny.,44,56
12:56,277,Lamont West made Free Throw.,44,57
12:56,277,Lamont West made Free Throw.,44,58
12:48,2230,David Pekarek made Three Point Jumper. Assisted by Ivan Raut.,47,58
12:34,2230,Foul on Perris Hicks.,47,58
12:24,277,Lamont West Turnover.,47,58
12:24,2230,Joseph Chartouny Steal.,47,58
12:20,2230,David Pekarek missed Layup.,47,58
12:20,2230,Will Tavares Offensive Rebound.,47,58
12:11,2230,Will Tavares made Layup.,49,58
12:00,2230,Foul on Joseph Chartouny.,49,58
12:00,277,Official TV Timeout,49,58
12:00,277,James Bolden missed Free Throw.,49,58
12:00,2230,Joseph Chartouny Defensive Rebound.,49,58
11:52,2230,Will Tavares made Layup.,51,58
11:28,277,James Bolden made Layup.,51,60
11:02,2230,Cavit Havsa made Layup.,53,60
10:28,277,James Bolden missed Three Point Jumper.,53,60
10:28,2230,Joseph Chartouny Defensive Rebound.,53,60
10:17,2230,Perris Hicks Turnover.,53,60
10:17,277,Jevon Carter Steal.,53,60
10:05,2230,Foul on Cavit Havsa.,53,60
10:05,277,James Bolden made Free Throw.,53,61
10:05,277,James Bolden made Free Throw.,53,62
10:03,277,Foul on Jevon Carter.,53,62
10:03,277,Foul on Jevon Carter.,53,62
9:55,2230,Joseph Chartouny made Layup. Assisted by Ivan Raut.,55,62
9:28,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Teddy Allen.,55,65
9:11,2230,Joseph Chartouny Turnover.,55,65
8:54,277,Daxter Miles Jr. missed Three Point Jumper.,55,65
8:54,277,Sagaba Konate Offensive Rebound.,55,65
8:51,277,Sagaba Konate made Layup.,55,67
8:27,2230,Joseph Chartouny made Layup.,57,67
8:18,277,West Virginia  Timeout,57,67
8:12,277,Lamont West Turnover.,57,67
8:12,2230,Cavit Havsa Steal.,57,67
8:07,2230,Will Tavares made Dunk. Assisted by Cavit Havsa.,59,67
7:43,277,D'Angelo Hunter Turnover.,59,67
7:43,2230,Cavit Havsa Steal.,59,67
7:43,277,Foul on D'Angelo Hunter.,59,67
7:34,2230,Cavit Havsa Turnover.,59,67
7:16,277,Wesley Harris missed Jumper.,59,67
7:16,277,West Virginia Offensive Rebound.,59,67
7:02,277,Wesley Harris missed Three Point Jumper.,59,67
7:02,2230,Joseph Chartouny Defensive Rebound.,59,67
6:55,2230,Joseph Chartouny missed Layup.,59,67
6:55,2230,Will Tavares Offensive Rebound.,59,67
6:55,2230,Will Tavares made Two Point Tip Shot.,61,67
6:22,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Chase Harler.,61,70
6:13,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,63,70
6:13,277,Foul on Daxter Miles Jr..,63,70
6:13,2230,Will Tavares made Free Throw.,64,70
5:54,2230,Foul on Prokop Slanina.,64,70
5:54,277,Sagaba Konate missed Free Throw.,64,70
5:54,277,West Virginia Deadball Team Rebound.,64,70
5:54,277,Teddy Allen Turnover.,64,70
5:43,2230,Cavit Havsa missed Three Point Jumper.,64,70
5:43,277,Jevon Carter Defensive Rebound.,64,70
5:27,277,Jevon Carter missed Jumper.,64,70
5:27,277,Daxter Miles Jr. Offensive Rebound.,64,70
5:27,277,Daxter Miles Jr. made Two Point Tip Shot.,64,72
4:59,2230,Will Tavares missed Three Point Jumper.,64,72
4:59,277,Sagaba Konate Defensive Rebound.,64,72
4:44,277,Wesley Harris missed Three Point Jumper.,64,72
4:44,2230,Joseph Chartouny Defensive Rebound.,64,72
4:16,2230,Cavit Havsa missed Three Point Jumper.,64,72
4:16,277,Sagaba Konate Defensive Rebound.,64,72
3:59,277,Chase Harler made Three Point Jumper. Assisted by Daxter Miles Jr..,64,75
3:29,2230,Will Tavares missed Layup.,64,75
3:29,277,Wesley Harris Defensive Rebound.,64,75
3:25,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,64,77
3:06,2230,David Pekarek missed Three Point Jumper.,64,77
3:06,277,Wesley Harris Defensive Rebound.,64,77
2:59,277,Official TV Timeout,64,77
2:47,277,Jevon Carter missed Three Point Jumper.,64,77
2:47,2230,Will Tavares Defensive Rebound.,64,77
2:40,2230,Will Tavares missed Jumper.,64,77
2:40,2230,Will Tavares Offensive Rebound.,64,77
2:34,2230,Will Tavares missed Layup.,64,77
2:34,2230,Will Tavares Offensive Rebound.,64,77
2:34,277,Foul on Maciej Bender.,64,77
2:34,2230,Will Tavares made Free Throw.,65,77
2:34,2230,Will Tavares missed Free Throw.,65,77
2:34,277,Lamont West Defensive Rebound.,65,77
2:21,277,Lamont West made Dunk. Assisted by Daxter Miles Jr..,65,79
2:08,2230,David Pekarek missed Three Point Jumper.,65,79
2:08,277,Lamont West Defensive Rebound.,65,79
1:52,2230,Foul on Perris Hicks.,65,79
1:52,277,Jevon Carter missed Free Throw.,65,79
1:52,277,West Virginia Deadball Team Rebound.,65,79
1:52,277,Jevon Carter missed Free Throw.,65,79
1:52,2230,David Pekarek Defensive Rebound.,65,79
1:41,2230,Will Tavares Turnover.,65,79
1:29,277,Sagaba Konate made Dunk. Assisted by Daxter Miles Jr..,65,81
1:29,2230,Foul on Ivan Raut.,65,81
1:29,277,Sagaba Konate made Free Throw.,65,82
1:15,2230,David Pekarek made Jumper.,67,82
1:12,2230,Fordham  Timeout,67,82
1:10,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,67,84
0:56,2230,Perris Hicks missed Layup.,67,84
0:56,277,Lamont West Defensive Rebound.,67,84
0:34,277,Sagaba Konate missed Dunk.,67,84
0:34,277,Lamont West Offensive Rebound.,67,84
0:30,277,Lamont West made Layup.,67,86
0:19,2230,Joseph Chartouny missed Three Point Jumper.,67,86
0:19,2230,Ivan Raut Offensive Rebound.,67,86
0:08,2230,Will Tavares made Layup.,69,86
0:00,277,End of Game,69,86
