Alabama A&amp;M,46,Georgetown,2010
14:17,46,Jamorko Pickett made Jumper.,7,11
13:58,2010,Marcus Merriweather missed Three Point Jumper.,7,11
13:58,46,Jessie Govan Defensive Rebound.,7,11
13:46,46,Jagan Mosely made Jumper. Assisted by Jonathan Mulmore.,7,13
13:09,2010,Evan Wiley made Three Point Jumper. Assisted by Mohamed Sherif.,10,13
12:45,46,Jessie Govan missed Jumper.,10,13
12:45,46,Kaleb Johnson Offensive Rebound.,10,13
12:42,46,Kaleb Johnson made Layup.,10,15
12:42,2010,Foul on Arthur Johnson.,10,15
12:42,46,Kaleb Johnson made Free Throw.,10,16
12:17,2010,De'Ederick Petty made Three Point Jumper. Assisted by Julian Walters.,13,16
11:52,46,Jamorko Pickett made Three Point Jumper. Assisted by Jagan Mosely.,13,19
11:36,2010,Arthur Johnson missed Three Point Jumper.,13,19
11:36,46,Jonathan Mulmore Defensive Rebound.,13,19
11:28,46,Jonathan Mulmore Turnover.,13,19
11:28,46,Official TV Timeout,13,19
11:01,2010,De'Ederick Petty missed Layup.,13,19
11:01,46,Jagan Mosely Defensive Rebound.,13,19
10:42,46,Jagan Mosely made Layup.,13,21
10:19,2010,Andre Kennedy missed Jumper.,13,21
10:19,2010,Jalen Reeder Offensive Rebound.,13,21
10:17,2010,Jalen Reeder made Two Point Tip Shot.,15,21
10:17,46,Foul on Jonathan Mulmore.,15,21
10:17,2010,Jalen Reeder missed Free Throw.,15,21
10:17,46,Marcus Derrickson Defensive Rebound.,15,21
10:02,46,Jagan Mosely missed Three Point Jumper.,15,21
10:02,2010,Jalen Reeder Defensive Rebound.,15,21
9:39,2010,De'Ederick Petty Turnover.,15,21
9:28,46,Jahvon Blair made Three Point Jumper.,15,24
9:13,2010,De'Ederick Petty Turnover.,15,24
9:13,2010,Foul on De'Ederick Petty.,15,24
9:02,46,Jahvon Blair Turnover.,15,24
9:02,46,Foul on Jahvon Blair.,15,24
8:44,2010,Evan Wiley missed Layup.,15,24
8:44,46,Jagan Mosely Defensive Rebound.,15,24
8:39,46,Trey Dickerson made Layup. Assisted by Jagan Mosely.,15,26
8:17,2010,Mohamed Sherif missed Layup.,15,26
8:17,46,Marcus Derrickson Defensive Rebound.,15,26
8:13,2010,Foul on Marcus Merriweather.,15,26
8:12,46,Jahvon Blair made Three Point Jumper. Assisted by Jagan Mosely.,15,29
8:10,2010,Alabama A&M  Timeout,15,29
8:10,46,Official TV Timeout,15,29
7:41,2010,Arthur Johnson Turnover.,15,29
7:40,46,Antwan Walker Steal.,15,29
7:38,46,Antwan Walker made Dunk. Assisted by Trey Dickerson.,15,31
7:17,2010,Mohamed Sherif missed Layup.,15,31
7:17,46,Antwan Walker Defensive Rebound.,15,31
7:03,46,Jahvon Blair missed Three Point Jumper.,15,31
7:03,46,Antwan Walker Offensive Rebound.,15,31
6:57,46,Antwan Walker made Two Point Tip Shot.,15,33
6:31,2010,Julian Walters missed Three Point Jumper.,15,33
6:31,46,Jagan Mosely Defensive Rebound.,15,33
6:24,46,Trey Dickerson missed Three Point Jumper.,15,33
6:24,2010,Alabama A&M Defensive Rebound.,15,33
5:58,2010,Mohamed Sherif made Layup. Assisted by Julian Walters.,17,33
5:38,46,Marcus Derrickson made Layup.,17,35
5:12,2010,Mohamed Sherif Turnover.,17,35
5:10,46,Antwan Walker Steal.,17,35
5:07,2010,Foul on Andre Kennedy.,17,35
5:07,46,Marcus Derrickson made Free Throw.,17,36
5:07,46,Marcus Derrickson made Free Throw.,17,37
4:44,46,Foul on Jagan Mosely.,17,37
4:39,2010,Julian Walters missed Jumper.,17,37
4:39,46,Trey Dickerson Block.,17,37
4:37,2010,Julian Walters Offensive Rebound.,17,37
4:27,2010,Evan Wiley missed Jumper.,17,37
4:27,46,Jahvon Blair Defensive Rebound.,17,37
4:19,46,Jahvon Blair missed Three Point Jumper.,17,37
4:19,2010,Evan Wiley Defensive Rebound.,17,37
3:58,2010,De'Ederick Petty missed Three Point Jumper.,17,37
3:58,46,Jessie Govan Defensive Rebound.,17,37
3:51,46,Jagan Mosely Turnover.,17,37
3:51,46,Foul on Jagan Mosely.,17,37
3:51,46,Official TV Timeout,17,37
3:34,2010,Marcus Merriweather Turnover.,17,37
3:30,46,Kaleb Johnson missed Three Point Jumper.,17,37
3:30,46,Jessie Govan Offensive Rebound.,17,37
3:21,2010,Foul on Mohamed Sherif.,17,37
3:21,46,Jessie Govan missed Free Throw.,17,37
3:21,2010,Evan Wiley Defensive Rebound.,17,37
3:13,2010,Marcus Merriweather missed Three Point Jumper.,17,37
3:13,46,Georgetown Deadball Team Rebound.,17,37
3:02,46,Jamorko Pickett Turnover.,17,37
3:02,46,Foul on Jamorko Pickett.,17,37
2:53,2010,Marcus Merriweather Turnover.,17,37
2:53,46,Jonathan Mulmore Steal.,17,37
2:29,46,Jonathan Mulmore made Layup.,17,39
2:07,2010,Arthur Johnson made Layup.,19,39
1:48,46,Jessie Govan missed Jumper.,19,39
1:48,46,Antwan Walker Offensive Rebound.,19,39
1:46,2010,Foul on Evan Wiley.,19,39
1:46,46,Antwan Walker made Free Throw.,19,40
1:46,46,Antwan Walker made Free Throw.,19,41
1:43,2010,De'Ederick Petty Turnover.,19,41
1:41,46,Jonathan Mulmore Steal.,19,41
1:24,46,Kaleb Johnson made Three Point Jumper. Assisted by Jonathan Mulmore.,19,44
1:12,2010,De'Ederick Petty made Jumper.,21,44
0:52,46,Kaleb Johnson Turnover.,21,44
0:35,2010,De'Ederick Petty Turnover.,21,44
0:34,46,Jessie Govan Steal.,21,44
0:08,46,Jessie Govan missed Three Point Jumper.,21,44
0:08,46,Georgetown Offensive Rebound.,21,44
0:03,46,Georgetown  Timeout,21,44
0:02,46,Jamorko Pickett missed Three Point Jumper.,21,44
0:02,2010,Evan Wiley Defensive Rebound.,21,44
0:00,46,End of 1st half,21,44
19:37,2010,Andre Kennedy missed Three Point Jumper.,21,44
19:37,46,Georgetown Defensive Rebound.,21,44
19:21,2010,Foul on Andre Kennedy.,21,44
19:21,46,Jessie Govan made Free Throw.,21,45
19:21,46,Jessie Govan made Free Throw.,21,46
18:55,2010,Marcus Merriweather made Layup.,23,46
18:38,46,Marcus Derrickson Turnover.,23,46
18:21,2010,Arthur Johnson missed Three Point Jumper.,23,46
18:21,46,Jamorko Pickett Defensive Rebound.,23,46
18:05,46,Marcus Derrickson missed Three Point Jumper.,23,46
18:05,46,Jessie Govan Offensive Rebound.,23,46
18:02,46,Jessie Govan made Layup.,23,48
18:02,2010,Foul on Mohamed Sherif.,23,48
18:02,46,Jessie Govan made Free Throw.,23,49
18:01,46,Foul on Jamorko Pickett.,23,49
17:45,2010,Marcus Merriweather made Three Point Jumper. Assisted by Mohamed Sherif.,26,49
17:30,46,Kaleb Johnson made Jumper.,26,51
16:58,2010,Evan Wiley made Three Point Jumper. Assisted by Julian Walters.,29,51
16:43,46,Kaleb Johnson missed Three Point Jumper.,29,51
16:43,46,Jessie Govan Offensive Rebound.,29,51
16:40,2010,Foul on Evan Wiley.,29,51
16:40,46,Jessie Govan made Free Throw.,29,52
16:40,46,Jessie Govan missed Free Throw.,29,52
16:40,2010,Evan Wiley Defensive Rebound.,29,52
16:19,46,Foul on Jessie Govan.,29,52
16:05,2010,Marcus Merriweather missed Three Point Jumper.,29,52
16:05,2010,Evan Wiley Offensive Rebound.,29,52
16:01,2010,Tracey Burnett missed Layup.,29,52
16:01,46,Jessie Govan Block.,29,52
15:59,2010,Tracey Burnett Offensive Rebound.,29,52
15:55,2010,Arthur Johnson missed Three Point Jumper.,29,52
15:55,46,Jessie Govan Defensive Rebound.,29,52
15:49,2010,Foul on Marcus Merriweather.,29,52
15:49,46,Official TV Timeout,29,52
15:49,46,Jonathan Mulmore missed Free Throw.,29,52
15:49,46,Georgetown Deadball Team Rebound.,29,52
15:49,46,Jonathan Mulmore made Free Throw.,29,53
15:41,2010,Ariston Johnson missed Jumper.,29,53
15:41,2010,Tracey Burnett Offensive Rebound.,29,53
15:24,2010,Evan Wiley made Jumper. Assisted by Julian Walters.,31,53
15:02,46,Jessie Govan made Layup. Assisted by Jamorko Pickett.,31,55
14:42,2010,Evan Wiley Turnover.,31,55
14:29,46,Jamorko Pickett made Three Point Jumper. Assisted by Jessie Govan.,31,58
13:58,46,Foul on Jamorko Pickett.,31,58
13:58,2010,Ariston Johnson made Free Throw.,32,58
13:58,2010,Ariston Johnson made Free Throw.,33,58
13:50,46,Kaleb Johnson missed Layup.,33,58
13:50,2010,Alabama A&M Defensive Rebound.,33,58
13:35,2010,Julian Walters made Layup.,35,58
13:31,46,Georgetown  Timeout,35,58
13:31,46,Official TV Timeout,35,58
13:23,46,Kaleb Johnson made Layup. Assisted by Jagan Mosely.,35,60
13:07,2010,Julian Walters missed Three Point Jumper.,35,60
13:07,46,Kaleb Johnson Defensive Rebound.,35,60
12:53,46,Jonathan Mulmore made Layup. Assisted by Kaleb Johnson.,35,62
12:19,2010,Alabama A&M  Turnover.,35,62
12:03,46,Jagan Mosely missed Jumper.,35,62
12:03,2010,Julian Walters Defensive Rebound.,35,62
11:57,2010,Mohamed Sherif made Layup. Assisted by Julian Walters.,37,62
11:34,46,Trey Dickerson missed Three Point Jumper.,37,62
11:34,2010,Alabama A&M Defensive Rebound.,37,62
11:32,46,Official TV Timeout,37,62
11:11,2010,Andre Kennedy missed Layup.,37,62
11:11,2010,Alabama A&M Offensive Rebound.,37,62
10:52,46,Foul on Jahvon Blair.,37,62
10:33,2010,Andre Kennedy missed Three Point Jumper.,37,62
10:33,46,Marcus Derrickson Defensive Rebound.,37,62
10:24,46,Kaleb Johnson missed Three Point Jumper.,37,62
10:24,2010,Julian Walters Defensive Rebound.,37,62
10:18,2010,Andre Kennedy Turnover.,37,62
10:05,46,Jahvon Blair made Jumper.,37,64
9:47,2010,Mohamed Sherif Turnover.,37,64
9:46,46,Trey Dickerson Steal.,37,64
9:44,46,Jagan Mosely made Layup. Assisted by Trey Dickerson.,37,66
9:34,2010,Alabama A&M  Timeout,37,66
9:26,2010,Arthur Johnson missed Jumper.,37,66
9:26,46,Jagan Mosely Defensive Rebound.,37,66
9:17,46,Marcus Derrickson Turnover.,37,66
8:55,2010,Mohamed Sherif made Layup. Assisted by Julian Walters.,39,66
8:39,46,Jahvon Blair Turnover.,39,66
8:39,46,Foul on Jahvon Blair.,39,66
8:11,2010,Julian Walters missed Layup.,39,66
8:11,46,Marcus Derrickson Defensive Rebound.,39,66
8:08,2010,Foul on Arthur Johnson.,39,66
7:53,46,Jahvon Blair made Three Point Jumper. Assisted by Trey Dickerson.,39,69
7:35,2010,Arthur Johnson missed Layup.,39,69
7:35,46,Jagan Mosely Defensive Rebound.,39,69
7:28,46,Trey Dickerson made Layup. Assisted by Jahvon Blair.,39,71
6:58,2010,Evan Wiley Turnover.,39,71
6:57,46,Marcus Derrickson Steal.,39,71
6:56,46,Official TV Timeout,39,71
6:56,2010,Foul on Arthur Johnson.,39,71
6:56,46,Official TV Timeout,39,71
6:46,46,Jahvon Blair missed Three Point Jumper.,39,71
6:46,2010,Evan Wiley Defensive Rebound.,39,71
6:44,46,Foul on Trey Dickerson.,39,71
6:35,2010,Evan Wiley missed Three Point Jumper.,39,71
6:35,46,Trey Dickerson Defensive Rebound.,39,71
6:28,46,Antwan Walker made Layup. Assisted by Trey Dickerson.,39,73
6:15,2010,Mohamed Sherif missed Layup.,39,73
6:15,46,Marcus Derrickson Block.,39,73
6:14,46,Jagan Mosely Defensive Rebound.,39,73
6:10,46,Antwan Walker made Layup. Assisted by Trey Dickerson.,39,75
5:52,2010,De'Ederick Petty missed Jumper.,39,75
5:52,46,Antwan Walker Defensive Rebound.,39,75
5:49,2010,Foul on Evan Wiley.,39,75
5:49,46,Antwan Walker made Free Throw.,39,76
5:49,46,Antwan Walker made Free Throw.,39,77
5:32,2010,Julian Walters missed Three Point Jumper.,39,77
5:32,2010,Andre Kennedy Offensive Rebound.,39,77
5:26,2010,Marcus Merriweather missed Three Point Jumper.,39,77
5:26,2010,Alabama A&M Offensive Rebound.,39,77
5:06,2010,Mohamed Sherif made Layup. Assisted by Julian Walters.,41,77
4:45,46,Trey Dickerson made Layup.,41,79
4:17,2010,Julian Walters missed Jumper.,41,79
4:17,46,Jagan Mosely Defensive Rebound.,41,79
4:07,46,Antwan Walker made Jumper. Assisted by Jagan Mosely.,41,81
3:49,46,Official TV Timeout,41,81
3:49,2010,Alabama A&M  Turnover.,41,81
3:37,2010,Foul on Mohamed Sherif.,41,81
3:37,46,Marcus Derrickson made Free Throw.,41,82
3:37,46,Marcus Derrickson made Free Throw.,41,83
3:17,46,Foul on Ra'Mond Hines.,41,83
3:17,2010,Arthur Johnson missed Free Throw.,41,83
3:17,2010,Alabama A&M Deadball Team Rebound.,41,83
3:17,2010,Arthur Johnson missed Free Throw.,41,83
3:17,2010,Ariston Johnson Offensive Rebound.,41,83
3:12,2010,Ariston Johnson missed Layup.,41,83
3:12,2010,Mohamed Sherif Offensive Rebound.,41,83
3:10,2010,Mohamed Sherif made Layup.,43,83
2:51,46,Jahvon Blair missed Three Point Jumper.,43,83
2:51,2010,Alabama A&M Defensive Rebound.,43,83
2:37,2010,De'Ederick Petty Turnover.,43,83
2:36,46,Jahvon Blair Steal.,43,83
2:33,46,Antwan Walker made Layup. Assisted by Trey Dickerson.,43,85
2:19,2010,Mohamed Sherif made Layup. Assisted by De'Ederick Petty.,45,85
1:59,46,Ra'Mond Hines missed Three Point Jumper.,45,85
1:59,2010,Ariston Johnson Defensive Rebound.,45,85
1:43,2010,Andre Kennedy missed Layup.,45,85
1:43,2010,Andre Kennedy Offensive Rebound.,45,85
1:42,46,Foul on Antwan Walker.,45,85
1:42,2010,Andre Kennedy made Free Throw.,46,85
1:42,2010,Andre Kennedy made Free Throw.,47,85
1:24,46,Jahvon Blair made Jumper.,47,87
1:05,2010,De'Ederick Petty Turnover.,47,87
1:03,46,Jahvon Blair Steal.,47,87
1:01,46,Antwan Walker missed Dunk.,47,87
1:01,46,Trey Dickerson Offensive Rebound.,47,87
0:57,46,Trey Dickerson made Layup.,47,89
0:34,2010,Ariston Johnson made Layup.,49,89
0:03,46,Georgetown  Turnover.,49,89
0:00,46,End of Game,49,89
