Grand Canyon,97,Louisville,2253
13:38,97,Malik Williams missed Three Point Jumper.,37,47
13:38,97,Ryan McMahon Offensive Rebound.,37,47
13:34,2253,Foul on Oscar Frayer.,37,47
13:25,97,Deng Adel missed Three Point Jumper.,37,47
13:25,97,Ray Spalding Offensive Rebound.,37,47
13:18,97,Ray Spalding missed Jumper.,37,47
13:18,97,Quentin Snider Offensive Rebound.,37,47
13:10,97,Ryan McMahon missed Three Point Jumper.,37,47
13:10,2253,Fiifi Aidoo Defensive Rebound.,37,47
12:50,2253,Alessandro Lever made Three Point Jumper. Assisted by Casey Benson.,40,47
12:32,2253,Foul on Matt Jackson.,40,47
12:32,97,Quentin Snider made Free Throw.,40,48
12:32,97,Quentin Snider made Free Throw.,40,49
12:08,2253,Alessandro Lever Turnover.,40,49
11:57,97,Quentin Snider missed Jumper.,40,49
11:57,2253,Casey Benson Defensive Rebound.,40,49
11:44,2253,Alessandro Lever missed Jumper.,40,49
11:44,2253,Alessandro Lever Offensive Rebound.,40,49
11:40,2253,Alessandro Lever Turnover.,40,49
11:39,97,Ray Spalding Steal.,40,49
11:24,97,Anas Mahmoud made Dunk. Assisted by Darius Perry.,40,51
11:05,2253,Casey Benson missed Layup.,40,51
11:05,97,Anas Mahmoud Block.,40,51
11:03,97,Ray Spalding Defensive Rebound.,40,51
10:58,97,Quentin Snider made Jumper.,40,53
10:55,2253,Grand Canyon  Timeout,40,53
10:42,97,Foul on Darius Perry.,40,53
10:36,2253,Shaq Carr Turnover.,40,53
10:35,97,V.J. King Steal.,40,53
10:18,97,Quentin Snider made Layup.,40,55
10:01,2253,Shaq Carr missed Layup.,40,55
10:01,97,Anas Mahmoud Defensive Rebound.,40,55
9:49,97,Quentin Snider Turnover.,40,55
9:29,2253,Matt Jackson missed Layup.,40,55
9:29,2253,Matt Jackson Offensive Rebound.,40,55
9:25,2253,Roberts Blumbergs missed Three Point Jumper.,40,55
9:25,97,Darius Perry Defensive Rebound.,40,55
9:17,97,V.J. King missed Layup.,40,55
9:17,97,Dwayne Sutton Offensive Rebound.,40,55
9:16,97,Dwayne Sutton made Layup.,40,57
8:57,97,Foul on Dwayne Sutton.,40,57
8:45,2253,Keonta Vernon missed Jumper.,40,57
8:45,97,Dwayne Sutton Defensive Rebound.,40,57
8:28,2253,Foul on Keonta Vernon.,40,57
8:28,97,Quentin Snider made Free Throw.,40,58
8:28,97,Quentin Snider made Free Throw.,40,59
8:07,97,Foul on Ryan McMahon.,40,59
8:07,2253,Keonta Vernon made Free Throw.,41,59
8:07,2253,Keonta Vernon missed Free Throw.,41,59
8:07,97,Dwayne Sutton Defensive Rebound.,41,59
7:50,97,Darius Perry missed Jumper.,41,59
7:50,2253,Keonta Vernon Block.,41,59
7:50,97,Louisville Offensive Rebound.,41,59
7:50,97,Official TV Timeout,41,59
7:45,97,V.J. King missed Jumper.,41,59
7:45,2253,Casey Benson Defensive Rebound.,41,59
7:30,2253,Keonta Vernon made Layup. Assisted by Alessandro Lever.,43,59
7:21,2253,Foul on Gerard Martin.,43,59
7:21,97,Dwayne Sutton made Free Throw.,43,60
7:21,97,Dwayne Sutton missed Free Throw.,43,60
7:21,2253,Gerard Martin Defensive Rebound.,43,60
7:11,2253,Grand Canyon  Timeout,43,60
7:07,97,Foul on Ray Spalding.,43,60
7:00,97,Foul on Deng Adel.,43,60
7:00,2253,Joshua Braun made Free Throw.,44,60
7:00,2253,Joshua Braun missed Free Throw.,44,60
7:00,97,Ray Spalding Defensive Rebound.,44,60
6:49,2253,Foul on Keonta Vernon.,44,60
6:49,97,V.J. King made Free Throw.,44,61
6:49,97,V.J. King missed Free Throw.,44,61
6:49,2253,Keonta Vernon Defensive Rebound.,44,61
6:42,2253,Joshua Braun made Three Point Jumper. Assisted by Casey Benson.,47,61
6:39,97,Louisville  Timeout,47,61
6:18,97,Deng Adel missed Layup.,47,61
6:18,97,Ray Spalding Offensive Rebound.,47,61
5:54,97,Quentin Snider missed Jumper.,47,61
5:54,2253,Joshua Braun Defensive Rebound.,47,61
5:51,2253,Joshua Braun Turnover.,47,61
5:47,97,Deng Adel missed Jumper.,47,61
5:47,97,Ray Spalding Offensive Rebound.,47,61
5:45,2253,Foul on Alessandro Lever.,47,61
5:45,97,Ray Spalding made Free Throw.,47,62
5:45,97,Ray Spalding made Free Throw.,47,63
5:25,2253,Joshua Braun missed Jumper.,47,63
5:25,2253,Keonta Vernon Offensive Rebound.,47,63
5:23,97,Foul on Dwayne Sutton.,47,63
5:23,2253,Keonta Vernon missed Free Throw.,47,63
5:23,97,Ray Spalding Defensive Rebound.,47,63
5:00,97,Foul on Quentin Snider.,47,63
5:00,97,Quentin Snider Turnover.,47,63
4:50,2253,Keonta Vernon made Layup. Assisted by Alessandro Lever.,49,63
4:43,97,Anas Mahmoud Turnover.,49,63
4:32,2253,Joshua Braun Turnover.,49,63
4:32,97,Anas Mahmoud Steal.,49,63
4:29,97,Ray Spalding Turnover.,49,63
4:28,2253,Casey Benson Steal.,49,63
4:26,2253,Casey Benson missed Layup.,49,63
4:26,97,Ray Spalding Block.,49,63
4:25,97,Anas Mahmoud Defensive Rebound.,49,63
4:25,2253,Foul on Keonta Vernon.,49,63
4:25,97,Anas Mahmoud missed Free Throw.,49,63
4:25,97,Louisville Deadball Team Rebound.,49,63
4:25,97,Anas Mahmoud made Free Throw.,49,64
4:05,2253,Joshua Braun made Jumper.,51,64
3:37,97,Deng Adel missed Three Point Jumper.,51,64
3:37,2253,Casey Benson Defensive Rebound.,51,64
3:32,2253,Oscar Frayer made Layup. Assisted by Casey Benson.,53,64
3:22,2253,Foul on Alessandro Lever.,53,64
3:22,97,Official TV Timeout,53,64
3:22,97,Dwayne Sutton made Free Throw.,53,65
3:22,97,Dwayne Sutton made Free Throw.,53,66
2:58,97,Foul on Dwayne Sutton.,53,66
2:58,2253,Roberts Blumbergs missed Free Throw.,53,66
2:58,2253,Grand Canyon Deadball Team Rebound.,53,66
2:58,2253,Roberts Blumbergs missed Free Throw.,53,66
2:58,97,Ryan McMahon Defensive Rebound.,53,66
2:41,97,Ray Spalding made Dunk. Assisted by Ryan McMahon.,53,68
2:27,2253,Oscar Frayer made Dunk. Assisted by Matt Jackson.,55,68
2:07,2253,Foul on Matt Jackson.,55,68
2:07,97,Ray Spalding missed Free Throw.,55,68
2:07,97,Louisville Deadball Team Rebound.,55,68
2:07,97,Ray Spalding made Free Throw.,55,69
1:43,2253,Joshua Braun missed Three Point Jumper.,55,69
1:43,97,Ray Spalding Defensive Rebound.,55,69
1:21,97,Deng Adel made Three Point Jumper. Assisted by Anas Mahmoud.,55,72
1:12,97,Foul on Dwayne Sutton.,55,72
1:12,2253,Casey Benson made Free Throw.,56,72
1:12,2253,Casey Benson missed Free Throw.,56,72
1:12,2253,Roberts Blumbergs Offensive Rebound.,56,72
1:09,2253,Damari Milstead missed Jumper.,56,72
1:09,97,Ray Spalding Defensive Rebound.,56,72
0:52,97,Deng Adel missed Three Point Jumper.,56,72
0:52,2253,Roberts Blumbergs Defensive Rebound.,56,72
0:41,2253,Oscar Frayer Turnover.,56,72
0:38,97,Ray Spalding Steal.,56,72
0:37,97,Deng Adel made Dunk. Assisted by Ray Spalding.,56,74
0:24,2253,Joshua Braun missed Jumper.,56,74
0:24,97,Dwayne Sutton Defensive Rebound.,56,74
0:00,97,End of Game,56,74
