Princeton,2006,Akron,163
6:59,163,Devin Cannady made Free Throw.,18,20
6:59,163,Devin Cannady made Free Throw.,19,20
6:44,2006,Eric Parrish missed Jumper.,19,20
6:44,163,Sebastian Much Defensive Rebound.,19,20
6:17,163,Myles Stephens missed Jumper.,19,20
6:17,2006,Daniel Utomi Defensive Rebound.,19,20
6:06,2006,Daniel Utomi missed Jumper.,19,20
6:06,2006,Jimond Ivey Offensive Rebound.,19,20
5:53,2006,Jimond Ivey Turnover.,19,20
5:36,163,Ryan Schwieger missed Jumper.,19,20
5:36,2006,Malcolm Duvivier Defensive Rebound.,19,20
5:30,163,Foul on Myles Stephens.,19,20
5:09,2006,Jaden Sayles missed Jumper.,19,20
5:09,2006,Eric Parrish Offensive Rebound.,19,20
5:01,2006,Eric Parrish made Layup.,19,22
4:46,163,Devin Cannady missed Three Point Jumper.,19,22
4:46,2006,Malcolm Duvivier Defensive Rebound.,19,22
4:28,2006,Jaden Sayles made Layup.,19,24
4:11,163,Myles Stephens missed Three Point Jumper.,19,24
4:11,2006,Malcolm Duvivier Defensive Rebound.,19,24
3:57,2006,Daniel Utomi missed Three Point Jumper.,19,24
3:57,163,Amir Bell Defensive Rebound.,19,24
3:47,163,Amir Bell Turnover.,19,24
3:47,2006,Official TV Timeout,19,24
3:32,163,Foul on Myles Stephens.,19,24
3:32,2006,Daniel Utomi missed Free Throw.,19,24
3:32,2006,Akron Deadball Team Rebound.,19,24
3:32,2006,Daniel Utomi made Free Throw.,19,25
3:19,163,Devin Cannady made Three Point Jumper. Assisted by Amir Bell.,22,25
2:51,2006,Jimond Ivey missed Layup.,22,25
2:51,163,Foul on Aaron Young.,22,25
2:51,2006,Akron Deadball Team Rebound.,22,25
2:47,2006,Malcolm Duvivier Turnover.,22,25
2:35,163,Devin Cannady missed Three Point Jumper.,22,25
2:35,2006,Daniel Utomi Defensive Rebound.,22,25
2:14,2006,Jimond Ivey missed Layup.,22,25
2:14,163,Richmond Aririguzoh Block.,22,25
2:14,163,Devin Cannady Defensive Rebound.,22,25
2:00,163,Myles Stephens Turnover.,22,25
1:33,2006,Eric Parrish made Three Point Jumper. Assisted by Virshon Cotton.,22,28
1:18,163,Aaron Young made Three Point Jumper.,25,28
0:57,2006,Daniel Utomi missed Layup.,25,28
0:57,163,Richmond Aririguzoh Block.,25,28
0:57,2006,Daniel Utomi Offensive Rebound.,25,28
0:57,163,Foul on Richmond Aririguzoh.,25,28
0:57,2006,Daniel Utomi made Free Throw.,25,29
0:57,2006,Daniel Utomi made Free Throw.,25,30
0:45,163,Amir Bell missed Three Point Jumper.,25,30
0:45,2006,Eric Parrish Defensive Rebound.,25,30
0:36,163,Foul on Ryan Schwieger.,25,30
0:36,2006,Virshon Cotton made Free Throw.,25,31
0:36,2006,Virshon Cotton made Free Throw.,25,32
0:23,163,Sebastian Much Turnover.,25,32
0:06,2006,Daniel Utomi missed Three Point Jumper.,25,32
0:06,163,Devin Cannady Defensive Rebound.,25,32
0:00,2006,End of 1st half,25,32
20:00,163,Jump Ball won by Princeton,25,32
19:45,163,Myles Stephens made Jumper.,27,32
19:20,2006,Jimond Ivey missed Three Point Jumper.,27,32
19:20,163,Devin Cannady Defensive Rebound.,27,32
19:06,163,Myles Stephens missed Layup.,27,32
19:06,163,Richmond Aririguzoh Offensive Rebound.,27,32
19:06,163,Richmond Aririguzoh missed Jumper.,27,32
19:06,2006,Daniel Utomi Block.,27,32
19:06,163,Princeton Offensive Rebound.,27,32
19:00,163,Richmond Aririguzoh Turnover.,27,32
19:00,2006,Eric Parrish Steal.,27,32
18:52,2006,Eric Parrish missed Layup.,27,32
18:52,163,Richmond Aririguzoh Block.,27,32
18:52,163,Ryan Schwieger Defensive Rebound.,27,32
18:52,163,Devin Cannady missed Jumper.,27,32
18:52,163,Richmond Aririguzoh Offensive Rebound.,27,32
18:37,163,Myles Stephens made Three Point Jumper. Assisted by Richmond Aririguzoh.,30,32
18:37,2006,Akron  Timeout,30,32
18:31,2006,Malcolm Duvivier missed Three Point Jumper.,30,32
18:31,163,Amir Bell Defensive Rebound.,30,32
18:04,163,Myles Stephens Turnover.,30,32
17:36,2006,Malcolm Duvivier made Three Point Jumper.,30,35
17:20,163,Devin Cannady missed Three Point Jumper.,30,35
17:20,2006,Eric Parrish Defensive Rebound.,30,35
16:56,2006,Jimond Ivey made Layup.,30,37
16:38,163,Aaron Young missed Three Point Jumper.,30,37
16:38,2006,Emmanuel Olojakpoke Defensive Rebound.,30,37
16:30,2006,Malcolm Duvivier missed Three Point Jumper.,30,37
16:30,2006,Jimond Ivey Offensive Rebound.,30,37
16:20,2006,Jimond Ivey Turnover.,30,37
16:20,163,Ryan Schwieger Steal.,30,37
15:50,163,Ryan Schwieger missed Jumper.,30,37
15:50,2006,Emmanuel Olojakpoke Block.,30,37
15:50,2006,Jimond Ivey Defensive Rebound.,30,37
15:38,2006,Malcolm Duvivier Turnover.,30,37
15:38,163,Devin Cannady Steal.,30,37
15:29,163,Sebastian Much made Three Point Jumper. Assisted by Ryan Schwieger.,33,37
15:07,163,Foul on Ryan Schwieger.,33,37
15:07,2006,Official TV Timeout,33,37
15:01,2006,Jimond Ivey made Three Point Jumper. Assisted by Daniel Utomi.,33,40
14:37,163,Foul on Amir Bell.,33,40
14:37,163,Amir Bell Turnover.,33,40
14:24,2006,Malcolm Duvivier missed Three Point Jumper.,33,40
14:24,163,Myles Stephens Defensive Rebound.,33,40
14:15,163,Amir Bell made Layup.,35,40
14:15,2006,Foul on Jimond Ivey.,35,40
14:15,163,Amir Bell made Free Throw.,36,40
13:56,2006,Daniel Utomi missed Three Point Jumper.,36,40
13:56,163,Ryan Schwieger Defensive Rebound.,36,40
13:38,163,Myles Stephens missed Layup.,36,40
13:38,2006,Jaden Sayles Block.,36,40
13:38,163,Princeton Offensive Rebound.,36,40
13:35,163,Myles Stephens made Three Point Jumper. Assisted by Sebastian Much.,39,40
13:12,2006,Flagrant 1 Foul on Daniel Utomi.,39,40
13:12,2006,Daniel Utomi Turnover.,39,40
13:12,163,Myles Stephens made Free Throw.,40,40
13:12,163,Myles Stephens missed Free Throw.,40,40
13:12,163,Princeton Deadball Team Rebound.,40,40
13:12,2006,Daniel Utomi Turnover.,40,40
12:52,2006,Foul on Jimond Ivey.,40,40
12:52,163,Myles Stephens made Free Throw.,41,40
12:52,163,Myles Stephens made Free Throw.,42,40
12:36,2006,Daniel Utomi made Layup. Assisted by Virshon Cotton.,42,42
12:15,2006,Foul on Jaden Sayles.,42,42
12:15,163,Sebastian Much made Free Throw.,43,42
12:15,163,Sebastian Much made Free Throw.,44,42
11:45,163,Foul on Aaron Young.,44,42
11:45,2006,Official TV Timeout,44,42
11:45,2006,Virshon Cotton made Free Throw.,44,43
11:45,2006,Virshon Cotton missed Free Throw.,44,43
11:45,2006,Akron Deadball Team Rebound.,44,43
11:45,2006,Virshon Cotton made Free Throw.,44,44
11:31,163,Ryan Schwieger made Three Point Jumper. Assisted by Amir Bell.,47,44
11:31,2006,Foul on Eric Parrish.,47,44
11:31,163,Ryan Schwieger made Free Throw.,48,44
11:00,2006,Emmanuel Olojakpoke missed Jumper.,48,44
11:00,163,Amir Bell Block.,48,44
11:00,163,Devin Cannady Defensive Rebound.,48,44
10:45,163,Sebastian Much missed Three Point Jumper.,48,44
10:45,2006,Jimond Ivey Defensive Rebound.,48,44
10:33,2006,Daniel Utomi missed Three Point Jumper.,48,44
10:33,2006,Akron Deadball Team Rebound.,48,44
10:32,163,Foul on Ryan Schwieger.,48,44
10:20,2006,Jaden Sayles made Layup.,48,46
10:20,163,Foul on Richmond Aririguzoh.,48,46
10:20,2006,Jaden Sayles missed Free Throw.,48,46
10:20,163,Richmond Aririguzoh Defensive Rebound.,48,46
10:09,163,Amir Bell made Layup.,50,46
9:52,2006,Daniel Utomi missed Three Point Jumper.,50,46
9:52,163,Devin Cannady Defensive Rebound.,50,46
9:42,163,Richmond Aririguzoh Turnover.,50,46
9:26,163,Foul on Richmond Aririguzoh.,50,46
9:22,2006,Eric Parrish missed Jumper.,50,46
9:22,163,Myles Stephens Defensive Rebound.,50,46
9:05,163,Myles Stephens missed Jumper.,50,46
9:05,2006,Malcolm Duvivier Defensive Rebound.,50,46
8:55,2006,Malcolm Duvivier missed Jumper.,50,46
8:55,163,Sebastian Much Defensive Rebound.,50,46
8:43,2006,Foul on Eric Parrish.,50,46
8:43,163,Amir Bell made Free Throw.,51,46
8:43,163,Amir Bell missed Free Throw.,51,46
8:43,2006,Daniel Utomi Defensive Rebound.,51,46
8:10,2006,Malcolm Duvivier missed Three Point Jumper.,51,46
8:10,163,Myles Stephens Defensive Rebound.,51,46
7:58,163,Myles Stephens Turnover.,51,46
7:58,2006,Emmanuel Olojakpoke Steal.,51,46
7:40,2006,Jimond Ivey missed Three Point Jumper.,51,46
7:40,163,Amir Bell Defensive Rebound.,51,46
7:24,163,Ryan Schwieger missed Three Point Jumper.,51,46
7:24,2006,Jimond Ivey Defensive Rebound.,51,46
7:03,2006,Malcolm Duvivier made Three Point Jumper. Assisted by Daniel Utomi.,51,49
6:51,163,Sebastian Much made Jumper. Assisted by Amir Bell.,53,49
6:31,163,Foul on Myles Stephens.,53,49
6:31,2006,Official TV Timeout,53,49
6:31,2006,Jimond Ivey made Free Throw.,53,50
6:31,2006,Jimond Ivey made Free Throw.,53,51
6:16,163,Devin Cannady missed Three Point Jumper.,53,51
6:16,2006,Akron Defensive Rebound.,53,51
5:50,2006,Daniel Utomi made Layup.,53,53
5:40,163,Princeton  Timeout,53,53
5:18,163,Amir Bell missed Three Point Jumper.,53,53
5:18,2006,Jimond Ivey Defensive Rebound.,53,53
5:08,2006,Daniel Utomi missed Three Point Jumper.,53,53
5:08,2006,Emmanuel Olojakpoke Offensive Rebound.,53,53
4:45,2006,Eric Parrish Turnover.,53,53
4:45,163,Sebastian Much Steal.,53,53
4:20,163,Amir Bell Turnover.,53,53
3:53,2006,Foul on Malcolm Duvivier.,53,53
3:53,2006,Malcolm Duvivier Turnover.,53,53
3:53,2006,Official TV Timeout,53,53
3:29,163,Myles Stephens missed Layup.,53,53
3:29,163,Amir Bell Offensive Rebound.,53,53
3:29,163,Amir Bell made Two Point Tip Shot.,55,53
3:12,2006,Jimond Ivey missed Jumper.,55,53
3:12,163,Amir Bell Defensive Rebound.,55,53
2:52,163,Ryan Schwieger made Layup. Assisted by Sebastian Much.,57,53
2:42,2006,Akron  Timeout,57,53
2:31,2006,Malcolm Duvivier made Three Point Jumper. Assisted by Eric Parrish.,57,56
2:08,163,Sebastian Much missed Three Point Jumper.,57,56
2:08,163,Devin Cannady Offensive Rebound.,57,56
1:47,163,Sebastian Much made Layup.,59,56
1:20,2006,Malcolm Duvivier made Three Point Jumper.,59,59
0:56,163,Sebastian Much made Three Point Jumper.,62,59
0:35,2006,Jimond Ivey missed Three Point Jumper.,62,59
0:35,2006,Akron Deadball Team Rebound.,62,59
0:33,163,Foul on Ryan Schwieger.,62,59
0:33,2006,Jimond Ivey missed Free Throw.,62,59
0:33,163,Myles Stephens Defensive Rebound.,62,59
0:22,2006,Foul on Malcolm Duvivier.,62,59
0:22,163,Ryan Schwieger missed Free Throw.,62,59
0:22,2006,Jimond Ivey Defensive Rebound.,62,59
0:10,2006,Malcolm Duvivier made Three Point Jumper.,62,62
0:10,2006,Akron  Timeout,62,62
0:06,163,Princeton  Timeout,62,62
0:01,163,Myles Stephens made Layup. Assisted by Sebastian Much.,64,62
0:00,2006,End of Game,64,62
