Wagner,2168,Dayton,2681
11:42,2168,Foul on Trey Landers.,36,53
11:42,2168,Official TV Timeout,36,53
11:34,2168,Foul on Jordan Davis.,36,53
11:19,2681,JoJo Cooper missed Jumper.,36,53
11:19,2168,Jalen Crutcher Defensive Rebound.,36,53
11:12,2168,Jordan Davis made Three Point Jumper. Assisted by Darrell Davis.,36,56
10:50,2681,Nigel Jackson made Three Point Jumper. Assisted by JoJo Cooper.,39,56
10:33,2168,Xeyrius Williams made Layup.,39,58
10:26,2681,JoJo Cooper Turnover.,39,58
10:24,2168,Jordan Davis Steal.,39,58
10:22,2168,Darrell Davis made Three Point Jumper. Assisted by Jalen Crutcher.,39,61
10:01,2681,Blake Francis missed Three Point Jumper.,39,61
10:01,2168,Jordan Davis Defensive Rebound.,39,61
9:57,2681,Foul on JoJo Cooper.,39,61
9:51,2681,Foul on Nigel Jackson.,39,61
9:47,2168,Foul on Kostas Antetokounmpo.,39,61
9:47,2168,Kostas Antetokounmpo Turnover.,39,61
9:37,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,42,61
9:12,2168,Jalen Crutcher Turnover.,42,61
9:10,2681,Blake Francis Steal.,42,61
9:09,2681,Blake Francis missed Layup.,42,61
9:08,2681,Devin Liggeons Offensive Rebound.,42,61
9:07,2681,Devin Liggeons made Jumper.,44,61
9:06,2168,Foul on Darrell Davis.,44,61
9:06,2681,Devin Liggeons made Free Throw.,45,61
9:06,2168,Dayton  Turnover.,45,61
9:01,2168,Foul on Trey Landers.,45,61
9:01,2681,Elijah Davis made Free Throw.,46,61
9:01,2681,Elijah Davis made Free Throw.,47,61
9:00,2681,Foul on Blake Francis.,47,61
8:39,2168,Xeyrius Williams missed Three Point Jumper.,47,61
8:39,2681,Nigel Jackson Defensive Rebound.,47,61
8:35,2168,Foul on Kostas Antetokounmpo.,47,61
8:35,2681,JoJo Cooper made Free Throw.,48,61
8:35,2681,JoJo Cooper made Free Throw.,49,61
8:10,2681,Foul on Devin Liggeons.,49,61
8:10,2168,Josh Cunningham made Free Throw.,49,62
8:10,2168,Josh Cunningham made Free Throw.,49,63
7:56,2168,Foul on John Crosby.,49,63
7:56,2168,Official TV Timeout,49,63
7:56,2681,Blake Francis made Free Throw.,50,63
7:56,2681,Blake Francis missed Free Throw.,50,63
7:56,2681,Wagner Offensive Rebound.,50,63
7:42,2681,Elijah Davis missed Three Point Jumper.,50,63
7:42,2168,Jalen Crutcher Defensive Rebound.,50,63
7:29,2681,Foul on JoJo Cooper.,50,63
7:29,2168,Jalen Crutcher made Free Throw.,50,64
7:29,2168,Jalen Crutcher made Free Throw.,50,65
7:15,2681,JoJo Cooper Turnover.,50,65
7:15,2168,Trey Landers Steal.,50,65
7:15,2681,Foul on Blake Francis.,50,65
7:15,2168,Trey Landers made Free Throw.,50,66
7:15,2168,Trey Landers made Free Throw.,50,67
6:58,2681,Blake Francis made Three Point Jumper. Assisted by Nigel Jackson.,53,67
6:57,2681,Wagner  Timeout,53,67
6:55,2168,Jordan Davis missed Jumper.,53,67
6:54,2681,Nigel Jackson Defensive Rebound.,53,67
6:36,2681,Nigel Jackson missed Three Point Jumper.,53,67
6:35,2681,JoJo Cooper Offensive Rebound.,53,67
6:16,2681,Blake Francis made Three Point Jumper.,56,67
6:04,2168,Xeyrius Williams missed Three Point Jumper.,56,67
6:04,2681,Nigel Jackson Defensive Rebound.,56,67
5:53,2168,Foul on Jalen Crutcher.,56,67
5:53,2681,Blake Francis missed Free Throw.,56,67
5:53,2681,Wagner Deadball Team Rebound.,56,67
5:53,2681,Blake Francis made Free Throw.,57,67
5:42,2681,Foul on Nigel Jackson.,57,67
5:42,2168,Trey Landers made Free Throw.,57,68
5:42,2168,Trey Landers made Free Throw.,57,69
5:24,2681,Devin Liggeons missed Three Point Jumper.,57,69
5:24,2681,AJ Sumbry Offensive Rebound.,57,69
5:19,2681,AJ Sumbry made Jumper.,59,69
4:48,2168,Josh Cunningham made Jumper. Assisted by Darrell Davis.,59,71
4:25,2681,Blake Francis made Jumper.,61,71
4:09,2168,John Crosby missed Jumper.,61,71
4:09,2681,Blake Francis Defensive Rebound.,61,71
4:03,2681,Blake Francis missed Three Point Jumper.,61,71
4:03,2681,JoJo Cooper Offensive Rebound.,61,71
3:57,2681,Blake Francis missed Three Point Jumper.,61,71
3:57,2681,AJ Sumbry Offensive Rebound.,61,71
3:54,2168,Foul on Josh Cunningham.,61,71
3:54,2168,Official TV Timeout,61,71
3:54,2681,AJ Sumbry made Free Throw.,62,71
3:54,2681,AJ Sumbry made Free Throw.,63,71
3:44,2168,Foul on Darrell Davis.,63,71
3:44,2168,Darrell Davis Turnover.,63,71
3:26,2681,Nigel Jackson missed Jumper.,63,71
3:26,2168,Josh Cunningham Defensive Rebound.,63,71
3:21,2168,Josh Cunningham Turnover.,63,71
3:20,2681,Blake Francis Steal.,63,71
3:18,2681,Blake Francis made Layup.,65,71
2:49,2168,John Crosby missed Jumper.,65,71
2:49,2681,AJ Sumbry Defensive Rebound.,65,71
2:45,2681,AJ Sumbry Turnover.,65,71
2:31,2168,Jordan Davis missed Three Point Jumper.,65,71
2:31,2168,Trey Landers Offensive Rebound.,65,71
2:13,2681,Foul on Nigel Jackson.,65,71
2:13,2168,John Crosby made Free Throw.,65,72
2:13,2168,John Crosby made Free Throw.,65,73
1:59,2681,Elijah Davis Turnover.,65,73
1:57,2168,Josh Cunningham Steal.,65,73
1:34,2168,John Crosby missed Three Point Jumper.,65,73
1:34,2681,JoJo Cooper Defensive Rebound.,65,73
1:28,2681,Nigel Jackson Turnover.,65,73
1:18,2681,Foul on AJ Sumbry.,65,73
1:18,2168,Trey Landers made Free Throw.,65,74
1:18,2168,Trey Landers made Free Throw.,65,75
1:17,2681,Blake Francis missed Three Point Jumper.,65,75
1:17,2168,Xeyrius Williams Defensive Rebound.,65,75
0:58,2681,Foul on Nigel Jackson.,65,75
0:58,2168,John Crosby made Free Throw.,65,76
0:58,2168,Dayton  Timeout,65,76
0:58,2168,John Crosby made Free Throw.,65,77
0:41,2681,Nigel Jackson missed Three Point Jumper.,65,77
0:41,2168,Dayton Defensive Rebound.,65,77
0:28,2168,Josh Cunningham made Dunk. Assisted by Trey Landers.,65,79
0:17,2681,JoJo Cooper made Jumper.,67,79
0:00,2168,End of Game,67,79
