Illinois,142,Missouri,356
12:00,142,Jordan Barnett Defensive Rebound.,17,5
11:51,142,Jordan Barnett Turnover.,17,5
11:51,142,Official TV Timeout,17,5
11:39,356,Michael Finke made Jumper. Assisted by Te'Jon Lucas.,19,5
11:12,356,Foul on Te'Jon Lucas.,19,5
11:12,142,Kassius Robertson made Free Throw.,19,6
11:12,142,Kassius Robertson missed Free Throw.,19,6
11:12,356,Mark Alstork Defensive Rebound.,19,6
10:58,356,Leron Black missed Jumper.,19,6
10:58,142,Kevin Puryear Defensive Rebound.,19,6
10:38,142,Kevin Puryear missed Three Point Jumper.,19,6
10:38,142,Missouri Offensive Rebound.,19,6
10:19,142,Kassius Robertson Turnover.,19,6
10:19,356,Mark Smith Steal.,19,6
10:07,356,Mark Alstork missed Three Point Jumper.,19,6
10:07,142,Terrence Phillips Defensive Rebound.,19,6
9:58,142,Jordan Barnett missed Three Point Jumper.,19,6
9:58,356,Te'Jon Lucas Defensive Rebound.,19,6
9:48,356,Mark Smith Turnover.,19,6
9:48,142,Jeremiah Tilmon Steal.,19,6
9:44,142,Jordan Barnett made Layup.,19,8
9:37,356,Mark Smith Turnover.,19,8
9:37,142,Jontay Porter Steal.,19,8
9:31,356,Foul on Te'Jon Lucas.,19,8
9:31,142,Jordan Barnett made Free Throw.,19,9
9:31,142,Jordan Barnett made Free Throw.,19,10
9:13,356,Leron Black made Layup. Assisted by Kipper Nichols.,21,10
8:56,142,Foul on Terrence Phillips.,21,10
8:56,142,Terrence Phillips Turnover.,21,10
8:27,356,Trent Frazier Turnover.,21,10
8:08,142,Jeremiah Tilmon made Layup.,21,12
7:59,356,Trent Frazier made Layup.,23,12
7:40,142,Jordan Geist Turnover.,23,12
7:40,356,Kipper Nichols Steal.,23,12
7:27,356,Kipper Nichols missed Jumper.,23,12
7:27,142,Jeremiah Tilmon Defensive Rebound.,23,12
7:20,142,Jordan Barnett made Jumper.,23,14
7:00,356,Trent Frazier missed Layup.,23,14
7:00,356,Illinois Offensive Rebound.,23,14
6:59,142,Official TV Timeout,23,14
6:39,356,Trent Frazier missed Three Point Jumper.,23,14
6:39,142,Jordan Barnett Defensive Rebound.,23,14
6:30,142,Kevin Puryear made Layup. Assisted by Blake Harris.,23,16
6:07,356,Trent Frazier missed Jumper.,23,16
6:07,142,Jontay Porter Defensive Rebound.,23,16
6:00,142,Foul on Jontay Porter.,23,16
6:00,142,Jontay Porter Turnover.,23,16
5:43,356,Da'Monte Williams missed Jumper.,23,16
5:43,142,Jontay Porter Block.,23,16
5:43,142,Missouri Defensive Rebound.,23,16
5:30,142,Jeremiah Tilmon Turnover.,23,16
5:07,356,Leron Black made Jumper.,25,16
4:57,142,Blake Harris missed Layup.,25,16
4:57,356,Leron Black Defensive Rebound.,25,16
4:47,356,Mark Smith made Three Point Jumper. Assisted by Aaron Jordan.,28,16
4:22,142,Kassius Robertson missed Three Point Jumper.,28,16
4:22,142,Jordan Barnett Offensive Rebound.,28,16
4:17,142,Jordan Barnett missed Jumper.,28,16
4:17,356,Leron Black Defensive Rebound.,28,16
4:11,356,Mark Smith missed Three Point Jumper.,28,16
4:11,142,Jordan Barnett Defensive Rebound.,28,16
3:53,142,Foul on Kassius Robertson.,28,16
3:53,142,Kassius Robertson Turnover.,28,16
3:53,142,Official TV Timeout,28,16
3:51,142,Official TV Timeout,28,16
3:35,356,Trent Frazier missed Three Point Jumper.,28,16
3:35,356,Michael Finke Offensive Rebound.,28,16
3:35,356,Michael Finke made Two Point Tip Shot.,30,16
3:05,142,Jordan Barnett made Dunk. Assisted by Terrence Phillips.,30,18
2:46,356,Leron Black made Jumper.,32,18
2:24,142,Jontay Porter Turnover.,32,18
2:24,356,Trent Frazier Steal.,32,18
2:18,142,Foul on Terrence Phillips.,32,18
2:18,356,Leron Black made Free Throw.,33,18
2:18,356,Leron Black made Free Throw.,34,18
1:59,142,Jordan Barnett missed Layup.,34,18
1:59,142,Jordan Barnett Offensive Rebound.,34,18
1:59,142,Jordan Barnett missed Two Point Tip Shot.,34,18
1:59,356,Aaron Jordan Defensive Rebound.,34,18
1:49,356,Mark Alstork made Layup.,36,18
1:41,142,Blake Harris missed Jumper.,36,18
1:41,142,Jeremiah Tilmon Offensive Rebound.,36,18
1:39,356,Foul on Michael Finke.,36,18
1:37,356,Foul on Trent Frazier.,36,18
1:37,142,Kassius Robertson missed Free Throw.,36,18
1:37,142,Missouri Deadball Team Rebound.,36,18
1:37,142,Kassius Robertson made Free Throw.,36,19
1:28,356,Trent Frazier missed Jumper.,36,19
1:28,142,Jeremiah Tilmon Defensive Rebound.,36,19
1:21,142,Jordan Barnett made Three Point Jumper. Assisted by Kassius Robertson.,36,22
1:13,356,Illinois  Timeout,36,22
0:59,356,Trent Frazier made Three Point Jumper.,39,22
0:38,142,Jeremiah Tilmon Turnover.,39,22
0:01,356,Trent Frazier made Three Point Jumper.,42,22
0:00,142,End of 1st half,42,22
20:00,142,Jump Ball won by Missouri,42,22
19:44,356,Foul on Leron Black.,42,22
19:33,142,Blake Harris missed Three Point Jumper.,42,22
19:33,142,Blake Harris Offensive Rebound.,42,22
19:21,142,Kassius Robertson missed Three Point Jumper.,42,22
19:21,142,Kevin Puryear Offensive Rebound.,42,22
19:14,142,Kassius Robertson made Jumper.,42,24
19:14,356,Foul on Te'Jon Lucas.,42,24
19:14,142,Kassius Robertson made Free Throw.,42,25
19:08,356,Te'Jon Lucas Turnover.,42,25
19:08,142,Blake Harris Steal.,42,25
19:03,142,Blake Harris made Dunk.,42,27
19:00,142,Foul on Blake Harris.,42,27
19:00,142,Technical Foul on Blake Harris.,42,27
19:00,356,Mark Smith missed Free Throw.,42,27
19:00,356,Mark Smith made Free Throw.,43,27
18:47,142,Foul on Blake Harris.,43,27
18:37,356,Leron Black missed Dunk.,43,27
18:37,142,Kassius Robertson Defensive Rebound.,43,27
18:26,142,Kassius Robertson missed Three Point Jumper.,43,27
18:26,356,Mark Alstork Defensive Rebound.,43,27
18:22,356,Mark Alstork Turnover.,43,27
18:22,356,Illinois  Timeout,43,27
18:08,356,Foul on Mark Alstork.,43,27
17:53,142,Kassius Robertson made Three Point Jumper. Assisted by Jeremiah Tilmon.,43,30
17:31,356,Leron Black missed Jumper.,43,30
17:31,142,Kassius Robertson Defensive Rebound.,43,30
17:23,142,Kassius Robertson missed Three Point Jumper.,43,30
17:23,142,Jeremiah Tilmon Offensive Rebound.,43,30
17:02,142,Jordan Barnett missed Three Point Jumper.,43,30
17:02,356,Mark Alstork Defensive Rebound.,43,30
16:54,356,Mark Alstork missed Jumper.,43,30
16:54,142,Jordan Barnett Block.,43,30
16:54,356,Illinois Offensive Rebound.,43,30
16:51,142,Foul on Reed Nikko.,43,30
16:51,356,Aaron Jordan missed Free Throw.,43,30
16:51,356,Illinois Deadball Team Rebound.,43,30
16:51,356,Aaron Jordan made Free Throw.,44,30
16:39,142,Jontay Porter Turnover.,44,30
16:39,356,Aaron Jordan Steal.,44,30
16:20,356,Leron Black missed Jumper.,44,30
16:20,142,Jordan Barnett Defensive Rebound.,44,30
15:54,356,Foul on Leron Black.,44,30
15:54,142,Official TV Timeout,44,30
15:44,356,Foul on Da'Monte Williams.,44,30
15:44,356,Foul on Kipper Nichols.,44,30
15:38,356,Foul on Kipper Nichols.,44,30
15:38,142,Jordan Barnett made Free Throw.,44,31
15:38,142,Jordan Barnett made Free Throw.,44,32
15:21,356,Trent Frazier missed Layup.,44,32
15:19,356,Michael Finke Offensive Rebound.,44,32
15:19,142,Foul on Kevin Puryear.,44,32
15:19,356,Michael Finke made Free Throw.,45,32
15:19,356,Michael Finke made Free Throw.,46,32
15:08,142,Blake Harris made Layup.,46,34
15:08,356,Foul on Michael Finke.,46,34
15:08,142,Blake Harris missed Free Throw.,46,34
15:08,356,Michael Finke Defensive Rebound.,46,34
15:01,356,Michael Finke missed Three Point Jumper.,46,34
15:01,142,Kevin Puryear Defensive Rebound.,46,34
14:38,142,Jeremiah Tilmon missed Dunk.,46,34
14:38,356,Kipper Nichols Defensive Rebound.,46,34
14:30,356,Trent Frazier missed Layup.,46,34
14:28,142,Foul on Jeremiah Tilmon.,46,34
14:28,356,Illinois Deadball Team Rebound.,46,34
14:06,356,Leron Black missed Layup.,46,34
14:06,142,Jontay Porter Defensive Rebound.,46,34
13:54,142,Jordan Barnett missed Three Point Jumper.,46,34
13:54,142,Jontay Porter Offensive Rebound.,46,34
13:51,142,Jontay Porter Turnover.,46,34
13:40,356,Mark Smith Turnover.,46,34
13:33,142,Kassius Robertson made Layup. Assisted by Terrence Phillips.,46,36
13:19,142,Foul on Jontay Porter.,46,36
13:19,356,Trent Frazier made Free Throw.,47,36
13:19,356,Trent Frazier made Free Throw.,48,36
13:08,142,Blake Harris made Layup.,48,38
12:42,356,Michael Finke made Jumper.,50,38
12:09,142,Kassius Robertson made Layup.,50,40
11:41,356,Leron Black made Jumper.,52,40
11:27,356,Foul on Mark Smith.,52,40
11:27,142,Official TV Timeout,52,40
11:27,142,Jordan Barnett made Free Throw.,52,41
11:27,142,Jordan Barnett made Free Throw.,52,42
11:27,142,Jordan Barnett made Free Throw.,52,43
11:11,356,Te'Jon Lucas Turnover.,52,43
11:11,142,Jeremiah Tilmon Steal.,52,43
10:50,142,Jordan Barnett missed Three Point Jumper.,52,43
10:50,356,Mark Alstork Defensive Rebound.,52,43
10:31,356,Leron Black made Jumper. Assisted by Mark Alstork.,54,43
10:11,142,Blake Harris missed Jumper.,54,43
10:11,356,Leron Black Defensive Rebound.,54,43
10:07,356,Foul on Te'Jon Lucas.,54,43
10:07,356,Te'Jon Lucas Turnover.,54,43
9:58,142,Kassius Robertson missed Three Point Jumper.,54,43
9:58,142,Terrence Phillips Offensive Rebound.,54,43
9:43,142,Terrence Phillips Turnover.,54,43
9:43,356,Aaron Jordan Steal.,54,43
9:21,356,Illinois  Turnover.,54,43
9:01,356,Foul on Kipper Nichols.,54,43
9:01,142,Kevin Puryear made Free Throw.,54,44
9:01,142,Kevin Puryear made Free Throw.,54,45
8:47,142,Foul on Terrence Phillips.,54,45
8:47,356,Trent Frazier made Free Throw.,55,45
8:47,356,Trent Frazier made Free Throw.,56,45
8:28,356,Foul on Trent Frazier.,56,45
8:28,142,Jeremiah Tilmon missed Free Throw.,56,45
8:28,142,Missouri Deadball Team Rebound.,56,45
8:27,142,Jeremiah Tilmon made Free Throw.,56,46
8:03,356,Leron Black missed Jumper.,56,46
8:03,142,Jeremiah Tilmon Defensive Rebound.,56,46
7:54,356,Foul on Aaron Jordan.,56,46
7:54,142,Official TV Timeout,56,46
7:54,142,Blake Harris made Free Throw.,56,47
7:54,142,Blake Harris made Free Throw.,56,48
7:28,356,Leron Black missed Jumper.,56,48
7:28,356,Illinois Offensive Rebound.,56,48
7:08,142,Foul on Jeremiah Tilmon.,56,48
7:08,356,Leron Black missed Free Throw.,56,48
7:08,142,Jontay Porter Defensive Rebound.,56,48
6:54,142,Kassius Robertson missed Three Point Jumper.,56,48
6:54,356,Aaron Jordan Defensive Rebound.,56,48
6:30,356,Trent Frazier missed Jumper.,56,48
6:30,356,Mark Alstork Offensive Rebound.,56,48
6:21,356,Mark Alstork missed Layup.,56,48
6:21,356,Mark Alstork Offensive Rebound.,56,48
6:21,356,Mark Alstork missed Jumper.,56,48
6:21,142,Kassius Robertson made Free Throw.,56,49
6:21,142,Jeremiah Tilmon Block.,56,48
6:21,142,Kassius Robertson Defensive Rebound.,56,48
6:21,356,Foul on Trent Frazier.,56,48
6:21,142,Kassius Robertson made Free Throw.,56,50
6:04,142,Foul on Kassius Robertson.,56,50
6:04,356,Da'Monte Williams missed Free Throw.,56,50
6:04,356,Illinois Offensive Rebound.,56,50
5:55,356,Mark Smith missed Jumper.,56,50
5:55,142,Jordan Barnett Defensive Rebound.,56,50
5:47,142,Blake Harris Turnover.,56,50
5:47,356,Trent Frazier Steal.,56,50
5:47,142,Foul on Blake Harris.,56,50
5:47,356,Trent Frazier missed Free Throw.,56,50
5:47,356,Illinois Deadball Team Rebound.,56,50
5:47,356,Trent Frazier made Free Throw.,57,50
5:32,142,Terrence Phillips missed Three Point Jumper.,57,50
5:32,356,Michael Finke Defensive Rebound.,57,50
5:18,356,Trent Frazier missed Jumper.,57,50
5:18,142,Jordan Barnett Defensive Rebound.,57,50
5:07,142,Terrence Phillips Turnover.,57,50
4:43,356,Leron Black made Three Point Jumper. Assisted by Trent Frazier.,60,50
4:27,142,Kassius Robertson made Three Point Jumper. Assisted by Kevin Puryear.,60,53
3:52,356,Trent Frazier missed Layup.,60,53
3:52,142,Jontay Porter Defensive Rebound.,60,53
3:45,142,Jontay Porter missed Three Point Jumper.,60,53
3:45,356,Leron Black Defensive Rebound.,60,53
3:21,356,Mark Smith made Layup.,62,53
3:09,142,Jontay Porter missed Three Point Jumper.,62,53
3:09,356,Leron Black Defensive Rebound.,62,53
2:49,142,Foul on Kevin Puryear.,62,53
2:49,142,Official TV Timeout,62,53
2:49,356,Michael Finke missed Free Throw.,62,53
2:49,356,Illinois Deadball Team Rebound.,62,53
2:49,356,Michael Finke made Free Throw.,63,53
2:42,142,Kassius Robertson made Three Point Jumper.,63,56
2:07,356,Trent Frazier made Layup.,65,56
2:07,142,Foul on Jeremiah Tilmon.,65,56
2:07,356,Trent Frazier made Free Throw.,66,56
1:58,142,Kassius Robertson made Layup.,66,58
1:56,142,Missouri  Timeout,66,58
1:29,356,Trent Frazier missed Layup.,66,58
1:29,356,Leron Black Offensive Rebound.,66,58
1:18,356,Leron Black missed Jumper.,66,58
1:18,142,Jeremiah Tilmon Block.,66,58
1:18,356,Leron Black Offensive Rebound.,66,58
1:14,142,Foul on Terrence Phillips.,66,58
1:14,356,Te'Jon Lucas missed Free Throw.,66,58
1:14,356,Illinois Deadball Team Rebound.,66,58
1:14,356,Te'Jon Lucas missed Free Throw.,66,58
1:14,142,Blake Harris Defensive Rebound.,66,58
1:08,142,Kassius Robertson missed Jumper.,66,58
1:08,142,Jeremiah Tilmon Offensive Rebound.,66,58
1:08,142,Jeremiah Tilmon made Two Point Tip Shot.,66,60
0:39,356,Trent Frazier missed Three Point Jumper.,66,60
0:39,142,Blake Harris Defensive Rebound.,66,60
0:28,142,Kassius Robertson missed Jumper.,66,60
0:28,356,Trent Frazier Block.,66,60
0:28,142,Missouri Offensive Rebound.,66,60
0:28,142,Missouri  Timeout,66,60
0:28,356,Illinois  Timeout,66,60
0:27,142,Kevin Puryear made Jumper. Assisted by Blake Harris.,66,62
0:25,142,Foul on Kassius Robertson.,66,62
0:25,356,Trent Frazier made Free Throw.,67,62
0:25,356,Trent Frazier made Free Throw.,68,62
0:15,142,Kassius Robertson missed Three Point Jumper.,68,62
0:15,142,Terrence Phillips Offensive Rebound.,68,62
0:13,142,Terrence Phillips missed Three Point Jumper.,68,62
0:13,356,Trent Frazier Defensive Rebound.,68,62
0:07,142,Foul on Terrence Phillips.,68,62
0:07,356,Trent Frazier made Free Throw.,69,62
0:07,356,Trent Frazier made Free Throw.,70,62
0:05,142,Blake Harris made Dunk.,70,64
0:00,142,End of Game,70,64
