Central Connecticut,2349,UMass Lowell,2115
9:31,2115,Mustafa Jones missed Jumper.,55,56
9:31,2349,Stefan Borovac Defensive Rebound.,55,56
9:23,2115,Foul on Austin Nehls.,55,56
9:02,2349,Obadiah Noel made Three Point Jumper. Assisted by Shawn Jones.,55,59
8:39,2349,Foul on Matt Harris.,55,59
8:39,2115,Talek Williams made Free Throw.,56,59
8:39,2115,Talek Williams made Free Throw.,57,59
8:33,2115,Foul on Talek Williams.,57,59
8:33,2349,Ryan Jones missed Free Throw.,57,59
8:33,2115,Kashaun Hicks Defensive Rebound.,57,59
8:31,2349,Foul on Jahad Thomas.,57,59
8:31,2115,Kashaun Hicks made Free Throw.,58,59
8:31,2115,Kashaun Hicks made Free Throw.,59,59
8:03,2349,Stefan Borovac made Jumper.,59,61
7:46,2115,Austin Nehls made Three Point Jumper. Assisted by Eric Bowles.,62,61
7:16,2349,Ryan Jones missed Three Point Jumper.,62,61
7:16,2115,Kashaun Hicks Defensive Rebound.,62,61
7:12,2115,Kashaun Hicks Turnover.,62,61
7:12,2349,Official TV Timeout,62,61
7:02,2115,Foul on Eric Bowles.,62,61
7:02,2349,Shawn Jones made Free Throw.,62,62
7:02,2349,Shawn Jones made Free Throw.,62,63
6:55,2349,Foul on Ryan Jones.,62,63
6:55,2115,Austin Nehls made Free Throw.,63,63
6:55,2115,Austin Nehls made Free Throw.,64,63
6:35,2349,Shawn Jones made Layup. Assisted by Josh Gantz.,64,65
6:15,2115,Kashaun Hicks missed Three Point Jumper.,64,65
6:15,2115,Austin Nehls Offensive Rebound.,64,65
6:09,2115,Talek Williams missed Layup.,64,65
6:09,2115,Central Connecticut Offensive Rebound.,64,65
6:05,2115,Austin Nehls missed Three Point Jumper.,64,65
6:05,2115,Mustafa Jones Offensive Rebound.,64,65
5:44,2115,Kashaun Hicks made Layup. Assisted by Eric Bowles.,66,65
5:21,2349,Josh Gantz made Layup. Assisted by Obadiah Noel.,66,67
4:52,2349,Foul on Josh Gantz.,66,67
4:52,2115,Mustafa Jones missed Free Throw.,66,67
4:52,2115,Central Connecticut Deadball Team Rebound.,66,67
4:52,2115,Mustafa Jones made Free Throw.,67,67
4:30,2349,Rinardo Perry missed Three Point Jumper.,67,67
4:30,2115,Deion Bute Defensive Rebound.,67,67
4:11,2349,Foul on Josh Gantz.,67,67
4:11,2115,Deion Bute missed Free Throw.,67,67
4:11,2115,Central Connecticut Deadball Team Rebound.,67,67
4:11,2115,Deion Bute made Free Throw.,68,67
3:46,2349,Rinardo Perry Turnover.,68,67
3:44,2115,Austin Nehls Steal.,68,67
3:30,2115,Deion Bute made Layup.,70,67
3:08,2349,Jahad Thomas missed Jumper.,70,67
3:08,2115,Tyler Kohl Defensive Rebound.,70,67
2:47,2349,Stefan Borovac missed Layup.,70,67
2:47,2115,Mustafa Jones Defensive Rebound.,70,67
2:41,2115,Mustafa Jones Turnover.,70,67
2:38,2349,Stefan Borovac Steal.,70,67
2:36,2349,Rinardo Perry missed Layup.,70,67
2:36,2349,Rinardo Perry Offensive Rebound.,70,67
2:36,2115,Foul on Mustafa Jones.,70,67
2:36,2349,Official TV Timeout,70,67
2:36,2349,Rinardo Perry made Free Throw.,70,68
2:36,2349,Rinardo Perry missed Free Throw.,70,68
2:36,2115,Deion Bute Defensive Rebound.,70,68
2:14,2115,Tyler Kohl made Layup.,72,68
1:56,2115,Foul on Deion Bute.,72,68
1:56,2349,Jahad Thomas made Free Throw.,72,69
1:56,2349,Jahad Thomas made Free Throw.,72,70
1:38,2115,Mustafa Jones missed Jumper.,72,70
1:38,2115,Tyler Kohl Offensive Rebound.,72,70
1:33,2115,Tyler Kohl missed Layup.,72,70
1:33,2349,Ryan Jones Defensive Rebound.,72,70
1:29,2115,Foul on Eric Bowles.,72,70
1:29,2349,Ryan Jones made Free Throw.,72,71
1:29,2349,Ryan Jones missed Free Throw.,72,71
1:29,2115,Tyler Kohl Defensive Rebound.,72,71
1:12,2115,Tyler Kohl made Layup.,74,71
0:56,2349,Jahad Thomas made Layup. Assisted by Josh Gantz.,74,73
0:30,2115,Austin Nehls missed Three Point Jumper.,74,73
0:30,2115,Eric Bowles Offensive Rebound.,74,73
0:25,2349,Foul on Jahad Thomas.,74,73
0:25,2115,Austin Nehls missed Free Throw.,74,73
0:25,2115,Central Connecticut Deadball Team Rebound.,74,73
0:25,2115,Austin Nehls made Free Throw.,75,73
0:06,2349,Josh Gantz Turnover.,75,73
0:06,2115,Tyler Kohl Steal.,75,73
0:06,2349,Foul on Ryan Jones.,75,73
0:06,2115,Tyler Kohl missed Free Throw.,75,73
0:06,2115,Central Connecticut Deadball Team Rebound.,75,73
0:06,2115,Tyler Kohl made Free Throw.,76,73
0:06,2349,Matt Harris missed Three Point Jumper.,76,73
0:06,2115,Central Connecticut Defensive Rebound.,76,73
0:00,2349,End of Game,76,73
