Connecticut,2,Auburn,41
11:41,2,Malik Dunbar made Three Point Jumper. Assisted by Davion Mitchell.,7,23
11:41,41,Connecticut  Timeout,7,23
11:36,41,Terry Larrier made Layup.,9,23
11:18,2,Desean Murray made Layup. Assisted by Malik Dunbar.,9,25
11:18,41,Foul on Terry Larrier.,9,25
11:18,2,Desean Murray made Free Throw.,9,26
10:59,41,Terry Larrier Turnover.,9,26
10:59,2,Bryce Brown Steal.,9,26
10:48,2,Anfernee McLemore missed Three Point Jumper.,9,26
10:48,41,Christian Vital Defensive Rebound.,9,26
10:39,41,Christian Vital made Jumper.,11,26
10:25,2,Jared Harper missed Three Point Jumper.,11,26
10:25,41,Josh Carlton Defensive Rebound.,11,26
10:10,41,Antwoine Anderson missed Three Point Jumper.,11,26
10:10,2,Malik Dunbar Defensive Rebound.,11,26
10:10,41,Foul on Josh Carlton.,11,26
10:10,2,Bryce Brown made Free Throw.,11,27
10:10,2,Bryce Brown made Free Throw.,11,28
9:53,41,Terry Larrier made Jumper.,13,28
9:35,2,Mustapha Heron made Dunk. Assisted by Jared Harper.,13,30
9:22,41,Jalen Adams missed Layup.,13,30
9:22,41,Josh Carlton Offensive Rebound.,13,30
9:11,41,Josh Carlton missed Layup.,13,30
9:11,2,Anfernee McLemore Defensive Rebound.,13,30
9:06,41,Foul on Josh Carlton.,13,30
9:06,2,Desean Murray made Free Throw.,13,31
9:06,2,Desean Murray made Free Throw.,13,32
8:56,41,Terry Larrier Turnover.,13,32
8:47,2,Mustapha Heron missed Three Point Jumper.,13,32
8:47,41,Jalen Adams Defensive Rebound.,13,32
8:32,2,Foul on Mustapha Heron.,13,32
8:32,41,Eric Cobb made Free Throw.,14,32
8:32,41,Eric Cobb made Free Throw.,15,32
8:24,2,Malik Dunbar missed Dunk.,15,32
8:24,2,Horace Spencer Offensive Rebound.,15,32
8:15,2,Horace Spencer made Layup.,15,34
8:06,41,Christian Vital missed Three Point Jumper.,15,34
8:06,2,Chuma Okeke Defensive Rebound.,15,34
8:03,2,Horace Spencer made Layup. Assisted by Jared Harper.,15,36
8:03,41,Connecticut  Timeout,15,36
8:03,2,Official TV Timeout,15,36
7:55,41,Foul on Terry Larrier.,15,36
7:55,41,Terry Larrier Turnover.,15,36
7:44,2,Bryce Brown missed Layup.,15,36
7:44,2,Auburn Deadball Team Rebound.,15,36
7:40,41,Foul on Eric Cobb.,15,36
7:40,2,Horace Spencer made Free Throw.,15,37
7:40,2,Horace Spencer made Free Throw.,15,38
7:26,41,Christian Vital missed Jumper.,15,38
7:26,2,Horace Spencer Defensive Rebound.,15,38
7:18,2,Malik Dunbar missed Dunk.,15,38
7:18,41,Eric Cobb Defensive Rebound.,15,38
7:10,41,Christian Vital made Three Point Jumper. Assisted by Antwoine Anderson.,18,38
6:52,2,Chuma Okeke made Layup. Assisted by Bryce Brown.,18,40
6:40,41,Antwoine Anderson missed Jumper.,18,40
6:40,2,Horace Spencer Defensive Rebound.,18,40
6:26,2,Davion Mitchell missed Three Point Jumper.,18,40
6:26,41,Connecticut Defensive Rebound.,18,40
6:21,41,Jalen Adams missed Layup.,18,40
6:21,2,Chuma Okeke Defensive Rebound.,18,40
6:03,2,Chuma Okeke missed Jumper.,18,40
6:03,41,Jalen Adams Defensive Rebound.,18,40
5:57,41,Christian Vital missed Three Point Jumper.,18,40
5:57,2,Anfernee McLemore Defensive Rebound.,18,40
5:31,2,Foul on Anfernee McLemore.,18,40
5:31,2,Anfernee McLemore Turnover.,18,40
5:12,41,Jalen Adams missed Jumper.,18,40
5:12,2,Desean Murray Defensive Rebound.,18,40
5:02,2,Bryce Brown missed Three Point Jumper.,18,40
5:02,41,Antwoine Anderson Defensive Rebound.,18,40
4:36,41,Eric Cobb Turnover.,18,40
4:36,2,Davion Mitchell Steal.,18,40
4:26,2,Malik Dunbar missed Jumper.,18,40
4:26,2,Davion Mitchell Offensive Rebound.,18,40
4:09,2,Davion Mitchell missed Three Point Jumper.,18,40
4:09,41,Jalen Adams Defensive Rebound.,18,40
4:00,41,Jalen Adams missed Layup.,18,40
4:00,2,Bryce Brown Block.,18,40
4:00,41,Jalen Adams Offensive Rebound.,18,40
3:47,41,Antwoine Anderson missed Jumper.,18,40
3:47,2,Anfernee McLemore Defensive Rebound.,18,40
3:45,2,Davion Mitchell Turnover.,18,40
3:45,2,Official TV Timeout,18,40
3:26,2,Foul on Davion Mitchell.,18,40
3:23,41,Jalen Adams made Layup.,20,40
3:07,2,Malik Dunbar missed Three Point Jumper.,20,40
3:07,2,Desean Murray Offensive Rebound.,20,40
3:00,2,Desean Murray missed Jumper.,20,40
3:00,41,Antwoine Anderson Defensive Rebound.,20,40
2:45,2,Foul on Malik Dunbar.,20,40
2:45,41,Antwoine Anderson made Free Throw.,21,40
2:45,41,Antwoine Anderson made Free Throw.,22,40
2:30,2,Foul on Anfernee McLemore.,22,40
2:30,2,Anfernee McLemore Turnover.,22,40
2:24,41,Jalen Adams missed Jumper.,22,40
2:24,2,Horace Spencer Defensive Rebound.,22,40
2:05,41,Foul on Christian Vital.,22,40
2:05,2,Mustapha Heron made Free Throw.,22,41
2:05,2,Mustapha Heron made Free Throw.,22,42
1:49,41,Mamadou Diarra missed Jumper.,22,42
1:49,2,Horace Spencer Block.,22,42
1:49,2,Desean Murray Defensive Rebound.,22,42
1:37,41,Foul on Mamadou Diarra.,22,42
1:37,2,Jared Harper made Free Throw.,22,43
1:37,2,Jared Harper made Free Throw.,22,44
1:27,41,Christian Vital missed Three Point Jumper.,22,44
1:27,41,Isaiah Whaley Offensive Rebound.,22,44
1:27,41,Isaiah Whaley made Two Point Tip Shot.,24,44
0:58,2,Bryce Brown missed Three Point Jumper.,24,44
0:58,2,Malik Dunbar Offensive Rebound.,24,44
0:50,2,Malik Dunbar missed Layup.,24,44
0:50,41,Mamadou Diarra Block.,24,44
0:50,41,Connecticut Defensive Rebound.,24,44
0:36,41,Antwoine Anderson missed Three Point Jumper.,24,44
0:36,2,Auburn Defensive Rebound.,24,44
0:15,2,Jared Harper made Three Point Jumper.,24,47
0:08,41,Christian Vital missed Jumper.,24,47
0:08,2,Horace Spencer Defensive Rebound.,24,47
0:00,2,End of 1st half,24,47
20:00,41,Jump Ball won by Connecticut,24,47
19:44,41,Eric Cobb Turnover.,24,47
19:31,2,Desean Murray made Jumper.,24,49
19:17,41,Terry Larrier missed Jumper.,24,49
19:17,41,Eric Cobb Offensive Rebound.,24,49
19:10,2,Foul on Desean Murray.,24,49
19:10,41,Eric Cobb missed Free Throw.,24,49
19:10,41,Connecticut Deadball Team Rebound.,24,49
19:10,41,Eric Cobb missed Free Throw.,24,49
19:10,2,Desean Murray Defensive Rebound.,24,49
18:54,2,Bryce Brown made Three Point Jumper. Assisted by Jared Harper.,24,52
18:46,41,Isaiah Whaley made Layup. Assisted by Jalen Adams.,26,52
18:23,2,Mustapha Heron missed Three Point Jumper.,26,52
18:23,41,Jalen Adams Defensive Rebound.,26,52
18:17,41,Jalen Adams made Layup.,28,52
18:01,2,Mustapha Heron missed Jumper.,28,52
18:01,41,Terry Larrier Defensive Rebound.,28,52
17:51,41,Antwoine Anderson missed Three Point Jumper.,28,52
17:51,2,Mustapha Heron Defensive Rebound.,28,52
17:30,2,Jared Harper Turnover.,28,52
17:23,41,Jalen Adams missed Three Point Jumper.,28,52
17:23,2,Mustapha Heron Defensive Rebound.,28,52
16:49,41,Foul on Josh Carlton.,28,52
16:49,2,Desean Murray made Free Throw.,28,53
16:49,2,Desean Murray made Free Throw.,28,54
16:37,41,Isaiah Whaley made Jumper. Assisted by Terry Larrier.,30,54
16:26,2,Jared Harper made Three Point Jumper.,30,57
16:12,41,Antwoine Anderson missed Jumper.,30,57
16:12,2,Anfernee McLemore Block.,30,57
16:12,41,Connecticut Offensive Rebound.,30,57
16:03,41,Josh Carlton missed Layup.,30,57
16:03,41,Josh Carlton Offensive Rebound.,30,57
15:58,41,Josh Carlton made Layup.,32,57
15:58,2,Foul on Desean Murray.,32,57
15:58,2,Official TV Timeout,32,57
15:58,41,Josh Carlton made Free Throw.,33,57
15:44,2,Jared Harper missed Three Point Jumper.,33,57
15:44,2,Horace Spencer Offensive Rebound.,33,57
15:15,2,Mustapha Heron missed Layup.,33,57
15:15,2,Chuma Okeke Offensive Rebound.,33,57
15:06,2,Davion Mitchell made Three Point Jumper. Assisted by Chuma Okeke.,33,60
14:40,41,Terry Larrier Turnover.,33,60
14:40,2,Horace Spencer Steal.,33,60
14:33,2,Chuma Okeke missed Three Point Jumper.,33,60
14:33,2,Horace Spencer Offensive Rebound.,33,60
14:24,2,Horace Spencer made Dunk.,33,62
14:18,41,Connecticut  Timeout,33,62
14:02,41,Terry Larrier missed Jumper.,33,62
14:02,2,Auburn Defensive Rebound.,33,62
13:44,2,Mustapha Heron missed Layup.,33,62
13:44,2,Chuma Okeke Offensive Rebound.,33,62
13:37,2,Chuma Okeke made Layup.,33,64
13:29,41,Christian Vital missed Jumper.,33,64
13:29,2,Horace Spencer Defensive Rebound.,33,64
13:19,2,Davion Mitchell made Three Point Jumper. Assisted by Jared Harper.,33,67
13:03,2,Foul on Davion Mitchell.,33,67
13:03,41,Jalen Adams made Free Throw.,34,67
13:03,41,Jalen Adams made Free Throw.,35,67
12:55,2,Malik Dunbar missed Layup.,35,67
12:55,41,David Onuorah Defensive Rebound.,35,67
12:36,41,Terry Larrier missed Layup.,35,67
12:36,2,Horace Spencer Block.,35,67
12:36,2,Davion Mitchell Defensive Rebound.,35,67
12:32,2,Davion Mitchell made Layup.,35,69
12:32,41,Terry Larrier Turnover.,35,69
12:10,2,Chuma Okeke Turnover.,35,69
12:01,41,Jalen Adams made Jumper.,37,69
11:51,2,Malik Dunbar missed Three Point Jumper.,37,69
11:51,41,Kwintin Williams Defensive Rebound.,37,69
11:42,41,Jalen Adams missed Jumper.,37,69
11:42,2,Chuma Okeke Block.,37,69
11:42,2,Chuma Okeke Defensive Rebound.,37,69
11:33,2,Malik Dunbar made Layup. Assisted by Chuma Okeke.,37,71
11:33,41,Foul on Antwoine Anderson.,37,71
11:33,2,Official TV Timeout,37,71
11:33,2,Malik Dunbar made Free Throw.,37,72
11:09,2,Foul on Davion Mitchell.,37,72
11:00,41,Christian Vital missed Jumper.,37,72
11:00,41,David Onuorah Offensive Rebound.,37,72
10:43,41,David Onuorah made Layup.,39,72
10:37,2,Desean Murray missed Layup.,39,72
10:37,41,David Onuorah Block.,39,72
10:37,41,Christian Vital Defensive Rebound.,39,72
10:25,41,Terry Larrier missed Jumper.,39,72
10:25,2,Auburn Defensive Rebound.,39,72
10:15,2,Mustapha Heron made Jumper.,39,74
9:58,41,Christian Vital made Three Point Jumper. Assisted by Kwintin Williams.,42,74
9:33,41,Foul on Christian Vital.,42,74
9:31,2,Desean Murray made Layup.,42,76
9:20,41,Christian Vital Turnover.,42,76
9:17,2,Jared Harper missed Three Point Jumper.,42,76
9:17,2,Mustapha Heron Offensive Rebound.,42,76
9:17,2,Mustapha Heron made Two Point Tip Shot.,42,78
8:53,41,Terry Larrier made Jumper.,44,78
8:40,2,Bryce Brown missed Jumper.,44,78
8:40,41,Terry Larrier Defensive Rebound.,44,78
8:25,41,Terry Larrier made Jumper.,46,78
8:04,2,Anfernee McLemore made Three Point Jumper. Assisted by Jared Harper.,46,81
7:47,2,Foul on Bryce Brown.,46,81
7:47,2,Official TV Timeout,46,81
7:47,41,Jalen Adams missed Free Throw.,46,81
7:47,41,Connecticut Deadball Team Rebound.,46,81
7:47,41,Jalen Adams made Free Throw.,47,81
7:33,41,Foul on Mamadou Diarra.,47,81
7:33,2,Horace Spencer made Free Throw.,47,82
7:33,2,Horace Spencer missed Free Throw.,47,82
7:33,41,Mamadou Diarra Defensive Rebound.,47,82
7:16,41,Jalen Adams missed Jumper.,47,82
7:16,2,Horace Spencer Block.,47,82
7:16,41,Kwintin Williams Offensive Rebound.,47,82
7:03,41,Terry Larrier made Jumper.,49,82
6:51,2,Bryce Brown missed Three Point Jumper.,49,82
6:51,41,Antwoine Anderson Defensive Rebound.,49,82
6:41,41,Terry Larrier missed Three Point Jumper.,49,82
6:41,41,Kwintin Williams Offensive Rebound.,49,82
6:20,41,Antwoine Anderson missed Layup.,49,82
6:20,2,Chuma Okeke Defensive Rebound.,49,82
6:10,2,Bryce Brown missed Three Point Jumper.,49,82
6:10,41,Antwoine Anderson Defensive Rebound.,49,82
6:05,41,Kwintin Williams made Layup. Assisted by Jalen Adams.,51,82
5:41,2,Mustapha Heron missed Layup.,51,82
5:41,41,Foul on Mamadou Diarra.,51,82
5:41,2,Auburn Deadball Team Rebound.,51,82
5:41,41,Foul on Terry Larrier.,51,82
5:41,2,Horace Spencer missed Jumper.,51,82
5:41,41,Kwintin Williams Defensive Rebound.,51,82
5:40,41,Mamadou Diarra missed Layup.,51,82
5:40,41,Connecticut Offensive Rebound.,51,82
5:17,41,Jalen Adams made Three Point Jumper.,54,82
4:50,41,Foul on Terry Larrier.,54,82
4:50,2,Chuma Okeke made Free Throw.,54,83
4:50,2,Chuma Okeke made Free Throw.,54,84
4:31,41,Terry Larrier made Jumper.,56,84
4:04,2,Jared Harper missed Jumper.,56,84
4:04,41,Kwintin Williams Defensive Rebound.,56,84
4:04,2,Foul on Horace Spencer.,56,84
3:48,41,Jalen Adams missed Three Point Jumper.,56,84
3:48,41,Jalen Adams Offensive Rebound.,56,84
3:43,41,Kwintin Williams made Dunk. Assisted by Jalen Adams.,58,84
3:43,2,Foul on Horace Spencer.,58,84
3:43,2,Official TV Timeout,58,84
3:43,41,Kwintin Williams made Free Throw.,59,84
3:37,2,Mustapha Heron made Three Point Jumper. Assisted by Davion Mitchell.,59,87
3:20,41,Antwoine Anderson missed Jumper.,59,87
3:20,2,Horace Spencer Defensive Rebound.,59,87
3:01,2,Horace Spencer missed Jumper.,59,87
3:01,2,Mustapha Heron Offensive Rebound.,59,87
2:53,2,Mustapha Heron missed Jumper.,59,87
2:53,41,Antwoine Anderson Defensive Rebound.,59,87
2:43,41,Kwintin Williams missed Jumper.,59,87
2:43,41,Josh Carlton Offensive Rebound.,59,87
2:41,41,Josh Carlton Turnover.,59,87
2:41,2,Horace Spencer Steal.,59,87
2:29,2,Malik Dunbar missed Three Point Jumper.,59,87
2:29,2,Chuma Okeke Offensive Rebound.,59,87
2:21,2,Mustapha Heron missed Three Point Jumper.,59,87
2:21,2,Malik Dunbar Offensive Rebound.,59,87
2:10,2,Auburn  Timeout,59,87
1:59,2,Will Macoy missed Three Point Jumper.,59,87
1:59,41,Isaiah Whaley Block.,59,87
1:59,41,Josh Carlton Defensive Rebound.,59,87
1:49,2,Foul on Patrick Keim.,59,87
1:49,41,Antwoine Anderson made Free Throw.,60,87
1:49,41,Antwoine Anderson made Free Throw.,61,87
1:27,41,Foul on Josh Carlton.,61,87
1:27,2,Devontae Williams made Free Throw.,61,88
1:27,2,Devontae Williams missed Free Throw.,61,88
1:27,41,Isaiah Whaley Defensive Rebound.,61,88
1:07,41,Antwoine Anderson missed Three Point Jumper.,61,88
1:07,41,Kwintin Williams Offensive Rebound.,61,88
0:51,2,Foul on Cole Blackstock.,61,88
0:51,41,Kwintin Williams made Free Throw.,62,88
0:51,41,Kwintin Williams missed Free Throw.,62,88
0:51,41,Josh Carlton Offensive Rebound.,62,88
0:43,41,Josh Carlton made Two Point Tip Shot.,64,88
0:24,41,Foul on Kwintin Williams.,64,88
0:24,2,Will Macoy made Free Throw.,64,89
0:24,2,Will Macoy missed Free Throw.,64,89
0:24,41,Isaiah Whaley Defensive Rebound.,64,89
0:05,41,Tyler Polley missed Jumper.,64,89
0:05,2,Thomas Collier Defensive Rebound.,64,89
0:00,2,End of Game,64,89
