Connecticut,2351,Loyola Marymount,41
3:49,2351,Official TV Timeout,32,24
3:49,2351,Kelvin Amayo made Free Throw.,32,25
3:49,2351,Kelvin Amayo made Free Throw.,32,26
3:26,41,Jalen Adams Turnover.,32,26
3:26,41,Foul on Jalen Adams.,32,26
2:59,2351,Munis Tutu missed Jumper.,32,26
2:59,2351,Buay Tuach Offensive Rebound.,32,26
2:56,2351,Buay Tuach missed Two Point Tip Shot.,32,26
2:56,41,Rodney Purvis Defensive Rebound.,32,26
2:46,41,Terry Larrier Turnover.,32,26
2:45,2351,Kelvin Amayo Steal.,32,26
2:42,2351,Buay Tuach made Dunk. Assisted by Kelvin Amayo.,32,28
2:13,41,Jalen Adams missed Three Point Jumper.,32,28
2:13,2351,Shamar Johnson Defensive Rebound.,32,28
1:51,41,Foul on Christian Vital.,32,28
1:51,2351,Brandon Brown made Free Throw.,32,29
1:51,2351,Brandon Brown made Free Throw.,32,30
1:24,41,Amida Brimah made Dunk. Assisted by Terry Larrier.,34,30
1:02,41,Foul on Amida Brimah.,34,30
1:02,2351,Kelvin Amayo missed Free Throw.,34,30
1:02,2351,Loyola Marymount Deadball Team Rebound.,34,30
1:02,2351,Kelvin Amayo missed Free Throw.,34,30
1:02,41,Vance Jackson Defensive Rebound.,34,30
0:54,41,Alterique Gilbert Turnover.,34,30
0:53,2351,Buay Tuach Steal.,34,30
0:51,2351,Kelvin Amayo missed Layup.,34,30
0:51,2351,Loyola Marymount Offensive Rebound.,34,30
0:49,41,Foul on Amida Brimah.,34,30
0:49,2351,Jeffery McClendon missed Free Throw.,34,30
0:49,2351,Loyola Marymount Deadball Team Rebound.,34,30
0:49,2351,Jeffery McClendon made Free Throw.,34,31
0:43,41,Jalen Adams Turnover.,34,31
0:42,2351,Munis Tutu Steal.,34,31
0:38,2351,Kelvin Amayo made Layup. Assisted by Munis Tutu.,34,33
0:38,41,Foul on Vance Jackson.,34,33
0:38,2351,Kelvin Amayo made Free Throw.,34,34
0:33,41,Connecticut  Timeout,34,34
0:08,41,Jalen Adams Turnover.,34,34
0:06,2351,Buay Tuach Steal.,34,34
0:00,2351,End of 1st half,34,34
19:36,41,Terry Larrier missed Jumper.,34,34
19:36,2351,Kelvin Amayo Defensive Rebound.,34,34
19:13,2351,Shamar Johnson missed Jumper.,34,34
19:13,41,Christian Vital Defensive Rebound.,34,34
19:02,41,Terry Larrier made Layup. Assisted by Rodney Purvis.,36,34
18:34,2351,Buay Tuach made Three Point Jumper.,36,37
18:21,41,Christian Vital missed Three Point Jumper.,36,37
18:21,2351,Steven Haney Defensive Rebound.,36,37
18:11,2351,Brandon Brown missed Three Point Jumper.,36,37
18:11,2351,Buay Tuach Offensive Rebound.,36,37
18:07,41,Foul on Christian Vital.,36,37
18:07,2351,Buay Tuach made Free Throw.,36,38
18:07,2351,Buay Tuach missed Free Throw.,36,38
18:07,41,Amida Brimah Defensive Rebound.,36,38
17:52,41,Christian Vital missed Three Point Jumper.,36,38
17:52,41,Amida Brimah Offensive Rebound.,36,38
17:36,41,Rodney Purvis missed Jumper.,36,38
17:36,41,Connecticut Offensive Rebound.,36,38
17:16,41,Terry Larrier Turnover.,36,38
17:15,2351,Kelvin Amayo Steal.,36,38
17:11,2351,Buay Tuach missed Dunk.,36,38
17:11,2351,Brandon Brown Offensive Rebound.,36,38
17:03,2351,Kelvin Amayo made Layup.,36,40
16:38,41,Terry Larrier missed Jumper.,36,40
16:38,41,Amida Brimah Offensive Rebound.,36,40
16:24,41,Vance Jackson missed Three Point Jumper.,36,40
16:24,41,Amida Brimah Offensive Rebound.,36,40
16:21,2351,Foul on Shamar Johnson.,36,40
16:09,41,Vance Jackson missed Jumper.,36,40
16:09,2351,Kelvin Amayo Defensive Rebound.,36,40
16:06,41,Foul on Rodney Purvis.,36,40
16:06,2351,Kelvin Amayo made Free Throw.,36,41
16:06,2351,Kelvin Amayo made Free Throw.,36,42
15:59,41,Jalen Adams Turnover.,36,42
15:58,2351,Brandon Brown Steal.,36,42
15:51,2351,Buay Tuach missed Layup.,36,42
15:51,41,Amida Brimah Block.,36,42
15:50,41,Amida Brimah Defensive Rebound.,36,42
15:46,2351,Official TV Timeout,36,42
15:33,41,Jalen Adams made Layup.,38,42
14:39,2351,Shamar Johnson made Layup. Assisted by Kelvin Amayo.,38,44
14:24,41,Amida Brimah made Dunk. Assisted by Jalen Adams.,40,44
14:00,2351,Brandon Brown Turnover.,40,44
14:00,2351,Foul on Brandon Brown.,40,44
13:46,41,Rodney Purvis missed Three Point Jumper.,40,44
13:46,2351,Kelvin Amayo Defensive Rebound.,40,44
13:29,2351,Brandon Brown missed Three Point Jumper.,40,44
13:29,41,Rodney Purvis Defensive Rebound.,40,44
13:22,41,Rodney Purvis made Layup.,42,44
13:15,41,Foul on Vance Jackson.,42,44
13:15,2351,Loyola Marymount  Timeout,42,44
13:04,2351,Munis Tutu Turnover.,42,44
13:03,41,Christian Vital Steal.,42,44
13:00,41,Christian Vital missed Layup.,42,44
13:00,2351,Munis Tutu Block.,42,44
12:58,2351,Kelvin Amayo Defensive Rebound.,42,44
12:54,2351,Munis Tutu made Three Point Jumper. Assisted by Shamar Johnson.,42,47
12:30,41,Kentan Facey made Dunk. Assisted by Terry Larrier.,44,47
12:06,2351,Buay Tuach made Three Point Jumper. Assisted by Shamar Johnson.,44,50
11:46,41,Rodney Purvis missed Three Point Jumper.,44,50
11:46,41,Terry Larrier Offensive Rebound.,44,50
11:41,41,Terry Larrier missed Layup.,44,50
11:41,2351,Munis Tutu Defensive Rebound.,44,50
11:10,2351,Shamar Johnson missed Layup.,44,50
11:10,41,Jalen Adams Defensive Rebound.,44,50
10:58,41,Christian Vital made Three Point Jumper. Assisted by Rodney Purvis.,47,50
10:39,2351,Shamar Johnson made Layup. Assisted by Munis Tutu.,47,52
10:19,41,Jalen Adams made Three Point Jumper. Assisted by Rodney Purvis.,50,52
10:01,2351,Kelvin Amayo made Layup. Assisted by Munis Tutu.,50,54
9:44,2351,Foul on Steven Haney.,50,54
9:44,2351,Official TV Timeout,50,54
9:44,41,Kentan Facey missed Free Throw.,50,54
9:44,41,Connecticut Deadball Team Rebound.,50,54
9:44,41,Kentan Facey made Free Throw.,51,54
9:26,2351,Jeffery McClendon missed Three Point Jumper.,51,54
9:26,41,Rodney Purvis Defensive Rebound.,51,54
9:05,41,Rodney Purvis missed Three Point Jumper.,51,54
9:05,41,Kentan Facey Offensive Rebound.,51,54
9:00,2351,Foul on Shamar Johnson.,51,54
9:00,41,Kentan Facey made Free Throw.,52,54
9:00,41,Kentan Facey made Free Throw.,53,54
8:25,2351,Brandon Brown missed Three Point Jumper.,53,54
8:25,41,Terry Larrier Defensive Rebound.,53,54
8:20,41,Christian Vital missed Three Point Jumper.,53,54
8:20,2351,Steven Haney Defensive Rebound.,53,54
8:08,2351,Kelvin Amayo missed Layup.,53,54
8:08,41,Kentan Facey Defensive Rebound.,53,54
8:01,2351,Foul on Steven Haney.,53,54
8:01,41,Terry Larrier made Free Throw.,54,54
8:01,41,Terry Larrier missed Free Throw.,54,54
8:01,2351,Munis Tutu Defensive Rebound.,54,54
7:47,2351,Munis Tutu Turnover.,54,54
7:46,41,Amida Brimah Steal.,54,54
7:46,2351,Foul on Jeffery McClendon.,54,54
7:46,2351,Official TV Timeout,54,54
7:26,41,Christian Vital missed Three Point Jumper.,54,54
7:26,41,Kentan Facey Offensive Rebound.,54,54
7:07,41,Jalen Adams Turnover.,54,54
7:05,2351,Shamar Johnson Steal.,54,54
6:42,2351,Munis Tutu Turnover.,54,54
6:27,41,Jalen Adams missed Jumper.,54,54
6:27,2351,Kelvin Amayo Defensive Rebound.,54,54
6:23,41,Foul on Kentan Facey.,54,54
6:09,2351,Shamar Johnson missed Layup.,54,54
6:09,41,Terry Larrier Defensive Rebound.,54,54
6:02,41,Jalen Adams made Layup.,56,54
5:36,2351,Brandon Brown Turnover.,56,54
5:35,41,Jalen Adams Steal.,56,54
5:32,41,Christian Vital missed Layup.,56,54
5:32,2351,Brandon Brown Defensive Rebound.,56,54
5:25,2351,Steven Haney made Three Point Jumper. Assisted by Kelvin Amayo.,56,57
5:22,2351,Loyola Marymount  Timeout,56,57
5:05,41,Amida Brimah missed Jumper.,56,57
5:05,2351,Steven Haney Defensive Rebound.,56,57
4:53,2351,Kelvin Amayo missed Layup.,56,57
4:53,41,Amida Brimah Block.,56,57
4:51,41,Terry Larrier Defensive Rebound.,56,57
4:46,41,Terry Larrier made Layup.,58,57
4:26,2351,Kelvin Amayo missed Layup.,58,57
4:26,2351,Shamar Johnson Offensive Rebound.,58,57
4:23,2351,Shamar Johnson missed Layup.,58,57
4:23,2351,Shamar Johnson Offensive Rebound.,58,57
4:22,41,Foul on Amida Brimah.,58,57
4:22,2351,Kelvin Amayo made Free Throw.,58,58
4:22,2351,Kelvin Amayo missed Free Throw.,58,58
4:22,41,Kentan Facey Defensive Rebound.,58,58
4:00,41,Kentan Facey missed Layup.,58,58
4:00,2351,Brandon Brown Defensive Rebound.,58,58
3:50,2351,Buay Tuach made Layup.,58,60
3:43,41,Connecticut  Timeout,58,60
3:43,2351,Official TV Timeout,58,60
3:33,41,Christian Vital made Three Point Jumper. Assisted by Rodney Purvis.,61,60
3:19,41,Foul on Jalen Adams.,61,60
3:19,2351,Brandon Brown missed Free Throw.,61,60
3:19,2351,Loyola Marymount Deadball Team Rebound.,61,60
3:19,2351,Brandon Brown made Free Throw.,61,61
2:51,41,Rodney Purvis Turnover.,61,61
2:50,2351,Brandon Brown Steal.,61,61
2:47,41,Foul on Jalen Adams.,61,61
2:47,2351,Buay Tuach missed Free Throw.,61,61
2:47,2351,Loyola Marymount Deadball Team Rebound.,61,61
2:47,2351,Buay Tuach made Free Throw.,61,62
2:26,41,Jalen Adams missed Jumper.,61,62
2:26,41,Terry Larrier Offensive Rebound.,61,62
2:22,41,Terry Larrier made Layup.,63,62
1:48,2351,Loyola Marymount  Turnover.,63,62
1:29,41,Jalen Adams missed Jumper.,63,62
1:29,41,Connecticut Deadball Team Rebound.,63,62
1:27,2351,Foul on Jeffery McClendon.,63,62
1:27,41,Amida Brimah missed Free Throw.,63,62
1:27,2351,Shamar Johnson Defensive Rebound.,63,62
1:20,2351,Loyola Marymount  Timeout,63,62
0:59,2351,Buay Tuach missed Three Point Jumper.,63,62
0:59,2351,Shamar Johnson Offensive Rebound.,63,62
0:57,2351,Shamar Johnson missed Free Throw.,63,62
0:57,41,Foul on Amida Brimah.,63,62
0:57,41,Amida Brimah Defensive Rebound.,63,62
0:30,41,Terry Larrier missed Three Point Jumper.,63,62
0:30,41,Amida Brimah Offensive Rebound.,63,62
0:26,41,Amida Brimah missed Layup.,63,62
0:26,41,Jalen Adams Offensive Rebound.,63,62
0:20,2351,Foul on Jeffery McClendon.,63,62
0:20,41,Jalen Adams made Free Throw.,64,62
0:20,41,Jalen Adams made Free Throw.,65,62
0:07,2351,Steven Haney Turnover.,65,62
0:06,2351,Foul on Brandon Brown.,65,62
0:06,41,Jalen Adams missed Free Throw.,65,62
0:06,2351,Shamar Johnson Defensive Rebound.,65,62
0:02,2351,Brandon Brown missed Three Point Jumper.,65,62
0:00,41,Connecticut Deadball Team Rebound.,65,62
0:00,2351,End of Game,65,62
