Doane,Error,South Dakota,233
9:08,233,Matt Mooney Turnover.,13,22
9:00,-1,Chase Stone missed Three Point Jumper.,13,22
9:00,233,Carlton Hurst Defensive Rebound.,13,22
8:46,233,Trey Burch-Manning made Jumper.,13,24
8:30,-1,Nate Kuhl missed Jumper.,13,24
8:30,233,Trey Burch-Manning Defensive Rebound.,13,24
8:15,233,Trey Dickerson missed Jumper.,13,24
8:15,-1,Doane Deadball Team Rebound.,13,24
8:13,233,Foul on Dan Jech.,13,24
8:00,-1,Mykeil Tzul missed Jumper.,13,24
8:00,233,Trey Burch-Manning Defensive Rebound.,13,24
7:48,233,Trey Burch-Manning made Jumper.,13,26
7:32,233,Foul on Carlton Hurst.,13,26
7:32,233,Official TV Timeout,13,26
7:12,-1,Quin Conner Turnover.,13,26
7:00,233,Matt Mooney missed Three Point Jumper.,13,26
7:00,-1,Quin Conner Defensive Rebound.,13,26
6:33,-1,Rylee Zimmerman missed Layup.,13,26
6:33,-1,Quin Conner Offensive Rebound.,13,26
6:30,-1,Quin Conner missed Jumper.,13,26
6:30,233,Matt Mooney Defensive Rebound.,13,26
6:23,233,Trey Dickerson missed Layup.,13,26
6:23,233,South Dakota Offensive Rebound.,13,26
6:19,233,Dan Jech made Jumper. Assisted by Trey Dickerson.,13,28
6:00,-1,Mykeil Tzul Turnover.,13,28
5:42,233,Trey Burch-Manning Turnover.,13,28
5:35,-1,Connor Long made Layup.,15,28
5:13,-1,Foul on Lord Akah.,15,28
5:13,233,Carlton Hurst made Free Throw.,15,29
5:13,233,Carlton Hurst made Free Throw.,15,30
5:01,233,Foul on Trey Dickerson.,15,30
4:58,-1,Connor Long missed Three Point Jumper.,15,30
4:58,233,Matt Mooney Defensive Rebound.,15,30
4:42,233,Trey Dickerson missed Three Point Jumper.,15,30
4:42,233,Tyler Peterson Offensive Rebound.,15,30
4:38,233,Tyler Peterson missed Jumper.,15,30
4:38,-1,Nate Kuhl Block.,15,30
4:36,-1,Connor Long Defensive Rebound.,15,30
4:28,-1,Reid Williams made Three Point Jumper. Assisted by Connor Long.,18,30
4:09,233,Dan Jech missed Jumper.,18,30
4:09,-1,Nate Kuhl Defensive Rebound.,18,30
3:48,-1,David Wilson missed Layup.,18,30
3:48,233,Matt Mooney Block.,18,30
3:47,233,Matt Mooney Defensive Rebound.,18,30
3:41,233,Tyler Peterson Turnover.,18,30
3:41,233,Official TV Timeout,18,30
3:09,-1,Nate Kuhl made Jumper.,20,30
2:58,233,Tyler Peterson missed Three Point Jumper.,20,30
2:58,-1,David Wilson Defensive Rebound.,20,30
2:32,-1,Connor Long missed Jumper.,20,30
2:32,233,Tyler Peterson Block.,20,30
2:30,233,Tyler Peterson Defensive Rebound.,20,30
2:26,233,Matt Mooney missed Layup.,20,30
2:26,233,Tyler Peterson Offensive Rebound.,20,30
2:24,233,Tyler Peterson missed Two Point Tip Shot.,20,30
2:24,233,Tyler Peterson Offensive Rebound.,20,30
2:20,233,Triston Simpson missed Jumper.,20,30
2:20,-1,Connor Long Defensive Rebound.,20,30
1:47,-1,Nate Kuhl made Jumper.,22,30
1:18,233,Triston Simpson made Layup.,22,32
1:04,-1,David Wilson missed Three Point Jumper.,22,32
1:04,233,Trey Burch-Manning Defensive Rebound.,22,32
0:56,233,Trey Burch-Manning Turnover.,22,32
0:36,-1,Rylee Zimmerman missed Three Point Jumper.,22,32
0:36,233,Dan Jech Defensive Rebound.,22,32
0:04,233,Trey Burch-Manning missed Jumper.,22,32
0:04,-1,Nate Kuhl Block.,22,32
0:03,-1,Rylee Zimmerman Defensive Rebound.,22,32
0:02,-1,Rylee Zimmerman Turnover.,22,32
0:02,233,South Dakota  Timeout,22,32
0:01,233,Matt Mooney missed Three Point Jumper.,22,32
0:01,233,South Dakota Deadball Team Rebound.,22,32
0:00,233,End of 1st half,22,32
19:50,233,Trey Burch-Manning missed Jumper.,22,32
19:50,233,Dan Jech Offensive Rebound.,22,32
19:48,-1,Foul on Mykeil Tzul.,22,32
19:47,233,Matt Mooney missed Jumper.,22,32
19:47,233,Trey Dickerson Offensive Rebound.,22,32
19:44,233,Trey Dickerson missed Two Point Tip Shot.,22,32
19:44,-1,Nate Kuhl Defensive Rebound.,22,32
19:33,-1,Nate Kuhl missed Jumper.,22,32
19:33,233,Trey Burch-Manning Defensive Rebound.,22,32
19:19,233,Trey Burch-Manning missed Layup.,22,32
19:19,-1,Nate Kuhl Block.,22,32
19:18,233,South Dakota Offensive Rebound.,22,32
19:13,233,Trey Burch-Manning missed Jumper.,22,32
19:13,-1,Mykeil Tzul Defensive Rebound.,22,32
18:53,-1,Connor Long Turnover.,22,32
18:39,233,Dan Jech missed Three Point Jumper.,22,32
18:39,-1,Connor Long Defensive Rebound.,22,32
18:24,-1,Nate Kuhl made Layup. Assisted by Mykeil Tzul.,24,32
18:10,233,Matt Mooney Turnover.,24,32
17:56,-1,Rylee Zimmerman Turnover.,24,32
17:46,233,Matt Mooney made Jumper.,24,34
17:31,-1,Reid Williams missed Jumper.,24,34
17:31,233,South Dakota Deadball Team Rebound.,24,34
17:28,-1,Foul on Nate Kuhl.,24,34
17:09,233,Matt Mooney missed Layup.,24,34
17:09,-1,Rylee Zimmerman Defensive Rebound.,24,34
17:01,-1,Reid Williams Turnover.,24,34
17:00,233,Matt Mooney Steal.,24,34
16:54,233,Trey Dickerson missed Jumper.,24,34
16:54,-1,Connor Long Defensive Rebound.,24,34
16:32,-1,Nate Kuhl made Layup.,26,34
16:07,-1,Foul on Mykeil Tzul.,26,34
15:56,233,Carlton Hurst made Jumper. Assisted by Matt Mooney.,26,36
15:55,-1,Foul on Nate Kuhl.,26,36
15:55,233,Official TV Timeout,26,36
15:55,233,Carlton Hurst made Free Throw.,26,37
15:38,-1,Mykeil Tzul Turnover.,26,37
15:37,233,Carlton Hurst Steal.,26,37
15:31,233,Trey Burch-Manning made Layup. Assisted by Matt Mooney.,26,39
15:18,-1,Mykeil Tzul missed Three Point Jumper.,26,39
15:18,-1,Mykeil Tzul Offensive Rebound.,26,39
15:13,-1,Mykeil Tzul made Layup.,28,39
14:55,233,Trey Dickerson made Layup.,28,41
14:26,-1,Nate Kuhl Turnover.,28,41
14:26,233,Matt Mooney Steal.,28,41
14:18,233,Trey Burch-Manning Turnover.,28,41
14:17,-1,Wyatt Simon Steal.,28,41
14:03,-1,Nate Kuhl made Jumper.,30,41
13:46,-1,Foul on Connor Long.,30,41
13:40,233,Trey Dickerson missed Layup.,30,41
13:40,-1,Reid Williams Defensive Rebound.,30,41
13:32,-1,Connor Long missed Three Point Jumper.,30,41
13:32,233,Carlton Hurst Defensive Rebound.,30,41
13:21,233,Trey Burch-Manning made Layup.,30,43
12:57,233,Foul on Trey Dickerson.,30,43
12:35,-1,Quin Conner Turnover.,30,43
12:34,233,Triston Simpson Steal.,30,43
12:30,233,Carlton Hurst made Dunk. Assisted by Tyler Peterson.,30,45
12:08,-1,David Wilson missed Three Point Jumper.,30,45
12:08,233,Dan Jech Defensive Rebound.,30,45
11:58,233,Triston Simpson Turnover.,30,45
11:57,-1,Wyatt Simon Steal.,30,45
11:52,233,Foul on Tyler Peterson.,30,45
11:51,233,Official TV Timeout,30,45
11:48,-1,David Wilson Turnover.,30,45
11:48,-1,Foul on David Wilson.,30,45
11:40,-1,Foul on Wyatt Simon.,30,45
11:40,233,Trey Burch-Manning made Free Throw.,30,46
11:40,233,Trey Burch-Manning made Free Throw.,30,47
11:25,-1,Quin Conner missed Three Point Jumper.,30,47
11:25,233,Tyler Peterson Defensive Rebound.,30,47
11:17,-1,Foul on David Wilson.,30,47
11:17,233,Triston Simpson made Free Throw.,30,48
11:17,233,Triston Simpson made Free Throw.,30,49
11:07,-1,Quin Conner missed Layup.,30,49
11:07,233,Carlton Hurst Block.,30,49
11:02,233,Tyler Peterson Defensive Rebound.,30,49
10:59,233,Tyler Peterson missed Jumper.,30,49
10:59,233,Tyler Peterson Offensive Rebound.,30,49
10:57,233,Trey Burch-Manning made Layup. Assisted by Triston Simpson.,30,51
10:32,-1,Chase Stone missed Three Point Jumper.,30,51
10:32,233,Triston Simpson Defensive Rebound.,30,51
10:26,233,Tyler Peterson made Layup. Assisted by Triston Simpson.,30,53
10:03,233,Foul on Triston Simpson.,30,53
10:03,233,Foul on Triston Simpson.,30,53
9:53,-1,Eddie Austin Jr. missed Three Point Jumper.,30,53
9:53,233,Triston Simpson Defensive Rebound.,30,53
9:45,233,Triston Simpson missed Layup.,30,53
9:44,233,Dan Jech Offensive Rebound.,30,53
9:43,233,Dan Jech missed Two Point Tip Shot.,30,53
9:42,233,Dan Jech Offensive Rebound.,30,53
9:39,233,Dan Jech missed Two Point Tip Shot.,30,53
9:38,233,Triston Simpson Offensive Rebound.,30,53
9:37,233,Triston Simpson missed Layup.,30,53
9:36,-1,Lord Akah Block.,30,53
9:35,-1,David Wilson Defensive Rebound.,30,53
9:29,-1,David Wilson missed Layup.,30,53
9:28,233,Tyler Peterson Block.,30,53
9:27,233,Tyler Peterson Defensive Rebound.,30,53
9:17,-1,Foul on Quin Conner.,30,53
9:17,233,Triston Simpson made Free Throw.,30,54
9:17,233,Triston Simpson made Free Throw.,30,55
9:05,-1,Wyatt Simon missed Three Point Jumper.,30,55
9:05,233,Dan Jech Defensive Rebound.,30,55
9:01,-1,Foul on Lord Akah.,30,55
9:01,233,Logan Power made Free Throw.,30,56
9:01,233,Logan Power made Free Throw.,30,57
8:45,-1,Eddie Austin Jr. missed Three Point Jumper.,30,57
8:45,233,South Dakota Defensive Rebound.,30,57
8:30,-1,Foul on Riley Nedved.,30,57
8:30,233,Dan Jech missed Free Throw.,30,57
8:30,233,South Dakota Deadball Team Rebound.,30,57
8:30,233,Dan Jech made Free Throw.,30,58
8:10,-1,Eddie Austin Jr. made Layup.,32,58
7:50,233,Dan Jech missed Layup.,32,58
7:50,233,Dan Jech Offensive Rebound.,32,58
7:47,233,Dan Jech made Jumper.,32,60
7:25,233,Foul on Brandon Armstrong.,32,60
7:25,233,Official TV Timeout,32,60
7:25,-1,Eddie Austin Jr. missed Free Throw.,32,60
7:25,-1,Doane Deadball Team Rebound.,32,60
7:25,-1,Eddie Austin Jr. missed Free Throw.,32,60
7:25,233,Austin Sparks Defensive Rebound.,32,60
7:02,233,Logan Power missed Layup.,32,60
7:02,-1,Wyatt Simon Defensive Rebound.,32,60
6:51,-1,Wyatt Simon made Layup.,34,60
6:28,233,Trey Dickerson made Jumper.,34,62
6:15,233,Foul on Brandon Armstrong.,34,62
6:07,-1,Lord Akah made Three Point Jumper. Assisted by Kyle Hart.,37,62
5:51,233,Austin Sparks made Jumper.,37,64
5:48,-1,Foul on Riley Nedved.,37,64
5:48,233,Austin Sparks missed Free Throw.,37,64
5:48,-1,Riley Nedved Defensive Rebound.,37,64
5:30,-1,Lord Akah made Layup.,39,64
5:20,233,Triston Simpson made Three Point Jumper. Assisted by Logan Power.,39,67
5:01,-1,Lord Akah made Three Point Jumper. Assisted by Riley Nedved.,42,67
4:47,-1,Foul on Riley Nedved.,42,67
4:47,233,Logan Power made Free Throw.,42,68
4:47,233,Logan Power made Free Throw.,42,69
4:33,-1,Riley Nedved made Layup. Assisted by Wyatt Simon.,44,69
4:18,-1,Foul on Wyatt Simon.,44,69
4:18,233,Austin Sparks made Free Throw.,44,70
4:18,233,Austin Sparks made Free Throw.,44,71
4:05,-1,Lord Akah missed Jumper.,44,71
4:05,233,Logan Power Defensive Rebound.,44,71
3:55,233,Triston Simpson made Layup.,44,73
3:41,-1,Riley Nedved missed Jumper.,44,73
3:41,233,Triston Simpson Defensive Rebound.,44,73
3:18,233,Logan Power missed Jumper.,44,73
3:18,233,Austin Sparks Offensive Rebound.,44,73
3:05,-1,Foul on Andrew Roberts.,44,73
3:05,233,Official TV Timeout,44,73
3:05,233,Joshua Doss made Free Throw.,44,74
3:05,233,Joshua Doss missed Free Throw.,44,74
3:05,-1,Charley Burtwistle Defensive Rebound.,44,74
2:48,-1,Andrew Roberts missed Three Point Jumper.,44,74
2:48,233,Joshua Doss Defensive Rebound.,44,74
2:39,233,Brandon Armstrong made Jumper.,44,76
2:25,-1,Charley Burtwistle missed Three Point Jumper.,44,76
2:25,-1,Wyatt Simon Offensive Rebound.,44,76
2:13,-1,Charley Burtwistle missed Three Point Jumper.,44,76
2:13,233,Tyler Peterson Defensive Rebound.,44,76
2:02,233,Brandon Armstrong missed Jumper.,44,76
2:02,-1,Riley Nedved Defensive Rebound.,44,76
1:31,-1,Kyle Hart missed Jumper.,44,76
1:31,233,Tyler Peterson Defensive Rebound.,44,76
1:04,233,Austin Sparks made Layup. Assisted by Joshua Doss.,44,78
0:48,233,Foul on Logan Power.,44,78
0:48,-1,Charley Burtwistle made Free Throw.,45,78
0:48,-1,Charley Burtwistle made Free Throw.,46,78
0:36,233,Logan Power made Layup. Assisted by Austin Sparks.,46,80
0:08,-1,Andrew Roberts Turnover.,46,80
0:00,233,End of Game,46,80
