Furman,61,Georgia,231
7:03,231,Daniel Fowler made Jumper.,16,20
6:53,61,William Jackson II missed Three Point Jumper.,16,20
6:53,231,Daniel Fowler Defensive Rebound.,16,20
6:37,231,Kris Acox made Layup.,18,20
6:12,61,J.J. Frazier made Three Point Jumper.,18,23
5:51,231,Devin Sibley missed Jumper.,18,23
5:51,61,J.J. Frazier Defensive Rebound.,18,23
5:45,61,J.J. Frazier made Three Point Jumper.,18,26
5:19,231,Devin Sibley Turnover.,18,26
5:19,231,Foul on Devin Sibley.,18,26
5:05,61,Jordan Harris missed Three Point Jumper.,18,26
5:05,231,Kris Acox Defensive Rebound.,18,26
4:39,231,Kris Acox made Dunk. Assisted by Daniel Fowler.,20,26
4:39,61,Foul on Houston Kessler.,20,26
4:39,231,Kris Acox made Free Throw.,21,26
4:22,231,Foul on Geoff Beans.,21,26
4:12,61,Mike Edwards missed Layup.,21,26
4:12,231,Furman Defensive Rebound.,21,26
3:59,231,Geoff Beans Turnover.,21,26
3:59,231,Foul on Geoff Beans.,21,26
3:51,61,Yante Maten missed Jumper.,21,26
3:51,61,Georgia Deadball Team Rebound.,21,26
3:48,231,Foul on Matt Rafferty.,21,26
3:48,61,Official TV Timeout,21,26
3:48,61,Mike Edwards made Free Throw.,21,27
3:48,61,Mike Edwards made Free Throw.,21,28
3:24,231,Devin Sibley missed Jumper.,21,28
3:24,231,Devin Sibley Offensive Rebound.,21,28
3:19,231,Daniel Fowler missed Three Point Jumper.,21,28
3:19,61,Georgia Deadball Team Rebound.,21,28
3:06,61,Yante Maten made Layup.,21,30
2:38,231,Kris Acox made Layup. Assisted by Daniel Fowler.,23,30
2:17,61,J.J. Frazier made Jumper.,23,32
1:53,231,Daniel Fowler made Three Point Jumper. Assisted by Kris Acox.,26,32
1:40,61,Mike Edwards made Jumper. Assisted by Jordan Harris.,26,34
1:12,231,Daniel Fowler made Jumper.,28,34
1:04,61,Pape Diatta Turnover.,28,34
1:04,61,Foul on Pape Diatta.,28,34
0:50,231,Matt Rafferty Turnover.,28,34
0:42,231,Foul on John Davis III.,28,34
0:42,61,J.J. Frazier made Free Throw.,28,35
0:42,61,J.J. Frazier made Free Throw.,28,36
0:29,231,Daniel Fowler missed Jumper.,28,36
0:29,231,Matt Rafferty Offensive Rebound.,28,36
0:00,231,John Davis III made Three Point Jumper. Assisted by Daniel Fowler.,31,36
0:00,61,End of 1st half,31,36
19:46,61,J.J. Frazier made Three Point Jumper. Assisted by Juwan Parker.,31,39
19:13,231,Daniel Fowler missed Layup.,31,39
19:13,61,Yante Maten Block.,31,39
19:13,231,Furman Offensive Rebound.,31,39
19:12,231,Geoff Beans made Three Point Jumper. Assisted by Devin Sibley.,34,39
18:53,61,Juwan Parker made Jumper.,34,41
18:35,231,John Davis III missed Three Point Jumper.,34,41
18:35,61,Yante Maten Defensive Rebound.,34,41
18:15,61,Yante Maten made Jumper.,34,43
17:59,231,John Davis III Turnover.,34,43
17:47,61,Yante Maten Turnover.,34,43
17:47,61,Foul on Yante Maten.,34,43
17:33,231,Geoff Beans missed Three Point Jumper.,34,43
17:33,61,J.J. Frazier Defensive Rebound.,34,43
17:26,231,Foul on Geoff Beans.,34,43
17:13,231,Foul on Kris Acox.,34,43
17:13,61,Derek Ogbeide missed Free Throw.,34,43
17:13,61,Georgia Deadball Team Rebound.,34,43
17:13,61,Derek Ogbeide made Free Throw.,34,44
16:54,61,Foul on Derek Ogbeide.,34,44
16:54,231,Daniel Fowler made Free Throw.,35,44
16:54,231,Daniel Fowler made Free Throw.,36,44
16:27,61,J.J. Frazier missed Three Point Jumper.,36,44
16:27,61,William Jackson II Offensive Rebound.,36,44
16:07,61,Mike Edwards Turnover.,36,44
16:07,61,Foul on Mike Edwards.,36,44
15:53,231,Daniel Fowler made Jumper.,38,44
15:24,61,Yante Maten missed Three Point Jumper.,38,44
15:24,231,Devin Sibley Defensive Rebound.,38,44
15:11,231,Kris Acox made Jumper.,40,44
14:57,231,Foul on Kris Acox.,40,44
14:57,61,Official TV Timeout,40,44
14:57,61,Yante Maten missed Free Throw.,40,44
14:57,61,Georgia Deadball Team Rebound.,40,44
14:57,61,Yante Maten made Free Throw.,40,45
14:35,231,Devin Sibley missed Jumper.,40,45
14:35,61,Mike Edwards Defensive Rebound.,40,45
14:12,61,Pape Diatta missed Three Point Jumper.,40,45
14:09,231,Foul on Andrew Brown.,40,45
14:09,61,Georgia Deadball Team Rebound.,40,45
14:02,61,Yante Maten Turnover.,40,45
14:02,61,Foul on Yante Maten.,40,45
13:45,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,43,45
13:23,61,Tyree Crump made Jumper.,43,47
13:08,231,Devin Sibley Turnover.,43,47
12:53,61,Juwan Parker missed Jumper.,43,47
12:53,231,Daniel Fowler Defensive Rebound.,43,47
12:43,61,Foul on Derek Ogbeide.,43,47
12:43,231,Andrew Brown made Free Throw.,44,47
12:43,231,Andrew Brown made Free Throw.,45,47
12:23,61,Juwan Parker missed Three Point Jumper.,45,47
12:23,231,Andrew Brown Defensive Rebound.,45,47
12:13,231,Jordan Lyons made Three Point Jumper. Assisted by Andrew Brown.,48,47
11:47,231,Foul on Matt Rafferty.,48,47
11:47,61,Official TV Timeout,48,47
11:34,61,Yante Maten Turnover.,48,47
11:33,231,Andrew Brown Steal.,48,47
11:27,231,Devin Sibley missed Three Point Jumper.,48,47
11:27,61,Mike Edwards Defensive Rebound.,48,47
11:18,61,J.J. Frazier made Layup.,48,49
11:18,231,Foul on Devin Sibley.,48,49
11:18,61,J.J. Frazier made Free Throw.,48,50
11:09,61,Foul on Kenny Paul Geno.,48,50
11:09,231,Daniel Fowler made Free Throw.,49,50
11:09,231,Daniel Fowler missed Free Throw.,49,50
11:09,61,Mike Edwards Defensive Rebound.,49,50
10:56,231,Foul on Andrew Brown.,49,50
10:56,61,Yante Maten made Free Throw.,49,51
10:56,61,Yante Maten missed Free Throw.,49,51
10:56,231,Geoff Beans Defensive Rebound.,49,51
10:38,231,Devin Sibley missed Three Point Jumper.,49,51
10:38,61,Georgia Defensive Rebound.,49,51
10:24,61,Yante Maten missed Jumper.,49,51
10:24,61,Jordan Harris Offensive Rebound.,49,51
10:02,61,Jordan Harris made Layup.,49,53
9:53,231,Furman  Timeout,49,53
9:33,231,Kris Acox Turnover.,49,53
9:14,61,Yante Maten made Layup. Assisted by Jordan Harris.,49,55
8:54,231,Andrew Brown made Three Point Jumper. Assisted by John Davis III.,52,55
8:38,61,Jordan Harris Turnover.,52,55
8:37,231,Kris Acox Steal.,52,55
8:22,61,Foul on J.J. Frazier.,52,55
8:22,231,John Davis III made Free Throw.,53,55
8:22,231,John Davis III made Free Throw.,54,55
8:10,61,Juwan Parker missed Jumper.,54,55
8:10,231,Kris Acox Defensive Rebound.,54,55
8:08,61,Foul on Derek Ogbeide.,54,55
8:08,231,Kris Acox made Free Throw.,55,55
8:07,231,Kris Acox made Free Throw.,56,55
7:36,61,William Jackson II missed Three Point Jumper.,56,55
7:36,61,Derek Ogbeide Offensive Rebound.,56,55
7:33,61,Derek Ogbeide made Two Point Tip Shot.,56,57
7:13,231,Kris Acox made Jumper. Assisted by Daniel Fowler.,58,57
6:54,61,Mike Edwards made Dunk. Assisted by Juwan Parker.,58,59
6:34,231,Daniel Fowler missed Layup.,58,59
6:34,231,Kris Acox Offensive Rebound.,58,59
6:33,231,Kris Acox missed Jumper.,58,59
6:32,61,Mike Edwards Defensive Rebound.,58,59
6:26,231,Jalen Williams Turnover.,58,59
6:26,61,Foul on Jordan Harris.,58,59
6:26,61,Official TV Timeout,58,59
6:24,231,Geoff Beans missed Jumper.,58,59
6:24,61,Juwan Parker Defensive Rebound.,58,59
6:11,61,J.J. Frazier missed Jumper.,58,59
6:11,61,Mike Edwards Offensive Rebound.,58,59
6:11,231,Foul on Matt Rafferty.,58,59
6:11,61,Yante Maten made Free Throw.,58,60
6:11,61,Yante Maten made Free Throw.,58,61
5:40,231,Daniel Fowler missed Three Point Jumper.,58,61
5:40,61,Mike Edwards Defensive Rebound.,58,61
5:34,231,Foul on Geoff Beans.,58,61
5:34,61,Yante Maten missed Free Throw.,58,61
5:34,61,Georgia Deadball Team Rebound.,58,61
5:34,61,Yante Maten made Free Throw.,58,62
5:18,61,Foul on J.J. Frazier.,58,62
5:18,231,Devin Sibley missed Free Throw.,58,62
5:18,231,Furman Deadball Team Rebound.,58,62
5:17,231,Devin Sibley made Free Throw.,59,62
4:49,61,Juwan Parker made Jumper.,59,64
4:29,231,Andrew Brown Turnover.,59,64
4:28,61,Jordan Harris Steal.,59,64
4:16,61,Juwan Parker made Jumper.,59,66
4:07,231,Furman  Timeout,59,66
4:00,231,Matt Rafferty Turnover.,59,66
3:59,231,Matt Rafferty Steal.,59,66
3:58,61,J.J. Frazier missed Three Point Jumper.,59,66
3:57,61,Yante Maten Offensive Rebound.,59,66
3:56,231,Foul on Matt Rafferty.,59,66
3:56,61,Yante Maten missed Free Throw.,59,67
3:56,61,Yante Maten made Free Throw.,59,67
3:56,231,Kris Acox Defensive Rebound.,59,67
3:44,61,Foul on J.J. Frazier.,59,67
3:44,231,Devin Sibley made Free Throw.,60,67
3:44,231,Devin Sibley missed Free Throw.,60,67
3:44,61,Jordan Harris Defensive Rebound.,60,67
3:20,231,Foul on Daniel Fowler.,60,67
3:20,61,J.J. Frazier made Free Throw.,60,68
3:20,61,J.J. Frazier made Free Throw.,60,69
3:00,231,Geoff Beans made Three Point Jumper. Assisted by Devin Sibley.,63,69
2:45,61,J.J. Frazier made Jumper.,63,71
2:31,231,Andrew Brown Turnover.,63,71
2:31,61,J.J. Frazier Steal.,63,71
2:28,61,Mike Edwards made Dunk. Assisted by J.J. Frazier.,63,73
2:08,231,Daniel Fowler made Layup.,65,73
1:43,61,J.J. Frazier missed Three Point Jumper.,65,73
1:43,231,Furman Defensive Rebound.,65,73
1:34,231,Daniel Fowler made Layup.,67,73
1:18,231,Foul on Geoff Beans.,67,73
1:18,61,J.J. Frazier made Free Throw.,67,74
1:18,61,J.J. Frazier made Free Throw.,67,75
1:11,231,Daniel Fowler missed Three Point Jumper.,67,75
1:11,61,Juwan Parker Defensive Rebound.,67,75
1:02,61,Jordan Harris made Dunk. Assisted by Yante Maten.,67,77
1:00,231,Furman  Timeout,67,77
0:45,231,Andrew Brown missed Three Point Jumper.,67,77
0:45,61,Yante Maten Defensive Rebound.,67,77
0:44,231,Foul on Kris Acox.,67,77
0:44,61,Yante Maten made Free Throw.,67,78
0:44,61,Yante Maten made Free Throw.,67,79
0:35,231,Devin Sibley made Three Point Jumper. Assisted by John Davis III.,70,79
0:35,231,Foul on Devin Sibley.,70,79
0:35,61,Juwan Parker made Free Throw.,70,80
0:35,61,Juwan Parker made Free Throw.,70,81
0:25,61,Foul on Juwan Parker.,70,81
0:25,231,Devin Sibley missed Free Throw.,70,81
0:25,231,Furman Deadball Team Rebound.,70,81
0:25,231,Devin Sibley made Free Throw.,71,81
0:25,231,Devin Sibley missed Free Throw.,71,81
0:25,231,Furman Offensive Rebound.,71,81
0:17,231,Devin Sibley made Layup.,73,81
0:17,231,Foul on John Davis III.,73,81
0:17,61,J.J. Frazier missed Free Throw.,73,81
0:17,61,Georgia Deadball Team Rebound.,73,81
0:17,61,J.J. Frazier made Free Throw.,73,82
0:10,231,Andrew Brown made Three Point Jumper. Assisted by John Davis III.,76,82
0:06,231,Foul on John Davis III.,76,82
0:06,61,J.J. Frazier made Free Throw.,76,83
0:06,61,J.J. Frazier made Free Throw.,76,84
0:01,231,Devin Sibley made Layup.,78,84
0:00,61,End of Game,78,84
