Life Pacific,Error,Pepperdine,2492
12:18,-1,Trent Rowser made Three Point Jumper. Assisted by Ramez Michail.,14,12
12:05,2492,Knox Hellums missed Layup.,14,12
12:05,2492,Craig LeCesne Offensive Rebound.,14,12
12:03,2492,Craig LeCesne made Layup.,14,14
11:44,-1,Eddie Campos missed Three Point Jumper.,14,14
11:44,2492,Craig LeCesne Defensive Rebound.,14,14
11:33,2492,Amadi Udenyi missed Three Point Jumper.,14,14
11:33,-1,Trent Rowser Defensive Rebound.,14,14
11:26,-1,Mark Eden made Layup.,16,14
11:07,2492,Knox Hellums Turnover.,16,14
11:05,-1,Eddie Campos Steal.,16,14
10:48,-1,Blake Terry missed Jumper.,16,14
10:48,2492,Elijah Lee Defensive Rebound.,16,14
10:42,2492,Knox Hellums missed Layup.,16,14
10:42,-1,Eddie Campos Block.,16,14
10:41,2492,Pepperdine Offensive Rebound.,16,14
10:40,2492,Official TV Timeout,16,14
10:32,2492,Kaijae Yee-Stephens missed Jumper.,16,14
10:32,-1,Ramez Michail Defensive Rebound.,16,14
10:27,2492,Foul on Lamond Murray Jr..,16,14
10:17,-1,Juaquin Zavala made Three Point Jumper. Assisted by Mark Eden.,19,14
9:56,2492,Lamond Murray Jr. made Jumper. Assisted by Craig LeCesne.,19,16
9:27,-1,Ramez Michail Turnover.,19,16
9:24,2492,Kaijae Yee-Stephens Steal.,19,16
9:22,2492,Lamond Murray Jr. made Layup.,19,18
9:07,-1,Juaquin Zavala made Three Point Jumper. Assisted by Mark Eden.,22,18
8:47,2492,Craig LeCesne made Layup. Assisted by Lamond Murray Jr..,22,20
8:28,-1,Mark Eden missed Three Point Jumper.,22,20
8:28,2492,Lamond Murray Jr. Defensive Rebound.,22,20
8:19,2492,Lamond Murray Jr. made Jumper.,22,22
8:04,-1,Ramez Michail missed Jumper.,22,22
8:04,2492,Craig LeCesne Defensive Rebound.,22,22
7:54,2492,Jeremy Major made Layup. Assisted by Craig LeCesne.,22,24
7:48,-1,Life Pacific  Timeout,22,24
7:30,-1,Ramez Michail missed Jumper.,22,24
7:30,2492,Chris Reyes Defensive Rebound.,22,24
7:21,-1,Foul on Hezekiah Banks.,22,24
7:21,2492,Amadi Udenyi made Free Throw.,22,25
7:21,2492,Amadi Udenyi made Free Throw.,22,26
7:00,-1,Mark Eden missed Jumper.,22,26
7:00,2492,Kevin Hempy Defensive Rebound.,22,26
6:49,2492,Amadi Udenyi made Layup. Assisted by Jeremy Major.,22,28
6:33,-1,James Noble made Layup. Assisted by Juaquin Zavala.,24,28
6:19,2492,Kevin Hempy missed Three Point Jumper.,24,28
6:19,-1,Juaquin Zavala Defensive Rebound.,24,28
5:51,2492,Foul on Jeremy Major.,24,28
5:41,-1,Trent Rowser missed Three Point Jumper.,24,28
5:41,2492,Kevin Hempy Defensive Rebound.,24,28
5:31,2492,Kaijae Yee-Stephens made Three Point Jumper. Assisted by Amadi Udenyi.,24,31
5:10,-1,Juaquin Zavala Turnover.,24,31
5:10,2492,Amadi Udenyi Steal.,24,31
5:08,2492,Amadi Udenyi made Layup.,24,33
4:46,-1,Eddie Campos missed Jumper.,24,33
4:46,2492,Chris Reyes Defensive Rebound.,24,33
4:37,2492,Jeremy Major missed Layup.,24,33
4:37,-1,Juaquin Zavala Defensive Rebound.,24,33
4:30,-1,Blake Terry made Three Point Jumper. Assisted by Elijah Todd.,27,33
4:05,2492,Kaijae Yee-Stephens missed Three Point Jumper.,27,33
4:05,-1,Trent Rowser Defensive Rebound.,27,33
3:38,2492,Foul on Kaijae Yee-Stephens.,27,33
3:38,2492,Official TV Timeout,27,33
3:38,-1,Blake Terry made Free Throw.,28,33
3:38,-1,Blake Terry made Free Throw.,29,33
3:38,-1,Blake Terry made Free Throw.,30,33
3:27,2492,Kaijae Yee-Stephens missed Three Point Jumper.,30,33
3:27,-1,Juaquin Zavala Defensive Rebound.,30,33
3:03,-1,Blake Terry made Layup.,32,33
2:47,2492,Kaijae Yee-Stephens missed Three Point Jumper.,32,33
2:47,-1,Trent Rowser Defensive Rebound.,32,33
2:25,-1,Eddie Campos Turnover.,32,33
2:11,2492,Elijah Lee missed Three Point Jumper.,32,33
2:11,-1,Elijah Todd Defensive Rebound.,32,33
2:00,-1,Juaquin Zavala Turnover.,32,33
1:59,2492,Lamond Murray Jr. Steal.,32,33
1:56,-1,Foul on Elijah Todd.,32,33
1:56,2492,Lamond Murray Jr. made Free Throw.,32,34
1:56,2492,Lamond Murray Jr. made Free Throw.,32,35
1:41,-1,Foul on Trent Rowser.,32,35
1:41,2492,Lamond Murray Jr. made Free Throw.,32,36
1:41,2492,Lamond Murray Jr. missed Free Throw.,32,36
1:41,2492,Chris Reyes Offensive Rebound.,32,36
1:39,2492,Chris Reyes made Layup.,32,38
1:06,-1,James Noble missed Layup.,32,38
1:06,2492,Lamond Murray Jr. Defensive Rebound.,32,38
0:59,2492,Lamond Murray Jr. made Jumper.,32,40
0:39,-1,Elijah Todd Turnover.,32,40
0:38,2492,Amadi Udenyi Steal.,32,40
0:34,2492,Lamond Murray Jr. missed Layup.,32,40
0:34,2492,Craig LeCesne Offensive Rebound.,32,40
0:32,2492,Craig LeCesne made Two Point Tip Shot.,32,42
0:01,-1,Blake Terry missed Three Point Jumper.,32,42
0:01,2492,Amadi Udenyi Defensive Rebound.,32,42
0:00,2492,End of 1st half,32,42
19:54,-1,Foul on Eddie Campos.,32,42
19:52,2492,Foul on Jeremy Major.,32,42
19:52,2492,Jeremy Major Turnover.,32,42
19:43,-1,Trent Rowser made Three Point Jumper. Assisted by Ramez Michail.,35,42
19:27,-1,Ramez Michail Steal.,35,42
19:27,2492,Lamond Murray Jr. Turnover.,35,42
19:08,-1,Ramez Michail missed Layup.,35,42
19:08,2492,Craig LeCesne Defensive Rebound.,35,42
19:02,2492,Craig LeCesne Turnover.,35,42
18:54,-1,Eddie Campos made Three Point Jumper. Assisted by Mark Eden.,38,42
18:44,-1,Foul on Eddie Campos.,38,42
18:44,2492,Chris Reyes made Free Throw.,38,43
18:44,2492,Chris Reyes missed Free Throw.,38,43
18:44,-1,Ramez Michail Defensive Rebound.,38,43
18:24,2492,Foul on Craig LeCesne.,38,43
18:24,-1,Mark Eden made Free Throw.,39,43
18:24,-1,Mark Eden made Free Throw.,40,43
18:09,2492,Jeremy Major missed Three Point Jumper.,40,43
18:09,-1,Ramez Michail Defensive Rebound.,40,43
17:58,-1,Ramez Michail made Three Point Jumper.,43,43
17:44,2492,Craig LeCesne made Dunk. Assisted by Amadi Udenyi.,43,45
17:30,-1,Trent Rowser missed Three Point Jumper.,43,45
17:30,-1,Mark Eden Offensive Rebound.,43,45
17:18,-1,Mark Eden made Layup.,45,45
17:06,2492,Lamond Murray Jr. made Layup. Assisted by Amadi Udenyi.,45,47
17:06,-1,Foul on Ramez Michail.,45,47
17:06,2492,Lamond Murray Jr. missed Free Throw.,45,47
17:06,-1,Blake Terry Defensive Rebound.,45,47
16:48,-1,Ramez Michail missed Three Point Jumper.,45,47
16:48,2492,Chris Reyes Defensive Rebound.,45,47
16:38,2492,Jeremy Major made Layup.,45,49
16:28,-1,Eddie Campos missed Three Point Jumper.,45,49
16:28,-1,Mark Eden Offensive Rebound.,45,49
16:26,-1,Mark Eden missed Layup.,45,49
16:26,2492,Chris Reyes Block.,45,49
16:25,-1,Trent Rowser Offensive Rebound.,45,49
16:15,2492,Foul on Chris Reyes.,45,49
16:15,-1,Blake Terry made Free Throw.,46,49
16:15,-1,Blake Terry made Free Throw.,47,49
16:01,2492,Amadi Udenyi Turnover.,47,49
15:57,-1,Ramez Michail Turnover.,47,49
15:57,2492,Amadi Udenyi Steal.,47,49
15:56,2492,Amadi Udenyi made Layup.,47,51
15:39,2492,Foul on Jonathan Allen.,47,51
15:39,2492,Official TV Timeout,47,51
15:19,-1,Mark Eden missed Layup.,47,51
15:19,2492,Chris Reyes Block.,47,51
15:18,-1,Life Pacific Offensive Rebound.,47,51
15:13,-1,Mark Eden missed Jumper.,47,51
15:13,2492,Jonathan Allen Defensive Rebound.,47,51
15:03,2492,Amadi Udenyi Turnover.,47,51
15:02,-1,Ramez Michail Steal.,47,51
14:58,-1,Trent Rowser made Dunk.,49,51
14:38,2492,Lamond Murray Jr. missed Dunk.,49,51
14:38,2492,Jonathan Allen Offensive Rebound.,49,51
14:36,2492,Jonathan Allen missed Layup.,49,51
14:36,2492,Chris Reyes Offensive Rebound.,49,51
14:24,2492,Chris Reyes made Layup.,49,53
14:16,-1,Trent Rowser missed Jumper.,49,53
14:16,2492,Chris Reyes Defensive Rebound.,49,53
14:08,2492,Amadi Udenyi missed Layup.,49,53
14:08,2492,Pepperdine Offensive Rebound.,49,53
13:56,-1,Foul on Blake Terry.,49,53
13:56,2492,Elijah Lee missed Free Throw.,49,53
13:56,2492,Pepperdine Deadball Team Rebound.,49,53
13:56,2492,Elijah Lee made Free Throw.,49,54
13:39,-1,Trent Rowser missed Dunk.,49,54
13:39,2492,Lamond Murray Jr. Defensive Rebound.,49,54
13:34,2492,Jonathan Allen made Layup. Assisted by Lamond Murray Jr..,49,56
13:17,-1,Eddie Campos missed Three Point Jumper.,49,56
13:17,2492,Lamond Murray Jr. Defensive Rebound.,49,56
13:09,2492,Amadi Udenyi made Layup. Assisted by Lamond Murray Jr..,49,58
13:00,-1,Life Pacific  Timeout,49,58
12:49,-1,Ramez Michail made Jumper.,51,58
12:29,2492,Chris Reyes made Layup. Assisted by Jonathan Allen.,51,60
12:07,-1,Ramez Michail missed Layup.,51,60
12:07,2492,Chris Reyes Block.,51,60
12:06,2492,Chris Reyes Defensive Rebound.,51,60
11:58,2492,Lamond Murray Jr. made Three Point Jumper. Assisted by Amadi Udenyi.,51,63
11:36,-1,Mark Eden missed Layup.,51,63
11:36,2492,Lamond Murray Jr. Defensive Rebound.,51,63
11:30,2492,Amadi Udenyi Turnover.,51,63
11:29,-1,Mark Eden Steal.,51,63
11:21,-1,Ramez Michail made Three Point Jumper. Assisted by Mark Eden.,54,63
11:08,2492,Lamond Murray Jr. made Three Point Jumper. Assisted by Amadi Udenyi.,54,66
10:49,-1,Eddie Campos missed Three Point Jumper.,54,66
10:49,2492,Amadi Udenyi Defensive Rebound.,54,66
10:41,2492,Amadi Udenyi missed Layup.,54,66
10:41,2492,Chris Reyes Offensive Rebound.,54,66
10:40,-1,Foul on Ramez Michail.,54,66
10:40,2492,Official TV Timeout,54,66
10:40,2492,Chris Reyes made Free Throw.,54,67
10:40,2492,Chris Reyes missed Free Throw.,54,67
10:40,2492,Lamond Murray Jr. Offensive Rebound.,54,67
10:39,2492,Lamond Murray Jr. made Layup.,54,69
10:24,-1,Ramez Michail made Layup.,56,69
10:11,-1,Foul on Hezekiah Banks.,56,69
10:09,2492,Lamond Murray Jr. missed Jumper.,56,69
10:09,2492,Elijah Lee Offensive Rebound.,56,69
10:05,2492,Elijah Lee Turnover.,56,69
9:51,-1,Ramez Michail made Jumper.,58,69
9:30,2492,Elijah Lee made Layup. Assisted by Lamond Murray Jr..,58,71
9:14,-1,Mark Eden missed Three Point Jumper.,58,71
9:14,2492,Knox Hellums Defensive Rebound.,58,71
9:06,2492,Jeremy Major missed Three Point Jumper.,58,71
9:06,-1,Life Pacific Defensive Rebound.,58,71
9:03,2492,Foul on Lamond Murray Jr..,58,71
8:47,-1,Juaquin Zavala missed Three Point Jumper.,58,71
8:47,2492,Craig LeCesne Defensive Rebound.,58,71
8:37,2492,Knox Hellums missed Three Point Jumper.,58,71
8:37,2492,Craig LeCesne Offensive Rebound.,58,71
8:34,2492,Craig LeCesne made Layup.,58,73
8:18,-1,Ramez Michail Turnover.,58,73
8:17,2492,Elijah Lee Steal.,58,73
8:15,2492,Elijah Lee missed Layup.,58,73
8:15,2492,Pepperdine Offensive Rebound.,58,73
8:02,2492,Craig LeCesne Turnover.,58,73
8:02,2492,Foul on Craig LeCesne.,58,73
7:50,-1,Ramez Michail missed Layup.,58,73
7:50,2492,Jeremy Major Block.,58,73
7:47,2492,Craig LeCesne Defensive Rebound.,58,73
7:44,2492,Craig LeCesne Turnover.,58,73
7:44,2492,Foul on Craig LeCesne.,58,73
7:44,2492,Official TV Timeout,58,73
7:28,-1,Ramez Michail made Layup.,60,73
7:07,2492,Kaijae Yee-Stephens missed Three Point Jumper.,60,73
7:07,-1,Juaquin Zavala Defensive Rebound.,60,73
6:53,-1,James Noble missed Jumper.,60,73
6:53,-1,Life Pacific Offensive Rebound.,60,73
6:44,-1,James Noble made Three Point Jumper. Assisted by Mark Eden.,63,73
6:28,2492,Knox Hellums made Jumper.,63,75
6:18,-1,Mark Eden missed Layup.,63,75
6:18,2492,Knox Hellums Block.,63,75
6:17,-1,Life Pacific Offensive Rebound.,63,75
6:09,2492,Foul on Craig LeCesne.,63,75
6:09,-1,Ramez Michail made Free Throw.,64,75
6:09,-1,Ramez Michail made Free Throw.,65,75
5:59,2492,Knox Hellums missed Three Point Jumper.,65,75
5:59,-1,Hezekiah Banks Defensive Rebound.,65,75
5:49,-1,Juaquin Zavala made Layup. Assisted by Mark Eden.,67,75
5:21,2492,Knox Hellums Turnover.,67,75
5:04,-1,Juaquin Zavala missed Three Point Jumper.,67,75
5:04,2492,Elijah Lee Defensive Rebound.,67,75
4:54,-1,Foul on Hezekiah Banks.,67,75
4:54,2492,Chris Reyes made Free Throw.,67,76
4:54,2492,Chris Reyes missed Free Throw.,67,76
4:54,-1,Ramez Michail Defensive Rebound.,67,76
4:28,-1,Eddie Campos missed Three Point Jumper.,67,76
4:28,-1,Blake Terry Offensive Rebound.,67,76
4:24,-1,Blake Terry made Layup.,69,76
4:07,-1,Foul on Blake Terry.,69,76
4:07,2492,Amadi Udenyi made Free Throw.,69,77
4:07,2492,Amadi Udenyi missed Free Throw.,69,77
4:07,-1,Trent Rowser Defensive Rebound.,69,77
4:00,2492,Foul on Chris Reyes.,69,77
4:00,-1,Ramez Michail made Free Throw.,70,77
4:00,-1,Ramez Michail made Free Throw.,71,77
3:55,-1,Foul on Ramez Michail.,71,77
3:55,2492,Official TV Timeout,71,77
3:55,2492,Lamond Murray Jr. missed Free Throw.,71,77
3:55,-1,Trent Rowser Defensive Rebound.,71,77
3:37,-1,Mark Eden made Layup.,73,77
3:15,2492,Jeremy Major missed Three Point Jumper.,73,77
3:15,-1,Life Pacific Defensive Rebound.,73,77
2:47,-1,Mark Eden made Layup.,75,77
2:33,2492,Amadi Udenyi made Layup.,75,79
2:15,-1,Eddie Campos made Jumper.,77,79
2:08,2492,Pepperdine  Timeout,77,79
2:01,-1,Foul on Eddie Campos.,77,79
2:01,2492,Chris Reyes missed Free Throw.,77,79
2:01,2492,Pepperdine Deadball Team Rebound.,77,79
2:01,2492,Chris Reyes missed Free Throw.,77,79
2:01,-1,Eddie Campos Defensive Rebound.,77,79
1:45,-1,Eddie Campos missed Three Point Jumper.,77,79
1:45,-1,Trent Rowser Offensive Rebound.,77,79
1:40,-1,Trent Rowser made Layup.,79,79
1:30,2492,Amadi Udenyi missed Layup.,79,79
1:30,-1,Trent Rowser Block.,79,79
1:28,-1,Trent Rowser Defensive Rebound.,79,79
1:06,-1,Eddie Campos missed Layup.,79,79
1:06,2492,Chris Reyes Block.,79,79
1:05,-1,James Noble Offensive Rebound.,79,79
1:02,-1,Mark Eden missed Three Point Jumper.,79,79
1:02,2492,Amadi Udenyi Defensive Rebound.,79,79
1:00,-1,Foul on Trent Rowser.,79,79
1:00,2492,Amadi Udenyi made Free Throw.,79,80
1:00,2492,Amadi Udenyi made Free Throw.,79,81
0:49,-1,Trent Rowser missed Three Point Jumper.,79,81
0:49,2492,Amadi Udenyi Defensive Rebound.,79,81
0:41,2492,Lamond Murray Jr. made Layup. Assisted by Jeremy Major.,79,83
0:29,-1,Elijah Todd missed Layup.,79,83
0:29,2492,Lamond Murray Jr. Block.,79,83
0:28,-1,Trent Rowser Offensive Rebound.,79,83
0:27,-1,Trent Rowser missed Layup.,79,83
0:27,2492,Lamond Murray Jr. Block.,79,83
0:26,2492,Amadi Udenyi Defensive Rebound.,79,83
0:18,-1,Foul on Mark Eden.,79,83
0:18,2492,Amadi Udenyi made Free Throw.,79,84
0:18,2492,Amadi Udenyi made Free Throw.,79,85
0:10,-1,Trent Rowser missed Three Point Jumper.,79,85
0:10,2492,Amadi Udenyi Defensive Rebound.,79,85
0:00,2492,End of Game,79,85
