Eastern Illinois,139,Saint Louis,2197
18:24,139,Davell Roby Defensive Rebound.,44,38
18:15,2197,Foul on Patrick Muldoon.,44,38
18:03,139,Reggie Agbeko missed Layup.,44,38
18:03,2197,Muusa Dama Defensive Rebound.,44,38
17:53,2197,Ray Crossland Turnover.,44,38
17:40,139,Reggie Agbeko made Layup. Assisted by Jermaine Bishop.,44,40
17:12,2197,Muusa Dama missed Layup.,44,40
17:12,139,Reggie Agbeko Block.,44,40
17:10,139,Jermaine Bishop Defensive Rebound.,44,40
17:08,139,Davell Roby made Three Point Jumper. Assisted by Jermaine Bishop.,44,43
16:55,2197,Eastern Illinois  Timeout,44,43
16:55,139,Official TV Timeout,44,43
16:43,139,Foul on Reggie Agbeko.,44,43
16:39,2197,Muusa Dama missed Layup.,44,43
16:39,139,Saint Louis Defensive Rebound.,44,43
16:17,139,Elliott Welmer made Three Point Jumper. Assisted by Jermaine Bishop.,44,46
15:43,2197,Ray Crossland missed Jumper.,44,46
15:43,2197,Patrick Muldoon Offensive Rebound.,44,46
15:39,139,Foul on Reggie Agbeko.,44,46
15:39,139,Official TV Timeout,44,46
15:24,2197,Demetrius McReynolds Turnover.,44,46
15:23,139,Jermaine Bishop Steal.,44,46
15:20,139,Jermaine Bishop missed Layup.,44,46
15:20,2197,Muusa Dama Block.,44,46
15:18,139,Saint Louis Offensive Rebound.,44,46
15:09,139,Jermaine Bishop Turnover.,44,46
15:08,2197,Muusa Dama Steal.,44,46
14:54,2197,Ray Crossland missed Jumper.,44,46
14:54,139,Mike Crawford Defensive Rebound.,44,46
14:33,139,Reggie Agbeko Turnover.,44,46
14:32,2197,Ray Crossland Steal.,44,46
14:28,139,Foul on Mike Crawford.,44,46
14:19,2197,Montell Goodwin missed Jumper.,44,46
14:19,139,Elliott Welmer Defensive Rebound.,44,46
14:00,139,Reggie Agbeko made Layup. Assisted by Jermaine Bishop.,44,48
13:33,2197,Casey Teson made Jumper. Assisted by Patrick Muldoon.,46,48
13:12,139,Elliott Welmer made Layup. Assisted by Mike Crawford.,46,50
12:58,2197,Montell Goodwin missed Layup.,46,50
12:58,139,Elliott Welmer Defensive Rebound.,46,50
12:52,139,Mike Crawford missed Three Point Jumper.,46,50
12:52,2197,Patrick Muldoon Defensive Rebound.,46,50
12:44,139,Foul on Elliott Welmer.,46,50
12:44,2197,Ray Crossland made Free Throw.,47,50
12:44,2197,Ray Crossland made Free Throw.,48,50
12:34,139,Jermaine Bishop made Jumper.,48,52
12:11,2197,Casey Teson missed Three Point Jumper.,48,52
12:11,139,Jermaine Bishop Defensive Rebound.,48,52
11:55,139,Jalen Johnson missed Layup.,48,52
11:55,2197,Ray Crossland Defensive Rebound.,48,52
11:48,2197,Ray Crossland Turnover.,48,52
11:48,139,Official TV Timeout,48,52
11:37,2197,Foul on Ray Crossland.,48,52
11:22,139,Davell Roby missed Three Point Jumper.,48,52
11:22,139,Jalen Johnson Offensive Rebound.,48,52
11:17,139,Jalen Johnson made Layup.,48,54
11:05,2197,Montell Goodwin missed Jumper.,48,54
11:05,2197,Muusa Dama Offensive Rebound.,48,54
11:01,2197,Muusa Dama made Layup.,50,54
10:40,139,Jermaine Bishop Turnover.,50,54
10:40,2197,Ray Crossland Steal.,50,54
10:40,139,Foul on Davell Roby.,50,54
10:19,2197,Cornell Johnston made Jumper. Assisted by Ray Crossland.,52,54
10:08,139,Foul on Reggie Agbeko.,52,54
10:08,139,Reggie Agbeko Turnover.,52,54
9:51,2197,Patrick Muldoon missed Jumper.,52,54
9:51,139,Zeke Moore Defensive Rebound.,52,54
9:37,139,Jermaine Bishop made Layup.,52,56
9:20,2197,Ray Crossland made Jumper. Assisted by Montell Goodwin.,54,56
8:56,139,Matt Neufeld missed Jumper.,54,56
8:56,139,Jalen Johnson Offensive Rebound.,54,56
8:55,2197,Foul on Patrick Muldoon.,54,56
8:55,139,Jalen Johnson missed Free Throw.,54,56
8:55,139,Saint Louis Deadball Team Rebound.,54,56
8:55,139,Jalen Johnson made Free Throw.,54,57
8:39,2197,Casey Teson made Three Point Jumper. Assisted by Demetrius McReynolds.,57,57
8:24,139,Davell Roby Turnover.,57,57
8:22,2197,Cornell Johnston Steal.,57,57
8:19,2197,Demetrius McReynolds missed Three Point Jumper.,57,57
8:19,2197,Aboubacar Diallo Offensive Rebound.,57,57
7:53,2197,Casey Teson missed Three Point Jumper.,57,57
7:53,139,Reggie Agbeko Defensive Rebound.,57,57
7:45,139,Jermaine Bishop missed Layup.,57,57
7:45,2197,Patrick Muldoon Defensive Rebound.,57,57
7:41,2197,Patrick Muldoon Turnover.,57,57
7:40,139,Jermaine Bishop Steal.,57,57
7:38,139,Mike Crawford missed Three Point Jumper.,57,57
7:38,2197,Demetrius McReynolds Defensive Rebound.,57,57
7:21,2197,Demetrius McReynolds missed Three Point Jumper.,57,57
7:21,2197,Aboubacar Diallo Offensive Rebound.,57,57
7:16,2197,Aboubacar Diallo Turnover.,57,57
7:15,139,Mike Crawford Steal.,57,57
6:54,139,Elliott Welmer missed Three Point Jumper.,57,57
6:54,2197,Patrick Muldoon Defensive Rebound.,57,57
6:27,2197,Aboubacar Diallo missed Layup.,57,57
6:27,2197,Patrick Muldoon Offensive Rebound.,57,57
6:23,2197,Patrick Muldoon made Layup.,59,57
6:11,139,Mike Crawford missed Layup.,59,57
6:11,2197,Patrick Muldoon Defensive Rebound.,59,57
5:48,2197,Casey Teson missed Jumper.,59,57
5:44,139,Saint Louis Defensive Rebound.,59,57
5:44,139,Official TV Timeout,59,57
5:30,2197,Foul on Muusa Dama.,59,57
5:29,139,Davell Roby made Three Point Jumper. Assisted by Mike Crawford.,59,60
5:07,2197,Montell Goodwin Turnover.,59,60
5:06,139,Mike Crawford Steal.,59,60
5:02,139,Mike Crawford made Dunk. Assisted by Jermaine Bishop.,59,62
4:49,2197,Muusa Dama missed Jumper.,59,62
4:49,139,Reggie Agbeko Defensive Rebound.,59,62
4:19,139,Jermaine Bishop missed Three Point Jumper.,59,62
4:19,2197,Muusa Dama Defensive Rebound.,59,62
4:00,2197,Ray Crossland made Jumper. Assisted by Cornell Johnston.,61,62
3:46,2197,Foul on Demetrius McReynolds.,61,62
3:46,139,Official TV Timeout,61,62
3:40,139,Reggie Agbeko made Jumper. Assisted by Mike Crawford.,61,64
3:23,2197,Montell Goodwin missed Three Point Jumper.,61,64
3:23,139,Elliott Welmer Defensive Rebound.,61,64
3:05,139,Reggie Agbeko Turnover.,61,64
2:53,2197,Ray Crossland missed Jumper.,61,64
2:53,2197,Muusa Dama Offensive Rebound.,61,64
2:49,2197,Muusa Dama missed Two Point Tip Shot.,61,64
2:49,2197,Muusa Dama Offensive Rebound.,61,64
2:48,139,Foul on Reggie Agbeko.,61,64
2:48,2197,Muusa Dama missed Free Throw.,61,64
2:48,2197,Eastern Illinois Deadball Team Rebound.,61,64
2:48,2197,Muusa Dama made Free Throw.,62,64
2:36,139,Reggie Agbeko made Layup. Assisted by Jermaine Bishop.,62,66
2:22,2197,Cornell Johnston missed Three Point Jumper.,62,66
2:21,139,Jermaine Bishop Block.,62,66
2:20,2197,Patrick Muldoon Offensive Rebound.,62,66
2:18,139,Foul on Reggie Agbeko.,62,66
2:18,2197,Muusa Dama made Free Throw.,63,66
2:18,2197,Muusa Dama made Free Throw.,64,66
2:06,139,Elliott Welmer made Layup. Assisted by Mike Crawford.,64,68
2:06,2197,Foul on Muusa Dama.,64,68
2:06,139,Elliott Welmer made Free Throw.,64,69
1:55,2197,Muusa Dama missed Layup.,64,69
1:55,139,Jalen Johnson Block.,64,69
1:52,139,Jermaine Bishop Defensive Rebound.,64,69
1:36,139,Davell Roby missed Layup.,64,69
1:36,2197,Casey Teson Defensive Rebound.,64,69
1:27,2197,Ray Crossland Turnover.,64,69
1:26,139,Elliott Welmer Steal.,64,69
1:24,139,Jermaine Bishop Turnover.,64,69
1:23,2197,Ray Crossland Steal.,64,69
1:21,2197,Ray Crossland missed Layup.,64,69
1:21,139,Mike Crawford Defensive Rebound.,64,69
0:55,139,Jermaine Bishop missed Layup.,64,69
0:55,2197,Demetrius McReynolds Defensive Rebound.,64,69
0:47,2197,Ray Crossland missed Three Point Jumper.,64,69
0:47,139,Mike Crawford Defensive Rebound.,64,69
0:36,2197,Foul on Montell Goodwin.,64,69
0:36,139,Jermaine Bishop missed Free Throw.,64,69
0:36,2197,Montell Goodwin Defensive Rebound.,64,69
0:30,2197,Montell Goodwin made Three Point Jumper.,67,69
0:29,2197,Eastern Illinois  Timeout,67,69
0:21,139,Mike Crawford Turnover.,67,69
0:20,2197,Cornell Johnston Steal.,67,69
0:16,2197,Casey Teson missed Three Point Jumper.,67,69
0:16,139,Elliott Welmer Defensive Rebound.,67,69
0:12,2197,Foul on Cornell Johnston.,67,69
0:12,139,Elliott Welmer made Free Throw.,67,70
0:12,139,Elliott Welmer made Free Throw.,67,71
0:12,139,Saint Louis  Timeout,67,71
0:08,139,Foul on Jermaine Bishop.,67,71
0:08,2197,Cornell Johnston made Free Throw.,68,71
0:08,2197,Cornell Johnston made Free Throw.,69,71
0:04,2197,Foul on Muusa Dama.,69,71
0:04,139,Mike Crawford made Free Throw.,69,72
0:04,139,Mike Crawford missed Free Throw.,69,72
0:04,139,Saint Louis Deadball Team Rebound.,69,72
0:04,2197,Eastern Illinois  Timeout,69,72
0:04,2197,Foul on Patrick Muldoon.,69,72
0:04,139,Jermaine Bishop made Free Throw.,69,73
0:04,139,Jermaine Bishop made Free Throw.,69,74
0:03,2197,Casey Teson Turnover.,69,74
0:02,139,Jalen Johnson Steal.,69,74
0:00,139,End of Game,69,74
