Fontbonne,2623,Missouri State,459
7:42,2623,Obediah Church made Free Throw.,7,32
7:26,-1,Trey Watkins Turnover.,7,32
7:18,2623,Ryan Kreklow made Three Point Jumper. Assisted by Ronnie Rousseau III.,7,35
7:03,2623,Foul on Alize Johnson.,7,35
7:03,-1,Tyler Schwartz Turnover.,7,35
6:51,2623,Jordan Martin made Jumper.,7,37
6:51,-1,Foul on Jeff Smith.,7,37
6:51,2623,Jordan Martin made Free Throw.,7,38
6:38,-1,Jack Lake made Jumper.,9,38
6:17,2623,Jarred Dixon missed Jumper.,9,38
6:17,-1,Josh Calloni Defensive Rebound.,9,38
6:02,-1,Thomas Ritter missed Three Point Jumper.,9,38
6:02,2623,Chris Kendrix Defensive Rebound.,9,38
5:54,2623,Ryan Kreklow made Three Point Jumper. Assisted by Jarred Dixon.,9,41
5:41,-1,Foul on Zac Ridenhour.,9,41
5:41,-1,Zac Ridenhour Turnover.,9,41
5:24,2623,Foul on Chris Kendrix.,9,41
5:24,2623,Chris Kendrix Turnover.,9,41
4:57,-1,Tyler Schwartz Turnover.,9,41
4:55,2623,Jarred Dixon Steal.,9,41
4:54,2623,Jarred Dixon missed Dunk.,9,41
4:54,-1,Tyler Schwartz Defensive Rebound.,9,41
4:27,-1,Josh Calloni missed Jumper.,9,41
4:27,2623,Jarrid Rhodes Defensive Rebound.,9,41
4:19,2623,Ryan Kreklow made Layup.,9,43
4:03,-1,Thomas Ritter missed Three Point Jumper.,9,43
4:03,-1,Fontbonne Offensive Rebound.,9,43
3:59,-1,Zac Ridenhour missed Jumper.,9,43
3:59,2623,Robin Thompson Defensive Rebound.,9,43
3:49,2623,Ryan Kreklow missed Three Point Jumper.,9,43
3:49,2623,Missouri St Deadball Team Rebound.,9,43
3:47,-1,Foul on Jack Lake.,9,43
3:47,2623,Official TV Timeout,9,43
3:47,2623,Jordan Martin made Free Throw.,9,44
3:47,2623,Jordan Martin missed Free Throw.,9,44
3:47,-1,James Wiggins Defensive Rebound.,9,44
3:31,-1,Dallas Haywood missed Jumper.,9,44
3:31,-1,Fontbonne Deadball Team Rebound.,9,44
3:29,2623,Foul on Jordan Martin.,9,44
3:29,-1,James Wiggins made Free Throw.,10,44
3:29,-1,James Wiggins made Free Throw.,11,44
3:03,2623,Ronnie Rousseau III made Jumper.,11,46
2:46,-1,James Wiggins missed Jumper.,11,46
2:46,2623,Jarrid Rhodes Block.,11,46
2:44,2623,Jordan Martin Defensive Rebound.,11,46
2:37,2623,Chris Kendrix made Three Point Jumper. Assisted by Jarrid Rhodes.,11,49
2:09,-1,Logan Kelley-Wolff missed Jumper.,11,49
2:09,2623,Jordan Martin Block.,11,49
2:07,2623,Robin Thompson Defensive Rebound.,11,49
2:05,-1,Foul on Logan Kelley-Wolff.,11,49
2:05,2623,Chris Kendrix made Free Throw.,11,50
2:05,2623,Chris Kendrix made Free Throw.,11,51
1:49,-1,Rio Justice Chandler made Jumper.,13,51
1:33,2623,Chris Kendrix missed Three Point Jumper.,13,51
1:33,-1,Rio Justice Chandler Defensive Rebound.,13,51
1:25,2623,Foul on Jordan Martin.,13,51
1:25,-1,Rio Justice Chandler made Free Throw.,14,51
1:25,-1,Rio Justice Chandler made Free Throw.,15,51
1:06,2623,Dequon Miller missed Three Point Jumper.,15,51
1:06,2623,Chris Kendrix Offensive Rebound.,15,51
0:57,2623,Chris Kendrix made Three Point Jumper. Assisted by Dequon Miller.,15,54
0:37,-1,Dallas Haywood Turnover.,15,54
0:11,2623,Dequon Miller Turnover.,15,54
0:09,-1,Dallas Haywood Steal.,15,54
0:07,-1,Kris McCann missed Three Point Jumper.,15,54
0:07,2623,Missouri St Deadball Team Rebound.,15,54
0:01,2623,Chris Kendrix missed Three Point Jumper.,15,54
0:01,-1,Fontbonne Deadball Team Rebound.,15,54
0:00,2623,End of 1st half,15,54
19:43,-1,Jeff Smith Turnover.,15,54
19:41,2623,Ryan Kreklow Steal.,15,54
19:39,2623,Ryan Kreklow Turnover.,15,54
19:38,-1,Rio Justice Chandler Steal.,15,54
19:17,-1,Jeff Smith made Jumper.,17,54
18:59,2623,Ronnie Rousseau III missed Jumper.,17,54
18:59,-1,Fontbonne Defensive Rebound.,17,54
18:39,-1,Trey Watkins missed Jumper.,17,54
18:39,2623,Obediah Church Defensive Rebound.,17,54
18:35,-1,Foul on Jeff Smith.,17,54
18:04,2623,Alize Johnson missed Layup.,17,54
18:04,2623,Ryan Kreklow Offensive Rebound.,17,54
17:57,2623,Ronnie Rousseau III made Layup.,17,56
17:34,-1,Rio Justice Chandler missed Jumper.,17,56
17:34,2623,Dequon Miller Defensive Rebound.,17,56
17:28,-1,Foul on Trey Watkins.,17,56
17:08,2623,Ryan Kreklow missed Jumper.,17,56
17:08,2623,Alize Johnson Offensive Rebound.,17,56
17:06,2623,Alize Johnson made Jumper.,17,58
16:46,-1,Jeff Smith missed Jumper.,17,58
16:46,2623,Obediah Church Block.,17,58
16:43,2623,Ronnie Rousseau III Defensive Rebound.,17,58
16:41,2623,Ronnie Rousseau III made Layup.,17,60
16:15,2623,Foul on Obediah Church.,17,60
16:11,-1,Dallas Haywood Turnover.,17,60
15:54,2623,Obediah Church missed Jumper.,17,60
15:54,-1,Rio Justice Chandler Defensive Rebound.,17,60
15:41,-1,Foul on Trey Watkins.,17,60
15:41,-1,Trey Watkins Turnover.,17,60
15:41,2623,Official TV Timeout,17,60
15:31,-1,Foul on Orkan Bakis.,17,60
15:20,2623,Ryan Kreklow missed Jumper.,17,60
15:20,2623,Obediah Church Offensive Rebound.,17,60
15:11,-1,Foul on Orkan Bakis.,17,60
15:11,2623,Ronnie Rousseau III missed Free Throw.,17,60
15:11,2623,Missouri St Deadball Team Rebound.,17,60
15:11,2623,Ronnie Rousseau III missed Free Throw.,17,60
15:11,-1,Orkan Bakis Defensive Rebound.,17,60
14:43,-1,James Wiggins missed Jumper.,17,60
14:43,2623,Obediah Church Block.,17,60
14:43,-1,Fontbonne Offensive Rebound.,17,60
14:42,-1,Orkan Bakis made Jumper. Assisted by Garrett McDowell.,19,60
14:32,2623,Chris Kendrix missed Jumper.,19,60
14:32,-1,Orkan Bakis Defensive Rebound.,19,60
14:19,-1,Foul on Jeff Smith.,19,60
14:19,-1,Jeff Smith Turnover.,19,60
14:04,-1,Foul on James Wiggins.,19,60
14:04,2623,Dequon Miller made Free Throw.,19,61
14:04,2623,Dequon Miller made Free Throw.,19,62
13:43,-1,Jack Lake Turnover.,19,62
13:43,2623,Jordan Martin Steal.,19,62
13:39,2623,Dequon Miller missed Jumper.,19,62
13:39,-1,Tyler Schwartz Block.,19,62
13:38,2623,Dequon Miller Offensive Rebound.,19,62
13:36,2623,Chris Kendrix missed Three Point Jumper.,19,62
13:36,-1,Jack Lake Defensive Rebound.,19,62
13:22,2623,Foul on Chris Kendrix.,19,62
13:22,-1,Jack Lake missed Free Throw.,19,62
13:22,-1,Fontbonne Deadball Team Rebound.,19,62
13:22,-1,Jack Lake missed Free Throw.,19,62
13:22,2623,Jarrid Rhodes Defensive Rebound.,19,62
13:09,2623,Jordan Martin made Layup. Assisted by Jarrid Rhodes.,19,64
12:40,-1,Tyler Schwartz missed Three Point Jumper.,19,64
12:40,2623,Jarred Dixon Defensive Rebound.,19,64
12:33,-1,Foul on Tyler Schwartz.,19,64
12:33,2623,Jarred Dixon made Free Throw.,19,65
12:33,2623,Jarred Dixon made Free Throw.,19,66
12:19,-1,Jack Lake missed Three Point Jumper.,19,66
12:19,2623,Ronnie Rousseau III Defensive Rebound.,19,66
12:10,2623,Ronnie Rousseau III missed Layup.,19,66
12:10,-1,Orkan Bakis Defensive Rebound.,19,66
11:56,-1,Garrett McDowell missed Three Point Jumper.,19,66
11:56,2623,Chris Kendrix Defensive Rebound.,19,66
11:44,-1,Foul on Tyler Schwartz.,19,66
11:44,2623,Official TV Timeout,19,66
11:44,2623,Chris Kendrix made Free Throw.,19,67
11:44,2623,Chris Kendrix made Free Throw.,19,68
11:23,-1,Josh Calloni missed Three Point Jumper.,19,68
11:23,2623,Jarrid Rhodes Defensive Rebound.,19,68
11:14,2623,Jarrid Rhodes made Three Point Jumper. Assisted by Jarred Dixon.,19,71
10:49,-1,Dallas Haywood Turnover.,19,71
10:49,2623,Jordan Martin Steal.,19,71
10:29,2623,Jarrid Rhodes made Jumper.,19,73
10:10,-1,Kris McCann missed Jumper.,19,73
10:10,2623,Alize Johnson Defensive Rebound.,19,73
9:54,2623,Jarrid Rhodes Turnover.,19,73
9:54,-1,Kris McCann Steal.,19,73
9:51,-1,Kris McCann missed Layup.,19,73
9:51,2623,Jarred Dixon Defensive Rebound.,19,73
9:44,2623,Ronnie Rousseau III made Layup. Assisted by Jarred Dixon.,19,75
9:28,-1,Rio Justice Chandler missed Jumper.,19,75
9:28,2623,Alize Johnson Defensive Rebound.,19,75
9:08,2623,Chris Kendrix missed Three Point Jumper.,19,75
9:08,-1,Kris McCann Defensive Rebound.,19,75
8:59,-1,Kris McCann made Layup.,21,75
8:47,2623,Chris Kendrix made Three Point Jumper. Assisted by Jarred Dixon.,21,78
8:32,2623,Foul on Jarrid Rhodes.,21,78
8:07,-1,Kris McCann Turnover.,21,78
8:06,2623,Alize Johnson Steal.,21,78
7:56,-1,Foul on Anthony Loper.,21,78
7:56,2623,Official TV Timeout,21,78
7:56,2623,Ryan Kreklow made Free Throw.,21,79
7:56,2623,Ryan Kreklow made Free Throw.,21,80
7:33,-1,Kris McCann missed Jumper.,21,80
7:33,2623,Obediah Church Block.,21,80
7:31,2623,Jarred Dixon Defensive Rebound.,21,80
7:22,2623,Jarred Dixon Turnover.,21,80
6:59,-1,Kris McCann missed Three Point Jumper.,21,80
6:59,-1,Logan Kelley-Wolff Offensive Rebound.,21,80
6:50,-1,Fontbonne  Turnover.,21,80
6:34,-1,Foul on Logan Kelley-Wolff.,21,80
6:34,2623,Obediah Church missed Free Throw.,21,80
6:34,2623,Missouri St Deadball Team Rebound.,21,80
6:34,2623,Obediah Church made Free Throw.,21,81
6:20,-1,Anthony Loper Turnover.,21,81
6:19,2623,Dequon Miller Steal.,21,81
5:59,2623,Dequon Miller made Jumper.,21,83
5:44,-1,Foul on Tyler Schwartz.,21,83
5:44,-1,Tyler Schwartz Turnover.,21,83
5:23,2623,Dequon Miller missed Jumper.,21,83
5:23,2623,Alize Johnson Offensive Rebound.,21,83
5:22,2623,Alize Johnson made Jumper.,21,85
5:19,-1,Foul on Logan Kelley-Wolff.,21,85
5:19,2623,Alize Johnson missed Free Throw.,21,85
5:19,-1,Fontbonne Deadball Team Rebound.,21,85
5:18,2623,Foul on Ryan Kreklow.,21,85
5:09,-1,Dallas Haywood made Jumper.,23,85
4:47,2623,Jarred Dixon missed Jumper.,23,85
4:47,2623,Dequon Miller Offensive Rebound.,23,85
4:34,2623,Jordan Martin made Jumper. Assisted by Jarred Dixon.,23,87
4:08,-1,Dallas Haywood missed Three Point Jumper.,23,87
4:08,2623,Alize Johnson Defensive Rebound.,23,87
3:54,-1,Foul on Anthony Loper.,23,87
3:54,2623,Official TV Timeout,23,87
3:54,2623,Ryan Kreklow made Free Throw.,23,88
3:54,2623,Ryan Kreklow made Free Throw.,23,89
3:30,-1,Trey Miller missed Jumper.,23,89
3:30,2623,Robin Thompson Defensive Rebound.,23,89
3:11,2623,Ross Owens missed Three Point Jumper.,23,89
3:11,2623,Robin Thompson Offensive Rebound.,23,89
3:06,2623,Robin Thompson made Jumper.,23,91
2:43,-1,Thomas Ritter Turnover.,23,91
2:37,2623,Ross Owens made Three Point Jumper. Assisted by Jarrid Rhodes.,23,94
2:24,-1,Jayden Hatcher made Three Point Jumper. Assisted by Andrew Sawdy.,26,94
2:01,2623,Tyrie Hill-Thomas made Layup.,26,96
1:38,2623,Foul on Jordan Martin.,26,96
1:33,2623,Foul on Ross Owens.,26,96
1:33,-1,Andrew Sawdy missed Free Throw.,26,96
1:33,-1,Fontbonne Deadball Team Rebound.,26,96
1:33,-1,Andrew Sawdy made Free Throw.,27,96
1:24,2623,Jarrid Rhodes Turnover.,27,96
1:14,-1,Andrew Sawdy missed Jumper.,27,96
1:14,2623,Tyrie Hill-Thomas Defensive Rebound.,27,96
0:56,2623,Ross Owens made Jumper.,27,98
0:50,-1,Thomas Ritter missed Three Point Jumper.,27,98
0:50,2623,Jordan Martin Defensive Rebound.,27,98
0:21,2623,Ross Owens missed Three Point Jumper.,27,98
0:21,2623,Robin Thompson Offensive Rebound.,27,98
0:16,2623,Robin Thompson made Layup.,27,100
0:01,-1,Thomas Ritter Turnover.,27,100
0:00,2623,Robin Thompson Steal.,27,100
0:00,2623,End of Game,27,100
